Orthogroup	DMIR.longest_only	AEAL.longest_only
OG0004376	LOC108153550|XP_017139107.1|DMIR	LOC115262650|XP_029721030.1|AEAL, LOC109424672|XP_019555385.2|AEAL
OG0004377	LOC108151999|XP_017136457.1|DMIR	LOC109412040|XP_019541227.2|AEAL
OG0004378	LOC108159659|XP_017148621.2|DMIR, LOC117187984|XP_033246940.1|DMIR	LOC109424624|XP_029721018.1|AEAL
OG0004379	LOC108159596|XP_017148539.1|DMIR, LOC117193204|XP_033253845.1|DMIR	LOC109412057|XP_019541247.1|AEAL
OG0004380	LOC108160631|XP_017150247.2|DMIR, LOC117188196|XP_033247567.1|DMIR	LOC109421945|XP_019552128.1|AEAL, LOC109408610|XP_019537481.2|AEAL
OG0004381	LOC108156344|XP_017143231.1|DMIR	LOC109421941|XP_019552122.2|AEAL
OG0004382	LOC117189846|XP_033250810.1|DMIR, LOC108159098|XP_017147558.1|DMIR	LOC109421918|XP_019552043.2|AEAL, LOC109432635|XP_029721002.1|AEAL
OG0004383	LOC108159791|XP_017148843.1|DMIR, LOC117189953|XP_033250926.1|DMIR	LOC109421916|XP_029721005.1|AEAL, LOC109432717|XP_019564647.2|AEAL
OG0004384	LOC117188204|XP_033247581.1|DMIR, LOC117190657|XP_033251602.1|DMIR	LOC109421917|XP_019552042.2|AEAL, LOC109432652|XP_019564560.2|AEAL
OG0004386	LOC108160741|XP_017150422.1|DMIR, LOC117190417|XP_033251385.1|DMIR	LOC109421901|XP_029730706.1|AEAL, LOC115267702|XP_029730713.1|AEAL
OG0004387	LOC108151362|XP_017135410.1|DMIR	LOC109408779|XP_019537710.2|AEAL, LOC109432665|XP_029730729.1|AEAL
OG0004388	LOC108159796|XP_017148848.1|DMIR	LOC109408775|XP_029730724.1|AEAL, LOC109408774|XP_029730737.1|AEAL, LOC109432710|XP_029730740.1|AEAL
OG0004389	LOC117186827|XP_033244010.1|DMIR, LOC108151901|XP_017136299.2|DMIR	LOC109408773|XP_029730756.1|AEAL, LOC109432681|XP_029730735.1|AEAL
OG0004390	LOC108153467|XP_017138986.1|DMIR	LOC109408802|XP_029729301.1|AEAL, LOC109408804|XP_029730773.1|AEAL
OG0004391	LOC117193491|XP_033254133.1|DMIR, LOC108158219|XP_017145934.1|DMIR	LOC109408797|XP_029731969.1|AEAL
OG0004392	LOC108151876|XP_017136261.1|DMIR	LOC109408724|XP_029730812.1|AEAL, LOC109428932|XP_029714034.1|AEAL
OG0004393	LOC117185725|XP_033250950.1|DMIR, LOC108158486|XP_033246956.1|DMIR	LOC109408720|XP_029730819.1|AEAL
OG0004394	LOC108159071|XP_017147506.1|DMIR	LOC109408712|XP_019537620.2|AEAL, LOC109428919|XP_029730824.1|AEAL
OG0004395	LOC108160678|XP_017150320.1|DMIR	LOC109414910|XP_019544304.1|AEAL, LOC109428906|XP_029730833.1|AEAL
OG0004396	LOC117185840|XP_033253454.1|DMIR, LOC108159641|XP_017148595.1|DMIR	LOC109428905|XP_019560290.1|AEAL
OG0004397	LOC117190192|XP_033251145.1|DMIR, LOC108159040|XP_017147452.1|DMIR	LOC109414907|XP_019544301.1|AEAL
OG0004398	LOC117185752|XP_033248261.1|DMIR, LOC117189360|XP_033250384.1|DMIR, LOC108159043|XP_017147456.2|DMIR	LOC109414924|XP_029715552.1|AEAL
OG0004399	LOC117192376|XP_033252932.1|DMIR, LOC108159035|XP_017147445.1|DMIR, LOC117192375|XP_033252931.1|DMIR	LOC109414902|XP_019544293.2|AEAL
OG0004400	LOC108155015|XP_017141056.1|DMIR	LOC109414895|XP_019544284.2|AEAL
OG0004401	LOC117190568|XP_033251516.1|DMIR, LOC117189667|XP_033250663.1|DMIR, LOC108160817|XP_017150532.1|DMIR	LOC109428885|XP_029730895.1|AEAL
OG0004402	LOC117187902|XP_033246730.1|DMIR, LOC117189665|XP_033250662.1|DMIR, LOC108159679|XP_017148661.2|DMIR	LOC109416887|XP_019546528.2|AEAL
OG0004403	LOC117190510|XP_033251467.1|DMIR, LOC108159662|XP_017148628.1|DMIR	LOC109411435|XP_029730852.1|AEAL, LOC109428863|XP_029714137.1|AEAL
OG0004404	LOC117192701|XP_033253329.1|DMIR, LOC108159999|XP_017149205.1|DMIR	LOC109428854|XP_019560230.2|AEAL, LOC115267759|XP_029730858.1|AEAL
OG0004405	LOC108153491|XP_017139021.1|DMIR	LOC109428850|XP_029731977.1|AEAL, LOC115262973|XP_029721775.1|AEAL, LOC115267766|XP_029730879.1|AEAL
OG0004406	LOC108152590|XP_017137530.1|DMIR	LOC115267811|XP_029731034.1|AEAL
OG0004407	LOC108159586|XP_017148525.1|DMIR, LOC117193950|XP_033254498.1|DMIR	LOC109397002|XP_029730682.1|AEAL, LOC109432250|XP_029731033.1|AEAL
OG0004408	LOC108153648|XP_017139242.1|DMIR	LOC115260975|XP_029718203.1|AEAL, LOC109432267|XP_019564145.2|AEAL
OG0004409	LOC108164444|XP_017155640.1|DMIR	LOC109397081|XP_029730986.1|AEAL, LOC109432288|XP_029730908.1|AEAL
OG0004410	LOC108158385|XP_017146127.2|DMIR, LOC117187727|XP_033246401.1|DMIR	LOC109397034|XP_029730956.1|AEAL, LOC109409848|XP_019538879.2|AEAL
OG0004411	LOC108151367|XP_017135416.1|DMIR	LOC109397047|XP_019524913.2|AEAL, LOC115260033|XP_029716727.1|AEAL
OG0004412	LOC108151365|XP_017135414.1|DMIR	LOC109397121|XP_029730931.1|AEAL, LOC115267794|XP_029730954.1|AEAL
OG0004413	LOC108160361|XP_017149820.1|DMIR	LOC109409855|XP_029730919.1|AEAL, LOC115267792|XP_029730950.1|AEAL
OG0004414	LOC108160391|XP_017149867.1|DMIR, LOC117191097|XP_033251951.1|DMIR	LOC115267815|XP_029731054.1|AEAL, LOC109409861|XP_029730941.1|AEAL
OG0004415	LOC117189349|XP_033250378.1|DMIR, LOC117190400|XP_033251366.1|DMIR, LOC108158193|XP_017145901.1|DMIR	LOC109399100|XP_019527085.2|AEAL
OG0004416	LOC117188314|XP_033247852.1|DMIR, LOC108158783|XP_017146949.2|DMIR	LOC109399103|XP_019527092.1|AEAL, LOC109409916|XP_029731073.1|AEAL
OG0004417	LOC108154772|XP_017140645.1|DMIR	LOC115267819|XP_029731071.1|AEAL, LOC109409917|XP_019538983.2|AEAL
OG0004418	LOC108160111|XP_033251816.1|DMIR, LOC117185928|XP_033246426.1|DMIR	LOC109409918|XP_029731057.1|AEAL, LOC109399095|XP_029731087.1|AEAL
OG0004419	LOC108160247|XP_017149598.1|DMIR	LOC109409926|XP_029731121.1|AEAL
OG0004420	LOC108160305|XP_017149707.1|DMIR	LOC109399132|XP_019527116.2|AEAL
OG0004421	LOC108153464|XP_017138982.1|DMIR	LOC109399618|XP_019527654.1|AEAL
OG0004422	LOC108152162|XP_017136770.1|DMIR	LOC109399624|XP_029732182.1|AEAL, LOC115268277|XP_029732183.1|AEAL, LOC109400800|XP_019528844.1|AEAL
OG0004423	LOC117190440|XP_033251410.1|DMIR, LOC108158454|XP_017146229.2|DMIR, LOC117187971|XP_033246903.1|DMIR	LOC109399609|XP_019527642.2|AEAL, LOC109397727|XP_019525618.2|AEAL
OG0004424	LOC108160251|XP_017149604.1|DMIR	LOC109400309|XP_029709871.1|AEAL, LOC115253442|XP_029708104.1|AEAL
OG0004425	LOC108152049|XP_017136540.1|DMIR	LOC109399667|XP_019527717.2|AEAL, LOC115253929|XP_029708105.1|AEAL
OG0004426	LOC108151789|XP_017136127.1|DMIR	LOC109400763|XP_019528839.2|AEAL, LOC109399670|XP_019527721.1|AEAL, LOC115255830|XP_029709878.1|AEAL
OG0004427	LOC108152702|XP_017137711.1|DMIR	LOC109399671|XP_019527722.2|AEAL
OG0004428	LOC108157158|XP_017144556.1|DMIR	LOC109418987|XP_019548767.2|AEAL
OG0004429	LOC108161827|XP_017151675.2|DMIR	LOC109410578|XP_029731275.1|AEAL, LOC109421149|XP_019551190.2|AEAL
OG0004430	LOC108152366|XP_017137134.1|DMIR	LOC109426536|XP_029731324.1|AEAL, LOC109408362|XP_029731305.1|AEAL
OG0004431	LOC108156095|XP_017142873.1|DMIR	LOC115255987|XP_029710066.1|AEAL, LOC109408357|XP_019537200.2|AEAL, LOC109426517|XP_019557593.2|AEAL
OG0004432	LOC108156094|XP_017142872.1|DMIR	LOC115255988|XP_029710067.1|AEAL, LOC109408356|XP_019537199.2|AEAL
OG0004433	LOC108153223|XP_017138540.1|DMIR	LOC109426509|XP_029710089.1|AEAL, LOC109426469|XP_029710075.1|AEAL, LOC115255993|XP_029710072.1|AEAL
OG0004434	LOC108159042|XP_017147455.1|DMIR	LOC109408984|XP_029710065.1|AEAL, LOC115255996|XP_029710078.1|AEAL, LOC109426471|XP_019557535.2|AEAL
OG0004435	LOC108159336|XP_017148021.1|DMIR, LOC117191036|XP_033251897.1|DMIR	LOC109402144|XP_019530316.2|AEAL, LOC109426455|XP_029731377.1|AEAL
OG0004437	LOC117193454|XP_033254101.1|DMIR, LOC108160436|XP_017149933.1|DMIR	LOC109426437|XP_019557489.2|AEAL
OG0004438	LOC108159795|XP_017148846.1|DMIR, LOC117189949|XP_033250922.1|DMIR	LOC109426436|XP_019557488.2|AEAL
OG0004439	LOC117189424|XP_033250440.1|DMIR, LOC108159291|XP_017147945.1|DMIR	LOC109404008|XP_019532418.2|AEAL
OG0004440	LOC117189448|XP_033250466.1|DMIR, LOC108158396|XP_017146142.1|DMIR	LOC109426432|XP_019557485.1|AEAL
OG0004441	LOC108163031|XP_017153565.1|DMIR	LOC109403403|XP_019531777.2|AEAL
OG0004442	LOC117189300|XP_033250351.1|DMIR, LOC117193218|XP_033253862.1|DMIR, LOC108160238|XP_017149584.1|DMIR	LOC109403309|XP_019531661.2|AEAL
OG0004443	LOC108152976|XP_017138190.1|DMIR	LOC109621792|XP_029731528.1|AEAL, LOC109403180|XP_029731396.1|AEAL
OG0004444	LOC108160506|XP_017150035.2|DMIR, LOC117187947|XP_033246838.1|DMIR	LOC109622181|XP_029731549.1|AEAL
OG0004445	LOC117190978|XP_033251849.1|DMIR, LOC108160623|XP_017150231.1|DMIR	LOC109403341|XP_029731570.1|AEAL, LOC115267963|XP_029731665.1|AEAL
OG0004446	LOC108157115|XP_017144485.1|DMIR	LOC109403355|XP_029718009.1|AEAL, LOC109410760|XP_019539830.2|AEAL, LOC115267936|XP_029731573.1|AEAL
OG0004447	LOC108156788|XP_017143953.1|DMIR	LOC109403361|XP_019531721.1|AEAL
OG0004448	LOC108159782|XP_017148832.1|DMIR, LOC117192887|XP_033253523.1|DMIR	LOC109410759|XP_019539828.2|AEAL
OG0004449	LOC108152916|XP_017138082.1|DMIR	LOC109403358|XP_019531716.2|AEAL
OG0004450	LOC108159319|XP_017147997.1|DMIR	LOC109410628|XP_019539695.2|AEAL, LOC109433539|XP_019565523.2|AEAL
OG0004451	LOC108160396|XP_017149874.1|DMIR	LOC109410656|XP_029731642.1|AEAL
OG0004452	LOC108160867|XP_017150617.1|DMIR, LOC117193680|XP_033254306.1|DMIR	LOC109433480|XP_019565446.2|AEAL, LOC109410661|XP_029731648.1|AEAL
OG0004453	LOC117185873|XP_033251768.1|DMIR, LOC108159736|XP_017148761.1|DMIR	LOC109410657|XP_029710257.1|AEAL, LOC109433478|XP_029731645.1|AEAL
OG0004454	LOC108157303|XP_017144793.1|DMIR	LOC115267992|XP_029731731.1|AEAL, LOC109621455|XP_019931040.2|AEAL, LOC115269469|XP_029734107.1|AEAL
OG0004455	LOC108153336|XP_017138761.1|DMIR	LOC115268196|XP_029732109.1|AEAL, LOC109621475|XP_019931063.2|AEAL, LOC115255967|XP_029710053.1|AEAL, LOC109621486|XP_019931074.2|AEAL
OG0004456	LOC117188815|XP_033249132.1|DMIR, LOC108161255|XP_033246500.1|DMIR, LOC117188814|XP_033249131.1|DMIR	LOC109621461|XP_019931046.2|AEAL
OG0004457	LOC108152756|XP_017137805.1|DMIR	LOC109621480|XP_019931068.2|AEAL, LOC115255970|XP_029710055.1|AEAL
OG0004458	LOC108152853|XP_017137960.1|DMIR	LOC109621471|XP_029731745.1|AEAL
OG0004459	LOC108152324|XP_017137059.1|DMIR	LOC109621434|XP_029731746.1|AEAL
OG0004460	LOC108150942|XP_017134765.1|DMIR	LOC109621452|XP_019931037.2|AEAL, LOC115268004|XP_029731751.1|AEAL
OG0004461	LOC108152940|XP_017138124.1|DMIR	LOC115268044|XP_029731818.1|AEAL, LOC109426051|XP_019557038.2|AEAL
OG0004462	LOC108150923|XP_017134742.1|DMIR	LOC109426027|XP_019557004.2|AEAL
OG0004463	LOC108152459|XP_017137311.1|DMIR	LOC115268050|XP_029731829.1|AEAL, LOC109426022|XP_019556995.2|AEAL
OG0004464	LOC108152115|XP_033243965.1|DMIR	LOC115253524|XP_029731832.1|AEAL, LOC109426021|XP_029723094.1|AEAL, LOC115268030|XP_029731788.1|AEAL
OG0004465	LOC108162850|XP_017153282.1|DMIR	LOC115268032|XP_029731797.1|AEAL, LOC109426011|XP_019556982.1|AEAL
OG0004466	LOC108153494|XP_017139033.1|DMIR	LOC115268054|XP_029731838.1|AEAL, LOC109426010|XP_029731799.1|AEAL
OG0004467	LOC108153575|XP_017139143.1|DMIR	LOC115268036|XP_029731803.1|AEAL, LOC109426000|XP_019556972.2|AEAL
OG0004468	LOC108153573|XP_017139142.1|DMIR	LOC115268059|XP_029731844.1|AEAL, LOC109425999|XP_029731805.1|AEAL
OG0004469	LOC108151039|XP_017134896.1|DMIR	LOC115253480|XP_029731809.1|AEAL, LOC109425994|XP_019556964.2|AEAL
OG0004470	LOC108163130|XP_017153734.1|DMIR	LOC109425964|XP_029731782.1|AEAL
OG0004471	LOC108154759|XP_017140623.2|DMIR	LOC115268074|XP_029731879.1|AEAL
OG0004472	LOC117193315|XP_033253939.1|DMIR, LOC108159865|XP_017148955.1|DMIR	LOC109425848|XP_029733650.1|AEAL, LOC109407584|XP_019536225.2|AEAL
OG0004473	LOC117188457|XP_033248254.1|DMIR, LOC108158634|XP_017146604.1|DMIR	LOC109407683|XP_019536380.2|AEAL, LOC109425756|XP_019556620.2|AEAL
OG0004474	LOC108158631|XP_017146600.1|DMIR, LOC117187806|XP_033246551.1|DMIR, LOC117190738|XP_033251692.1|DMIR	LOC109425843|XP_019556759.1|AEAL
OG0004475	LOC108159529|XP_017148390.2|DMIR, LOC117187839|XP_033246601.1|DMIR	LOC109407579|XP_019536216.2|AEAL
OG0004476	LOC108164238|XP_017155361.1|DMIR	LOC109425839|XP_019556755.2|AEAL
OG0004477	LOC108160272|XP_017149642.1|DMIR	LOC109407511|XP_019536111.2|AEAL, LOC109425770|XP_019556637.2|AEAL, LOC115262227|XP_029720485.1|AEAL
OG0004478	LOC108160792|XP_017150489.1|DMIR	LOC109407507|XP_029720469.1|AEAL, LOC109425740|XP_029720463.1|AEAL, LOC115260063|XP_029716780.1|AEAL
OG0004479	LOC117190914|XP_033251811.1|DMIR, LOC108158892|XP_017147168.1|DMIR	LOC109422033|XP_019552217.2|AEAL
OG0004480	LOC108163046|XP_017153600.1|DMIR	LOC115269546|XP_029734189.1|AEAL, LOC115267579|XP_029730518.1|AEAL, LOC109432994|XP_019564910.2|AEAL, LOC109397715|XP_029734253.1|AEAL
OG0004481	LOC108159734|XP_017148758.2|DMIR, LOC117191745|XP_033252419.1|DMIR, LOC117188215|XP_033247606.1|DMIR	LOC109623237|XP_029729019.1|AEAL
OG0004482	LOC108157738|XP_017145404.1|DMIR	LOC109424758|XP_029717713.1|AEAL, LOC109412946|XP_019542146.2|AEAL, LOC115260965|XP_029718192.1|AEAL
OG0004483	LOC108159527|XP_017148385.1|DMIR	LOC109416617|XP_029718398.1|AEAL, LOC115253696|XP_029719330.1|AEAL, LOC109432825|XP_019564714.1|AEAL, LOC115261571|XP_029719323.1|AEAL
OG0004484	LOC108154306|XP_033245084.1|DMIR	LOC109432394|XP_019564288.2|AEAL
OG0004487	LOC108152040|XP_017136528.1|DMIR	LOC109399289|XP_019527272.2|AEAL
OG0004488	LOC108157930|XP_033246399.1|DMIR	LOC109411164|XP_019540188.2|AEAL
OG0004489	LOC108151768|XP_033243173.1|DMIR	LOC115259426|XP_029715862.1|AEAL, LOC115267468|XP_029730320.1|AEAL
OG0004504	LOC108154925|XP_017140873.1|DMIR	LOC109402166|XP_019530340.1|AEAL, LOC109413239|XP_019542512.1|AEAL
OG0004505	LOC108155471|XP_017141781.1|DMIR	LOC109405385|XP_019533987.2|AEAL, LOC115262914|XP_029721674.1|AEAL
OG0004506	LOC108154899|XP_017140837.1|DMIR	LOC109431065|XP_029709617.1|AEAL, LOC109405380|XP_029709612.1|AEAL
OG0004507	LOC108157169|XP_017144577.1|DMIR	LOC115255634|XP_029709587.1|AEAL, LOC109405368|XP_019533967.2|AEAL
OG0004508	LOC108157514|XP_017145103.1|DMIR	LOC109413201|XP_029710437.1|AEAL
OG0004509	LOC108153282|XP_017138643.1|DMIR	LOC115254882|XP_029708430.1|AEAL, LOC109424931|XP_029710460.1|AEAL
OG0004510	LOC108159259|XP_017147892.1|DMIR	LOC109431113|XP_029718294.1|AEAL, LOC109424970|XP_019555711.2|AEAL
OG0004511	LOC108155951|XP_033244243.1|DMIR	LOC109424976|XP_029718299.1|AEAL, LOC109431121|XP_029711667.1|AEAL
OG0004512	LOC108164428|XP_017155597.1|DMIR	LOC109431102|XP_029710944.1|AEAL, LOC109424942|XP_029710936.1|AEAL
OG0004513	LOC108164447|XP_017155650.1|DMIR	LOC109431135|XP_029710671.1|AEAL, LOC109424991|XP_029710766.1|AEAL
OG0004514	LOC108164468|XP_017155704.1|DMIR	LOC109431133|XP_019562869.2|AEAL, LOC115256400|XP_029710724.1|AEAL
OG0004515	LOC108161915|XP_017151821.1|DMIR	LOC109415543|XP_019544975.2|AEAL, LOC109431129|XP_019562857.2|AEAL
OG0004516	LOC108153058|XP_033242344.1|DMIR	LOC109431151|XP_019562901.1|AEAL, LOC115256867|XP_029711806.1|AEAL, LOC109415554|XP_019544985.2|AEAL
OG0004517	LOC108160901|XP_017150665.1|DMIR	LOC109415631|XP_019545093.2|AEAL, LOC115256859|XP_029711778.1|AEAL, LOC115256858|XP_029711773.1|AEAL
OG0004518	LOC117186700|XP_033243678.1|DMIR	LOC109431108|XP_029711965.1|AEAL, LOC109415781|XP_029710698.1|AEAL
OG0004519	LOC108155272|XP_017141467.1|DMIR	LOC115256333|XP_029710495.1|AEAL, LOC109415826|XP_019545315.2|AEAL
OG0004520	LOC117186501|XP_033243271.1|DMIR, LOC117186088|XP_033242079.1|DMIR	LOC109431170|XP_029713811.1|AEAL, LOC109412257|XP_029710552.1|AEAL
OG0004521	LOC108159177|XP_017147711.1|DMIR	LOC109413491|XP_019542719.2|AEAL
OG0004522	LOC108162498|XP_017152756.1|DMIR	LOC109405109|XP_029711084.1|AEAL, LOC109428335|XP_029708269.1|AEAL
OG0004523	LOC108154622|XP_017140432.1|DMIR	LOC109424768|XP_029732670.1|AEAL, LOC109417230|XP_029710491.1|AEAL
OG0004524	LOC108152391|XP_017137182.1|DMIR	LOC109424763|XP_019555489.2|AEAL, LOC109433658|XP_019565659.2|AEAL
OG0004525	LOC108155125|XP_017141260.1|DMIR	LOC115269331|XP_029733826.1|AEAL, LOC109433644|XP_029711757.1|AEAL, LOC115256817|XP_029711648.1|AEAL
OG0004526	LOC108160327|XP_033241990.1|DMIR	LOC109433653|XP_029710952.1|AEAL, LOC115256444|XP_029710910.1|AEAL, LOC115269330|XP_029733825.1|AEAL
OG0004527	LOC117191670|XP_033252366.1|DMIR, LOC117191671|XP_033252368.1|DMIR, LOC108159239|XP_017147846.1|DMIR	LOC109408933|XP_019537875.2|AEAL
OG0004528	LOC108156981|XP_017144265.1|DMIR	LOC109415233|XP_029712288.1|AEAL, LOC115256449|XP_029710924.1|AEAL, LOC109428359|XP_029710159.1|AEAL
OG0004529	LOC108160267|XP_017149634.1|DMIR	LOC109415218|XP_029710156.1|AEAL, LOC109428368|XP_029711939.1|AEAL
OG0004530	LOC108152114|XP_017136682.1|DMIR	LOC109428405|XP_019559676.1|AEAL
OG0004531	LOC108157775|XP_017145453.1|DMIR	LOC115269148|XP_029733418.1|AEAL, LOC109415184|XP_029711623.1|AEAL
OG0004532	LOC117187119|XP_033245005.1|DMIR, LOC108158734|XP_017146830.1|DMIR	LOC109428432|XP_019559733.2|AEAL, LOC109430513|XP_019562125.2|AEAL
OG0004533	LOC108165051|XP_017156585.1|DMIR	LOC109428439|XP_019559749.2|AEAL, LOC109422148|XP_029729613.1|AEAL
OG0004534	LOC117186841|XP_033244039.1|DMIR	LOC109422171|XP_029716707.1|AEAL, LOC109428462|XP_019559771.2|AEAL
OG0004535	LOC108151147|XP_017135062.1|DMIR	LOC109428466|XP_019559775.2|AEAL, LOC109422176|XP_019552363.2|AEAL
OG0004536	LOC108157307|XP_017144804.1|DMIR	LOC109428467|XP_029711043.1|AEAL
OG0004537	LOC108163163|XP_017153777.1|DMIR	LOC109428468|XP_019559780.2|AEAL
OG0004539	LOC108155166|XP_017141320.1|DMIR	LOC109428481|XP_019559801.2|AEAL
OG0004540	LOC108159045|XP_017147468.1|DMIR	LOC109416895|XP_019546561.2|AEAL
OG0004541	LOC108158547|XP_017146444.1|DMIR, LOC117191046|XP_033251905.1|DMIR	LOC109402643|XP_029710693.1|AEAL
OG0004542	LOC108153085|XP_017138358.1|DMIR	LOC109402631|XP_029711894.1|AEAL
OG0004543	LOC108151094|XP_017134973.1|DMIR	LOC115266730|XP_029729129.1|AEAL, LOC109397909|XP_029710470.1|AEAL, LOC115255700|XP_029709659.1|AEAL
OG0004544	LOC108159592|XP_033246502.1|DMIR	LOC115266727|XP_029729125.1|AEAL, LOC109397861|XP_029711274.1|AEAL, LOC109402681|XP_019530928.2|AEAL
OG0004545	LOC108156003|XP_017142693.1|DMIR	LOC109397913|XP_019525797.2|AEAL
OG0004546	LOC108158152|XP_017145862.1|DMIR	LOC115254576|XP_029708046.1|AEAL, LOC109406970|XP_019535530.2|AEAL
OG0004547	LOC108152526|XP_017137419.1|DMIR	LOC109397885|XP_029710781.1|AEAL
OG0004548	LOC108164731|XP_017156113.1|DMIR	LOC109427493|XP_019558587.2|AEAL
OG0004549	LOC108164669|XP_033243701.1|DMIR	LOC115256334|XP_029710498.1|AEAL, LOC109427501|XP_019558596.2|AEAL
OG0004550	LOC108165110|XP_017156657.1|DMIR	LOC115256503|XP_029711030.1|AEAL, LOC109427529|XP_019558627.2|AEAL
OG0004551	LOC108159439|XP_017148207.1|DMIR	LOC109427530|XP_019558628.2|AEAL, LOC115256491|XP_029711010.1|AEAL
OG0004552	LOC108153251|XP_017138590.1|DMIR	LOC109427533|XP_019558632.2|AEAL, LOC115253670|XP_029711476.1|AEAL
OG0004553	LOC108152089|XP_017136618.1|DMIR	LOC109427538|XP_019558648.2|AEAL, LOC115256344|XP_029710529.1|AEAL
OG0004554	LOC108156692|XP_017143828.1|DMIR	LOC115256331|XP_029710478.1|AEAL, LOC115259454|XP_029715887.1|AEAL, LOC109406861|XP_029716354.1|AEAL
OG0004555	LOC108156719|XP_017143862.1|DMIR	LOC115264498|XP_029724102.1|AEAL, LOC115264502|XP_029724106.1|AEAL, LOC109406869|XP_019535417.2|AEAL
OG0004556	LOC108160137|XP_017149433.1|DMIR	LOC109401876|XP_019530017.2|AEAL, LOC115264817|XP_029724690.1|AEAL
OG0004557	LOC108156219|XP_033244793.1|DMIR	LOC109401938|XP_029724109.1|AEAL, LOC115256740|XP_029711541.1|AEAL
OG0004558	LOC108151043|XP_017134908.1|DMIR	LOC115266763|XP_029729182.1|AEAL, LOC109401894|XP_019530049.2|AEAL
OG0004559	LOC108154678|XP_017140509.1|DMIR	LOC109401913|XP_019530074.1|AEAL
OG0004560	LOC108154076|XP_017139672.1|DMIR	LOC109401877|XP_019530018.2|AEAL, LOC109414697|XP_019544074.2|AEAL
OG0004561	LOC108156480|XP_017143446.1|DMIR	LOC109401939|XP_029709673.1|AEAL
OG0004562	LOC108156199|XP_017143022.2|DMIR	LOC109401916|XP_029729494.1|AEAL, LOC109414691|XP_029709676.1|AEAL
OG0004563	LOC108157582|XP_017145193.1|DMIR	LOC109401933|XP_029709678.1|AEAL
OG0004564	LOC108157202|XP_017144623.1|DMIR	LOC109414688|XP_029709727.1|AEAL, LOC109401947|XP_019530120.2|AEAL
OG0004565	LOC108155379|XP_017141641.1|DMIR	LOC109401895|XP_019530050.2|AEAL, LOC109414684|XP_019544060.2|AEAL
OG0004566	LOC108163741|XP_017154693.1|DMIR	LOC109401889|XP_019530042.2|AEAL
OG0004567	LOC108158793|XP_017146972.1|DMIR	LOC109414702|XP_019544083.1|AEAL, LOC109401886|XP_019530036.1|AEAL
OG0004568	LOC108153626|XP_017139218.1|DMIR	LOC109401828|XP_029709662.1|AEAL, LOC109412089|XP_019541276.2|AEAL, LOC115255725|XP_029709704.1|AEAL
OG0004569	LOC108156337|XP_017143225.1|DMIR	LOC109401821|XP_029733378.1|AEAL
OG0004570	LOC108159269|XP_017147917.2|DMIR, LOC117188488|XP_033248321.1|DMIR	LOC109410340|XP_029733269.1|AEAL
OG0004571	LOC108163731|XP_017154680.1|DMIR	LOC109422038|XP_019552221.2|AEAL
OG0004572	LOC108162415|XP_017152631.1|DMIR	LOC109421972|XP_019552154.2|AEAL
OG0004573	LOC108154988|XP_017141018.1|DMIR	LOC115269048|XP_029733208.1|AEAL, LOC115269053|XP_029733217.1|AEAL
OG0004574	LOC108164959|XP_017156456.1|DMIR	LOC109397204|XP_019525092.1|AEAL, LOC109432080|XP_019563924.1|AEAL, LOC115269045|XP_029733203.1|AEAL
OG0004575	LOC108164615|XP_017155944.1|DMIR	LOC109432078|XP_019563920.2|AEAL, LOC109397198|XP_019525086.2|AEAL, LOC115255924|XP_029709989.1|AEAL
OG0004576	LOC108157398|XP_017144926.1|DMIR	LOC109422035|XP_019552220.2|AEAL, LOC115256583|XP_029711221.1|AEAL
OG0004577	LOC108157159|XP_017144558.1|DMIR	LOC115253973|XP_029711218.1|AEAL, LOC109422031|XP_019552215.2|AEAL
OG0004578	LOC108158934|XP_017147235.1|DMIR	LOC115256723|XP_029711522.1|AEAL, LOC115256872|XP_029711807.1|AEAL, LOC109422006|XP_019552195.1|AEAL
OG0004579	LOC108162269|XP_017152409.1|DMIR	LOC109422002|XP_019552186.2|AEAL, LOC115256372|XP_029710596.1|AEAL, LOC115256408|XP_029710753.1|AEAL
OG0004580	LOC108154633|XP_017140445.2|DMIR	LOC115256565|XP_029711173.1|AEAL, LOC109421993|XP_019552172.1|AEAL
OG0004581	LOC108155737|XP_017142242.1|DMIR	LOC115253977|XP_029711853.1|AEAL, LOC109421991|XP_019552170.2|AEAL
OG0004582	LOC108156425|XP_017143366.1|DMIR	LOC115256501|XP_029711028.1|AEAL, LOC109421987|XP_029710911.1|AEAL
OG0004583	LOC108153862|XP_017139460.1|DMIR	LOC109421974|XP_019552155.2|AEAL
OG0004584	LOC117192962|XP_033253575.1|DMIR, LOC108160544|XP_017150096.1|DMIR	LOC109424617|XP_019555330.2|AEAL
OG0004585	LOC108157471|XP_017145039.1|DMIR	LOC115267313|XP_029730091.1|AEAL, LOC109410178|XP_029710751.1|AEAL, LOC115254483|XP_029707893.1|AEAL
OG0004586	LOC108160728|XP_017150441.1|DMIR	LOC109427434|XP_019558534.2|AEAL
OG0004587	LOC108154617|XP_017140427.1|DMIR	LOC109427430|XP_019558531.2|AEAL
OG0004588	LOC108154627|XP_017140438.1|DMIR	LOC109410149|XP_019539220.2|AEAL, LOC109427431|XP_019558533.1|AEAL
OG0004589	LOC108157604|XP_017145225.1|DMIR	LOC115253813|XP_029707907.1|AEAL, LOC109427426|XP_029711094.1|AEAL
