Orthogroup	DYAK.longest_only	CPIP.longest_only
OG0003489	LOC6536347|XP_039231976.1|DYAK	LOC120414300|XP_039431368.1|CPIP
OG0003490	LOC6535650|XP_002096278.3|DYAK	LOC120414284|XP_039431348.1|CPIP
OG0003491	LOC6538269|XP_039232868.1|DYAK	LOC120414290|XP_039431355.1|CPIP
OG0003492	LOC6538176|XP_002098704.1|DYAK	LOC120427279|XP_039448063.1|CPIP
OG0003493	LOC6537656|XP_002098201.2|DYAK	LOC120431388|XP_039452452.1|CPIP, LOC120430174|XP_039451189.1|CPIP
OG0003494	LOC6535301|XP_002095957.1|DYAK	LOC120429624|XP_039450588.1|CPIP
OG0003495	LOC6529455|XP_002090457.1|DYAK	LOC120423840|XP_039443722.1|CPIP
OG0003496	LOC6537366|XP_002097922.1|DYAK	LOC120421779|XP_039440982.1|CPIP
OG0003497	LOC6535848|XP_002096469.1|DYAK	LOC120423822|XP_039443679.1|CPIP
OG0003498	LOC6535210|XP_002095869.1|DYAK	LOC120423812|XP_039443666.1|CPIP
OG0003499	LOC6536358|XP_002096940.2|DYAK	LOC120423830|XP_039443704.1|CPIP
OG0003500	LOC6529695|XP_002090688.1|DYAK	LOC120424631|XP_039444731.1|CPIP
OG0003502	LOC6536155|XP_015047595.1|DYAK	LOC120417089|XP_039434999.1|CPIP
OG0003503	LOC6538136|XP_002098671.2|DYAK	LOC120425050|XP_039445357.1|CPIP
OG0003504	LOC6537193|XP_039231782.1|DYAK	LOC120425079|XP_039445409.1|CPIP
OG0003505	LOC6537003|XP_039232285.1|DYAK	LOC120425072|XP_039445382.1|CPIP
OG0003506	LOC6537548|XP_015048409.1|DYAK	LOC120420771|XP_039439814.1|CPIP
OG0003507	LOC6537857|XP_002098398.3|DYAK	LOC120420749|XP_039439779.1|CPIP
OG0003508	LOC6532479|XP_002093225.2|DYAK	LOC120414265|XP_039431318.1|CPIP
OG0003509	LOC6537755|XP_002098296.1|DYAK	LOC120425654|XP_039446169.1|CPIP
OG0003510	LOC6537940|XP_002098480.1|DYAK	LOC120425391|XP_039445842.1|CPIP
OG0003511	LOC6537941|XP_015048575.1|DYAK	LOC120425379|XP_039445826.1|CPIP, LOC120423575|XP_039443367.1|CPIP
OG0003512	LOC6537921|XP_002098461.2|DYAK	LOC120432131|XP_039453198.1|CPIP
OG0003513	LOC6537867|XP_002098408.1|DYAK	LOC120422588|XP_039442013.1|CPIP
OG0003515	LOC6530207|XP_002091145.1|DYAK	LOC120425435|XP_039445900.1|CPIP
OG0003516	LOC6536966|XP_002097535.1|DYAK	LOC120425433|XP_039445897.1|CPIP
OG0003517	LOC26535701|XP_015047899.1|DYAK	LOC120417083|XP_039434995.1|CPIP
OG0003518	LOC6536146|XP_002096747.1|DYAK	LOC120428062|XP_039448955.1|CPIP
OG0003519	LOC6532538|XP_039230907.1|DYAK	LOC120428068|XP_039448970.1|CPIP
OG0003520	LOC6532531|XP_002093277.1|DYAK	LOC120428064|XP_039448957.1|CPIP
OG0003521	LOC6532549|XP_015049428.1|DYAK	LOC120428073|XP_039448981.1|CPIP
OG0003522	LOC6528860|XP_002089892.1|DYAK	LOC120428076|XP_039448986.1|CPIP
OG0003523	LOC6529457|XP_002090459.1|DYAK	LOC120420489|XP_039439469.1|CPIP, LOC120413890|XP_039430798.1|CPIP
OG0003524	LOC6525739|XP_002101561.1|DYAK	LOC120428074|XP_039448984.1|CPIP
OG0003525	LOC6531418|XP_002092221.1|DYAK	LOC120430975|XP_039452041.1|CPIP
OG0003527	LOC26535907|XP_002089498.1|DYAK	LOC120430984|XP_039452080.1|CPIP
OG0003529	LOC6527997|XP_002089064.1|DYAK	LOC120428690|XP_039449692.1|CPIP
OG0003530	LOC6533349|XP_002094074.2|DYAK	LOC120428693|XP_039449695.1|CPIP
OG0003531	LOC6535470|XP_002096101.1|DYAK	LOC120427603|XP_039448414.1|CPIP
OG0003532	LOC6533401|XP_002094119.1|DYAK	LOC120427613|XP_039448428.1|CPIP
OG0003533	LOC6532647|XP_002093391.1|DYAK	LOC120423003|XP_039442559.1|CPIP
OG0003534	LOC6533541|XP_002094251.2|DYAK	LOC120424419|XP_039444463.1|CPIP
OG0003535	LOC6533528|XP_002094238.1|DYAK	LOC120430253|XP_039451272.1|CPIP
OG0003536	LOC6528301|XP_015053906.1|DYAK	LOC120421746|XP_039440953.1|CPIP
OG0003537	LOC6530625|XP_002091538.1|DYAK	LOC120424166|XP_039444150.1|CPIP
OG0003538	LOC6529985|XP_002090931.1|DYAK	LOC120424173|XP_039444159.1|CPIP
OG0003539	LOC6531549|XP_039228100.1|DYAK	LOC120424169|XP_039444152.1|CPIP
OG0003540	LOC6532223|XP_002092996.2|DYAK	LOC120424180|XP_039444170.1|CPIP
OG0003541	LOC26535113|XP_015049030.1|DYAK	LOC120417819|XP_039435959.1|CPIP
OG0003542	LOC6528544|XP_002089590.1|DYAK	LOC120417805|XP_039435937.1|CPIP
OG0003543	LOC6523909|XP_002099782.2|DYAK	LOC120417813|XP_039435950.1|CPIP
OG0003544	LOC6533283|XP_002094009.1|DYAK	LOC120417798|XP_039435930.1|CPIP
OG0003545	LOC6535140|XP_039230257.1|DYAK	LOC120419759|XP_039438516.1|CPIP
OG0003546	LOC26535030|XP_015045035.1|DYAK	LOC120419751|XP_039438502.1|CPIP
OG0003547	LOC6531857|XP_015051578.1|DYAK	LOC120419505|XP_039438136.1|CPIP
OG0003548	LOC6528726|XP_015054291.1|DYAK	LOC120419500|XP_039438125.1|CPIP
OG0003549	LOC6528727|XP_002089762.2|DYAK	LOC120419503|XP_039438135.1|CPIP
OG0003550	LOC6528868|XP_002089900.1|DYAK	LOC120429771|XP_039450762.1|CPIP
OG0003551	LOC6531197|XP_002092025.1|DYAK	LOC120417809|XP_039435942.1|CPIP
OG0003552	LOC6529325|XP_002090330.1|DYAK	LOC120430257|XP_039451276.1|CPIP, LOC120419775|XP_039438541.1|CPIP
OG0003553	LOC6528866|XP_002089898.1|DYAK	LOC120419731|XP_039438457.1|CPIP, LOC120430258|XP_039451277.1|CPIP
OG0003554	LOC6534432|XP_002095109.1|DYAK	LOC120419746|XP_039438483.1|CPIP
OG0003555	LOC6532785|XP_039229418.1|DYAK	LOC120417397|XP_039435358.1|CPIP
OG0003556	LOC26536190|XP_039229996.1|DYAK	LOC120427109|XP_039447893.1|CPIP, LOC120427466|XP_039448270.1|CPIP
OG0003557	LOC6534725|XP_002095400.1|DYAK	LOC120431873|XP_039452937.1|CPIP, LOC120427123|XP_039447910.1|CPIP
OG0003558	LOC6533001|XP_039229794.1|DYAK	LOC120414214|XP_039431247.1|CPIP
OG0003559	LOC6533881|XP_002094581.2|DYAK	LOC120429274|XP_039450425.1|CPIP
OG0003560	LOC6533285|XP_002094011.1|DYAK	LOC120422644|XP_039442081.1|CPIP
OG0003561	LOC6530760|XP_015051825.1|DYAK	LOC120422627|XP_039442056.1|CPIP
OG0003562	LOC6531207|XP_002092035.1|DYAK	LOC120422625|XP_039442053.1|CPIP
OG0003563	LOC6535638|XP_002096266.1|DYAK	LOC120431522|XP_039452553.1|CPIP, LOC120422636|XP_039442067.1|CPIP
OG0003564	LOC6533308|XP_002094034.1|DYAK	LOC120431622|XP_039452667.1|CPIP
OG0003565	LOC6532786|XP_015049606.1|DYAK	LOC120412866|XP_039429424.1|CPIP
OG0003566	LOC6536407|XP_039232568.1|DYAK	LOC120422914|XP_039442413.1|CPIP
OG0003567	LOC6531475|XP_015051340.1|DYAK	LOC120422917|XP_039442422.1|CPIP
OG0003568	LOC6528764|XP_002089799.3|DYAK	LOC120423649|XP_039443455.1|CPIP
OG0003569	LOC6533514|XP_015050102.1|DYAK	LOC120413503|XP_039430292.1|CPIP
OG0003570	LOC6528433|XP_002089479.1|DYAK	LOC120415771|XP_039433321.1|CPIP
OG0003571	LOC6532984|XP_002093719.2|DYAK	LOC120427373|XP_039448167.1|CPIP
OG0003572	LOC6530215|XP_015051973.1|DYAK	LOC120427089|XP_039447875.1|CPIP
OG0003573	LOC6529881|XP_002090838.1|DYAK	LOC120426403|XP_039447097.1|CPIP
OG0003574	LOC6533036|XP_002093771.1|DYAK	LOC120427476|XP_039448279.1|CPIP
OG0003575	LOC6535103|XP_039230303.1|DYAK	LOC120428985|XP_039450057.1|CPIP
OG0003576	LOC6534363|XP_002095041.1|DYAK	LOC120432608|XP_039453789.1|CPIP
OG0003577	LOC6533108|XP_002093834.1|DYAK	LOC120432601|XP_039453777.1|CPIP
OG0003578	LOC6533295|XP_002094021.1|DYAK	LOC120427142|XP_039447935.1|CPIP
OG0003579	LOC6531151|XP_002091980.1|DYAK	LOC120426579|XP_039447302.1|CPIP
OG0003580	LOC6530929|XP_002091771.1|DYAK	LOC120426850|XP_039447580.1|CPIP
OG0003581	LOC6532416|XP_039230540.1|DYAK	LOC120427329|XP_039448116.1|CPIP
OG0003582	LOC6533607|XP_002094315.1|DYAK	LOC120425995|XP_039446592.1|CPIP
OG0003583	LOC6528888|XP_002089920.1|DYAK	LOC120425696|XP_039446217.1|CPIP
OG0003584	LOC6528848|XP_002089880.2|DYAK	LOC120426360|XP_039447057.1|CPIP
OG0003585	LOC6534236|XP_002094918.1|DYAK	LOC120425830|XP_039446386.1|CPIP
OG0003586	LOC6523711|XP_015046761.1|DYAK	LOC120428814|XP_039449850.1|CPIP
OG0003587	LOC6526394|XP_002087513.1|DYAK	LOC120425974|XP_039446562.1|CPIP
OG0003588	LOC6536868|XP_002097437.1|DYAK	LOC120422331|XP_039441660.1|CPIP
OG0003589	LOC6531476|XP_002092275.1|DYAK	LOC120422349|XP_039441679.1|CPIP
OG0003590	LOC6532481|XP_002093227.1|DYAK	LOC120420566|XP_039439575.1|CPIP
OG0003591	LOC6532393|XP_015049324.1|DYAK	LOC120429984|XP_039451013.1|CPIP
OG0003592	LOC6533894|XP_002094594.1|DYAK	LOC120422847|XP_039442326.1|CPIP
OG0003593	LOC6533367|XP_039229632.1|DYAK	LOC120422433|XP_039441785.1|CPIP
OG0003594	LOC6533303|XP_002094029.1|DYAK	LOC120415748|XP_039433289.1|CPIP
OG0003595	LOC6530509|XP_002091424.1|DYAK	LOC120415739|XP_039433274.1|CPIP
OG0003596	LOC6528311|XP_002089364.1|DYAK	LOC120415735|XP_039433264.1|CPIP
OG0003597	LOC6528302|XP_002089355.2|DYAK	LOC120415752|XP_039433294.1|CPIP
OG0003598	LOC6532965|XP_002093700.1|DYAK	LOC120428572|XP_039449539.1|CPIP
OG0003599	LOC6526652|XP_002087760.1|DYAK	LOC120424877|XP_039445071.1|CPIP
OG0003600	LOC6532712|XP_015049556.1|DYAK	LOC120424883|XP_039445081.1|CPIP
OG0003601	LOC6528689|XP_015054029.1|DYAK	LOC120418863|XP_039437332.1|CPIP
OG0003602	LOC6531882|XP_002092669.1|DYAK	LOC120418856|XP_039437317.1|CPIP
OG0003603	LOC6532735|XP_002093477.2|DYAK	LOC120430196|XP_039451213.1|CPIP
OG0003604	LOC6529209|XP_039229101.1|DYAK	LOC120430042|XP_039451068.1|CPIP
OG0003605	LOC6537934|XP_002098474.1|DYAK	LOC120430147|XP_039451169.1|CPIP
OG0003606	LOC6531232|XP_002092044.1|DYAK	LOC120430158|XP_039451177.1|CPIP
OG0003607	LOC6531190|XP_002092019.1|DYAK	LOC120430016|XP_039451048.1|CPIP
OG0003608	LOC6533565|XP_039230317.1|DYAK	LOC120422884|XP_039442378.1|CPIP
OG0003609	LOC6528707|XP_002089742.1|DYAK	LOC120430755|XP_039451800.1|CPIP, LOC120430317|XP_039451352.1|CPIP
OG0003610	LOC6534263|XP_002094944.1|DYAK	LOC120416555|XP_039434221.1|CPIP
OG0003611	LOC6532614|XP_039230219.1|DYAK	LOC120430951|XP_039452008.1|CPIP
OG0003612	LOC6530728|XP_002091619.1|DYAK	LOC120429260|XP_039450413.1|CPIP
OG0003613	LOC6528446|XP_002089492.1|DYAK	LOC120423179|XP_039442804.1|CPIP
OG0003614	LOC6528447|XP_002089493.1|DYAK	LOC120423180|XP_039442805.1|CPIP
OG0003615	LOC6531815|XP_002092602.1|DYAK	LOC120420670|XP_039439702.1|CPIP
OG0003616	LOC6531298|XP_002092102.1|DYAK	LOC120412428|XP_039428821.1|CPIP
OG0003617	LOC6530093|XP_002091039.2|DYAK	LOC120426803|XP_039447521.1|CPIP
OG0003618	LOC6530094|XP_015052593.1|DYAK	LOC120426802|XP_039447516.1|CPIP
OG0003619	LOC6530037|XP_002090983.1|DYAK	LOC120428619|XP_039449597.1|CPIP
OG0003620	LOC6531994|XP_002092780.1|DYAK	LOC120413201|XP_039429850.1|CPIP
OG0003621	LOC6532618|XP_002093362.1|DYAK	LOC120431468|XP_039452516.1|CPIP
OG0003622	LOC6532617|XP_002093361.2|DYAK	LOC120431467|XP_039452515.1|CPIP
OG0003623	LOC6529939|XP_002090894.1|DYAK	LOC120421532|XP_039440685.1|CPIP
OG0003624	LOC6531872|XP_002092659.1|DYAK	LOC120428750|XP_039449765.1|CPIP
OG0003625	LOC6528444|XP_002089490.1|DYAK	LOC120428754|XP_039449770.1|CPIP
OG0003626	LOC6531560|XP_015051417.1|DYAK	LOC120413254|XP_039429917.1|CPIP
OG0003627	LOC6531039|XP_039228160.1|DYAK	LOC120413253|XP_039429916.1|CPIP
OG0003628	LOC6528759|XP_015054266.1|DYAK	LOC120413218|XP_039429873.1|CPIP
OG0003629	LOC6530014|XP_002090960.1|DYAK	LOC120413235|XP_039429899.1|CPIP
OG0003630	LOC6531981|XP_002092767.1|DYAK	LOC120413221|XP_039429881.1|CPIP
OG0003631	LOC6534918|XP_002095589.2|DYAK	LOC120413214|XP_039429866.1|CPIP
OG0003632	LOC6533032|XP_002093767.2|DYAK	LOC120413238|XP_039429902.1|CPIP, LOC120413263|XP_039429925.1|CPIP
OG0003633	LOC6530052|XP_002090998.1|DYAK	LOC120418504|XP_039436875.1|CPIP
OG0003634	LOC6532698|XP_002093440.1|DYAK	LOC120413204|XP_039429854.1|CPIP
OG0003635	LOC6532804|XP_002093541.3|DYAK	LOC120413156|XP_039429798.1|CPIP
OG0003636	LOC6528693|XP_002089735.1|DYAK	LOC120418625|XP_039437003.1|CPIP, LOC120418489|XP_039436860.1|CPIP
OG0003637	LOC6530086|XP_002091032.1|DYAK	LOC120418500|XP_039436871.1|CPIP
OG0003638	LOC6534887|XP_015050904.1|DYAK	LOC120424827|XP_039444982.1|CPIP
OG0003639	LOC6527894|XP_002088966.1|DYAK	LOC120424848|XP_039445030.1|CPIP
OG0003640	LOC6531579|XP_002092377.1|DYAK	LOC120420077|XP_039438936.1|CPIP
OG0003641	LOC6530653|XP_002091551.1|DYAK	LOC120420075|XP_039438933.1|CPIP
OG0003642	LOC6528541|XP_039226506.1|DYAK	LOC120420104|XP_039438985.1|CPIP
OG0003643	LOC6532001|XP_002092787.1|DYAK	LOC120420090|XP_039438956.1|CPIP
OG0003644	LOC6528845|XP_015054078.1|DYAK	LOC120420063|XP_039438911.1|CPIP
OG0003645	LOC6533471|XP_002094182.1|DYAK	LOC120429150|XP_039450289.1|CPIP
OG0003646	LOC6533402|XP_002094120.1|DYAK	LOC120429154|XP_039450296.1|CPIP
OG0003647	LOC6532586|XP_002093330.1|DYAK	LOC120416508|XP_039434160.1|CPIP
OG0003648	LOC6527609|XP_002088697.1|DYAK	LOC120416529|XP_039434180.1|CPIP
OG0003649	LOC6538600|XP_002099122.1|DYAK	LOC120428834|XP_039449884.1|CPIP
OG0003650	LOC6524868|XP_002100708.1|DYAK	LOC120428833|XP_039449883.1|CPIP
OG0003651	LOC6538831|XP_002099344.2|DYAK	LOC120413475|XP_039430248.1|CPIP
OG0003652	LOC6533915|XP_002094615.1|DYAK	LOC120418018|XP_039436195.1|CPIP
OG0003653	LOC6534890|XP_002095562.1|DYAK	LOC120418047|XP_039436229.1|CPIP
OG0003654	LOC6534368|XP_002095046.2|DYAK	LOC120424198|XP_039444190.1|CPIP
OG0003655	LOC6529720|XP_002090713.1|DYAK	LOC120425592|XP_039446107.1|CPIP
OG0003656	LOC6533920|XP_002094620.2|DYAK	LOC120425586|XP_039446097.1|CPIP
OG0003657	LOC6533625|XP_002094332.1|DYAK	LOC120418933|XP_039437404.1|CPIP
OG0003658	LOC6536376|XP_002096958.3|DYAK	LOC120418923|XP_039437387.1|CPIP
OG0003659	LOC6534858|XP_002095530.1|DYAK	LOC120418921|XP_039437385.1|CPIP
OG0003660	LOC6532206|XP_015049226.2|DYAK	LOC120418907|XP_039437368.1|CPIP
OG0003661	LOC6533490|XP_015050059.1|DYAK	LOC120420644|XP_039439656.1|CPIP
OG0003662	LOC6539391|XP_002086283.2|DYAK	LOC120420685|XP_039439714.1|CPIP
OG0003663	LOC6533111|XP_039230232.1|DYAK	LOC120412381|XP_039428743.1|CPIP
OG0003664	LOC6533113|XP_039230223.1|DYAK	LOC120412380|XP_039428739.1|CPIP
OG0003665	LOC6528895|XP_039226884.1|DYAK	LOC120412390|XP_039428765.1|CPIP
OG0003666	LOC6528317|XP_002089370.1|DYAK	LOC120412392|XP_039428773.1|CPIP
OG0003667	LOC6532792|XP_002093530.1|DYAK	LOC120413486|XP_039430270.1|CPIP
OG0003668	LOC6539201|XP_002086102.1|DYAK	LOC120412619|XP_039429103.1|CPIP
OG0003669	LOC6529364|XP_002090369.1|DYAK	LOC120421527|XP_039440680.1|CPIP
OG0003670	LOC6529365|XP_002090370.1|DYAK	LOC120421526|XP_039440679.1|CPIP
OG0003671	LOC6531867|XP_039228179.1|DYAK	LOC120429132|XP_039450264.1|CPIP
OG0003672	LOC6538558|XP_002099080.1|DYAK	LOC120424862|XP_039445049.1|CPIP
OG0003673	LOC26534846|XP_015051434.2|DYAK	LOC120430654|XP_039451694.1|CPIP
OG0003674	LOC6531489|XP_039228016.1|DYAK	LOC120422291|XP_039441617.1|CPIP
OG0003675	LOC6528515|XP_002089561.1|DYAK	LOC120422294|XP_039441621.1|CPIP
OG0003676	LOC6528514|XP_039227128.1|DYAK	LOC120422293|XP_039441620.1|CPIP
OG0003677	LOC26534636|XP_039233289.1|DYAK	LOC120423606|XP_039443405.1|CPIP
OG0003678	LOC6532898|XP_002093634.3|DYAK	LOC120419972|XP_039438782.1|CPIP
OG0003679	LOC6532892|XP_002093628.1|DYAK	LOC120419980|XP_039438792.1|CPIP
OG0003680	LOC6531188|XP_002092017.1|DYAK	LOC120414123|XP_039431085.1|CPIP
OG0003681	LOC6531520|XP_002092319.1|DYAK	LOC120414124|XP_039431086.1|CPIP
OG0003682	LOC6536816|XP_002097386.2|DYAK	LOC120414114|XP_039431076.1|CPIP
OG0003683	LOC6530010|XP_002090956.2|DYAK	LOC120414122|XP_039431084.1|CPIP
OG0003684	LOC6532557|XP_002093302.1|DYAK	LOC120417210|XP_039435108.1|CPIP, LOC120430339|XP_039451375.1|CPIP
OG0003685	LOC6532646|XP_015049511.1|DYAK	LOC120418569|XP_039436947.1|CPIP, LOC120418566|XP_039436936.1|CPIP
OG0003686	LOC6528827|XP_002089859.1|DYAK	LOC120418522|XP_039436892.1|CPIP
OG0003687	LOC6531212|XP_002092040.1|DYAK	LOC120418551|XP_039436918.1|CPIP
OG0003688	LOC6531294|XP_002092098.1|DYAK	LOC120418552|XP_039436920.1|CPIP
OG0003689	LOC6535175|XP_039229722.1|DYAK	LOC120418531|XP_039436901.1|CPIP
OG0003690	LOC6534287|XP_002094968.3|DYAK	LOC120418532|XP_039436903.1|CPIP
OG0003691	LOC6539615|XP_039229876.1|DYAK	LOC120418549|XP_039436915.1|CPIP
OG0003692	LOC6528427|XP_002089473.1|DYAK	LOC120431431|XP_039452486.1|CPIP, LOC120426205|XP_039446848.1|CPIP
OG0003693	LOC6532196|XP_039229554.1|DYAK	LOC120431880|XP_039452943.1|CPIP, LOC120414462|XP_039431584.1|CPIP
OG0003694	LOC6535045|XP_002095710.1|DYAK	LOC120414433|XP_039431551.1|CPIP
OG0003695	LOC6534332|XP_002095012.1|DYAK	LOC120414447|XP_039431568.1|CPIP
OG0003696	LOC6530255|XP_002091189.2|DYAK	LOC120429028|XP_039450098.1|CPIP
OG0003697	LOC6528873|XP_002089905.1|DYAK	LOC120423616|XP_039443417.1|CPIP
OG0003698	LOC6532545|XP_002093291.1|DYAK	LOC120426782|XP_039447490.1|CPIP
OG0003699	LOC6532067|XP_039227946.1|DYAK	LOC120419515|XP_039438149.1|CPIP
OG0003700	LOC6532117|XP_002092893.1|DYAK	LOC120419539|XP_039438182.1|CPIP
OG0003701	LOC6527644|XP_002088732.1|DYAK	LOC120419523|XP_039438168.1|CPIP
OG0003702	LOC6534074|XP_002094760.1|DYAK	LOC120413393|XP_039430125.1|CPIP
OG0003703	LOC6533417|XP_002094135.1|DYAK	LOC120413412|XP_039430151.1|CPIP
OG0003704	LOC6534334|XP_002095014.1|DYAK	LOC120413401|XP_039430135.1|CPIP
OG0003705	LOC6528524|XP_039227404.1|DYAK	LOC120430383|XP_039451415.1|CPIP, LOC120430839|XP_039451889.1|CPIP
OG0003706	LOC6533105|XP_002093831.1|DYAK	LOC120427789|XP_039448647.1|CPIP
OG0003707	LOC6532339|XP_039230018.1|DYAK	LOC120427774|XP_039448628.1|CPIP
OG0003708	LOC6535101|XP_015050997.1|DYAK	LOC120422275|XP_039441593.1|CPIP, LOC120430407|XP_039451446.1|CPIP, LOC120425139|XP_039445500.1|CPIP
OG0003709	LOC6530032|XP_002090978.1|DYAK	LOC120422287|XP_039441611.1|CPIP
OG0003710	LOC6530031|XP_002090977.1|DYAK	LOC120422282|XP_039441603.1|CPIP
OG0003711	LOC6539696|XP_002086582.1|DYAK	LOC120423774|XP_039443627.1|CPIP
OG0003712	LOC6530387|XP_002091313.1|DYAK	LOC120423787|XP_039443639.1|CPIP
OG0003713	LOC6530787|XP_002091670.1|DYAK	LOC120423763|XP_039443610.1|CPIP
OG0003714	LOC6530786|XP_002091669.1|DYAK	LOC120423785|XP_039443637.1|CPIP
OG0003715	LOC6532734|XP_002093476.1|DYAK	LOC120421632|XP_039440793.1|CPIP
OG0003716	LOC6533968|XP_002094666.1|DYAK	LOC120424482|XP_039444555.1|CPIP
OG0003717	LOC6534422|XP_002095100.1|DYAK	LOC120424490|XP_039444568.1|CPIP
OG0003718	LOC6532759|XP_002093501.1|DYAK	LOC120424499|XP_039444584.1|CPIP
OG0003719	LOC6534069|XP_002094755.1|DYAK	LOC120420919|XP_039439980.1|CPIP
OG0003720	LOC6526169|XP_002101979.1|DYAK	LOC120430130|XP_039451149.1|CPIP, LOC120431473|XP_039452521.1|CPIP
OG0003721	LOC6531289|XP_002092093.1|DYAK	LOC120431479|XP_039452528.1|CPIP, LOC120424649|XP_039444754.1|CPIP
OG0003722	LOC6533347|XP_039229625.1|DYAK	LOC120429807|XP_039450791.1|CPIP
OG0003723	LOC6532561|XP_002093306.1|DYAK	LOC120412586|XP_039429033.1|CPIP
OG0003724	LOC6533080|XP_002093812.1|DYAK	LOC120412597|XP_039429064.1|CPIP
OG0003725	LOC6533899|XP_015050323.1|DYAK	LOC120412571|XP_039429019.1|CPIP
OG0003726	LOC6533055|XP_002093787.1|DYAK	LOC120412604|XP_039429086.1|CPIP
OG0003727	LOC6539381|XP_039230450.1|DYAK	LOC120427731|XP_039448568.1|CPIP
OG0003728	LOC6537077|XP_002097638.1|DYAK	LOC120415775|XP_039433329.1|CPIP
OG0003729	LOC6532447|XP_015049357.1|DYAK	LOC120415774|XP_039433324.1|CPIP
OG0003730	LOC6533469|XP_039229471.1|DYAK	LOC120418658|XP_039437038.1|CPIP
OG0003731	LOC6532939|XP_002093674.1|DYAK	LOC120418686|XP_039437082.1|CPIP
OG0003732	LOC6533648|XP_002094354.1|DYAK	LOC120418682|XP_039437073.1|CPIP
OG0003733	LOC6532356|XP_015049295.1|DYAK	LOC120418653|XP_039437032.1|CPIP
OG0003734	LOC6532242|XP_039229569.1|DYAK	LOC120418995|XP_039437499.1|CPIP
OG0003735	LOC6531921|XP_002092707.1|DYAK	LOC120427118|XP_039447905.1|CPIP
OG0003736	LOC6531064|XP_002091898.1|DYAK	LOC120427116|XP_039447899.1|CPIP
OG0003737	LOC6531609|XP_002092406.1|DYAK	LOC120427129|XP_039447916.1|CPIP
OG0003738	LOC6531334|XP_002092138.2|DYAK	LOC120422705|XP_039442151.1|CPIP
OG0003739	LOC6528438|XP_002089484.1|DYAK	LOC120422689|XP_039442132.1|CPIP
OG0003740	LOC6528432|XP_002089478.1|DYAK	LOC120422683|XP_039442127.1|CPIP
OG0003741	LOC6532357|XP_002093117.1|DYAK	LOC120422693|XP_039442136.1|CPIP
OG0003742	LOC6535009|XP_002095679.2|DYAK	LOC120422692|XP_039442135.1|CPIP
OG0003743	LOC6528510|XP_002089556.2|DYAK	LOC120417466|XP_039435469.1|CPIP
OG0003744	LOC6528434|XP_002089480.2|DYAK	LOC120417485|XP_039435495.1|CPIP
OG0003745	LOC6530103|XP_002091049.1|DYAK	LOC120417488|XP_039435498.1|CPIP
OG0003746	LOC6530717|XP_015051833.1|DYAK	LOC120417449|XP_039435427.1|CPIP
OG0003747	LOC6533872|XP_002094572.1|DYAK	LOC120417450|XP_039435433.1|CPIP
OG0003748	LOC6533870|XP_002094570.3|DYAK	LOC120417459|XP_039435450.1|CPIP
OG0003749	LOC6533867|XP_002094567.1|DYAK	LOC120417463|XP_039435465.1|CPIP
OG0003750	LOC6533869|XP_002094569.2|DYAK	LOC120417464|XP_039435468.1|CPIP
OG0003751	LOC6533865|XP_039229917.1|DYAK	LOC120417460|XP_039435452.1|CPIP
OG0003752	LOC6534377|XP_015050595.1|DYAK	LOC120431235|XP_039452305.1|CPIP
OG0003753	LOC6533229|XP_002093955.1|DYAK	LOC120429824|XP_039450817.1|CPIP
OG0003754	LOC6533227|XP_002093953.1|DYAK	LOC120429818|XP_039450811.1|CPIP
OG0003755	LOC6534373|XP_002095051.2|DYAK	LOC120421407|XP_039440543.1|CPIP
OG0003756	LOC6539199|XP_002086100.1|DYAK	LOC120421379|XP_039440509.1|CPIP
OG0003757	LOC6532130|XP_002092906.1|DYAK	LOC120431182|XP_039452259.1|CPIP
OG0003758	LOC6531042|XP_039227869.1|DYAK	LOC120421895|XP_039441124.1|CPIP
OG0003759	LOC6532694|XP_039229783.1|DYAK	LOC120421896|XP_039441127.1|CPIP
OG0003760	LOC6531235|XP_002092047.1|DYAK	LOC120421937|XP_039441178.1|CPIP
OG0003761	LOC6532707|XP_002093449.1|DYAK	LOC120421914|XP_039441149.1|CPIP
OG0003762	LOC6532705|XP_002093447.1|DYAK	LOC120421893|XP_039441120.1|CPIP
OG0003763	LOC6533160|XP_015049826.1|DYAK	LOC120421903|XP_039441135.1|CPIP
OG0003764	LOC6533155|XP_039229659.1|DYAK	LOC120430638|XP_039451668.1|CPIP
OG0003765	LOC6527550|XP_002088640.1|DYAK	LOC120430639|XP_039451673.1|CPIP
OG0003766	LOC6524186|XP_002100049.1|DYAK	LOC120431060|XP_039452147.1|CPIP
OG0003767	LOC6531548|XP_002092346.1|DYAK	LOC120431063|XP_039452153.1|CPIP, LOC120431057|XP_039452145.1|CPIP
OG0003768	LOC6529280|XP_039228883.1|DYAK	LOC120427294|XP_039448080.1|CPIP
OG0003769	LOC6529285|XP_002090290.2|DYAK	LOC120427295|XP_039448083.1|CPIP
OG0003770	LOC6523765|XP_039232893.1|DYAK	LOC120418842|XP_039437297.1|CPIP
OG0003771	LOC6532746|XP_002093488.1|DYAK	LOC120418819|XP_039437264.1|CPIP
OG0003772	LOC6532612|XP_002093356.1|DYAK	LOC120418824|XP_039437272.1|CPIP
OG0003773	LOC6528834|XP_002089866.1|DYAK	LOC120418823|XP_039437271.1|CPIP
