Orthogroup	DFIC.longest_only	CCAP.longest_only
OG0003698	LOC108087569|XP_017040488.1|DFIC	CCAP1982_LOCUS11425|CAD7002961.1|CCAP
OG0003699	LOC108101877|XP_017061901.1|DFIC	CCAP1982_LOCUS23399|CAD7015459.1|CCAP
OG0003700	LOC108090841|XP_017045200.1|DFIC	CCAP1982_LOCUS22160|CAD7014154.1|CCAP
OG0003701	LOC108100848|XP_017060417.1|DFIC	CCAP1982_LOCUS8186|CAD6999656.1|CCAP
OG0003702	LOC108086933|XP_017039531.1|DFIC	CCAP1982_LOCUS12284|CAD7003854.1|CCAP
OG0003703	LOC108099212|XP_017058080.1|DFIC	CCAP1982_LOCUS13305|CAD7004922.1|CCAP
OG0003704	LOC108099888|XP_017059032.1|DFIC	CCAP1982_LOCUS12033|CAD7003584.1|CCAP
OG0003705	LOC108101519|XP_017061370.1|DFIC	CCAP1982_LOCUS21875|CAD7013856.1|CCAP
OG0003706	LOC108093174|XP_017048615.1|DFIC	CCAP1982_LOCUS10911|CAD7002420.1|CCAP
OG0003707	LOC108100351|XP_017059672.1|DFIC	CCAP1982_LOCUS10916|CAD7002425.1|CCAP
OG0003708	LOC108089396|XP_017043072.1|DFIC	CCAP1982_LOCUS19354|CAD7011246.1|CCAP
OG0003709	LOC108096638|XP_017053883.1|DFIC	CCAP1982_LOCUS23119|CAD7015166.1|CCAP
OG0003710	LOC108096637|XP_017053882.1|DFIC	CCAP1982_LOCUS23117|CAD7015164.1|CCAP
OG0003711	LOC108088843|XP_017042306.1|DFIC	CCAP1982_LOCUS11818|CAD7003359.1|CCAP
OG0003712	LOC108101574|XP_017061474.1|DFIC	CCAP1982_LOCUS7182|CAD6998607.1|CCAP
OG0003713	LOC108094879|XP_017051199.1|DFIC	CCAP1982_LOCUS7183|CAD6998608.1|CCAP
OG0003714	LOC108094877|XP_017051198.1|DFIC	CCAP1982_LOCUS7184|CAD6998609.1|CCAP
OG0003715	LOC108088947|XP_017042458.1|DFIC	CCAP1982_LOCUS13001|CAD7004606.1|CCAP
OG0003716	LOC108095449|XP_017052047.1|DFIC	CCAP1982_LOCUS12861|CAD7004455.1|CCAP
OG0003717	LOC108089636|XP_017043491.1|DFIC	CCAP1982_LOCUS11998|CAD7003550.1|CCAP
OG0003718	LOC108088943|XP_017042455.1|DFIC	CCAP1982_LOCUS13032|CAD7004637.1|CCAP
OG0003719	LOC108086938|XP_017039536.1|DFIC	CCAP1982_LOCUS14044|CAD7005692.1|CCAP
OG0003721	LOC108096823|XP_017054215.1|DFIC	CCAP1982_LOCUS23140|CAD7015189.1|CCAP
OG0003722	LOC108086975|XP_017039579.1|DFIC	CCAP1982_LOCUS12402|CAD7003979.1|CCAP
OG0003723	LOC108087447|XP_017040291.1|DFIC	CCAP1982_LOCUS11056|CAD7002568.1|CCAP
OG0003724	LOC108089757|XP_017043635.1|DFIC	CCAP1982_LOCUS12892|CAD7004490.1|CCAP
OG0003725	LOC108089436|XP_017043155.1|DFIC	CCAP1982_LOCUS12240|CAD7003807.1|CCAP, CCAP1982_LOCUS12242|CAD7003809.1|CCAP
OG0003726	LOC108089023|XP_017042597.1|DFIC	CCAP1982_LOCUS11955|CAD7003505.1|CCAP
OG0003727	LOC108093159|XP_017048595.1|DFIC	CCAP1982_LOCUS13007|CAD7004612.1|CCAP
OG0003728	LOC108097384|XP_017055128.1|DFIC	CCAP1982_LOCUS5087|CAD6996414.1|CCAP
OG0003729	LOC108100275|XP_017059549.1|DFIC	CCAP1982_LOCUS11256|CAD7002783.1|CCAP
OG0003730	LOC108099046|XP_017057796.1|DFIC	CCAP1982_LOCUS13186|CAD7004796.1|CCAP, CCAP1982_LOCUS13185|CAD7004795.1|CCAP
OG0003731	LOC108100385|XP_017059729.1|DFIC	CCAP1982_LOCUS12325|CAD7003895.1|CCAP
OG0003732	LOC108099968|XP_017059146.1|DFIC	CCAP1982_LOCUS11049|CAD7002561.1|CCAP
OG0003733	LOC108100551|XP_017060010.1|DFIC	CCAP1982_LOCUS11700|CAD7003238.1|CCAP, CCAP1982_LOCUS11945|CAD7003495.1|CCAP
OG0003734	LOC108099041|XP_017057790.1|DFIC	CCAP1982_LOCUS14820|CAD7006504.1|CCAP
OG0003735	LOC108090926|XP_017045346.1|DFIC	CCAP1982_LOCUS7104|CAD6998516.1|CCAP
OG0003736	LOC108096614|XP_017053847.1|DFIC	CCAP1982_LOCUS21665|CAD7013613.1|CCAP
OG0003737	LOC108096728|XP_017054061.1|DFIC	CCAP1982_LOCUS22961|CAD7015003.1|CCAP
OG0003738	LOC108096942|XP_017054391.1|DFIC	CCAP1982_LOCUS23063|CAD7015110.1|CCAP, CCAP1982_LOCUS23064|CAD7015111.1|CCAP
OG0003739	LOC108093833|XP_017049651.1|DFIC	CCAP1982_LOCUS21686|CAD7013639.1|CCAP
OG0003740	LOC108094027|XP_017049947.1|DFIC	CCAP1982_LOCUS21681|CAD7013634.1|CCAP
OG0003741	LOC108100552|XP_017060012.1|DFIC	CCAP1982_LOCUS12046|CAD7003598.1|CCAP
OG0003742	LOC108088305|XP_017041524.1|DFIC	CCAP1982_LOCUS13569|CAD7005209.1|CCAP
OG0003743	LOC108101479|XP_017061315.1|DFIC	CCAP1982_LOCUS21675|CAD7013625.1|CCAP
OG0003744	LOC108093877|XP_017049711.1|DFIC	CCAP1982_LOCUS21683|CAD7013636.1|CCAP
OG0003745	LOC108086698|XP_017039186.1|DFIC	CCAP1982_LOCUS22908|CAD7014945.1|CCAP
OG0003746	LOC108095164|XP_017051611.1|DFIC	CCAP1982_LOCUS22266|CAD7014263.1|CCAP
OG0003747	LOC108089648|XP_017043505.1|DFIC	CCAP1982_LOCUS11210|CAD7002735.1|CCAP
OG0003748	LOC108089644|XP_017043501.1|DFIC	CCAP1982_LOCUS11216|CAD7002742.1|CCAP
OG0003749	LOC108089498|XP_017043290.1|DFIC	CCAP1982_LOCUS13308|CAD7004925.1|CCAP
OG0003750	LOC108089499|XP_017043292.1|DFIC	CCAP1982_LOCUS13306|CAD7004923.1|CCAP
OG0003751	LOC108089405|XP_017043084.1|DFIC	CCAP1982_LOCUS13309|CAD7004926.1|CCAP
OG0003752	LOC108100525|XP_017059973.1|DFIC	CCAP1982_LOCUS11852|CAD7003394.1|CCAP
OG0003753	LOC108093215|XP_017048667.1|DFIC	CCAP1982_LOCUS11856|CAD7003399.1|CCAP
OG0003754	LOC108093162|XP_017048598.1|DFIC	CCAP1982_LOCUS11855|CAD7003398.1|CCAP
OG0003755	LOC108099821|XP_017058939.1|DFIC	CCAP1982_LOCUS11175|CAD7002698.1|CCAP, CCAP1982_LOCUS11174|CAD7002697.1|CCAP
OG0003756	LOC108094189|XP_017050135.1|DFIC	CCAP1982_LOCUS23023|CAD7015067.1|CCAP
OG0003757	LOC108090859|XP_017045234.1|DFIC	CCAP1982_LOCUS22116|CAD7014110.1|CCAP
OG0003758	LOC108087804|XP_017040845.1|DFIC	CCAP1982_LOCUS21779|CAD7013748.1|CCAP
OG0003759	LOC108088973|XP_017042494.1|DFIC	CCAP1982_LOCUS11192|CAD7002717.1|CCAP
OG0003760	LOC108093924|XP_017049782.1|DFIC	CCAP1982_LOCUS19957|CAD7011848.1|CCAP
OG0003761	LOC108089028|XP_017042611.1|DFIC	CCAP1982_LOCUS11190|CAD7002715.1|CCAP
OG0003762	LOC108089029|XP_017042612.1|DFIC	CCAP1982_LOCUS11188|CAD7002712.1|CCAP
OG0003763	LOC108093221|XP_017048679.1|DFIC	CCAP1982_LOCUS12557|CAD7004137.1|CCAP
OG0003764	LOC108093233|XP_017048696.1|DFIC	CCAP1982_LOCUS12566|CAD7004146.1|CCAP
OG0003765	LOC108092359|XP_017047426.1|DFIC, LOC108092609|XP_017047738.1|DFIC	CCAP1982_LOCUS7854|CAD6999327.1|CCAP
OG0003767	LOC108086457|XP_017038871.1|DFIC	CCAP1982_LOCUS21617|CAD7013561.1|CCAP
OG0003768	LOC108086470|XP_017038886.1|DFIC	CCAP1982_LOCUS21741|CAD7013702.1|CCAP
OG0003769	LOC108086443|XP_017038849.1|DFIC	CCAP1982_LOCUS21766|CAD7013735.1|CCAP
OG0003770	LOC108101721|XP_017061660.1|DFIC	CCAP1982_LOCUS10046|CAD7001551.1|CCAP
OG0003771	LOC108089039|XP_017042632.1|DFIC	CCAP1982_LOCUS11845|CAD7003387.1|CCAP, CCAP1982_LOCUS11844|CAD7003385.1|CCAP
OG0003772	LOC108096247|XP_017053179.1|DFIC	CCAP1982_LOCUS12758|CAD7004342.1|CCAP
OG0003773	LOC108090730|XP_017045033.1|DFIC	CCAP1982_LOCUS22282|CAD7014279.1|CCAP
OG0003774	LOC108090771|XP_017045101.1|DFIC	CCAP1982_LOCUS22285|CAD7014282.1|CCAP
OG0003775	LOC108097680|XP_017055634.1|DFIC	CCAP1982_LOCUS8887|CAD7000411.1|CCAP
OG0003776	LOC108094279|XP_017050261.1|DFIC	CCAP1982_LOCUS22302|CAD7014300.1|CCAP
OG0003777	LOC108101566|XP_017061464.1|DFIC	CCAP1982_LOCUS21873|CAD7013854.1|CCAP, CCAP1982_LOCUS21872|CAD7013853.1|CCAP
OG0003778	LOC108086408|XP_017038799.1|DFIC	CCAP1982_LOCUS22486|CAD7014485.1|CCAP
OG0003779	LOC108094865|XP_017051174.1|DFIC	CCAP1982_LOCUS7188|CAD6998613.1|CCAP
OG0003780	LOC108093781|XP_017049549.1|DFIC	CCAP1982_LOCUS23198|CAD7015249.1|CCAP
OG0003781	LOC108095040|XP_017051421.1|DFIC	CCAP1982_LOCUS10121|CAD7001627.1|CCAP
OG0003783	LOC108095804|XP_017052562.1|DFIC	CCAP1982_LOCUS2717|CAD6993929.1|CCAP
OG0003784	LOC108090397|XP_017044534.1|DFIC	CCAP1982_LOCUS21732|CAD7013691.1|CCAP
OG0003785	LOC108095528|XP_017052145.1|DFIC	CCAP1982_LOCUS22194|CAD7014188.1|CCAP
OG0003786	LOC108090456|XP_017044637.1|DFIC	CCAP1982_LOCUS7209|CAD6998638.1|CCAP
OG0003787	LOC108090459|XP_017044640.1|DFIC	CCAP1982_LOCUS7207|CAD6998636.1|CCAP
OG0003789	LOC108101544|XP_017061421.1|DFIC	CCAP1982_LOCUS21199|CAD7013127.1|CCAP
OG0003790	LOC108089615|XP_017043466.1|DFIC	CCAP1982_LOCUS11836|CAD7003377.1|CCAP
OG0003791	LOC108091796|XP_017046648.1|DFIC	CCAP1982_LOCUS4446|CAD6995741.1|CCAP
OG0003792	LOC108093914|XP_017049771.1|DFIC	CCAP1982_LOCUS19953|CAD7011844.1|CCAP
OG0003793	LOC108090860|XP_017045235.1|DFIC	CCAP1982_LOCUS21395|CAD7013325.1|CCAP
OG0003794	LOC108096859|XP_017054272.1|DFIC	CCAP1982_LOCUS20803|CAD7012696.1|CCAP
OG0003795	LOC108087499|XP_017040384.1|DFIC	CCAP1982_LOCUS14674|CAD7006352.1|CCAP
OG0003796	LOC108088450|XP_017041718.1|DFIC	CCAP1982_LOCUS3197|CAD6994450.1|CCAP
OG0003797	LOC108090057|XP_017044054.1|DFIC	CCAP1982_LOCUS6552|CAD6997934.1|CCAP
OG0003798	LOC108090964|XP_017045397.1|DFIC	CCAP1982_LOCUS22894|CAD7014931.1|CCAP
OG0003799	LOC108096812|XP_017054192.1|DFIC	CCAP1982_LOCUS22887|CAD7014923.1|CCAP
OG0003800	LOC108090056|XP_017044053.1|DFIC	CCAP1982_LOCUS5304|CAD6996624.1|CCAP
OG0003801	LOC108098383|XP_017056736.1|DFIC	CCAP1982_LOCUS5506|CAD6996833.1|CCAP, CCAP1982_LOCUS5505|CAD6996832.1|CCAP
OG0003802	LOC108098334|XP_017056656.1|DFIC	CCAP1982_LOCUS5798|CAD6997154.1|CCAP
OG0003803	LOC108088453|XP_017041722.1|DFIC	CCAP1982_LOCUS1579|CAD6992734.1|CCAP
OG0003804	LOC108090034|XP_017044017.1|DFIC	CCAP1982_LOCUS5284|CAD6996612.1|CCAP, CCAP1982_LOCUS5286|CAD6996614.1|CCAP
OG0003805	LOC108091477|XP_017046187.1|DFIC	CCAP1982_LOCUS6671|CAD6998055.1|CCAP
OG0003806	LOC108101355|XP_017061150.1|DFIC	CCAP1982_LOCUS5883|CAD6997250.1|CCAP
OG0003808	LOC108099879|XP_017059020.1|DFIC	CCAP1982_LOCUS12809|CAD7004399.1|CCAP
OG0003809	LOC108101239|XP_017060982.1|DFIC	CCAP1982_LOCUS8799|CAD7000314.1|CCAP
OG0003810	LOC108101840|XP_017061842.1|DFIC	CCAP1982_LOCUS22830|CAD7014864.1|CCAP
OG0003811	LOC108094917|XP_017051256.1|DFIC	CCAP1982_LOCUS20526|CAD7012445.1|CCAP
OG0003812	LOC108091434|XP_017046114.1|DFIC	CCAP1982_LOCUS6935|CAD6998330.1|CCAP, CCAP1982_LOCUS6934|CAD6998329.1|CCAP
OG0003813	LOC108101187|XP_017060918.1|DFIC	CCAP1982_LOCUS5706|CAD6997052.1|CCAP
OG0003814	LOC108094517|XP_017050607.1|DFIC	CCAP1982_LOCUS8342|CAD6999831.1|CCAP
OG0003815	LOC108093351|XP_017048850.1|DFIC	CCAP1982_LOCUS3110|CAD6994356.1|CCAP
OG0003816	LOC108094449|XP_017050516.1|DFIC	CCAP1982_LOCUS7861|CAD6999334.1|CCAP
OG0003817	LOC108097854|XP_017055879.1|DFIC	CCAP1982_LOCUS7853|CAD6999326.1|CCAP
OG0003818	LOC108096097|XP_017052960.1|DFIC	CCAP1982_LOCUS7280|CAD6998723.1|CCAP
OG0003819	LOC108091499|XP_017046221.1|DFIC	CCAP1982_LOCUS7276|CAD6998719.1|CCAP
OG0003820	LOC108099411|XP_017058415.1|DFIC	CCAP1982_LOCUS83|CAD6991141.1|CCAP
OG0003821	LOC108101606|XP_017061508.1|DFIC	CCAP1982_LOCUS7180|CAD6998605.1|CCAP
OG0003822	LOC108093015|XP_017048406.1|DFIC	CCAP1982_LOCUS6140|CAD6997499.1|CCAP
OG0003823	LOC108094158|XP_017050089.1|DFIC, LOC108101687|XP_017061609.1|DFIC	CCAP1982_LOCUS8357|CAD6999845.1|CCAP
OG0003824	LOC108094438|XP_017050497.1|DFIC	CCAP1982_LOCUS6116|CAD6997474.1|CCAP
OG0003825	LOC108095605|XP_017052294.1|DFIC, LOC108100997|XP_017060651.1|DFIC	CCAP1982_LOCUS9117|CAD7000643.1|CCAP
OG0003826	LOC108089990|XP_017043980.1|DFIC	CCAP1982_LOCUS7874|CAD6999347.1|CCAP
OG0003828	LOC108101928|XP_017062003.1|DFIC, LOC108097844|XP_017055863.1|DFIC	CCAP1982_LOCUS5595|CAD6996925.1|CCAP
OG0003829	LOC108090058|XP_017044055.1|DFIC	CCAP1982_LOCUS6584|CAD6997966.1|CCAP
OG0003830	LOC108093440|XP_017048993.1|DFIC	CCAP1982_LOCUS8407|CAD6999897.1|CCAP
OG0003831	LOC108099576|XP_017058668.1|DFIC	CCAP1982_LOCUS3015|CAD6994254.1|CCAP
OG0003832	LOC108088173|XP_017041339.1|DFIC	CCAP1982_LOCUS6414|CAD6997789.1|CCAP
OG0003833	LOC108088178|XP_017041347.1|DFIC	CCAP1982_LOCUS6417|CAD6997792.1|CCAP
OG0003834	LOC108088176|XP_017041343.1|DFIC	CCAP1982_LOCUS5881|CAD6997247.1|CCAP
OG0003836	LOC108101215|XP_017060953.1|DFIC	CCAP1982_LOCUS11112|CAD7002628.1|CCAP
OG0003837	LOC108101228|XP_017060967.1|DFIC	CCAP1982_LOCUS5808|CAD6997165.1|CCAP
OG0003838	LOC108092344|XP_017047370.1|DFIC	CCAP1982_LOCUS6716|CAD6998102.1|CCAP
OG0003839	LOC108092704|XP_017047908.1|DFIC	CCAP1982_LOCUS5500|CAD6996827.1|CCAP
OG0003840	LOC108101481|XP_017061318.1|DFIC	CCAP1982_LOCUS21671|CAD7013620.1|CCAP
OG0003841	LOC108092435|XP_017047505.1|DFIC	CCAP1982_LOCUS8955|CAD7000476.1|CCAP
OG0003842	LOC108100056|XP_017059277.1|DFIC	CCAP1982_LOCUS5694|CAD6997036.1|CCAP
OG0003843	LOC108098319|XP_017056631.1|DFIC	CCAP1982_LOCUS6000|CAD6997367.1|CCAP
OG0003844	LOC108092678|XP_017047853.1|DFIC	CCAP1982_LOCUS5698|CAD6997041.1|CCAP
OG0003845	LOC108101755|XP_017061711.1|DFIC	CCAP1982_LOCUS6223|CAD6997584.1|CCAP
OG0003846	LOC108102229|XP_017062450.1|DFIC, LOC108097851|XP_017055874.1|DFIC	CCAP1982_LOCUS5655|CAD6996994.1|CCAP
OG0003848	LOC108092149|XP_017047156.1|DFIC	CCAP1982_LOCUS6404|CAD6997779.1|CCAP
OG0003849	LOC108096518|XP_017053637.1|DFIC	CCAP1982_LOCUS22355|CAD7014358.1|CCAP
OG0003850	LOC108098380|XP_017056732.1|DFIC	CCAP1982_LOCUS6057|CAD6997416.1|CCAP
OG0003851	LOC108094913|XP_017051248.1|DFIC	CCAP1982_LOCUS12771|CAD7004356.1|CCAP
OG0003852	LOC108092391|XP_017047441.1|DFIC	CCAP1982_LOCUS8118|CAD6999596.1|CCAP
OG0003853	LOC108093827|XP_017049643.1|DFIC	CCAP1982_LOCUS22260|CAD7014257.1|CCAP
OG0003854	LOC108098195|XP_017056420.1|DFIC	CCAP1982_LOCUS7898|CAD6999371.1|CCAP
OG0003855	LOC108098192|XP_017056416.1|DFIC	CCAP1982_LOCUS7899|CAD6999372.1|CCAP
OG0003856	LOC108100109|XP_017059345.1|DFIC	CCAP1982_LOCUS7076|CAD6998482.1|CCAP, CCAP1982_LOCUS7075|CAD6998481.1|CCAP
OG0003857	LOC108098229|XP_017056499.1|DFIC	CCAP1982_LOCUS6970|CAD6998370.1|CCAP, CCAP1982_LOCUS6971|CAD6998371.1|CCAP
OG0003859	LOC108096083|XP_017052936.1|DFIC	CCAP1982_LOCUS7282|CAD6998725.1|CCAP
OG0003860	LOC108093998|XP_017049907.1|DFIC	CCAP1982_LOCUS22256|CAD7014253.1|CCAP
OG0003861	LOC108092354|XP_017047377.1|DFIC	CCAP1982_LOCUS7807|CAD6999278.1|CCAP
OG0003862	LOC108093417|XP_017048952.1|DFIC	CCAP1982_LOCUS6229|CAD6997590.1|CCAP
OG0003863	LOC108101400|XP_017061209.1|DFIC, LOC108086358|XP_017038748.1|DFIC	CCAP1982_LOCUS5977|CAD6997345.1|CCAP
OG0003864	LOC108093459|XP_017049024.1|DFIC	CCAP1982_LOCUS5978|CAD6997346.1|CCAP
OG0003865	LOC108095977|XP_017052810.1|DFIC	CCAP1982_LOCUS88|CAD6991146.1|CCAP
OG0003866	LOC108093433|XP_017048982.1|DFIC	CCAP1982_LOCUS5492|CAD6996819.1|CCAP
OG0003867	LOC108091717|XP_017046546.1|DFIC	CCAP1982_LOCUS5888|CAD6997255.1|CCAP
OG0003868	LOC108089112|XP_017042712.1|DFIC	CCAP1982_LOCUS6457|CAD6997833.1|CCAP
OG0003869	LOC108092550|XP_017047674.1|DFIC	CCAP1982_LOCUS6926|CAD6998320.1|CCAP
OG0003870	LOC108102061|XP_017062185.1|DFIC, LOC108096053|XP_017052887.1|DFIC	CCAP1982_LOCUS8679|CAD7000186.1|CCAP
OG0003871	LOC108094490|XP_017050568.1|DFIC	CCAP1982_LOCUS7306|CAD6998752.1|CCAP
OG0003872	LOC108093864|XP_017049693.1|DFIC	CCAP1982_LOCUS20638|CAD7012553.1|CCAP
OG0003873	LOC108089912|XP_017043882.1|DFIC	CCAP1982_LOCUS8327|CAD6999812.1|CCAP
OG0003874	LOC108093397|XP_017048905.1|DFIC	CCAP1982_LOCUS5791|CAD6997146.1|CCAP, CCAP1982_LOCUS5790|CAD6997145.1|CCAP
OG0003875	LOC108089115|XP_017042715.1|DFIC	CCAP1982_LOCUS5551|CAD6996878.1|CCAP
OG0003876	LOC108094172|XP_017050121.1|DFIC	CCAP1982_LOCUS4573|CAD6995872.1|CCAP, CCAP1982_LOCUS8515|CAD7000010.1|CCAP
OG0003877	LOC108094547|XP_017050645.1|DFIC	CCAP1982_LOCUS5331|CAD6996647.1|CCAP, CCAP1982_LOCUS5332|CAD6996648.1|CCAP
OG0003878	LOC108096081|XP_017052931.1|DFIC	CCAP1982_LOCUS7283|CAD6998726.1|CCAP
OG0003879	LOC108099057|XP_017057814.1|DFIC	CCAP1982_LOCUS11129|CAD7002646.1|CCAP
OG0003880	LOC108099857|XP_017058992.1|DFIC	CCAP1982_LOCUS11022|CAD7002533.1|CCAP
OG0003881	LOC108101850|XP_017061858.1|DFIC	CCAP1982_LOCUS21702|CAD7013660.1|CCAP
OG0003882	LOC108098706|XP_017057312.1|DFIC	CCAP1982_LOCUS7236|CAD6998677.1|CCAP
OG0003884	LOC108092695|XP_017047895.1|DFIC	CCAP1982_LOCUS5819|CAD6997177.1|CCAP
OG0003885	LOC108088201|XP_017041390.1|DFIC	CCAP1982_LOCUS6174|CAD6997535.1|CCAP
OG0003886	LOC108088142|XP_017041296.1|DFIC	CCAP1982_LOCUS6175|CAD6997536.1|CCAP
OG0003887	LOC108092436|XP_017047506.1|DFIC	CCAP1982_LOCUS8956|CAD7000477.1|CCAP
OG0003888	LOC108099356|XP_017058331.1|DFIC	CCAP1982_LOCUS32|CAD6991084.1|CCAP
OG0003889	LOC108101299|XP_017061090.1|DFIC	CCAP1982_LOCUS8450|CAD6999942.1|CCAP
OG0003891	LOC108092680|XP_017047856.1|DFIC	CCAP1982_LOCUS5531|CAD6996855.1|CCAP
OG0003892	LOC108100278|XP_017059553.1|DFIC	CCAP1982_LOCUS11258|CAD7002785.1|CCAP
OG0003893	LOC108094456|XP_017050523.1|DFIC	CCAP1982_LOCUS5556|CAD6996883.1|CCAP
OG0003894	LOC108089260|XP_017042917.1|DFIC	CCAP1982_LOCUS5612|CAD6996942.1|CCAP
OG0003895	LOC108095238|XP_017051755.1|DFIC	CCAP1982_LOCUS23333|CAD7015389.1|CCAP
OG0003896	LOC108095198|XP_017051693.1|DFIC	CCAP1982_LOCUS23329|CAD7015385.1|CCAP
OG0003897	LOC108094028|XP_017049948.1|DFIC	CCAP1982_LOCUS23317|CAD7015373.1|CCAP
OG0003898	LOC108101175|XP_017060894.1|DFIC	CCAP1982_LOCUS5825|CAD6997185.1|CCAP
OG0003899	LOC108091464|XP_017046165.1|DFIC	CCAP1982_LOCUS6942|CAD6998340.1|CCAP
OG0003900	LOC108101294|XP_017061085.1|DFIC	CCAP1982_LOCUS8154|CAD6999622.1|CCAP, CCAP1982_LOCUS8155|CAD6999623.1|CCAP
OG0003901	LOC108098231|XP_017056502.1|DFIC, LOC108094094|XP_017050039.1|DFIC	CCAP1982_LOCUS7415|CAD6998868.1|CCAP
OG0003902	LOC108100047|XP_017059266.1|DFIC	CCAP1982_LOCUS7420|CAD6998873.1|CCAP
OG0003903	LOC108100861|XP_017060429.1|DFIC	CCAP1982_LOCUS8447|CAD6999938.1|CCAP
OG0003904	LOC108100859|XP_017060428.1|DFIC	CCAP1982_LOCUS8448|CAD6999939.1|CCAP
OG0003905	LOC108099340|XP_017058305.1|DFIC	CCAP1982_LOCUS21248|CAD7013177.1|CCAP
OG0003906	LOC108090951|XP_017045384.1|DFIC	CCAP1982_LOCUS7232|CAD6998672.1|CCAP, CCAP1982_LOCUS7233|CAD6998673.1|CCAP
OG0003907	LOC108091551|XP_017046311.1|DFIC	CCAP1982_LOCUS7302|CAD6998748.1|CCAP
OG0003908	LOC108091431|XP_017046111.1|DFIC	CCAP1982_LOCUS7301|CAD6998747.1|CCAP
OG0003909	LOC108086453|XP_017038860.1|DFIC	CCAP1982_LOCUS21305|CAD7013234.1|CCAP
OG0003910	LOC108096107|XP_017052972.1|DFIC	CCAP1982_LOCUS21307|CAD7013236.1|CCAP
OG0003911	LOC108089879|XP_017043828.1|DFIC	CCAP1982_LOCUS8213|CAD6999685.1|CCAP
OG0003912	LOC108094548|XP_017050646.1|DFIC	CCAP1982_LOCUS7591|CAD6999044.1|CCAP
OG0003913	LOC108092746|XP_017047964.1|DFIC	CCAP1982_LOCUS7858|CAD6999331.1|CCAP
OG0003916	LOC108098279|XP_017056570.1|DFIC	CCAP1982_LOCUS8075|CAD6999555.1|CCAP
OG0003917	LOC108089852|XP_017043785.1|DFIC	CCAP1982_LOCUS6863|CAD6998254.1|CCAP
OG0003918	LOC108093514|XP_017049095.1|DFIC	CCAP1982_LOCUS6812|CAD6998196.1|CCAP
OG0003919	LOC108092515|XP_017047626.1|DFIC	CCAP1982_LOCUS8390|CAD6999881.1|CCAP
OG0003920	LOC108096967|XP_017054433.1|DFIC	CCAP1982_LOCUS22598|CAD7014605.1|CCAP
OG0003921	LOC108089955|XP_017043935.1|DFIC	CCAP1982_LOCUS5673|CAD6997012.1|CCAP
OG0003922	LOC108100038|XP_017059251.1|DFIC	CCAP1982_LOCUS8570|CAD7000069.1|CCAP
OG0003923	LOC108098408|XP_017056791.1|DFIC	CCAP1982_LOCUS10228|CAD7001738.1|CCAP
OG0003924	LOC108087769|XP_017040788.1|DFIC	CCAP1982_LOCUS22499|CAD7014497.1|CCAP
OG0003925	LOC108089897|XP_017043860.1|DFIC	CCAP1982_LOCUS8469|CAD6999962.1|CCAP
OG0003926	LOC108089861|XP_017043796.1|DFIC	CCAP1982_LOCUS8459|CAD6999951.1|CCAP
OG0003927	LOC108092518|XP_017047629.1|DFIC	CCAP1982_LOCUS9171|CAD7000697.1|CCAP
OG0003928	LOC108100960|XP_017060600.1|DFIC	CCAP1982_LOCUS9116|CAD7000642.1|CCAP
OG0003929	LOC108100068|XP_017059292.1|DFIC	CCAP1982_LOCUS7056|CAD6998459.1|CCAP
OG0003930	LOC108088212|XP_017041405.1|DFIC	CCAP1982_LOCUS5761|CAD6997111.1|CCAP
OG0003931	LOC108088181|XP_017041357.1|DFIC	CCAP1982_LOCUS5767|CAD6997119.1|CCAP
OG0003932	LOC108090530|XP_017044742.1|DFIC	CCAP1982_LOCUS22548|CAD7014547.1|CCAP
OG0003933	LOC108089966|XP_017043950.1|DFIC	CCAP1982_LOCUS8779|CAD7000289.1|CCAP
OG0003934	LOC108098729|XP_017057339.1|DFIC	CCAP1982_LOCUS6872|CAD6998263.1|CCAP
OG0003935	LOC108093929|XP_017049796.1|DFIC	CCAP1982_LOCUS22909|CAD7014946.1|CCAP
OG0003936	LOC108093931|XP_017049797.1|DFIC	CCAP1982_LOCUS22910|CAD7014947.1|CCAP
OG0003937	LOC108101504|XP_017061354.1|DFIC	CCAP1982_LOCUS22690|CAD7014708.1|CCAP
OG0003938	LOC108089841|XP_017043750.1|DFIC	CCAP1982_LOCUS8103|CAD6999578.1|CCAP
OG0003939	LOC108089813|XP_017043701.1|DFIC	CCAP1982_LOCUS8102|CAD6999577.1|CCAP
OG0003940	LOC108089831|XP_017043733.1|DFIC	CCAP1982_LOCUS8270|CAD6999747.1|CCAP
OG0003941	LOC108089836|XP_017043739.1|DFIC	CCAP1982_LOCUS8273|CAD6999750.1|CCAP
OG0003942	LOC108100893|XP_017060490.1|DFIC	CCAP1982_LOCUS8147|CAD6999616.1|CCAP
OG0003943	LOC108089839|XP_017043748.1|DFIC	CCAP1982_LOCUS22209|CAD7014205.1|CCAP
OG0003944	LOC108094509|XP_017050599.1|DFIC	CCAP1982_LOCUS8369|CAD6999857.1|CCAP
OG0003945	LOC108087663|XP_017040641.1|DFIC	CCAP1982_LOCUS22015|CAD7014008.1|CCAP
OG0003946	LOC108101673|XP_017061626.1|DFIC, LOC108094471|XP_017050544.1|DFIC	CCAP1982_LOCUS5773|CAD6997127.1|CCAP
