Orthogroup	DFIC.longest_only	HILL.longest_only
OG0004732	LOC108098889|XP_017057565.1|DFIC	LOC119657021|XP_037919697.1|HILL
OG0004733	LOC108092113|XP_017047101.1|DFIC	LOC119657022|XP_037919698.1|HILL
OG0004734	LOC108099626|XP_017058743.1|DFIC	LOC119658233|XP_037921439.1|HILL
OG0004735	LOC108098678|XP_017057266.1|DFIC	LOC119652917|XP_037913227.1|HILL
OG0004736	LOC108097573|XP_017055446.1|DFIC	LOC119660605|XP_037925219.1|HILL
OG0004737	LOC108098490|XP_017056893.1|DFIC	LOC119652046|XP_037911909.1|HILL
OG0004738	LOC108098586|XP_017057115.1|DFIC	LOC119650717|XP_037909658.1|HILL
OG0004739	LOC108087148|XP_017039850.1|DFIC	LOC119652650|XP_037912826.1|HILL
OG0004740	LOC108099657|XP_017058780.1|DFIC	LOC119651710|XP_037911351.1|HILL
OG0004741	LOC108087987|XP_017041077.1|DFIC	LOC119651621|XP_037911204.1|HILL
OG0004742	LOC108095003|XP_017051324.1|DFIC	LOC119660965|XP_037925950.1|HILL
OG0004743	LOC108088004|XP_017041104.1|DFIC	LOC119657264|XP_037920023.1|HILL
OG0004744	LOC108098443|XP_017056835.1|DFIC	LOC119659925|XP_037924190.1|HILL
OG0004745	LOC108090167|XP_017044228.1|DFIC	LOC119658857|XP_037922538.1|HILL
OG0004746	LOC108102025|XP_017062116.1|DFIC	LOC119658591|XP_037921978.1|HILL
OG0004747	LOC108102027|XP_017062119.1|DFIC	LOC119658592|XP_037921979.1|HILL
OG0004748	LOC108102024|XP_017062115.1|DFIC	LOC119658982|XP_037922792.1|HILL
OG0004749	LOC108093330|XP_017048811.1|DFIC	LOC119658626|XP_037922053.1|HILL
OG0004750	LOC108099376|XP_017058358.1|DFIC	LOC119650598|XP_037909383.1|HILL
OG0004751	LOC108097580|XP_017055459.1|DFIC	LOC119656651|XP_037919044.1|HILL
OG0004752	LOC108095715|XP_017052375.1|DFIC	LOC119659430|XP_037923440.1|HILL
OG0004753	LOC108099357|XP_017058332.1|DFIC	LOC119659164|XP_037923042.1|HILL
OG0004754	LOC108088510|XP_017041835.1|DFIC	LOC119659162|XP_037923040.1|HILL
OG0004755	LOC108093354|XP_017048855.1|DFIC	LOC119646660|XP_037903118.1|HILL
OG0004756	LOC108093353|XP_017048854.1|DFIC	LOC119646659|XP_037903117.1|HILL
OG0004757	LOC108087192|XP_017039940.1|DFIC	LOC119651981|XP_037911818.1|HILL
OG0004758	LOC108087336|XP_017040159.1|DFIC	LOC119657492|XP_037920343.1|HILL
OG0004759	LOC108099436|XP_017058460.1|DFIC	LOC119650650|XP_037909512.1|HILL
OG0004760	LOC108092141|XP_017047138.1|DFIC	LOC119657397|XP_037920215.1|HILL
OG0004761	LOC108096788|XP_017054158.1|DFIC	LOC119659497|XP_037923543.1|HILL
OG0004762	LOC108088193|XP_017041382.1|DFIC	LOC119651175|XP_037910525.1|HILL
OG0004763	LOC108087325|XP_017040145.1|DFIC	LOC119651811|XP_037911530.1|HILL
OG0004764	LOC108092181|XP_017047194.1|DFIC	LOC119660161|XP_037924493.1|HILL
OG0004765	LOC108099526|XP_017058583.1|DFIC	LOC119651583|XP_037911150.1|HILL
OG0004766	LOC108099322|XP_017058243.1|DFIC	LOC119651411|XP_037910930.1|HILL
OG0004767	LOC108098541|XP_017057018.1|DFIC	LOC119651129|XP_037910451.1|HILL
OG0004768	LOC108098515|XP_017056962.1|DFIC	LOC119651128|XP_037910450.1|HILL
OG0004769	LOC108089782|XP_017043665.1|DFIC	LOC119659440|XP_037923451.1|HILL
OG0004770	LOC108087350|XP_017040179.1|DFIC	LOC119659123|XP_037922976.1|HILL
OG0004771	LOC108088419|XP_017041669.1|DFIC	LOC119651884|XP_037911632.1|HILL
OG0004772	LOC108097610|XP_017055508.1|DFIC	LOC119651147|XP_037910480.1|HILL
OG0004773	LOC108093306|XP_017048770.1|DFIC	LOC119652454|XP_037912526.1|HILL
OG0004774	LOC108093309|XP_017048781.1|DFIC	LOC119652455|XP_037912531.1|HILL
OG0004775	LOC108087981|XP_017041072.1|DFIC	LOC119652648|XP_037912825.1|HILL
OG0004776	LOC108094209|XP_017050154.1|DFIC	LOC119651638|XP_037911236.1|HILL
OG0004777	LOC108094486|XP_017050563.1|DFIC	LOC119650759|XP_037909779.1|HILL
OG0004778	LOC108101532|XP_017061399.1|DFIC, LOC108098382|XP_017056735.1|DFIC	LOC119657685|XP_037920644.1|HILL
OG0004779	LOC108087332|XP_017040151.1|DFIC	LOC119661344|XP_037926574.1|HILL
OG0004780	LOC108092309|XP_017047333.1|DFIC	LOC119647073|XP_037903759.1|HILL
OG0004781	LOC108087998|XP_017041099.1|DFIC	LOC119652277|XP_037912198.1|HILL
OG0004782	LOC108087142|XP_017039841.1|DFIC	LOC119651366|XP_037910868.1|HILL
OG0004783	LOC108097586|XP_017055464.1|DFIC	LOC119656828|XP_037919401.1|HILL
OG0004784	LOC108091728|XP_017046560.1|DFIC	LOC119651404|XP_037910920.1|HILL
OG0004785	LOC108091729|XP_017046561.1|DFIC	LOC119651315|XP_037910773.1|HILL
OG0004786	LOC108091810|XP_017046668.1|DFIC	LOC119651934|XP_037911702.1|HILL
OG0004787	LOC108091837|XP_017046706.1|DFIC	LOC119653144|XP_037913606.1|HILL
OG0004788	LOC108091773|XP_017046609.1|DFIC	LOC119653141|XP_037913604.1|HILL
OG0004789	LOC108091768|XP_017046603.1|DFIC	LOC119653143|XP_037913605.1|HILL
OG0004790	LOC108095950|XP_017052777.1|DFIC	LOC119652266|XP_037912179.1|HILL
OG0004791	LOC108086836|XP_017039373.1|DFIC	LOC119652076|XP_037911942.1|HILL
OG0004792	LOC108087929|XP_017041005.1|DFIC	LOC119651728|XP_037911383.1|HILL
OG0004793	LOC108088394|XP_017041632.1|DFIC	LOC119659008|XP_037922821.1|HILL
OG0004794	LOC108092075|XP_017047039.1|DFIC	LOC119652838|XP_037913102.1|HILL
OG0004795	LOC108087242|XP_017040027.1|DFIC	LOC119652527|XP_037912656.1|HILL
OG0004796	LOC108088023|XP_017041136.1|DFIC	LOC119650639|XP_037909489.1|HILL
OG0004797	LOC108099623|XP_017058735.1|DFIC	LOC119652964|XP_037913289.1|HILL
OG0004798	LOC108086550|XP_017038977.1|DFIC	LOC119650602|XP_037909387.1|HILL
OG0004799	LOC108099455|XP_017058485.1|DFIC	LOC119650872|XP_037909962.1|HILL
OG0004800	LOC108092187|XP_017047202.1|DFIC	LOC119652460|XP_037912552.1|HILL
OG0004801	LOC108095994|XP_017052827.1|DFIC	LOC119658926|XP_037922683.1|HILL
OG0004802	LOC108093367|XP_017048877.1|DFIC	LOC119653001|XP_037913355.1|HILL
OG0004803	LOC108102285|XP_017062522.1|DFIC	LOC119651072|XP_037910339.1|HILL
OG0004804	LOC108098516|XP_017056969.1|DFIC	LOC119652910|XP_037913214.1|HILL
OG0004805	LOC108099434|XP_017058457.1|DFIC	LOC119652950|XP_037913270.1|HILL
OG0004806	LOC108095566|XP_017052202.1|DFIC	LOC119646447|XP_037902826.1|HILL
OG0004807	LOC108095946|XP_017052772.1|DFIC	LOC119651232|XP_037910636.1|HILL
OG0004808	LOC108098816|XP_017057459.1|DFIC	LOC119652992|XP_037913345.1|HILL
OG0004809	LOC108093326|XP_017048806.1|DFIC	LOC119646127|XP_037902405.1|HILL
OG0004810	LOC108093291|XP_017048757.1|DFIC	LOC119659012|XP_037922828.1|HILL
OG0004811	LOC108100554|XP_017060014.1|DFIC	LOC119651304|XP_037910758.1|HILL
OG0004812	LOC108099314|XP_017058197.1|DFIC	LOC119651965|XP_037911755.1|HILL
OG0004813	LOC108087327|XP_017040147.1|DFIC	LOC119652598|XP_037912753.1|HILL
OG0004814	LOC108098887|XP_017057562.1|DFIC	LOC119650948|XP_037910109.1|HILL
OG0004815	LOC108097247|XP_017054914.1|DFIC	LOC119657093|XP_037919774.1|HILL
OG0004816	LOC108088680|XP_017042108.1|DFIC	LOC119657482|XP_037920332.1|HILL
OG0004817	LOC108088679|XP_017042107.1|DFIC	LOC119657103|XP_037919787.1|HILL
OG0004818	LOC108097614|XP_017055513.1|DFIC	LOC119652607|XP_037912768.1|HILL
OG0004819	LOC108091655|XP_017046454.1|DFIC	LOC119657915|XP_037921029.1|HILL
OG0004820	LOC108098928|XP_017057622.1|DFIC	LOC119651749|XP_037911414.1|HILL
OG0004821	LOC108088530|XP_017041862.1|DFIC	LOC119651676|XP_037911298.1|HILL
OG0004822	LOC108092029|XP_017046958.1|DFIC	LOC119651664|XP_037911281.1|HILL
OG0004823	LOC108092086|XP_017047060.1|DFIC	LOC119651836|XP_037911560.1|HILL
OG0004824	LOC108092088|XP_017047066.1|DFIC	LOC119650772|XP_037909802.1|HILL
OG0004825	LOC108095039|XP_017051419.1|DFIC	LOC119660946|XP_037925883.1|HILL
OG0004826	LOC108091785|XP_017046632.1|DFIC	LOC119651897|XP_037911652.1|HILL
OG0004827	LOC108098607|XP_017057159.1|DFIC	LOC119652469|XP_037912565.1|HILL
OG0004828	LOC108087295|XP_017040094.1|DFIC	LOC119652623|XP_037912794.1|HILL
OG0004829	LOC108092174|XP_017047185.1|DFIC	LOC119650894|XP_037910001.1|HILL
OG0004830	LOC108087888|XP_017040955.1|DFIC	LOC119652629|XP_037912804.1|HILL
OG0004831	LOC108093227|XP_017048686.1|DFIC	LOC119657751|XP_037920732.1|HILL
OG0004832	LOC108088076|XP_017041216.1|DFIC	LOC119650910|XP_037910059.1|HILL
OG0004833	LOC108090135|XP_017044164.1|DFIC	LOC119658030|XP_037921188.1|HILL
OG0004834	LOC108087269|XP_017040064.1|DFIC	LOC119652942|XP_037913259.1|HILL
OG0004835	LOC108087354|XP_017040184.1|DFIC	LOC119651573|XP_037911136.1|HILL
OG0004836	LOC108091656|XP_017046455.1|DFIC	LOC119647061|XP_037903746.1|HILL
OG0004837	LOC108096394|XP_017053450.1|DFIC	LOC119649816|XP_037908075.1|HILL
OG0004838	LOC108098804|XP_017057434.1|DFIC	LOC119656550|XP_037918842.1|HILL
OG0004839	LOC108098864|XP_017057531.1|DFIC	LOC119657955|XP_037921085.1|HILL
OG0004840	LOC108092147|XP_017047151.1|DFIC	LOC119659882|XP_037924129.1|HILL
OG0004841	LOC108101745|XP_017061695.1|DFIC	LOC119657827|XP_037920873.1|HILL
OG0004842	LOC108086600|XP_017039060.1|DFIC	LOC119657044|XP_037919725.1|HILL
OG0004843	LOC108087173|XP_017039905.1|DFIC	LOC119650651|XP_037909515.1|HILL
OG0004844	LOC108100906|XP_017060509.1|DFIC	LOC119660485|XP_037925002.1|HILL
OG0004845	LOC108090168|XP_017044229.1|DFIC	LOC119659005|XP_037922819.1|HILL
OG0004846	LOC108092443|XP_017047513.1|DFIC	LOC119651550|XP_037911114.1|HILL
OG0004847	LOC108092441|XP_017047511.1|DFIC	LOC119657752|XP_037920734.1|HILL
OG0004848	LOC108097641|XP_017055563.1|DFIC	LOC119651326|XP_037910793.1|HILL, LOC119650706|XP_037909636.1|HILL, LOC119652064|XP_037911929.1|HILL
OG0004849	LOC108092646|XP_017047781.1|DFIC	LOC119657782|XP_037920784.1|HILL
OG0004850	LOC108089089|XP_017042687.1|DFIC	LOC119650958|XP_037910129.1|HILL
OG0004851	LOC108089079|XP_017042674.1|DFIC	LOC119650807|XP_037909874.1|HILL
OG0004852	LOC108091831|XP_017046698.1|DFIC	LOC119652610|XP_037912773.1|HILL
OG0004853	LOC108087795|XP_017040827.1|DFIC	LOC119660352|XP_037924779.1|HILL
OG0004854	LOC108089526|XP_017043345.1|DFIC	LOC119647713|XP_037904732.1|HILL
OG0004855	LOC108100664|XP_017060166.1|DFIC	LOC119650096|XP_037908542.1|HILL
OG0004856	LOC108096222|XP_017053098.1|DFIC	LOC119649449|XP_037907527.1|HILL
OG0004857	LOC108100630|XP_017060122.1|DFIC	LOC119648483|XP_037906173.1|HILL
OG0004858	LOC108096298|XP_017053263.1|DFIC	LOC119647512|XP_037904402.1|HILL
OG0004859	LOC108096402|XP_017053462.1|DFIC	LOC119649643|XP_037907826.1|HILL
OG0004860	LOC108099208|XP_017058073.1|DFIC	LOC119649398|XP_037907451.1|HILL
OG0004861	LOC108087486|XP_017040352.1|DFIC	LOC119650260|XP_037908789.1|HILL
OG0004862	LOC108087473|XP_017040338.1|DFIC	LOC119648493|XP_037906187.1|HILL
OG0004863	LOC108093155|XP_017048590.1|DFIC	LOC119648813|XP_037906593.1|HILL
OG0004864	LOC108100599|XP_017060071.1|DFIC	LOC119648280|XP_037905863.1|HILL
OG0004865	LOC108095955|XP_017052784.1|DFIC	LOC119646468|XP_037902846.1|HILL
OG0004866	LOC108089447|XP_017043176.1|DFIC	LOC119648674|XP_037906393.1|HILL
OG0004867	LOC108093846|XP_017049669.1|DFIC	LOC119661292|XP_037926507.1|HILL
OG0004868	LOC108091133|XP_017045654.1|DFIC	LOC119649905|XP_037908230.1|HILL
OG0004869	LOC108094249|XP_017050197.1|DFIC	LOC119646853|XP_037903403.1|HILL
OG0004870	LOC108094256|XP_017050207.1|DFIC	LOC119661636|XP_037926987.1|HILL
OG0004871	LOC108101922|XP_017061988.1|DFIC	LOC119646521|XP_037902909.1|HILL
OG0004872	LOC108090788|XP_017045124.1|DFIC	LOC119661574|XP_037926901.1|HILL
OG0004873	LOC108092735|XP_017047953.1|DFIC	LOC119649470|XP_037907555.1|HILL
OG0004874	LOC108095716|XP_017052379.1|DFIC	LOC119646173|XP_037902480.1|HILL
OG0004875	LOC108087586|XP_017040506.1|DFIC	LOC119651097|XP_037910382.1|HILL
OG0004876	LOC108097022|XP_017054528.1|DFIC	LOC119646418|XP_037902792.1|HILL
OG0004877	LOC108100163|XP_017059415.1|DFIC	LOC119650223|XP_037908728.1|HILL
OG0004878	LOC108101546|XP_017061427.1|DFIC	LOC119646610|XP_037903039.1|HILL
OG0004879	LOC108090795|XP_017045131.1|DFIC	LOC119656430|XP_037918728.1|HILL
OG0004880	LOC108088839|XP_017042301.1|DFIC	LOC119648775|XP_037906537.1|HILL
OG0004881	LOC108093181|XP_017048625.1|DFIC	LOC119648136|XP_037905609.1|HILL
OG0004882	LOC108089595|XP_017043442.1|DFIC	LOC119648223|XP_037905767.1|HILL
OG0004883	LOC108099202|XP_017058066.1|DFIC	LOC119649771|XP_037907999.1|HILL
OG0004884	LOC108101822|XP_017061784.1|DFIC	LOC119661105|XP_037926222.1|HILL
OG0004885	LOC108096629|XP_017053867.1|DFIC	LOC119661577|XP_037926904.1|HILL
OG0004886	LOC108093920|XP_017049776.1|DFIC	LOC119659066|XP_037922908.1|HILL
OG0004887	LOC108090565|XP_017044795.1|DFIC	LOC119661264|XP_037926445.1|HILL
OG0004888	LOC108095175|XP_017051629.1|DFIC	LOC119647034|XP_037903704.1|HILL
OG0004889	LOC108090732|XP_017045044.1|DFIC	LOC119661513|XP_037926814.1|HILL
OG0004890	LOC108101872|XP_017061897.1|DFIC	LOC119646819|XP_037903362.1|HILL
OG0004891	LOC108095623|XP_017052279.1|DFIC	LOC119655774|XP_037917758.1|HILL
OG0004892	LOC108096959|XP_017054416.1|DFIC	LOC119656024|XP_037918214.1|HILL
OG0004893	LOC108096605|XP_017053801.1|DFIC	LOC119646608|XP_037903037.1|HILL
OG0004894	LOC108096742|XP_017054082.1|DFIC	LOC119653684|XP_037914476.1|HILL
OG0004895	LOC108087688|XP_017040684.1|DFIC	LOC119661728|XP_037927122.1|HILL
OG0004897	LOC108087860|XP_017040931.1|DFIC	LOC119651207|XP_037910589.1|HILL
OG0004898	LOC108093741|XP_017049495.1|DFIC	LOC119660127|XP_037924450.1|HILL
OG0004899	LOC108086440|XP_017038840.1|DFIC	LOC119659519|XP_037923578.1|HILL
OG0004900	LOC108093966|XP_017049861.1|DFIC	LOC119658871|XP_037922569.1|HILL
OG0004901	LOC108094062|XP_017049990.1|DFIC	LOC119659396|XP_037923386.1|HILL
OG0004902	LOC108100541|XP_017059993.1|DFIC	LOC119649113|XP_037907041.1|HILL
OG0004903	LOC108096754|XP_017054102.1|DFIC	LOC119661236|XP_037926393.1|HILL
OG0004904	LOC108087133|XP_017039820.1|DFIC	LOC119647059|XP_037903744.1|HILL
OG0004905	LOC108101554|XP_017061438.1|DFIC	LOC119650857|XP_037909941.1|HILL
OG0004906	LOC108096353|XP_017053391.1|DFIC	LOC119647878|XP_037905091.1|HILL
OG0004907	LOC108089591|XP_017043437.1|DFIC	LOC119648096|XP_037905523.1|HILL
OG0004908	LOC108093160|XP_017048596.1|DFIC	LOC119649228|XP_037907215.1|HILL
OG0004909	LOC108088233|XP_017041431.1|DFIC	LOC119650214|XP_037908707.1|HILL
OG0004910	LOC108088231|XP_017041429.1|DFIC	LOC119649016|XP_037906895.1|HILL
OG0004911	LOC108099186|XP_017058042.1|DFIC	LOC119648207|XP_037905739.1|HILL
OG0004912	LOC108096354|XP_017053392.1|DFIC	LOC119649456|XP_037907538.1|HILL
OG0004913	LOC108094841|XP_017051132.1|DFIC	LOC119655947|XP_037918078.1|HILL
OG0004914	LOC108094839|XP_017051125.1|DFIC	LOC119650069|XP_037908497.1|HILL
OG0004915	LOC108101904|XP_017061963.1|DFIC	LOC119660025|XP_037924332.1|HILL
OG0004916	LOC108090559|XP_017044790.1|DFIC	LOC119660014|XP_037924324.1|HILL
OG0004917	LOC108087512|XP_017040403.1|DFIC	LOC119649568|XP_037907696.1|HILL
OG0004918	LOC108087511|XP_017040397.1|DFIC	LOC119647451|XP_037904307.1|HILL
OG0004919	LOC108100765|XP_017060293.1|DFIC	LOC119660148|XP_037924479.1|HILL
OG0004920	LOC108100374|XP_017059711.1|DFIC	LOC119658415|XP_037921741.1|HILL
OG0004921	LOC108088242|XP_017041442.1|DFIC	LOC119648890|XP_037906715.1|HILL
OG0004922	LOC108088942|XP_017042454.1|DFIC	LOC119650000|XP_037908390.1|HILL
OG0004923	LOC108100446|XP_017059860.1|DFIC	LOC119648341|XP_037905965.1|HILL
OG0004924	LOC108093051|XP_017048448.1|DFIC	LOC119648607|XP_037906305.1|HILL
OG0004925	LOC108100661|XP_017060161.1|DFIC	LOC119648909|XP_037906744.1|HILL
OG0004926	LOC108093273|XP_017048742.1|DFIC	LOC119648160|XP_037905663.1|HILL
OG0004927	LOC108096245|XP_017053173.1|DFIC	LOC119649986|XP_037908357.1|HILL
OG0004928	LOC108095159|XP_017051596.1|DFIC	LOC119647764|XP_037904821.1|HILL
OG0004929	LOC108098986|XP_017057693.1|DFIC	LOC119647998|XP_037905312.1|HILL
OG0004930	LOC108093749|XP_017049505.1|DFIC	LOC119661707|XP_037927087.1|HILL
OG0004931	LOC108094958|XP_017051311.1|DFIC	LOC119655301|XP_037917056.1|HILL
OG0004932	LOC108099144|XP_017057976.1|DFIC	LOC119648709|XP_037906444.1|HILL
OG0004933	LOC108090560|XP_017044791.1|DFIC	LOC119646348|XP_037902710.1|HILL
OG0004934	LOC108090984|XP_017045429.1|DFIC	LOC119646799|XP_037903317.1|HILL
OG0004935	LOC108086305|XP_017038686.1|DFIC	LOC119646614|XP_037903047.1|HILL
OG0004936	LOC108096373|XP_017053414.1|DFIC	LOC119648843|XP_037906646.1|HILL
OG0004937	LOC108093191|XP_017048640.1|DFIC	LOC119646864|XP_037903417.1|HILL
OG0004938	LOC108096220|XP_017053094.1|DFIC	LOC119649503|XP_037907598.1|HILL
OG0004939	LOC108088291|XP_017041509.1|DFIC	LOC119648275|XP_037905858.1|HILL
OG0004940	LOC108088325|XP_017041552.1|DFIC	LOC119649260|XP_037907274.1|HILL
OG0004941	LOC108089393|XP_017043065.1|DFIC	LOC119648897|XP_037906727.1|HILL
OG0004942	LOC108099872|XP_017059009.1|DFIC	LOC119647421|XP_037904244.1|HILL
OG0004943	LOC108089034|XP_017042620.1|DFIC	LOC119647942|XP_037905232.1|HILL
OG0004944	LOC108099121|XP_017057944.1|DFIC	LOC119649877|XP_037908181.1|HILL
OG0004945	LOC108094328|XP_017050367.1|DFIC	LOC119648933|XP_037906774.1|HILL
OG0004946	LOC108088892|XP_017042380.1|DFIC	LOC119647536|XP_037904451.1|HILL
OG0004947	LOC108100400|XP_017059773.1|DFIC	LOC119649183|XP_037907137.1|HILL
OG0004948	LOC108100244|XP_017059509.1|DFIC	LOC119649411|XP_037907476.1|HILL
OG0004949	LOC108100319|XP_017059614.1|DFIC	LOC119649719|XP_037907929.1|HILL
OG0004950	LOC108099107|XP_017057920.1|DFIC	LOC119649711|XP_037907912.1|HILL
OG0004951	LOC108088488|XP_017041796.1|DFIC	LOC119650718|XP_037909659.1|HILL
OG0004952	LOC108089635|XP_017043489.1|DFIC	LOC119648124|XP_037905574.1|HILL
OG0004953	LOC108089578|XP_017043423.1|DFIC	LOC119647618|XP_037904588.1|HILL
OG0004954	LOC108089613|XP_017043464.1|DFIC	LOC119647615|XP_037904582.1|HILL
OG0004955	LOC108093080|XP_017048490.1|DFIC	LOC119646509|XP_037902893.1|HILL
OG0004956	LOC108093695|XP_017049365.1|DFIC	LOC119648642|XP_037906345.1|HILL
OG0004957	LOC108099152|XP_017057986.1|DFIC	LOC119648910|XP_037906745.1|HILL
OG0004958	LOC108089316|XP_017042981.1|DFIC	LOC119650325|XP_037908909.1|HILL
OG0004959	LOC108089482|XP_017043246.1|DFIC	LOC119650368|XP_037909009.1|HILL
OG0004960	LOC108089480|XP_017043244.1|DFIC	LOC119647465|XP_037904327.1|HILL
OG0004961	LOC108096930|XP_017054372.1|DFIC	LOC119648039|XP_037905394.1|HILL
OG0004962	LOC108093199|XP_017048650.1|DFIC	LOC119648037|XP_037905391.1|HILL
OG0004963	LOC108088302|XP_017041520.1|DFIC	LOC119647843|XP_037905028.1|HILL
OG0004964	LOC108087533|XP_017040427.1|DFIC	LOC119648209|XP_037905742.1|HILL
OG0004965	LOC108089442|XP_017043168.1|DFIC	LOC119647987|XP_037905300.1|HILL
OG0004966	LOC108089514|XP_017043326.1|DFIC	LOC119647985|XP_037905296.1|HILL
OG0004967	LOC108094253|XP_017050202.1|DFIC	LOC119661482|XP_037926775.1|HILL
OG0004968	LOC108096351|XP_017053389.1|DFIC	LOC119649864|XP_037908162.1|HILL
OG0004969	LOC108093657|XP_017049321.1|DFIC	LOC119646575|XP_037902996.1|HILL
OG0004970	LOC108096350|XP_017053388.1|DFIC	LOC119649870|XP_037908170.1|HILL
OG0004971	LOC108096405|XP_017053465.1|DFIC	LOC119647641|XP_037904631.1|HILL
OG0004972	LOC108089462|XP_017043197.1|DFIC	LOC119649966|XP_037908330.1|HILL
OG0004973	LOC108099089|XP_017057895.1|DFIC	LOC119647607|XP_037904566.1|HILL
OG0004974	LOC108089593|XP_017043440.1|DFIC	LOC119648197|XP_037905719.1|HILL
OG0004975	LOC108100448|XP_017059861.1|DFIC	LOC119650109|XP_037908560.1|HILL
OG0004976	LOC108099395|XP_017058392.1|DFIC	LOC119650107|XP_037908557.1|HILL
OG0004977	LOC108087743|XP_017040754.1|DFIC	LOC119647172|XP_037903906.1|HILL
OG0004978	LOC108086308|XP_017038698.1|DFIC	LOC119661178|XP_037926324.1|HILL
OG0004979	LOC108088964|XP_017042471.1|DFIC	LOC119649795|XP_037908028.1|HILL
OG0004980	LOC108096398|XP_017053458.1|DFIC	LOC119648180|XP_037905692.1|HILL
OG0004981	LOC108088264|XP_017041470.1|DFIC	LOC119648234|XP_037905785.1|HILL
OG0004982	LOC108088320|XP_017041545.1|DFIC	LOC119649995|XP_037908383.1|HILL
OG0004983	LOC108087571|XP_017040490.1|DFIC	LOC119649843|XP_037908115.1|HILL
OG0004984	LOC108093219|XP_017048676.1|DFIC	LOC119648730|XP_037906473.1|HILL
OG0004985	LOC108100261|XP_017059527.1|DFIC	LOC119648396|XP_037906064.1|HILL
OG0004986	LOC108099921|XP_017059079.1|DFIC	LOC119649839|XP_037908112.1|HILL
OG0004987	LOC108089463|XP_017043198.1|DFIC	LOC119650296|XP_037908860.1|HILL
OG0004988	LOC108100262|XP_017059531.1|DFIC	LOC119650332|XP_037908915.1|HILL
OG0004989	LOC108089519|XP_017043335.1|DFIC	LOC119647936|XP_037905208.1|HILL
OG0004990	LOC108095202|XP_017051698.1|DFIC	LOC119659543|XP_037923616.1|HILL
OG0004991	LOC108087665|XP_017040644.1|DFIC	LOC119647323|XP_037904178.1|HILL
OG0004992	LOC108087666|XP_017040646.1|DFIC	LOC119660877|XP_037925721.1|HILL
OG0004993	LOC108089310|XP_017042976.1|DFIC	LOC119649058|XP_037906969.1|HILL, LOC119647502|XP_037904385.1|HILL
OG0004994	LOC108099198|XP_017058061.1|DFIC	LOC119650373|XP_037909033.1|HILL
OG0004995	LOC108099546|XP_017058614.1|DFIC	LOC119649798|XP_037908030.1|HILL
OG0004996	LOC108093839|XP_017049662.1|DFIC	LOC119647940|XP_037905214.1|HILL
OG0004997	LOC108093724|XP_017049423.1|DFIC	LOC119652402|XP_037912441.1|HILL
OG0004998	LOC108101845|XP_017061853.1|DFIC	LOC119653276|XP_037913830.1|HILL
OG0004999	LOC108088977|XP_017042508.1|DFIC	LOC119649848|XP_037908133.1|HILL
OG0005000	LOC108096516|XP_017053634.1|DFIC	LOC119659051|XP_037922890.1|HILL
OG0005001	LOC108096388|XP_017053442.1|DFIC	LOC119647419|XP_037904237.1|HILL
OG0005002	LOC108088020|XP_017041123.1|DFIC	LOC119660626|XP_037925259.1|HILL
OG0005003	LOC108089018|XP_017042592.1|DFIC	LOC119649529|XP_037907643.1|HILL
OG0005004	LOC108093238|XP_017048701.1|DFIC	LOC119648336|XP_037905958.1|HILL
OG0005005	LOC108088269|XP_017041476.1|DFIC	LOC119647992|XP_037905305.1|HILL
OG0005006	LOC108100605|XP_017060081.1|DFIC	LOC119648819|XP_037906599.1|HILL
OG0005007	LOC108099923|XP_017059081.1|DFIC	LOC119650275|XP_037908828.1|HILL
OG0005008	LOC108100672|XP_017060177.1|DFIC	LOC119650274|XP_037908827.1|HILL
OG0005009	LOC108099754|XP_017058873.1|DFIC	LOC119650277|XP_037908830.1|HILL
OG0005010	LOC108100167|XP_017059419.1|DFIC	LOC119657580|XP_037920488.1|HILL
OG0005011	LOC108090741|XP_017045053.1|DFIC	LOC119661315|XP_037926535.1|HILL
OG0005012	LOC108093257|XP_017048722.1|DFIC	LOC119647456|XP_037904315.1|HILL
OG0005013	LOC108099410|XP_017058414.1|DFIC	LOC119659057|XP_037922894.1|HILL, LOC119660238|XP_037924616.1|HILL
OG0005014	LOC108087505|XP_017040392.1|DFIC	LOC119648903|XP_037906735.1|HILL
OG0005015	LOC108100515|XP_017059960.1|DFIC	LOC119648732|XP_037906477.1|HILL
OG0005016	LOC108089574|XP_017043420.1|DFIC	LOC119650315|XP_037908897.1|HILL
OG0005017	LOC108089019|XP_017042593.1|DFIC	LOC119649027|XP_037906910.1|HILL
OG0005018	LOC108099595|XP_017058699.1|DFIC	LOC119649134|XP_037907067.1|HILL
OG0005019	LOC108089516|XP_017043330.1|DFIC	LOC119649232|XP_037907221.1|HILL
OG0005020	LOC108090989|XP_017045435.1|DFIC	LOC119659468|XP_037923485.1|HILL
OG0005021	LOC108089181|XP_017042805.1|DFIC	LOC119649626|XP_037907789.1|HILL
OG0005022	LOC108100479|XP_017059901.1|DFIC	LOC119649922|XP_037908253.1|HILL
OG0005023	LOC108090654|XP_017044921.1|DFIC	LOC119649623|XP_037907784.1|HILL
OG0005024	LOC108100372|XP_017059706.1|DFIC	LOC119649280|XP_037907297.1|HILL
OG0005025	LOC108096343|XP_017053379.1|DFIC	LOC119649756|XP_037907977.1|HILL
OG0005026	LOC108096360|XP_017053397.1|DFIC	LOC119649673|XP_037907860.1|HILL
OG0005027	LOC108099768|XP_017058889.1|DFIC	LOC119650403|XP_037909114.1|HILL
