Orthogroup	DMAU.longest_only	CQUI.longest_only
OG0004651	LOC117145066|XP_033166471.1|DMAU	LOC6042575|XP_001852290.2|CQUI
OG0004652	LOC117142369|XP_033162186.1|DMAU	LOC6034802|XP_038114609.1|CQUI
OG0004653	LOC117142078|XP_033161850.1|DMAU	LOC6034799|XP_001845071.2|CQUI
OG0004654	LOC117150328|XP_033173063.1|DMAU	LOC6034788|XP_001845061.2|CQUI
OG0004655	LOC117143899|XP_033164696.1|DMAU	LOC6034784|XP_001845057.1|CQUI
OG0004656	LOC117147187|XP_033169880.1|DMAU	LOC6034783|XP_001845056.2|CQUI
OG0004657	LOC117145443|XP_033166992.1|DMAU	LOC6034771|XP_038105085.1|CQUI
OG0004658	LOC117145929|XP_033167693.1|DMAU	LOC6036047|XP_038114058.1|CQUI, LOC6034745|XP_038109197.1|CQUI
OG0004659	LOC117145536|XP_033167122.1|DMAU	LOC6034743|XP_001845022.1|CQUI
OG0004660	LOC117143837|XP_033164579.1|DMAU	LOC6041911|XP_038114990.1|CQUI
OG0004661	LOC117145556|XP_033167149.1|DMAU	LOC6041909|XP_001851100.2|CQUI
OG0004662	LOC117143710|XP_033164400.1|DMAU	LOC6034715|XP_038105328.1|CQUI
OG0004663	LOC117146656|XP_033168882.1|DMAU	LOC6053683|XP_038105925.1|CQUI
OG0004664	LOC117146657|XP_033168885.1|DMAU	LOC6053682|XP_038104070.1|CQUI
OG0004665	LOC117148927|XP_033172540.1|DMAU	LOC6052688|XP_001868915.2|CQUI
OG0004666	LOC117142478|XP_033162386.1|DMAU	LOC6037574|XP_001847470.2|CQUI
OG0004667	LOC117146058|XP_033167889.1|DMAU	LOC6042010|XP_001851178.1|CQUI
OG0004668	LOC117148060|XP_033171142.1|DMAU	LOC6047872|XP_038115207.1|CQUI
OG0004669	LOC117140812|XP_033159810.1|DMAU	LOC6047885|XP_001864867.1|CQUI
OG0004670	LOC117143295|XP_033163782.1|DMAU	LOC119768855|XP_038116243.1|CQUI
OG0004671	LOC117145471|XP_033167036.1|DMAU	LOC119765492|XP_038105399.1|CQUI
OG0004672	LOC117142716|XP_033162767.1|DMAU	LOC6052736|XP_038104885.1|CQUI
OG0004673	LOC117142298|XP_033162076.1|DMAU	LOC6034736|XP_001845016.1|CQUI
OG0004674	LOC117145155|XP_033166588.1|DMAU	LOC6046478|XP_038104468.1|CQUI
OG0004675	LOC117142689|XP_033162737.1|DMAU	LOC6046482|XP_001863671.1|CQUI
OG0004676	LOC117142956|XP_033163172.1|DMAU	LOC6039291|XP_001848925.1|CQUI
OG0004677	LOC117145949|XP_033167721.1|DMAU	LOC6046587|XP_038107034.1|CQUI
OG0004678	LOC117142971|XP_033163209.1|DMAU	LOC6046584|XP_038106446.1|CQUI
OG0004679	LOC117144407|XP_033165436.1|DMAU	LOC6036521|XP_038104151.1|CQUI
OG0004681	LOC117143523|XP_033164137.1|DMAU	LOC6042418|XP_038113135.1|CQUI
OG0004682	LOC117139349|XP_033157492.1|DMAU	LOC6047462|XP_001864516.1|CQUI
OG0004683	LOC117143442|XP_033164041.1|DMAU	LOC6047463|XP_001864517.1|CQUI
OG0004684	LOC117145009|XP_033166393.1|DMAU	LOC6037516|XP_001847422.1|CQUI
OG0004685	LOC117143029|XP_033163306.1|DMAU	LOC6037515|XP_038108651.1|CQUI
OG0004686	LOC117143395|XP_033163975.1|DMAU	LOC6042013|XP_001851183.1|CQUI
OG0004687	LOC117144117|XP_033165027.1|DMAU	LOC6035633|XP_038105047.1|CQUI
OG0004688	LOC117144606|XP_033165789.1|DMAU	LOC6047618|XP_038118051.1|CQUI
OG0004689	LOC117145825|XP_033167516.1|DMAU	LOC6034930|XP_038114205.1|CQUI
OG0004690	LOC117145721|XP_033167357.1|DMAU	LOC6035208|XP_001845437.2|CQUI
OG0004691	LOC117142402|XP_033162240.1|DMAU	LOC6035211|XP_001845440.2|CQUI
OG0004692	LOC117142597|XP_033162564.1|DMAU	LOC6035214|XP_038104026.1|CQUI
OG0004693	LOC117144050|XP_033164912.1|DMAU	LOC6035215|XP_038117356.1|CQUI
OG0004694	LOC117143971|XP_033164797.1|DMAU	LOC6046411|XP_038122629.1|CQUI
OG0004695	LOC117143059|XP_033163402.1|DMAU	LOC6039604|XP_038119858.1|CQUI
OG0004696	LOC117144983|XP_033166343.1|DMAU	LOC6035060|XP_001845296.2|CQUI
OG0004697	LOC117147727|XP_033170618.1|DMAU	LOC6035351|XP_038104386.1|CQUI
OG0004698	LOC117147596|XP_033170436.1|DMAU	LOC119765464|XP_038105270.1|CQUI
OG0004699	LOC117144814|XP_033166081.1|DMAU	LOC6047919|XP_038104973.1|CQUI
OG0004700	LOC117143842|XP_033164587.1|DMAU	LOC6035574|XP_001845729.2|CQUI
OG0004701	LOC117142964|XP_033163184.1|DMAU	LOC6035554|XP_038110340.1|CQUI
OG0004702	LOC117142813|XP_033162918.1|DMAU	LOC6050612|XP_038104352.1|CQUI
OG0004703	LOC117145071|XP_033166477.1|DMAU	LOC6044856|XP_001862301.1|CQUI
OG0004704	LOC117145453|XP_033167013.1|DMAU	LOC6045193|XP_038110275.1|CQUI
OG0004705	LOC117143041|XP_033163375.1|DMAU	LOC6045190|XP_001862588.1|CQUI
OG0004706	LOC117139174|XP_033157227.1|DMAU	LOC6045204|XP_038105866.1|CQUI
OG0004707	LOC117137238|XP_033154494.1|DMAU	LOC6047830|XP_038116814.1|CQUI
OG0004708	LOC117142569|XP_033162525.1|DMAU	LOC6047832|XP_038116987.1|CQUI
OG0004709	LOC117144660|XP_033165852.1|DMAU	LOC6046601|XP_038122674.1|CQUI
OG0004710	LOC117146084|XP_033167924.1|DMAU	LOC6046599|XP_038109528.1|CQUI
OG0004711	LOC117144973|XP_033166329.1|DMAU	LOC6032578|XP_038104687.1|CQUI
OG0004712	LOC117142905|XP_033163078.1|DMAU	LOC6040874|XP_001850204.2|CQUI
OG0004713	LOC117142811|XP_033162911.1|DMAU	LOC6036798|XP_038106810.1|CQUI
OG0004714	LOC117142948|XP_033163158.1|DMAU	LOC6036800|XP_038106831.1|CQUI
OG0004715	LOC117140708|XP_033159667.1|DMAU	LOC6035086|XP_001845320.2|CQUI
OG0004716	LOC117143682|XP_033164357.1|DMAU	LOC6032694|XP_001843254.2|CQUI
OG0004717	LOC117148592|XP_033171961.1|DMAU	LOC6032682|XP_038104138.1|CQUI
OG0004718	LOC117151061|XP_033174182.1|DMAU	LOC6032681|XP_038105108.1|CQUI
OG0004719	LOC117142854|XP_033162985.1|DMAU	LOC6039168|XP_038107397.1|CQUI
OG0004720	LOC117146120|XP_033168008.1|DMAU	LOC6039161|XP_001848817.1|CQUI
OG0004722	LOC117145381|XP_033166905.1|DMAU	LOC6032630|XP_038105262.1|CQUI
OG0004724	LOC117144910|XP_033166236.1|DMAU	LOC6032649|XP_038122997.1|CQUI
OG0004725	LOC117142416|XP_033162260.1|DMAU	LOC6032650|XP_038104199.1|CQUI
OG0004726	LOC117142514|XP_033162443.1|DMAU	LOC6032660|XP_038104648.1|CQUI
OG0004727	LOC117144720|XP_033165949.1|DMAU	LOC6046598|XP_038104662.1|CQUI
OG0004728	LOC117144029|XP_033164880.1|DMAU	LOC6042430|XP_001851545.1|CQUI
OG0004729	LOC117146759|XP_033169146.1|DMAU	LOC6037482|XP_001847392.1|CQUI
OG0004730	LOC117138867|XP_033156864.1|DMAU	LOC6037484|XP_001847394.2|CQUI
OG0004731	LOC117143299|XP_033163795.1|DMAU	LOC6031661|XP_001842407.1|CQUI
OG0004732	LOC117144580|XP_033165746.1|DMAU	LOC6046292|XP_038109784.1|CQUI
OG0004733	LOC117143306|XP_033163806.1|DMAU	LOC6046295|XP_001863520.1|CQUI
OG0004734	LOC117144264|XP_033165255.1|DMAU	LOC6046299|XP_001863524.2|CQUI
OG0004735	LOC117142622|XP_033162599.1|DMAU	LOC6039070|XP_038122825.1|CQUI
OG0004736	LOC117144530|XP_033165645.1|DMAU	LOC6048415|XP_038117705.1|CQUI
OG0004737	LOC117145511|XP_033167091.1|DMAU	LOC6039929|XP_001849427.1|CQUI
OG0004738	LOC117144079|XP_033164984.1|DMAU	LOC6039931|XP_001849429.2|CQUI
OG0004739	LOC117145075|XP_033166483.1|DMAU	LOC6039934|XP_001849431.2|CQUI
OG0004740	LOC117145450|XP_033167009.1|DMAU	LOC6033684|XP_001844110.2|CQUI
OG0004741	LOC117145981|XP_033167779.1|DMAU	LOC6033683|XP_001844109.1|CQUI
OG0004742	LOC117146327|XP_033168296.1|DMAU	LOC6033676|XP_038108765.1|CQUI
OG0004743	LOC117143103|XP_033163475.1|DMAU	LOC6035507|XP_001845677.2|CQUI
OG0004744	LOC117141563|XP_033160965.1|DMAU	LOC6035527|XP_001845692.2|CQUI
OG0004745	LOC117142800|XP_033162898.1|DMAU	LOC119768951|XP_038116720.1|CQUI
OG0004746	LOC117145933|XP_033167699.1|DMAU	LOC6034950|XP_038105446.1|CQUI
OG0004747	LOC117145935|XP_033167702.1|DMAU	LOC6034945|XP_001845206.2|CQUI
OG0004748	LOC117145931|XP_033167695.1|DMAU	LOC6034937|XP_038122916.1|CQUI
OG0004749	LOC117145876|XP_033167591.1|DMAU	LOC6037416|XP_038116787.1|CQUI
OG0004750	LOC117144087|XP_033164992.1|DMAU	LOC6033696|XP_001844121.1|CQUI
OG0004751	LOC117143456|XP_033164058.1|DMAU	LOC6033701|XP_001844124.2|CQUI
OG0004752	LOC117143891|XP_033164684.1|DMAU	LOC6033703|XP_001844126.1|CQUI
OG0004753	LOC117142315|XP_033162112.1|DMAU	LOC6033704|XP_001844127.2|CQUI
OG0004754	LOC117144650|XP_033165840.1|DMAU	LOC6033705|XP_001844128.1|CQUI
OG0004755	LOC117142645|XP_033162642.1|DMAU	LOC6033712|XP_038117221.1|CQUI
OG0004756	LOC117142642|XP_033162639.1|DMAU	LOC6033713|XP_001844134.2|CQUI
OG0004757	LOC117145425|XP_033166962.1|DMAU	LOC6033720|XP_038105297.1|CQUI
OG0004758	LOC117142232|XP_033161974.1|DMAU	LOC6039195|XP_038122528.1|CQUI
OG0004759	LOC117142864|XP_033163017.1|DMAU	LOC6039198|XP_038122984.1|CQUI
OG0004760	LOC117143340|XP_033163894.1|DMAU	LOC6039201|XP_038105092.1|CQUI
OG0004761	LOC117144224|XP_033165174.1|DMAU	LOC6039606|XP_038112004.1|CQUI
OG0004762	LOC117135332|XP_033151424.1|DMAU	LOC6038054|XP_038114918.1|CQUI
OG0004763	LOC117143355|XP_033163919.1|DMAU	LOC6038059|XP_038105125.1|CQUI
OG0004764	LOC117144619|XP_033165805.1|DMAU	LOC6040682|XP_038104175.1|CQUI
OG0004765	LOC117145454|XP_033167014.1|DMAU	LOC6040686|XP_038114839.1|CQUI
OG0004766	LOC117142281|XP_033162054.1|DMAU	LOC6037332|XP_038116156.1|CQUI
OG0004767	LOC117143044|XP_033163378.1|DMAU	LOC6037471|XP_001847378.2|CQUI
OG0004768	LOC117143043|XP_033163377.1|DMAU	LOC6032709|XP_038115999.1|CQUI
OG0004769	LOC117135701|XP_033152006.1|DMAU	LOC6035385|XP_038104454.1|CQUI
OG0004770	LOC117144005|XP_033164851.1|DMAU	LOC6035386|XP_001845587.1|CQUI
OG0004771	LOC117142545|XP_033162486.1|DMAU	LOC6035384|XP_001845585.2|CQUI
OG0004772	LOC117144119|XP_033165030.1|DMAU	LOC6036804|XP_001846798.1|CQUI
OG0004773	LOC117144052|XP_033164914.1|DMAU	LOC6035078|XP_001845313.2|CQUI
OG0004774	LOC117144053|XP_033164916.1|DMAU	LOC6035075|XP_038121003.1|CQUI
OG0004775	LOC117142336|XP_033162142.1|DMAU	LOC6035072|XP_038105378.1|CQUI
OG0004776	LOC117138681|XP_033156827.1|DMAU	LOC6035068|XP_038104827.1|CQUI
OG0004777	LOC117141386|XP_033160692.1|DMAU	LOC6035416|XP_001845609.1|CQUI
OG0004778	LOC117140321|XP_033159064.1|DMAU	LOC119765159|XP_038104412.1|CQUI
OG0004779	LOC117142588|XP_033162551.1|DMAU	LOC6035335|XP_038104406.1|CQUI
OG0004780	LOC117135325|XP_033151414.1|DMAU	LOC6035328|XP_001845545.1|CQUI
OG0004781	LOC117145306|XP_033166790.1|DMAU	LOC6047689|XP_038110351.1|CQUI
OG0004782	LOC117146118|XP_033168002.1|DMAU	LOC6035537|XP_038110801.1|CQUI
OG0004783	LOC117146798|XP_033169229.1|DMAU	LOC6046138|XP_038104914.1|CQUI
OG0004784	LOC117144136|XP_033165053.1|DMAU	LOC6042432|XP_038105717.1|CQUI
OG0004785	LOC117145219|XP_033166681.1|DMAU	LOC6040253|XP_001849692.2|CQUI
OG0004786	LOC117144819|XP_033166092.1|DMAU	LOC6040257|XP_001849694.1|CQUI
OG0004787	LOC117144207|XP_033165147.1|DMAU	LOC6040266|XP_038104916.1|CQUI
OG0004788	LOC117145032|XP_033166426.1|DMAU	LOC6040267|XP_001849700.1|CQUI
OG0004789	LOC117145033|XP_033166428.1|DMAU	LOC6040268|XP_038104574.1|CQUI
OG0004790	LOC117143317|XP_033163852.1|DMAU	LOC6039077|XP_001848750.1|CQUI
OG0004791	LOC117143153|XP_033163543.1|DMAU	LOC119771181|XP_038122656.1|CQUI
OG0004792	LOC117146110|XP_033167986.1|DMAU	LOC6040663|XP_038105179.1|CQUI
OG0004793	LOC117145746|XP_033167399.1|DMAU	LOC6040662|XP_038104480.1|CQUI
OG0004794	LOC117142743|XP_033162805.1|DMAU	LOC6047061|XP_038122922.1|CQUI
OG0004796	LOC117143287|XP_033163759.1|DMAU	LOC6040872|XP_038105237.1|CQUI
OG0004797	LOC117143908|XP_033164708.1|DMAU	LOC6040880|XP_038105232.1|CQUI
OG0004798	LOC117145734|XP_033167385.1|DMAU	LOC6040882|XP_001850211.2|CQUI
OG0004799	LOC117143562|XP_033164197.1|DMAU	LOC6040692|XP_038111505.1|CQUI
OG0004800	LOC117145035|XP_033166431.1|DMAU	LOC6037510|XP_001847416.1|CQUI
OG0004801	LOC117145901|XP_033167643.1|DMAU	LOC6045592|XP_038105796.1|CQUI
OG0004803	LOC117144574|XP_033165718.1|DMAU	LOC6033723|XP_038105889.1|CQUI
OG0004804	LOC117143045|XP_033163379.1|DMAU	LOC6035052|XP_038104560.1|CQUI
OG0004805	LOC117143085|XP_033163451.1|DMAU	LOC6038022|XP_038105589.1|CQUI
OG0004806	LOC117146773|XP_033169185.1|DMAU	LOC6038033|XP_038123004.1|CQUI
OG0004807	LOC117145994|XP_033167799.1|DMAU	LOC6039897|XP_001849395.1|CQUI
OG0004808	LOC117143221|XP_033163660.1|DMAU	LOC6035066|XP_038104556.1|CQUI
OG0004809	LOC117143580|XP_033164219.1|DMAU	LOC6042403|XP_001851528.1|CQUI
OG0004810	LOC117145273|XP_033166751.1|DMAU	LOC6042402|XP_038123005.1|CQUI
OG0004811	LOC117139206|XP_033157268.1|DMAU	LOC6042397|XP_038108448.1|CQUI
OG0004812	LOC117145766|XP_033167432.1|DMAU	LOC6042392|XP_038112150.1|CQUI
OG0004813	LOC117143898|XP_033164694.1|DMAU	LOC6036810|XP_038104805.1|CQUI
OG0004815	LOC117148544|XP_033171868.1|DMAU	LOC6032039|XP_038105440.1|CQUI
OG0004816	LOC117146565|XP_033168755.1|DMAU	LOC6032045|XP_001842711.2|CQUI
OG0004817	LOC117146564|XP_033168754.1|DMAU	LOC6032046|XP_001842712.2|CQUI
OG0004818	LOC117143879|XP_033164656.1|DMAU	LOC6032061|XP_001842727.1|CQUI
OG0004819	LOC117142266|XP_033162023.1|DMAU	LOC6032069|XP_001842735.1|CQUI
OG0004820	LOC117143975|XP_033164803.1|DMAU	LOC6032070|XP_001842736.2|CQUI
OG0004821	LOC117142539|XP_033162478.1|DMAU	LOC6032072|XP_038115655.1|CQUI
OG0004822	LOC117145971|XP_033167765.1|DMAU	LOC6032080|XP_038104760.1|CQUI
OG0004823	LOC117142746|XP_033162808.1|DMAU	LOC6032083|XP_001842749.1|CQUI
OG0004824	LOC117142747|XP_033162816.1|DMAU	LOC6032084|XP_001842750.2|CQUI
OG0004825	LOC117146330|XP_033168313.1|DMAU	LOC6032099|XP_001842764.2|CQUI
OG0004826	LOC117143857|XP_033164612.1|DMAU	LOC6035186|XP_001845416.2|CQUI
OG0004827	LOC117143452|XP_033164052.1|DMAU	LOC6035188|XP_038105070.1|CQUI
OG0004828	LOC117142589|XP_033162552.1|DMAU	LOC6035191|XP_001845421.1|CQUI
OG0004829	LOC117143918|XP_033164724.1|DMAU	LOC6037399|XP_001847318.2|CQUI
OG0004833	LOC117144158|XP_033165081.1|DMAU	LOC6033922|XP_038105632.1|CQUI
OG0004834	LOC117143558|XP_033164191.1|DMAU	LOC6036795|XP_001846789.1|CQUI
OG0004835	LOC117145320|XP_033166805.1|DMAU	LOC6036793|XP_001846787.2|CQUI
OG0004836	LOC117145674|XP_033167298.1|DMAU	LOC6040910|XP_038122904.1|CQUI
OG0004837	LOC117141452|XP_033160796.1|DMAU	LOC6040912|XP_001850240.1|CQUI
OG0004838	LOC117143866|XP_033164623.1|DMAU	LOC6040929|XP_001850257.2|CQUI
OG0004839	LOC117143671|XP_033164343.1|DMAU	LOC6040928|XP_038123034.1|CQUI
OG0004840	LOC117145043|XP_033166443.1|DMAU	LOC6035404|XP_001845598.2|CQUI
OG0004841	LOC117143641|XP_033164314.1|DMAU	LOC6037352|XP_001847275.2|CQUI
OG0004842	LOC117145384|XP_033166909.1|DMAU	LOC6037342|XP_001847266.2|CQUI
OG0004844	LOC117150239|XP_033172924.1|DMAU	LOC6033964|XP_001844352.1|CQUI
OG0004845	LOC117142791|XP_033162881.1|DMAU	LOC6033967|XP_038104318.1|CQUI
OG0004846	LOC117150340|XP_033173079.1|DMAU	LOC6045714|XP_001863022.2|CQUI
OG0004847	LOC117150336|XP_033173075.1|DMAU	LOC6032647|XP_001843214.2|CQUI
OG0004850	LOC117144511|XP_033165593.1|DMAU	LOC6053351|XP_038115052.1|CQUI
OG0004851	LOC117145372|XP_033166887.1|DMAU	LOC6032009|XP_001842677.2|CQUI
OG0004852	LOC117143349|XP_033163911.1|DMAU	LOC6032101|XP_038122533.1|CQUI
OG0004853	LOC117137962|XP_033155624.1|DMAU	LOC6032797|XP_038117362.1|CQUI
OG0004854	LOC117139802|XP_033158314.1|DMAU	LOC6032828|XP_001843366.2|CQUI
OG0004855	LOC117141257|XP_033160517.1|DMAU	LOC6032837|XP_001843371.2|CQUI
OG0004856	LOC117140543|XP_033159425.1|DMAU	LOC6032889|XP_038115758.1|CQUI
OG0004857	LOC117141055|XP_033160232.1|DMAU	LOC6049345|XP_038121996.1|CQUI
OG0004858	LOC117140263|XP_033158975.1|DMAU	LOC6031074|XP_038117926.1|CQUI
OG0004859	LOC117139619|XP_033157963.1|DMAU	LOC6031066|XP_038121782.1|CQUI
OG0004860	LOC117140975|XP_033160114.1|DMAU	LOC6031076|XP_001841927.1|CQUI
OG0004861	LOC117138971|XP_033156912.1|DMAU	LOC6031081|XP_038114947.1|CQUI
OG0004862	LOC117140900|XP_033159962.1|DMAU	LOC6031090|XP_038114567.1|CQUI
OG0004863	LOC117140924|XP_033160007.1|DMAU	LOC6038677|XP_038116442.1|CQUI
OG0004864	LOC117139413|XP_033157581.1|DMAU	LOC6038678|XP_038119126.1|CQUI
OG0004865	LOC117142953|XP_033163169.1|DMAU	LOC6038680|XP_001848435.1|CQUI
OG0004866	LOC117139766|XP_033158254.1|DMAU	LOC6042793|XP_038116607.1|CQUI
OG0004867	LOC117137865|XP_033155473.1|DMAU	LOC6042378|XP_038113412.1|CQUI
OG0004868	LOC117136468|XP_033153291.1|DMAU	LOC6042789|XP_001870794.1|CQUI
OG0004869	LOC117136171|XP_033152804.1|DMAU	LOC6042795|XP_001870798.1|CQUI
OG0004870	LOC117136174|XP_033152807.1|DMAU	LOC6042810|XP_001870808.1|CQUI
OG0004871	LOC117136830|XP_033153800.1|DMAU	LOC6042816|XP_001870814.2|CQUI
OG0004872	LOC117137813|XP_033155383.1|DMAU	LOC6047865|XP_001864864.1|CQUI
OG0004873	LOC117138054|XP_033155769.1|DMAU	LOC6041056|XP_001850367.2|CQUI
OG0004874	LOC117144798|XP_033166065.1|DMAU	LOC6041052|XP_001850363.2|CQUI
OG0004875	LOC117148615|XP_033171993.1|DMAU	LOC6041042|XP_038121931.1|CQUI
OG0004876	LOC117146350|XP_033168392.1|DMAU	LOC119769880|XP_038119587.1|CQUI
OG0004877	LOC117139117|XP_033157151.1|DMAU	LOC6041025|XP_038122387.1|CQUI
OG0004878	LOC117138207|XP_033156032.1|DMAU	LOC6031108|XP_038120035.1|CQUI
OG0004879	LOC117137750|XP_033155247.1|DMAU	LOC6031116|XP_038118149.1|CQUI
OG0004880	LOC117141980|XP_033161680.1|DMAU	LOC6031119|XP_001841964.1|CQUI
OG0004881	LOC117139795|XP_033158301.1|DMAU	LOC6031120|XP_001841965.2|CQUI
OG0004882	LOC117140661|XP_033159596.1|DMAU	LOC6031127|XP_038121858.1|CQUI
OG0004883	LOC117141302|XP_033160573.1|DMAU	LOC6031128|XP_038121855.1|CQUI
OG0004884	LOC117137848|XP_033155441.1|DMAU	LOC6031153|XP_038122195.1|CQUI
OG0004885	LOC117137766|XP_033155277.1|DMAU	LOC6031160|XP_038122027.1|CQUI
OG0004886	LOC117137736|XP_033155208.1|DMAU	LOC6031164|XP_001842007.1|CQUI
OG0004887	LOC117138469|XP_033156489.1|DMAU	LOC6031165|XP_038121190.1|CQUI
OG0004888	LOC117138629|XP_033156734.1|DMAU	LOC6031166|XP_038114576.1|CQUI
OG0004889	LOC117137373|XP_033154666.1|DMAU	LOC6030975|XP_001841829.2|CQUI
OG0004890	LOC117135664|XP_033151946.1|DMAU	LOC6030973|XP_038121809.1|CQUI
OG0004891	LOC117148161|XP_033171287.1|DMAU	LOC6030968|XP_038121630.1|CQUI
OG0004892	LOC117137534|XP_033154912.1|DMAU	LOC6031064|XP_038119798.1|CQUI
OG0004893	LOC117135972|XP_033152471.1|DMAU	LOC6043930|XP_001861513.1|CQUI
OG0004894	LOC117137242|XP_033154495.1|DMAU	LOC6043927|XP_001861510.2|CQUI
OG0004895	LOC117136483|XP_033153313.1|DMAU	LOC6045536|XP_001862891.2|CQUI
OG0004896	LOC117137023|XP_033154111.1|DMAU	LOC6051435|XP_038120460.1|CQUI
OG0004897	LOC117137250|XP_033154501.1|DMAU	LOC6041058|XP_038117480.1|CQUI
OG0004898	LOC117138450|XP_033156455.1|DMAU	LOC6041018|XP_038114929.1|CQUI
OG0004899	LOC117138127|XP_033155882.1|DMAU	LOC6031099|XP_038121429.1|CQUI
OG0004900	LOC117136324|XP_033153069.1|DMAU	LOC6054043|XP_038116191.1|CQUI
OG0004901	LOC117137227|XP_033154475.1|DMAU	LOC6043919|XP_001861504.2|CQUI
OG0004902	LOC117139773|XP_033158269.1|DMAU	LOC6043923|XP_038118580.1|CQUI
OG0004903	LOC117135865|XP_033152285.1|DMAU	LOC6052661|XP_038118295.1|CQUI
OG0004904	LOC117142973|XP_033163214.1|DMAU	LOC6046849|XP_001863984.1|CQUI
OG0004905	LOC117138480|XP_033156500.1|DMAU	LOC6046852|XP_038118359.1|CQUI
OG0004906	LOC117139569|XP_033157861.1|DMAU	LOC6030986|XP_001841839.2|CQUI
OG0004907	LOC117141099|XP_033160306.1|DMAU	LOC6040644|XP_001850009.2|CQUI
OG0004908	LOC117139592|XP_033157898.1|DMAU	LOC6043377|XP_038116517.1|CQUI
OG0004909	LOC117139809|XP_033158327.1|DMAU	LOC6049586|XP_038115882.1|CQUI
OG0004910	LOC117139807|XP_033158325.1|DMAU	LOC6039568|XP_001849162.2|CQUI
OG0004911	LOC117139798|XP_033158309.1|DMAU	LOC6039557|XP_038118886.1|CQUI
OG0004912	LOC117139575|XP_033157872.1|DMAU	LOC6053801|XP_038120512.1|CQUI
OG0004913	LOC117137631|XP_033155054.1|DMAU	LOC6052188|XP_001868490.1|CQUI
OG0004914	LOC117137629|XP_033155051.1|DMAU	LOC6043324|XP_038116587.1|CQUI
OG0004915	LOC117138304|XP_033156196.1|DMAU	LOC6043331|XP_001858490.1|CQUI
OG0004916	LOC117136394|XP_033153178.1|DMAU	LOC6043338|XP_038118846.1|CQUI
OG0004917	LOC117138965|XP_033156901.1|DMAU	LOC6053707|XP_001867574.2|CQUI
OG0004918	LOC117138964|XP_033156898.1|DMAU	LOC6053706|XP_038117721.1|CQUI
OG0004919	LOC117143757|XP_033164464.1|DMAU	LOC6053382|XP_038119032.1|CQUI
OG0004920	LOC117139540|XP_033157806.1|DMAU	LOC6050541|XP_038120184.1|CQUI
OG0004921	LOC117140351|XP_033159093.1|DMAU	LOC6047306|XP_038116264.1|CQUI
OG0004922	LOC117139235|XP_033157332.1|DMAU	LOC6043699|XP_038117260.1|CQUI
OG0004923	LOC117139012|XP_033156995.1|DMAU	LOC6047329|XP_001864405.2|CQUI
OG0004924	LOC117140392|XP_033159151.1|DMAU	LOC6049786|XP_001866493.2|CQUI
OG0004925	LOC117139748|XP_033158200.1|DMAU	LOC6054018|XP_038121726.1|CQUI
OG0004926	LOC117141601|XP_033161008.1|DMAU	LOC6050503|XP_038119835.1|CQUI
OG0004927	LOC117140914|XP_033159988.1|DMAU	LOC6040746|XP_038119907.1|CQUI
OG0004928	LOC117136256|XP_033152966.1|DMAU	LOC6035292|XP_038117794.1|CQUI
OG0004929	LOC117140882|XP_033159916.1|DMAU	LOC6035309|XP_038118096.1|CQUI
OG0004930	LOC117136258|XP_033152967.1|DMAU	LOC6041606|XP_038119499.1|CQUI
OG0004931	LOC117137151|XP_033154352.1|DMAU	LOC6049358|XP_001866123.2|CQUI
OG0004932	LOC117142094|XP_033161867.1|DMAU	LOC6049348|XP_001866127.2|CQUI
OG0004933	LOC117136855|XP_033153845.1|DMAU	LOC6049349|XP_001866128.1|CQUI
OG0004934	LOC117138124|XP_033155876.1|DMAU	LOC6049350|XP_001866129.2|CQUI
OG0004935	LOC117136955|XP_033153998.1|DMAU	LOC6047852|XP_001864855.2|CQUI
OG0004936	LOC117140466|XP_033159302.1|DMAU	LOC6030990|XP_038115490.1|CQUI
OG0004937	LOC117139552|XP_033157835.1|DMAU	LOC6030983|XP_001841836.2|CQUI
OG0004938	LOC117140950|XP_033160058.1|DMAU	LOC119771269|XP_038123052.1|CQUI, LOC6031028|XP_001841880.1|CQUI
OG0004939	LOC117139586|XP_033157891.1|DMAU	LOC6031030|XP_038120410.1|CQUI
OG0004940	LOC117140704|XP_033159660.1|DMAU	LOC6031035|XP_038117384.1|CQUI
OG0004941	LOC117139961|XP_033158546.1|DMAU	LOC6031042|XP_038114824.1|CQUI
OG0004942	LOC117139510|XP_033157757.1|DMAU	LOC6031047|XP_038117859.1|CQUI
OG0004943	LOC117139454|XP_033157654.1|DMAU	LOC6031049|XP_001841898.1|CQUI
OG0004944	LOC117139710|XP_033158118.1|DMAU	LOC6031063|XP_038122012.1|CQUI
OG0004945	LOC117137318|XP_033154593.1|DMAU	LOC6034091|XP_001844459.1|CQUI
OG0004946	LOC117139690|XP_033158084.1|DMAU	LOC6031006|XP_038120661.1|CQUI
OG0004947	LOC117142118|XP_033161904.1|DMAU	LOC6030999|XP_038118718.1|CQUI
OG0004948	LOC117140755|XP_033159728.1|DMAU	LOC6042818|XP_001870816.2|CQUI
OG0004949	LOC117140461|XP_033159295.1|DMAU	LOC6042820|XP_038120566.1|CQUI
OG0004950	LOC117141652|XP_033161117.1|DMAU	LOC6042821|XP_038119055.1|CQUI
OG0004951	LOC117142370|XP_033162191.1|DMAU	LOC6042824|XP_038116571.1|CQUI
OG0004952	LOC117140010|XP_033158615.1|DMAU	LOC6042826|XP_001870823.1|CQUI
