Orthogroup	DMAU.longest_only	AEAL.longest_only
OG0003176	LOC117150341|XP_033173083.1|DMAU	LOC109424711|XP_029721107.1|AEAL
OG0003177	LOC117136221|XP_033152887.1|DMAU	LOC115253433|XP_029720878.1|AEAL, LOC115262626|XP_029720900.1|AEAL, LOC109424648|XP_029720879.1|AEAL
OG0003178	LOC117135613|XP_033151866.1|DMAU	LOC115262627|XP_029720901.1|AEAL, LOC109412062|XP_029720880.1|AEAL
OG0003179	LOC117136217|XP_033152881.1|DMAU	LOC109421920|XP_019552045.1|AEAL, LOC109432708|XP_019564636.2|AEAL
OG0003180	LOC117137042|XP_033154142.1|DMAU	LOC109421913|XP_029721011.1|AEAL
OG0003181	LOC117136374|XP_033153155.1|DMAU	LOC109432700|XP_019564627.2|AEAL
OG0003182	LOC117137410|XP_033154727.1|DMAU	LOC109432675|XP_029730721.1|AEAL, LOC115267706|XP_029730720.1|AEAL, LOC109401962|XP_029730707.1|AEAL
OG0003183	LOC117135671|XP_033151956.1|DMAU	LOC109432682|XP_029730767.1|AEAL, LOC109408765|XP_029723902.1|AEAL
OG0003184	LOC117141251|XP_033160509.1|DMAU	LOC109408753|XP_019537679.2|AEAL, LOC109432693|XP_019564620.2|AEAL
OG0003185	LOC117138136|XP_033155900.1|DMAU	LOC109428902|XP_019560283.2|AEAL
OG0003186	LOC117136522|XP_033153358.1|DMAU	LOC115261071|XP_029718306.1|AEAL, LOC109428878|XP_019560261.2|AEAL
OG0003187	LOC117142397|XP_033162238.1|DMAU	LOC109416897|XP_019546550.2|AEAL
OG0003188	LOC117146068|XP_033167900.1|DMAU	LOC109432289|XP_029730675.1|AEAL, LOC115253557|XP_029731026.1|AEAL
OG0003189	LOC117141104|XP_033160317.1|DMAU	LOC109397131|XP_019525015.2|AEAL
OG0003190	LOC117137181|XP_033154394.1|DMAU	LOC109409866|XP_019538921.2|AEAL
OG0003191	LOC117142109|XP_033161886.1|DMAU	LOC109399117|XP_019527110.2|AEAL
OG0003192	LOC117141884|XP_033161466.1|DMAU	LOC109399561|XP_029731165.1|AEAL, LOC115254195|XP_029731186.1|AEAL, LOC109400776|XP_029731188.1|AEAL
OG0003193	LOC117143164|XP_033163612.1|DMAU	LOC109399579|XP_029731203.1|AEAL, LOC109398778|XP_029731214.1|AEAL
OG0003194	LOC117139727|XP_033158154.1|DMAU	LOC109399662|XP_029731247.1|AEAL
OG0003195	LOC117143398|XP_033163978.1|DMAU	LOC109410560|XP_019539636.1|AEAL, LOC109421160|XP_019551199.1|AEAL
OG0003196	LOC117140677|XP_033159622.1|DMAU	LOC109421159|XP_019551197.2|AEAL, LOC109410559|XP_019539635.2|AEAL
OG0003197	LOC117141805|XP_033161342.1|DMAU	LOC109408337|XP_029731315.1|AEAL, LOC115267878|XP_029731307.1|AEAL, LOC115253497|XP_029721701.1|AEAL
OG0003198	LOC117146416|XP_033168510.1|DMAU	LOC109426530|XP_029731334.1|AEAL, LOC109408340|XP_029731338.1|AEAL
OG0003199	LOC117141635|XP_033161079.1|DMAU	LOC109426511|XP_019557580.2|AEAL, LOC109408992|XP_029710070.1|AEAL, LOC115256017|XP_029710115.1|AEAL
OG0003200	LOC117135895|XP_033152333.1|DMAU	LOC115267895|XP_029731364.1|AEAL
OG0003201	LOC117138043|XP_033155747.1|DMAU	LOC109402136|XP_029731379.1|AEAL, LOC115268328|XP_029732218.1|AEAL
OG0003202	LOC117140587|XP_033159485.1|DMAU	LOC109426404|XP_019557458.2|AEAL
OG0003203	LOC117138287|XP_033156152.1|DMAU	LOC109621323|XP_019932036.2|AEAL
OG0003204	LOC117145898|XP_033167640.1|DMAU	LOC109621320|XP_029731503.1|AEAL, LOC109431564|XP_029709642.1|AEAL, LOC115267911|XP_029731411.1|AEAL
OG0003205	LOC117136382|XP_033153165.1|DMAU	LOC109622230|XP_029731408.1|AEAL, LOC109431576|XP_019563357.2|AEAL
OG0003206	LOC117137816|XP_033155385.1|DMAU	LOC115268156|XP_029732060.1|AEAL, LOC109622216|XP_019932013.2|AEAL, LOC109431601|XP_029728073.1|AEAL
OG0003207	LOC117145729|XP_033167378.1|DMAU	LOC109621240|XP_019932005.2|AEAL, LOC109403171|XP_029731390.1|AEAL
OG0003208	LOC117141534|XP_033160915.1|DMAU	LOC109622212|XP_029731532.1|AEAL
OG0003209	LOC117137157|XP_033154358.1|DMAU	LOC109410756|XP_019539825.2|AEAL
OG0003210	LOC117144252|XP_033165221.1|DMAU	LOC109410611|XP_019539678.2|AEAL, LOC109410727|XP_029731606.1|AEAL
OG0003211	LOC117138220|XP_033156055.1|DMAU	LOC109410722|XP_019539786.2|AEAL, LOC109410613|XP_029731607.1|AEAL
OG0003212	LOC117143460|XP_033164063.1|DMAU	LOC115267945|XP_029731610.1|AEAL
OG0003213	LOC117138293|XP_033156163.1|DMAU	LOC109410636|XP_019539702.2|AEAL
OG0003214	LOC117135719|XP_033152043.1|DMAU	LOC115256126|XP_029710241.1|AEAL, LOC109410643|XP_029731620.1|AEAL
OG0003215	LOC117135855|XP_033152265.1|DMAU	LOC109410645|XP_019539723.1|AEAL, LOC115256125|XP_029710240.1|AEAL, LOC109433500|XP_029710242.1|AEAL
OG0003216	LOC117135922|XP_033152381.1|DMAU	LOC109410650|XP_029731634.1|AEAL
OG0003217	LOC117137059|XP_033154164.1|DMAU	LOC109426040|XP_019557024.2|AEAL
OG0003218	LOC117141122|XP_033160336.1|DMAU	LOC115268057|XP_029731842.1|AEAL, LOC109426004|XP_019556975.2|AEAL
OG0003219	LOC117141883|XP_033161465.1|DMAU	LOC109425996|XP_019556967.2|AEAL, LOC115268038|XP_029731807.1|AEAL
OG0003220	LOC117140361|XP_033159112.1|DMAU	LOC109407637|XP_029731784.1|AEAL, LOC109407636|XP_029731876.1|AEAL
OG0003221	LOC117147186|XP_033169878.1|DMAU, LOC117146448|XP_033168566.1|DMAU	LOC109425944|XP_019556894.2|AEAL, LOC115259233|XP_029715625.1|AEAL
OG0003222	LOC117138228|XP_033156065.1|DMAU	LOC109425936|XP_029731902.1|AEAL, LOC109407615|XP_029732260.1|AEAL
OG0003223	LOC117137557|XP_033154950.1|DMAU	LOC109407582|XP_029720486.1|AEAL, LOC109425845|XP_029731953.1|AEAL, LOC115253866|XP_029733648.1|AEAL
OG0003224	LOC117136365|XP_033153131.1|DMAU	LOC109425768|XP_029720458.1|AEAL, LOC115262225|XP_029720471.1|AEAL, LOC109407509|XP_029720477.1|AEAL
OG0003225	LOC117144961|XP_033166315.1|DMAU	LOC115258942|XP_029715323.1|AEAL, LOC115259168|XP_029715544.1|AEAL, LOC115256216|XP_029710341.1|AEAL, LOC115266439|XP_029728529.1|AEAL
OG0003250	LOC117143838|XP_033164580.1|DMAU	LOC109413227|XP_029729867.1|AEAL, LOC109402164|XP_019530338.2|AEAL, LOC115267166|XP_029729868.1|AEAL
OG0003251	LOC117143778|XP_033164498.1|DMAU	LOC109413228|XP_019542500.2|AEAL, LOC115267165|XP_029729866.1|AEAL
OG0003252	LOC117143146|XP_033163534.1|DMAU	LOC109413224|XP_019542495.2|AEAL, LOC109405393|XP_019533999.2|AEAL, LOC115267169|XP_029729872.1|AEAL
OG0003253	LOC117144028|XP_033164879.1|DMAU	LOC109431066|XP_019562748.2|AEAL
OG0003254	LOC117146095|XP_033167958.1|DMAU	LOC109430080|XP_029713348.1|AEAL, LOC109430752|XP_029712847.1|AEAL, LOC109431063|XP_019562745.2|AEAL, LOC109405395|XP_019534000.2|AEAL
OG0003255	LOC117142926|XP_033163115.1|DMAU	LOC115259203|XP_029715578.1|AEAL, LOC115255661|XP_029709625.1|AEAL, LOC109405341|XP_019533940.2|AEAL
OG0003256	LOC117144906|XP_033166231.1|DMAU	LOC109397825|XP_019525700.2|AEAL, LOC115255622|XP_029709572.1|AEAL, LOC109405346|XP_019533945.2|AEAL
OG0003257	LOC117148162|XP_033171288.1|DMAU	LOC109413204|XP_029710438.1|AEAL, LOC109424928|XP_029708429.1|AEAL
OG0003258	LOC117146599|XP_033168814.1|DMAU	LOC109424954|XP_029710511.1|AEAL
OG0003259	LOC117147781|XP_033170709.1|DMAU	LOC109431073|XP_019562761.2|AEAL
OG0003260	LOC117147603|XP_033170444.1|DMAU	LOC109431120|XP_019562845.2|AEAL, LOC115261062|XP_029718295.1|AEAL
OG0003261	LOC117143843|XP_033164588.1|DMAU	LOC109431086|XP_029718298.1|AEAL, LOC109424975|XP_019555719.2|AEAL
OG0003262	LOC117145557|XP_033167150.1|DMAU	LOC109431125|XP_029711855.1|AEAL, LOC115256842|XP_029711723.1|AEAL
OG0003263	LOC117147634|XP_033170493.1|DMAU	LOC109415659|XP_029711785.1|AEAL, LOC109431127|XP_019562856.2|AEAL, LOC115256345|XP_029710531.1|AEAL, LOC115254562|XP_029708032.1|AEAL
OG0003264	LOC117147542|XP_033170368.1|DMAU	LOC115256402|XP_029710735.1|AEAL, LOC109415811|XP_019545292.2|AEAL
OG0003265	LOC117139764|XP_033158245.1|DMAU	LOC109431172|XP_019562925.2|AEAL
OG0003266	LOC117137400|XP_033154716.1|DMAU	LOC109424773|XP_029711192.1|AEAL, LOC109417220|XP_029711195.1|AEAL
OG0003267	LOC117148611|XP_033171984.1|DMAU, LOC117148612|XP_033171985.1|DMAU	LOC109433651|XP_029732668.1|AEAL, LOC115256879|XP_029711830.1|AEAL, LOC109424767|XP_029715509.1|AEAL
OG0003268	LOC117144537|XP_033165659.1|DMAU	LOC115255675|XP_029709637.1|AEAL, LOC115256633|XP_029711327.1|AEAL, LOC109433660|XP_029733839.1|AEAL
OG0003269	LOC117145622|XP_033167232.1|DMAU	LOC115256416|XP_029710784.1|AEAL, LOC109433659|XP_019565660.2|AEAL, LOC109403485|XP_029733838.1|AEAL
OG0003270	LOC117140897|XP_033159944.1|DMAU	LOC109403484|XP_029709640.1|AEAL, LOC109433643|XP_029732664.1|AEAL, LOC115256584|XP_029711222.1|AEAL
OG0003271	LOC117146240|XP_033168044.1|DMAU	LOC109433627|XP_029711905.1|AEAL, LOC115269286|XP_029733725.1|AEAL, LOC115253530|XP_029712302.1|AEAL
OG0003272	LOC117146881|XP_033169365.1|DMAU	LOC109408929|XP_019537867.2|AEAL
OG0003273	LOC117138310|XP_033156209.1|DMAU	LOC115256437|XP_029710873.1|AEAL, LOC109415225|XP_019544658.1|AEAL, LOC109428364|XP_029712290.1|AEAL
OG0003274	LOC117147649|XP_033170512.1|DMAU	LOC109428415|XP_029711694.1|AEAL
OG0003275	LOC117148180|XP_033171340.1|DMAU	LOC109428420|XP_019559715.2|AEAL
OG0003276	LOC117145002|XP_033166381.1|DMAU	LOC115262976|XP_029721779.1|AEAL, LOC109430516|XP_029729608.1|AEAL, LOC109428431|XP_019559732.2|AEAL
OG0003277	LOC117136717|XP_033153631.1|DMAU	LOC109428441|XP_019559751.1|AEAL, LOC109422150|XP_019552339.2|AEAL
OG0003278	LOC117145848|XP_033167555.1|DMAU	LOC109422175|XP_029716706.1|AEAL, LOC109428465|XP_019559774.2|AEAL
OG0003279	LOC117147147|XP_033169818.1|DMAU	LOC109428527|XP_029711307.1|AEAL, LOC109422178|XP_019552365.2|AEAL
OG0003280	LOC117144507|XP_033165588.1|DMAU	LOC109428528|XP_029711042.1|AEAL, LOC109422103|XP_029716710.1|AEAL
OG0003281	LOC117149458|XP_033172668.1|DMAU, LOC117145286|XP_033166767.1|DMAU	LOC115256775|XP_029711589.1|AEAL, LOC109428554|XP_019559880.2|AEAL
OG0003282	LOC117147926|XP_033170949.1|DMAU	LOC109428491|XP_029711710.1|AEAL, LOC115256839|XP_029711716.1|AEAL, LOC109415174|XP_029721798.1|AEAL
OG0003283	LOC117150381|XP_033173135.1|DMAU	LOC109430087|XP_019561665.2|AEAL, LOC115256456|XP_029710942.1|AEAL
OG0003284	LOC117148904|XP_033172502.1|DMAU	LOC115256499|XP_029711027.1|AEAL, LOC109428518|XP_019559859.1|AEAL, LOC109430095|XP_019561675.1|AEAL
OG0003285	LOC117144047|XP_033164907.1|DMAU	LOC115257276|XP_029712581.1|AEAL, LOC109416816|XP_029712663.1|AEAL, LOC109398231|XP_029714864.1|AEAL
OG0003286	LOC117145593|XP_033167191.1|DMAU	LOC109402603|XP_029708404.1|AEAL, LOC109406602|XP_029710634.1|AEAL
OG0003287	LOC117139114|XP_033157145.1|DMAU	LOC109406612|XP_019535246.2|AEAL
OG0003288	LOC117143883|XP_033164661.1|DMAU	LOC109402605|XP_029734100.1|AEAL, LOC115260002|XP_029716696.1|AEAL, LOC109406624|XP_029710565.1|AEAL
OG0003289	LOC117135433|XP_033151486.1|DMAU	LOC109402694|XP_019530941.2|AEAL
OG0003290	LOC117143404|XP_033163988.1|DMAU	LOC109402691|XP_029711466.1|AEAL
OG0003291	LOC117139530|XP_033157789.1|DMAU	LOC109427495|XP_019558591.2|AEAL
OG0003292	LOC117147398|XP_033170158.1|DMAU	LOC115264856|XP_029724749.1|AEAL, LOC109427513|XP_019558611.1|AEAL, LOC115264857|XP_029724750.1|AEAL
OG0003293	LOC117147323|XP_033170065.1|DMAU	LOC109398935|XP_029710527.1|AEAL
OG0003294	LOC117135647|XP_033151922.1|DMAU	LOC115256427|XP_029710830.1|AEAL, LOC115269132|XP_029733399.1|AEAL, LOC109427531|XP_019558629.2|AEAL
OG0003295	LOC117147914|XP_033170919.1|DMAU	LOC115253655|XP_029711942.1|AEAL, LOC109427536|XP_019558639.2|AEAL
OG0003296	LOC117143337|XP_033163889.1|DMAU	LOC109427485|XP_019558580.1|AEAL, LOC115256667|XP_029711400.1|AEAL, LOC115256413|XP_029710772.1|AEAL
OG0003297	LOC117143099|XP_033163469.1|DMAU	LOC115256327|XP_029710462.1|AEAL, LOC109427546|XP_019558659.2|AEAL, LOC115269373|XP_029733900.1|AEAL
OG0003299	LOC117142719|XP_033162772.1|DMAU	LOC109414694|XP_029729492.1|AEAL, LOC109401899|XP_029709670.1|AEAL
OG0003300	LOC117142919|XP_033163108.1|DMAU	LOC109414692|XP_029729379.1|AEAL, LOC109401902|XP_029709674.1|AEAL, LOC109414693|XP_029709675.1|AEAL
OG0003301	LOC117138352|XP_033156288.1|DMAU	LOC109414683|XP_019544059.2|AEAL, LOC115253951|XP_029709680.1|AEAL, LOC109401932|XP_019530104.2|AEAL
OG0003302	LOC117148580|XP_033171938.1|DMAU	LOC109414682|XP_019544058.2|AEAL, LOC115255719|XP_029709683.1|AEAL
OG0003303	LOC117137273|XP_033154531.1|DMAU	LOC115255705|XP_029709665.1|AEAL, LOC109412090|XP_019541277.2|AEAL, LOC109401829|XP_019529987.2|AEAL
OG0003304	LOC117145074|XP_033166482.1|DMAU	LOC109404698|XP_019533165.2|AEAL, LOC109397196|XP_029733240.1|AEAL
OG0003305	LOC117148491|XP_033171761.1|DMAU	LOC115256880|XP_029711832.1|AEAL, LOC115267409|XP_029730248.1|AEAL, LOC109422084|XP_029710561.1|AEAL, LOC115267410|XP_029730249.1|AEAL
OG0003306	LOC117136138|XP_033152735.1|DMAU	LOC109422123|XP_019552300.2|AEAL
OG0003307	LOC117147491|XP_033170279.1|DMAU	LOC109422088|XP_029711529.1|AEAL, LOC109432604|XP_029712534.1|AEAL
OG0003308	LOC117136413|XP_033153216.1|DMAU	LOC115269056|XP_029733220.1|AEAL, LOC115269054|XP_029733219.1|AEAL, LOC109422144|XP_019552331.2|AEAL
OG0003309	LOC117148311|XP_033171526.1|DMAU	LOC109432582|XP_029709986.1|AEAL, LOC109432584|XP_029708426.1|AEAL, LOC109397189|XP_029733308.1|AEAL, LOC115269105|XP_029733367.1|AEAL
OG0003310	LOC117148379|XP_033171627.1|DMAU	LOC109421968|XP_019552150.2|AEAL
OG0003311	LOC117144767|XP_033166021.1|DMAU	LOC115256389|XP_029710659.1|AEAL, LOC109422032|XP_019552216.2|AEAL
OG0003312	LOC117143308|XP_033163809.1|DMAU	LOC109421967|XP_019552149.1|AEAL, LOC115256482|XP_029710991.1|AEAL
OG0003313	LOC117148109|XP_033171218.1|DMAU	LOC115256363|XP_029710570.1|AEAL, LOC115256369|XP_029710594.1|AEAL, LOC109422003|XP_019552188.2|AEAL
OG0003314	LOC117135574|XP_033151790.1|DMAU	LOC115256368|XP_029710593.1|AEAL, LOC109422000|XP_019552184.2|AEAL
OG0003315	LOC117146944|XP_033169485.1|DMAU	LOC115256426|XP_029710826.1|AEAL, LOC109421999|XP_029712683.1|AEAL, LOC115253965|XP_029710694.1|AEAL
OG0003316	LOC117145635|XP_033167245.1|DMAU	LOC109424615|XP_029710645.1|AEAL
OG0003317	LOC117142525|XP_033162461.1|DMAU	LOC109427460|XP_019558558.2|AEAL, LOC115256595|XP_029711261.1|AEAL
OG0003318	LOC117143226|XP_033163666.1|DMAU	LOC115260102|XP_029716831.1|AEAL, LOC109622444|XP_029711722.1|AEAL
OG0003319	LOC117145959|XP_033167741.1|DMAU	LOC115256716|XP_029711514.1|AEAL, LOC109427441|XP_029710743.1|AEAL, LOC115267308|XP_029730088.1|AEAL
OG0003320	LOC117144427|XP_033165460.1|DMAU	LOC115254486|XP_029707896.1|AEAL, LOC109410157|XP_029710577.1|AEAL
OG0003321	LOC117145804|XP_033167494.1|DMAU	LOC109427436|XP_029707898.1|AEAL, LOC109410155|XP_019539224.2|AEAL
OG0003322	LOC117145805|XP_033167497.1|DMAU	LOC109427435|XP_019558535.2|AEAL
OG0003323	LOC117148380|XP_033171628.1|DMAU	LOC109402083|XP_029710796.1|AEAL
OG0003324	LOC117148780|XP_033172273.1|DMAU	LOC115256898|XP_029711901.1|AEAL, LOC109409500|XP_029710931.1|AEAL
OG0003325	LOC117143852|XP_033164601.1|DMAU	LOC109409431|XP_029711745.1|AEAL
OG0003326	LOC117146531|XP_033168691.1|DMAU	LOC115253971|XP_029710982.1|AEAL, LOC109409440|XP_019538431.1|AEAL, LOC109432697|XP_019564623.2|AEAL
OG0003327	LOC117146329|XP_033168309.1|DMAU	LOC109409476|XP_019538474.2|AEAL, LOC109397635|XP_029736267.1|AEAL
OG0003328	LOC117147619|XP_033170468.1|DMAU	LOC109397641|XP_019525476.2|AEAL, LOC109409489|XP_019538484.2|AEAL
OG0003329	LOC117142462|XP_033162344.1|DMAU	LOC109409490|XP_029736246.1|AEAL, LOC109397632|XP_029736252.1|AEAL
OG0003330	LOC117141573|XP_033160977.1|DMAU	LOC109397655|XP_019525495.2|AEAL, LOC115271003|XP_029736233.1|AEAL
OG0003331	LOC117147612|XP_033170461.1|DMAU	LOC109397688|XP_019525532.2|AEAL, LOC109432959|XP_019564855.2|AEAL, LOC115269562|XP_029734233.1|AEAL
OG0003332	LOC117147362|XP_033170117.1|DMAU	LOC115255771|XP_029709753.1|AEAL, LOC109433007|XP_019564930.2|AEAL
OG0003333	LOC117142960|XP_033163178.1|DMAU	LOC109398579|XP_029734213.1|AEAL, LOC109413007|XP_029734265.1|AEAL
OG0003334	LOC117145255|XP_033166729.1|DMAU	LOC115256111|XP_029710227.1|AEAL, LOC109414077|XP_019543361.1|AEAL
OG0003335	LOC117142372|XP_033162193.1|DMAU	LOC109414079|XP_019543364.2|AEAL, LOC115256087|XP_029710200.1|AEAL
OG0003336	LOC117144082|XP_033164988.1|DMAU	LOC115267232|XP_029729988.1|AEAL, LOC109412998|XP_019542216.2|AEAL
OG0003337	LOC117145725|XP_033167365.1|DMAU	LOC109422938|XP_019553379.2|AEAL
OG0003338	LOC117143720|XP_033164410.1|DMAU	LOC109422941|XP_029717449.1|AEAL
OG0003339	LOC117142486|XP_033162401.1|DMAU	LOC109422970|XP_019553415.2|AEAL, LOC109403580|XP_019531948.2|AEAL
OG0003340	LOC117142488|XP_033162404.1|DMAU	LOC109403573|XP_019531939.2|AEAL, LOC109422971|XP_029717388.1|AEAL
OG0003341	LOC117148232|XP_033171416.1|DMAU	LOC115260562|XP_029717339.1|AEAL, LOC109422981|XP_029717384.1|AEAL, LOC115260569|XP_029717365.1|AEAL
OG0003342	LOC117147053|XP_033169694.1|DMAU	LOC115260566|XP_029717362.1|AEAL, LOC109422989|XP_029717349.1|AEAL, LOC109405330|XP_019533927.2|AEAL
OG0003343	LOC117146539|XP_033168704.1|DMAU	LOC109422898|XP_029717951.1|AEAL
OG0003344	LOC117151084|XP_033174221.1|DMAU	LOC109401483|XP_029725334.1|AEAL
OG0003345	LOC117148853|XP_033172402.1|DMAU	LOC109423058|XP_029717757.1|AEAL, LOC109432362|XP_029708382.1|AEAL
OG0003346	LOC117143094|XP_033163462.1|DMAU	LOC109423070|XP_019553539.1|AEAL, LOC115254034|XP_029715777.1|AEAL, LOC109432374|XP_019564276.2|AEAL
OG0003347	LOC117143177|XP_033163582.1|DMAU	LOC115254235|XP_029734153.1|AEAL, LOC109400930|XP_019528964.2|AEAL, LOC109422823|XP_019553259.2|AEAL
OG0003348	LOC117142612|XP_033162586.1|DMAU	LOC115260615|XP_029717507.1|AEAL, LOC115255932|XP_029710010.1|AEAL, LOC109422820|XP_029717567.1|AEAL
OG0003349	LOC117139497|XP_033157716.1|DMAU	LOC109421834|XP_029717592.1|AEAL, LOC109422780|XP_029717543.1|AEAL, LOC115253777|XP_029717528.1|AEAL
OG0003350	LOC117142881|XP_033163044.1|DMAU	LOC109421835|XP_029717534.1|AEAL
OG0003351	LOC117147140|XP_033169810.1|DMAU	LOC109422770|XP_019553188.1|AEAL, LOC109421844|XP_019551955.1|AEAL
OG0003352	LOC117143640|XP_033164310.1|DMAU	LOC109421883|XP_019552003.2|AEAL
OG0003353	LOC117142267|XP_033162024.1|DMAU	LOC109425028|XP_029717637.1|AEAL, LOC109418573|XP_029717678.1|AEAL
OG0003354	LOC117142920|XP_033163109.1|DMAU	LOC109424980|XP_029717646.1|AEAL, LOC115260676|XP_029717687.1|AEAL
OG0003355	LOC117148609|XP_033171982.1|DMAU	LOC109418672|XP_029712152.1|AEAL, LOC115260679|XP_029717693.1|AEAL, LOC109424901|XP_029717651.1|AEAL
OG0003356	LOC117147161|XP_033169835.1|DMAU	LOC109412954|XP_029717703.1|AEAL, LOC109424872|XP_029717659.1|AEAL
OG0003357	LOC117147810|XP_033170753.1|DMAU	LOC115254051|XP_029717660.1|AEAL, LOC109412952|XP_019542158.2|AEAL
OG0003358	LOC117150962|XP_033174033.1|DMAU	LOC109427766|XP_029717789.1|AEAL, LOC109431339|XP_019563101.1|AEAL
OG0003359	LOC117146750|XP_033169119.1|DMAU	LOC109427746|XP_029717818.1|AEAL, LOC109431388|XP_019563150.1|AEAL
OG0003360	LOC117148275|XP_033171479.1|DMAU	LOC109427738|XP_029717321.1|AEAL, LOC109431372|XP_029717823.1|AEAL
OG0003361	LOC117136409|XP_033153207.1|DMAU	LOC115258121|XP_029714021.1|AEAL, LOC115258120|XP_029714020.1|AEAL
OG0003362	LOC117145779|XP_033167449.1|DMAU	LOC109431465|XP_029717900.1|AEAL
OG0003363	LOC117143423|XP_033164017.1|DMAU	LOC109431491|XP_029717901.1|AEAL
OG0003364	LOC117142228|XP_033161970.1|DMAU	LOC109406946|XP_029729113.1|AEAL, LOC109405944|XP_019534538.2|AEAL
OG0003365	LOC117143944|XP_033164769.1|DMAU	LOC109405947|XP_029729118.1|AEAL, LOC109406925|XP_029728626.1|AEAL
OG0003366	LOC117139735|XP_033158165.1|DMAU	LOC109431089|XP_029707527.1|AEAL, LOC109412124|XP_029733688.1|AEAL
OG0003367	LOC117139784|XP_033158289.1|DMAU	LOC109431378|XP_029718067.1|AEAL, LOC109412153|XP_029718056.1|AEAL
OG0003368	LOC117139782|XP_033158286.1|DMAU	LOC109412183|XP_019541382.2|AEAL
OG0003369	LOC117146092|XP_033167953.1|DMAU	LOC109431675|XP_029717911.1|AEAL
OG0003370	LOC117142479|XP_033162387.1|DMAU	LOC115258289|XP_029714231.1|AEAL, LOC109405306|XP_019533886.1|AEAL, LOC109406365|XP_019535009.2|AEAL
OG0003371	LOC117147920|XP_033170930.1|DMAU	LOC109416337|XP_029710160.1|AEAL, LOC109426538|XP_029725061.1|AEAL, LOC109416319|XP_019545903.2|AEAL
OG0003372	LOC117135824|XP_033152223.1|DMAU	LOC109405639|XP_019534252.1|AEAL
OG0003373	LOC117145940|XP_033167708.1|DMAU	LOC109406906|XP_029713908.1|AEAL
OG0003374	LOC117148533|XP_033171839.1|DMAU	LOC109405633|XP_029712329.1|AEAL
OG0003375	LOC117143082|XP_033163444.1|DMAU	LOC109405641|XP_029712341.1|AEAL
OG0003376	LOC117144787|XP_033166046.1|DMAU	LOC109623012|XP_019933028.1|AEAL, LOC109419648|XP_019549422.1|AEAL
OG0003377	LOC117142224|XP_033161957.1|DMAU	LOC109622744|XP_029712317.1|AEAL, LOC115257104|XP_029712319.1|AEAL
OG0003378	LOC117145048|XP_033166446.1|DMAU	LOC109622746|XP_029712333.1|AEAL
OG0003379	LOC117142809|XP_033162910.1|DMAU	LOC109419559|XP_019549320.2|AEAL
OG0003380	LOC117145010|XP_033166394.1|DMAU	LOC109423118|XP_029708021.1|AEAL, LOC109419486|XP_029733622.1|AEAL
OG0003381	LOC117148638|XP_033172066.1|DMAU	LOC109423123|XP_019553575.2|AEAL, LOC109419373|XP_019549152.2|AEAL
OG0003382	LOC117142688|XP_033162722.1|DMAU	LOC109423127|XP_029732680.1|AEAL, LOC109419299|XP_029707993.1|AEAL
OG0003383	LOC117144315|XP_033165317.1|DMAU	LOC109423138|XP_029733678.1|AEAL, LOC115269264|XP_029733677.1|AEAL, LOC109419141|XP_019548912.2|AEAL
OG0003384	LOC117137998|XP_033155679.1|DMAU	LOC115257160|XP_029712415.1|AEAL, LOC109397301|XP_019525177.1|AEAL, LOC109423202|XP_029729628.1|AEAL
OG0003385	LOC117142861|XP_033163006.1|DMAU	LOC115253627|XP_029707962.1|AEAL, LOC109397295|XP_029729623.1|AEAL, LOC109423203|XP_029712438.1|AEAL, LOC115254528|XP_029707941.1|AEAL
OG0003386	LOC117142897|XP_033163070.1|DMAU	LOC109397307|XP_019525182.2|AEAL, LOC115266664|XP_029729048.1|AEAL, LOC115254705|XP_029708235.1|AEAL
OG0003387	LOC117145945|XP_033167716.1|DMAU	LOC115266637|XP_029729005.1|AEAL, LOC109397288|XP_029707948.1|AEAL
OG0003388	LOC117147263|XP_033169977.1|DMAU	LOC109423215|XP_019553697.2|AEAL, LOC115254534|XP_029707947.1|AEAL, LOC109397294|XP_019525161.2|AEAL, LOC115254710|XP_029708242.1|AEAL
OG0003389	LOC117136314|XP_033153053.1|DMAU	LOC109397253|XP_019525122.2|AEAL, LOC115263817|XP_029723055.1|AEAL
OG0003390	LOC117143108|XP_033163481.1|DMAU	LOC109397252|XP_019525121.2|AEAL, LOC109423239|XP_029722773.1|AEAL
OG0003391	LOC117144183|XP_033165120.1|DMAU	LOC109423518|XP_029736178.1|AEAL, LOC109430199|XP_029722780.1|AEAL
OG0003392	LOC117142497|XP_033162422.1|DMAU	LOC109432122|XP_019563951.2|AEAL
OG0003393	LOC117143028|XP_033163304.1|DMAU	LOC109425428|XP_029722844.1|AEAL, LOC115254111|XP_029722811.1|AEAL, LOC109432127|XP_029722866.1|AEAL
OG0003394	LOC117143358|XP_033163922.1|DMAU	LOC115266412|XP_029728504.1|AEAL, LOC109432203|XP_019564074.2|AEAL
OG0003395	LOC117144316|XP_033165318.1|DMAU	LOC109432198|XP_029722813.1|AEAL, LOC115263717|XP_029722820.1|AEAL
OG0003396	LOC117145988|XP_033167793.1|DMAU	LOC115263724|XP_029722841.1|AEAL, LOC109425439|XP_029722816.1|AEAL
OG0003397	LOC117145245|XP_033166718.1|DMAU	LOC109430300|XP_019561899.2|AEAL
OG0003399	LOC117145992|XP_033167798.1|DMAU	LOC109415542|XP_019544970.2|AEAL, LOC109430272|XP_019561866.1|AEAL
