Orthogroup	SLEB.longest_only	BCOP.longest_only
OG0004949	LOC115628362|XP_030380299.1|SLEB	LOC119076222|XP_037038775.1|BCOP
OG0004950	LOC115632909|XP_030386059.1|SLEB	LOC119073892|XP_037035675.1|BCOP
OG0004951	LOC115621224|XP_030370670.1|SLEB	LOC119068251|XP_037027682.1|BCOP
OG0004952	LOC115632666|XP_030385760.1|SLEB	LOC119077106|XP_037040164.1|BCOP
OG0004953	LOC115632183|XP_030385077.1|SLEB	LOC119084905|XP_037050955.1|BCOP
OG0004954	LOC115632483|XP_030385518.1|SLEB	LOC119073320|XP_037034605.1|BCOP
OG0004955	LOC115622606|XP_030372464.1|SLEB	LOC119079260|XP_037042935.1|BCOP, LOC119079419|XP_037043218.1|BCOP
OG0004956	LOC115634411|XP_030387967.1|SLEB	LOC119079417|XP_037043215.1|BCOP
OG0004957	LOC115632455|XP_030385471.1|SLEB	LOC119073733|XP_037035260.1|BCOP
OG0004958	LOC115632451|XP_030385462.1|SLEB	LOC119081433|XP_037046249.1|BCOP
OG0004959	LOC115632889|XP_030386030.1|SLEB	LOC119074040|XP_037035881.1|BCOP
OG0004960	LOC115632319|XP_030385282.1|SLEB	LOC119078298|XP_037041687.1|BCOP
OG0004961	LOC115627004|XP_030378384.1|SLEB	LOC119084962|XP_037051006.1|BCOP
OG0004962	LOC115632199|XP_030385105.1|SLEB	LOC119073263|XP_037034536.1|BCOP
OG0004963	LOC115621909|XP_030371604.1|SLEB	LOC119084801|XP_037050763.1|BCOP
OG0004964	LOC115623234|XP_030373343.1|SLEB	LOC119081263|XP_037045899.1|BCOP
OG0004965	LOC115622930|XP_030372918.1|SLEB	LOC119080539|XP_037044848.1|BCOP
OG0004966	LOC115623278|XP_030373420.1|SLEB	LOC119080490|XP_037044777.1|BCOP
OG0004967	LOC115633851|XP_030387202.1|SLEB	LOC119081371|XP_037046145.1|BCOP
OG0004968	LOC115624652|XP_030375292.1|SLEB	LOC119080918|XP_037045429.1|BCOP
OG0004969	LOC115634209|XP_030387661.1|SLEB	LOC119083682|XP_037049362.1|BCOP
OG0004970	LOC115632640|XP_030385730.1|SLEB	LOC119080913|XP_037045415.1|BCOP
OG0004971	LOC115632164|XP_030385051.1|SLEB	LOC119080915|XP_037045420.1|BCOP
OG0004972	LOC115622906|XP_030372889.1|SLEB	LOC119080925|XP_037045440.1|BCOP
OG0004973	LOC115633118|XP_030386367.1|SLEB	LOC119080934|XP_037045449.1|BCOP
OG0004974	LOC115632605|XP_030385692.1|SLEB	LOC119080720|XP_037045101.1|BCOP
OG0004975	LOC115624990|XP_030375718.1|SLEB	LOC119080177|XP_037044298.1|BCOP
OG0004976	LOC115628343|XP_030380267.1|SLEB	LOC119082796|XP_037048338.1|BCOP
OG0004977	LOC115620170|XP_030369161.1|SLEB	LOC119073470|XP_037034870.1|BCOP
OG0004978	LOC115623560|XP_030373820.1|SLEB	LOC119084805|XP_037050771.1|BCOP
OG0004979	LOC115622514|XP_030372328.1|SLEB	LOC119080645|XP_037044953.1|BCOP
OG0004980	LOC115622844|XP_030372785.1|SLEB	LOC119071510|XP_037032268.1|BCOP
OG0004981	LOC115633670|XP_030386975.1|SLEB	LOC119071300|XP_037032073.1|BCOP
OG0004982	LOC115633824|XP_030387171.1|SLEB	LOC119071251|XP_037031984.1|BCOP
OG0004983	LOC115632288|XP_030385241.1|SLEB	LOC119073305|XP_037034582.1|BCOP
OG0004984	LOC115622800|XP_030372725.1|SLEB	LOC119073303|XP_037034580.1|BCOP
OG0004985	LOC115628369|XP_030380305.1|SLEB	LOC119083866|XP_037049567.1|BCOP
OG0004986	LOC115622315|XP_030372081.1|SLEB	LOC119072209|XP_037033277.1|BCOP
OG0004987	LOC115632953|XP_030386110.1|SLEB	LOC119080661|XP_037044980.1|BCOP
OG0004988	LOC115628250|XP_030380126.1|SLEB	LOC119080695|XP_037045039.1|BCOP
OG0004989	LOC115632449|XP_030385459.1|SLEB	LOC119080758|XP_037045213.1|BCOP
OG0004990	LOC115634248|XP_030387702.1|SLEB	LOC119073677|XP_037035179.1|BCOP
OG0004991	LOC115634751|XP_030388501.1|SLEB	LOC119080383|XP_037044585.1|BCOP
OG0004992	LOC115634752|XP_030388503.1|SLEB	LOC119080381|XP_037044583.1|BCOP
OG0004994	LOC115628405|XP_030380354.1|SLEB	LOC119077236|XP_037040301.1|BCOP
OG0004997	LOC115624930|XP_030375644.1|SLEB	LOC119075127|XP_037037408.1|BCOP, LOC119084529|XP_037050434.1|BCOP
OG0004998	LOC115634227|XP_030387678.1|SLEB	LOC119080350|XP_037044547.1|BCOP
OG0004999	LOC115622896|XP_030372872.1|SLEB	LOC119085242|XP_037051460.1|BCOP
OG0005000	LOC115622262|XP_030372027.1|SLEB	LOC119073414|XP_037034757.1|BCOP
OG0005001	LOC115623045|XP_030373081.1|SLEB	LOC119075762|XP_037038201.1|BCOP
OG0005002	LOC115623966|XP_030374394.1|SLEB	LOC119077769|XP_037040978.1|BCOP
OG0005003	LOC115633139|XP_030386406.1|SLEB	LOC119080535|XP_037044843.1|BCOP
OG0005004	LOC115622566|XP_030372398.1|SLEB	LOC119081614|XP_037046555.1|BCOP
OG0005005	LOC115634528|XP_030388194.1|SLEB	LOC119079297|XP_037042979.1|BCOP
OG0005006	LOC115632177|XP_030385069.1|SLEB	LOC119079664|XP_037043609.1|BCOP
OG0005007	LOC115632705|XP_030385803.1|SLEB	LOC119079272|XP_037042946.1|BCOP
OG0005008	LOC115622417|XP_030372210.1|SLEB	LOC119079683|XP_037043635.1|BCOP
OG0005009	LOC115628541|XP_030380562.1|SLEB	LOC119073419|XP_037034759.1|BCOP
OG0005010	LOC115624360|XP_030374927.1|SLEB	LOC119078133|XP_037041530.1|BCOP
OG0005011	LOC115634583|XP_030388276.1|SLEB	LOC119072370|XP_037033460.1|BCOP
OG0005012	LOC115622677|XP_030372554.1|SLEB	LOC119080448|XP_037044708.1|BCOP
OG0005013	LOC115625382|XP_030376278.1|SLEB	LOC119074550|XP_037036624.1|BCOP
OG0005015	LOC115622693|XP_030372579.1|SLEB	LOC119079346|XP_037043071.1|BCOP
OG0005016	LOC115622379|XP_030372162.1|SLEB	LOC119074671|XP_037036853.1|BCOP
OG0005017	LOC115623282|XP_030373424.1|SLEB	LOC119066121|XP_037024300.1|BCOP
OG0005018	LOC115628245|XP_030380121.1|SLEB	LOC119076971|XP_037039962.1|BCOP
OG0005019	LOC115632101|XP_030384942.1|SLEB	LOC119076429|XP_037039073.1|BCOP
OG0005020	LOC115633635|XP_030386933.1|SLEB	LOC119081392|XP_037046174.1|BCOP
OG0005021	LOC115631703|XP_030384389.1|SLEB	LOC119077651|XP_037040766.1|BCOP
OG0005022	LOC115628289|XP_030380196.1|SLEB	LOC119068432|XP_037027897.1|BCOP
OG0005023	LOC115626651|XP_030377919.1|SLEB	LOC119079831|XP_037043792.1|BCOP
OG0005024	LOC115628408|XP_030380357.1|SLEB	LOC119076642|XP_037039408.1|BCOP
OG0005025	LOC115622915|XP_030372899.1|SLEB	LOC119074896|XP_037037138.1|BCOP
OG0005026	LOC115622161|XP_030371890.1|SLEB	LOC119081220|XP_037045839.1|BCOP
OG0005027	LOC115628247|XP_030380122.1|SLEB	LOC119073701|XP_037035196.1|BCOP
OG0005028	LOC115620749|XP_030370004.1|SLEB	LOC119068477|XP_037027983.1|BCOP
OG0005029	LOC115632333|XP_030385298.1|SLEB	LOC119075588|XP_037037955.1|BCOP
OG0005030	LOC115620523|XP_030369649.1|SLEB	LOC119068277|XP_037027706.1|BCOP
OG0005031	LOC115632247|XP_030385168.1|SLEB	LOC119086060|XP_037052530.1|BCOP
OG0005032	LOC115623240|XP_030373358.1|SLEB	LOC119076635|XP_037039398.1|BCOP
OG0005033	LOC115622332|XP_030372102.1|SLEB	LOC119081726|XP_037046767.1|BCOP
OG0005034	LOC115622328|XP_030372097.1|SLEB	LOC119081823|XP_037046954.1|BCOP
OG0005035	LOC115623241|XP_030373359.1|SLEB	LOC119080717|XP_037045094.1|BCOP
OG0005036	LOC115622248|XP_030372006.1|SLEB	LOC119067221|XP_037025963.1|BCOP
OG0005037	LOC115633033|XP_030386237.1|SLEB	LOC119073608|XP_037035078.1|BCOP
OG0005038	LOC115632253|XP_030385181.1|SLEB	LOC119075194|XP_037037482.1|BCOP
OG0005039	LOC115630660|XP_030383162.1|SLEB	LOC119070323|XP_037030486.1|BCOP
OG0005040	LOC115623256|XP_030373386.1|SLEB	LOC119073817|XP_037035489.1|BCOP
OG0005041	LOC115632856|XP_030385976.1|SLEB	LOC119081329|XP_037046011.1|BCOP
OG0005042	LOC115622612|XP_030372473.1|SLEB	LOC119084797|XP_037050757.1|BCOP
OG0005043	LOC115634669|XP_030388389.1|SLEB	LOC119073901|XP_037035685.1|BCOP
OG0005044	LOC115634667|XP_030388386.1|SLEB	LOC119069510|XP_037029486.1|BCOP
OG0005045	LOC115633441|XP_030386759.1|SLEB	LOC119066172|XP_037024369.1|BCOP
OG0005046	LOC115628892|XP_030381014.1|SLEB	LOC119078148|XP_037041519.1|BCOP
OG0005047	LOC115624738|XP_030375424.1|SLEB	LOC119080703|XP_037045057.1|BCOP
OG0005048	LOC115624616|XP_030375227.1|SLEB	LOC119073804|XP_037035460.1|BCOP
OG0005049	LOC115622500|XP_030372307.1|SLEB	LOC119077285|XP_037040331.1|BCOP
OG0005050	LOC115625823|XP_030376877.1|SLEB	LOC119082843|XP_037048397.1|BCOP
OG0005051	LOC115622834|XP_030372773.1|SLEB	LOC119080690|XP_037045023.1|BCOP
OG0005052	LOC115622832|XP_030372771.1|SLEB	LOC119080743|XP_037045187.1|BCOP
OG0005053	LOC115625822|XP_030376873.1|SLEB	LOC119084626|XP_037050589.1|BCOP
OG0005054	LOC115624670|XP_030375323.1|SLEB	LOC119073254|XP_037034514.1|BCOP
OG0005055	LOC115629558|XP_030381909.1|SLEB	LOC119083451|XP_037049073.1|BCOP
OG0005056	LOC115629596|XP_030381985.1|SLEB	LOC119073358|XP_037034655.1|BCOP
OG0005057	LOC115628243|XP_030380116.1|SLEB	LOC119080191|XP_037044325.1|BCOP
OG0005058	LOC115622987|XP_030373002.1|SLEB	LOC119073798|XP_037035428.1|BCOP
OG0005059	LOC115633213|XP_030386498.1|SLEB	LOC119081776|XP_037046877.1|BCOP
OG0005060	LOC115626401|XP_030377627.1|SLEB	LOC119081749|XP_037046819.1|BCOP
OG0005061	LOC115625906|XP_030376997.1|SLEB	LOC119068733|XP_037028325.1|BCOP
OG0005062	LOC115625029|XP_030375737.1|SLEB	LOC119083564|XP_037049183.1|BCOP
OG0005063	LOC115633802|XP_030387144.1|SLEB	LOC119079879|XP_037043857.1|BCOP
OG0005064	LOC115622957|XP_030372956.1|SLEB	LOC119080420|XP_037044655.1|BCOP
OG0005065	LOC115631957|XP_030384679.1|SLEB	LOC119073445|XP_037034831.1|BCOP
OG0005066	LOC115633703|XP_030387023.1|SLEB	LOC119073516|XP_037034937.1|BCOP
OG0005067	LOC115622066|XP_030371789.1|SLEB	LOC119073946|XP_037035716.1|BCOP
OG0005068	LOC115622636|XP_030372504.1|SLEB	LOC119084242|XP_037050037.1|BCOP
OG0005069	LOC115622736|XP_030372640.1|SLEB	LOC119074502|XP_037036552.1|BCOP
OG0005070	LOC115623727|XP_030374084.1|SLEB	LOC119073865|XP_037035627.1|BCOP
OG0005071	LOC115622745|XP_030372653.1|SLEB	LOC119073318|XP_037034603.1|BCOP
OG0005072	LOC115627758|XP_030379403.1|SLEB	LOC119079369|XP_037043134.1|BCOP
OG0005073	LOC115633633|XP_030386931.1|SLEB	LOC119084020|XP_037049731.1|BCOP
OG0005074	LOC115632475|XP_030385507.1|SLEB	LOC119079755|XP_037043732.1|BCOP
OG0005075	LOC115633655|XP_030386960.1|SLEB	LOC119073709|XP_037035216.1|BCOP
OG0005076	LOC115629759|XP_030382168.1|SLEB	LOC119081356|XP_037046100.1|BCOP
OG0005078	LOC115632733|XP_030385839.1|SLEB	LOC119066068|XP_037024191.1|BCOP
OG0005079	LOC115631545|XP_030384194.1|SLEB	LOC119083647|XP_037049312.1|BCOP
OG0005081	LOC115621269|XP_030370733.1|SLEB	LOC119081654|XP_037046631.1|BCOP
OG0005082	LOC115633781|XP_030387118.1|SLEB	LOC119073347|XP_037034636.1|BCOP
OG0005083	LOC115627234|XP_030378716.1|SLEB	LOC119066271|XP_037024524.1|BCOP
OG0005084	LOC115623052|XP_030373091.1|SLEB	LOC119080906|XP_037045392.1|BCOP
OG0005085	LOC115623048|XP_030373087.1|SLEB	LOC119074188|XP_037036076.1|BCOP
OG0005086	LOC115619998|XP_030368947.1|SLEB	LOC119074143|XP_037036035.1|BCOP
OG0005087	LOC115622893|XP_030372864.1|SLEB	LOC119079836|XP_037043797.1|BCOP
OG0005088	LOC115624548|XP_030375135.1|SLEB	LOC119081623|XP_037046566.1|BCOP
OG0005089	LOC115624538|XP_030375125.1|SLEB	LOC119081622|XP_037046565.1|BCOP
OG0005090	LOC115629424|XP_030381739.1|SLEB	LOC119078736|XP_037042313.1|BCOP
OG0005091	LOC115632048|XP_030384885.1|SLEB	LOC119074079|XP_037035920.1|BCOP
OG0005092	LOC115628332|XP_030380253.1|SLEB	LOC119080297|XP_037044466.1|BCOP
OG0005093	LOC115622478|XP_030372282.1|SLEB	LOC119073538|XP_037034978.1|BCOP
OG0005094	LOC115632185|XP_030385080.1|SLEB	LOC119079921|XP_037043911.1|BCOP
OG0005095	LOC115621541|XP_030371070.1|SLEB	LOC119073356|XP_037034653.1|BCOP
OG0005096	LOC115629054|XP_030381224.1|SLEB	LOC119084417|XP_037050285.1|BCOP
OG0005098	LOC115631127|XP_030383665.1|SLEB	LOC119073864|XP_037035626.1|BCOP
OG0005099	LOC115633906|XP_030387275.1|SLEB	LOC119080633|XP_037044937.1|BCOP
OG0005100	LOC115625598|XP_030376583.1|SLEB	LOC119066591|XP_037025080.1|BCOP
OG0005101	LOC115623496|XP_030373733.1|SLEB	LOC119074464|XP_037036500.1|BCOP
OG0005102	LOC115634690|XP_030388415.1|SLEB	LOC119066109|XP_037024286.1|BCOP
OG0005103	LOC115620967|XP_030370351.1|SLEB	LOC119079440|XP_037043248.1|BCOP
OG0005104	LOC115628556|XP_030380578.1|SLEB	LOC119079442|XP_037043250.1|BCOP
OG0005105	LOC115632707|XP_030385808.1|SLEB	LOC119081464|XP_037046348.1|BCOP
OG0005106	LOC115623213|XP_030373312.1|SLEB	LOC119077367|XP_037040448.1|BCOP
OG0005107	LOC115632456|XP_030385472.1|SLEB	LOC119080045|XP_037044142.1|BCOP, LOC119080631|XP_037044933.1|BCOP
OG0005108	LOC115634287|XP_030387801.1|SLEB	LOC119081331|XP_037046016.1|BCOP
OG0005109	LOC115627488|XP_030379031.1|SLEB	LOC119071266|XP_037032021.1|BCOP
OG0005110	LOC115633102|XP_030386343.1|SLEB	LOC119073753|XP_037035307.1|BCOP
OG0005111	LOC115632486|XP_030385523.1|SLEB	LOC119073619|XP_037035096.1|BCOP
OG0005112	LOC115624667|XP_030375320.1|SLEB	LOC119065986|XP_037024091.1|BCOP
OG0005113	LOC115632539|XP_030385606.1|SLEB	LOC119073658|XP_037035156.1|BCOP
OG0005114	LOC115622722|XP_030372623.1|SLEB	LOC119072473|XP_037033595.1|BCOP
OG0005115	LOC115630559|XP_030383032.1|SLEB	LOC119074317|XP_037036269.1|BCOP
OG0005116	LOC115632479|XP_030385513.1|SLEB	LOC119081577|XP_037046506.1|BCOP
OG0005117	LOC115629103|XP_030381284.1|SLEB	LOC119072611|XP_037033764.1|BCOP, LOC119081860|XP_037046986.1|BCOP
OG0005118	LOC115625693|XP_030376693.1|SLEB	LOC119073554|XP_037035005.1|BCOP
OG0005119	LOC115631427|XP_030384109.1|SLEB	LOC119073431|XP_037034799.1|BCOP
OG0005120	LOC115622963|XP_030372971.1|SLEB	LOC119080639|XP_037044947.1|BCOP
OG0005121	LOC115633972|XP_030387356.1|SLEB	LOC119077502|XP_037040622.1|BCOP
OG0005122	LOC115622648|XP_030372519.1|SLEB	LOC119077508|XP_037040635.1|BCOP
OG0005123	LOC115625412|XP_030376315.1|SLEB	LOC119079514|XP_037043374.1|BCOP
OG0005124	LOC115632275|XP_030385218.1|SLEB	LOC119079415|XP_037043217.1|BCOP
OG0005125	LOC115633171|XP_030386443.1|SLEB	LOC119081261|XP_037045892.1|BCOP
OG0005126	LOC115622880|XP_030372833.1|SLEB	LOC119081721|XP_037046758.1|BCOP
OG0005127	LOC115622145|XP_030371869.1|SLEB	LOC119080607|XP_037044902.1|BCOP
OG0005128	LOC115626184|XP_030377360.1|SLEB	LOC119075477|XP_037037827.1|BCOP
OG0005129	LOC115624825|XP_030375535.1|SLEB	LOC119085946|XP_037052395.1|BCOP
OG0005130	LOC115634506|XP_030388132.1|SLEB	LOC119077598|XP_037040704.1|BCOP
OG0005131	LOC115628258|XP_030380136.1|SLEB	LOC119073312|XP_037034599.1|BCOP
OG0005132	LOC115623179|XP_030373259.1|SLEB	LOC119074817|XP_037037003.1|BCOP
OG0005133	LOC115628344|XP_030380269.1|SLEB	LOC119077869|XP_037041113.1|BCOP
OG0005134	LOC115632396|XP_030385386.1|SLEB	LOC119079839|XP_037043796.1|BCOP
OG0005135	LOC115622716|XP_030372614.1|SLEB	LOC119079897|XP_037043881.1|BCOP
OG0005136	LOC115622784|XP_030372701.1|SLEB	LOC119075700|XP_037038124.1|BCOP
OG0005137	LOC115621264|XP_030370723.1|SLEB	LOC119080665|XP_037044986.1|BCOP
OG0005138	LOC115622854|XP_030372797.1|SLEB	LOC119074120|XP_037035999.1|BCOP
OG0005139	LOC115632739|XP_030385846.1|SLEB	LOC119076669|XP_037039458.1|BCOP
OG0005140	LOC115630928|XP_030383354.1|SLEB	LOC119077162|XP_037040247.1|BCOP
OG0005141	LOC115623622|XP_030373916.1|SLEB	LOC119074510|XP_037036565.1|BCOP
OG0005142	LOC115622229|XP_030371986.1|SLEB	LOC119084882|XP_037050923.1|BCOP
OG0005143	LOC115633061|XP_030386275.1|SLEB	LOC119080464|XP_037044730.1|BCOP
OG0005145	LOC115632315|XP_030385276.1|SLEB	LOC119073956|XP_037035740.1|BCOP
OG0005147	LOC115622953|XP_030372953.1|SLEB	LOC119066850|XP_037025412.1|BCOP
OG0005148	LOC115622471|XP_030372275.1|SLEB	LOC119081290|XP_037045947.1|BCOP
OG0005149	LOC115629056|XP_030381233.1|SLEB	LOC119079582|XP_037043468.1|BCOP
OG0005150	LOC115632329|XP_030385292.1|SLEB	LOC119081064|XP_037045675.1|BCOP
OG0005151	LOC115624543|XP_030375129.1|SLEB	LOC119073562|XP_037035013.1|BCOP
OG0005152	LOC115624598|XP_030375198.1|SLEB	LOC119073647|XP_037035140.1|BCOP
OG0005153	LOC115624587|XP_030375185.1|SLEB	LOC119080243|XP_037044387.1|BCOP
OG0005154	LOC115628254|XP_030380133.1|SLEB	LOC119073443|XP_037034827.1|BCOP
OG0005156	LOC115624009|XP_030374442.1|SLEB	LOC119069958|XP_037030084.1|BCOP
OG0005157	LOC115634649|XP_030388365.1|SLEB	LOC119073348|XP_037034637.1|BCOP
OG0005158	LOC115633070|XP_030386300.1|SLEB	LOC119073422|XP_037034762.1|BCOP
OG0005159	LOC115632444|XP_030385450.1|SLEB	LOC119073666|XP_037035165.1|BCOP
OG0005160	LOC115632818|XP_030385930.1|SLEB	LOC119079633|XP_037043542.1|BCOP
OG0005161	LOC115627574|XP_030379159.1|SLEB	LOC119073580|XP_037035044.1|BCOP
OG0005162	LOC115633234|XP_030386488.1|SLEB	LOC119077712|XP_037040886.1|BCOP
OG0005163	LOC115622932|XP_030372920.1|SLEB	LOC119069179|XP_037029003.1|BCOP
OG0005164	LOC115632273|XP_030385213.1|SLEB	LOC119080839|XP_037045295.1|BCOP
OG0005165	LOC115624509|XP_030375081.1|SLEB	LOC119081626|XP_037046571.1|BCOP
OG0005166	LOC115624291|XP_030374776.1|SLEB	LOC119081574|XP_037046504.1|BCOP
OG0005167	LOC115624295|XP_030374779.1|SLEB	LOC119081575|XP_037046505.1|BCOP
OG0005168	LOC115632090|XP_030384925.1|SLEB	LOC119080667|XP_037044993.1|BCOP
OG0005169	LOC115622495|XP_030372301.1|SLEB	LOC119080081|XP_037044196.1|BCOP
OG0005170	LOC115622165|XP_030371896.1|SLEB	LOC119080030|XP_037044107.1|BCOP
OG0005171	LOC115623247|XP_030373370.1|SLEB	LOC119080051|XP_037044152.1|BCOP
OG0005172	LOC115628232|XP_030380100.1|SLEB	LOC119073980|XP_037035784.1|BCOP
OG0005173	LOC115633253|XP_030386518.1|SLEB	LOC119075199|XP_037037487.1|BCOP
OG0005174	LOC115633668|XP_030386972.1|SLEB	LOC119079624|XP_037043516.1|BCOP
OG0005175	LOC115624686|XP_030375353.1|SLEB	LOC119079587|XP_037043472.1|BCOP
OG0005176	LOC115634045|XP_030387448.1|SLEB	LOC119083615|XP_037049247.1|BCOP
OG0005177	LOC115629827|XP_030382266.1|SLEB	LOC119079599|XP_037043487.1|BCOP
OG0005178	LOC115632323|XP_030385288.1|SLEB	LOC119069207|XP_037029074.1|BCOP
OG0005179	LOC115632413|XP_030385412.1|SLEB	LOC119073285|XP_037034564.1|BCOP
OG0005180	LOC115628396|XP_030380344.1|SLEB	LOC119083646|XP_037049310.1|BCOP
OG0005181	LOC115627775|XP_030379441.1|SLEB	LOC119066599|XP_037025050.1|BCOP
OG0005182	LOC115634306|XP_030387821.1|SLEB	LOC119073822|XP_037035501.1|BCOP
OG0005183	LOC115634779|XP_030388534.1|SLEB	LOC119073873|XP_037035639.1|BCOP
OG0005184	LOC115624993|XP_030375729.1|SLEB	LOC119069021|XP_037028791.1|BCOP
OG0005185	LOC115633894|XP_030387259.1|SLEB	LOC119073879|XP_037035654.1|BCOP
OG0005186	LOC115634834|XP_030388615.1|SLEB	LOC119075486|XP_037037834.1|BCOP
OG0005187	LOC115634370|XP_030387894.1|SLEB	LOC119083967|XP_037049667.1|BCOP, LOC119081341|XP_037046035.1|BCOP
OG0005188	LOC115633552|XP_030386869.1|SLEB	LOC119073391|XP_037034712.1|BCOP
OG0005189	LOC115627519|XP_030379079.1|SLEB	LOC119070199|XP_037030390.1|BCOP
OG0005190	LOC115632360|XP_030385337.1|SLEB	LOC119076736|XP_037039552.1|BCOP
OG0005191	LOC115623611|XP_030373888.1|SLEB	LOC119082156|XP_037047454.1|BCOP
OG0005192	LOC115632258|XP_030385195.1|SLEB	LOC119079969|XP_037044003.1|BCOP
OG0005193	LOC115633740|XP_030387073.1|SLEB	LOC119079965|XP_037043974.1|BCOP
OG0005194	LOC115628088|XP_030379928.1|SLEB	LOC119081552|XP_037046470.1|BCOP
OG0005195	LOC115620893|XP_030370240.1|SLEB	LOC119080586|XP_037044874.1|BCOP
OG0005196	LOC115632795|XP_030385907.1|SLEB	LOC119082799|XP_037048340.1|BCOP
OG0005197	LOC115633672|XP_030386978.1|SLEB	LOC119080462|XP_037044729.1|BCOP
OG0005198	LOC115624636|XP_030375257.1|SLEB	LOC119080707|XP_037045062.1|BCOP
OG0005199	LOC115627790|XP_030379474.1|SLEB	LOC119073533|XP_037034969.1|BCOP
OG0005200	LOC115630337|XP_030382734.1|SLEB	LOC119072421|XP_037033534.1|BCOP
OG0005201	LOC115634786|XP_030388553.1|SLEB	LOC119081756|XP_037046838.1|BCOP
OG0005202	LOC115632876|XP_030386014.1|SLEB	LOC119079952|XP_037043958.1|BCOP
OG0005203	LOC115634622|XP_030388333.1|SLEB	LOC119071140|XP_037031732.1|BCOP
OG0005204	LOC115628989|XP_030381130.1|SLEB	LOC119066263|XP_037024512.1|BCOP
OG0005205	LOC115631034|XP_030383517.1|SLEB	LOC119081957|XP_037047147.1|BCOP
OG0005206	LOC115634727|XP_030388471.1|SLEB	LOC119081540|XP_037046439.1|BCOP
OG0005207	LOC115633790|XP_030387127.1|SLEB	LOC119084872|XP_037050906.1|BCOP
OG0005208	LOC115633827|XP_030387175.1|SLEB	LOC119074500|XP_037036551.1|BCOP
OG0005209	LOC115626637|XP_030377907.1|SLEB	LOC119085259|XP_037051502.1|BCOP
OG0005210	LOC115626356|XP_030377567.1|SLEB	LOC119085245|XP_037051469.1|BCOP
OG0005211	LOC115624687|XP_030375349.1|SLEB	LOC119080134|XP_037044247.1|BCOP
OG0005212	LOC115633797|XP_030387136.1|SLEB	LOC119073775|XP_037035337.1|BCOP
OG0005213	LOC115633361|XP_030386662.1|SLEB	LOC119078963|XP_037042608.1|BCOP
OG0005214	LOC115631978|XP_030384738.1|SLEB	LOC119075622|XP_037037994.1|BCOP
OG0005215	LOC115631005|XP_030383464.1|SLEB	LOC119066954|XP_037025571.1|BCOP
OG0005216	LOC115625762|XP_030376783.1|SLEB	LOC119074300|XP_037036259.1|BCOP
OG0005217	LOC115629078|XP_030381253.1|SLEB	LOC119071633|XP_037032490.1|BCOP
OG0005218	LOC115626257|XP_030377422.1|SLEB	LOC119079274|XP_037042951.1|BCOP
OG0005219	LOC115622318|XP_030372088.1|SLEB	LOC119067509|XP_037026416.1|BCOP
OG0005220	LOC115632376|XP_030385357.1|SLEB	LOC119079920|XP_037043910.1|BCOP
OG0005221	LOC115626397|XP_030377620.1|SLEB	LOC119076588|XP_037039322.1|BCOP
OG0005222	LOC115630505|XP_030382956.1|SLEB	LOC119072234|XP_037033302.1|BCOP
OG0005223	LOC115625803|XP_030376841.1|SLEB	LOC119079446|XP_037043255.1|BCOP
OG0005224	LOC115628457|XP_030380435.1|SLEB	LOC119082107|XP_037047377.1|BCOP
OG0005225	LOC115626158|XP_030377292.1|SLEB	LOC119078510|XP_037041966.1|BCOP
OG0005226	LOC115631202|XP_030383756.1|SLEB	LOC119079031|XP_037042710.1|BCOP
OG0005227	LOC115631599|XP_030384261.1|SLEB	LOC119079115|XP_037042835.1|BCOP
OG0005228	LOC115631654|XP_030384326.1|SLEB	LOC119079083|XP_037042788.1|BCOP
OG0005229	LOC115631557|XP_030384204.1|SLEB	LOC119066344|XP_037024652.1|BCOP
OG0005230	LOC115631109|XP_030383628.1|SLEB	LOC119066332|XP_037024626.1|BCOP
OG0005231	LOC115628552|XP_030380574.1|SLEB	LOC119066347|XP_037024658.1|BCOP
OG0005232	LOC115626339|XP_030377545.1|SLEB	LOC119081949|XP_037047129.1|BCOP
OG0005233	LOC115626384|XP_030377603.1|SLEB	LOC119081990|XP_037047205.1|BCOP
OG0005234	LOC115625746|XP_030376761.1|SLEB	LOC119085147|XP_037051324.1|BCOP
OG0005235	LOC115631204|XP_030383768.1|SLEB	LOC119066465|XP_037024866.1|BCOP
OG0005236	LOC115630664|XP_030383166.1|SLEB	LOC119066466|XP_037024867.1|BCOP
OG0005237	LOC115630662|XP_030383164.1|SLEB	LOC119066457|XP_037024857.1|BCOP
OG0005239	LOC115630995|XP_030383446.1|SLEB	LOC119077090|XP_037040144.1|BCOP
OG0005240	LOC115632014|XP_030384806.1|SLEB	LOC119077009|XP_037040017.1|BCOP
OG0005241	LOC115630568|XP_030383044.1|SLEB	LOC119070764|XP_037031134.1|BCOP
OG0005242	LOC115630406|XP_030382797.1|SLEB	LOC119066966|XP_037025592.1|BCOP
OG0005243	LOC115631959|XP_030384682.1|SLEB	LOC119066134|XP_037024320.1|BCOP
OG0005244	LOC115621377|XP_030370863.1|SLEB	LOC119069071|XP_037028847.1|BCOP
OG0005245	LOC115625262|XP_030376123.1|SLEB	LOC119076822|XP_037039711.1|BCOP
OG0005246	LOC115631245|XP_030383814.1|SLEB	LOC119082565|XP_037047990.1|BCOP
OG0005247	LOC115634723|XP_030388466.1|SLEB	LOC119073462|XP_037034861.1|BCOP
