Orthogroup	SLEB.longest_only	CPIP.longest_only
OG0004572	LOC115630517|XP_030382979.1|SLEB	LOC120412596|XP_039429068.1|CPIP
OG0004573	LOC115621161|XP_030370581.1|SLEB	LOC120413351|XP_039430067.1|CPIP
OG0004574	LOC115628913|XP_030381036.1|SLEB	LOC120413171|XP_039429818.1|CPIP
OG0004575	LOC115628852|XP_030380962.1|SLEB	LOC120432239|XP_039453350.1|CPIP
OG0004576	LOC115620453|XP_030369544.1|SLEB	LOC120412599|XP_039429082.1|CPIP
OG0004577	LOC115625093|XP_030375852.1|SLEB	LOC120414152|XP_039431125.1|CPIP
OG0004578	LOC115627193|XP_030378658.1|SLEB	LOC120414948|XP_039432247.1|CPIP
OG0004579	LOC115631001|XP_030383456.1|SLEB	LOC120432564|XP_039453761.1|CPIP
OG0004580	LOC115620569|XP_030369723.1|SLEB	LOC120415606|XP_039433133.1|CPIP
OG0004581	LOC115620396|XP_030369468.1|SLEB	LOC120415612|XP_039433140.1|CPIP
OG0004582	LOC115620869|XP_030370202.1|SLEB	LOC120415621|XP_039433152.1|CPIP
OG0004583	LOC115633258|XP_030386522.1|SLEB	LOC120431695|XP_039452743.1|CPIP, LOC120421430|XP_039440574.1|CPIP
OG0004584	LOC115628169|XP_030380010.1|SLEB	LOC120431694|XP_039452742.1|CPIP, LOC120421418|XP_039440559.1|CPIP
OG0004585	LOC115621273|XP_030370735.1|SLEB	LOC120417040|XP_039434921.1|CPIP
OG0004586	LOC115627545|XP_030379120.1|SLEB	LOC120417033|XP_039434911.1|CPIP
OG0004587	LOC115620912|XP_030370266.1|SLEB	LOC120417017|XP_039434887.1|CPIP
OG0004588	LOC115620760|XP_030370020.1|SLEB	LOC120417018|XP_039434890.1|CPIP
OG0004589	LOC115627614|XP_030379205.1|SLEB	LOC120423035|XP_039442611.1|CPIP
OG0004590	LOC115621975|XP_030371685.1|SLEB	LOC120422058|XP_039441325.1|CPIP
OG0004591	LOC115620366|XP_030369431.1|SLEB	LOC120422080|XP_039441359.1|CPIP
OG0004592	LOC115629796|XP_030382218.1|SLEB	LOC120422078|XP_039441357.1|CPIP
OG0004593	LOC115633388|XP_030386691.1|SLEB	LOC120422075|XP_039441352.1|CPIP
OG0004594	LOC115627014|XP_030378396.1|SLEB	LOC120423487|XP_039443289.1|CPIP
OG0004595	LOC115628837|XP_030380938.1|SLEB	LOC120425894|XP_039446474.1|CPIP
OG0004596	LOC115626956|XP_030378331.1|SLEB	LOC120428194|XP_039449139.1|CPIP
OG0004597	LOC115629859|XP_030382306.1|SLEB	LOC120428507|XP_039449453.1|CPIP, LOC120430549|XP_039451597.1|CPIP
OG0004598	LOC115632302|XP_030385264.1|SLEB	LOC120413356|XP_039430073.1|CPIP
OG0004599	LOC115631538|XP_030384170.1|SLEB	LOC120430494|XP_039451524.1|CPIP
OG0004600	LOC115627384|XP_030378897.1|SLEB	LOC120417702|XP_039435781.1|CPIP
OG0004601	LOC115627386|XP_030378899.1|SLEB	LOC120424696|XP_039444809.1|CPIP
OG0004602	LOC115633317|XP_030386607.1|SLEB	LOC120424533|XP_039444631.1|CPIP
OG0004603	LOC115631709|XP_030384396.1|SLEB	LOC120416908|XP_039434741.1|CPIP
OG0004604	LOC115633233|XP_030386487.1|SLEB	LOC120416899|XP_039434731.1|CPIP
OG0004605	LOC115628712|XP_030380765.1|SLEB	LOC120430744|XP_039451787.1|CPIP
OG0004606	LOC115624058|XP_030374500.1|SLEB	LOC120427968|XP_039448858.1|CPIP
OG0004607	LOC115628958|XP_030381093.1|SLEB	LOC120412940|XP_039429515.1|CPIP
OG0004608	LOC115626811|XP_030378143.1|SLEB	LOC120413576|XP_039430401.1|CPIP
OG0004609	LOC115627776|XP_030379444.1|SLEB	LOC120426601|XP_039447326.1|CPIP
OG0004610	LOC115620858|XP_030370176.1|SLEB	LOC120416425|XP_039434110.1|CPIP
OG0004611	LOC115621125|XP_030370531.1|SLEB	LOC120416401|XP_039434081.1|CPIP
OG0004612	LOC115620850|XP_030370154.1|SLEB	LOC120416435|XP_039434123.1|CPIP
OG0004613	LOC115620422|XP_030369506.1|SLEB	LOC120429015|XP_039450086.1|CPIP
OG0004614	LOC115627503|XP_030379052.1|SLEB, LOC115627510|XP_030379064.1|SLEB	LOC120429018|XP_039450093.1|CPIP
OG0004615	LOC115628888|XP_030381005.1|SLEB	LOC120414518|XP_039431661.1|CPIP
OG0004616	LOC115628693|XP_030380730.1|SLEB	LOC120414526|XP_039431669.1|CPIP
OG0004617	LOC115631015|XP_030383485.1|SLEB	LOC120414512|XP_039431652.1|CPIP
OG0004618	LOC115621629|XP_030371189.1|SLEB	LOC120414525|XP_039431668.1|CPIP
OG0004619	LOC115620901|XP_030370249.1|SLEB	LOC120417687|XP_039435758.1|CPIP
OG0004620	LOC115620348|XP_030369408.1|SLEB	LOC120413719|XP_039430580.1|CPIP
OG0004621	LOC115625326|XP_030376209.1|SLEB	LOC120414162|XP_039431146.1|CPIP
OG0004622	LOC115620285|XP_030369319.1|SLEB	LOC120416255|XP_039433891.1|CPIP
OG0004623	LOC115620207|XP_030369202.1|SLEB	LOC120416251|XP_039433888.1|CPIP
OG0004624	LOC115625241|XP_030376093.1|SLEB	LOC120430970|XP_039452038.1|CPIP
OG0004625	LOC115629898|XP_030382359.1|SLEB	LOC120419625|XP_039438304.1|CPIP
OG0004626	LOC115626685|XP_030377973.1|SLEB	LOC120425317|XP_039445723.1|CPIP
OG0004627	LOC115628442|XP_030380411.1|SLEB	LOC120413036|XP_039429643.1|CPIP
OG0004628	LOC115626973|XP_030378348.1|SLEB	LOC120428374|XP_039449309.1|CPIP
OG0004629	LOC115620865|XP_030370193.1|SLEB	LOC120415613|XP_039433142.1|CPIP
OG0004630	LOC115620867|XP_030370196.1|SLEB	LOC120415608|XP_039433136.1|CPIP
OG0004632	LOC115620537|XP_030369675.1|SLEB	LOC120415600|XP_039433127.1|CPIP
OG0004633	LOC115621441|XP_030370955.1|SLEB	LOC120424519|XP_039444609.1|CPIP
OG0004634	LOC115620670|XP_030369890.1|SLEB	LOC120429008|XP_039450080.1|CPIP
OG0004635	LOC115633414|XP_030386718.1|SLEB	LOC120429063|XP_039450135.1|CPIP
OG0004636	LOC115627364|XP_030378874.1|SLEB	LOC120426453|XP_039447149.1|CPIP
OG0004637	LOC115628842|XP_030380943.1|SLEB	LOC120429940|XP_039450971.1|CPIP
OG0004638	LOC115633411|XP_030386715.1|SLEB	LOC120424323|XP_039444352.1|CPIP
OG0004639	LOC115621420|XP_030370931.1|SLEB	LOC120423052|XP_039442658.1|CPIP
OG0004640	LOC115621032|XP_030370411.1|SLEB	LOC120423051|XP_039442657.1|CPIP
OG0004641	LOC115627554|XP_030379132.1|SLEB	LOC120428791|XP_039449822.1|CPIP
OG0004642	LOC115628833|XP_030380932.1|SLEB	LOC120425020|XP_039445324.1|CPIP
OG0004643	LOC115623599|XP_030373872.1|SLEB	LOC120425030|XP_039445335.1|CPIP
OG0004644	LOC115629148|XP_030381369.1|SLEB	LOC120425019|XP_039445322.1|CPIP
OG0004645	LOC115631535|XP_030384168.1|SLEB	LOC120425026|XP_039445330.1|CPIP, LOC120425024|XP_039445329.1|CPIP
OG0004646	LOC115621307|XP_030370779.1|SLEB	LOC120430120|XP_039451138.1|CPIP
OG0004647	LOC115629922|XP_030382387.1|SLEB	LOC120429248|XP_039450393.1|CPIP
OG0004648	LOC115627511|XP_030379065.1|SLEB	LOC120430117|XP_039451136.1|CPIP
OG0004649	LOC115627002|XP_030378377.1|SLEB	LOC120419870|XP_039438664.1|CPIP, LOC120418077|XP_039436268.1|CPIP
OG0004650	LOC115631484|XP_030384099.1|SLEB	LOC120418091|XP_039436293.1|CPIP, LOC120419874|XP_039438669.1|CPIP
OG0004651	LOC115621468|XP_030370988.1|SLEB	LOC120425022|XP_039445325.1|CPIP
OG0004652	LOC115621297|XP_030370764.1|SLEB	LOC120425463|XP_039445929.1|CPIP
OG0004653	LOC115630034|XP_030382531.1|SLEB	LOC120425465|XP_039445931.1|CPIP
OG0004654	LOC115631579|XP_030384235.1|SLEB	LOC120425487|XP_039445965.1|CPIP
OG0004655	LOC115621363|XP_030370847.1|SLEB	LOC120428782|XP_039449803.1|CPIP
OG0004656	LOC115627577|XP_030379160.1|SLEB	LOC120428781|XP_039449802.1|CPIP
OG0004657	LOC115623863|XP_030374268.1|SLEB	LOC120428787|XP_039449808.1|CPIP
OG0004658	LOC115621617|XP_030371171.1|SLEB	LOC120423153|XP_039442770.1|CPIP, LOC120431375|XP_039452440.1|CPIP
OG0004659	LOC115620191|XP_030369182.1|SLEB	LOC120431381|XP_039452444.1|CPIP
OG0004660	LOC115620225|XP_030369226.1|SLEB	LOC120429233|XP_039450378.1|CPIP
OG0004661	LOC115621304|XP_030370777.1|SLEB	LOC120429247|XP_039450392.1|CPIP
OG0004662	LOC115623888|XP_030374300.1|SLEB	LOC120424934|XP_039445166.1|CPIP
OG0004663	LOC115629655|XP_030382029.1|SLEB, LOC115629650|XP_030382020.1|SLEB	LOC120424932|XP_039445160.1|CPIP
OG0004664	LOC115629701|XP_030382079.1|SLEB	LOC120424930|XP_039445155.1|CPIP
OG0004665	LOC115628927|XP_030381049.1|SLEB	LOC120424935|XP_039445169.1|CPIP
OG0004666	LOC115620433|XP_030369521.1|SLEB	LOC120419338|XP_039437944.1|CPIP
OG0004667	LOC115621056|XP_030370437.1|SLEB	LOC120431439|XP_039452492.1|CPIP
OG0004668	LOC115629961|XP_030382434.1|SLEB	LOC120431799|XP_039452851.1|CPIP
OG0004669	LOC115625992|XP_030377096.1|SLEB	LOC120428947|XP_039450021.1|CPIP
OG0004670	LOC115623514|XP_030373754.1|SLEB	LOC120427924|XP_039448799.1|CPIP
OG0004671	LOC115620702|XP_030369935.1|SLEB	LOC120424813|XP_039444965.1|CPIP
OG0004672	LOC115625111|XP_030375877.1|SLEB	LOC120429289|XP_039450451.1|CPIP
OG0004673	LOC115629784|XP_030382198.1|SLEB, LOC115620403|XP_030369482.1|SLEB	LOC120430803|XP_039451857.1|CPIP
OG0004674	LOC115621182|XP_030370616.1|SLEB	LOC120425115|XP_039445454.1|CPIP
OG0004675	LOC115621816|XP_030371463.1|SLEB	LOC120425113|XP_039445448.1|CPIP
OG0004676	LOC115620892|XP_030370235.1|SLEB	LOC120430535|XP_039451582.1|CPIP
OG0004677	LOC115621917|XP_030371618.1|SLEB	LOC120425998|XP_039446590.1|CPIP
OG0004678	LOC115621313|XP_030370787.1|SLEB	LOC120426016|XP_039446624.1|CPIP
OG0004679	LOC115620297|XP_030369339.1|SLEB	LOC120417858|XP_039436012.1|CPIP
OG0004680	LOC115620268|XP_030369287.1|SLEB	LOC120421773|XP_039440974.1|CPIP
OG0004681	LOC115621642|XP_030371200.1|SLEB	LOC120423834|XP_039443711.1|CPIP
OG0004682	LOC115630705|XP_030383218.1|SLEB, LOC115630412|XP_030382808.1|SLEB	LOC120423841|XP_039443723.1|CPIP
OG0004683	LOC115621352|XP_030370835.1|SLEB	LOC120423826|XP_039443689.1|CPIP
OG0004684	LOC115621222|XP_030370668.1|SLEB	LOC120426227|XP_039446897.1|CPIP
OG0004685	LOC115620635|XP_030369827.1|SLEB	LOC120431668|XP_039452711.1|CPIP
OG0004686	LOC115625299|XP_030376174.1|SLEB	LOC120418742|XP_039437152.1|CPIP
OG0004687	LOC115621214|XP_030370656.1|SLEB	LOC120417201|XP_039435101.1|CPIP
OG0004689	LOC115621340|XP_030370819.1|SLEB	LOC120417191|XP_039435092.1|CPIP
OG0004690	LOC115623439|XP_030373647.1|SLEB	LOC120420743|XP_039439770.1|CPIP
OG0004691	LOC115620664|XP_030369878.1|SLEB	LOC120420766|XP_039439806.1|CPIP
OG0004693	LOC115620512|XP_030369636.1|SLEB	LOC120420745|XP_039439775.1|CPIP
OG0004694	LOC115628785|XP_030380859.1|SLEB	LOC120425563|XP_039446061.1|CPIP, LOC120423722|XP_039443559.1|CPIP
OG0004695	LOC115621813|XP_030371458.1|SLEB	LOC120428741|XP_039449751.1|CPIP
OG0004696	LOC115621907|XP_030371597.1|SLEB	LOC120427185|XP_039447983.1|CPIP
OG0004697	LOC115629222|XP_030381492.1|SLEB	LOC120430501|XP_039451532.1|CPIP
OG0004698	LOC115629123|XP_030381320.1|SLEB	LOC120421821|XP_039441033.1|CPIP
OG0004699	LOC115621083|XP_030370473.1|SLEB	LOC120422152|XP_039441459.1|CPIP
OG0004700	LOC115620872|XP_030370208.1|SLEB	LOC120416607|XP_039434342.1|CPIP
OG0004701	LOC115624423|XP_030375021.1|SLEB	LOC120415975|XP_039433563.1|CPIP
OG0004702	LOC115621777|XP_030371393.1|SLEB	LOC120429000|XP_039450074.1|CPIP
OG0004703	LOC115621358|XP_030370840.1|SLEB	LOC120428668|XP_039449652.1|CPIP
OG0004704	LOC115625140|XP_030375918.1|SLEB	LOC120428661|XP_039449642.1|CPIP, LOC120427073|XP_039447845.1|CPIP
OG0004705	LOC115623672|XP_030373999.1|SLEB	LOC120427079|XP_039447855.1|CPIP
OG0004706	LOC115633130|XP_030386392.1|SLEB	LOC120431454|XP_039452504.1|CPIP
OG0004707	LOC115628073|XP_030379906.1|SLEB	LOC120424033|XP_039443990.1|CPIP
OG0004708	LOC115623418|XP_030373596.1|SLEB	LOC120424034|XP_039443991.1|CPIP
OG0004709	LOC115620315|XP_030369367.1|SLEB	LOC120426007|XP_039446608.1|CPIP
OG0004710	LOC115621925|XP_030371629.1|SLEB	LOC120426006|XP_039446605.1|CPIP
OG0004711	LOC115621935|XP_030371642.1|SLEB	LOC120422583|XP_039442005.1|CPIP
OG0004712	LOC115621463|XP_030370980.1|SLEB	LOC120422565|XP_039441985.1|CPIP
OG0004713	LOC115620871|XP_030370204.1|SLEB	LOC120431802|XP_039452858.1|CPIP
OG0004714	LOC115625545|XP_030376482.1|SLEB	LOC120431729|XP_039452791.1|CPIP
OG0004715	LOC115625811|XP_030376856.1|SLEB	LOC120430219|XP_039451231.1|CPIP
OG0004716	LOC115620236|XP_030369241.1|SLEB	LOC120425736|XP_039446274.1|CPIP
OG0004717	LOC115627478|XP_030379016.1|SLEB	LOC120418347|XP_039436632.1|CPIP
OG0004718	LOC115631531|XP_030384162.1|SLEB	LOC120418330|XP_039436598.1|CPIP
OG0004719	LOC115620944|XP_030370320.1|SLEB	LOC120427265|XP_039448060.1|CPIP
OG0004720	LOC115621393|XP_030370895.1|SLEB	LOC120427677|XP_039448492.1|CPIP
OG0004721	LOC115621794|XP_030371427.1|SLEB	LOC120418332|XP_039436601.1|CPIP
OG0004722	LOC115621848|XP_030371520.1|SLEB	LOC120418323|XP_039436588.1|CPIP
OG0004723	LOC115627052|XP_030378456.1|SLEB	LOC120428289|XP_039449218.1|CPIP
OG0004724	LOC115625206|XP_030376035.1|SLEB	LOC120418368|XP_039436661.1|CPIP
OG0004725	LOC115625308|XP_030376187.1|SLEB	LOC120418369|XP_039436664.1|CPIP
OG0004726	LOC115620335|XP_030369392.1|SLEB	LOC120418386|XP_039436694.1|CPIP
OG0004727	LOC115621656|XP_030371221.1|SLEB	LOC120426000|XP_039446593.1|CPIP
OG0004728	LOC115621223|XP_030370669.1|SLEB	LOC120426246|XP_039446918.1|CPIP
OG0004729	LOC115633327|XP_030386620.1|SLEB	LOC120431093|XP_039452185.1|CPIP
OG0004730	LOC115629010|XP_030381160.1|SLEB	LOC120431092|XP_039452183.1|CPIP, LOC120430924|XP_039451979.1|CPIP
OG0004731	LOC115621065|XP_030370450.1|SLEB	LOC120427158|XP_039447951.1|CPIP
OG0004732	LOC115629445|XP_030381762.1|SLEB	LOC120427902|XP_039448776.1|CPIP
OG0004733	LOC115621171|XP_030370594.1|SLEB	LOC120427892|XP_039448760.1|CPIP
OG0004734	LOC115621140|XP_030370557.1|SLEB	LOC120427896|XP_039448765.1|CPIP
OG0004735	LOC115621953|XP_030371660.1|SLEB	LOC120416050|XP_039433648.1|CPIP
OG0004736	LOC115621738|XP_030371328.1|SLEB	LOC120414262|XP_039431306.1|CPIP
OG0004737	LOC115620358|XP_030369422.1|SLEB	LOC120424265|XP_039444261.1|CPIP
OG0004738	LOC115621153|XP_030370571.1|SLEB	LOC120424237|XP_039444234.1|CPIP
OG0004739	LOC115620594|XP_030369764.1|SLEB	LOC120424264|XP_039444260.1|CPIP
OG0004740	LOC115621244|XP_030370695.1|SLEB	LOC120428911|XP_039449987.1|CPIP
OG0004741	LOC115621731|XP_030371321.1|SLEB	LOC120428910|XP_039449986.1|CPIP
OG0004742	LOC115628004|XP_030379771.1|SLEB	LOC120425700|XP_039446222.1|CPIP
OG0004744	LOC115631748|XP_030384444.1|SLEB	LOC120423421|XP_039443158.1|CPIP
OG0004745	LOC115624125|XP_030374580.1|SLEB	LOC120428366|XP_039449302.1|CPIP
OG0004746	LOC115625197|XP_030376024.1|SLEB	LOC120429644|XP_039450604.1|CPIP
OG0004747	LOC115625198|XP_030376025.1|SLEB	LOC120432113|XP_039453182.1|CPIP
OG0004748	LOC115625126|XP_030375900.1|SLEB	LOC120427858|XP_039448710.1|CPIP
OG0004749	LOC115620771|XP_030370037.1|SLEB	LOC120414297|XP_039431366.1|CPIP
OG0004750	LOC115620903|XP_030370251.1|SLEB	LOC120426701|XP_039447415.1|CPIP
OG0004751	LOC115621097|XP_030370494.1|SLEB	LOC120426693|XP_039447404.1|CPIP
OG0004752	LOC115621554|XP_030371083.1|SLEB	LOC120426689|XP_039447399.1|CPIP
OG0004753	LOC115621891|XP_030371579.1|SLEB	LOC120426694|XP_039447405.1|CPIP
OG0004754	LOC115621669|XP_030371240.1|SLEB	LOC120426686|XP_039447396.1|CPIP
OG0004755	LOC115620311|XP_030369357.1|SLEB	LOC120426692|XP_039447402.1|CPIP
OG0004756	LOC115620310|XP_030369356.1|SLEB	LOC120426691|XP_039447401.1|CPIP
OG0004757	LOC115621906|XP_030371596.1|SLEB	LOC120430172|XP_039451186.1|CPIP
OG0004758	LOC115623515|XP_030373755.1|SLEB	LOC120427254|XP_039448045.1|CPIP
OG0004759	LOC115621308|XP_030370780.1|SLEB	LOC120427256|XP_039448049.1|CPIP
OG0004760	LOC115629456|XP_030381781.1|SLEB	LOC120427250|XP_039448040.1|CPIP
OG0004761	LOC115621168|XP_030370590.1|SLEB	LOC120428725|XP_039449733.1|CPIP
OG0004762	LOC115631323|XP_030383902.1|SLEB	LOC120421015|XP_039440071.1|CPIP
OG0004763	LOC115620918|XP_030370275.1|SLEB	LOC120421032|XP_039440103.1|CPIP
OG0004766	LOC115625317|XP_030376198.1|SLEB	LOC120425415|XP_039445878.1|CPIP
OG0004767	LOC115621964|XP_030371672.1|SLEB	LOC120421189|XP_039440327.1|CPIP
OG0004768	LOC115621405|XP_030370908.1|SLEB	LOC120425737|XP_039446276.1|CPIP
OG0004769	LOC115625962|XP_030377064.1|SLEB	LOC120423967|XP_039443893.1|CPIP
OG0004770	LOC115623550|XP_030373801.1|SLEB	LOC120423968|XP_039443894.1|CPIP
OG0004771	LOC115620534|XP_030369664.1|SLEB	LOC120423969|XP_039443895.1|CPIP
OG0004773	LOC115622029|XP_030371748.1|SLEB	LOC120425157|XP_039445521.1|CPIP
OG0004774	LOC115622030|XP_030371749.1|SLEB	LOC120426221|XP_039446874.1|CPIP
OG0004775	LOC115621063|XP_030370448.1|SLEB	LOC120426214|XP_039446856.1|CPIP
OG0004776	LOC115624343|XP_030374858.1|SLEB	LOC120426225|XP_039446893.1|CPIP
OG0004777	LOC115628658|XP_030380686.1|SLEB	LOC120427414|XP_039448214.1|CPIP
OG0004779	LOC115620317|XP_030369369.1|SLEB	LOC120427881|XP_039448748.1|CPIP
OG0004780	LOC115628543|XP_030380564.1|SLEB	LOC120427882|XP_039448752.1|CPIP
OG0004781	LOC115621835|XP_030371504.1|SLEB	LOC120421100|XP_039440178.1|CPIP
OG0004782	LOC115621391|XP_030370891.1|SLEB	LOC120416981|XP_039434841.1|CPIP
OG0004783	LOC115629641|XP_030382003.1|SLEB	LOC120416371|XP_039434041.1|CPIP
OG0004784	LOC115621830|XP_030371498.1|SLEB	LOC120432089|XP_039453161.1|CPIP, LOC120428963|XP_039450036.1|CPIP
OG0004785	LOC115621648|XP_030371209.1|SLEB	LOC120430146|XP_039451165.1|CPIP, LOC120430515|XP_039451549.1|CPIP
OG0004786	LOC115625640|XP_030376629.1|SLEB, LOC115621711|XP_030371280.1|SLEB	LOC120429549|XP_039450540.1|CPIP
OG0004787	LOC115621972|XP_030371682.1|SLEB	LOC120428858|XP_039449915.1|CPIP
OG0004788	LOC115621682|XP_030371252.1|SLEB, LOC115625644|XP_030376630.1|SLEB	LOC120428851|XP_039449908.1|CPIP
OG0004789	LOC115621971|XP_030371681.1|SLEB	LOC120428855|XP_039449914.1|CPIP
OG0004790	LOC115625359|XP_030376254.1|SLEB	LOC120425991|XP_039446583.1|CPIP
OG0004791	LOC115621099|XP_030370497.1|SLEB	LOC120425983|XP_039446571.1|CPIP
OG0004792	LOC115622017|XP_030371733.1|SLEB	LOC120432022|XP_039453091.1|CPIP
OG0004793	LOC115621712|XP_030371281.1|SLEB	LOC120431080|XP_039452166.1|CPIP
OG0004794	LOC115625091|XP_030375850.1|SLEB	LOC120424782|XP_039444918.1|CPIP
OG0004795	LOC115620852|XP_030370156.1|SLEB	LOC120430266|XP_039451285.1|CPIP
OG0004796	LOC115621349|XP_030370831.1|SLEB	LOC120422563|XP_039441982.1|CPIP
OG0004797	LOC115625211|XP_030376041.1|SLEB	LOC120422572|XP_039441991.1|CPIP
OG0004798	LOC115621252|XP_030370706.1|SLEB	LOC120422547|XP_039441948.1|CPIP
OG0004799	LOC115620553|XP_030369699.1|SLEB	LOC120429164|XP_039450305.1|CPIP
OG0004800	LOC115620712|XP_030369947.1|SLEB	LOC120431672|XP_039452723.1|CPIP
OG0004801	LOC115623646|XP_030373952.1|SLEB	LOC120424623|XP_039444722.1|CPIP, LOC120424681|XP_039444791.1|CPIP
OG0004802	LOC115622033|XP_030371759.1|SLEB	LOC120432513|XP_039453665.1|CPIP
OG0004803	LOC115621969|XP_030371676.1|SLEB, LOC115630246|XP_030382649.1|SLEB	LOC120430175|XP_039451190.1|CPIP
OG0004804	LOC115625586|XP_030376556.1|SLEB	LOC120430351|XP_039451384.1|CPIP
OG0004805	LOC115625119|XP_030375888.1|SLEB	LOC120429669|XP_039450631.1|CPIP
OG0004806	LOC115629681|XP_030382063.1|SLEB	LOC120421029|XP_039440098.1|CPIP
OG0004807	LOC115628103|XP_030379944.1|SLEB	LOC120421778|XP_039440981.1|CPIP
OG0004808	LOC115625194|XP_030376020.1|SLEB	LOC120427176|XP_039447970.1|CPIP
OG0004809	LOC115620773|XP_030370041.1|SLEB	LOC120423824|XP_039443687.1|CPIP
OG0004810	LOC115621396|XP_030370897.1|SLEB	LOC120423823|XP_039443685.1|CPIP
OG0004811	LOC115633863|XP_030387215.1|SLEB	LOC120423814|XP_039443668.1|CPIP
OG0004812	LOC115625216|XP_030376047.1|SLEB	LOC120423831|XP_039443708.1|CPIP
OG0004814	LOC115620806|XP_030370090.1|SLEB	LOC120431858|XP_039452926.1|CPIP
OG0004815	LOC115629356|XP_030381669.1|SLEB	LOC120417103|XP_039435014.1|CPIP
OG0004816	LOC115630205|XP_030382633.1|SLEB	LOC120417091|XP_039435004.1|CPIP
OG0004817	LOC115630199|XP_030382627.1|SLEB	LOC120417102|XP_039435013.1|CPIP
OG0004818	LOC115620440|XP_030369527.1|SLEB	LOC120425061|XP_039445368.1|CPIP
OG0004819	LOC115620632|XP_030369822.1|SLEB	LOC120425047|XP_039445352.1|CPIP
OG0004820	LOC115625362|XP_030376259.1|SLEB	LOC120425046|XP_039445350.1|CPIP
OG0004821	LOC115621017|XP_030370397.1|SLEB	LOC120425074|XP_039445400.1|CPIP
OG0004822	LOC115621912|XP_030371606.1|SLEB	LOC120425077|XP_039445402.1|CPIP
OG0004823	LOC115620741|XP_030369988.1|SLEB	LOC120425043|XP_039445347.1|CPIP
OG0004824	LOC115620743|XP_030369996.1|SLEB	LOC120425068|XP_039445375.1|CPIP
OG0004825	LOC115628015|XP_030379804.1|SLEB	LOC120422122|XP_039441426.1|CPIP
OG0004826	LOC115625581|XP_030376546.1|SLEB	LOC120420777|XP_039439822.1|CPIP
OG0004827	LOC115621174|XP_030370598.1|SLEB	LOC120420774|XP_039439817.1|CPIP
OG0004828	LOC115621798|XP_030371436.1|SLEB	LOC120420787|XP_039439833.1|CPIP
OG0004829	LOC115620486|XP_030369579.1|SLEB	LOC120414267|XP_039431321.1|CPIP
OG0004830	LOC115622047|XP_030371779.1|SLEB	LOC120423345|XP_039443048.1|CPIP
OG0004831	LOC115632103|XP_030384945.1|SLEB	LOC120418350|XP_039436637.1|CPIP
OG0004832	LOC115620790|XP_030370070.1|SLEB	LOC120432052|XP_039453119.1|CPIP
OG0004833	LOC115625041|XP_030375749.1|SLEB	LOC120423570|XP_039443362.1|CPIP
OG0004834	LOC115620947|XP_030370322.1|SLEB	LOC120431739|XP_039452800.1|CPIP
OG0004835	LOC115621052|XP_030370432.1|SLEB	LOC120432094|XP_039453167.1|CPIP
OG0004840	LOC115625097|XP_030375855.1|SLEB	LOC120427402|XP_039448197.1|CPIP
OG0004841	LOC115626387|XP_030377606.1|SLEB	LOC120425412|XP_039445876.1|CPIP, LOC120425676|XP_039446193.1|CPIP
OG0004842	LOC115621146|XP_030370562.1|SLEB	LOC120425431|XP_039445894.1|CPIP
OG0004843	LOC115620601|XP_030369774.1|SLEB	LOC120422579|XP_039442002.1|CPIP
OG0004844	LOC115626766|XP_030378083.1|SLEB	LOC120425367|XP_039445809.1|CPIP
OG0004845	LOC115623358|XP_030373503.1|SLEB	LOC120425365|XP_039445805.1|CPIP
OG0004846	LOC115623229|XP_030373337.1|SLEB	LOC120425579|XP_039446086.1|CPIP
OG0004847	LOC115631988|XP_030384774.1|SLEB	LOC120418366|XP_039436660.1|CPIP
OG0004848	LOC115620205|XP_030369200.1|SLEB	LOC120430437|XP_039451482.1|CPIP
OG0004850	LOC115629444|XP_030381757.1|SLEB	LOC120427728|XP_039448565.1|CPIP
OG0004851	LOC115629450|XP_030381774.1|SLEB	LOC120427726|XP_039448564.1|CPIP
OG0004852	LOC115623605|XP_030373880.1|SLEB	LOC120427724|XP_039448561.1|CPIP
OG0004853	LOC115629423|XP_030381742.1|SLEB	LOC120430973|XP_039452039.1|CPIP
OG0004854	LOC115633142|XP_030386409.1|SLEB	LOC120427609|XP_039448421.1|CPIP
OG0004855	LOC115632767|XP_030385876.1|SLEB	LOC120427617|XP_039448431.1|CPIP
OG0004856	LOC115633150|XP_030386420.1|SLEB	LOC120423014|XP_039442579.1|CPIP
OG0004857	LOC115632979|XP_030386150.1|SLEB	LOC120425687|XP_039446204.1|CPIP
OG0004858	LOC115632096|XP_030384938.1|SLEB	LOC120423000|XP_039442554.1|CPIP
OG0004859	LOC115632392|XP_030385382.1|SLEB	LOC120423002|XP_039442558.1|CPIP
OG0004860	LOC115632123|XP_030384987.1|SLEB	LOC120422997|XP_039442550.1|CPIP
OG0004861	LOC115622892|XP_030372854.1|SLEB	LOC120422995|XP_039442539.1|CPIP
OG0004862	LOC115623112|XP_030373179.1|SLEB	LOC120417814|XP_039435951.1|CPIP, LOC120424416|XP_039444461.1|CPIP
OG0004863	LOC115628376|XP_030380315.1|SLEB	LOC120421759|XP_039440965.1|CPIP, LOC120421734|XP_039440929.1|CPIP
OG0004864	LOC115622244|XP_030372001.1|SLEB	LOC120421750|XP_039440958.1|CPIP
OG0004865	LOC115620769|XP_030370034.1|SLEB	LOC120421752|XP_039440959.1|CPIP
OG0004866	LOC115632494|XP_030385531.1|SLEB	LOC120421740|XP_039440935.1|CPIP
