Orthogroup	HILL.longest_only	DEUG.longest_only
OG0003874	LOC119653844|XP_037914817.1|HILL	LOC108103389|XP_017064324.1|DEUG
OG0003875	LOC119651556|XP_037911117.1|HILL	LOC108110970|XP_017075760.1|DEUG
OG0003876	LOC119661558|XP_037926876.1|HILL	LOC108111171|XP_017076043.1|DEUG
OG0003877	LOC119653234|XP_037913751.1|HILL	LOC108105160|XP_017067088.1|DEUG
OG0003878	LOC119654535|XP_037915905.1|HILL	LOC108107066|XP_017069922.1|DEUG
OG0003879	LOC119649097|XP_037907027.1|HILL	LOC108104700|XP_017066403.1|DEUG
OG0003880	LOC119649824|XP_037908088.1|HILL	LOC108114402|XP_017080864.1|DEUG
OG0003881	LOC119652972|XP_037913309.1|HILL	LOC108107364|XP_017070355.1|DEUG
OG0003882	LOC119660668|XP_037926487.1|HILL	LOC108105586|XP_017067720.1|DEUG
OG0003883	LOC119654561|XP_037915942.1|HILL	LOC108103443|XP_017064413.1|DEUG
OG0003884	LOC119651782|XP_037911465.1|HILL	LOC108105845|XP_017068098.1|DEUG
OG0003885	LOC119652822|XP_037913078.1|HILL	LOC108107001|XP_017069831.1|DEUG
OG0003886	LOC119651566|XP_037911128.1|HILL	LOC108106895|XP_017069634.1|DEUG
OG0003887	LOC119650905|XP_037910025.1|HILL	LOC108111041|XP_017075858.1|DEUG
OG0003888	LOC119657326|XP_037920116.1|HILL	LOC108115620|XP_017082656.1|DEUG
OG0003889	LOC119658785|XP_037922423.1|HILL	LOC108102644|XP_017063258.1|DEUG
OG0003890	LOC119651905|XP_037911660.1|HILL, LOC119651497|XP_037911041.1|HILL, LOC119651783|XP_037911466.1|HILL	LOC108107613|XP_017070672.1|DEUG
OG0003891	LOC119651007|XP_037910223.1|HILL	LOC108105854|XP_017068115.1|DEUG
OG0003892	LOC119651640|XP_037911241.1|HILL	LOC108113697|XP_017079866.1|DEUG
OG0003893	LOC119650731|XP_037909687.1|HILL	LOC108106941|XP_017069697.1|DEUG
OG0003894	LOC119651607|XP_037911188.1|HILL	LOC108110483|XP_017075050.1|DEUG
OG0003895	LOC119647014|XP_037903680.1|HILL	LOC108108893|XP_017072602.1|DEUG
OG0003896	LOC119646995|XP_037903640.1|HILL	LOC108109238|XP_017073201.1|DEUG
OG0003897	LOC119646309|XP_037902654.1|HILL	LOC108112533|XP_017077948.1|DEUG
OG0003898	LOC119658625|XP_037922051.1|HILL	LOC108106852|XP_017069583.1|DEUG
OG0003899	LOC119652637|XP_037912813.1|HILL	LOC108110748|XP_017075447.1|DEUG
OG0003900	LOC119649791|XP_037908027.1|HILL	LOC108102591|XP_017063182.1|DEUG
OG0003901	LOC119647310|XP_037904156.1|HILL	LOC108111040|XP_017076253.1|DEUG
OG0003902	LOC119650326|XP_037908913.1|HILL	LOC108107052|XP_017069904.1|DEUG
OG0003903	LOC119646719|XP_037903226.1|HILL	LOC108110768|XP_017075472.1|DEUG
OG0003904	LOC119646881|XP_037903436.1|HILL	LOC108108536|XP_017072102.1|DEUG
OG0003905	LOC119659578|XP_037923663.1|HILL	LOC108117526|XP_017085513.1|DEUG
OG0003906	LOC119650820|XP_037909886.1|HILL	LOC108111985|XP_017077195.1|DEUG
OG0003907	LOC119651166|XP_037910512.1|HILL	LOC108111234|XP_017076126.1|DEUG
OG0003908	LOC119660110|XP_037924423.1|HILL	LOC108110623|XP_017075210.1|DEUG
OG0003909	LOC119646304|XP_037902647.1|HILL	LOC108106654|XP_017069361.1|DEUG
OG0003910	LOC119646482|XP_037902864.1|HILL	LOC108115067|XP_017081805.1|DEUG
OG0003911	LOC119660956|XP_037925927.1|HILL	LOC108102696|XP_017063329.1|DEUG
OG0003912	LOC119659192|XP_037923084.1|HILL	LOC108105120|XP_017067043.1|DEUG
OG0003913	LOC119651523|XP_037911081.1|HILL	LOC108105884|XP_017068149.1|DEUG
OG0003914	LOC119656818|XP_037919379.1|HILL	LOC108112336|XP_017077656.1|DEUG
OG0003915	LOC119651385|XP_037910892.1|HILL	LOC108103704|XP_017064789.1|DEUG
OG0003916	LOC119646724|XP_037903231.1|HILL	LOC108103314|XP_017064268.1|DEUG
OG0003917	LOC119646255|XP_037902583.1|HILL	LOC108115524|XP_017082513.1|DEUG
OG0003918	LOC119656941|XP_037919584.1|HILL	LOC108104089|XP_017065473.1|DEUG
OG0003919	LOC119647303|XP_037904142.1|HILL	LOC108111142|XP_017075999.1|DEUG
OG0003920	LOC119646807|XP_037903327.1|HILL	LOC108112230|XP_017077539.1|DEUG
OG0003921	LOC119661365|XP_037926602.1|HILL	LOC108115467|XP_017082410.1|DEUG
OG0003922	LOC119661677|XP_037927043.1|HILL	LOC108112133|XP_017077374.1|DEUG
OG0003923	LOC119660756|XP_037925445.1|HILL	LOC108102322|XP_017062595.1|DEUG
OG0003924	LOC119658347|XP_037921634.1|HILL	LOC108112005|XP_017077230.1|DEUG
OG0003925	LOC119660719|XP_037925299.1|HILL	LOC108102595|XP_017063186.1|DEUG
OG0003926	LOC119650406|XP_037909122.1|HILL	LOC108102573|XP_017063142.1|DEUG
OG0003927	LOC119646640|XP_037903081.1|HILL	LOC108111023|XP_017075832.1|DEUG
OG0003928	LOC119651570|XP_037911132.1|HILL	LOC108111053|XP_017075871.1|DEUG
OG0003929	LOC119654533|XP_037915908.1|HILL	LOC108112306|XP_017077624.1|DEUG
OG0003930	LOC119652739|XP_037912965.1|HILL	LOC108106982|XP_017069807.1|DEUG
OG0003931	LOC119650566|XP_037909301.1|HILL	LOC108106927|XP_017069675.1|DEUG
OG0003932	LOC119646701|XP_037903195.1|HILL	LOC108104584|XP_017066233.1|DEUG
OG0003933	LOC119653045|XP_037913439.1|HILL	LOC108102585|XP_017063170.1|DEUG
OG0003934	LOC119653059|XP_037913469.1|HILL	LOC108110522|XP_017075091.1|DEUG
OG0003935	LOC119652379|XP_037912409.1|HILL	LOC108112785|XP_017078552.1|DEUG
OG0003936	LOC119661243|XP_037926402.1|HILL	LOC108112789|XP_017078559.1|DEUG
OG0003937	LOC119646963|XP_037903592.1|HILL	LOC108113006|XP_017078914.1|DEUG
OG0003938	LOC119646554|XP_037902960.1|HILL	LOC108102550|XP_017063100.1|DEUG
OG0003939	LOC119661323|XP_037926547.1|HILL	LOC108102542|XP_017063089.1|DEUG
OG0003940	LOC119661324|XP_037926550.1|HILL	LOC108102602|XP_017063194.1|DEUG
OG0003941	LOC119651599|XP_037911180.1|HILL	LOC108102604|XP_017063197.1|DEUG
OG0003942	LOC119646426|XP_037902798.1|HILL	LOC108107135|XP_017070025.1|DEUG
OG0003943	LOC119661773|XP_037927175.1|HILL	LOC108102554|XP_017063114.1|DEUG
OG0003944	LOC119646446|XP_037902825.1|HILL	LOC108104153|XP_017065543.1|DEUG
OG0003945	LOC119657144|XP_037919849.1|HILL	LOC108109125|XP_017073010.1|DEUG
OG0003946	LOC119650931|XP_037910086.1|HILL	LOC108107103|XP_017069978.1|DEUG
OG0003947	LOC119651401|XP_037910916.1|HILL	LOC108107106|XP_017069982.1|DEUG
OG0003948	LOC119652530|XP_037912659.1|HILL	LOC108103074|XP_017063911.1|DEUG
OG0003949	LOC119652125|XP_037911992.1|HILL	LOC108103073|XP_017063909.1|DEUG
OG0003950	LOC119651084|XP_037910359.1|HILL	LOC108113469|XP_017079540.1|DEUG
OG0003951	LOC119651346|XP_037910830.1|HILL	LOC108113433|XP_017079485.1|DEUG
OG0003952	LOC119651231|XP_037910635.1|HILL	LOC108112400|XP_017077734.1|DEUG
OG0003953	LOC119659034|XP_037922856.1|HILL	LOC108107015|XP_017069848.1|DEUG
OG0003954	LOC119653053|XP_037913454.1|HILL	LOC108108191|XP_017071632.1|DEUG
OG0003955	LOC119651108|XP_037910400.1|HILL	LOC108110459|XP_017075016.1|DEUG
OG0003956	LOC119654263|XP_037915455.1|HILL	LOC108105683|XP_017067880.1|DEUG
OG0003957	LOC119654914|XP_037916482.1|HILL	LOC108109910|XP_017074207.1|DEUG
OG0003958	LOC119658338|XP_037921611.1|HILL	LOC108102986|XP_017063786.1|DEUG
OG0003959	LOC119646822|XP_037903365.1|HILL	LOC108109240|XP_017073204.1|DEUG
OG0003960	LOC119655145|XP_037916812.1|HILL	LOC108112654|XP_017078277.1|DEUG, LOC108109529|XP_017073582.1|DEUG
OG0003961	LOC119654192|XP_037915319.1|HILL	LOC108107117|XP_017069994.1|DEUG
OG0003962	LOC119646212|XP_037902523.1|HILL, LOC119659814|XP_037924024.1|HILL	LOC108102574|XP_017063143.1|DEUG
OG0003963	LOC119653104|XP_037913547.1|HILL	LOC108107020|XP_017069856.1|DEUG
OG0003964	LOC119646319|XP_037902668.1|HILL	LOC108111182|XP_017076054.1|DEUG
OG0003965	LOC119654594|XP_037915990.1|HILL	LOC108106096|XP_017068444.1|DEUG
OG0003966	LOC119653154|XP_037913622.1|HILL	LOC108109719|XP_017073840.1|DEUG
OG0003967	LOC119646899|XP_037903485.1|HILL	LOC108109059|XP_017072871.1|DEUG
OG0003968	LOC119656963|XP_037919615.1|HILL	LOC108109118|XP_017073000.1|DEUG
OG0003969	LOC119650469|XP_037909285.1|HILL	LOC108112528|XP_017077943.1|DEUG
OG0003970	LOC119647219|XP_037903976.1|HILL	LOC108110602|XP_017075188.1|DEUG
OG0003971	LOC119651329|XP_037910797.1|HILL	LOC108111191|XP_017076068.1|DEUG
OG0003972	LOC119660919|XP_037925819.1|HILL	LOC108104277|XP_017065728.1|DEUG
OG0003973	LOC119646341|XP_037902695.1|HILL	LOC108107333|XP_017070308.1|DEUG
OG0003974	LOC119650808|XP_037909877.1|HILL	LOC108106690|XP_017069412.1|DEUG
OG0003975	LOC119651024|XP_037910256.1|HILL	LOC108110698|XP_017075318.1|DEUG
OG0003976	LOC119651330|XP_037910799.1|HILL	LOC108107060|XP_017069913.1|DEUG
OG0003977	LOC119652738|XP_037912964.1|HILL, LOC119648470|XP_037906160.1|HILL, LOC119661531|XP_037926837.1|HILL	LOC108110816|XP_017075536.1|DEUG
OG0003978	LOC119652912|XP_037913219.1|HILL	LOC108108554|XP_017072124.1|DEUG
OG0003979	LOC119646381|XP_037902753.1|HILL	LOC108110705|XP_017075337.1|DEUG
OG0003980	LOC119659156|XP_037923034.1|HILL	LOC108105616|XP_017067786.1|DEUG
OG0003981	LOC119650858|XP_037909937.1|HILL	LOC108104099|XP_017065483.1|DEUG
OG0003982	LOC119652259|XP_037912168.1|HILL	LOC108106872|XP_017069604.1|DEUG
OG0003983	LOC119653096|XP_037913530.1|HILL	LOC108105144|XP_017067067.1|DEUG
OG0003984	LOC119651058|XP_037910315.1|HILL	LOC108106963|XP_017069751.1|DEUG
OG0003985	LOC119650744|XP_037909745.1|HILL	LOC108106962|XP_017069750.1|DEUG
OG0003986	LOC119661325|XP_037926551.1|HILL	LOC108107132|XP_017070022.1|DEUG
OG0003987	LOC119647045|XP_037903729.1|HILL	LOC108107044|XP_017069894.1|DEUG
OG0003988	LOC119661143|XP_037926278.1|HILL	LOC108102660|XP_017063288.1|DEUG
OG0003989	LOC119655382|XP_037917182.1|HILL	LOC108104109|XP_017065497.1|DEUG
OG0003990	LOC119652348|XP_037912304.1|HILL	LOC108105876|XP_017068141.1|DEUG
OG0003991	LOC119651308|XP_037910767.1|HILL	LOC108102614|XP_017063208.1|DEUG
OG0003992	LOC119660619|XP_037925252.1|HILL	LOC108102620|XP_017063217.1|DEUG
OG0003993	LOC119661596|XP_037926926.1|HILL	LOC108102607|XP_017063200.1|DEUG
OG0003994	LOC119654025|XP_037915119.1|HILL	LOC108115929|XP_017083053.1|DEUG
OG0003995	LOC119661650|XP_037927010.1|HILL	LOC108112003|XP_017077228.1|DEUG
OG0003996	LOC119657798|XP_037920818.1|HILL	LOC108104469|XP_017066023.1|DEUG
OG0003997	LOC119646583|XP_037903003.1|HILL	LOC108106882|XP_017069619.1|DEUG
OG0003998	LOC119651151|XP_037910485.1|HILL	LOC108113010|XP_017078922.1|DEUG
OG0003999	LOC119652213|XP_037912082.1|HILL	LOC108113881|XP_017080075.1|DEUG
OG0004000	LOC119659356|XP_037923336.1|HILL	LOC108117145|XP_017084896.1|DEUG
OG0004001	LOC119658654|XP_037922126.1|HILL	LOC108107335|XP_017070311.1|DEUG
OG0004002	LOC119648070|XP_037905478.1|HILL	LOC108114775|XP_017081374.1|DEUG
OG0004003	LOC119660736|XP_037925340.1|HILL	LOC108111938|XP_017077158.1|DEUG
OG0004004	LOC119650062|XP_037908487.1|HILL	LOC108106151|XP_017068541.1|DEUG
OG0004005	LOC119652589|XP_037912745.1|HILL	LOC108115480|XP_017082450.1|DEUG
OG0004006	LOC119646836|XP_037903381.1|HILL	LOC108115503|XP_017082484.1|DEUG
OG0004007	LOC119647088|XP_037903787.1|HILL	LOC108110726|XP_017075401.1|DEUG
OG0004008	LOC119647026|XP_037903692.1|HILL	LOC108106097|XP_017068450.1|DEUG
OG0004009	LOC119661719|XP_037927101.1|HILL	LOC108111214|XP_017076101.1|DEUG
OG0004010	LOC119650924|XP_037910079.1|HILL	LOC108105782|XP_017067996.1|DEUG
OG0004011	LOC119651534|XP_037911094.1|HILL	LOC108105894|XP_017068165.1|DEUG
OG0004012	LOC119651465|XP_037911000.1|HILL	LOC108115733|XP_017082795.1|DEUG
OG0004013	LOC119651695|XP_037911333.1|HILL, LOC119650968|XP_037910152.1|HILL	LOC108105865|XP_017068129.1|DEUG
OG0004014	LOC119651657|XP_037911272.1|HILL	LOC108104280|XP_017065731.1|DEUG
OG0004015	LOC119655912|XP_037918002.1|HILL	LOC108110767|XP_017075471.1|DEUG
OG0004016	LOC119652450|XP_037912527.1|HILL	LOC108111117|XP_017075956.1|DEUG
OG0004017	LOC119661734|XP_037927128.1|HILL, LOC119661336|XP_037926566.1|HILL	LOC108102624|XP_017063225.1|DEUG
OG0004018	LOC119646677|XP_037903140.1|HILL	LOC108113213|XP_017079237.1|DEUG
OG0004019	LOC119646985|XP_037903624.1|HILL	LOC108115461|XP_017082404.1|DEUG
OG0004020	LOC119661712|XP_037927094.1|HILL	LOC108110851|XP_017075584.1|DEUG
OG0004021	LOC119661493|XP_037926786.1|HILL	LOC108110965|XP_017075753.1|DEUG
OG0004022	LOC119654656|XP_037916076.1|HILL	LOC108103227|XP_017064156.1|DEUG
OG0004023	LOC119650530|XP_037909292.1|HILL	LOC108108973|XP_017072717.1|DEUG
OG0004024	LOC119652724|XP_037912945.1|HILL	LOC108118486|XP_017086708.1|DEUG
OG0004025	LOC119657063|XP_037919748.1|HILL	LOC108110905|XP_017075655.1|DEUG
OG0004026	LOC119647972|XP_037905277.1|HILL	LOC108110737|XP_017075430.1|DEUG
OG0004027	LOC119646693|XP_037903185.1|HILL	LOC108107219|XP_017070125.1|DEUG
OG0004028	LOC119651902|XP_037911655.1|HILL	LOC108102491|XP_017062994.1|DEUG
OG0004029	LOC119652616|XP_037912782.1|HILL	LOC108106163|XP_017068563.1|DEUG
OG0004030	LOC119655027|XP_037916633.1|HILL	LOC108107427|XP_017070446.1|DEUG
OG0004031	LOC119652951|XP_037913272.1|HILL	LOC108104139|XP_017065529.1|DEUG
OG0004032	LOC119652244|XP_037912147.1|HILL	LOC108104159|XP_017065552.1|DEUG
OG0004033	LOC119648946|XP_037906793.1|HILL	LOC108110775|XP_017075482.1|DEUG
OG0004034	LOC119649930|XP_037908279.1|HILL	LOC108107017|XP_017069853.1|DEUG
OG0004035	LOC119653780|XP_037914714.1|HILL	LOC108102552|XP_017063105.1|DEUG
OG0004036	LOC119647199|XP_037903939.1|HILL	LOC108110734|XP_017075422.1|DEUG
OG0004037	LOC119650868|XP_037909961.1|HILL	LOC108108281|XP_017071776.1|DEUG
OG0004038	LOC119650114|XP_037908569.1|HILL	LOC108110471|XP_017075028.1|DEUG
OG0004039	LOC119658570|XP_037921949.1|HILL	LOC108110658|XP_017075261.1|DEUG
OG0004040	LOC119661198|XP_037926348.1|HILL	LOC108113120|XP_017079110.1|DEUG
OG0004041	LOC119660869|XP_037925708.1|HILL	LOC108103175|XP_017064050.1|DEUG
OG0004042	LOC119648005|XP_037905325.1|HILL	LOC108114387|XP_017080840.1|DEUG
OG0004043	LOC119661388|XP_037926639.1|HILL	LOC108111122|XP_017075963.1|DEUG
OG0004044	LOC119657540|XP_037920410.1|HILL	LOC108104973|XP_017066832.1|DEUG
OG0004045	LOC119646762|XP_037903269.1|HILL	LOC108112035|XP_017077274.1|DEUG
OG0004046	LOC119646642|XP_037903083.1|HILL	LOC108110728|XP_017075407.1|DEUG
OG0004047	LOC119653963|XP_037915052.1|HILL	LOC108104081|XP_017065465.1|DEUG
OG0004048	LOC119661130|XP_037926257.1|HILL	LOC108102596|XP_017063188.1|DEUG
OG0004049	LOC119661522|XP_037926826.1|HILL	LOC108104196|XP_017065629.1|DEUG
OG0004050	LOC119652199|XP_037912072.1|HILL	LOC108107068|XP_017069928.1|DEUG
OG0004051	LOC119652044|XP_037911911.1|HILL	LOC108112042|XP_017077287.1|DEUG
OG0004052	LOC119660850|XP_037925675.1|HILL	LOC108116551|XP_017083981.1|DEUG
OG0004053	LOC119659144|XP_037923014.1|HILL	LOC108106429|XP_017068946.1|DEUG
OG0004054	LOC119661469|XP_037926760.1|HILL	LOC108105652|XP_017067829.1|DEUG
OG0004055	LOC119659768|XP_037923955.1|HILL	LOC108117494|XP_017085460.1|DEUG
OG0004056	LOC119655830|XP_037917866.1|HILL	LOC108117639|XP_017085662.1|DEUG
OG0004057	LOC119654843|XP_037916350.1|HILL, LOC119660715|XP_037925285.1|HILL	LOC108107560|XP_017070603.1|DEUG
OG0004058	LOC119648997|XP_037906855.1|HILL	LOC108108092|XP_017071476.1|DEUG
OG0004059	LOC119660440|XP_037924920.1|HILL	LOC108115174|XP_017081983.1|DEUG
OG0004060	LOC119660204|XP_037924567.1|HILL	LOC108116330|XP_017083630.1|DEUG
OG0004061	LOC119653885|XP_037914933.1|HILL	LOC108104355|XP_017065849.1|DEUG
OG0004062	LOC119661013|XP_037926088.1|HILL	LOC108113910|XP_017080108.1|DEUG
OG0004063	LOC119654634|XP_037916034.1|HILL	LOC108105534|XP_017067654.1|DEUG
OG0004064	LOC119648888|XP_037906712.1|HILL	LOC108117337|XP_017085197.1|DEUG
OG0004065	LOC119655811|XP_037917840.1|HILL	LOC108112849|XP_017078657.1|DEUG
OG0004066	LOC119655021|XP_037916623.1|HILL	LOC108106660|XP_017069373.1|DEUG
OG0004067	LOC119654267|XP_037915462.1|HILL	LOC108109975|XP_017074285.1|DEUG
OG0004068	LOC119660141|XP_037924467.1|HILL	LOC108108312|XP_017071823.1|DEUG
OG0004069	LOC119659310|XP_037923253.1|HILL	LOC108108290|XP_017071782.1|DEUG
OG0004070	LOC119649269|XP_037907286.1|HILL	LOC108107979|XP_017071310.1|DEUG
OG0004071	LOC119649268|XP_037907285.1|HILL	LOC108108349|XP_017071878.1|DEUG
OG0004072	LOC119650128|XP_037908585.1|HILL	LOC108108350|XP_017071879.1|DEUG
OG0004073	LOC119654727|XP_037916182.1|HILL, LOC119654726|XP_037916180.1|HILL	LOC108117491|XP_017085459.1|DEUG
OG0004074	LOC119653806|XP_037914757.1|HILL	LOC108112816|XP_017078603.1|DEUG
OG0004075	LOC119654867|XP_037916388.1|HILL	LOC108114894|XP_017081552.1|DEUG
OG0004076	LOC119654866|XP_037916383.1|HILL	LOC108114893|XP_017081551.1|DEUG
OG0004077	LOC119655821|XP_037917855.1|HILL	LOC108106100|XP_017068453.1|DEUG
OG0004078	LOC119660407|XP_037924871.1|HILL	LOC108113609|XP_017079756.1|DEUG
OG0004079	LOC119655063|XP_037916684.1|HILL, LOC119655062|XP_037916683.1|HILL	LOC108104950|XP_017066805.1|DEUG
OG0004080	LOC119656528|XP_037918805.1|HILL	LOC108113111|XP_017079093.1|DEUG
OG0004081	LOC119654934|XP_037916514.1|HILL	LOC108106576|XP_017069239.1|DEUG
OG0004082	LOC119661142|XP_037926277.1|HILL	LOC108109185|XP_017073106.1|DEUG
OG0004083	LOC119657941|XP_037921059.1|HILL	LOC108116602|XP_017084047.1|DEUG
OG0004084	LOC119648060|XP_037905454.1|HILL	LOC108108768|XP_017072424.1|DEUG
OG0004085	LOC119659191|XP_037923080.1|HILL	LOC108111497|XP_017076500.1|DEUG
OG0004086	LOC119660303|XP_037924703.1|HILL	LOC108115771|XP_017082830.1|DEUG
OG0004087	LOC119656154|XP_037918416.1|HILL	LOC108117610|XP_017085625.1|DEUG
OG0004088	LOC119646890|XP_037903455.1|HILL, LOC119659504|XP_037923560.1|HILL	LOC108115868|XP_017082988.1|DEUG
OG0004089	LOC119653440|XP_037913949.1|HILL	LOC108104964|XP_017066818.1|DEUG
OG0004090	LOC119658831|XP_037922493.1|HILL	LOC108116646|XP_017084120.1|DEUG
OG0004092	LOC119654623|XP_037916023.1|HILL	LOC108103693|XP_017064776.1|DEUG
OG0004094	LOC119654768|XP_037916237.1|HILL	LOC108110388|XP_017074923.1|DEUG
OG0004095	LOC119659232|XP_037923135.1|HILL	LOC108116389|XP_017083740.1|DEUG
OG0004096	LOC119659231|XP_037923134.1|HILL	LOC108115889|XP_017083022.1|DEUG
OG0004098	LOC119653995|XP_037915084.1|HILL	LOC108111467|XP_017076428.1|DEUG
OG0004099	LOC119658923|XP_037922674.1|HILL	LOC108114965|XP_017081661.1|DEUG
OG0004100	LOC119660327|XP_037924733.1|HILL	LOC108115044|XP_017081780.1|DEUG
OG0004101	LOC119660189|XP_037924531.1|HILL	LOC108115020|XP_017081751.1|DEUG
OG0004102	LOC119659322|XP_037923274.1|HILL	LOC108114970|XP_017081672.1|DEUG
OG0004103	LOC119658757|XP_037922378.1|HILL	LOC108113638|XP_017079796.1|DEUG
OG0004104	LOC119660232|XP_037924606.1|HILL	LOC108108837|XP_017072533.1|DEUG
OG0004105	LOC119648003|XP_037905316.1|HILL	LOC108117395|XP_017085290.1|DEUG
OG0004106	LOC119649128|XP_037907061.1|HILL	LOC108108772|XP_017072429.1|DEUG
OG0004107	LOC119649913|XP_037908239.1|HILL	LOC108108202|XP_017071643.1|DEUG
OG0004108	LOC119660600|XP_037925204.1|HILL	LOC108105606|XP_017067770.1|DEUG
OG0004109	LOC119659441|XP_037923453.1|HILL	LOC108116647|XP_017084123.1|DEUG
OG0004110	LOC119648781|XP_037906546.1|HILL	LOC108108716|XP_017072338.1|DEUG
OG0004111	LOC119658978|XP_037922786.1|HILL	LOC108113601|XP_017079743.1|DEUG
OG0004112	LOC119659922|XP_037924181.1|HILL	LOC108113650|XP_017079810.1|DEUG
OG0004113	LOC119654970|XP_037916557.1|HILL	LOC108117706|XP_017085743.1|DEUG
OG0004114	LOC119653745|XP_037914596.1|HILL	LOC108103351|XP_017064285.1|DEUG
OG0004115	LOC119654898|XP_037916446.1|HILL	LOC108103347|XP_017064274.1|DEUG
OG0004116	LOC119659995|XP_037924298.1|HILL	LOC108113588|XP_017079723.1|DEUG
OG0004117	LOC119658855|XP_037922536.1|HILL	LOC108111561|XP_017076574.1|DEUG
OG0004118	LOC119654733|XP_037916192.1|HILL	LOC108112782|XP_017078549.1|DEUG
OG0004119	LOC119659398|XP_037923391.1|HILL	LOC108105300|XP_017067282.1|DEUG
OG0004120	LOC119659713|XP_037923895.1|HILL	LOC108105629|XP_017067803.1|DEUG
OG0004121	LOC119648200|XP_037905725.1|HILL	LOC108107581|XP_017070631.1|DEUG
OG0004122	LOC119659561|XP_037923638.1|HILL	LOC108103732|XP_017064821.1|DEUG
OG0004123	LOC119658789|XP_037922426.1|HILL	LOC108115144|XP_017081929.1|DEUG
OG0004124	LOC119653405|XP_037913897.1|HILL	LOC108103903|XP_017065136.1|DEUG
OG0004125	LOC119659998|XP_037924302.1|HILL	LOC108111385|XP_017076307.1|DEUG
OG0004126	LOC119658949|XP_037922749.1|HILL	LOC108111403|XP_017076337.1|DEUG
OG0004127	LOC119646537|XP_037902936.1|HILL	LOC108110996|XP_017075794.1|DEUG
OG0004128	LOC119659630|XP_037923756.1|HILL	LOC108111555|XP_017076565.1|DEUG
OG0004129	LOC119653414|XP_037913908.1|HILL	LOC108106609|XP_017069297.1|DEUG
OG0004130	LOC119654976|XP_037916564.1|HILL	LOC108105013|XP_017066896.1|DEUG
OG0004131	LOC119660618|XP_037925248.1|HILL	LOC108116405|XP_017083772.1|DEUG
OG0004132	LOC119647863|XP_037905061.1|HILL	LOC108108106|XP_017071503.1|DEUG
OG0004133	LOC119658717|XP_037922265.1|HILL	LOC108104114|XP_017065503.1|DEUG
OG0004134	LOC119658992|XP_037922800.1|HILL	LOC108113730|XP_017079905.1|DEUG
OG0004135	LOC119660601|XP_037925205.1|HILL	LOC108117097|XP_017084785.1|DEUG
OG0004136	LOC119660434|XP_037924912.1|HILL, LOC119659047|XP_037922882.1|HILL	LOC108115138|XP_017081921.1|DEUG
OG0004137	LOC119647105|XP_037903811.1|HILL	LOC108104784|XP_017066528.1|DEUG
OG0004138	LOC119653852|XP_037914827.1|HILL	LOC108114698|XP_017081283.1|DEUG
OG0004139	LOC119653401|XP_037913893.1|HILL	LOC108118131|XP_017086180.1|DEUG
OG0004140	LOC119654189|XP_037915314.1|HILL	LOC108103703|XP_017064788.1|DEUG
OG0004141	LOC119654863|XP_037916377.1|HILL	LOC108109202|XP_017073132.1|DEUG
OG0004142	LOC119655455|XP_037917283.1|HILL	LOC108103835|XP_017065013.1|DEUG
OG0004143	LOC119659128|XP_037922981.1|HILL	LOC108111787|XP_017076863.1|DEUG
OG0004144	LOC119648106|XP_037905549.1|HILL	LOC108111138|XP_017075993.1|DEUG
OG0004145	LOC119648376|XP_037906034.1|HILL	LOC108109861|XP_017074132.1|DEUG
OG0004146	LOC119658947|XP_037922745.1|HILL	LOC108116487|XP_017083908.1|DEUG
OG0004147	LOC119655710|XP_037917660.1|HILL	LOC108110773|XP_017075479.1|DEUG
OG0004148	LOC119659920|XP_037924173.1|HILL	LOC108117310|XP_017085161.1|DEUG
OG0004149	LOC119658823|XP_037922483.1|HILL	LOC108115155|XP_017081953.1|DEUG
OG0004150	LOC119658919|XP_037922671.1|HILL	LOC108103744|XP_017064840.1|DEUG
OG0004151	LOC119660117|XP_037924434.1|HILL	LOC108109395|XP_017073380.1|DEUG
OG0004152	LOC119658572|XP_037921948.1|HILL	LOC108105294|XP_017067311.1|DEUG, LOC108115378|XP_017082303.1|DEUG
OG0004153	LOC119654894|XP_037916441.1|HILL	LOC108106629|XP_017069320.1|DEUG
OG0004154	LOC119650286|XP_037908841.1|HILL	LOC108114558|XP_017081093.1|DEUG
OG0004155	LOC119659981|XP_037924278.1|HILL	LOC108110684|XP_017075304.1|DEUG, LOC108116391|XP_017083742.1|DEUG
OG0004157	LOC119656714|XP_037919161.1|HILL, LOC119657114|XP_037919802.1|HILL, LOC119658157|XP_037921353.1|HILL	LOC108103766|XP_017064878.1|DEUG
OG0004158	LOC119659237|XP_037923143.1|HILL	LOC108104744|XP_017066474.1|DEUG
OG0004159	LOC119659511|XP_037923569.1|HILL	LOC108113754|XP_017079937.1|DEUG
OG0004160	LOC119658833|XP_037922500.1|HILL	LOC108114142|XP_017080417.1|DEUG
OG0004161	LOC119659827|XP_037924041.1|HILL	LOC108116416|XP_017083790.1|DEUG
OG0004162	LOC119659968|XP_037924256.1|HILL	LOC108109668|XP_017073740.1|DEUG
OG0004163	LOC119659422|XP_037923426.1|HILL	LOC108110408|XP_017074968.1|DEUG
OG0004164	LOC119659146|XP_037923015.1|HILL	LOC108114957|XP_017081640.1|DEUG
OG0004165	LOC119655725|XP_037917687.1|HILL	LOC108112833|XP_017078630.1|DEUG
OG0004166	LOC119654224|XP_037915369.1|HILL	LOC108107426|XP_017070445.1|DEUG
OG0004167	LOC119658788|XP_037922424.1|HILL	LOC108109473|XP_017073486.1|DEUG
