Orthogroup	CCAP.longest_only	CQUI.longest_only
OG0003322	CCAP1982_LOCUS3340|CAD6994602.1|CCAP	LOC6050928|XP_001867444.2|CQUI
OG0003325	CCAP1982_LOCUS1578|CAD6992733.1|CCAP	LOC6054667|XP_038122729.1|CQUI
OG0003327	CCAP1982_LOCUS10057|CAD7001563.1|CCAP	LOC6054823|XP_038117070.1|CQUI
OG0003328	CCAP1982_LOCUS6470|CAD6997846.1|CCAP	LOC6045240|XP_038105004.1|CQUI
OG0003329	CCAP1982_LOCUS1039|CAD6992164.1|CCAP	LOC6045236|XP_038104816.1|CQUI
OG0003330	CCAP1982_LOCUS11433|CAD7002969.1|CCAP	LOC6049097|XP_001865912.2|CQUI
OG0003333	CCAP1982_LOCUS1837|CAD6993002.1|CCAP	LOC6046168|XP_038108595.1|CQUI
OG0003334	CCAP1982_LOCUS2220|CAD6993405.1|CCAP	LOC6053762|XP_038105116.1|CQUI
OG0003335	CCAP1982_LOCUS4072|CAD6995353.1|CCAP	LOC6053764|XP_038105798.1|CQUI
OG0003336	CCAP1982_LOCUS1836|CAD6993001.1|CCAP	LOC6049475|XP_038104934.1|CQUI
OG0003337	CCAP1982_LOCUS1892|CAD6993062.1|CCAP	LOC6038463|XP_038122611.1|CQUI, LOC6045749|XP_038120681.1|CQUI
OG0003338	CCAP1982_LOCUS1880|CAD6993048.1|CCAP	LOC6038468|XP_001848265.2|CQUI
OG0003339	CCAP1982_LOCUS1615|CAD6992774.1|CCAP	LOC6042693|XP_038104736.1|CQUI
OG0003340	CCAP1982_LOCUS1616|CAD6992775.1|CCAP	LOC6042694|XP_038104608.1|CQUI
OG0003344	CCAP1982_LOCUS7855|CAD6999328.1|CCAP	LOC6046229|XP_038115211.1|CQUI
OG0003345	CCAP1982_LOCUS1182|CAD6992314.1|CCAP	LOC119767346|XP_038111667.1|CQUI
OG0003346	CCAP1982_LOCUS2126|CAD6993309.1|CCAP	LOC6045625|XP_001862961.2|CQUI
OG0003347	CCAP1982_LOCUS2089|CAD6993273.1|CCAP	LOC6054237|XP_038111943.1|CQUI
OG0003348	CCAP1982_LOCUS3393|CAD6994658.1|CCAP	LOC6045000|XP_038104115.1|CQUI
OG0003350	CCAP1982_LOCUS2667|CAD6993873.1|CCAP	LOC6038483|XP_038108551.1|CQUI
OG0003354	CCAP1982_LOCUS1761|CAD6992928.1|CCAP	LOC6047656|XP_001864689.2|CQUI
OG0003358	CCAP1982_LOCUS7669|CAD6999125.1|CCAP	LOC6041908|XP_001851099.1|CQUI
OG0003361	CCAP1982_LOCUS20535|CAD7012455.1|CCAP	LOC6034453|XP_001844767.2|CQUI
OG0003362	CCAP1982_LOCUS1173|CAD6992305.1|CCAP	LOC6042565|XP_038111876.1|CQUI
OG0003363	CCAP1982_LOCUS3061|CAD6994300.1|CCAP	LOC6042567|XP_038112762.1|CQUI
OG0003364	CCAP1982_LOCUS2179|CAD6993361.1|CCAP	LOC6034728|XP_001845008.2|CQUI
OG0003365	CCAP1982_LOCUS209|CAD6991278.1|CCAP, CCAP1982_LOCUS210|CAD6991279.1|CCAP	LOC6034795|XP_001845068.2|CQUI
OG0003366	CCAP1982_LOCUS14323|CAD7005987.1|CCAP	LOC6034775|XP_001845048.2|CQUI
OG0003367	CCAP1982_LOCUS14328|CAD7005992.1|CCAP	LOC6034744|XP_038109225.1|CQUI
OG0003368	CCAP1982_LOCUS12879|CAD7004474.1|CCAP	LOC6041917|XP_001851107.2|CQUI
OG0003369	CCAP1982_LOCUS751|CAD6991853.1|CCAP	LOC6041912|XP_001851103.2|CQUI
OG0003370	CCAP1982_LOCUS1732|CAD6992897.1|CCAP	LOC6044494|XP_001862006.1|CQUI
OG0003373	CCAP1982_LOCUS361|CAD6991435.1|CCAP, CCAP1982_LOCUS360|CAD6991434.1|CCAP	LOC119765016|XP_038105409.1|CQUI, LOC6045520|XP_038105391.1|CQUI
OG0003375	CCAP1982_LOCUS2045|CAD6993226.1|CCAP	LOC6048537|XP_038109538.1|CQUI
OG0003376	CCAP1982_LOCUS2171|CAD6993353.1|CCAP	LOC6034735|XP_001845015.1|CQUI
OG0003377	CCAP1982_LOCUS2173|CAD6993355.1|CCAP	LOC6034732|XP_038122880.1|CQUI
OG0003378	CCAP1982_LOCUS1475|CAD6992627.1|CCAP	LOC6034804|XP_001845076.1|CQUI
OG0003379	CCAP1982_LOCUS2838|CAD6994067.1|CCAP	LOC6034805|XP_001845077.1|CQUI
OG0003380	CCAP1982_LOCUS1419|CAD6992571.1|CCAP	LOC6046476|XP_038114759.1|CQUI
OG0003381	CCAP1982_LOCUS2394|CAD6993583.1|CCAP	LOC6046475|XP_001863666.1|CQUI
OG0003382	CCAP1982_LOCUS2400|CAD6993590.1|CCAP	LOC6046480|XP_038105361.1|CQUI
OG0003383	CCAP1982_LOCUS3350|CAD6994613.1|CCAP	LOC6046770|XP_001863920.2|CQUI
OG0003384	CCAP1982_LOCUS8473|CAD6999968.1|CCAP	LOC6050615|XP_001867190.1|CQUI
OG0003385	CCAP1982_LOCUS2085|CAD6993268.1|CCAP	LOC6052084|XP_001868410.2|CQUI
OG0003386	CCAP1982_LOCUS1625|CAD6992786.1|CCAP	LOC6036776|XP_001846772.1|CQUI
OG0003387	CCAP1982_LOCUS2709|CAD6993918.1|CCAP	LOC6036775|XP_001846771.2|CQUI
OG0003389	CCAP1982_LOCUS7161|CAD6998583.1|CCAP	LOC6036491|XP_001846540.1|CQUI
OG0003390	CCAP1982_LOCUS1365|CAD6992516.1|CCAP	LOC6036520|XP_001846565.2|CQUI
OG0003392	CCAP1982_LOCUS3862|CAD6995139.1|CCAP	LOC6051534|XP_001867966.2|CQUI
OG0003393	CCAP1982_LOCUS2532|CAD6993734.1|CCAP	LOC6042026|XP_038115967.1|CQUI
OG0003394	CCAP1982_LOCUS2772|CAD6993989.1|CCAP	LOC6035630|XP_038104045.1|CQUI
OG0003395	CCAP1982_LOCUS2763|CAD6993980.1|CCAP	LOC6035642|XP_038105204.1|CQUI
OG0003396	CCAP1982_LOCUS1391|CAD6992542.1|CCAP	LOC6035649|XP_038104108.1|CQUI
OG0003397	CCAP1982_LOCUS3132|CAD6994379.1|CCAP	LOC6035212|XP_001845441.2|CQUI
OG0003398	CCAP1982_LOCUS2219|CAD6993404.1|CCAP	LOC6035226|XP_001845455.1|CQUI
OG0003399	CCAP1982_LOCUS3468|CAD6994735.1|CCAP	LOC6035229|XP_001845456.2|CQUI
OG0003400	CCAP1982_LOCUS3496|CAD6994764.1|CCAP, CCAP1982_LOCUS9004|CAD7000526.1|CCAP	LOC6048394|XP_038105553.1|CQUI
OG0003401	CCAP1982_LOCUS3720|CAD6994989.1|CCAP, CCAP1982_LOCUS3719|CAD6994988.1|CCAP	LOC6044798|XP_038105600.1|CQUI
OG0003402	CCAP1982_LOCUS3740|CAD6995009.1|CCAP	LOC119769471|XP_038117965.1|CQUI
OG0003403	CCAP1982_LOCUS21378|CAD7013307.1|CCAP	LOC6044611|XP_038123033.1|CQUI
OG0003404	CCAP1982_LOCUS1300|CAD6992440.1|CCAP	LOC6044619|XP_038104451.1|CQUI
OG0003405	CCAP1982_LOCUS23291|CAD7015346.1|CCAP	LOC6035352|XP_001845563.2|CQUI
OG0003406	CCAP1982_LOCUS2827|CAD6994055.1|CCAP	LOC6035347|XP_001845558.1|CQUI
OG0003407	CCAP1982_LOCUS2467|CAD6993660.1|CCAP	LOC6035346|XP_001845557.1|CQUI
OG0003408	CCAP1982_LOCUS1798|CAD6992966.1|CCAP	LOC6035353|XP_038104381.1|CQUI
OG0003409	CCAP1982_LOCUS3018|CAD6994257.1|CCAP	LOC6050608|XP_038104382.1|CQUI
OG0003410	CCAP1982_LOCUS3704|CAD6994973.1|CCAP	LOC6044846|XP_001862291.1|CQUI
OG0003411	CCAP1982_LOCUS5091|CAD6996418.1|CCAP	LOC6041723|XP_001850945.2|CQUI
OG0003412	CCAP1982_LOCUS231|CAD6991302.1|CCAP	LOC6041727|XP_038122908.1|CQUI
OG0003413	CCAP1982_LOCUS2307|CAD6993494.1|CCAP	LOC6031535|XP_001842320.2|CQUI
OG0003414	CCAP1982_LOCUS13788|CAD7005427.1|CCAP	LOC6035568|XP_038104587.1|CQUI
OG0003416	CCAP1982_LOCUS80|CAD6991138.1|CCAP	LOC6035553|XP_001845711.2|CQUI
OG0003417	CCAP1982_LOCUS1823|CAD6992992.1|CCAP	LOC6035549|XP_001845707.2|CQUI
OG0003418	CCAP1982_LOCUS3284|CAD6994543.1|CCAP	LOC6034923|XP_001845188.1|CQUI
OG0003419	CCAP1982_LOCUS2789|CAD6994012.1|CCAP	LOC6034928|XP_038112385.1|CQUI
OG0003420	CCAP1982_LOCUS2787|CAD6994010.1|CCAP, CCAP1982_LOCUS2788|CAD6994011.1|CCAP	LOC6034929|XP_038113125.1|CQUI
OG0003421	CCAP1982_LOCUS2391|CAD6993579.1|CCAP	LOC6044857|XP_038118023.1|CQUI
OG0003422	CCAP1982_LOCUS1891|CAD6993061.1|CCAP	LOC6045192|XP_001862584.1|CQUI
OG0003423	CCAP1982_LOCUS23232|CAD7015285.1|CCAP	LOC6047844|XP_038104071.1|CQUI
OG0003424	CCAP1982_LOCUS1988|CAD6993163.1|CCAP	LOC6047847|XP_001864849.2|CQUI
OG0003425	CCAP1982_LOCUS7009|CAD6998409.1|CCAP	LOC6042446|XP_001851544.1|CQUI
OG0003426	CCAP1982_LOCUS2998|CAD6994236.1|CCAP	LOC6032577|XP_001843150.1|CQUI
OG0003427	CCAP1982_LOCUS3011|CAD6994250.1|CCAP	LOC6040871|XP_001850206.2|CQUI
OG0003428	CCAP1982_LOCUS14183|CAD7005839.1|CCAP, CCAP1982_LOCUS14182|CAD7005838.1|CCAP	LOC6032685|XP_001843245.2|CQUI
OG0003429	CCAP1982_LOCUS22596|CAD7014603.1|CCAP	LOC6032661|XP_001843228.2|CQUI
OG0003430	CCAP1982_LOCUS9736|CAD7001238.1|CCAP, CCAP1982_LOCUS9735|CAD7001237.1|CCAP	LOC6031627|XP_038112717.1|CQUI
OG0003431	CCAP1982_LOCUS674|CAD6991766.1|CCAP	LOC6039171|XP_001848826.2|CQUI
OG0003432	CCAP1982_LOCUS4099|CAD6995381.1|CCAP	LOC6047464|XP_038111896.1|CQUI
OG0003435	CCAP1982_LOCUS3071|CAD6994314.1|CCAP	LOC6032653|XP_038104224.1|CQUI
OG0003436	CCAP1982_LOCUS2424|CAD6993614.1|CCAP	LOC6036780|XP_001846776.1|CQUI
OG0003437	CCAP1982_LOCUS2425|CAD6993615.1|CCAP	LOC6036779|XP_038107371.1|CQUI
OG0003438	CCAP1982_LOCUS2423|CAD6993613.1|CCAP	LOC6046594|XP_001863768.1|CQUI
OG0003439	CCAP1982_LOCUS1479|CAD6992631.1|CCAP	LOC6042429|XP_001851546.1|CQUI
OG0003440	CCAP1982_LOCUS3675|CAD6994941.1|CCAP, CCAP1982_LOCUS3672|CAD6994938.1|CCAP	LOC6039090|XP_038105902.1|CQUI
OG0003441	CCAP1982_LOCUS5321|CAD6996637.1|CCAP	LOC6046303|XP_001863513.1|CQUI
OG0003442	CCAP1982_LOCUS1258|CAD6992394.1|CCAP	LOC6046296|XP_001863521.2|CQUI
OG0003443	CCAP1982_LOCUS14943|CAD7006637.1|CCAP	LOC6047924|XP_001864911.1|CQUI
OG0003444	CCAP1982_LOCUS14439|CAD7006107.1|CCAP	LOC6031536|XP_001842321.2|CQUI
OG0003447	CCAP1982_LOCUS9834|CAD7001337.1|CCAP	LOC6031562|XP_038117031.1|CQUI
OG0003448	CCAP1982_LOCUS2752|CAD6993967.1|CCAP	LOC6048416|XP_001865339.2|CQUI
OG0003449	CCAP1982_LOCUS3525|CAD6994794.1|CCAP	LOC6037396|XP_001847313.1|CQUI
OG0003450	CCAP1982_LOCUS3696|CAD6994964.1|CCAP	LOC6039926|XP_038104260.1|CQUI
OG0003451	CCAP1982_LOCUS76|CAD6991133.1|CCAP, CCAP1982_LOCUS75|CAD6991132.1|CCAP	LOC6039936|XP_038111380.1|CQUI
OG0003452	CCAP1982_LOCUS73|CAD6991130.1|CCAP	LOC6039937|XP_001849434.2|CQUI
OG0003453	CCAP1982_LOCUS373|CAD6991447.1|CCAP	LOC6046528|XP_001863707.1|CQUI
OG0003454	CCAP1982_LOCUS6391|CAD6997761.1|CCAP	LOC6046531|XP_001863706.1|CQUI
OG0003455	CCAP1982_LOCUS2452|CAD6993642.1|CCAP	LOC6046526|XP_038104772.1|CQUI
OG0003456	CCAP1982_LOCUS23147|CAD7015197.1|CCAP	LOC119769594|XP_038118579.1|CQUI, LOC6035526|XP_038113113.1|CQUI
OG0003457	CCAP1982_LOCUS4329|CAD6995623.1|CCAP	LOC6035528|XP_001845693.1|CQUI
OG0003458	CCAP1982_LOCUS4309|CAD6995602.1|CCAP, CCAP1982_LOCUS4312|CAD6995606.1|CCAP	LOC6039674|XP_038122724.1|CQUI
OG0003459	CCAP1982_LOCUS363|CAD6991437.1|CCAP	LOC6034951|XP_001845210.1|CQUI
OG0003461	CCAP1982_LOCUS2426|CAD6993616.1|CCAP	LOC6037413|XP_038105277.1|CQUI
OG0003463	CCAP1982_LOCUS3767|CAD6995037.1|CCAP	LOC6039202|XP_038104646.1|CQUI
OG0003464	CCAP1982_LOCUS2536|CAD6993738.1|CCAP, CCAP1982_LOCUS2533|CAD6993735.1|CCAP	LOC6039615|XP_038106187.1|CQUI
OG0003465	CCAP1982_LOCUS3523|CAD6994792.1|CCAP	LOC6039608|XP_001849182.1|CQUI
OG0003466	CCAP1982_LOCUS4123|CAD6995405.1|CCAP	LOC6038055|XP_001847899.1|CQUI
OG0003467	CCAP1982_LOCUS4096|CAD6995378.1|CCAP	LOC6040680|XP_038105387.1|CQUI
OG0003468	CCAP1982_LOCUS1166|CAD6992298.1|CCAP	LOC6040674|XP_001850035.2|CQUI
OG0003469	CCAP1982_LOCUS2027|CAD6993208.1|CCAP	LOC6035344|XP_001845555.1|CQUI
OG0003470	CCAP1982_LOCUS2015|CAD6993193.1|CCAP	LOC6031670|XP_038104846.1|CQUI
OG0003471	CCAP1982_LOCUS8797|CAD7000311.1|CCAP	LOC6031663|XP_001842409.2|CQUI
OG0003472	CCAP1982_LOCUS6283|CAD6997652.1|CCAP	LOC6034382|XP_038113315.1|CQUI
OG0003473	CCAP1982_LOCUS7925|CAD6999399.1|CCAP	LOC6035377|XP_038104133.1|CQUI
OG0003474	CCAP1982_LOCUS3875|CAD6995154.1|CCAP	LOC6035079|XP_038112442.1|CQUI
OG0003475	CCAP1982_LOCUS2624|CAD6993827.1|CCAP, CCAP1982_LOCUS2625|CAD6993828.1|CCAP	LOC6035069|XP_038122846.1|CQUI
OG0003477	CCAP1982_LOCUS2284|CAD6993472.1|CCAP	LOC6047059|XP_038115904.1|CQUI
OG0003478	CCAP1982_LOCUS3292|CAD6994552.1|CCAP	LOC6047694|XP_038115039.1|CQUI
OG0003479	CCAP1982_LOCUS1053|CAD6992180.1|CCAP	LOC6035543|XP_001845701.1|CQUI
OG0003480	CCAP1982_LOCUS2077|CAD6993260.1|CCAP	LOC6042433|XP_001851551.1|CQUI
OG0003481	CCAP1982_LOCUS2076|CAD6993259.1|CCAP	LOC6042434|XP_001851552.2|CQUI
OG0003482	CCAP1982_LOCUS2075|CAD6993258.1|CCAP, CCAP1982_LOCUS2074|CAD6993257.1|CCAP	LOC6042437|XP_038114985.1|CQUI
OG0003483	CCAP1982_LOCUS2056|CAD6993239.1|CCAP	LOC6039076|XP_001848749.1|CQUI
OG0003484	CCAP1982_LOCUS2209|CAD6993393.1|CCAP	LOC6049256|XP_001866047.1|CQUI
OG0003487	CCAP1982_LOCUS2529|CAD6993731.1|CCAP	LOC6040883|XP_001850212.2|CQUI
OG0003488	CCAP1982_LOCUS2704|CAD6993913.1|CCAP, CCAP1982_LOCUS2705|CAD6993914.1|CCAP	LOC6039350|XP_038104841.1|CQUI
OG0003489	CCAP1982_LOCUS2593|CAD6993795.1|CCAP	LOC6037420|XP_038104037.1|CQUI
OG0003490	CCAP1982_LOCUS2615|CAD6993818.1|CCAP	LOC6037424|XP_001847338.1|CQUI
OG0003491	CCAP1982_LOCUS2647|CAD6993851.1|CCAP, CCAP1982_LOCUS2650|CAD6993854.1|CCAP	LOC6033013|XP_038111280.1|CQUI
OG0003492	CCAP1982_LOCUS2875|CAD6994106.1|CCAP	LOC6032983|XP_038121925.1|CQUI
OG0003493	CCAP1982_LOCUS1184|CAD6992316.1|CCAP, CCAP1982_LOCUS1183|CAD6992315.1|CCAP	LOC6033729|XP_038105787.1|CQUI
OG0003494	CCAP1982_LOCUS2448|CAD6993638.1|CCAP	LOC6053204|XP_038110104.1|CQUI
OG0003495	CCAP1982_LOCUS7670|CAD6999126.1|CCAP	LOC6042404|XP_038123009.1|CQUI
OG0003496	CCAP1982_LOCUS55|CAD6991108.1|CCAP	LOC6039896|XP_001849394.1|CQUI
OG0003497	CCAP1982_LOCUS1426|CAD6992578.1|CCAP	LOC6042400|XP_038122515.1|CQUI
OG0003498	CCAP1982_LOCUS4163|CAD6995446.1|CCAP	LOC6042398|XP_001851523.2|CQUI
OG0003499	CCAP1982_LOCUS3779|CAD6995053.1|CCAP	LOC6042393|XP_001851518.2|CQUI
OG0003500	CCAP1982_LOCUS12413|CAD7003991.1|CCAP	LOC6051158|XP_038104555.1|CQUI
OG0003501	CCAP1982_LOCUS2344|CAD6993532.1|CCAP, CCAP1982_LOCUS2343|CAD6993531.1|CCAP, CCAP1982_LOCUS2345|CAD6993533.1|CCAP	LOC6040942|XP_001850270.1|CQUI
OG0003502	CCAP1982_LOCUS3909|CAD6995189.1|CCAP	LOC6032047|XP_038105287.1|CQUI
OG0003503	CCAP1982_LOCUS3462|CAD6994729.1|CCAP	LOC6032067|XP_001842733.2|CQUI
OG0003504	CCAP1982_LOCUS2035|CAD6993216.1|CCAP	LOC6032073|XP_038115709.1|CQUI
OG0003505	CCAP1982_LOCUS1286|CAD6992424.1|CCAP, CCAP1982_LOCUS1285|CAD6992423.1|CCAP	LOC6032089|XP_038104786.1|CQUI
OG0003506	CCAP1982_LOCUS1196|CAD6992331.1|CCAP, CCAP1982_LOCUS1195|CAD6992330.1|CCAP	LOC6035185|XP_001845415.2|CQUI
OG0003507	CCAP1982_LOCUS4039|CAD6995321.1|CCAP	LOC6035194|XP_038105210.1|CQUI
OG0003508	CCAP1982_LOCUS11383|CAD7002917.1|CCAP	LOC6037398|XP_038104529.1|CQUI
OG0003509	CCAP1982_LOCUS2841|CAD6994070.1|CCAP	LOC6032718|XP_038116239.1|CQUI
OG0003510	CCAP1982_LOCUS1326|CAD6992471.1|CCAP, CCAP1982_LOCUS7653|CAD6999108.1|CCAP	LOC6033955|XP_038105897.1|CQUI
OG0003511	CCAP1982_LOCUS1325|CAD6992470.1|CCAP	LOC6033953|XP_038104593.1|CQUI
OG0003513	CCAP1982_LOCUS4017|CAD6995298.1|CCAP	LOC6040895|XP_038122954.1|CQUI
OG0003514	CCAP1982_LOCUS3515|CAD6994784.1|CCAP	LOC6040914|XP_038105061.1|CQUI
OG0003515	CCAP1982_LOCUS21020|CAD7012921.1|CCAP	LOC6037350|XP_001847273.2|CQUI
OG0003516	CCAP1982_LOCUS2335|CAD6993523.1|CCAP	LOC6037345|XP_038106122.1|CQUI
OG0003517	CCAP1982_LOCUS3547|CAD6994816.1|CCAP	LOC6032015|XP_038122579.1|CQUI
OG0003518	CCAP1982_LOCUS3603|CAD6994868.1|CCAP, CCAP1982_LOCUS3643|CAD6994908.1|CCAP, CCAP1982_LOCUS3602|CAD6994867.1|CCAP	LOC6032783|XP_001843318.2|CQUI
OG0003519	CCAP1982_LOCUS11421|CAD7002957.1|CCAP, CCAP1982_LOCUS11422|CAD7002958.1|CCAP, CCAP1982_LOCUS11423|CAD7002959.1|CCAP	LOC6032781|XP_038117086.1|CQUI
OG0003520	CCAP1982_LOCUS11416|CAD7002952.1|CCAP	LOC6032782|XP_001843323.2|CQUI
OG0003521	CCAP1982_LOCUS11429|CAD7002965.1|CCAP	LOC6032787|XP_038118515.1|CQUI
OG0003522	CCAP1982_LOCUS22624|CAD7014633.1|CCAP, CCAP1982_LOCUS22621|CAD7014630.1|CCAP	LOC6032792|XP_001843331.1|CQUI
OG0003523	CCAP1982_LOCUS7667|CAD6999123.1|CCAP	LOC6048078|XP_001865048.2|CQUI
OG0003524	CCAP1982_LOCUS22854|CAD7014890.1|CCAP	LOC6032793|XP_001843332.2|CQUI
OG0003525	CCAP1982_LOCUS23415|CAD7015476.1|CCAP	LOC6032794|XP_001843333.2|CQUI
OG0003527	CCAP1982_LOCUS22626|CAD7014635.1|CCAP	LOC6032800|XP_038115299.1|CQUI
OG0003529	CCAP1982_LOCUS6459|CAD6997835.1|CCAP, CCAP1982_LOCUS6458|CAD6997834.1|CCAP	LOC6032817|XP_038119796.1|CQUI
OG0003530	CCAP1982_LOCUS12403|CAD7003980.1|CCAP	LOC6032819|XP_001843356.2|CQUI
OG0003531	CCAP1982_LOCUS11045|CAD7002557.1|CCAP	LOC6032824|XP_001843361.1|CQUI
OG0003532	CCAP1982_LOCUS13293|CAD7004909.1|CCAP	LOC6032827|XP_001843364.2|CQUI
OG0003533	CCAP1982_LOCUS11069|CAD7002582.1|CCAP	LOC6031080|XP_001841925.2|CQUI, LOC119768640|XP_038114842.1|CQUI
OG0003535	CCAP1982_LOCUS11407|CAD7002942.1|CCAP	LOC6054045|XP_038119934.1|CQUI
OG0003536	CCAP1982_LOCUS21804|CAD7013781.1|CCAP	LOC6042791|XP_038121619.1|CQUI
OG0003537	CCAP1982_LOCUS21636|CAD7013581.1|CCAP	LOC6048042|XP_001865009.1|CQUI
OG0003538	CCAP1982_LOCUS21619|CAD7013563.1|CCAP	LOC6041057|XP_038122268.1|CQUI
OG0003539	CCAP1982_LOCUS21613|CAD7013555.1|CCAP	LOC6041054|XP_038118055.1|CQUI
OG0003540	CCAP1982_LOCUS11357|CAD7002888.1|CCAP	LOC6041030|XP_001850341.2|CQUI
OG0003541	CCAP1982_LOCUS3984|CAD6995263.1|CCAP	LOC6031102|XP_038117650.1|CQUI
OG0003542	CCAP1982_LOCUS22394|CAD7014401.1|CCAP	LOC6031105|XP_038119724.1|CQUI
OG0003543	CCAP1982_LOCUS7867|CAD6999340.1|CCAP	LOC6031107|XP_001841952.2|CQUI
OG0003544	CCAP1982_LOCUS12760|CAD7004344.1|CCAP	LOC6031125|XP_038121856.1|CQUI
OG0003545	CCAP1982_LOCUS14146|CAD7005798.1|CCAP	LOC6050940|XP_038118492.1|CQUI
OG0003546	CCAP1982_LOCUS13560|CAD7005200.1|CCAP	LOC6043937|XP_038115058.1|CQUI, LOC119765009|XP_038115055.1|CQUI
OG0003547	CCAP1982_LOCUS22239|CAD7014236.1|CCAP	LOC6045538|XP_038121077.1|CQUI
OG0003548	CCAP1982_LOCUS22755|CAD7014784.1|CCAP	LOC6045535|XP_038118754.1|CQUI
OG0003549	CCAP1982_LOCUS22753|CAD7014782.1|CCAP	LOC6045534|XP_001862889.1|CQUI
OG0003550	CCAP1982_LOCUS22380|CAD7014385.1|CCAP	LOC6041016|XP_001850330.2|CQUI
OG0003551	CCAP1982_LOCUS22614|CAD7014623.1|CCAP	LOC6031097|XP_001841944.1|CQUI
OG0003552	CCAP1982_LOCUS22722|CAD7014745.1|CCAP	LOC6043917|XP_001861502.1|CQUI
OG0003553	CCAP1982_LOCUS22616|CAD7014625.1|CCAP	LOC6043918|XP_001861503.2|CQUI
OG0003554	CCAP1982_LOCUS11950|CAD7003500.1|CCAP	LOC6043924|XP_001861507.2|CQUI
OG0003555	CCAP1982_LOCUS13140|CAD7004747.1|CCAP	LOC6054349|XP_038118739.1|CQUI
OG0003556	CCAP1982_LOCUS11725|CAD7003263.1|CCAP	LOC6050731|XP_038115046.1|CQUI
OG0003557	CCAP1982_LOCUS11727|CAD7003265.1|CCAP	LOC6050735|XP_001867287.2|CQUI
OG0003558	CCAP1982_LOCUS11602|CAD7003140.1|CCAP, CCAP1982_LOCUS11600|CAD7003138.1|CCAP	LOC6039111|XP_038119065.1|CQUI
OG0003559	CCAP1982_LOCUS11205|CAD7002730.1|CCAP	LOC6039880|XP_038115150.1|CQUI
OG0003560	CCAP1982_LOCUS13143|CAD7004750.1|CCAP	LOC6052189|XP_038120700.1|CQUI
OG0003561	CCAP1982_LOCUS22042|CAD7014036.1|CCAP	LOC6043327|XP_038116068.1|CQUI
OG0003562	CCAP1982_LOCUS22254|CAD7014251.1|CCAP	LOC6043356|XP_038116603.1|CQUI
OG0003563	CCAP1982_LOCUS3245|CAD6994499.1|CCAP	LOC119770433|XP_038121265.1|CQUI
OG0003564	CCAP1982_LOCUS13030|CAD7004635.1|CCAP	LOC6047303|XP_001864384.2|CQUI
OG0003565	CCAP1982_LOCUS13066|CAD7004671.1|CCAP	LOC6040748|XP_001850099.1|CQUI
OG0003566	CCAP1982_LOCUS2783|CAD6994002.1|CCAP	LOC6040751|XP_038117689.1|CQUI
OG0003567	CCAP1982_LOCUS23392|CAD7015451.1|CCAP	LOC6040753|XP_038117833.1|CQUI
OG0003568	CCAP1982_LOCUS22896|CAD7014933.1|CCAP	LOC6035297|XP_038116292.1|CQUI
OG0003569	CCAP1982_LOCUS11485|CAD7003022.1|CCAP	LOC6035323|XP_038120355.1|CQUI
OG0003570	CCAP1982_LOCUS21682|CAD7013635.1|CCAP	LOC6041604|XP_038115527.1|CQUI
OG0003571	CCAP1982_LOCUS12914|CAD7004515.1|CCAP	LOC6030992|XP_001841845.2|CQUI
OG0003572	CCAP1982_LOCUS22108|CAD7014102.1|CCAP	LOC6030994|XP_038117791.1|CQUI
OG0003573	CCAP1982_LOCUS20153|CAD7012051.1|CCAP	LOC6047079|XP_038119963.1|CQUI
OG0003574	CCAP1982_LOCUS13221|CAD7004832.1|CCAP	LOC6031029|XP_001841881.2|CQUI
OG0003575	CCAP1982_LOCUS12171|CAD7003735.1|CCAP	LOC6031040|XP_038119823.1|CQUI
OG0003576	CCAP1982_LOCUS11896|CAD7003442.1|CCAP	LOC6034067|XP_038117960.1|CQUI
OG0003577	CCAP1982_LOCUS14910|CAD7006599.1|CCAP, CCAP1982_LOCUS14912|CAD7006601.1|CCAP	LOC6034075|XP_038115869.1|CQUI
OG0003578	CCAP1982_LOCUS11839|CAD7003380.1|CCAP	LOC6031021|XP_001841873.2|CQUI
OG0003579	CCAP1982_LOCUS23067|CAD7015115.1|CCAP	LOC6031017|XP_001841869.2|CQUI
OG0003580	CCAP1982_LOCUS19430|CAD7011325.1|CCAP	LOC6031009|XP_038120669.1|CQUI
OG0003581	CCAP1982_LOCUS11518|CAD7003055.1|CCAP	LOC6031003|XP_038121081.1|CQUI
OG0003582	CCAP1982_LOCUS13249|CAD7004864.1|CCAP	LOC6044581|XP_038116034.1|CQUI
OG0003584	CCAP1982_LOCUS21831|CAD7013811.1|CCAP	LOC6039265|XP_001848900.2|CQUI
OG0003586	CCAP1982_LOCUS19527|CAD7011427.1|CCAP	LOC6044073|XP_001861642.2|CQUI
OG0003587	CCAP1982_LOCUS8444|CAD6999931.1|CCAP	LOC119769453|XP_038117836.1|CQUI
OG0003588	CCAP1982_LOCUS1234|CAD6992370.1|CCAP	LOC6047011|XP_038115470.1|CQUI
OG0003589	CCAP1982_LOCUS22779|CAD7014811.1|CCAP	LOC119770845|XP_038122355.1|CQUI
OG0003590	CCAP1982_LOCUS11384|CAD7002918.1|CCAP	LOC6044667|XP_038115660.1|CQUI
OG0003591	CCAP1982_LOCUS12774|CAD7004362.1|CCAP	LOC6044660|XP_038117981.1|CQUI
