Orthogroup	AALB.longest_only	AEAL.longest_only
OG0003799	LOC118457992|XP_035775952.1|AALB	LOC109414437|XP_019543798.2|AEAL, LOC109622537|XP_019932476.2|AEAL
OG0003800	LOC118456736|XP_035773679.1|AALB	LOC109428283|XP_019559559.2|AEAL, LOC109404735|XP_019533206.1|AEAL
OG0003801	LOC118458226|XP_035776386.1|AALB	LOC109428273|XP_029728468.1|AEAL, LOC115266345|XP_029728321.1|AEAL
OG0003802	LOC118468511|XP_035795241.1|AALB	LOC109428266|XP_019559544.1|AEAL, LOC115256043|XP_029710154.1|AEAL
OG0003803	LOC118468791|XP_035795892.1|AALB	LOC109428268|XP_019559548.1|AEAL, LOC109427835|XP_019558963.1|AEAL
OG0003804	LOC118468943|XP_035796175.1|AALB	LOC115266350|XP_029728342.1|AEAL, LOC109427931|XP_029710135.1|AEAL
OG0003805	LOC118468940|XP_035796168.1|AALB	LOC115266367|XP_029728442.1|AEAL, LOC109428250|XP_029728443.1|AEAL, LOC109427929|XP_019559121.1|AEAL
OG0003806	LOC118468942|XP_035796173.1|AALB	LOC115266368|XP_029728445.1|AEAL, LOC109427928|XP_029728462.1|AEAL, LOC109428249|XP_029728352.1|AEAL
OG0003807	LOC118467305|XP_035793526.1|AALB	LOC109428240|XP_029728363.1|AEAL, LOC109427921|XP_029728463.1|AEAL, LOC115253791|XP_029728467.1|AEAL
OG0003808	LOC118460858|XP_035781457.1|AALB	LOC109428200|XP_029728408.1|AEAL
OG0003809	LOC118461847|XP_035783525.1|AALB	LOC109428199|XP_029728418.1|AEAL
OG0003810	LOC118458955|XP_035777829.1|AALB	LOC109428182|XP_029734295.1|AEAL, LOC109427875|XP_029728439.1|AEAL
OG0003811	LOC118462591|XP_035784297.1|AALB	LOC109424312|XP_029714951.1|AEAL, LOC115253500|XP_029714941.1|AEAL
OG0003812	LOC118456167|XP_035772593.1|AALB	LOC109433229|XP_029714793.1|AEAL
OG0003813	LOC118457969|XP_035775903.1|AALB	LOC115258561|XP_029714601.1|AEAL, LOC109622900|XP_019932916.2|AEAL, LOC115258584|XP_029714685.1|AEAL
OG0003814	LOC118457739|XP_035775442.1|AALB	LOC115258139|XP_029714042.1|AEAL, LOC109622883|XP_019932895.2|AEAL
OG0003815	LOC118457743|XP_035775448.1|AALB	LOC109622879|XP_019932889.2|AEAL
OG0003816	LOC118461879|XP_035783609.1|AALB	LOC109622869|XP_019932879.2|AEAL, LOC115258071|XP_029713941.1|AEAL
OG0003817	LOC118457510|XP_035775044.1|AALB	LOC115257997|XP_029713854.1|AEAL, LOC109622865|XP_019932874.1|AEAL, LOC115258453|XP_029714414.1|AEAL
OG0003819	LOC118462908|XP_035784901.1|AALB	LOC109420074|XP_019549923.2|AEAL
OG0003820	LOC118468215|XP_035794903.1|AALB	LOC109412012|XP_019541201.1|AEAL, LOC109407925|XP_019536663.1|AEAL
OG0003821	LOC118458371|XP_035776659.1|AALB	LOC109412028|XP_019541220.1|AEAL, LOC115262435|XP_029720698.1|AEAL
OG0003822	LOC118457153|XP_035774371.1|AALB	LOC109401083|XP_019529107.2|AEAL, LOC109400993|XP_019529001.2|AEAL
OG0003823	LOC118457866|XP_035775658.1|AALB	LOC109401074|XP_029713111.1|AEAL
OG0003824	LOC118456884|XP_035773896.1|AALB	LOC109412398|XP_019541585.1|AEAL
OG0003825	LOC118456837|XP_035773826.1|AALB	LOC109412374|XP_019541573.2|AEAL
OG0003826	LOC118458379|XP_035776678.1|AALB	LOC109432871|XP_019564776.1|AEAL
OG0003827	LOC118460075|XP_035779983.1|AALB	LOC115257191|XP_029712477.1|AEAL, LOC109401356|XP_019529412.2|AEAL
OG0003828	LOC118460074|XP_035779981.1|AALB	LOC109432873|XP_029712478.1|AEAL, LOC109401369|XP_019529434.2|AEAL
OG0003829	LOC118460071|XP_035779963.1|AALB	LOC109401410|XP_029715894.1|AEAL, LOC109432882|XP_029715868.1|AEAL, LOC115257192|XP_029712482.1|AEAL
OG0003830	LOC118456966|XP_035774053.1|AALB	LOC109432904|XP_019564816.2|AEAL, LOC115255619|XP_029709570.1|AEAL
OG0003831	LOC118456777|XP_035773745.1|AALB	LOC109432894|XP_019564805.1|AEAL, LOC109401397|XP_029711610.1|AEAL
OG0003832	LOC118459790|XP_035779409.1|AALB	LOC109401416|XP_029715795.1|AEAL, LOC109432910|XP_029711998.1|AEAL
OG0003833	LOC118459044|XP_035777961.1|AALB, LOC118459791|XP_035779412.1|AALB	LOC109432900|XP_029715796.1|AEAL, LOC109401376|XP_029712018.1|AEAL
OG0003834	LOC118457516|XP_035775053.1|AALB	LOC109401434|XP_029712112.1|AEAL, LOC109404654|XP_019533126.1|AEAL
OG0003836	LOC118460572|XP_035780873.1|AALB	LOC109411290|XP_019540361.2|AEAL
OG0003837	LOC118460568|XP_035780863.1|AALB	LOC109433149|XP_029715686.1|AEAL, LOC109411306|XP_029711295.1|AEAL
OG0003838	LOC118468599|XP_035795475.1|AALB	LOC109433046|XP_019564970.2|AEAL
OG0003839	LOC118456470|XP_035773154.1|AALB	LOC115254285|XP_029707545.1|AEAL, LOC109433111|XP_019565049.1|AEAL
OG0003840	LOC118461893|XP_035783640.1|AALB	LOC109420154|XP_019550024.1|AEAL
OG0003841	LOC118464174|XP_035787207.1|AALB	LOC109420934|XP_029710395.1|AEAL, LOC109433097|XP_029710961.1|AEAL
OG0003842	LOC118459052|XP_035777971.1|AALB	LOC109420405|XP_029710801.1|AEAL
OG0003843	LOC118458558|XP_035777093.1|AALB	LOC109621961|XP_029724968.1|AEAL, LOC109415051|XP_029724925.1|AEAL
OG0003844	LOC118457501|XP_035775030.1|AALB	LOC115264941|XP_029724966.1|AEAL, LOC109415049|XP_019544448.1|AEAL, LOC115264931|XP_029724923.1|AEAL
OG0003845	LOC118457660|XP_035775301.1|AALB	LOC109415048|XP_029724917.1|AEAL, LOC109621959|XP_029730036.1|AEAL, LOC109621958|XP_029724960.1|AEAL
OG0003846	LOC118460412|XP_035780592.1|AALB	LOC109621288|XP_019931703.2|AEAL, LOC109404208|XP_019931499.2|AEAL
OG0003847	LOC118460699|XP_035781109.1|AALB	LOC109622032|XP_029725027.1|AEAL, LOC109404214|XP_019532593.2|AEAL
OG0003848	LOC118461871|XP_035783590.1|AALB	LOC109431002|XP_029724880.1|AEAL, LOC115253628|XP_029724856.1|AEAL, LOC109404231|XP_029724937.1|AEAL
OG0003849	LOC118457450|XP_035774939.1|AALB	LOC109400287|XP_029725038.1|AEAL
OG0003850	LOC118456297|XP_035772828.1|AALB	LOC109400335|XP_029724841.1|AEAL
OG0003851	LOC118460436|XP_035780622.1|AALB	LOC109425155|XP_029724812.1|AEAL
OG0003852	LOC118467789|XP_035794558.1|AALB	LOC109429416|XP_019560914.2|AEAL
OG0003853	LOC118461159|XP_035782049.1|AALB	LOC109425132|XP_019555903.2|AEAL
OG0003854	LOC118457893|XP_035775758.1|AALB	LOC109425125|XP_019555867.2|AEAL, LOC109429389|XP_029729527.1|AEAL
OG0003855	LOC118457892|XP_035775754.1|AALB	LOC109429387|XP_029729528.1|AEAL, LOC109425124|XP_029729521.1|AEAL
OG0003856	LOC118459061|XP_035777985.1|AALB	LOC109425079|XP_029729545.1|AEAL, LOC109429386|XP_019560841.2|AEAL
OG0003857	LOC118456685|XP_035773565.1|AALB	LOC109409625|XP_029729470.1|AEAL, LOC109409624|XP_029729489.1|AEAL
OG0003858	LOC118457868|XP_035775665.1|AALB	LOC109413726|XP_029729451.1|AEAL
OG0003859	LOC118456763|XP_035773721.1|AALB	LOC115262903|XP_029721651.1|AEAL, LOC109409334|XP_029715037.1|AEAL, LOC109419092|XP_029729388.1|AEAL
OG0003860	LOC118458084|XP_035776137.1|AALB	LOC109409327|XP_029714843.1|AEAL, LOC109419097|XP_029721650.1|AEAL
OG0003861	LOC118458442|XP_035776817.1|AALB	LOC109419116|XP_019548882.2|AEAL, LOC115258678|XP_029714858.1|AEAL, LOC109409312|XP_019538302.2|AEAL
OG0003862	LOC118457305|XP_035774675.1|AALB	LOC109419117|XP_019548883.2|AEAL, LOC109409311|XP_019538301.2|AEAL
OG0003863	LOC118457303|XP_035774672.1|AALB	LOC109419118|XP_029714850.1|AEAL, LOC115258752|XP_029714992.1|AEAL
OG0003864	LOC118457306|XP_035774682.1|AALB	LOC109409309|XP_029714608.1|AEAL, LOC115258744|XP_029714969.1|AEAL, LOC109419517|XP_019549273.2|AEAL
OG0003865	LOC118461665|XP_035783143.1|AALB	LOC109409304|XP_029714570.1|AEAL, LOC115258768|XP_029715027.1|AEAL, LOC109419519|XP_029718147.1|AEAL
OG0003866	LOC118458230|XP_035776391.1|AALB	LOC115258594|XP_029714709.1|AEAL, LOC109409300|XP_019538287.2|AEAL, LOC109419523|XP_029714816.1|AEAL
OG0003867	LOC118461670|XP_035783151.1|AALB	LOC115254061|XP_029718113.1|AEAL, LOC109409279|XP_029714431.1|AEAL
OG0003868	LOC118457871|XP_035775678.1|AALB	LOC109419602|XP_019549378.2|AEAL
OG0003869	LOC118457467|XP_035774986.1|AALB	LOC109397554|XP_019525401.2|AEAL
OG0003870	LOC118457462|XP_035774960.1|AALB	LOC109397513|XP_029715285.1|AEAL, LOC115253549|XP_029715461.1|AEAL
OG0003871	LOC118457469|XP_035774988.1|AALB	LOC109397526|XP_029714707.1|AEAL, LOC109622825|XP_029714687.1|AEAL
OG0003872	LOC118456764|XP_035773724.1|AALB	LOC109397534|XP_019525381.1|AEAL, LOC109622811|XP_019932812.1|AEAL, LOC115258687|XP_029714872.1|AEAL
OG0003873	LOC118457997|XP_035775966.1|AALB	LOC109397538|XP_019525385.3|AEAL, LOC115254017|XP_029714789.1|AEAL, LOC109621501|XP_019931091.2|AEAL
OG0003874	LOC118459684|XP_035779208.1|AALB	LOC109621236|XP_029721604.1|AEAL, LOC115258681|XP_029714863.1|AEAL, LOC109397569|XP_029714519.1|AEAL
OG0003875	LOC118459690|XP_035779218.1|AALB	LOC109397563|XP_019525407.2|AEAL, LOC115262870|XP_029721603.1|AEAL, LOC109622806|XP_019932806.2|AEAL
OG0003876	LOC118456185|XP_035772632.1|AALB	LOC109404395|XP_019532791.2|AEAL
OG0003877	LOC118459216|XP_035778290.1|AALB	LOC109404942|XP_029714790.1|AEAL, LOC109398645|XP_019526576.2|AEAL
OG0003878	LOC118468473|XP_035795184.1|AALB	LOC109404731|XP_019533203.2|AEAL, LOC109398621|XP_019526546.2|AEAL
OG0003879	LOC118468476|XP_035795187.1|AALB	LOC109404765|XP_019533253.2|AEAL
OG0003880	LOC118468678|XP_035795674.1|AALB	LOC109398650|XP_029714781.1|AEAL, LOC115258609|XP_029714759.1|AEAL, LOC109404828|XP_029714754.1|AEAL
OG0003881	LOC118459049|XP_035777966.1|AALB	LOC115258637|XP_029714797.1|AEAL, LOC109398726|XP_029714690.1|AEAL, LOC109406705|XP_029714548.1|AEAL
OG0003882	LOC118460718|XP_035781155.1|AALB	LOC115258883|XP_029715183.1|AEAL, LOC109406808|XP_029715067.1|AEAL
OG0003883	LOC118459132|XP_035778100.1|AALB	LOC115258619|XP_029714769.1|AEAL, LOC115258472|XP_029714448.1|AEAL, LOC115258462|XP_029714433.1|AEAL, LOC109406828|XP_029715284.1|AEAL
OG0003884	LOC118458891|XP_035777736.1|AALB	LOC109406857|XP_029723183.1|AEAL, LOC109398692|XP_019526609.2|AEAL
OG0003885	LOC118457235|XP_035774508.1|AALB	LOC109406886|XP_029714904.1|AEAL, LOC109398718|XP_029723169.1|AEAL, LOC115257348|XP_029712674.1|AEAL
OG0003886	LOC118457233|XP_035774505.1|AALB	LOC109398687|XP_019526606.1|AEAL, LOC115264010|XP_029723184.1|AEAL
OG0003887	LOC118468883|XP_035796068.1|AALB	LOC109406991|XP_029709881.1|AEAL, LOC109398712|XP_029723182.1|AEAL, LOC115254227|XP_029733875.1|AEAL
OG0003888	LOC118456889|XP_035773903.1|AALB	LOC109407203|XP_029714672.1|AEAL, LOC109405865|XP_029716570.1|AEAL
OG0003889	LOC118460113|XP_035780041.1|AALB	LOC109414293|XP_019543652.2|AEAL
OG0003890	LOC118458901|XP_035777753.1|AALB	LOC115258711|XP_029714928.1|AEAL, LOC109414321|XP_019543684.2|AEAL, LOC109407252|XP_019535804.1|AEAL
OG0003891	LOC118458896|XP_035777745.1|AALB	LOC109407253|XP_029714712.1|AEAL, LOC109414322|XP_029714803.1|AEAL, LOC115258947|XP_029715325.1|AEAL
OG0003892	LOC118459777|XP_035779385.1|AALB	LOC115253843|XP_029714507.1|AEAL, LOC109414325|XP_029715332.1|AEAL, LOC109407257|XP_029714596.1|AEAL
OG0003893	LOC118460629|XP_035780971.1|AALB	LOC109414334|XP_029714877.1|AEAL, LOC115258667|XP_029714844.1|AEAL
OG0003894	LOC118460631|XP_035780978.1|AALB	LOC109414337|XP_019543700.1|AEAL, LOC115253734|XP_029714760.1|AEAL, LOC109424218|XP_029714555.1|AEAL
OG0003895	LOC118458295|XP_035776512.1|AALB	LOC109420917|XP_029714882.1|AEAL, LOC109412677|XP_029720670.1|AEAL, LOC115267671|XP_029730685.1|AEAL
OG0003896	LOC118461886|XP_035783627.1|AALB	LOC109412669|XP_029720663.1|AEAL, LOC115253569|XP_029730689.1|AEAL
OG0003898	LOC118459234|XP_035778325.1|AALB	LOC115262409|XP_029720646.1|AEAL, LOC109412698|XP_019541865.2|AEAL, LOC109420904|XP_019550932.1|AEAL
OG0003899	LOC118459779|XP_035779388.1|AALB	LOC109420973|XP_029714739.1|AEAL, LOC109428463|XP_029714738.1|AEAL
OG0003900	LOC118458388|XP_035776691.1|AALB	LOC109428851|XP_029715312.1|AEAL, LOC109421018|XP_029714617.1|AEAL
OG0003901	LOC118468335|XP_035794978.1|AALB	LOC115264813|XP_029724669.1|AEAL, LOC115258597|XP_029714710.1|AEAL
OG0003902	LOC118458387|XP_035776690.1|AALB	LOC109428855|XP_019560237.2|AEAL, LOC115264812|XP_029724667.1|AEAL, LOC109421019|XP_029714866.1|AEAL
OG0003903	LOC118458390|XP_035776695.1|AALB	LOC109428884|XP_029724668.1|AEAL, LOC109421022|XP_029715226.1|AEAL
OG0003904	LOC118458389|XP_035776694.1|AALB	LOC109421021|XP_019551052.2|AEAL, LOC109428872|XP_019560259.2|AEAL
OG0003905	LOC118457521|XP_035775059.1|AALB	LOC115258550|XP_029714567.1|AEAL, LOC109428908|XP_029724672.1|AEAL
OG0003907	LOC118456908|XP_035773927.1|AALB	LOC115253502|XP_029710045.1|AEAL, LOC109421066|XP_019551104.2|AEAL, LOC109429208|XP_019560646.2|AEAL
OG0003908	LOC118456911|XP_035773930.1|AALB	LOC109421041|XP_019551075.2|AEAL, LOC109429228|XP_019560675.1|AEAL, LOC115258570|XP_029714616.1|AEAL
OG0003909	LOC118461243|XP_035782236.1|AALB	LOC109405615|XP_029714537.1|AEAL
OG0003910	LOC118461246|XP_035782252.1|AALB	LOC109416534|XP_019546157.2|AEAL
OG0003911	LOC118468958|XP_035796214.1|AALB	LOC115258629|XP_029714791.1|AEAL, LOC109405693|XP_019534298.2|AEAL
OG0003912	LOC118460999|XP_035781717.1|AALB	LOC115258509|XP_029714490.1|AEAL, LOC109410195|XP_029714495.1|AEAL, LOC109405687|XP_029715299.1|AEAL
OG0003913	LOC118460659|XP_035781018.1|AALB	LOC109410247|XP_029714497.1|AEAL, LOC115267403|XP_029730244.1|AEAL, LOC109405692|XP_029715109.1|AEAL
OG0003914	LOC118461750|XP_035783358.1|AALB	LOC115258891|XP_029715206.1|AEAL, LOC109417528|XP_029714594.1|AEAL, LOC109410214|XP_019539282.2|AEAL
OG0003915	LOC118461751|XP_035783359.1|AALB	LOC115258892|XP_029715207.1|AEAL, LOC109417526|XP_019547142.1|AEAL, LOC109410208|XP_019539278.2|AEAL
OG0003916	LOC118457746|XP_035775452.1|AALB	LOC115263023|XP_029721814.1|AEAL, LOC109417537|XP_019547158.1|AEAL, LOC115266747|XP_029729140.1|AEAL
OG0003917	LOC118461167|XP_035782060.1|AALB	LOC115255418|XP_029709396.1|AEAL, LOC109410237|XP_029709514.1|AEAL, LOC109417635|XP_029709389.1|AEAL
OG0003918	LOC118461476|XP_035782726.1|AALB	LOC115256961|XP_029712032.1|AEAL, LOC109417653|XP_019547251.1|AEAL, LOC109622148|XP_019931925.2|AEAL
OG0003919	LOC118462056|XP_035783935.1|AALB	LOC109417552|XP_029709331.1|AEAL, LOC109622156|XP_029709321.1|AEAL
OG0003920	LOC118457988|XP_035775945.1|AALB	LOC109622778|XP_019932769.1|AEAL, LOC109417667|XP_019547262.1|AEAL
OG0003921	LOC118468879|XP_035796056.1|AALB	LOC109417683|XP_029709282.1|AEAL, LOC109622172|XP_029709292.1|AEAL, LOC115255395|XP_029709319.1|AEAL
OG0003922	LOC118459771|XP_035779373.1|AALB	LOC115255381|XP_029709289.1|AEAL, LOC109417684|XP_019547290.2|AEAL, LOC115255376|XP_029709278.1|AEAL
OG0003923	LOC118467487|XP_035793925.1|AALB	LOC109416842|XP_029709256.1|AEAL, LOC109417690|XP_029709238.1|AEAL, LOC115253945|XP_029709236.1|AEAL
OG0003925	LOC118461708|XP_035783227.1|AALB	LOC115253783|XP_029709222.1|AEAL, LOC115253661|XP_029709195.1|AEAL, LOC109417703|XP_019547331.2|AEAL
OG0003926	LOC118456820|XP_035773806.1|AALB	LOC115255337|XP_029709214.1|AEAL, LOC109417708|XP_019547338.1|AEAL, LOC115253943|XP_029709207.1|AEAL
OG0003927	LOC118457694|XP_035775360.1|AALB	LOC109417719|XP_029709183.1|AEAL
OG0003928	LOC118461428|XP_035782629.1|AALB	LOC109420032|XP_019549889.2|AEAL
OG0003929	LOC118460112|XP_035780039.1|AALB	LOC109417750|XP_019547423.2|AEAL, LOC109420019|XP_029709139.1|AEAL, LOC115255486|XP_029709471.1|AEAL
OG0003930	LOC118457669|XP_035775318.1|AALB	LOC109417755|XP_029709134.1|AEAL, LOC115255270|XP_029709092.1|AEAL, LOC109420015|XP_029709122.1|AEAL
OG0003931	LOC118457664|XP_035775310.1|AALB	LOC109420008|XP_029709083.1|AEAL, LOC115253941|XP_029709125.1|AEAL, LOC109417759|XP_029709111.1|AEAL
OG0003932	LOC118457862|XP_035775652.1|AALB	LOC109419403|XP_029709065.1|AEAL
OG0003933	LOC118461446|XP_035782660.1|AALB	LOC115255210|XP_029709013.1|AEAL, LOC109397495|XP_029709001.1|AEAL, LOC115255185|XP_029708979.1|AEAL
OG0003934	LOC118461448|XP_035782662.1|AALB	LOC115254897|XP_029708439.1|AEAL, LOC109397497|XP_029708435.1|AEAL, LOC115254896|XP_029708438.1|AEAL
OG0003935	LOC118459321|XP_035778465.1|AALB	LOC109419966|XP_019549800.2|AEAL, LOC115255188|XP_029708989.1|AEAL
OG0003936	LOC118459328|XP_035778477.1|AALB	LOC115254894|XP_029708437.1|AEAL, LOC109419967|XP_019549802.1|AEAL
OG0003937	LOC118459297|XP_035778437.1|AALB	LOC109419957|XP_029708955.1|AEAL
OG0003938	LOC118460336|XP_035780445.1|AALB	LOC109419953|XP_029708954.1|AEAL, LOC109417546|XP_029715584.1|AEAL, LOC115255463|XP_029709447.1|AEAL
OG0003939	LOC118461443|XP_035782654.1|AALB	LOC109417517|XP_019547143.2|AEAL, LOC115255169|XP_029708950.1|AEAL, LOC109419951|XP_029708931.1|AEAL
OG0003940	LOC118461447|XP_035782661.1|AALB	LOC109417493|XP_019547118.2|AEAL, LOC109419950|XP_029708930.1|AEAL, LOC115253435|XP_029715583.1|AEAL
OG0003941	LOC118461584|XP_035782967.1|AALB	LOC109417504|XP_029708929.1|AEAL, LOC109419921|XP_019549744.2|AEAL
OG0003942	LOC118457684|XP_035775341.1|AALB	LOC109419928|XP_029708934.1|AEAL, LOC109420729|XP_029708907.1|AEAL
OG0003943	LOC118468577|XP_035795402.1|AALB	LOC109420722|XP_029708888.1|AEAL, LOC109419889|XP_029715704.1|AEAL, LOC109419887|XP_019549721.1|AEAL
OG0003944	LOC118467008|XP_035792848.1|AALB	LOC109420700|XP_019550697.1|AEAL, LOC115255131|XP_029708864.1|AEAL, LOC115255129|XP_029708862.1|AEAL, LOC109414276|XP_019543644.1|AEAL
OG0003945	LOC118460001|XP_035779811.1|AALB	LOC109420692|XP_019550676.2|AEAL
OG0003946	LOC118461729|XP_035783309.1|AALB	LOC115264418|XP_029723946.1|AEAL
OG0003947	LOC118458892|XP_035777738.1|AALB	LOC109420675|XP_029708744.1|AEAL
OG0003948	LOC118459246|XP_035778347.1|AALB	LOC115255104|XP_029708759.1|AEAL, LOC109420665|XP_019550630.1|AEAL
OG0003949	LOC118457277|XP_035774578.1|AALB	LOC109420662|XP_029708760.1|AEAL
OG0003950	LOC118456774|XP_035773743.1|AALB	LOC109420653|XP_019550566.2|AEAL, LOC115268896|XP_029732957.1|AEAL
OG0003951	LOC118460839|XP_035781414.1|AALB	LOC109429459|XP_029708734.1|AEAL, LOC109420651|XP_029708811.1|AEAL
OG0003952	LOC118459148|XP_035778126.1|AALB	LOC109420642|XP_029708741.1|AEAL
OG0003953	LOC118456250|XP_035772739.1|AALB	LOC115255088|XP_029708733.1|AEAL, LOC109407734|XP_029708721.1|AEAL
OG0003954	LOC118458653|XP_035777236.1|AALB	LOC109420549|XP_029718263.1|AEAL, LOC115255079|XP_029708713.1|AEAL, LOC115261045|XP_029718265.1|AEAL
OG0003956	LOC118468849|XP_035795985.1|AALB	LOC109417064|XP_029708693.1|AEAL
OG0003957	LOC118456803|XP_035773783.1|AALB	LOC109407366|XP_029709427.1|AEAL
OG0003958	LOC118458800|XP_035777539.1|AALB	LOC115255429|XP_029709420.1|AEAL, LOC109407439|XP_019536033.1|AEAL, LOC115255067|XP_029708689.1|AEAL, LOC109420522|XP_019550436.2|AEAL
OG0003959	LOC118456753|XP_035773706.1|AALB	LOC109419740|XP_029708595.1|AEAL
OG0003960	LOC118461410|XP_035782586.1|AALB	LOC115255041|XP_029708627.1|AEAL, LOC109419761|XP_019549584.2|AEAL
OG0003961	LOC118457702|XP_035775374.1|AALB	LOC109419770|XP_029732975.1|AEAL, LOC109398247|XP_029708618.1|AEAL
OG0003962	LOC118460119|XP_035780051.1|AALB	LOC109419773|XP_029708623.1|AEAL, LOC109398260|XP_029708577.1|AEAL
OG0003963	LOC118459660|XP_035779153.1|AALB	LOC109402097|XP_029708554.1|AEAL, LOC115254980|XP_029708532.1|AEAL
OG0003964	LOC118456336|XP_035772886.1|AALB	LOC115254972|XP_029708523.1|AEAL, LOC115254988|XP_029708538.1|AEAL, LOC109402112|XP_019530281.2|AEAL
OG0003965	LOC118459909|XP_035779634.1|AALB	LOC109431811|XP_029708486.1|AEAL
OG0003966	LOC118458655|XP_035777237.1|AALB	LOC109431818|XP_029722655.1|AEAL, LOC109431824|XP_029708481.1|AEAL
OG0003967	LOC118460820|XP_035781333.1|AALB	LOC115253821|XP_029708456.1|AEAL, LOC109427547|XP_019558664.1|AEAL
OG0003968	LOC118456983|XP_035774081.1|AALB	LOC115254943|XP_029708461.1|AEAL, LOC109427597|XP_019558734.1|AEAL
OG0003969	LOC118468505|XP_035795233.1|AALB	LOC115262467|XP_029720735.1|AEAL, LOC109427761|XP_029732789.1|AEAL
OG0003970	LOC118456353|XP_035772907.1|AALB	LOC115266821|XP_029729280.1|AEAL, LOC109430180|XP_019561779.2|AEAL
OG0003971	LOC118460558|XP_035780848.1|AALB	LOC109430170|XP_029727435.1|AEAL, LOC115264870|XP_029724762.1|AEAL
OG0003972	LOC118460560|XP_035780854.1|AALB	LOC109430172|XP_029724763.1|AEAL
OG0003973	LOC118460934|XP_035781590.1|AALB	LOC109432568|XP_019564457.2|AEAL
OG0003974	LOC118456202|XP_035772660.1|AALB	LOC109427579|XP_019558702.2|AEAL, LOC109432750|XP_029727426.1|AEAL
OG0003975	LOC118461939|XP_035783707.1|AALB	LOC109621234|XP_029715767.1|AEAL, LOC109427584|XP_019558713.3|AEAL
OG0003976	LOC118459088|XP_035778046.1|AALB	LOC109416254|XP_019545817.2|AEAL
OG0003977	LOC118459092|XP_035778050.1|AALB	LOC109423962|XP_019554577.2|AEAL
OG0003978	LOC118457536|XP_035775081.1|AALB	LOC109416259|XP_029727378.1|AEAL
OG0003979	LOC118460939|XP_035781595.1|AALB	LOC109430997|XP_029727668.1|AEAL, LOC115265622|XP_029727339.1|AEAL, LOC109423947|XP_019554557.2|AEAL
OG0003980	LOC118460935|XP_035781591.1|AALB	LOC109423944|XP_029727337.1|AEAL, LOC115265635|XP_029727366.1|AEAL, LOC109430987|XP_029727350.1|AEAL
OG0003981	LOC118457433|XP_035774911.1|AALB	LOC109423943|XP_019554553.1|AEAL, LOC115265634|XP_029727364.1|AEAL, LOC109430988|XP_029727334.1|AEAL
OG0003982	LOC118457436|XP_035774917.1|AALB	LOC109423941|XP_019554552.2|AEAL, LOC115265626|XP_029727351.1|AEAL, LOC109431003|XP_019562672.2|AEAL
OG0003983	LOC118457437|XP_035774919.1|AALB	LOC109430999|XP_029727330.1|AEAL, LOC109423940|XP_019554551.2|AEAL, LOC115265632|XP_029727361.1|AEAL
OG0003984	LOC118460301|XP_035780397.1|AALB	LOC109404786|XP_029727252.1|AEAL, LOC109423912|XP_029727289.1|AEAL
OG0003985	LOC118460300|XP_035780396.1|AALB	LOC109404787|XP_029727285.1|AEAL, LOC109423910|XP_029727246.1|AEAL
OG0003986	LOC118459125|XP_035778087.1|AALB	LOC109621623|XP_029727210.1|AEAL, LOC115265605|XP_029727223.1|AEAL
OG0003987	LOC118462016|XP_035783858.1|AALB	LOC109621667|XP_029727222.1|AEAL
OG0003988	LOC118459247|XP_035778350.1|AALB	LOC115268897|XP_029732958.1|AEAL, LOC109421661|XP_029727198.1|AEAL
OG0003989	LOC118461960|XP_035783755.1|AALB	LOC109421657|XP_019551725.2|AEAL
OG0003990	LOC118468329|XP_035794969.1|AALB	LOC109407327|XP_019535865.1|AEAL
OG0003991	LOC118467379|XP_035793708.1|AALB	LOC109421643|XP_029727141.1|AEAL
OG0003992	LOC118467431|XP_035793818.1|AALB	LOC109407320|XP_019535859.2|AEAL
OG0003993	LOC118456603|XP_035773396.1|AALB	LOC109407357|XP_029727136.1|AEAL
OG0003994	LOC118460716|XP_035781153.1|AALB	LOC109407309|XP_019535844.2|AEAL, LOC109421627|XP_029727164.1|AEAL
OG0003995	LOC118468601|XP_035795480.1|AALB	LOC109409185|XP_019538155.2|AEAL, LOC115265574|XP_029727068.1|AEAL
OG0003996	LOC118458223|XP_035776380.1|AALB	LOC109421490|XP_019551529.2|AEAL
OG0003997	LOC118457915|XP_035775809.1|AALB	LOC109409178|XP_019538144.1|AEAL
OG0003998	LOC118468332|XP_035794972.1|AALB	LOC109409124|XP_029727084.1|AEAL
OG0003999	LOC118458121|XP_035776188.1|AALB	LOC109421519|XP_019551574.2|AEAL
OG0004000	LOC118457239|XP_035774513.1|AALB	LOC109622955|XP_029717234.1|AEAL, LOC109421499|XP_019551536.3|AEAL
OG0004001	LOC118459413|XP_035778608.1|AALB	LOC109421448|XP_019551486.2|AEAL, LOC109432535|XP_019564410.2|AEAL
OG0004002	LOC118459843|XP_035779504.1|AALB	LOC109432548|XP_019564435.1|AEAL, LOC115265515|XP_029726863.1|AEAL
OG0004003	LOC118460000|XP_035779807.1|AALB	LOC109432543|XP_029726887.1|AEAL, LOC109421420|XP_029727031.1|AEAL
OG0004004	LOC118460002|XP_035779808.1|AALB	LOC115265568|XP_029727045.1|AEAL, LOC109432566|XP_029726900.1|AEAL
OG0004005	LOC118460003|XP_035779809.1|AALB	LOC109432539|XP_029726902.1|AEAL, LOC109421413|XP_029727046.1|AEAL
