Orthogroup	DBUS.longest_only	CQUI.longest_only
OG0003187	LOC108604967|XP_017850025.1|DBUS, LOC108601165|XP_017844590.2|DBUS	LOC6042170|XP_038108840.1|CQUI
OG0003188	LOC108604457|XP_017849426.1|DBUS	LOC6034656|XP_038107763.1|CQUI
OG0003189	LOC108598626|XP_017840814.1|DBUS	LOC6048568|XP_001865472.1|CQUI
OG0003190	LOC108597467|XP_017839529.1|DBUS	LOC6032287|XP_001842923.2|CQUI
OG0003191	LOC108600123|XP_017842995.1|DBUS	LOC6038344|XP_001848159.2|CQUI
OG0003192	LOC108600803|XP_017844075.2|DBUS	LOC6054191|XP_038108956.1|CQUI
OG0003193	LOC108594360|XP_017835007.1|DBUS	LOC6042359|XP_001851487.1|CQUI
OG0003194	LOC108598424|XP_017840539.1|DBUS	LOC6044038|XP_038109455.1|CQUI
OG0003195	LOC108604005|XP_033149781.1|DBUS, LOC108604004|XP_017848732.1|DBUS	LOC6052258|XP_001868553.1|CQUI
OG0003196	LOC108599126|XP_017841405.2|DBUS	LOC6052255|XP_001868552.2|CQUI
OG0003197	LOC108600177|XP_017843073.2|DBUS	LOC6045111|XP_038108110.1|CQUI
OG0003198	LOC108605891|XP_017851194.1|DBUS	LOC6051795|XP_038113485.1|CQUI
OG0003199	LOC108599694|XP_017842179.1|DBUS	LOC6040404|XP_038112754.1|CQUI
OG0003200	LOC108597090|XP_017838941.1|DBUS	LOC6046500|XP_038108225.1|CQUI
OG0003201	LOC108596733|XP_017838275.1|DBUS	LOC6042198|XP_038111088.1|CQUI
OG0003202	LOC108600487|XP_017843603.1|DBUS	LOC6043071|XP_038108375.1|CQUI
OG0003203	LOC108597082|XP_017838907.1|DBUS	LOC6054789|XP_038110535.1|CQUI
OG0003204	LOC108603383|XP_017847643.2|DBUS	LOC119767949|XP_038113945.1|CQUI
OG0003205	LOC108596565|XP_017837957.1|DBUS	LOC6052262|XP_001868546.2|CQUI
OG0003206	LOC108596103|XP_017837012.1|DBUS	LOC6049228|XP_001866026.2|CQUI
OG0003207	LOC108604516|XP_017849509.1|DBUS	LOC119768034|XP_038114257.1|CQUI, LOC6037430|XP_038109354.1|CQUI
OG0003208	LOC108599189|XP_017841474.1|DBUS	LOC6037436|XP_001847350.2|CQUI
OG0003209	LOC108595280|XP_017835982.1|DBUS	LOC6053823|XP_001869839.2|CQUI
OG0003210	LOC108602471|XP_017846084.1|DBUS	LOC6049135|XP_038112475.1|CQUI
OG0003211	LOC108595689|XP_017836459.1|DBUS	LOC6045881|XP_001863164.2|CQUI
OG0003212	LOC108604520|XP_017849518.1|DBUS	LOC6036304|XP_038118824.1|CQUI
OG0003213	LOC108595707|XP_017836480.1|DBUS	LOC6052333|XP_001868616.2|CQUI
OG0003214	LOC108596863|XP_017838500.1|DBUS	LOC6037463|XP_038114303.1|CQUI
OG0003215	LOC108595214|XP_017835890.1|DBUS	LOC119767550|XP_038112322.1|CQUI
OG0003216	LOC108594652|XP_033149224.1|DBUS	LOC6051762|XP_038109754.1|CQUI
OG0003217	LOC108595604|XP_017836359.1|DBUS	LOC6037639|XP_038113324.1|CQUI
OG0003218	LOC108600559|XP_017843711.1|DBUS	LOC6053121|XP_038112153.1|CQUI
OG0003219	LOC108600687|XP_017843888.2|DBUS	LOC6037686|XP_038107546.1|CQUI
OG0003220	LOC108607793|XP_017854322.1|DBUS	LOC6034526|XP_038110313.1|CQUI
OG0003221	LOC108606429|XP_017852030.1|DBUS	LOC6034550|XP_001844850.2|CQUI
OG0003222	LOC108597766|XP_017839967.1|DBUS	LOC6034559|XP_001844858.2|CQUI
OG0003223	LOC108596795|XP_017838387.1|DBUS	LOC6037228|XP_038110852.1|CQUI
OG0003224	LOC108596287|XP_033149071.1|DBUS	LOC6040557|XP_038113288.1|CQUI
OG0003225	LOC108607456|XP_033149873.1|DBUS	LOC119766293|XP_038106681.1|CQUI, LOC6032492|XP_038106682.1|CQUI
OG0003229	LOC108600069|XP_017842912.1|DBUS	LOC6034190|XP_001844545.1|CQUI
OG0003250	LOC108603883|XP_017848544.1|DBUS	LOC6038172|XP_038104726.1|CQUI
OG0003251	LOC108604527|XP_017849527.2|DBUS	LOC6038177|XP_038104725.1|CQUI
OG0003252	LOC108601357|XP_017844745.1|DBUS	LOC6048862|XP_001865710.2|CQUI
OG0003253	LOC108604633|XP_017849671.1|DBUS	LOC6044318|XP_001861850.2|CQUI
OG0003254	LOC108604677|XP_017849721.1|DBUS	LOC6035097|XP_001845333.2|CQUI
OG0003255	LOC108601930|XP_017845396.1|DBUS	LOC6035087|XP_001845326.2|CQUI
OG0003256	LOC108604632|XP_017849669.1|DBUS	LOC6042743|XP_001870755.2|CQUI
OG0003257	LOC108606040|XP_033150436.1|DBUS	LOC6041677|XP_038105501.1|CQUI
OG0003258	LOC108607119|XP_017853241.1|DBUS	LOC6038174|XP_001848005.2|CQUI
OG0003259	LOC108606668|XP_017852487.2|DBUS	LOC6038186|XP_038111880.1|CQUI
OG0003260	LOC108605543|XP_017850784.2|DBUS	LOC6044325|XP_038104013.1|CQUI
OG0003261	LOC108602216|XP_017845884.2|DBUS	LOC6046427|XP_038112658.1|CQUI
OG0003262	LOC108603952|XP_017848634.1|DBUS	LOC6051950|XP_038105187.1|CQUI
OG0003263	LOC108605550|XP_017850800.1|DBUS	LOC6041764|XP_038116872.1|CQUI
OG0003264	LOC108607171|XP_017853313.1|DBUS	LOC6035158|XP_038122479.1|CQUI
OG0003265	LOC108608407|XP_017855254.2|DBUS	LOC6053092|XP_038104064.1|CQUI
OG0003266	LOC108607554|XP_017853934.1|DBUS	LOC6048965|XP_038114332.1|CQUI
OG0003267	LOC108607274|XP_033150374.1|DBUS	LOC6045731|XP_038120606.1|CQUI
OG0003268	LOC108603391|XP_017847652.1|DBUS	LOC6042708|XP_038115333.1|CQUI
OG0003269	LOC108603036|XP_017846943.1|DBUS	LOC6042707|XP_001870724.1|CQUI
OG0003270	LOC108601098|XP_017844502.1|DBUS	LOC6042705|XP_038112950.1|CQUI
OG0003271	LOC108607413|XP_017853692.1|DBUS	LOC6048855|XP_038122756.1|CQUI
OG0003272	LOC108606749|XP_017852637.1|DBUS	LOC6045821|XP_038110841.1|CQUI
OG0003273	LOC108596189|XP_017837193.1|DBUS	LOC6042713|XP_001870730.2|CQUI
OG0003274	LOC108606692|XP_017852542.2|DBUS	LOC6037929|XP_038104602.1|CQUI
OG0003275	LOC108600150|XP_017843034.1|DBUS	LOC6047967|XP_038105614.1|CQUI
OG0003276	LOC108604704|XP_017849755.1|DBUS	LOC6044976|XP_001862398.2|CQUI
OG0003277	LOC108595889|XP_017836667.1|DBUS	LOC6047047|XP_038104678.1|CQUI
OG0003278	LOC108604488|XP_017849469.1|DBUS	LOC6043390|XP_038104515.1|CQUI
OG0003279	LOC108605293|XP_033150155.1|DBUS	LOC6043402|XP_038104861.1|CQUI
OG0003281	LOC108601854|XP_017845294.1|DBUS	LOC6051867|XP_038122487.1|CQUI
OG0003282	LOC108605250|XP_017850358.1|DBUS	LOC6046910|XP_038104714.1|CQUI
OG0003283	LOC108594278|XP_017834902.1|DBUS	LOC6049215|XP_038104174.1|CQUI
OG0003284	LOC108607088|XP_017853200.1|DBUS	LOC6045227|XP_001862603.1|CQUI
OG0003285	LOC108603692|XP_017848204.1|DBUS	LOC6040443|XP_001849833.1|CQUI
OG0003286	LOC108604486|XP_017849464.1|DBUS	LOC6040797|XP_038122603.1|CQUI
OG0003287	LOC108599414|XP_017841722.2|DBUS	LOC6034956|XP_001845212.1|CQUI, LOC6037961|XP_038104479.1|CQUI
OG0003289	LOC108595663|XP_017836431.1|DBUS	LOC119765512|XP_038105437.1|CQUI
OG0003290	LOC108604419|XP_017849374.1|DBUS	LOC6051120|XP_001867604.2|CQUI
OG0003291	LOC108600816|XP_017844090.1|DBUS	LOC6041038|XP_001850349.2|CQUI, LOC6052656|XP_001868890.2|CQUI
OG0003292	LOC108607146|XP_017853277.1|DBUS	LOC6052272|XP_038104143.1|CQUI
OG0003293	LOC108605138|XP_017850198.1|DBUS	LOC6044374|XP_038104790.1|CQUI
OG0003294	LOC108597717|XP_017839897.1|DBUS	LOC6045679|XP_038122680.1|CQUI
OG0003295	LOC108606391|XP_017851950.1|DBUS	LOC6047712|XP_038105249.1|CQUI
OG0003296	LOC108602718|XP_017846362.1|DBUS	LOC119769394|XP_038117487.1|CQUI
OG0003297	LOC108604235|XP_017849094.1|DBUS	LOC6053528|XP_038104050.1|CQUI
OG0003298	LOC108607017|XP_033150236.1|DBUS	LOC6044791|XP_038104898.1|CQUI
OG0003299	LOC108601679|XP_017845077.1|DBUS	LOC6051621|XP_038123026.1|CQUI
OG0003300	LOC108603963|XP_017848653.1|DBUS	LOC6052939|XP_038105716.1|CQUI
OG0003301	LOC108596379|XP_017837538.1|DBUS	LOC6034320|XP_001844653.2|CQUI
OG0003302	LOC108605483|XP_017850665.2|DBUS	LOC119769388|XP_038117434.1|CQUI
OG0003303	LOC108596101|XP_017837010.1|DBUS	LOC6048458|XP_001865376.2|CQUI
OG0003304	LOC108603244|XP_017847360.1|DBUS	LOC6035163|XP_038105726.1|CQUI
OG0003305	LOC108606386|XP_033150462.1|DBUS	LOC6040796|XP_038107449.1|CQUI
OG0003306	LOC108597732|XP_017839915.1|DBUS	LOC119771120|XP_038122447.1|CQUI, LOC6036963|XP_001846930.2|CQUI
OG0003307	LOC108606459|XP_017852064.1|DBUS	LOC6041286|XP_038118761.1|CQUI
OG0003308	LOC108599802|XP_017842367.2|DBUS	LOC6041274|XP_038111355.1|CQUI
OG0003309	LOC108606260|XP_017851705.2|DBUS	LOC6046401|XP_038104328.1|CQUI
OG0003310	LOC108605174|XP_017850249.1|DBUS	LOC6049179|XP_001865984.2|CQUI
OG0003311	LOC108602029|XP_017845521.1|DBUS	LOC6040799|XP_001850138.2|CQUI
OG0003312	LOC108601397|XP_017844786.1|DBUS	LOC6038455|XP_001848252.2|CQUI
OG0003313	LOC108605725|XP_017851006.1|DBUS	LOC119770166|XP_038120773.1|CQUI
OG0003314	LOC108597528|XP_017839615.1|DBUS	LOC119769656|XP_038119124.1|CQUI
OG0003315	LOC108605158|XP_017850226.1|DBUS	LOC6045637|XP_038104047.1|CQUI
OG0003316	LOC108604799|XP_017849888.1|DBUS	LOC6046923|XP_038104731.1|CQUI
OG0003318	LOC108603012|XP_017846897.1|DBUS	LOC6046383|XP_038121783.1|CQUI
OG0003319	LOC108604252|XP_017849123.1|DBUS	LOC6050261|XP_038117527.1|CQUI
OG0003320	LOC108603827|XP_017848447.1|DBUS	LOC6050925|XP_038107496.1|CQUI
OG0003321	LOC108603661|XP_017848138.1|DBUS	LOC6050923|XP_038104096.1|CQUI
OG0003322	LOC108603689|XP_017848200.1|DBUS	LOC6050928|XP_001867444.2|CQUI
OG0003323	LOC108605484|XP_017850667.1|DBUS	LOC6053136|XP_038104993.1|CQUI, LOC6053138|XP_038104727.1|CQUI
OG0003324	LOC108606872|XP_017852877.1|DBUS	LOC6044766|XP_038105505.1|CQUI
OG0003325	LOC108602698|XP_017846334.1|DBUS	LOC6054667|XP_038122729.1|CQUI
OG0003326	LOC108606519|XP_017852181.1|DBUS	LOC6052313|XP_001868606.2|CQUI
OG0003327	LOC108607419|XP_017853704.1|DBUS	LOC6054823|XP_038117070.1|CQUI
OG0003328	LOC108605287|XP_017850423.1|DBUS	LOC6045240|XP_038105004.1|CQUI
OG0003329	LOC108604067|XP_017848820.1|DBUS	LOC6045236|XP_038104816.1|CQUI
OG0003330	LOC108600706|XP_017843924.1|DBUS	LOC6049097|XP_001865912.2|CQUI
OG0003331	LOC108605101|XP_017850153.1|DBUS	LOC6039046|XP_038105147.1|CQUI
OG0003332	LOC108606555|XP_017852245.1|DBUS	LOC6045134|XP_001862536.1|CQUI
OG0003333	LOC108604353|XP_017849276.1|DBUS	LOC6046168|XP_038108595.1|CQUI
OG0003334	LOC108604576|XP_017849596.1|DBUS	LOC6053762|XP_038105116.1|CQUI
OG0003335	LOC108603990|XP_017848708.1|DBUS	LOC6053764|XP_038105798.1|CQUI
OG0003336	LOC108602894|XP_017846693.1|DBUS	LOC6049475|XP_038104934.1|CQUI
OG0003337	LOC108604279|XP_017849172.1|DBUS	LOC6038463|XP_038122611.1|CQUI, LOC6045749|XP_038120681.1|CQUI
OG0003338	LOC108602182|XP_017845710.1|DBUS	LOC6038468|XP_001848265.2|CQUI
OG0003339	LOC108602817|XP_017846537.1|DBUS	LOC6042693|XP_038104736.1|CQUI
OG0003340	LOC108602822|XP_017846543.1|DBUS	LOC6042694|XP_038104608.1|CQUI
OG0003341	LOC108605765|XP_017851056.1|DBUS	LOC6042505|XP_001851719.2|CQUI
OG0003342	LOC108605270|XP_017850386.1|DBUS	LOC6042500|XP_001851692.2|CQUI
OG0003343	LOC108605365|XP_033150274.1|DBUS	LOC6047403|XP_038121381.1|CQUI, LOC6047404|XP_038105604.1|CQUI
OG0003344	LOC108608261|XP_017855042.2|DBUS	LOC6046229|XP_038115211.1|CQUI
OG0003345	LOC108606747|XP_033150179.1|DBUS	LOC119767346|XP_038111667.1|CQUI
OG0003346	LOC108603991|XP_017848709.1|DBUS	LOC6045625|XP_001862961.2|CQUI
OG0003347	LOC108602425|XP_017846029.1|DBUS	LOC6054237|XP_038111943.1|CQUI
OG0003348	LOC108604439|XP_017849405.1|DBUS	LOC6045000|XP_038104115.1|CQUI
OG0003349	LOC108607048|XP_017853145.1|DBUS	LOC6038485|XP_001848282.2|CQUI
OG0003350	LOC108601671|XP_017845062.1|DBUS	LOC6038483|XP_038108551.1|CQUI
OG0003351	LOC108605310|XP_017850469.1|DBUS	LOC6035135|XP_038109381.1|CQUI
OG0003352	LOC108604616|XP_017849645.1|DBUS	LOC6051272|XP_001867743.2|CQUI
OG0003354	LOC108603546|XP_017847951.1|DBUS	LOC6047656|XP_001864689.2|CQUI
OG0003355	LOC108606606|XP_017852357.1|DBUS	LOC6051356|XP_038116845.1|CQUI
OG0003356	LOC108607038|XP_017853120.1|DBUS	LOC6053494|XP_038122552.1|CQUI
OG0003357	LOC108605857|XP_017851156.1|DBUS	LOC6053495|XP_001869569.2|CQUI
OG0003358	LOC108601610|XP_033149793.1|DBUS, LOC108596510|XP_017837844.1|DBUS	LOC6041908|XP_001851099.1|CQUI
OG0003359	LOC108606652|XP_017852457.2|DBUS	LOC6034408|XP_001844726.1|CQUI
OG0003360	LOC108605340|XP_033150252.1|DBUS	LOC6034412|XP_038114340.1|CQUI
OG0003361	LOC108596141|XP_017837120.2|DBUS	LOC6034453|XP_001844767.2|CQUI
OG0003362	LOC108604337|XP_017849250.1|DBUS	LOC6042565|XP_038111876.1|CQUI
OG0003363	LOC108604228|XP_017849084.1|DBUS	LOC6042567|XP_038112762.1|CQUI
OG0003364	LOC108603567|XP_017847973.1|DBUS	LOC6034728|XP_001845008.2|CQUI
OG0003365	LOC108604678|XP_017849722.1|DBUS	LOC6034795|XP_001845068.2|CQUI
OG0003366	LOC108599733|XP_017842223.1|DBUS	LOC6034775|XP_001845048.2|CQUI
OG0003367	LOC108600535|XP_017843677.1|DBUS	LOC6034744|XP_038109225.1|CQUI
OG0003368	LOC108600533|XP_017843675.1|DBUS	LOC6041917|XP_001851107.2|CQUI
OG0003369	LOC108604211|XP_017849062.1|DBUS	LOC6041912|XP_001851103.2|CQUI
OG0003370	LOC108603777|XP_017848358.1|DBUS	LOC6044494|XP_001862006.1|CQUI
OG0003371	LOC108606986|XP_017853048.1|DBUS	LOC119771218|XP_038122893.1|CQUI
OG0003372	LOC108596202|XP_017837207.1|DBUS	LOC6031555|XP_001842339.2|CQUI
OG0003373	LOC108602121|XP_017845637.1|DBUS	LOC119765016|XP_038105409.1|CQUI, LOC6045520|XP_038105391.1|CQUI
OG0003374	LOC108606413|XP_017851986.1|DBUS	LOC6054476|XP_038116887.1|CQUI
OG0003375	LOC108604180|XP_017849008.1|DBUS	LOC6048537|XP_038109538.1|CQUI
OG0003376	LOC108602093|XP_017845606.1|DBUS	LOC6034735|XP_001845015.1|CQUI
OG0003377	LOC108603357|XP_017847586.1|DBUS	LOC6034732|XP_038122880.1|CQUI
OG0003378	LOC108602260|XP_017845804.1|DBUS	LOC6034804|XP_001845076.1|CQUI
OG0003379	LOC108603275|XP_017847423.1|DBUS	LOC6034805|XP_001845077.1|CQUI
OG0003380	LOC108602543|XP_017846165.1|DBUS	LOC6046476|XP_038114759.1|CQUI
OG0003381	LOC108603340|XP_017847561.1|DBUS	LOC6046475|XP_001863666.1|CQUI
OG0003382	LOC108603119|XP_017847123.1|DBUS	LOC6046480|XP_038105361.1|CQUI
OG0003383	LOC108602316|XP_017845890.1|DBUS	LOC6046770|XP_001863920.2|CQUI
OG0003384	LOC108607744|XP_017854261.1|DBUS	LOC6050615|XP_001867190.1|CQUI
OG0003385	LOC108604208|XP_017849058.1|DBUS	LOC6052084|XP_001868410.2|CQUI
OG0003386	LOC108602199|XP_017845737.1|DBUS	LOC6036776|XP_001846772.1|CQUI
OG0003387	LOC108603637|XP_017848086.1|DBUS	LOC6036775|XP_001846771.2|CQUI
OG0003388	LOC108607131|XP_017853256.1|DBUS	LOC6036772|XP_001846764.2|CQUI
OG0003390	LOC108602208|XP_017845744.1|DBUS	LOC6036520|XP_001846565.2|CQUI
OG0003392	LOC108604233|XP_017849090.1|DBUS	LOC6051534|XP_001867966.2|CQUI
OG0003393	LOC108604366|XP_017849295.1|DBUS	LOC6042026|XP_038115967.1|CQUI
OG0003394	LOC108602238|XP_017845774.1|DBUS	LOC6035630|XP_038104045.1|CQUI
OG0003395	LOC108602451|XP_017846063.1|DBUS	LOC6035642|XP_038105204.1|CQUI
OG0003396	LOC108603700|XP_017848219.1|DBUS	LOC6035649|XP_038104108.1|CQUI
OG0003397	LOC108602151|XP_033149829.1|DBUS	LOC6035212|XP_001845441.2|CQUI
OG0003399	LOC117134691|XP_033149087.1|DBUS	LOC6035229|XP_001845456.2|CQUI
OG0003400	LOC108602952|XP_017846790.2|DBUS	LOC6048394|XP_038105553.1|CQUI
OG0003401	LOC108603365|XP_017847606.1|DBUS	LOC6044798|XP_038105600.1|CQUI
OG0003402	LOC108601553|XP_017844941.1|DBUS	LOC119769471|XP_038117965.1|CQUI
OG0003403	LOC108597267|XP_017839214.1|DBUS	LOC6044611|XP_038123033.1|CQUI
OG0003404	LOC108601454|XP_017844840.2|DBUS	LOC6044619|XP_038104451.1|CQUI
OG0003405	LOC108597303|XP_017839271.1|DBUS	LOC6035352|XP_001845563.2|CQUI
OG0003406	LOC108603435|XP_017847746.1|DBUS	LOC6035347|XP_001845558.1|CQUI
OG0003407	LOC108602464|XP_017846077.1|DBUS	LOC6035346|XP_001845557.1|CQUI
OG0003408	LOC108603102|XP_017847094.1|DBUS	LOC6035353|XP_038104381.1|CQUI
OG0003409	LOC108602892|XP_017846689.1|DBUS	LOC6050608|XP_038104382.1|CQUI
OG0003410	LOC108604429|XP_017849389.1|DBUS	LOC6044846|XP_001862291.1|CQUI
OG0003411	LOC108602149|XP_017845671.1|DBUS	LOC6041723|XP_001850945.2|CQUI
OG0003412	LOC108604487|XP_017849468.1|DBUS	LOC6041727|XP_038122908.1|CQUI
OG0003413	LOC108601342|XP_017844730.1|DBUS	LOC6031535|XP_001842320.2|CQUI
OG0003414	LOC108598534|XP_017840706.2|DBUS	LOC6035568|XP_038104587.1|CQUI
OG0003415	LOC108605618|XP_017850888.1|DBUS	LOC6035559|XP_038122913.1|CQUI
OG0003416	LOC108601317|XP_017844705.1|DBUS	LOC6035553|XP_001845711.2|CQUI
OG0003417	LOC108603242|XP_017847358.1|DBUS	LOC6035549|XP_001845707.2|CQUI
OG0003418	LOC108603766|XP_017848341.1|DBUS	LOC6034923|XP_001845188.1|CQUI
OG0003419	LOC108602626|XP_033150024.1|DBUS	LOC6034928|XP_038112385.1|CQUI
OG0003420	LOC108602625|XP_017846253.1|DBUS	LOC6034929|XP_038113125.1|CQUI
OG0003421	LOC108602806|XP_017846522.1|DBUS	LOC6044857|XP_038118023.1|CQUI
OG0003422	LOC108603505|XP_017847867.1|DBUS	LOC6045192|XP_001862584.1|CQUI
OG0003423	LOC108596507|XP_017837836.1|DBUS	LOC6047844|XP_038104071.1|CQUI
OG0003424	LOC108602632|XP_017846265.1|DBUS	LOC6047847|XP_001864849.2|CQUI
OG0003425	LOC108602351|XP_017845940.1|DBUS	LOC6042446|XP_001851544.1|CQUI
OG0003426	LOC108603836|XP_017848469.2|DBUS	LOC6032577|XP_001843150.1|CQUI
OG0003427	LOC108603799|XP_017848386.1|DBUS	LOC6040871|XP_001850206.2|CQUI
OG0003428	LOC108599625|XP_017842074.1|DBUS	LOC6032685|XP_001843245.2|CQUI
OG0003429	LOC108597739|XP_017839929.1|DBUS	LOC6032661|XP_001843228.2|CQUI
OG0003430	LOC108607409|XP_017853683.1|DBUS	LOC6031627|XP_038112717.1|CQUI
OG0003431	LOC108603072|XP_017847032.1|DBUS	LOC6039171|XP_001848826.2|CQUI
OG0003432	LOC108601822|XP_017845248.1|DBUS	LOC6047464|XP_038111896.1|CQUI
OG0003435	LOC108604276|XP_017849167.1|DBUS	LOC6032653|XP_038104224.1|CQUI
OG0003436	LOC108603271|XP_017847418.1|DBUS	LOC6036780|XP_001846776.1|CQUI
OG0003437	LOC108603267|XP_017847413.1|DBUS	LOC6036779|XP_038107371.1|CQUI
OG0003438	LOC108603270|XP_017847417.1|DBUS	LOC6046594|XP_001863768.1|CQUI
OG0003439	LOC108604175|XP_017849003.1|DBUS	LOC6042429|XP_001851546.1|CQUI
OG0003440	LOC117134650|XP_033149920.1|DBUS	LOC6039090|XP_038105902.1|CQUI
OG0003441	LOC108604965|XP_017850027.1|DBUS	LOC6046303|XP_001863513.1|CQUI
OG0003442	LOC108601551|XP_017844939.1|DBUS	LOC6046296|XP_001863521.2|CQUI
OG0003443	LOC108598808|XP_017841039.1|DBUS	LOC6047924|XP_001864911.1|CQUI
OG0003444	LOC117135002|XP_033150651.1|DBUS	LOC6031536|XP_001842321.2|CQUI
OG0003445	LOC108606390|XP_017851947.1|DBUS	LOC6031549|XP_038105160.1|CQUI
OG0003446	LOC108605485|XP_017850668.1|DBUS	LOC6031557|XP_038116993.1|CQUI
OG0003447	LOC108607345|XP_017853518.1|DBUS	LOC6031562|XP_038117031.1|CQUI
OG0003448	LOC108604634|XP_017849672.1|DBUS	LOC6048416|XP_001865339.2|CQUI
OG0003449	LOC108602019|XP_017845511.1|DBUS	LOC6037396|XP_001847313.1|CQUI
OG0003450	LOC108602491|XP_017846107.1|DBUS	LOC6039926|XP_038104260.1|CQUI
OG0003451	LOC108602797|XP_017846508.1|DBUS	LOC6039936|XP_038111380.1|CQUI
OG0003452	LOC108602795|XP_017846505.1|DBUS	LOC6039937|XP_001849434.2|CQUI
OG0003453	LOC108600700|XP_017843910.1|DBUS	LOC6046528|XP_001863707.1|CQUI
OG0003454	LOC108594210|XP_017834806.1|DBUS	LOC6046531|XP_001863706.1|CQUI
OG0003455	LOC117134687|XP_033149077.1|DBUS	LOC6046526|XP_038104772.1|CQUI
OG0003456	LOC108597342|XP_017839336.1|DBUS	LOC119769594|XP_038118579.1|CQUI, LOC6035526|XP_038113113.1|CQUI
OG0003457	LOC108602706|XP_017846349.1|DBUS	LOC6035528|XP_001845693.1|CQUI
OG0003458	LOC108601728|XP_017845136.1|DBUS	LOC6039674|XP_038122724.1|CQUI
OG0003459	LOC108603866|XP_017848523.1|DBUS	LOC6034951|XP_001845210.1|CQUI
OG0003460	LOC108604329|XP_017849244.1|DBUS	LOC6034933|XP_038122514.1|CQUI
OG0003461	LOC108603266|XP_017847411.1|DBUS	LOC6037413|XP_038105277.1|CQUI
OG0003462	LOC108598899|XP_017841145.2|DBUS	LOC6037339|XP_038104753.1|CQUI
OG0003463	LOC108604278|XP_017849170.1|DBUS	LOC6039202|XP_038104646.1|CQUI
OG0003464	LOC108604216|XP_017849070.1|DBUS	LOC6039615|XP_038106187.1|CQUI
OG0003465	LOC108604347|XP_017849265.1|DBUS	LOC6039608|XP_001849182.1|CQUI
OG0003466	LOC108604636|XP_017849674.1|DBUS	LOC6038055|XP_001847899.1|CQUI
OG0003467	LOC108603524|XP_017847907.1|DBUS	LOC6040680|XP_038105387.1|CQUI
OG0003468	LOC108603765|XP_017848340.1|DBUS	LOC6040674|XP_001850035.2|CQUI
OG0003469	LOC108604140|XP_017848939.1|DBUS	LOC6035344|XP_001845555.1|CQUI
OG0003470	LOC108602457|XP_017846068.1|DBUS	LOC6031670|XP_038104846.1|CQUI
OG0003471	LOC108608360|XP_017855196.1|DBUS	LOC6031663|XP_001842409.2|CQUI
OG0003472	LOC108599130|XP_017841411.1|DBUS	LOC6034382|XP_038113315.1|CQUI
OG0003473	LOC108594236|XP_017834836.1|DBUS	LOC6035377|XP_038104133.1|CQUI
OG0003474	LOC108603686|XP_017848193.1|DBUS	LOC6035079|XP_038112442.1|CQUI
OG0003475	LOC108604357|XP_017849281.1|DBUS	LOC6035069|XP_038122846.1|CQUI
OG0003476	LOC108607380|XP_033150518.1|DBUS	LOC6035414|XP_038122449.1|CQUI
OG0003477	LOC108604189|XP_017849028.1|DBUS	LOC6047059|XP_038115904.1|CQUI
OG0003478	LOC108602995|XP_017846877.1|DBUS	LOC6047694|XP_038115039.1|CQUI
OG0003479	LOC108601958|XP_017845433.1|DBUS	LOC6035543|XP_001845701.1|CQUI
OG0003480	LOC108602486|XP_017846098.1|DBUS	LOC6042433|XP_001851551.1|CQUI
OG0003481	LOC108601456|XP_017844842.1|DBUS	LOC6042434|XP_001851552.2|CQUI
OG0003482	LOC108603894|XP_017848557.1|DBUS	LOC6042437|XP_038114985.1|CQUI
OG0003483	LOC108601465|XP_017844852.1|DBUS	LOC6039076|XP_001848749.1|CQUI
OG0003484	LOC108602235|XP_017845772.1|DBUS	LOC6049256|XP_001866047.1|CQUI
OG0003487	LOC108604255|XP_017849131.1|DBUS	LOC6040883|XP_001850212.2|CQUI
OG0003488	LOC108603598|XP_017848029.1|DBUS	LOC6039350|XP_038104841.1|CQUI
OG0003489	LOC108603900|XP_017848565.1|DBUS	LOC6037420|XP_038104037.1|CQUI
OG0003490	LOC108604477|XP_017849452.1|DBUS	LOC6037424|XP_001847338.1|CQUI
OG0003491	LOC108603284|XP_017847440.1|DBUS	LOC6033013|XP_038111280.1|CQUI
OG0003492	LOC108604759|XP_017849838.1|DBUS	LOC6032983|XP_038121925.1|CQUI
OG0003493	LOC108602345|XP_017845928.1|DBUS	LOC6033729|XP_038105787.1|CQUI
OG0003494	LOC108603092|XP_017847078.1|DBUS	LOC6053204|XP_038110104.1|CQUI
OG0003495	LOC108596504|XP_017837832.1|DBUS	LOC6042404|XP_038123009.1|CQUI
OG0003496	LOC108602842|XP_017846583.1|DBUS	LOC6039896|XP_001849394.1|CQUI
OG0003497	LOC108603198|XP_017847268.1|DBUS	LOC6042400|XP_038122515.1|CQUI
OG0003498	LOC108603398|XP_017847670.1|DBUS	LOC6042398|XP_001851523.2|CQUI
OG0003499	LOC108604563|XP_017849581.1|DBUS	LOC6042393|XP_001851518.2|CQUI
OG0003500	LOC108602819|XP_017846542.1|DBUS	LOC6051158|XP_038104555.1|CQUI
OG0003501	LOC108602055|XP_017845558.1|DBUS	LOC6040942|XP_001850270.1|CQUI
OG0003502	LOC108601291|XP_017844679.1|DBUS	LOC6032047|XP_038105287.1|CQUI
OG0003503	LOC108604733|XP_017849804.1|DBUS	LOC6032067|XP_001842733.2|CQUI
OG0003504	LOC108601561|XP_017844949.1|DBUS	LOC6032073|XP_038115709.1|CQUI
OG0003505	LOC108602749|XP_017846397.1|DBUS	LOC6032089|XP_038104786.1|CQUI
