Orthogroup	DSUZ.longest_only	CQUI.longest_only
OG0004725	LOC118879480|XP_036678245.1|DSUZ, LOC108016165|XP_036675392.1|DSUZ	LOC6032650|XP_038104199.1|CQUI
OG0004726	LOC108019517|XP_036673353.1|DSUZ	LOC6032660|XP_038104648.1|CQUI
OG0004727	LOC108011083|XP_036674415.1|DSUZ	LOC6046598|XP_038104662.1|CQUI
OG0004728	LOC108018685|XP_016941746.2|DSUZ	LOC6042430|XP_001851545.1|CQUI
OG0004729	LOC108013692|XP_016935100.1|DSUZ	LOC6037482|XP_001847392.1|CQUI
OG0004730	LOC108005349|XP_016924082.1|DSUZ	LOC6037484|XP_001847394.2|CQUI
OG0004731	LOC108020112|XP_036672663.1|DSUZ	LOC6031661|XP_001842407.1|CQUI
OG0004732	LOC108013928|XP_036674092.1|DSUZ	LOC6046292|XP_038109784.1|CQUI
OG0004733	LOC108020775|XP_036674326.1|DSUZ	LOC6046295|XP_001863520.1|CQUI
OG0004734	LOC108016195|XP_016938311.2|DSUZ	LOC6046299|XP_001863524.2|CQUI
OG0004735	LOC108010821|XP_016931265.2|DSUZ	LOC6039070|XP_038122825.1|CQUI
OG0004736	LOC108007603|XP_036673488.1|DSUZ	LOC6048415|XP_038117705.1|CQUI
OG0004737	LOC108011596|XP_036673665.1|DSUZ	LOC6039929|XP_001849427.1|CQUI
OG0004738	LOC108011639|XP_016932316.1|DSUZ	LOC6039931|XP_001849429.2|CQUI
OG0004739	LOC108007851|XP_016927102.2|DSUZ	LOC6039934|XP_001849431.2|CQUI
OG0004740	LOC108011495|XP_016932134.1|DSUZ	LOC6033684|XP_001844110.2|CQUI
OG0004741	LOC108014894|XP_016936603.2|DSUZ	LOC6033683|XP_001844109.1|CQUI
OG0004742	LOC108006240|XP_036677232.1|DSUZ	LOC6033676|XP_038108765.1|CQUI
OG0004743	LOC108014142|XP_016935662.2|DSUZ	LOC6035507|XP_001845677.2|CQUI
OG0004744	LOC108010293|XP_016930657.1|DSUZ	LOC6035527|XP_001845692.2|CQUI
OG0004745	LOC118878085|XP_036675246.1|DSUZ	LOC119768951|XP_038116720.1|CQUI
OG0004746	LOC108019491|XP_016942808.2|DSUZ	LOC6034950|XP_038105446.1|CQUI
OG0004747	LOC108016513|XP_016938675.2|DSUZ	LOC6034945|XP_001845206.2|CQUI
OG0004748	LOC108016507|XP_036675635.1|DSUZ	LOC6034937|XP_038122916.1|CQUI
OG0004749	LOC108017079|XP_016939529.2|DSUZ	LOC6037416|XP_038116787.1|CQUI
OG0004750	LOC108011349|XP_036672908.1|DSUZ	LOC6033696|XP_001844121.1|CQUI
OG0004751	LOC108006413|XP_036673300.1|DSUZ	LOC6033701|XP_001844124.2|CQUI
OG0004752	LOC108016157|XP_016938265.2|DSUZ	LOC6033703|XP_001844126.1|CQUI
OG0004753	LOC108017311|XP_016939824.2|DSUZ	LOC6033704|XP_001844127.2|CQUI
OG0004754	LOC108014830|XP_016936518.2|DSUZ	LOC6033705|XP_001844128.1|CQUI
OG0004755	LOC108007813|XP_016927068.1|DSUZ	LOC6033712|XP_038117221.1|CQUI
OG0004756	LOC108007810|XP_036674624.1|DSUZ	LOC6033713|XP_001844134.2|CQUI
OG0004757	LOC108014134|XP_036673947.1|DSUZ	LOC6033720|XP_038105297.1|CQUI
OG0004758	LOC108014836|XP_016936527.2|DSUZ	LOC6039195|XP_038122528.1|CQUI
OG0004759	LOC108006087|XP_036672930.1|DSUZ	LOC6039198|XP_038122984.1|CQUI
OG0004760	LOC108018583|XP_036674127.1|DSUZ	LOC6039201|XP_038105092.1|CQUI
OG0004761	LOC108018315|XP_036674683.1|DSUZ	LOC6039606|XP_038112004.1|CQUI
OG0004762	LOC108021250|XP_016945357.1|DSUZ	LOC6038054|XP_038114918.1|CQUI
OG0004763	LOC118877723|XP_036673560.1|DSUZ, LOC108017508|XP_036677901.1|DSUZ	LOC6038059|XP_038105125.1|CQUI
OG0004764	LOC108017207|XP_036674520.1|DSUZ	LOC6040682|XP_038104175.1|CQUI
OG0004765	LOC108011479|XP_036673961.1|DSUZ	LOC6040686|XP_038114839.1|CQUI
OG0004766	LOC108011473|XP_036674009.1|DSUZ	LOC6037332|XP_038116156.1|CQUI
OG0004767	LOC108011635|XP_016932313.2|DSUZ	LOC6037471|XP_001847378.2|CQUI
OG0004768	LOC108011621|XP_016932291.1|DSUZ	LOC6032709|XP_038115999.1|CQUI
OG0004769	LOC108008892|XP_016928288.1|DSUZ	LOC6035385|XP_038104454.1|CQUI
OG0004770	LOC118877730|XP_036673610.1|DSUZ	LOC6035386|XP_001845587.1|CQUI
OG0004771	LOC108015508|XP_016937454.2|DSUZ	LOC6035384|XP_001845585.2|CQUI
OG0004772	LOC108006107|XP_016925042.2|DSUZ	LOC6036804|XP_001846798.1|CQUI
OG0004773	LOC108010576|XP_036673864.1|DSUZ, LOC118877943|XP_036674529.1|DSUZ	LOC6035078|XP_001845313.2|CQUI
OG0004774	LOC108010574|XP_036674530.1|DSUZ, LOC118877818|XP_036673866.1|DSUZ	LOC6035075|XP_038121003.1|CQUI
OG0004775	LOC108020120|XP_036672499.1|DSUZ	LOC6035072|XP_038105378.1|CQUI
OG0004776	LOC108017747|XP_016940348.1|DSUZ	LOC6035068|XP_038104827.1|CQUI
OG0004777	LOC108004838|XP_016923403.1|DSUZ	LOC6035416|XP_001845609.1|CQUI
OG0004778	LOC108006160|XP_016925102.1|DSUZ	LOC119765159|XP_038104412.1|CQUI
OG0004779	LOC108011886|XP_036674170.1|DSUZ	LOC6035335|XP_038104406.1|CQUI
OG0004780	LOC108009976|XP_016930240.1|DSUZ	LOC6035328|XP_001845545.1|CQUI
OG0004781	LOC108010943|XP_036672649.1|DSUZ	LOC6047689|XP_038110351.1|CQUI
OG0004782	LOC108007463|XP_036673439.1|DSUZ	LOC6035537|XP_038110801.1|CQUI
OG0004783	LOC108006516|XP_016925529.2|DSUZ	LOC6046138|XP_038104914.1|CQUI
OG0004784	LOC108007598|XP_016926788.2|DSUZ	LOC6042432|XP_038105717.1|CQUI
OG0004785	LOC108016040|XP_016938124.1|DSUZ	LOC6040253|XP_001849692.2|CQUI
OG0004786	LOC118877992|XP_036674826.1|DSUZ	LOC6040257|XP_001849694.1|CQUI
OG0004787	LOC108016043|XP_016938127.1|DSUZ	LOC6040266|XP_038104916.1|CQUI
OG0004788	LOC108015993|XP_036675146.1|DSUZ	LOC6040267|XP_001849700.1|CQUI
OG0004789	LOC108016047|XP_016938130.2|DSUZ	LOC6040268|XP_038104574.1|CQUI
OG0004790	LOC108020307|XP_016943928.1|DSUZ	LOC6039077|XP_001848750.1|CQUI
OG0004791	LOC108010847|XP_016931308.1|DSUZ	LOC119771181|XP_038122656.1|CQUI
OG0004792	LOC108013824|XP_016935292.2|DSUZ	LOC6040663|XP_038105179.1|CQUI
OG0004793	LOC108015486|XP_016937407.2|DSUZ	LOC6040662|XP_038104480.1|CQUI
OG0004794	LOC108010993|XP_036674256.1|DSUZ, LOC108017547|XP_036672626.1|DSUZ	LOC6047061|XP_038122922.1|CQUI
OG0004796	LOC108014891|XP_036672600.1|DSUZ	LOC6040872|XP_038105237.1|CQUI
OG0004797	LOC118877629|XP_036673018.1|DSUZ, LOC108014387|XP_036673183.1|DSUZ	LOC6040880|XP_038105232.1|CQUI
OG0004798	LOC108007228|XP_016926354.2|DSUZ	LOC6040882|XP_001850211.2|CQUI
OG0004799	LOC108018474|XP_036673179.1|DSUZ	LOC6040692|XP_038111505.1|CQUI
OG0004800	LOC108015937|XP_036674462.1|DSUZ	LOC6037510|XP_001847416.1|CQUI
OG0004801	LOC108005017|XP_036673399.1|DSUZ	LOC6045592|XP_038105796.1|CQUI
OG0004803	LOC108014761|XP_036673481.1|DSUZ	LOC6033723|XP_038105889.1|CQUI
OG0004804	LOC108011622|XP_016932296.1|DSUZ	LOC6035052|XP_038104560.1|CQUI
OG0004805	LOC108008017|XP_036673959.1|DSUZ	LOC6038022|XP_038105589.1|CQUI
OG0004806	LOC108005295|XP_016923986.1|DSUZ	LOC6038033|XP_038123004.1|CQUI
OG0004807	LOC108006616|XP_016925628.2|DSUZ	LOC6039897|XP_001849395.1|CQUI
OG0004808	LOC108013887|XP_016935382.2|DSUZ	LOC6035066|XP_038104556.1|CQUI
OG0004809	LOC108019432|XP_016942744.2|DSUZ, LOC108010566|XP_016930935.1|DSUZ	LOC6042403|XP_001851528.1|CQUI
OG0004810	LOC108010595|XP_016930971.1|DSUZ, LOC118877819|XP_036673884.1|DSUZ	LOC6042402|XP_038123005.1|CQUI
OG0004811	LOC108013190|XP_016934383.1|DSUZ	LOC6042397|XP_038108448.1|CQUI
OG0004812	LOC108015848|XP_036672948.1|DSUZ	LOC6042392|XP_038112150.1|CQUI
OG0004813	LOC108014740|XP_016936410.2|DSUZ	LOC6036810|XP_038104805.1|CQUI
OG0004815	LOC108004718|XP_016923226.1|DSUZ	LOC6032039|XP_038105440.1|CQUI
OG0004816	LOC108014972|XP_036676769.1|DSUZ	LOC6032045|XP_001842711.2|CQUI
OG0004817	LOC108015029|XP_016936748.1|DSUZ	LOC6032046|XP_001842712.2|CQUI
OG0004818	LOC108006109|XP_016925045.1|DSUZ	LOC6032061|XP_001842727.1|CQUI
OG0004819	LOC108011037|XP_016931577.1|DSUZ	LOC6032069|XP_001842735.1|CQUI
OG0004820	LOC108013938|XP_016935437.2|DSUZ	LOC6032070|XP_001842736.2|CQUI
OG0004821	LOC108015525|XP_016937484.2|DSUZ	LOC6032072|XP_038115655.1|CQUI
OG0004822	LOC108017456|XP_036674249.1|DSUZ	LOC6032080|XP_038104760.1|CQUI
OG0004823	LOC108010999|XP_036674705.1|DSUZ, LOC108017539|XP_036672834.1|DSUZ	LOC6032083|XP_001842749.1|CQUI
OG0004824	LOC108017552|XP_016940124.2|DSUZ, LOC108010985|XP_036674707.1|DSUZ	LOC6032084|XP_001842750.2|CQUI
OG0004825	LOC108020371|XP_016944092.1|DSUZ	LOC6032099|XP_001842764.2|CQUI
OG0004826	LOC108018562|XP_016941606.2|DSUZ	LOC6035186|XP_001845416.2|CQUI
OG0004827	LOC108011655|XP_016932339.2|DSUZ	LOC6035188|XP_038105070.1|CQUI
OG0004828	LOC108011902|XP_016932641.1|DSUZ	LOC6035191|XP_001845421.1|CQUI
OG0004829	LOC108015784|XP_036673345.1|DSUZ	LOC6037399|XP_001847318.2|CQUI
OG0004833	LOC108016279|XP_016938397.1|DSUZ	LOC6033922|XP_038105632.1|CQUI
OG0004834	LOC108007859|XP_016927112.2|DSUZ	LOC6036795|XP_001846789.1|CQUI
OG0004835	LOC108007835|XP_036674577.1|DSUZ	LOC6036793|XP_001846787.2|CQUI
OG0004836	LOC108008018|XP_016927291.1|DSUZ	LOC6040910|XP_038122904.1|CQUI
OG0004837	LOC108012602|XP_016933511.1|DSUZ	LOC6040912|XP_001850240.1|CQUI
OG0004838	LOC108010914|XP_016931403.2|DSUZ	LOC6040929|XP_001850257.2|CQUI
OG0004839	LOC108006461|XP_036674661.1|DSUZ	LOC6040928|XP_038123034.1|CQUI
OG0004840	LOC108017596|XP_016940175.2|DSUZ	LOC6035404|XP_001845598.2|CQUI
OG0004841	LOC108005364|XP_016924108.1|DSUZ	LOC6037352|XP_001847275.2|CQUI
OG0004842	LOC108010731|XP_016931149.2|DSUZ	LOC6037342|XP_001847266.2|CQUI
OG0004844	LOC108011984|XP_016932741.1|DSUZ	LOC6033964|XP_001844352.1|CQUI
OG0004845	LOC108006946|XP_036675192.1|DSUZ	LOC6033967|XP_038104318.1|CQUI
OG0004846	LOC108021151|XP_016945211.1|DSUZ	LOC6045714|XP_001863022.2|CQUI
OG0004847	LOC108021150|XP_016945210.1|DSUZ	LOC6032647|XP_001843214.2|CQUI
OG0004850	LOC108006588|XP_036674974.1|DSUZ	LOC6053351|XP_038115052.1|CQUI
OG0004851	LOC108013978|XP_016935483.1|DSUZ	LOC6032009|XP_001842677.2|CQUI
OG0004852	LOC108014234|XP_036675139.1|DSUZ	LOC6032101|XP_038122533.1|CQUI
OG0004853	LOC108009130|XP_016928722.1|DSUZ	LOC6032797|XP_038117362.1|CQUI
OG0004854	LOC108013232|XP_016934449.1|DSUZ	LOC6032828|XP_001843366.2|CQUI
OG0004855	LOC108017059|XP_036671831.1|DSUZ	LOC6032837|XP_001843371.2|CQUI
OG0004856	LOC108006854|XP_036670672.1|DSUZ	LOC6032889|XP_038115758.1|CQUI
OG0004857	LOC108012324|XP_036670283.1|DSUZ	LOC6049345|XP_038121996.1|CQUI
OG0004858	LOC108006869|XP_016925927.2|DSUZ	LOC6031074|XP_038117926.1|CQUI
OG0004859	LOC108006816|XP_036671613.1|DSUZ	LOC6031066|XP_038121782.1|CQUI
OG0004860	LOC108012391|XP_016933238.1|DSUZ	LOC6031076|XP_001841927.1|CQUI
OG0004861	LOC108013035|XP_036672352.1|DSUZ	LOC6031081|XP_038114947.1|CQUI
OG0004862	LOC108012947|XP_036671276.1|DSUZ	LOC6031090|XP_038114567.1|CQUI
OG0004863	LOC108011449|XP_036671493.1|DSUZ	LOC6038677|XP_038116442.1|CQUI
OG0004864	LOC108020208|XP_016943817.1|DSUZ	LOC6038678|XP_038119126.1|CQUI
OG0004865	LOC108017460|XP_016939983.2|DSUZ	LOC6038680|XP_001848435.1|CQUI
OG0004866	LOC108005877|XP_036671330.1|DSUZ	LOC6042793|XP_038116607.1|CQUI
OG0004867	LOC108009219|XP_016928868.1|DSUZ	LOC6042378|XP_038113412.1|CQUI
OG0004868	LOC118878886|XP_036677788.1|DSUZ, LOC108010970|XP_036669924.1|DSUZ	LOC6042789|XP_001870794.1|CQUI
OG0004869	LOC108018056|XP_016940935.1|DSUZ	LOC6042795|XP_001870798.1|CQUI
OG0004870	LOC108018187|XP_016941180.1|DSUZ	LOC6042810|XP_001870808.1|CQUI
OG0004871	LOC108010056|XP_016930357.1|DSUZ	LOC6042816|XP_001870814.2|CQUI
OG0004872	LOC108008371|XP_016927701.1|DSUZ	LOC6047865|XP_001864864.1|CQUI
OG0004873	LOC108021252|XP_016945363.1|DSUZ	LOC6041056|XP_001850367.2|CQUI
OG0004874	LOC108011766|XP_016932486.1|DSUZ	LOC6041052|XP_001850363.2|CQUI
OG0004875	LOC108011217|XP_016931798.1|DSUZ	LOC6041042|XP_038121931.1|CQUI
OG0004876	LOC108015344|XP_016937241.1|DSUZ	LOC119769880|XP_038119587.1|CQUI
OG0004877	LOC108015425|XP_016937348.2|DSUZ	LOC6041025|XP_038122387.1|CQUI
OG0004878	LOC108018210|XP_016941216.1|DSUZ	LOC6031108|XP_038120035.1|CQUI
OG0004879	LOC108009159|XP_036669443.1|DSUZ	LOC6031116|XP_038118149.1|CQUI
OG0004880	LOC108011062|XP_016931614.1|DSUZ	LOC6031119|XP_001841964.1|CQUI
OG0004881	LOC108013290|XP_036671059.1|DSUZ	LOC6031120|XP_001841965.2|CQUI
OG0004882	LOC108005773|XP_016924590.1|DSUZ	LOC6031127|XP_038121858.1|CQUI
OG0004883	LOC108007178|XP_016926299.2|DSUZ	LOC6031128|XP_038121855.1|CQUI
OG0004884	LOC108017978|XP_016940796.1|DSUZ	LOC6031153|XP_038122195.1|CQUI
OG0004885	LOC108019866|XP_016943411.1|DSUZ	LOC6031160|XP_038122027.1|CQUI
OG0004886	LOC108009203|XP_016928851.1|DSUZ	LOC6031164|XP_001842007.1|CQUI
OG0004887	LOC108017824|XP_016940465.2|DSUZ	LOC6031165|XP_038121190.1|CQUI
OG0004888	LOC108017987|XP_016940818.1|DSUZ	LOC6031166|XP_038114576.1|CQUI
OG0004889	LOC108009511|XP_016929420.1|DSUZ	LOC6030975|XP_001841829.2|CQUI
OG0004890	LOC108018231|XP_016941242.1|DSUZ	LOC6030973|XP_038121809.1|CQUI
OG0004891	LOC108005184|XP_016923857.1|DSUZ	LOC6030968|XP_038121630.1|CQUI
OG0004892	LOC108018196|XP_036669977.1|DSUZ	LOC6031064|XP_038119798.1|CQUI
OG0004893	LOC108009165|XP_016928767.1|DSUZ	LOC6043930|XP_001861513.1|CQUI
OG0004894	LOC108017781|XP_016940395.1|DSUZ	LOC6043927|XP_001861510.2|CQUI
OG0004895	LOC108009847|XP_016930029.1|DSUZ	LOC6045536|XP_001862891.2|CQUI
OG0004896	LOC108018131|XP_016941068.1|DSUZ	LOC6051435|XP_038120460.1|CQUI
OG0004897	LOC108018158|XP_016941117.1|DSUZ	LOC6041058|XP_038117480.1|CQUI
OG0004898	LOC108009320|XP_036669677.1|DSUZ	LOC6041018|XP_038114929.1|CQUI
OG0004899	LOC108009305|XP_016929043.1|DSUZ	LOC6031099|XP_038121429.1|CQUI
OG0004900	LOC108009964|XP_016930214.1|DSUZ	LOC6054043|XP_038116191.1|CQUI
OG0004901	LOC108008326|XP_016927638.1|DSUZ	LOC6043919|XP_001861504.2|CQUI
OG0004902	LOC108012394|XP_016933241.1|DSUZ	LOC6043923|XP_038118580.1|CQUI
OG0004903	LOC108009426|XP_016929244.1|DSUZ	LOC6052661|XP_038118295.1|CQUI
OG0004904	LOC108015751|XP_036673287.1|DSUZ	LOC6046849|XP_001863984.1|CQUI
OG0004905	LOC108009825|XP_016929999.1|DSUZ	LOC6046852|XP_038118359.1|CQUI
OG0004906	LOC108013337|XP_016934629.1|DSUZ	LOC6030986|XP_001841839.2|CQUI
OG0004907	LOC108005775|XP_016924593.2|DSUZ	LOC6040644|XP_001850009.2|CQUI
OG0004908	LOC108013506|XP_016934882.1|DSUZ	LOC6043377|XP_038116517.1|CQUI
OG0004909	LOC108012883|XP_016933863.1|DSUZ	LOC6049586|XP_038115882.1|CQUI
OG0004910	LOC108012882|XP_016933862.1|DSUZ	LOC6039568|XP_001849162.2|CQUI
OG0004911	LOC108007182|XP_036670453.1|DSUZ	LOC6039557|XP_038118886.1|CQUI
OG0004912	LOC108013338|XP_016934633.1|DSUZ	LOC6053801|XP_038120512.1|CQUI
OG0004913	LOC108008541|XP_016927901.1|DSUZ	LOC6052188|XP_001868490.1|CQUI
OG0004914	LOC108010117|XP_016930431.1|DSUZ	LOC6043324|XP_038116587.1|CQUI
OG0004915	LOC108010134|XP_016930451.1|DSUZ	LOC6043331|XP_001858490.1|CQUI
OG0004916	LOC108010247|XP_016930590.1|DSUZ	LOC6043338|XP_038118846.1|CQUI
OG0004917	LOC108012979|XP_016934033.1|DSUZ	LOC6053707|XP_001867574.2|CQUI
OG0004918	LOC108012977|XP_016934030.1|DSUZ	LOC6053706|XP_038117721.1|CQUI
OG0004919	LOC108010796|XP_016931214.1|DSUZ	LOC6053382|XP_038119032.1|CQUI
OG0004920	LOC108012366|XP_016933209.1|DSUZ	LOC6050541|XP_038120184.1|CQUI
OG0004921	LOC108005902|XP_016924787.1|DSUZ	LOC6047306|XP_038116264.1|CQUI
OG0004922	LOC108012243|XP_036672396.1|DSUZ	LOC6043699|XP_038117260.1|CQUI
OG0004923	LOC108020040|XP_016943622.1|DSUZ	LOC6047329|XP_001864405.2|CQUI
OG0004924	LOC108012810|XP_016933738.1|DSUZ	LOC6049786|XP_001866493.2|CQUI
OG0004925	LOC108013569|XP_016934980.1|DSUZ	LOC6054018|XP_038121726.1|CQUI
OG0004926	LOC108012523|XP_016933426.1|DSUZ	LOC6050503|XP_038119835.1|CQUI
OG0004927	LOC108012887|XP_036670902.1|DSUZ	LOC6040746|XP_038119907.1|CQUI
OG0004928	LOC108018037|XP_036669746.1|DSUZ	LOC6035292|XP_038117794.1|CQUI
OG0004929	LOC108012802|XP_016933728.1|DSUZ	LOC6035309|XP_038118096.1|CQUI
OG0004930	LOC108009112|XP_016928672.1|DSUZ	LOC6041606|XP_038119499.1|CQUI
OG0004931	LOC108008379|XP_016927711.1|DSUZ	LOC6049358|XP_001866123.2|CQUI
OG0004932	LOC108013046|XP_016934146.1|DSUZ	LOC6049348|XP_001866127.2|CQUI
OG0004933	LOC108017962|XP_016940721.1|DSUZ	LOC6049349|XP_001866128.1|CQUI
OG0004934	LOC108008426|XP_016927764.1|DSUZ	LOC6049350|XP_001866129.2|CQUI
OG0004935	LOC108018036|XP_016940902.1|DSUZ	LOC6047852|XP_001864855.2|CQUI
OG0004936	LOC108005880|XP_036672418.1|DSUZ	LOC6030990|XP_038115490.1|CQUI
OG0004937	LOC108013567|XP_036670958.1|DSUZ	LOC6030983|XP_001841836.2|CQUI
OG0004938	LOC108006841|XP_016925880.2|DSUZ	LOC119771269|XP_038123052.1|CQUI, LOC6031028|XP_001841880.1|CQUI
OG0004939	LOC108020447|XP_036672459.1|DSUZ, LOC118877327|XP_036671510.1|DSUZ	LOC6031030|XP_038120410.1|CQUI
OG0004940	LOC108005713|XP_036671524.1|DSUZ, LOC108017020|XP_036672468.1|DSUZ	LOC6031035|XP_038117384.1|CQUI
OG0004941	LOC108007480|XP_036671153.1|DSUZ	LOC6031042|XP_038114824.1|CQUI
OG0004942	LOC108005875|XP_016924744.1|DSUZ	LOC6031047|XP_038117859.1|CQUI
OG0004943	LOC108013279|XP_016934539.1|DSUZ	LOC6031049|XP_001841898.1|CQUI
OG0004944	LOC108013601|XP_016935027.1|DSUZ	LOC6031063|XP_038122012.1|CQUI
OG0004945	LOC108017790|XP_016940422.1|DSUZ	LOC6034091|XP_001844459.1|CQUI
OG0004946	LOC108006916|XP_016926005.2|DSUZ	LOC6031006|XP_038120661.1|CQUI
OG0004947	LOC108013527|XP_016934912.1|DSUZ	LOC6030999|XP_038118718.1|CQUI
OG0004948	LOC108013502|XP_016934877.1|DSUZ	LOC6042818|XP_001870816.2|CQUI
OG0004949	LOC108013501|XP_016934876.1|DSUZ	LOC6042820|XP_038120566.1|CQUI
OG0004950	LOC108012933|XP_016933957.1|DSUZ	LOC6042821|XP_038119055.1|CQUI
OG0004951	LOC108017496|XP_016940037.1|DSUZ	LOC6042824|XP_038116571.1|CQUI
OG0004952	LOC108013592|XP_016935010.1|DSUZ	LOC6042826|XP_001870823.1|CQUI
OG0004953	LOC118877213|XP_036670481.1|DSUZ	LOC6042828|XP_001870825.1|CQUI
OG0004954	LOC108007486|XP_016926657.2|DSUZ	LOC6044579|XP_001862072.2|CQUI
OG0004955	LOC108012486|XP_016933384.1|DSUZ	LOC6039263|XP_001848898.2|CQUI
OG0004956	LOC108009401|XP_016929209.1|DSUZ	LOC6039267|XP_038115125.1|CQUI
OG0004957	LOC108007094|XP_036670862.1|DSUZ	LOC6044083|XP_038114695.1|CQUI
OG0004958	LOC108012984|XP_016934043.1|DSUZ	LOC6044069|XP_038116052.1|CQUI
OG0004959	LOC108012986|XP_016934045.1|DSUZ	LOC6044062|XP_038121183.1|CQUI
OG0004960	LOC108012983|XP_016934038.1|DSUZ	LOC6044067|XP_038122351.1|CQUI
OG0004961	LOC108008407|XP_016927742.1|DSUZ	LOC6044063|XP_001861634.2|CQUI
OG0004962	LOC108013076|XP_016934185.1|DSUZ	LOC6044088|XP_001861631.1|CQUI
OG0004963	LOC108015807|XP_036670567.1|DSUZ	LOC119768573|XP_038114513.1|CQUI
OG0004964	LOC108013268|XP_016934518.1|DSUZ	LOC6051406|XP_038117934.1|CQUI
OG0004965	LOC108005783|XP_016924601.1|DSUZ	LOC6045672|XP_001862990.1|CQUI
OG0004966	LOC108005908|XP_036670930.1|DSUZ	LOC119769641|XP_038118806.1|CQUI
OG0004967	LOC108017793|XP_016940426.1|DSUZ	LOC6047369|XP_001864441.1|CQUI
OG0004968	LOC118877357|XP_036671708.1|DSUZ	LOC119769240|XP_038117101.1|CQUI
OG0004969	LOC108017784|XP_016940414.1|DSUZ	LOC6053218|XP_038121462.1|CQUI
OG0004970	LOC108020199|XP_036671723.1|DSUZ	LOC6053219|XP_038121463.1|CQUI
OG0004971	LOC108020209|XP_036670981.1|DSUZ	LOC6038838|XP_038121464.1|CQUI
OG0004972	LOC108005786|XP_016924605.1|DSUZ	LOC119770493|XP_038121416.1|CQUI, LOC119769771|XP_038119276.1|CQUI
OG0004973	LOC108012855|XP_016933810.1|DSUZ	LOC6038820|XP_001848537.1|CQUI
OG0004974	LOC108013455|XP_016934820.1|DSUZ	LOC6038807|XP_038117097.1|CQUI
OG0004975	LOC108020058|XP_016943645.1|DSUZ	LOC6047332|XP_001864408.1|CQUI
OG0004976	LOC108011836|XP_016932563.1|DSUZ	LOC6047334|XP_038120001.1|CQUI
OG0004977	LOC108008365|XP_016927691.1|DSUZ	LOC6038664|XP_001848421.2|CQUI
OG0004978	LOC108017989|XP_016940820.1|DSUZ	LOC6043644|XP_038118720.1|CQUI
OG0004979	LOC108012794|XP_016933717.1|DSUZ	LOC6040580|XP_038119611.1|CQUI
OG0004980	LOC108005674|XP_016924487.1|DSUZ	LOC6044646|XP_038121367.1|CQUI
OG0004981	LOC108020714|XP_016944571.2|DSUZ, LOC108020757|XP_016944624.2|DSUZ	LOC6030984|XP_001841837.2|CQUI
OG0004982	LOC108020738|XP_016944603.2|DSUZ, LOC108020737|XP_036671373.1|DSUZ	LOC6030985|XP_001841838.2|CQUI
OG0004983	LOC108013532|XP_016934918.1|DSUZ	LOC6030977|XP_001841831.2|CQUI
OG0004984	LOC108013590|XP_016935006.1|DSUZ	LOC6042840|XP_001870836.1|CQUI
OG0004985	LOC108012821|XP_016933754.1|DSUZ	LOC6039545|XP_038118683.1|CQUI
OG0004986	LOC108010522|XP_016930887.2|DSUZ	LOC6039551|XP_038120315.1|CQUI
OG0004987	LOC108006666|XP_036672385.1|DSUZ	LOC6039550|XP_038119871.1|CQUI
OG0004988	LOC108012823|XP_016933757.1|DSUZ	LOC6039548|XP_038121779.1|CQUI
OG0004989	LOC108006675|XP_036671381.1|DSUZ	LOC6039553|XP_001849150.2|CQUI
OG0004990	LOC108008960|XP_016928360.1|DSUZ	LOC6048516|XP_038118480.1|CQUI
OG0004991	LOC108009102|XP_016928655.1|DSUZ	LOC6050162|XP_038114619.1|CQUI
OG0004992	LOC108009105|XP_036669175.1|DSUZ	LOC119770788|XP_038122210.1|CQUI
OG0004994	LOC108007080|XP_036672133.1|DSUZ	LOC6048750|XP_038120756.1|CQUI
OG0004995	LOC108011852|XP_036672346.1|DSUZ	LOC6053538|XP_038122203.1|CQUI
OG0004996	LOC108013283|XP_016934545.1|DSUZ	LOC6040205|XP_038115200.1|CQUI
OG0004997	LOC108008292|XP_016927593.1|DSUZ	LOC6047338|XP_038120638.1|CQUI
OG0004998	LOC108017994|XP_016940831.1|DSUZ	LOC6042306|XP_038120682.1|CQUI
OG0004999	LOC108014471|XP_016936084.2|DSUZ	LOC6042305|XP_001851441.2|CQUI
OG0005000	LOC108008287|XP_016927588.1|DSUZ	LOC6042316|XP_001851449.1|CQUI
OG0005001	LOC108012851|XP_036670562.1|DSUZ	LOC6042318|XP_038117643.1|CQUI
OG0005002	LOC108017393|XP_036674090.1|DSUZ, LOC118877807|XP_036673843.1|DSUZ	LOC6036305|XP_001846371.1|CQUI
OG0005003	LOC108013189|XP_016934380.1|DSUZ	LOC6039421|XP_001849033.1|CQUI
OG0005004	LOC108012553|XP_016933454.1|DSUZ	LOC6039420|XP_038117210.1|CQUI
OG0005005	LOC108020443|XP_016944253.1|DSUZ, LOC118877438|XP_036672150.1|DSUZ	LOC6050235|XP_038121592.1|CQUI
OG0005006	LOC108013386|XP_016934707.1|DSUZ	LOC6048924|XP_038118322.1|CQUI
OG0005007	LOC108015549|XP_036670994.1|DSUZ	LOC6050230|XP_038118701.1|CQUI
OG0005008	LOC108013625|XP_016935057.1|DSUZ	LOC6050233|XP_038117209.1|CQUI
OG0005009	LOC108004811|XP_016923369.2|DSUZ	LOC6050239|XP_001866878.2|CQUI
OG0005010	LOC108018647|XP_036671178.1|DSUZ	LOC6037314|XP_001847240.1|CQUI
