Orthogroup	AEAL.longest_only	DHYD.longest_only
OG0002857	LOC109401394|XP_029711809.1|AEAL, LOC109432890|XP_029712033.1|AEAL	LOC111592495|XP_023160485.2|DHYD
OG0002858	LOC109433059|XP_019564984.2|AEAL	LOC111603995|XP_023177608.2|DHYD
OG0002859	LOC115256675|XP_029711439.1|AEAL, LOC109433100|XP_019565030.2|AEAL, LOC109411282|XP_019540353.2|AEAL	LOC111596046|XP_023165851.2|DHYD
OG0002860	LOC109420061|XP_019549910.2|AEAL	LOC111602323|XP_023175092.2|DHYD
OG0002861	LOC115257640|XP_029713332.1|AEAL, LOC109433076|XP_029711037.1|AEAL	LOC111601131|XP_023173363.1|DHYD
OG0002862	LOC109420198|XP_029710451.1|AEAL, LOC109433126|XP_029711003.1|AEAL	LOC111599450|XP_023170875.2|DHYD
OG0002863	LOC109433137|XP_029710981.1|AEAL, LOC109420226|XP_019550109.2|AEAL	LOC111602484|XP_023175315.1|DHYD
OG0002864	LOC109433118|XP_029710972.1|AEAL, LOC109420234|XP_029710399.1|AEAL	LOC111602496|XP_023175335.2|DHYD
OG0002865	LOC109420437|XP_029710758.1|AEAL	LOC111593866|XP_023162694.2|DHYD
OG0002866	LOC115264950|XP_029725003.1|AEAL, LOC109621987|XP_019931744.2|AEAL	LOC111601729|XP_023174220.2|DHYD
OG0002867	LOC109621971|XP_019931729.2|AEAL, LOC109409006|XP_019537958.2|AEAL, LOC115264943|XP_029724971.1|AEAL	LOC111603987|XP_023177600.2|DHYD
OG0002868	LOC109415041|XP_029724956.1|AEAL, LOC109622588|XP_019932537.2|AEAL	LOC111594239|XP_023163215.2|DHYD
OG0002869	LOC109621948|XP_019931709.1|AEAL, LOC109404207|XP_029724913.1|AEAL	LOC111594229|XP_023163200.1|DHYD
OG0002872	LOC109400338|XP_029724821.1|AEAL, LOC109425186|XP_029724836.1|AEAL	LOC111594793|XP_023164017.2|DHYD
OG0002873	LOC109400343|XP_019528385.2|AEAL, LOC115264993|XP_029725039.1|AEAL	LOC111598909|XP_023170147.2|DHYD
OG0002874	LOC109400308|XP_019528348.2|AEAL	LOC111596360|XP_023166325.2|DHYD
OG0002875	LOC109425088|XP_019555832.2|AEAL	LOC111592513|XP_023160513.2|DHYD
OG0002876	LOC109429383|XP_029729500.1|AEAL, LOC109425119|XP_019555858.2|AEAL, LOC115266939|XP_029729497.1|AEAL	LOC111601836|XP_023174436.2|DHYD
OG0002877	LOC109408149|XP_029715527.1|AEAL, LOC109408153|XP_029729436.1|AEAL	LOC111594242|XP_023163221.2|DHYD
OG0002878	LOC109408144|XP_029729418.1|AEAL	LOC111595511|XP_023165054.2|DHYD
OG0002879	LOC115254144|XP_029725154.1|AEAL, LOC109409340|XP_019538337.1|AEAL, LOC109419087|XP_029714753.1|AEAL	LOC111596018|XP_023165811.1|DHYD
OG0002880	LOC109419085|XP_029729397.1|AEAL, LOC109409337|XP_029725151.1|AEAL, LOC115253436|XP_029714750.1|AEAL	LOC111601948|XP_023174572.1|DHYD
OG0002881	LOC115266915|XP_029729396.1|AEAL, LOC109419088|XP_029725155.1|AEAL, LOC109409336|XP_029714435.1|AEAL	LOC111599172|XP_023170522.1|DHYD
OG0002882	LOC109419089|XP_019548844.1|AEAL, LOC109409335|XP_019538329.1|AEAL, LOC115258647|XP_029714814.1|AEAL	LOC111597998|XP_023168753.1|DHYD
OG0002883	LOC109419050|XP_019548805.1|AEAL, LOC115258638|XP_029714800.1|AEAL, LOC109409331|XP_029721648.1|AEAL, LOC115266914|XP_029729392.1|AEAL	LOC111602160|XP_023174886.1|DHYD
OG0002884	LOC109419101|XP_019548866.2|AEAL, LOC115258583|XP_029714679.1|AEAL, LOC109409324|XP_029714771.1|AEAL	LOC111596066|XP_023165884.1|DHYD
OG0002885	LOC109419103|XP_019548867.2|AEAL, LOC115254019|XP_029714909.1|AEAL, LOC109409323|XP_029721657.1|AEAL	LOC111597540|XP_023168097.2|DHYD
OG0002886	LOC109409314|XP_029715209.1|AEAL, LOC109419112|XP_019548878.1|AEAL	LOC111596301|XP_023166227.1|DHYD
OG0002887	LOC109409315|XP_019538306.2|AEAL, LOC109419113|XP_019548879.1|AEAL	LOC111596302|XP_023166228.2|DHYD
OG0002888	LOC109419521|XP_029718141.1|AEAL, LOC115258653|XP_029714821.1|AEAL, LOC109409302|XP_019538290.1|AEAL	LOC111600444|XP_023172302.1|DHYD
OG0002889	LOC109419582|XP_019549348.2|AEAL	LOC111603037|XP_023176235.2|DHYD
OG0002890	LOC109409261|XP_019538224.2|AEAL	LOC111598908|XP_023170146.2|DHYD
OG0002891	LOC109418258|XP_019547966.2|AEAL, LOC109622833|XP_019932837.2|AEAL	LOC111604003|XP_023177627.1|DHYD
OG0002892	LOC109418311|XP_029715269.1|AEAL	LOC111603778|XP_030080216.1|DHYD
OG0002893	LOC109398630|XP_029715003.1|AEAL, LOC109418447|XP_029714625.1|AEAL, LOC115258940|XP_029715316.1|AEAL	LOC111603759|XP_030079212.1|DHYD
OG0002894	LOC109398637|XP_019526566.1|AEAL	LOC111598716|XP_023169873.2|DHYD
OG0002895	LOC109404911|XP_019533411.2|AEAL, LOC109398721|XP_029714912.1|AEAL, LOC115258727|XP_029714952.1|AEAL	LOC111605376|XP_023179628.1|DHYD
OG0002896	LOC109406841|XP_029715249.1|AEAL	LOC111592545|XP_023160596.2|DHYD
OG0002897	LOC109398715|XP_029708245.1|AEAL, LOC109406911|XP_029723170.1|AEAL	LOC111592639|XP_023160751.2|DHYD
OG0002898	LOC115253527|XP_029709880.1|AEAL, LOC109398723|XP_029708250.1|AEAL, LOC109406936|XP_029723177.1|AEAL	LOC111596237|XP_023166123.2|DHYD
OG0002899	LOC115267643|XP_029730645.1|AEAL, LOC109398720|XP_029714832.1|AEAL	LOC111595993|XP_023165758.2|DHYD
OG0002900	LOC109407125|XP_029730648.1|AEAL, LOC115258478|XP_029714453.1|AEAL, LOC109405858|XP_029714715.1|AEAL	LOC111595989|XP_030079184.1|DHYD
OG0002901	LOC109407239|XP_029714743.1|AEAL, LOC109414306|XP_029714761.1|AEAL	LOC111592904|XP_023161120.2|DHYD
OG0002902	LOC109407240|XP_019535790.2|AEAL, LOC109414307|XP_019543670.2|AEAL	LOC111592902|XP_023161117.2|DHYD, LOC115483204|XP_030080302.1|DHYD
OG0002903	LOC109407245|XP_029714517.1|AEAL, LOC109414311|XP_029714438.1|AEAL, LOC115254028|XP_029715331.1|AEAL	LOC111593156|XP_023161526.2|DHYD
OG0002904	LOC109414320|XP_029714689.1|AEAL, LOC109407250|XP_029714620.1|AEAL	LOC111605685|XP_023180124.2|DHYD
OG0002905	LOC109407256|XP_019535809.2|AEAL, LOC115254012|XP_029714509.1|AEAL, LOC109414327|XP_019543691.2|AEAL	LOC111594687|XP_023163873.1|DHYD
OG0002906	LOC115258735|XP_029714959.1|AEAL, LOC115258672|XP_029714853.1|AEAL, LOC109414329|XP_029714851.1|AEAL	LOC111594297|XP_023163303.2|DHYD
OG0002907	LOC115253756|XP_029715116.1|AEAL, LOC109424213|XP_029715212.1|AEAL, LOC109414332|XP_029714980.1|AEAL	LOC111594286|XP_023163298.2|DHYD
OG0002908	LOC109412673|XP_029730686.1|AEAL, LOC109420919|XP_029720669.1|AEAL	LOC111594150|XP_023163092.1|DHYD
OG0002909	LOC109420933|XP_029714053.1|AEAL, LOC109412653|XP_019541825.2|AEAL, LOC115254091|XP_029720650.1|AEAL	LOC111593291|XP_023161735.1|DHYD
OG0002910	LOC115258610|XP_029714762.1|AEAL, LOC109420982|XP_019551000.2|AEAL, LOC109428570|XP_029734113.1|AEAL	LOC111594676|XP_023163855.1|DHYD
OG0002911	LOC109428627|XP_019559961.2|AEAL, LOC115254027|XP_029715315.1|AEAL	LOC111605351|XP_023179594.2|DHYD
OG0002912	LOC109421030|XP_019551066.1|AEAL, LOC115258739|XP_029714964.1|AEAL, LOC115254013|XP_029714574.1|AEAL	LOC111602066|XP_023174751.1|DHYD
OG0002913	LOC109429146|XP_019560545.1|AEAL, LOC115268659|XP_029732631.1|AEAL, LOC109421057|XP_019551090.1|AEAL	LOC111593748|XP_023162510.1|DHYD
OG0002914	LOC115268658|XP_029732630.1|AEAL, LOC115258866|XP_029715163.1|AEAL, LOC109421064|XP_019551102.2|AEAL	LOC111595803|XP_023165460.2|DHYD
OG0002915	LOC109416526|XP_019546142.2|AEAL, LOC109415691|XP_019545163.2|AEAL	LOC111596060|XP_023165877.1|DHYD
OG0002916	LOC109410186|XP_029715082.1|AEAL	LOC111605485|XP_023179789.2|DHYD
OG0002917	LOC115258890|XP_029715205.1|AEAL, LOC109410213|XP_019539280.2|AEAL, LOC109417527|XP_019547144.2|AEAL	LOC111605279|XP_023179491.2|DHYD
OG0002918	LOC109417525|XP_019547140.2|AEAL, LOC115258889|XP_029715203.1|AEAL, LOC109410207|XP_019539276.2|AEAL	LOC111600718|XP_023172743.2|DHYD
OG0002919	LOC115266746|XP_029729139.1|AEAL, LOC109410221|XP_019539290.2|AEAL, LOC109417536|XP_019547157.2|AEAL	LOC111605247|XP_023179452.1|DHYD
OG0002920	LOC109417541|XP_019547162.1|AEAL, LOC115266748|XP_029729144.1|AEAL	LOC111602542|XP_023175441.1|DHYD
OG0002921	LOC109417676|XP_019547281.1|AEAL, LOC109622780|XP_019932772.1|AEAL, LOC115255386|XP_029709307.1|AEAL	LOC111599303|XP_023170681.1|DHYD
OG0002922	LOC109622164|XP_019931944.1|AEAL, LOC115253950|XP_029709297.1|AEAL, LOC109417678|XP_029709315.1|AEAL	LOC111594782|XP_023164003.1|DHYD
OG0002923	LOC109417679|XP_029709316.1|AEAL, LOC109622165|XP_029709295.1|AEAL	LOC111594763|XP_030079147.1|DHYD
OG0002924	LOC115255394|XP_029709318.1|AEAL, LOC115253949|XP_029709294.1|AEAL, LOC109622171|XP_029709281.1|AEAL	LOC111594700|XP_023163889.2|DHYD
OG0002925	LOC109417701|XP_029709228.1|AEAL, LOC115253658|XP_029709216.1|AEAL, LOC115255361|XP_029709245.1|AEAL	LOC111593951|XP_030080962.1|DHYD
OG0002926	LOC115255345|XP_029709231.1|AEAL, LOC109418099|XP_019547869.2|AEAL, LOC115254911|XP_029708446.1|AEAL, LOC109417706|XP_029709241.1|AEAL	LOC111599393|XP_023170799.2|DHYD
OG0002927	LOC109417707|XP_019547337.1|AEAL, LOC115255358|XP_029709240.1|AEAL, LOC109418015|XP_019547755.1|AEAL	LOC111599352|XP_023170750.1|DHYD
OG0002928	LOC109417718|XP_019547366.1|AEAL, LOC109417025|XP_019546724.1|AEAL	LOC111594184|XP_023163135.2|DHYD
OG0002929	LOC109417720|XP_029709483.1|AEAL, LOC109415477|XP_019548324.2|AEAL, LOC115255495|XP_029709482.1|AEAL	LOC111599101|XP_023170411.1|DHYD
OG0002930	LOC109420017|XP_029709135.1|AEAL, LOC109417753|XP_019547425.2|AEAL, LOC115253940|XP_029709094.1|AEAL	LOC111594933|XP_023164193.1|DHYD
OG0002931	LOC109420011|XP_029709090.1|AEAL, LOC109417757|XP_029709119.1|AEAL, LOC115255285|XP_029709124.1|AEAL	LOC111605013|XP_023179108.2|DHYD
OG0002932	LOC109417775|XP_019932773.2|AEAL, LOC109417567|XP_029709076.1|AEAL	LOC115483389|XP_030081017.1|DHYD, LOC111592082|XP_030078933.1|DHYD
OG0002933	LOC109417777|XP_029709056.1|AEAL, LOC115255261|XP_029709074.1|AEAL, LOC115255244|XP_029709049.1|AEAL	LOC111597648|XP_023168237.1|DHYD
OG0002934	LOC109419404|XP_029709040.1|AEAL	LOC111597699|XP_023168302.2|DHYD
OG0002935	LOC115255214|XP_029709015.1|AEAL, LOC109397500|XP_029708980.1|AEAL, LOC115255198|XP_029709000.1|AEAL	LOC111601153|XP_023173395.1|DHYD
OG0002936	LOC109419961|XP_029708994.1|AEAL	LOC111597679|XP_023168276.1|DHYD
OG0002937	LOC115255172|XP_029708961.1|AEAL, LOC109419958|XP_029708957.1|AEAL	LOC111604091|XP_023177755.2|DHYD
OG0002938	LOC109419932|XP_029708902.1|AEAL, LOC109420731|XP_029708923.1|AEAL, LOC115255165|XP_029708937.1|AEAL	LOC111594215|XP_023163182.2|DHYD
OG0002939	LOC109420719|XP_019550721.2|AEAL, LOC115255142|XP_029708879.1|AEAL	LOC111605220|XP_023179411.1|DHYD
OG0002940	LOC115271052|XP_029736333.1|AEAL, LOC109419873|XP_029708839.1|AEAL	LOC111604649|XP_030078694.1|DHYD
OG0002941	LOC115255130|XP_029708863.1|AEAL, LOC109414266|XP_019543635.2|AEAL, LOC109420699|XP_029736331.1|AEAL	LOC111592098|XP_023159893.1|DHYD
OG0002942	LOC109420702|XP_019550700.1|AEAL, LOC109419872|XP_019549701.2|AEAL, LOC115271050|XP_029736332.1|AEAL	LOC111599112|XP_023170432.1|DHYD
OG0002943	LOC109414117|XP_029708833.1|AEAL, LOC109420686|XP_029708875.1|AEAL	LOC111592551|XP_023160607.1|DHYD
OG0002944	LOC109414071|XP_029708836.1|AEAL, LOC115255119|XP_029708830.1|AEAL, LOC109420683|XP_029708877.1|AEAL	LOC111592556|XP_023160615.2|DHYD
OG0002945	LOC115253830|XP_029732943.1|AEAL, LOC109420654|XP_029708761.1|AEAL	LOC111603788|XP_023177297.1|DHYD
OG0002946	LOC115255110|XP_029708824.1|AEAL, LOC109420647|XP_029708736.1|AEAL	LOC111598033|XP_023168829.2|DHYD
OG0002947	LOC109420550|XP_029708715.1|AEAL, LOC109417370|XP_029718262.1|AEAL	LOC111598989|XP_030080552.1|DHYD
OG0002948	LOC109420527|XP_029708672.1|AEAL, LOC115253828|XP_029709423.1|AEAL, LOC109407386|XP_019535938.2|AEAL	LOC111595382|XP_023164849.1|DHYD
OG0002949	LOC109407510|XP_029708659.1|AEAL, LOC115253476|XP_029709860.1|AEAL, LOC109420509|XP_019550415.2|AEAL	LOC111596663|XP_023166735.2|DHYD
OG0002950	LOC115255819|XP_029709859.1|AEAL, LOC109420505|XP_029708651.1|AEAL	LOC111596978|XP_030080317.1|DHYD
OG0002951	LOC109419765|XP_019549596.1|AEAL, LOC115269354|XP_029733864.1|AEAL, LOC109420208|XP_029708608.1|AEAL	LOC111596644|XP_023166708.1|DHYD
OG0002952	LOC109419768|XP_029708635.1|AEAL, LOC109420048|XP_029708616.1|AEAL, LOC115254226|XP_029733867.1|AEAL	LOC111599459|XP_023170895.1|DHYD
OG0002953	LOC109419785|XP_029708572.1|AEAL, LOC109398261|XP_029708568.1|AEAL	LOC111593664|XP_023162320.2|DHYD
OG0002954	LOC109427477|XP_019558577.2|AEAL	LOC111592052|XP_023159820.2|DHYD
OG0002955	LOC109427525|XP_019558625.2|AEAL	LOC111600580|XP_023172535.1|DHYD
OG0002956	LOC109428093|XP_019559323.2|AEAL, LOC115254947|XP_029708466.1|AEAL	LOC111593197|XP_023161589.1|DHYD
OG0002957	LOC109427537|XP_019558651.2|AEAL, LOC115266987|XP_029729599.1|AEAL	LOC111592533|XP_023160582.2|DHYD
OG0002958	LOC115262468|XP_029720738.1|AEAL, LOC109427750|XP_029732791.1|AEAL	LOC111599059|XP_023170348.2|DHYD
OG0002959	LOC109430182|XP_029729240.1|AEAL, LOC109433596|XP_029729232.1|AEAL	LOC111599087|XP_023170391.1|DHYD
OG0002960	LOC115254179|XP_029729261.1|AEAL, LOC109433563|XP_029729243.1|AEAL, LOC109430133|XP_029729259.1|AEAL	LOC111596859|XP_023167064.1|DHYD
OG0002961	LOC109432740|XP_029727451.1|AEAL, LOC109427577|XP_029727427.1|AEAL	LOC111593742|XP_023162502.2|DHYD
OG0002962	LOC109621904|XP_019931657.1|AEAL, LOC109427583|XP_019558712.2|AEAL	LOC111592590|XP_023160674.1|DHYD
OG0002963	LOC109621239|XP_029727421.1|AEAL, LOC115265223|XP_029725364.1|AEAL, LOC109427594|XP_029727384.1|AEAL	LOC111594401|XP_023163440.2|DHYD
OG0002964	LOC115265640|XP_029727383.1|AEAL, LOC109427595|XP_029727417.1|AEAL, LOC109621308|XP_029727386.1|AEAL	LOC111593829|XP_023162631.2|DHYD
OG0002965	LOC109416248|XP_029727393.1|AEAL	LOC111594396|XP_023163430.1|DHYD
OG0002966	LOC109416253|XP_019545812.2|AEAL	LOC111602265|XP_023175028.2|DHYD
OG0002967	LOC109404811|XP_019533308.2|AEAL	LOC111598770|XP_023169954.1|DHYD
OG0002968	LOC109404774|XP_019533258.2|AEAL	LOC111598771|XP_023169955.1|DHYD
OG0002969	LOC109404788|XP_019533283.1|AEAL, LOC109423928|XP_029727304.1|AEAL	LOC111599898|XP_023171489.1|DHYD
OG0002970	LOC109419326|XP_029727207.1|AEAL, LOC109404800|XP_019533295.1|AEAL, LOC115265601|XP_029727203.1|AEAL	LOC111602339|XP_023175117.1|DHYD
OG0002971	LOC109407326|XP_019535864.2|AEAL	LOC111603946|XP_023177543.2|DHYD
OG0002972	LOC109421628|XP_019551677.2|AEAL, LOC115265587|XP_029727124.1|AEAL	LOC111596445|XP_023166438.1|DHYD
OG0002973	LOC109409145|XP_019538107.2|AEAL, LOC109421538|XP_019551605.2|AEAL	LOC115482832|XP_030078926.1|DHYD, LOC111592444|XP_023160399.2|DHYD
OG0002974	LOC109409137|XP_019538096.2|AEAL, LOC109421532|XP_029727095.1|AEAL	LOC111598759|XP_023169936.2|DHYD
OG0002975	LOC109409128|XP_019538085.2|AEAL	LOC111596305|XP_023166232.2|DHYD
OG0002976	LOC109421521|XP_019551578.2|AEAL	LOC111602849|XP_023175930.1|DHYD
OG0002977	LOC109622957|XP_029717237.1|AEAL, LOC109421509|XP_029726788.1|AEAL	LOC111605418|XP_023179695.2|DHYD
OG0002978	LOC115265509|XP_029726812.1|AEAL, LOC109421498|XP_029717230.1|AEAL	LOC111600082|XP_023171790.1|DHYD
OG0002979	LOC109421451|XP_019551488.1|AEAL, LOC109432557|XP_019564443.1|AEAL	LOC111599938|XP_023171555.1|DHYD
OG0002980	LOC109621805|XP_029726948.1|AEAL, LOC109421312|XP_029708026.1|AEAL	LOC111602532|XP_023175425.1|DHYD
OG0002981	LOC109622335|XP_029732561.1|AEAL, LOC109621402|XP_019930993.1|AEAL	LOC111600328|XP_023172160.2|DHYD
OG0002982	LOC115253541|XP_029716948.1|AEAL, LOC109621735|XP_029732589.1|AEAL, LOC115268596|XP_029732572.1|AEAL, LOC115268595|XP_029732567.1|AEAL	LOC111600389|XP_023172233.2|DHYD
OG0002983	LOC109432818|XP_019564708.1|AEAL, LOC109416607|XP_019546221.1|AEAL, LOC115261561|XP_029719307.1|AEAL, LOC109402475|XP_019530707.3|AEAL	LOC111597413|XP_023167873.2|DHYD
OG0002984	LOC109429628|XP_029719974.1|AEAL	LOC111601126|XP_030081642.1|DHYD
OG0002985	LOC109429599|XP_019561134.2|AEAL, LOC115262101|XP_029719955.1|AEAL	LOC111593713|XP_023162446.1|DHYD
OG0002986	LOC109429984|XP_029719923.1|AEAL, LOC109429567|XP_029719897.1|AEAL	LOC111594397|XP_023163432.1|DHYD, LOC111592371|XP_023160305.2|DHYD
OG0002987	LOC109429540|XP_029720100.1|AEAL	LOC111601134|XP_023173369.1|DHYD
OG0002988	LOC109415442|XP_019544857.2|AEAL	LOC111599039|XP_023170321.2|DHYD
OG0002989	LOC109429878|XP_019561408.1|AEAL	LOC111604475|XP_023178327.2|DHYD
OG0002990	LOC109429816|XP_019561345.2|AEAL	LOC111594760|XP_023163977.2|DHYD
OG0002991	LOC109398278|XP_029720164.1|AEAL, LOC115261688|XP_029719434.1|AEAL	LOC111605389|XP_023179650.2|DHYD
OG0002992	LOC109398296|XP_029707740.1|AEAL, LOC109429783|XP_029720289.1|AEAL	LOC115482911|XP_030079019.1|DHYD, LOC111594180|XP_023163130.1|DHYD
OG0002993	LOC109404264|XP_019532629.2|AEAL, LOC109416575|XP_029719826.1|AEAL, LOC109404263|XP_029719787.1|AEAL, LOC109416576|XP_019546199.2|AEAL	LOC111591919|XP_023159613.1|DHYD
OG0002994	LOC109411683|XP_029720327.1|AEAL, LOC109404612|XP_029720258.1|AEAL	LOC111602156|XP_023174879.1|DHYD
OG0002995	LOC109411700|XP_019540817.1|AEAL	LOC111602158|XP_023174884.1|DHYD
OG0002996	LOC115262200|XP_029720402.1|AEAL, LOC109411222|XP_019540273.2|AEAL	LOC111596248|XP_023166151.2|DHYD
OG0002997	LOC115262194|XP_029720398.1|AEAL, LOC109411223|XP_019540275.2|AEAL	LOC111593651|XP_023162304.1|DHYD
OG0002998	LOC109411225|XP_019540280.2|AEAL, LOC115262203|XP_029720405.1|AEAL	LOC111603113|XP_023176351.2|DHYD
OG0002999	LOC109414173|XP_019543500.2|AEAL	LOC111600971|XP_023173122.1|DHYD
OG0003000	LOC115258101|XP_029713980.1|AEAL, LOC109407197|XP_029707820.1|AEAL	LOC111592012|XP_023159768.2|DHYD
OG0003001	LOC109426315|XP_029707815.1|AEAL, LOC109421719|XP_019551788.2|AEAL	LOC111593855|XP_023162668.1|DHYD
OG0003002	LOC109421738|XP_019551813.1|AEAL, LOC109425462|XP_019556276.1|AEAL	LOC111599793|XP_023171337.1|DHYD
OG0003003	LOC109421745|XP_019551825.2|AEAL	LOC111595526|XP_023165075.2|DHYD
OG0003004	LOC109428052|XP_019559267.2|AEAL, LOC115261585|XP_029719350.1|AEAL	LOC111596744|XP_023166844.2|DHYD
OG0003005	LOC109418279|XP_019547983.1|AEAL	LOC111592537|XP_023160588.2|DHYD, LOC111592314|XP_023160233.1|DHYD
OG0003006	LOC109418323|XP_029707581.1|AEAL, LOC109428102|XP_029733371.1|AEAL	LOC111604959|XP_023179006.1|DHYD
OG0003007	LOC109418327|XP_019548056.2|AEAL, LOC109428107|XP_019559342.2|AEAL	LOC111599576|XP_023171018.1|DHYD
OG0003008	LOC115254094|XP_029720905.1|AEAL, LOC109418203|XP_029721152.1|AEAL	LOC111597035|XP_023167320.2|DHYD
OG0003009	LOC109426168|XP_029712636.1|AEAL, LOC115261476|XP_029719055.1|AEAL, LOC109418385|XP_029719722.1|AEAL	LOC111601602|XP_023174034.1|DHYD
OG0003010	LOC115253835|XP_029725035.1|AEAL, LOC115263759|XP_029722956.1|AEAL, LOC109413524|XP_019542754.2|AEAL, LOC109419138|XP_029722800.1|AEAL	LOC111600530|XP_023172432.2|DHYD
OG0003011	LOC115263291|XP_029722585.1|AEAL, LOC115263706|XP_029722812.1|AEAL, LOC109419187|XP_029722963.1|AEAL	LOC111595253|XP_023164667.2|DHYD
OG0003012	LOC109427333|XP_029723771.1|AEAL	LOC111602694|XP_030078641.1|DHYD
OG0003013	LOC115254119|XP_029723888.1|AEAL, LOC109426106|XP_029733172.1|AEAL, LOC109419296|XP_029714018.1|AEAL, LOC115253831|XP_029723993.1|AEAL	LOC111604749|XP_023178692.2|DHYD
OG0003014	LOC115264449|XP_029724003.1|AEAL, LOC109419297|XP_029733174.1|AEAL, LOC109426103|XP_029714015.1|AEAL, LOC109431812|XP_029723915.1|AEAL	LOC111598354|XP_023169331.1|DHYD
OG0003015	LOC109400188|XP_019528552.2|AEAL, LOC109415465|XP_019544886.2|AEAL	LOC111598842|XP_023170046.2|DHYD
OG0003016	LOC109429497|XP_019561004.2|AEAL, LOC109415714|XP_029724305.1|AEAL	LOC111597451|XP_030081731.1|DHYD
OG0003017	LOC109402996|XP_029724791.1|AEAL, LOC109429513|XP_019561028.2|AEAL	LOC111604891|XP_023178898.1|DHYD, LOC115482782|XP_030078628.1|DHYD
OG0003018	LOC115254143|XP_029725111.1|AEAL, LOC115262610|XP_029720865.1|AEAL, LOC109410423|XP_029725262.1|AEAL	LOC111595920|XP_023165639.1|DHYD
OG0003019	LOC109401456|XP_019529565.2|AEAL, LOC109410441|XP_029725838.1|AEAL	LOC111604429|XP_023178259.2|DHYD, LOC115483194|XP_030080247.1|DHYD
OG0003020	LOC109410459|XP_029725734.1|AEAL, LOC109401495|XP_019529616.2|AEAL	LOC111602981|XP_023176144.2|DHYD
OG0003021	LOC109410413|XP_019539508.2|AEAL	LOC111604996|XP_023179084.2|DHYD
OG0003022	LOC109410480|XP_029726102.1|AEAL, LOC109405826|XP_029718273.1|AEAL	LOC111604680|XP_023178610.2|DHYD
OG0003023	LOC109415384|XP_019544795.2|AEAL, LOC109415394|XP_019544806.2|AEAL, LOC115265444|XP_029726449.1|AEAL	LOC111595370|XP_030079938.1|DHYD
OG0003024	LOC109413677|XP_019542937.2|AEAL	LOC111603452|XP_023176808.2|DHYD
OG0003025	LOC109400205|XP_019528231.2|AEAL, LOC115266150|XP_029727976.1|AEAL, LOC109427010|XP_029728231.1|AEAL, LOC115260907|XP_029718111.1|AEAL, LOC115260901|XP_029718104.1|AEAL	LOC111593617|XP_023162254.1|DHYD
OG0003026	LOC109427096|XP_019558212.1|AEAL, LOC115266991|XP_029729624.1|AEAL, LOC109400176|XP_019528193.2|AEAL	LOC111593618|XP_023162255.2|DHYD
OG0003027	LOC109427008|XP_029728313.1|AEAL, LOC115266138|XP_029727964.1|AEAL, LOC109400203|XP_029728254.1|AEAL, LOC115266353|XP_029728354.1|AEAL	LOC111604648|XP_030078640.1|DHYD
OG0003028	LOC109402029|XP_019530178.2|AEAL, LOC115263779|XP_029723007.1|AEAL, LOC109399759|XP_019527820.2|AEAL	LOC111597504|XP_023168037.2|DHYD
OG0003029	LOC109402003|XP_029723008.1|AEAL, LOC109399749|XP_029722995.1|AEAL	LOC111596515|XP_023166548.2|DHYD
OG0003032	LOC109401340|XP_029728608.1|AEAL, LOC115254174|XP_029728684.1|AEAL	LOC111602232|XP_023174981.2|DHYD
OG0003033	LOC109423811|XP_029729039.1|AEAL, LOC115266717|XP_029729112.1|AEAL, LOC109415331|XP_019544760.2|AEAL, LOC115254193|XP_029731092.1|AEAL	LOC111601682|XP_023174154.2|DHYD
OG0003034	LOC109411724|XP_019540852.2|AEAL	LOC111601428|XP_030078792.1|DHYD
OG0003035	LOC109411595|XP_019540689.2|AEAL, LOC109421352|XP_029732702.1|AEAL	LOC111594466|XP_023163534.1|DHYD
OG0003036	LOC109421319|XP_019551376.2|AEAL, LOC109411577|XP_029729526.1|AEAL	LOC111604353|XP_023178186.1|DHYD
OG0003037	LOC109411159|XP_019540184.2|AEAL, LOC115267634|XP_029730640.1|AEAL, LOC109425605|XP_019556395.2|AEAL	LOC111594366|XP_023163399.1|DHYD
OG0003038	LOC109416762|XP_029731122.1|AEAL, LOC109400877|XP_019528905.2|AEAL	LOC111599664|XP_023171135.2|DHYD
OG0003039	LOC109400870|XP_019528900.2|AEAL	LOC115482917|XP_030079065.1|DHYD, LOC111592587|XP_023160670.2|DHYD
OG0003040	LOC109416017|XP_019545528.2|AEAL	LOC111598882|XP_023170116.1|DHYD
OG0003041	LOC115267280|XP_029730052.1|AEAL, LOC109423455|XP_029731572.1|AEAL, LOC109414752|XP_029731467.1|AEAL	LOC111597505|XP_023168038.1|DHYD
OG0003042	LOC115267970|XP_029731678.1|AEAL	LOC111602716|XP_023175729.1|DHYD
OG0003043	LOC115254550|XP_029708033.1|AEAL, LOC109414568|XP_019543955.2|AEAL	LOC111592007|XP_023159757.2|DHYD
OG0003044	LOC109423417|XP_019553944.2|AEAL, LOC109414546|XP_029731708.1|AEAL	LOC111597102|XP_023167413.2|DHYD
OG0003045	LOC109414508|XP_019543894.2|AEAL	LOC111595153|XP_023164503.1|DHYD
OG0003046	LOC109430468|XP_029732271.1|AEAL, LOC109409582|XP_029732442.1|AEAL, LOC115268461|XP_029732327.1|AEAL	LOC111604652|XP_023178577.2|DHYD
OG0003047	LOC115268509|XP_029732456.1|AEAL, LOC115268465|XP_029732343.1|AEAL, LOC109430469|XP_029732293.1|AEAL	LOC111604654|XP_023178579.1|DHYD
