Orthogroup	CPIP.longest_only	DSUP.longest_only
OG0002927	LOC120415490|XP_039432992.1|CPIP	LOC119548770|XP_037712241.1|DSUP
OG0002928	LOC120419192|XP_039437799.1|CPIP	LOC119548718|XP_037712122.1|DSUP
OG0002929	LOC120419197|XP_039437802.1|CPIP	LOC119546965|XP_037709539.1|DSUP
OG0002930	LOC120415978|XP_039433565.1|CPIP	LOC119546812|XP_037709323.1|DSUP
OG0002931	LOC120416762|XP_039434538.1|CPIP	LOC119545933|XP_037707794.1|DSUP
OG0002932	LOC120424415|XP_039444459.1|CPIP	LOC119549106|XP_037712771.1|DSUP
OG0002933	LOC120422517|XP_039441908.1|CPIP, LOC120431106|XP_039452194.1|CPIP	LOC119551489|XP_037716781.1|DSUP
OG0002934	LOC120422500|XP_039441888.1|CPIP	LOC119549932|XP_037714237.1|DSUP
OG0002935	LOC120416070|XP_039433672.1|CPIP	LOC119546893|XP_037709442.1|DSUP
OG0002936	LOC120416264|XP_039433902.1|CPIP	LOC119551180|XP_037716309.1|DSUP
OG0002937	LOC120426122|XP_039446758.1|CPIP	LOC119559603|XP_037728546.1|DSUP
OG0002938	LOC120430519|XP_039451566.1|CPIP	LOC119548167|XP_037711206.1|DSUP
OG0002939	LOC120419841|XP_039438610.1|CPIP	LOC119551284|XP_037716478.1|DSUP
OG0002940	LOC120430182|XP_039451196.1|CPIP	LOC119563026|XP_037732152.1|DSUP
OG0002941	LOC120430184|XP_039451198.1|CPIP	LOC119562268|XP_037731370.1|DSUP
OG0002942	LOC120412835|XP_039429378.1|CPIP	LOC119547103|XP_037709733.1|DSUP
OG0002943	LOC120412810|XP_039429345.1|CPIP	LOC119546592|XP_037708933.1|DSUP
OG0002944	LOC120412839|XP_039429383.1|CPIP	LOC119546594|XP_037708940.1|DSUP
OG0002945	LOC120416594|XP_039434265.1|CPIP	LOC119548687|XP_037712064.1|DSUP
OG0002946	LOC120416599|XP_039434321.1|CPIP	LOC119549445|XP_037713465.1|DSUP
OG0002947	LOC120416879|XP_039434707.1|CPIP	LOC119547383|XP_037710146.1|DSUP
OG0002948	LOC120420516|XP_039439515.1|CPIP	LOC119553885|XP_037720472.1|DSUP
OG0002949	LOC120415969|XP_039433548.1|CPIP	LOC119553968|XP_037720598.1|DSUP
OG0002950	LOC120416791|XP_039434591.1|CPIP	LOC119548782|XP_037712274.1|DSUP
OG0002951	LOC120423477|XP_039443247.1|CPIP	LOC119548495|XP_037711699.1|DSUP
OG0002952	LOC120423467|XP_039443226.1|CPIP	LOC119547359|XP_037710104.1|DSUP
OG0002953	LOC120421264|XP_039440394.1|CPIP, LOC120430151|XP_039451170.1|CPIP	LOC119547319|XP_037710046.1|DSUP
OG0002954	LOC120422764|XP_039442246.1|CPIP, LOC120430855|XP_039451913.1|CPIP	LOC119562313|XP_037731396.1|DSUP
OG0002955	LOC120430859|XP_039451919.1|CPIP	LOC119549366|XP_037713321.1|DSUP
OG0002956	LOC120432061|XP_039453126.1|CPIP, LOC120426261|XP_039446931.1|CPIP	LOC119550599|XP_037715342.1|DSUP
OG0002957	LOC120426263|XP_039446938.1|CPIP	LOC119552178|XP_037717940.1|DSUP
OG0002958	LOC120412834|XP_039429376.1|CPIP	LOC119548730|XP_037712162.1|DSUP
OG0002959	LOC120415714|XP_039433242.1|CPIP	LOC119545944|XP_037707819.1|DSUP
OG0002960	LOC120427809|XP_039448663.1|CPIP, LOC120429253|XP_039450402.1|CPIP	LOC119553879|XP_037720466.1|DSUP
OG0002961	LOC120431273|XP_039452339.1|CPIP, LOC120415541|XP_039433042.1|CPIP	LOC119551484|XP_037716774.1|DSUP
OG0002962	LOC120421999|XP_039441243.1|CPIP	LOC119548297|XP_037711392.1|DSUP
OG0002963	LOC120422000|XP_039441249.1|CPIP	LOC119546126|XP_037708148.1|DSUP
OG0002964	LOC120421985|XP_039441229.1|CPIP	LOC119550159|XP_037714600.1|DSUP
OG0002965	LOC120425302|XP_039445701.1|CPIP	LOC119545949|XP_037707833.1|DSUP
OG0002966	LOC120421128|XP_039440221.1|CPIP	LOC119559666|XP_037728650.1|DSUP
OG0002967	LOC120422383|XP_039441727.1|CPIP	LOC119554659|XP_037721588.1|DSUP
OG0002968	LOC120417767|XP_039435863.1|CPIP, LOC120412486|XP_039428912.1|CPIP	LOC119554660|XP_037721590.1|DSUP
OG0002969	LOC120418334|XP_039436608.1|CPIP, LOC120412484|XP_039428910.1|CPIP	LOC119546030|XP_037707975.1|DSUP
OG0002970	LOC120423989|XP_039443920.1|CPIP	LOC119548758|XP_037712214.1|DSUP
OG0002971	LOC120418208|XP_039436450.1|CPIP, LOC120412480|XP_039428905.1|CPIP	LOC119547159|XP_037709813.1|DSUP
OG0002972	LOC120422416|XP_039441765.1|CPIP	LOC119547912|XP_037710882.1|DSUP
OG0002973	LOC120418690|XP_039437088.1|CPIP	LOC119550381|XP_037714959.1|DSUP
OG0002974	LOC120412502|XP_039428935.1|CPIP, LOC120418395|XP_039436705.1|CPIP	LOC119553405|XP_037719705.1|DSUP
OG0002975	LOC120432454|XP_039453606.1|CPIP	LOC119546600|XP_037708957.1|DSUP
OG0002976	LOC120432412|XP_039453545.1|CPIP	LOC119556612|XP_037724853.1|DSUP
OG0002977	LOC120427862|XP_039448714.1|CPIP	LOC119551952|XP_037717571.1|DSUP
OG0002978	LOC120427065|XP_039447837.1|CPIP	LOC119549383|XP_037713351.1|DSUP
OG0002979	LOC120421161|XP_039440287.1|CPIP	LOC119549935|XP_037714242.1|DSUP
OG0002980	LOC120426898|XP_039447642.1|CPIP	LOC119546011|XP_037707942.1|DSUP
OG0002981	LOC120420971|XP_039440037.1|CPIP	LOC119546210|XP_037708273.1|DSUP
OG0002982	LOC120414576|XP_039431747.1|CPIP	LOC119547338|XP_037710076.1|DSUP
OG0002984	LOC120417443|XP_039435425.1|CPIP	LOC119552696|XP_037718350.1|DSUP
OG0002985	LOC120417298|XP_039435186.1|CPIP	LOC119563161|XP_037732352.1|DSUP
OG0002986	LOC120425175|XP_039445542.1|CPIP	LOC119546704|XP_037709111.1|DSUP
OG0002987	LOC120418198|XP_039436443.1|CPIP, LOC120412483|XP_039428909.1|CPIP	LOC119547870|XP_037710834.1|DSUP
OG0002988	LOC120428969|XP_039450039.1|CPIP	LOC119546080|XP_037708084.1|DSUP
OG0002989	LOC120420524|XP_039439527.1|CPIP	LOC119555313|XP_037722566.1|DSUP
OG0002990	LOC120418700|XP_039437099.1|CPIP	LOC119547493|XP_037710311.1|DSUP
OG0002991	LOC120412678|XP_039429179.1|CPIP	LOC119550430|XP_037715025.1|DSUP
OG0002992	LOC120412469|XP_039428880.1|CPIP	LOC119547585|XP_037710419.1|DSUP
OG0002993	LOC120417308|XP_039435193.1|CPIP	LOC119552802|XP_037718567.1|DSUP
OG0002994	LOC120431743|XP_039452802.1|CPIP, LOC120417295|XP_039435180.1|CPIP	LOC119548489|XP_037711691.1|DSUP
OG0002995	LOC120419039|XP_039437538.1|CPIP	LOC119548748|XP_037712193.1|DSUP
OG0002996	LOC120426578|XP_039447297.1|CPIP	LOC119562988|XP_037732095.1|DSUP
OG0002997	LOC120426561|XP_039447266.1|CPIP	LOC119557088|XP_037725571.1|DSUP
OG0002998	LOC120426569|XP_039447284.1|CPIP	LOC119556238|XP_037724200.1|DSUP
OG0002999	LOC120423197|XP_039442833.1|CPIP	LOC119553323|XP_037719580.1|DSUP
OG0003000	LOC120414342|XP_039431432.1|CPIP	LOC119560583|XP_037730035.1|DSUP
OG0003001	LOC120414333|XP_039431406.1|CPIP	LOC119551381|XP_037716631.1|DSUP
OG0003002	LOC120425766|XP_039446307.1|CPIP	LOC119552975|XP_037718916.1|DSUP
OG0003003	LOC120420631|XP_039439641.1|CPIP	LOC119550368|XP_037714938.1|DSUP
OG0003004	LOC120432409|XP_039453544.1|CPIP	LOC119557721|XP_037726530.1|DSUP
OG0003005	LOC120432372|XP_039453498.1|CPIP	LOC119557165|XP_037725699.1|DSUP
OG0003006	LOC120414446|XP_039431571.1|CPIP	LOC119563090|XP_037732249.1|DSUP
OG0003007	LOC120414891|XP_039432151.1|CPIP	LOC119560859|XP_037730455.1|DSUP
OG0003008	LOC120413970|XP_039430913.1|CPIP	LOC119556904|XP_037725321.1|DSUP
OG0003009	LOC120419299|XP_039437902.1|CPIP	LOC119554571|XP_037721471.1|DSUP
OG0003010	LOC120426757|XP_039447466.1|CPIP, LOC120418647|XP_039437029.1|CPIP	LOC119550671|XP_037715452.1|DSUP
OG0003011	LOC120419107|XP_039437639.1|CPIP	LOC119551221|XP_037716386.1|DSUP
OG0003012	LOC120413681|XP_039430542.1|CPIP	LOC119551056|XP_037716108.1|DSUP
OG0003013	LOC120413651|XP_039430501.1|CPIP	LOC119556054|XP_037723785.1|DSUP
OG0003014	LOC120413685|XP_039430547.1|CPIP	LOC119558130|XP_037727289.1|DSUP
OG0003015	LOC120426082|XP_039446726.1|CPIP, LOC120413677|XP_039430539.1|CPIP	LOC119557656|XP_037726438.1|DSUP
OG0003016	LOC120423599|XP_039443398.1|CPIP	LOC119555403|XP_037722686.1|DSUP
OG0003017	LOC120431034|XP_039452121.1|CPIP	LOC119560071|XP_037729306.1|DSUP
OG0003018	LOC120417656|XP_039435712.1|CPIP	LOC119549275|XP_037713131.1|DSUP
OG0003019	LOC120426338|XP_039447034.1|CPIP	LOC119554036|XP_037720686.1|DSUP
OG0003020	LOC120426078|XP_039446722.1|CPIP	LOC119560169|XP_037729459.1|DSUP
OG0003021	LOC120425214|XP_039445578.1|CPIP	LOC119560664|XP_037730162.1|DSUP
OG0003022	LOC120425210|XP_039445575.1|CPIP, LOC120425921|XP_039446475.1|CPIP	LOC119554572|XP_037721472.1|DSUP
OG0003023	LOC120432348|XP_039453469.1|CPIP	LOC119557737|XP_037726551.1|DSUP
OG0003024	LOC120414679|XP_039431900.1|CPIP	LOC119553153|XP_037719301.1|DSUP
OG0003025	LOC120432203|XP_039453295.1|CPIP	LOC119560867|XP_037730467.1|DSUP
OG0003026	LOC120432154|XP_039453214.1|CPIP	LOC119560064|XP_037729298.1|DSUP
OG0003027	LOC120432198|XP_039453285.1|CPIP	LOC119559977|XP_037729151.1|DSUP
OG0003028	LOC120422245|XP_039441572.1|CPIP	LOC119554538|XP_037721423.1|DSUP
OG0003029	LOC120420017|XP_039438853.1|CPIP, LOC120422241|XP_039441565.1|CPIP	LOC119553394|XP_037719685.1|DSUP
OG0003030	LOC120432377|XP_039453505.1|CPIP	LOC119560994|XP_037730701.1|DSUP
OG0003031	LOC120414987|XP_039432280.1|CPIP	LOC119556783|XP_037725145.1|DSUP
OG0003032	LOC120414396|XP_039431509.1|CPIP	LOC119545956|XP_037707847.1|DSUP
OG0003033	LOC120414388|XP_039431499.1|CPIP	LOC119552875|XP_037718703.1|DSUP
OG0003034	LOC120419219|XP_039437809.1|CPIP, LOC120425036|XP_039445339.1|CPIP	LOC119549624|XP_037713734.1|DSUP
OG0003035	LOC120419256|XP_039437844.1|CPIP	LOC119554947|XP_037721990.1|DSUP
OG0003036	LOC120419255|XP_039437843.1|CPIP	LOC119559391|XP_037728379.1|DSUP
OG0003037	LOC120427916|XP_039448788.1|CPIP	LOC119553033|XP_037719023.1|DSUP
OG0003038	LOC120415951|XP_039433528.1|CPIP, LOC120417169|XP_039435085.1|CPIP	LOC119551158|XP_037716282.1|DSUP
OG0003039	LOC120427125|XP_039447911.1|CPIP, LOC120416526|XP_039434177.1|CPIP	LOC119548654|XP_037711994.1|DSUP
OG0003040	LOC120415905|XP_039433481.1|CPIP	LOC119553105|XP_037719203.1|DSUP
OG0003041	LOC120415892|XP_039433465.1|CPIP	LOC119552484|XP_037718011.1|DSUP
OG0003042	LOC120431341|XP_039452407.1|CPIP, LOC120420941|XP_039440008.1|CPIP	LOC119545848|XP_037707745.1|DSUP
OG0003043	LOC120431345|XP_039452411.1|CPIP, LOC120420937|XP_039440004.1|CPIP	LOC119548493|XP_037711700.1|DSUP
OG0003044	LOC120420931|XP_039439996.1|CPIP	LOC119551935|XP_037717525.1|DSUP
OG0003045	LOC120420944|XP_039440013.1|CPIP	LOC119558014|XP_037727056.1|DSUP
OG0003046	LOC120417538|XP_039435554.1|CPIP	LOC119545706|XP_037707396.1|DSUP
OG0003047	LOC120417539|XP_039435555.1|CPIP	LOC119545710|XP_037707441.1|DSUP
OG0003048	LOC120417524|XP_039435541.1|CPIP	LOC119549028|XP_037712640.1|DSUP
OG0003049	LOC120417520|XP_039435537.1|CPIP	LOC119560053|XP_037729286.1|DSUP
OG0003050	LOC120421251|XP_039440386.1|CPIP	LOC119548768|XP_037712243.1|DSUP
OG0003051	LOC120413788|XP_039430671.1|CPIP	LOC119553310|XP_037719564.1|DSUP
OG0003052	LOC120413774|XP_039430645.1|CPIP	LOC119560970|XP_037730661.1|DSUP
OG0003053	LOC120422104|XP_039441390.1|CPIP	LOC119560059|XP_037729294.1|DSUP
OG0003054	LOC120422099|XP_039441385.1|CPIP	LOC119560099|XP_037729350.1|DSUP
OG0003055	LOC120420876|XP_039439930.1|CPIP, LOC120417430|XP_039435406.1|CPIP	LOC119545853|XP_037707753.1|DSUP
OG0003056	LOC120431718|XP_039452776.1|CPIP, LOC120430876|XP_039451938.1|CPIP	LOC119556633|XP_037724886.1|DSUP
OG0003057	LOC120414811|XP_039432066.1|CPIP	LOC119550669|XP_037715442.1|DSUP
OG0003058	LOC120414809|XP_039432062.1|CPIP	LOC119549644|XP_037713757.1|DSUP
OG0003059	LOC120414807|XP_039432059.1|CPIP	LOC119555824|XP_037723370.1|DSUP
OG0003060	LOC120414805|XP_039432058.1|CPIP	LOC119549702|XP_037713854.1|DSUP
OG0003061	LOC120413049|XP_039429678.1|CPIP	LOC119557629|XP_037726386.1|DSUP
OG0003062	LOC120413033|XP_039429639.1|CPIP	LOC119559538|XP_037728519.1|DSUP
OG0003063	LOC120413045|XP_039429670.1|CPIP	LOC119552976|XP_037718917.1|DSUP
OG0003064	LOC120423273|XP_039442947.1|CPIP	LOC119555223|XP_037722430.1|DSUP
OG0003065	LOC120412931|XP_039429497.1|CPIP	LOC119562776|XP_037731889.1|DSUP
OG0003066	LOC120412965|XP_039429547.1|CPIP	LOC119563074|XP_037732217.1|DSUP
OG0003067	LOC120413019|XP_039429616.1|CPIP	LOC119563000|XP_037732114.1|DSUP
OG0003069	LOC120414393|XP_039431503.1|CPIP	LOC119549353|XP_037713266.1|DSUP
OG0003070	LOC120414402|XP_039431513.1|CPIP	LOC119548753|XP_037712199.1|DSUP
OG0003071	LOC120414409|XP_039431524.1|CPIP	LOC119554550|XP_037721443.1|DSUP
OG0003072	LOC120414392|XP_039431501.1|CPIP	LOC119559773|XP_037728777.1|DSUP
OG0003073	LOC120414427|XP_039431541.1|CPIP	LOC119559774|XP_037728778.1|DSUP
OG0003074	LOC120424401|XP_039444435.1|CPIP	LOC119547328|XP_037710062.1|DSUP
OG0003075	LOC120417894|XP_039436051.1|CPIP	LOC119559050|XP_037728106.1|DSUP, LOC119559046|XP_037728102.1|DSUP
OG0003076	LOC120419324|XP_039437930.1|CPIP	LOC119552884|XP_037718715.1|DSUP
OG0003077	LOC120414001|XP_039430944.1|CPIP	LOC119558043|XP_037727137.1|DSUP
OG0003078	LOC120426310|XP_039446993.1|CPIP	LOC119563516|XP_037732892.1|DSUP
OG0003079	LOC120422354|XP_039441685.1|CPIP	LOC119556098|XP_037723893.1|DSUP
OG0003080	LOC120427440|XP_039448231.1|CPIP, LOC120429954|XP_039450981.1|CPIP	LOC119562991|XP_037732099.1|DSUP
OG0003081	LOC120427441|XP_039448237.1|CPIP	LOC119545776|XP_037707563.1|DSUP
OG0003082	LOC120427437|XP_039448227.1|CPIP	LOC119559929|XP_037729063.1|DSUP
OG0003083	LOC120423432|XP_039443176.1|CPIP	LOC119562924|XP_037732002.1|DSUP
OG0003084	LOC120421487|XP_039440639.1|CPIP	LOC119559942|XP_037729082.1|DSUP
OG0003085	LOC120421518|XP_039440670.1|CPIP	LOC119559953|XP_037729111.1|DSUP
OG0003086	LOC120421495|XP_039440647.1|CPIP	LOC119559906|XP_037729003.1|DSUP
OG0003087	LOC120430438|XP_039451484.1|CPIP	LOC119554034|XP_037720680.1|DSUP
OG0003088	LOC120421266|XP_039440398.1|CPIP	LOC119560516|XP_037729920.1|DSUP
OG0003089	LOC120421162|XP_039440293.1|CPIP	LOC119560814|XP_037730384.1|DSUP
OG0003090	LOC120421858|XP_039441092.1|CPIP	LOC119559998|XP_037729199.1|DSUP
OG0003091	LOC120426530|XP_039447233.1|CPIP, LOC120427950|XP_039448834.1|CPIP	LOC119550345|XP_037714896.1|DSUP
OG0003092	LOC120427947|XP_039448829.1|CPIP	LOC119560808|XP_037730369.1|DSUP
OG0003093	LOC120418255|XP_039436504.1|CPIP, LOC120422713|XP_039442171.1|CPIP	LOC119549096|XP_037712758.1|DSUP
OG0003094	LOC120422745|XP_039442222.1|CPIP, LOC120418262|XP_039436513.1|CPIP	LOC119556939|XP_037725359.1|DSUP
OG0003095	LOC120424114|XP_039444088.1|CPIP	LOC119556158|XP_037723987.1|DSUP
OG0003100	LOC120419413|XP_039438025.1|CPIP	LOC119556932|XP_037725350.1|DSUP
OG0003101	LOC120429724|XP_039450704.1|CPIP, LOC120423171|XP_039442787.1|CPIP	LOC119545675|XP_037707329.1|DSUP
OG0003102	LOC120423163|XP_039442778.1|CPIP, LOC120429727|XP_039450710.1|CPIP	LOC119555573|XP_037722957.1|DSUP
OG0003103	LOC120423159|XP_039442774.1|CPIP, LOC120429726|XP_039450706.1|CPIP	LOC119548020|XP_037711023.1|DSUP
OG0003104	LOC120419398|XP_039438008.1|CPIP	LOC119554406|XP_037721224.1|DSUP
OG0003105	LOC120419455|XP_039438070.1|CPIP	LOC119557923|XP_037726858.1|DSUP
OG0003106	LOC120419443|XP_039438059.1|CPIP	LOC119550925|XP_037715870.1|DSUP, LOC119549629|XP_037713743.1|DSUP
OG0003107	LOC120431822|XP_039452876.1|CPIP	LOC119558218|XP_037727456.1|DSUP
OG0003108	LOC120421345|XP_039440458.1|CPIP	LOC119556876|XP_037725280.1|DSUP
OG0003109	LOC120421375|XP_039440502.1|CPIP	LOC119555844|XP_037723400.1|DSUP
OG0003110	LOC120423114|XP_039442726.1|CPIP, LOC120419558|XP_039438216.1|CPIP	LOC119551859|XP_037717366.1|DSUP
OG0003111	LOC120416667|XP_039434413.1|CPIP	LOC119558151|XP_037727318.1|DSUP
OG0003112	LOC120416638|XP_039434383.1|CPIP	LOC119545766|XP_037707540.1|DSUP
OG0003114	LOC120419931|XP_039438730.1|CPIP	LOC119559371|XP_037728337.1|DSUP
OG0003115	LOC120419951|XP_039438745.1|CPIP	LOC119551846|XP_037717347.1|DSUP
OG0003116	LOC120419928|XP_039438727.1|CPIP	LOC119550682|XP_037715472.1|DSUP
OG0003117	LOC120412521|XP_039428949.1|CPIP	LOC119554837|XP_037721840.1|DSUP
OG0003118	LOC120417971|XP_039436144.1|CPIP	LOC119552958|XP_037718869.1|DSUP
OG0003119	LOC120418007|XP_039436185.1|CPIP	LOC119552846|XP_037718642.1|DSUP
OG0003120	LOC120417548|XP_039435564.1|CPIP	LOC119551300|XP_037716509.1|DSUP
OG0003121	LOC120424716|XP_039444836.1|CPIP	LOC119556911|XP_037725326.1|DSUP
OG0003122	LOC120420836|XP_039439891.1|CPIP	LOC119549778|XP_037713967.1|DSUP
OG0003123	LOC120420843|XP_039439894.1|CPIP	LOC119554190|XP_037720914.1|DSUP
OG0003124	LOC120425268|XP_039445646.1|CPIP	LOC119549351|XP_037713265.1|DSUP
OG0003125	LOC120430004|XP_039451037.1|CPIP	LOC119555249|XP_037722462.1|DSUP
OG0003126	LOC120422180|XP_039441489.1|CPIP	LOC119549496|XP_037713528.1|DSUP
OG0003127	LOC120422170|XP_039441481.1|CPIP	LOC119549498|XP_037713537.1|DSUP
OG0003128	LOC120420417|XP_039439370.1|CPIP	LOC119552968|XP_037718904.1|DSUP
OG0003129	LOC120420423|XP_039439377.1|CPIP	LOC119549260|XP_037713097.1|DSUP
OG0003130	LOC120420436|XP_039439397.1|CPIP	LOC119549322|XP_037713226.1|DSUP
OG0003131	LOC120427544|XP_039448353.1|CPIP	LOC119551872|XP_037717394.1|DSUP
OG0003132	LOC120414233|XP_039431277.1|CPIP, LOC120424576|XP_039444676.1|CPIP	LOC119563402|XP_037732695.1|DSUP
OG0003133	LOC120414232|XP_039431276.1|CPIP, LOC120432001|XP_039453067.1|CPIP	LOC119550531|XP_037715179.1|DSUP
OG0003134	LOC120421687|XP_039440858.1|CPIP	LOC119551312|XP_037716535.1|DSUP
OG0003135	LOC120424413|XP_039444458.1|CPIP	LOC119554117|XP_037720814.1|DSUP
OG0003139	LOC120415252|XP_039432652.1|CPIP, LOC120415231|XP_039432622.1|CPIP	LOC119553419|XP_037719724.1|DSUP
OG0003140	LOC120415224|XP_039432613.1|CPIP	LOC119550128|XP_037714552.1|DSUP
OG0003141	LOC120419609|XP_039438283.1|CPIP	LOC119549053|XP_037712678.1|DSUP
OG0003142	LOC120419588|XP_039438250.1|CPIP	LOC119551505|XP_037716799.1|DSUP
OG0003143	LOC120415310|XP_039432724.1|CPIP	LOC119553311|XP_037719565.1|DSUP
OG0003144	LOC120418433|XP_039436750.1|CPIP	LOC119549019|XP_037712592.1|DSUP
OG0003145	LOC120418454|XP_039436813.1|CPIP	LOC119549913|XP_037714163.1|DSUP
OG0003146	LOC120426475|XP_039447172.1|CPIP	LOC119549596|XP_037713683.1|DSUP
OG0003147	LOC120428762|XP_039449778.1|CPIP	LOC119555428|XP_037722725.1|DSUP
OG0003148	LOC120428599|XP_039449556.1|CPIP	LOC119553146|XP_037719289.1|DSUP
OG0003149	LOC120428595|XP_039449552.1|CPIP	LOC119558012|XP_037727049.1|DSUP
OG0003150	LOC120420377|XP_039439315.1|CPIP	LOC119548993|XP_037712528.1|DSUP
OG0003151	LOC120416201|XP_039433821.1|CPIP	LOC119548702|XP_037712094.1|DSUP
OG0003152	LOC120414890|XP_039432147.1|CPIP	LOC119549940|XP_037714250.1|DSUP
OG0003153	LOC120414918|XP_039432184.1|CPIP	LOC119549993|XP_037714331.1|DSUP
OG0003154	LOC120414861|XP_039432114.1|CPIP	LOC119545743|XP_037707494.1|DSUP
OG0003155	LOC120414903|XP_039432166.1|CPIP	LOC119550918|XP_037715859.1|DSUP
OG0003156	LOC120418435|XP_039436774.1|CPIP	LOC119549989|XP_037714323.1|DSUP
OG0003157	LOC120418450|XP_039436807.1|CPIP	LOC119548233|XP_037711302.1|DSUP
OG0003158	LOC120417246|XP_039435139.1|CPIP	LOC119552174|XP_037717933.1|DSUP
OG0003159	LOC120427766|XP_039448612.1|CPIP	LOC119550699|XP_037715496.1|DSUP
OG0003160	LOC120427762|XP_039448606.1|CPIP	LOC119549679|XP_037713811.1|DSUP
OG0003161	LOC120427043|XP_039447808.1|CPIP	LOC119551315|XP_037716538.1|DSUP
OG0003162	LOC120428139|XP_039449058.1|CPIP, LOC120424446|XP_039444511.1|CPIP, LOC120424443|XP_039444510.1|CPIP	LOC119550469|XP_037715085.1|DSUP
OG0003163	LOC120425296|XP_039445698.1|CPIP	LOC119553848|XP_037720422.1|DSUP
OG0003164	LOC120424378|XP_039444414.1|CPIP	LOC119559464|XP_037728499.1|DSUP
OG0003165	LOC120417981|XP_039436155.1|CPIP	LOC119549024|XP_037712625.1|DSUP
OG0003166	LOC120417994|XP_039436172.1|CPIP	LOC119551216|XP_037716381.1|DSUP
OG0003167	LOC120428521|XP_039449478.1|CPIP	LOC119550362|XP_037714918.1|DSUP
OG0003168	LOC120428517|XP_039449472.1|CPIP, LOC120428518|XP_039449473.1|CPIP	LOC119563483|XP_037732836.1|DSUP
OG0003169	LOC120421474|XP_039440625.1|CPIP	LOC119548164|XP_037711202.1|DSUP
OG0003170	LOC120421455|XP_039440600.1|CPIP	LOC119551398|XP_037716655.1|DSUP
OG0003171	LOC120421460|XP_039440605.1|CPIP	LOC119549298|XP_037713182.1|DSUP
OG0003172	LOC120427531|XP_039448331.1|CPIP	LOC119551044|XP_037716087.1|DSUP
OG0003173	LOC120415152|XP_039432521.1|CPIP	LOC119560712|XP_037730251.1|DSUP
OG0003174	LOC120426100|XP_039446737.1|CPIP	LOC119558579|XP_037727953.1|DSUP
OG0003175	LOC120425519|XP_039446002.1|CPIP	LOC119550369|XP_037714939.1|DSUP
OG0003176	LOC120429990|XP_039451017.1|CPIP	LOC119546794|XP_037709285.1|DSUP
OG0003177	LOC120425538|XP_039446033.1|CPIP	LOC119551198|XP_037716328.1|DSUP
OG0003178	LOC120419168|XP_039437754.1|CPIP, LOC120425536|XP_039446030.1|CPIP	LOC119549343|XP_037713256.1|DSUP
OG0003179	LOC120419164|XP_039437748.1|CPIP	LOC119551267|XP_037716455.1|DSUP
OG0003180	LOC120425526|XP_039446014.1|CPIP, LOC120419159|XP_039437742.1|CPIP	LOC119551357|XP_037716606.1|DSUP
OG0003181	LOC120419158|XP_039437741.1|CPIP, LOC120425527|XP_039446015.1|CPIP	LOC119551185|XP_037716314.1|DSUP
OG0003183	LOC120430841|XP_039451902.1|CPIP	LOC119549258|XP_037713093.1|DSUP
OG0003184	LOC120415861|XP_039433432.1|CPIP	LOC119555026|XP_037722100.1|DSUP
OG0003185	LOC120431569|XP_039452610.1|CPIP, LOC120429995|XP_039451026.1|CPIP	LOC119549808|XP_037714007.1|DSUP
OG0003186	LOC120425514|XP_039445996.1|CPIP	LOC119549699|XP_037713851.1|DSUP
OG0003187	LOC120417933|XP_039436104.1|CPIP, LOC120429068|XP_039450150.1|CPIP	LOC119547434|XP_037710222.1|DSUP
OG0003188	LOC120428789|XP_039449823.1|CPIP	LOC119563203|XP_037732422.1|DSUP
OG0003189	LOC120415869|XP_039433439.1|CPIP	LOC119554811|XP_037721789.1|DSUP
OG0003190	LOC120428798|XP_039449831.1|CPIP	LOC119550235|XP_037714732.1|DSUP
OG0003191	LOC120412332|XP_039428666.1|CPIP	LOC119552941|XP_037718823.1|DSUP
OG0003192	LOC120425958|XP_039446537.1|CPIP	LOC119555209|XP_037722393.1|DSUP
OG0003193	LOC120416817|XP_039434631.1|CPIP	LOC119547674|XP_037710561.1|DSUP
OG0003194	LOC120428645|XP_039449621.1|CPIP	LOC119554167|XP_037720884.1|DSUP
OG0003195	LOC120430999|XP_039452093.1|CPIP	LOC119545737|XP_037707487.1|DSUP
OG0003196	LOC120430998|XP_039452092.1|CPIP	LOC119553381|XP_037719662.1|DSUP
OG0003197	LOC120418193|XP_039436429.1|CPIP	LOC119553854|XP_037720429.1|DSUP
OG0003198	LOC120418205|XP_039436446.1|CPIP	LOC119548051|XP_037711061.1|DSUP
OG0003199	LOC120416999|XP_039434875.1|CPIP	LOC119552867|XP_037718687.1|DSUP
OG0003200	LOC120421851|XP_039441073.1|CPIP, LOC120426229|XP_039446902.1|CPIP	LOC119559437|XP_037728464.1|DSUP
OG0003201	LOC120426621|XP_039447347.1|CPIP, LOC120426615|XP_039447341.1|CPIP	LOC119549367|XP_037713322.1|DSUP
OG0003202	LOC120414934|XP_039432199.1|CPIP, LOC120414936|XP_039432201.1|CPIP	LOC119552894|XP_037718740.1|DSUP
OG0003203	LOC120424708|XP_039444821.1|CPIP	LOC119551663|XP_037717033.1|DSUP
OG0003204	LOC120422667|XP_039442106.1|CPIP	LOC119561059|XP_037730823.1|DSUP
OG0003205	LOC120422673|XP_039442115.1|CPIP	LOC119549701|XP_037713853.1|DSUP
OG0003206	LOC120418595|XP_039436975.1|CPIP	LOC119550285|XP_037714803.1|DSUP
OG0003207	LOC120430866|XP_039451924.1|CPIP, LOC120429776|XP_039450768.1|CPIP	LOC119545802|XP_037707613.1|DSUP
