Orthogroup	CPIP.longest_only	DHYD.longest_only
OG0003810	LOC120414691|XP_039431914.1|CPIP	LOC111604083|XP_023177736.2|DHYD
OG0003811	LOC120431189|XP_039452265.1|CPIP	LOC111600151|XP_023171909.2|DHYD
OG0003812	LOC120427691|XP_039448514.1|CPIP	LOC111602161|XP_030079256.1|DHYD
OG0003813	LOC120422792|XP_039442264.1|CPIP	LOC111603685|XP_023177140.2|DHYD
OG0003814	LOC120428094|XP_039449013.1|CPIP	LOC111591962|XP_023159673.2|DHYD
OG0003815	LOC120428098|XP_039449016.1|CPIP	LOC111595029|XP_023164318.2|DHYD, LOC115483326|XP_030080584.1|DHYD, LOC115483785|XP_030081901.1|DHYD
OG0003816	LOC120425846|XP_039446399.1|CPIP	LOC111594720|XP_023163917.2|DHYD
OG0003817	LOC120425856|XP_039446413.1|CPIP	LOC111603863|XP_023177437.1|DHYD
OG0003818	LOC120422801|XP_039442276.1|CPIP	LOC111602487|XP_023175318.1|DHYD
OG0003820	LOC120415689|XP_039433218.1|CPIP	LOC111604838|XP_023178837.1|DHYD
OG0003821	LOC120424559|XP_039444661.1|CPIP	LOC111600649|XP_023172637.1|DHYD
OG0003822	LOC120423672|XP_039443491.1|CPIP	LOC111592070|XP_023159844.2|DHYD
OG0003823	LOC120428130|XP_039449046.1|CPIP	LOC111596284|XP_023166202.1|DHYD
OG0003824	LOC120422993|XP_039442538.1|CPIP	LOC111594105|XP_023163027.1|DHYD
OG0003825	LOC120422985|XP_039442530.1|CPIP	LOC111603916|XP_023177508.2|DHYD
OG0003826	LOC120422986|XP_039442531.1|CPIP	LOC111603930|XP_023177525.1|DHYD
OG0003827	LOC120413555|XP_039430369.1|CPIP	LOC111603992|XP_030079084.1|DHYD
OG0003828	LOC120413574|XP_039430394.1|CPIP	LOC111603859|XP_023177428.2|DHYD
OG0003829	LOC120413561|XP_039430374.1|CPIP	LOC111600424|XP_023172275.2|DHYD
OG0003830	LOC120413547|XP_039430361.1|CPIP	LOC111596315|XP_023166249.1|DHYD
OG0003831	LOC120413522|XP_039430327.1|CPIP	LOC111594959|XP_023164225.1|DHYD
OG0003832	LOC120413520|XP_039430326.1|CPIP	LOC111596343|XP_023166296.2|DHYD, LOC115482916|XP_030079023.1|DHYD
OG0003833	LOC120431162|XP_039452233.1|CPIP	LOC111596327|XP_023166260.1|DHYD, LOC115482914|XP_030079022.1|DHYD
OG0003834	LOC120421105|XP_039440191.1|CPIP	LOC111605015|XP_023179112.2|DHYD
OG0003835	LOC120420135|XP_039439021.1|CPIP	LOC111596289|XP_023166211.2|DHYD
OG0003836	LOC120422759|XP_039442243.1|CPIP	LOC111598988|XP_023170258.2|DHYD
OG0003837	LOC120414065|XP_039431020.1|CPIP	LOC111598981|XP_023170249.2|DHYD
OG0003838	LOC120414098|XP_039431055.1|CPIP	LOC115483220|XP_030080419.1|DHYD, LOC111602114|XP_023174834.2|DHYD
OG0003839	LOC120414102|XP_039431059.1|CPIP	LOC111594714|XP_023163909.1|DHYD
OG0003840	LOC120424100|XP_039444047.1|CPIP	LOC111604120|XP_023177798.1|DHYD
OG0003841	LOC120420618|XP_039439625.1|CPIP	LOC111599333|XP_023170722.2|DHYD
OG0003842	LOC120413626|XP_039430470.1|CPIP, LOC120429868|XP_039450879.1|CPIP	LOC111592644|XP_023160758.2|DHYD
OG0003843	LOC120422559|XP_039441979.1|CPIP	LOC111600322|XP_023172148.2|DHYD
OG0003844	LOC120423251|XP_039442908.1|CPIP	LOC111592615|XP_023160717.1|DHYD
OG0003845	LOC120422875|XP_039442372.1|CPIP	LOC111598975|XP_023170239.2|DHYD
OG0003846	LOC120422954|XP_039442477.1|CPIP	LOC111603968|XP_023177575.2|DHYD
OG0003847	LOC120414067|XP_039431022.1|CPIP	LOC111593769|XP_023162557.1|DHYD
OG0003848	LOC120428848|XP_039449904.1|CPIP	LOC111596184|XP_023166059.2|DHYD
OG0003849	LOC120424905|XP_039445131.1|CPIP	LOC111599400|XP_023170824.2|DHYD
OG0003850	LOC120432041|XP_039453108.1|CPIP, LOC120422903|XP_039442402.1|CPIP	LOC111600338|XP_030081049.1|DHYD, LOC115483004|XP_030079523.1|DHYD
OG0003851	LOC120417371|XP_039435320.1|CPIP, LOC120419807|XP_039438577.1|CPIP	LOC111602111|XP_023174824.1|DHYD
OG0003852	LOC120413146|XP_039429787.1|CPIP	LOC111594230|XP_023163202.1|DHYD
OG0003853	LOC120431973|XP_039453045.1|CPIP, LOC120428532|XP_039449497.1|CPIP	LOC111594006|XP_023162868.2|DHYD
OG0003854	LOC120424964|XP_039445255.1|CPIP	LOC111602521|XP_023175372.2|DHYD
OG0003855	LOC120424954|XP_039445199.1|CPIP	LOC111602519|XP_023175370.2|DHYD
OG0003856	LOC120424963|XP_039445251.1|CPIP	LOC111595186|XP_023164534.2|DHYD
OG0003857	LOC120416291|XP_039433939.1|CPIP	LOC111595939|XP_030079272.1|DHYD
OG0003858	LOC120415175|XP_039432564.1|CPIP	LOC111604064|XP_023177742.1|DHYD
OG0003859	LOC120418955|XP_039437430.1|CPIP	LOC111601910|XP_030079193.1|DHYD
OG0003860	LOC120418977|XP_039437458.1|CPIP	LOC111603445|XP_023176803.2|DHYD
OG0003861	LOC120428566|XP_039449537.1|CPIP	LOC111596047|XP_023165853.2|DHYD
OG0003862	LOC120427661|XP_039448473.1|CPIP	LOC111596338|XP_023166286.2|DHYD
OG0003863	LOC120427680|XP_039448498.1|CPIP	LOC111593169|XP_023161543.2|DHYD
OG0003864	LOC120428621|XP_039449607.1|CPIP	LOC111593164|XP_023161538.1|DHYD
OG0003865	LOC120427841|XP_039448701.1|CPIP	LOC111604214|XP_023177947.2|DHYD
OG0003866	LOC120427986|XP_039448880.1|CPIP	LOC111600430|XP_023172291.1|DHYD
OG0003867	LOC120428244|XP_039449161.1|CPIP	LOC111594725|XP_023163925.2|DHYD
OG0003868	LOC120416298|XP_039433950.1|CPIP	LOC111596768|XP_023166884.1|DHYD
OG0003869	LOC120414746|XP_039431995.1|CPIP	LOC111599343|XP_023170741.1|DHYD
OG0003870	LOC120425148|XP_039445506.1|CPIP	LOC111595396|XP_023164866.2|DHYD
OG0003871	LOC120429760|XP_039450746.1|CPIP	LOC111599390|XP_023170794.1|DHYD
OG0003872	LOC120424362|XP_039444391.1|CPIP	LOC111601207|XP_023173469.1|DHYD
OG0003873	LOC120424357|XP_039444388.1|CPIP	LOC111595820|XP_023165493.1|DHYD
OG0003874	LOC120424351|XP_039444378.1|CPIP	LOC111594284|XP_023163291.2|DHYD
OG0003875	LOC120424361|XP_039444390.1|CPIP	LOC111603891|XP_023177477.1|DHYD
OG0003876	LOC120421723|XP_039440905.1|CPIP	LOC111595815|XP_023165488.1|DHYD
OG0003877	LOC120420826|XP_039439882.1|CPIP	LOC111600302|XP_023172128.2|DHYD
OG0003878	LOC120420798|XP_039439850.1|CPIP	LOC111601925|XP_023174543.2|DHYD
OG0003879	LOC120420800|XP_039439852.1|CPIP	LOC115482991|XP_030079485.1|DHYD, LOC111596897|XP_023167115.2|DHYD
OG0003880	LOC120420813|XP_039439867.1|CPIP	LOC111597583|XP_023168150.2|DHYD
OG0003881	LOC120419385|XP_039437993.1|CPIP	LOC111595316|XP_023164739.1|DHYD
OG0003882	LOC120419381|XP_039437986.1|CPIP	LOC111600876|XP_023172976.2|DHYD
OG0003883	LOC120419383|XP_039437989.1|CPIP	LOC111595002|XP_023164270.1|DHYD
OG0003884	LOC120419366|XP_039437967.1|CPIP	LOC111594640|XP_023163802.2|DHYD
OG0003885	LOC120426843|XP_039447565.1|CPIP	LOC111592637|XP_023160749.1|DHYD
OG0003886	LOC120426845|XP_039447567.1|CPIP	LOC111592636|XP_023160748.2|DHYD
OG0003887	LOC120426848|XP_039447572.1|CPIP	LOC111599334|XP_023170727.2|DHYD
OG0003888	LOC120420400|XP_039439345.1|CPIP	LOC111595903|XP_023165611.2|DHYD
OG0003889	LOC120420038|XP_039438876.1|CPIP	LOC111599466|XP_023170904.2|DHYD
OG0003890	LOC120428643|XP_039449620.1|CPIP	LOC111601085|XP_023173280.1|DHYD
OG0003891	LOC120428296|XP_039449239.1|CPIP	LOC111594663|XP_023163833.2|DHYD
OG0003892	LOC120428425|XP_039449372.1|CPIP	LOC111596855|XP_023167060.1|DHYD
OG0003893	LOC120427581|XP_039448395.1|CPIP	LOC111594704|XP_023163894.2|DHYD
OG0003894	LOC120430899|XP_039451956.1|CPIP	LOC111592595|XP_023160679.1|DHYD
OG0003895	LOC120431109|XP_039452196.1|CPIP	LOC111603354|XP_023176669.1|DHYD
OG0003898	LOC120424090|XP_039444038.1|CPIP	LOC111600217|XP_023172011.1|DHYD
OG0003899	LOC120421965|XP_039441211.1|CPIP	LOC111599053|XP_023170341.1|DHYD
OG0003900	LOC120431313|XP_039452380.1|CPIP	LOC111599065|XP_030080246.1|DHYD
OG0003901	LOC120425197|XP_039445561.1|CPIP	LOC111595931|XP_023165658.2|DHYD
OG0003902	LOC120425192|XP_039445557.1|CPIP	LOC111595934|XP_023165662.2|DHYD
OG0003903	LOC120425195|XP_039445560.1|CPIP	LOC111605528|XP_023179857.1|DHYD
OG0003904	LOC120425193|XP_039445558.1|CPIP	LOC111605527|XP_023179856.2|DHYD
OG0003905	LOC120425186|XP_039445552.1|CPIP, LOC120431362|XP_039452427.1|CPIP	LOC111601758|XP_023174264.2|DHYD
OG0003906	LOC120416084|XP_039433701.1|CPIP	LOC111593205|XP_023161619.2|DHYD
OG0003907	LOC120420207|XP_039439130.1|CPIP	LOC111599191|XP_023170548.1|DHYD
OG0003908	LOC120420216|XP_039439141.1|CPIP	LOC111599193|XP_023170549.2|DHYD
OG0003909	LOC120425335|XP_039445751.1|CPIP	LOC111605223|XP_023179416.1|DHYD
OG0003910	LOC120425336|XP_039445761.1|CPIP	LOC111605235|XP_023179438.2|DHYD
OG0003911	LOC120412783|XP_039429304.1|CPIP	LOC111605556|XP_023179892.2|DHYD
OG0003912	LOC120416016|XP_039433607.1|CPIP	LOC111601142|XP_023173377.2|DHYD
OG0003913	LOC120423640|XP_039443448.1|CPIP	LOC111594742|XP_023163950.1|DHYD
OG0003914	LOC120415784|XP_039433348.1|CPIP, LOC120430019|XP_039451047.1|CPIP	LOC111592541|XP_023160591.2|DHYD
OG0003915	LOC120430021|XP_039451050.1|CPIP	LOC111592983|XP_023161248.1|DHYD
OG0003916	LOC120423138|XP_039442751.1|CPIP	LOC111602500|XP_023175339.1|DHYD
OG0003917	LOC120420895|XP_039439950.1|CPIP	LOC111599061|XP_023170350.2|DHYD
OG0003918	LOC120419788|XP_039438561.1|CPIP	LOC111603757|XP_023177255.2|DHYD
OG0003919	LOC120426940|XP_039447694.1|CPIP	LOC111599492|XP_023170926.1|DHYD
OG0003920	LOC120426945|XP_039447701.1|CPIP	LOC111593920|XP_023162761.1|DHYD
OG0003921	LOC120422518|XP_039441910.1|CPIP	LOC111594716|XP_023163910.2|DHYD
OG0003922	LOC120422865|XP_039442350.1|CPIP	LOC111602457|XP_023175285.2|DHYD
OG0003923	LOC120423125|XP_039442741.1|CPIP	LOC111593710|XP_023162441.1|DHYD
OG0003924	LOC120422459|XP_039441839.1|CPIP	LOC111593859|XP_023162674.1|DHYD
OG0003925	LOC120415486|XP_039432987.1|CPIP	LOC111599300|XP_030079173.1|DHYD
OG0003926	LOC120415476|XP_039432973.1|CPIP	LOC111599365|XP_023170765.1|DHYD
OG0003927	LOC120419186|XP_039437787.1|CPIP	LOC111594231|XP_023163205.1|DHYD
OG0003928	LOC120416027|XP_039433622.1|CPIP	LOC111603919|XP_023177512.2|DHYD
OG0003929	LOC120415970|XP_039433553.1|CPIP	LOC111602523|XP_023175377.1|DHYD
OG0003930	LOC120416775|XP_039434573.1|CPIP	LOC111598781|XP_023169962.1|DHYD
OG0003931	LOC120416767|XP_039434547.1|CPIP	LOC111605010|XP_023179093.1|DHYD
OG0003932	LOC120422499|XP_039441887.1|CPIP, LOC120431033|XP_039452120.1|CPIP	LOC111597691|XP_030080954.1|DHYD
OG0003933	LOC120416100|XP_039433717.1|CPIP	LOC111605559|XP_023179900.1|DHYD
OG0003934	LOC120416101|XP_039433718.1|CPIP	LOC111603760|XP_023177260.1|DHYD
OG0003935	LOC120416078|XP_039433681.1|CPIP	LOC111594005|XP_023162866.2|DHYD
OG0003936	LOC120416091|XP_039433708.1|CPIP	LOC111594013|XP_023162879.1|DHYD
OG0003937	LOC120426129|XP_039446765.1|CPIP, LOC120427963|XP_039448852.1|CPIP	LOC111599925|XP_023171538.2|DHYD
OG0003938	LOC120427952|XP_039448838.1|CPIP	LOC111599456|XP_023170886.2|DHYD
OG0003939	LOC120427955|XP_039448842.1|CPIP	LOC111599460|XP_023170896.1|DHYD
OG0003940	LOC120427958|XP_039448846.1|CPIP	LOC111601864|XP_023174473.1|DHYD
OG0003941	LOC120427960|XP_039448849.1|CPIP	LOC111599453|XP_023170879.1|DHYD
OG0003942	LOC120430518|XP_039451564.1|CPIP	LOC111602488|XP_023175320.2|DHYD
OG0003943	LOC120419848|XP_039438620.1|CPIP	LOC111603751|XP_023177242.1|DHYD
OG0003944	LOC120412827|XP_039429367.1|CPIP	LOC111599084|XP_023170387.1|DHYD
OG0003945	LOC120425646|XP_039446165.1|CPIP	LOC111603801|XP_023177319.1|DHYD
OG0003946	LOC120412818|XP_039429358.1|CPIP	LOC111592663|XP_030079058.1|DHYD
OG0003947	LOC120412814|XP_039429350.1|CPIP	LOC111600329|XP_023172164.2|DHYD
OG0003948	LOC120413552|XP_039430365.1|CPIP	LOC111594941|XP_023164202.2|DHYD
OG0003949	LOC120413516|XP_039430309.1|CPIP	LOC111599542|XP_030080312.1|DHYD
OG0003950	LOC120416604|XP_039434332.1|CPIP	LOC111602222|XP_023174969.1|DHYD
OG0003951	LOC120416601|XP_039434325.1|CPIP	LOC111602210|XP_023174953.2|DHYD
OG0003952	LOC120416875|XP_039434704.1|CPIP	LOC111592586|XP_023160669.2|DHYD, LOC115482925|XP_030079091.1|DHYD
OG0003953	LOC120416871|XP_039434700.1|CPIP	LOC111605021|XP_023179120.2|DHYD
OG0003954	LOC120416870|XP_039434699.1|CPIP	LOC111597422|XP_023167886.2|DHYD
OG0003955	LOC120419817|XP_039438589.1|CPIP	LOC111592612|XP_023160712.2|DHYD
OG0003956	LOC120419695|XP_039438420.1|CPIP	LOC111595594|XP_023165173.2|DHYD
OG0003957	LOC120415976|XP_039433560.1|CPIP	LOC111601101|XP_023173308.2|DHYD
OG0003958	LOC120415997|XP_039433586.1|CPIP	LOC111595358|XP_023164803.2|DHYD
OG0003959	LOC120416772|XP_039434567.1|CPIP, LOC120423459|XP_039443215.1|CPIP	LOC111602084|XP_030079708.1|DHYD
OG0003960	LOC120423479|XP_039443248.1|CPIP	LOC111593015|XP_030079987.1|DHYD
OG0003961	LOC120426941|XP_039447696.1|CPIP	LOC111592891|XP_023161099.2|DHYD
OG0003962	LOC120421121|XP_039440213.1|CPIP	LOC111599383|XP_023170788.1|DHYD
OG0003963	LOC120418613|XP_039436991.1|CPIP	LOC111603892|XP_023177478.2|DHYD
OG0003964	LOC120418610|XP_039436988.1|CPIP	LOC111595012|XP_023164286.1|DHYD
OG0003965	LOC120416275|XP_039433912.1|CPIP	LOC111594954|XP_023164219.2|DHYD
OG0003966	LOC120419804|XP_039438574.1|CPIP	LOC111592065|XP_023159835.1|DHYD
OG0003967	LOC120426262|XP_039446933.1|CPIP	LOC111592514|XP_023160514.2|DHYD
OG0003968	LOC120422617|XP_039442045.1|CPIP	LOC111592526|XP_023160552.1|DHYD
OG0003969	LOC120424553|XP_039444654.1|CPIP	LOC111600570|XP_023172523.2|DHYD
OG0003970	LOC120415725|XP_039433255.1|CPIP	LOC111599088|XP_023170394.2|DHYD
OG0003971	LOC120415529|XP_039433020.1|CPIP	LOC111594741|XP_030079115.1|DHYD
OG0003972	LOC120415531|XP_039433024.1|CPIP	LOC111604311|XP_023178125.2|DHYD
OG0003973	LOC120415596|XP_039433122.1|CPIP	LOC111593910|XP_023162750.1|DHYD
OG0003974	LOC120421989|XP_039441237.1|CPIP, LOC120415540|XP_039433040.1|CPIP	LOC111595452|XP_023164953.1|DHYD
OG0003975	LOC120421993|XP_039441239.1|CPIP	LOC111600450|XP_023172315.2|DHYD
OG0003976	LOC120421129|XP_039440223.1|CPIP	LOC111594100|XP_023163022.1|DHYD
OG0003977	LOC120421130|XP_039440224.1|CPIP	LOC111592554|XP_023160613.1|DHYD
OG0003978	LOC120421127|XP_039440220.1|CPIP	LOC111604511|XP_023178375.1|DHYD
OG0003983	LOC120422424|XP_039441772.1|CPIP	LOC111600551|XP_023172470.1|DHYD
OG0003984	LOC120415584|XP_039433106.1|CPIP	LOC111598987|XP_023170256.2|DHYD
OG0003985	LOC120415535|XP_039433028.1|CPIP	LOC111598936|XP_030080516.1|DHYD
OG0003986	LOC120431971|XP_039453044.1|CPIP, LOC120424990|XP_039445293.1|CPIP	LOC111602183|XP_030080349.1|DHYD
OG0003987	LOC120424987|XP_039445290.1|CPIP	LOC111600950|XP_023173099.2|DHYD
OG0003988	LOC120413872|XP_039430776.1|CPIP	LOC111596111|XP_023165942.2|DHYD
OG0003989	LOC120412463|XP_039428871.1|CPIP, LOC120417603|XP_039435656.1|CPIP	LOC111595017|XP_023164293.2|DHYD
OG0003990	LOC120418258|XP_039436512.1|CPIP, LOC120412475|XP_039428898.1|CPIP	LOC115482857|XP_030078966.1|DHYD, LOC111598934|XP_023170179.1|DHYD
OG0003991	LOC120417577|XP_039435625.1|CPIP, LOC120412478|XP_039428901.1|CPIP	LOC111601152|XP_023173390.2|DHYD
OG0003992	LOC120417752|XP_039435844.1|CPIP, LOC120412452|XP_039428850.1|CPIP	LOC111601185|XP_023173434.2|DHYD
OG0003993	LOC120412453|XP_039428851.1|CPIP, LOC120412449|XP_039428846.1|CPIP, LOC120417818|XP_039435963.1|CPIP	LOC111599080|XP_023170380.2|DHYD
OG0003994	LOC120422389|XP_039441732.1|CPIP	LOC111602814|XP_023175885.1|DHYD
OG0003995	LOC120419018|XP_039437519.1|CPIP	LOC111593893|XP_023162729.2|DHYD
OG0003996	LOC120414560|XP_039431714.1|CPIP	LOC111597657|XP_023168247.1|DHYD
OG0003997	LOC120419468|XP_039438088.1|CPIP	LOC111601592|XP_023174022.1|DHYD
OG0003998	LOC120432469|XP_039453632.1|CPIP	LOC111597442|XP_023167928.2|DHYD
OG0003999	LOC120432431|XP_039453583.1|CPIP	LOC111592099|XP_023159894.2|DHYD
OG0004000	LOC120427066|XP_039447838.1|CPIP	LOC111603151|XP_023176396.1|DHYD
OG0004001	LOC120421175|XP_039440304.1|CPIP	LOC111600152|XP_023171910.2|DHYD
OG0004002	LOC120421172|XP_039440301.1|CPIP	LOC111600429|XP_023172290.2|DHYD
OG0004003	LOC120419673|XP_039438378.1|CPIP	LOC111592654|XP_030079150.1|DHYD
OG0004004	LOC120419677|XP_039438398.1|CPIP	LOC111601938|XP_023174560.1|DHYD
OG0004005	LOC120419651|XP_039438342.1|CPIP	LOC111599203|XP_023170561.1|DHYD
OG0004006	LOC120426885|XP_039447622.1|CPIP	LOC111594647|XP_023163811.2|DHYD
OG0004007	LOC120426888|XP_039447627.1|CPIP	LOC111599381|XP_023170786.1|DHYD
OG0004008	LOC120426896|XP_039447635.1|CPIP	LOC111602455|XP_030079239.1|DHYD
OG0004009	LOC120415573|XP_039433086.1|CPIP	LOC111599377|XP_023170780.2|DHYD
OG0004010	LOC120426649|XP_039447373.1|CPIP	LOC111600401|XP_023172248.2|DHYD
OG0004011	LOC120421287|XP_039440412.1|CPIP	LOC111600387|XP_023172231.1|DHYD
OG0004012	LOC120421294|XP_039440419.1|CPIP	LOC111605454|XP_030080703.1|DHYD
OG0004013	LOC120414556|XP_039431701.1|CPIP	LOC111600427|XP_023172281.1|DHYD
OG0004014	LOC120414587|XP_039431760.1|CPIP	LOC111604287|XP_023178071.2|DHYD
OG0004015	LOC120414590|XP_039431764.1|CPIP	LOC111605507|XP_023179827.2|DHYD
OG0004016	LOC120414585|XP_039431753.1|CPIP	LOC111596642|XP_023166704.2|DHYD
OG0004017	LOC120419461|XP_039438077.1|CPIP	LOC111599146|XP_023170482.2|DHYD
OG0004018	LOC120419464|XP_039438082.1|CPIP	LOC111593828|XP_023162629.1|DHYD
OG0004019	LOC120432436|XP_039453588.1|CPIP	LOC111594675|XP_023163853.2|DHYD
OG0004020	LOC120432423|XP_039453560.1|CPIP	LOC111595799|XP_023165457.2|DHYD
OG0004021	LOC120432438|XP_039453590.1|CPIP	LOC111595805|XP_023165463.2|DHYD
OG0004022	LOC120432120|XP_039453191.1|CPIP, LOC120420528|XP_039439533.1|CPIP	LOC111602483|XP_023175314.1|DHYD
OG0004023	LOC120420527|XP_039439531.1|CPIP	LOC111594567|XP_023163696.2|DHYD
OG0004024	LOC120420517|XP_039439511.1|CPIP	LOC111596372|XP_023166341.2|DHYD, LOC115482739|XP_030080543.1|DHYD
OG0004025	LOC120413873|XP_039430777.1|CPIP	LOC111603641|XP_023177091.1|DHYD
OG0004026	LOC120413842|XP_039430731.1|CPIP	LOC111599357|XP_023170757.2|DHYD
OG0004027	LOC120413880|XP_039430788.1|CPIP, LOC120413835|XP_039430724.1|CPIP	LOC111594963|XP_030081995.1|DHYD
OG0004028	LOC120418251|XP_039436502.1|CPIP	LOC111602213|XP_023174957.2|DHYD
OG0004029	LOC120418283|XP_039436548.1|CPIP	LOC111603864|XP_023177438.1|DHYD
OG0004030	LOC120423405|XP_039443140.1|CPIP	LOC111600092|XP_023171799.1|DHYD
OG0004031	LOC120423384|XP_039443101.1|CPIP	LOC111599338|XP_030079235.1|DHYD
OG0004032	LOC120425173|XP_039445541.1|CPIP	LOC111594096|XP_023163017.1|DHYD
OG0004033	LOC120412691|XP_039429201.1|CPIP	LOC111603926|XP_023177520.2|DHYD
OG0004034	LOC120412650|XP_039429138.1|CPIP	LOC111605565|XP_023179905.2|DHYD
OG0004035	LOC120417410|XP_039435390.1|CPIP, LOC120412448|XP_039428840.1|CPIP	LOC111603755|XP_023177247.2|DHYD
OG0004036	LOC120412497|XP_039428928.1|CPIP, LOC120417307|XP_039435196.1|CPIP	LOC111601130|XP_023173354.1|DHYD
OG0004037	LOC120417544|XP_039435563.1|CPIP, LOC120412498|XP_039428931.1|CPIP	LOC111592907|XP_023161122.1|DHYD
OG0004038	LOC120426271|XP_039446947.1|CPIP	LOC111599120|XP_023170449.1|DHYD
OG0004039	LOC120420535|XP_039439543.1|CPIP	LOC111595582|XP_030080407.1|DHYD
OG0004040	LOC120432432|XP_039453584.1|CPIP	LOC111593287|XP_023161729.2|DHYD
OG0004041	LOC120423979|XP_039443906.1|CPIP	LOC111594049|XP_023162932.1|DHYD
OG0004042	LOC120426273|XP_039446950.1|CPIP	LOC111601108|XP_023173322.1|DHYD
OG0004043	LOC120412686|XP_039429196.1|CPIP	LOC111601445|XP_023173793.1|DHYD
OG0004044	LOC120417297|XP_039435182.1|CPIP	LOC111593985|XP_023162841.1|DHYD
OG0004045	LOC120417296|XP_039435181.1|CPIP, LOC120431744|XP_039452803.1|CPIP	LOC111592608|XP_023160707.1|DHYD
OG0004046	LOC120431741|XP_039452799.1|CPIP, LOC120417315|XP_039435212.1|CPIP	LOC111599082|XP_023170382.2|DHYD
OG0004047	LOC120427093|XP_039447877.1|CPIP	LOC111601138|XP_030080292.1|DHYD
OG0004048	LOC120427092|XP_039447876.1|CPIP	LOC111605473|XP_023179765.1|DHYD
OG0004049	LOC120419051|XP_039437551.1|CPIP	LOC111602159|XP_023174885.1|DHYD
OG0004050	LOC120419070|XP_039437588.1|CPIP	LOC111595762|XP_023165406.2|DHYD
OG0004051	LOC120429838|XP_039450836.1|CPIP	LOC111592561|XP_023160627.2|DHYD
OG0004052	LOC120426553|XP_039447254.1|CPIP	LOC111602425|XP_030079872.1|DHYD
OG0004053	LOC120426572|XP_039447291.1|CPIP	LOC111605236|XP_023179440.2|DHYD
OG0004054	LOC120426558|XP_039447258.1|CPIP	LOC111594240|XP_023163218.2|DHYD
OG0004055	LOC120423218|XP_039442861.1|CPIP	LOC111601773|XP_030081551.1|DHYD
OG0004056	LOC120423231|XP_039442873.1|CPIP	LOC111595810|XP_023165474.1|DHYD
OG0004057	LOC120423201|XP_039442836.1|CPIP	LOC111604435|XP_023178268.1|DHYD
OG0004059	LOC120414334|XP_039431408.1|CPIP	LOC111592377|XP_023160317.2|DHYD
OG0004060	LOC120414360|XP_039431456.1|CPIP	LOC111601366|XP_023173668.2|DHYD
OG0004061	LOC120414328|XP_039431402.1|CPIP	LOC111605301|XP_023179524.2|DHYD
OG0004062	LOC120414326|XP_039431398.1|CPIP	LOC111596946|XP_023167169.1|DHYD
OG0004063	LOC120414355|XP_039431450.1|CPIP	LOC111604031|XP_023177656.1|DHYD
OG0004064	LOC120414353|XP_039431443.1|CPIP	LOC111595340|XP_023164779.1|DHYD
OG0004065	LOC120414362|XP_039431458.1|CPIP	LOC111597014|XP_023167285.2|DHYD
OG0004066	LOC120414324|XP_039431395.1|CPIP	LOC111602596|XP_023175523.1|DHYD
OG0004067	LOC120414319|XP_039431390.1|CPIP	LOC111605113|XP_023179230.2|DHYD
OG0004068	LOC120414331|XP_039431405.1|CPIP	LOC111604792|XP_023178778.1|DHYD
OG0004069	LOC120414325|XP_039431396.1|CPIP	LOC111604808|XP_023178796.2|DHYD
OG0004070	LOC120425768|XP_039446312.1|CPIP	LOC111601597|XP_023174030.2|DHYD
OG0004071	LOC120414340|XP_039431428.1|CPIP	LOC111599794|XP_023171338.2|DHYD
OG0004072	LOC120425776|XP_039446322.1|CPIP	LOC111599802|XP_023171349.2|DHYD
OG0004073	LOC120425783|XP_039446329.1|CPIP	LOC111593633|XP_023162273.1|DHYD
OG0004074	LOC120420632|XP_039439642.1|CPIP	LOC111600532|XP_023172438.2|DHYD
OG0004075	LOC120420634|XP_039439644.1|CPIP	LOC111598018|XP_023168798.1|DHYD
OG0004076	LOC120416133|XP_039433734.1|CPIP	LOC111598017|XP_023168793.2|DHYD
OG0004077	LOC120416160|XP_039433774.1|CPIP	LOC111594932|XP_023164192.2|DHYD
OG0004078	LOC120424825|XP_039444978.1|CPIP, LOC120429575|XP_039450553.1|CPIP, LOC120416175|XP_039433793.1|CPIP	LOC111595156|XP_023164505.1|DHYD
OG0004079	LOC120416189|XP_039433807.1|CPIP	LOC111598424|XP_023169434.1|DHYD
OG0004080	LOC120427008|XP_039447762.1|CPIP	LOC111596629|XP_023166685.1|DHYD
OG0004081	LOC120427014|XP_039447770.1|CPIP	LOC111597926|XP_023168646.2|DHYD
OG0004082	LOC120427005|XP_039447757.1|CPIP	LOC111597406|XP_023167860.1|DHYD
OG0004083	LOC120427019|XP_039447776.1|CPIP	LOC111602740|XP_023175761.1|DHYD
OG0004084	LOC120432338|XP_039453460.1|CPIP	LOC111605065|XP_023179164.2|DHYD
OG0004085	LOC120423485|XP_039443258.1|CPIP	LOC111600257|XP_023172072.2|DHYD
OG0004086	LOC120414815|XP_039432075.1|CPIP	LOC111597808|XP_023168461.2|DHYD
OG0004087	LOC120419005|XP_039437510.1|CPIP	LOC111604881|XP_023178889.1|DHYD
OG0004088	LOC120418992|XP_039437479.1|CPIP	LOC111603241|XP_023176515.1|DHYD
OG0004089	LOC120419428|XP_039438045.1|CPIP	LOC111601823|XP_023174414.2|DHYD
OG0004090	LOC120419518|XP_039438158.1|CPIP	LOC111593597|XP_023162222.2|DHYD
OG0004091	LOC120425610|XP_039446126.1|CPIP	LOC111604193|XP_023177916.2|DHYD
OG0004092	LOC120413951|XP_039430892.1|CPIP	LOC111592995|XP_023161268.2|DHYD
