Orthogroup	CPIP.longest_only	DMEL.longest_only
OG0003416	LOC120416649|XP_039434396.1|CPIP	ppan|NP_476979.1|DMEL
OG0003417	LOC120415604|XP_039433134.1|CPIP	Hmgcr|NP_732900.1|DMEL
OG0003418	LOC120418739|XP_039437148.1|CPIP, LOC120421090|XP_039440167.1|CPIP	Vha55|NP_476908.1|DMEL
OG0003419	LOC120418744|XP_039437154.1|CPIP, LOC120421095|XP_039440172.1|CPIP	e|NP_524431.2|DMEL
OG0003420	LOC120421091|XP_039440168.1|CPIP, LOC120418741|XP_039437151.1|CPIP	Nelf-A|NP_001262804.1|DMEL
OG0003421	LOC120428659|XP_039449640.1|CPIP	CG14516|NP_651674.3|DMEL
OG0003422	LOC120428662|XP_039449644.1|CPIP, LOC120427075|XP_039447847.1|CPIP	CG14512|NP_651673.1|DMEL
OG0003423	LOC120431603|XP_039452641.1|CPIP	CG4975|NP_001137694.1|DMEL
OG0003424	LOC120426011|XP_039446617.1|CPIP	CG5854|NP_651196.1|DMEL
OG0003425	LOC120426250|XP_039446922.1|CPIP	RpI12|NP_524439.1|DMEL
OG0003426	LOC120422541|XP_039441939.1|CPIP	Mekk1|NP_732373.1|DMEL
OG0003427	LOC120422566|XP_039441986.1|CPIP	CG7706|NP_650742.2|DMEL
OG0003428	LOC120425750|XP_039446290.1|CPIP	Cln3|NP_649011.1|DMEL
OG0003429	LOC120418342|XP_039436625.1|CPIP	mRpL43|NP_523828.1|DMEL
OG0003430	LOC120415617|XP_039433150.1|CPIP	ci|NP_524617.3|DMEL
OG0003431	LOC120427247|XP_039448036.1|CPIP	tacc|NP_001189169.1|DMEL
OG0003432	LOC120423828|XP_039443690.1|CPIP	CHORD|NP_651226.1|DMEL
OG0003433	LOC120418352|XP_039436639.1|CPIP	Zip99C|NP_733319.1|DMEL
OG0003434	LOC120428288|XP_039449214.1|CPIP	CG11655|NP_573024.1|DMEL
OG0003435	LOC120418355|XP_039436642.1|CPIP	Ets97D|NP_001263000.1|DMEL
OG0003436	LOC120431628|XP_039452674.1|CPIP	elm|NP_649568.1|DMEL
OG0003437	LOC120431609|XP_039452650.1|CPIP	Sec23|NP_001246932.1|DMEL
OG0003438	LOC120426010|XP_039446616.1|CPIP	MED27|NP_649569.1|DMEL
OG0003439	LOC120426249|XP_039446921.1|CPIP	TBC1d7|NP_651223.2|DMEL
OG0003440	LOC120416206|XP_039433881.1|CPIP	heph|NP_001247399.1|DMEL
OG0003441	LOC120427891|XP_039448759.1|CPIP	Pburs|NP_609712.1|DMEL
OG0003442	LOC120427894|XP_039448762.1|CPIP	St2|NP_649870.1|DMEL
OG0003443	LOC120420269|XP_039439202.1|CPIP, LOC120422149|XP_039441454.1|CPIP	Non2|NP_647745.1|DMEL
OG0003444	LOC120417068|XP_039434963.1|CPIP	Csas|NP_730474.2|DMEL
OG0003445	LOC120416132|XP_039433738.1|CPIP	CG15365|NP_001285030.1|DMEL
OG0003446	LOC120415639|XP_039433175.1|CPIP	Ranbp16|NP_001188596.1|DMEL
OG0003447	LOC120415538|XP_039433041.1|CPIP	fuss|NP_001162829.1|DMEL
OG0003448	LOC120414263|XP_039431310.1|CPIP	CG14641|NP_649440.3|DMEL
OG0003449	LOC120414286|XP_039431351.1|CPIP	Ns1|NP_732199.2|DMEL
OG0003450	LOC120424270|XP_039444266.1|CPIP	CG6171|NP_001097801.1|DMEL
OG0003451	LOC120424239|XP_039444237.1|CPIP	CG5745|NP_650941.3|DMEL
OG0003452	LOC120424238|XP_039444236.1|CPIP	CG7044|NP_650940.2|DMEL
OG0003453	LOC120425389|XP_039445840.1|CPIP	MED4|NP_648094.1|DMEL
OG0003454	LOC120425385|XP_039445834.1|CPIP	CG8814|NP_608729.1|DMEL
OG0003455	LOC120425387|XP_039445838.1|CPIP	CG6325|NP_650000.1|DMEL
OG0003456	LOC120423420|XP_039443157.1|CPIP	Sara|NP_524729.2|DMEL
OG0003457	LOC120423423|XP_039443163.1|CPIP	plh|NP_649511.2|DMEL
OG0003458	LOC120425717|XP_039446258.1|CPIP	TyrR|NP_650652.1|DMEL
OG0003459	LOC120429646|XP_039450606.1|CPIP	Dnali1|NP_650128.1|DMEL
OG0003460	LOC120417204|XP_039435104.1|CPIP	EloA|NP_732846.1|DMEL
OG0003461	LOC120414291|XP_039431356.1|CPIP	MTA1-like|NP_001262293.1|DMEL
OG0003462	LOC120425428|XP_039445890.1|CPIP	ScsbetaG|NP_651963.1|DMEL
OG0003463	LOC120424455|XP_039444522.1|CPIP	red|NP_650352.1|DMEL
OG0003464	LOC120427287|XP_039448072.1|CPIP	Mur89F|NP_001262662.1|DMEL
OG0003465	LOC120431816|XP_039452869.1|CPIP	mRpS11|NP_524382.1|DMEL
OG0003466	LOC120421019|XP_039440075.1|CPIP	CG31357|NP_733044.1|DMEL
OG0003469	LOC120430499|XP_039451530.1|CPIP	Nlp|NP_524557.1|DMEL
OG0003470	LOC120428674|XP_039449657.1|CPIP	Dop1R1|NP_001262563.1|DMEL
OG0003471	LOC120428672|XP_039449656.1|CPIP	CG31751|NP_001334743.1|DMEL
OG0003472	LOC120421173|XP_039440302.1|CPIP	CG5850|NP_001260310.1|DMEL
OG0003473	LOC120423964|XP_039443886.1|CPIP	Nup107|NP_609446.1|DMEL
OG0003474	LOC120425161|XP_039445524.1|CPIP	CG42613|NP_001247185.1|DMEL
OG0003475	LOC120426217|XP_039446859.1|CPIP	CG42322|NP_732549.2|DMEL
OG0003476	LOC120427409|XP_039448205.1|CPIP	Kif3C|NP_651939.4|DMEL
OG0003477	LOC120424766|XP_039444904.1|CPIP	Lkb1|NP_650302.1|DMEL
OG0003478	LOC120421098|XP_039440177.1|CPIP	Octbeta2R|NP_001163596.2|DMEL
OG0003479	LOC120417002|XP_039434879.1|CPIP	Task7|NP_649891.1|DMEL
OG0003480	LOC120428960|XP_039450033.1|CPIP	Osi19|NP_649640.1|DMEL
OG0003481	LOC120428962|XP_039450035.1|CPIP	Osi18|NP_649639.1|DMEL
OG0003482	LOC120428959|XP_039450031.1|CPIP	Osi17|NP_001262307.1|DMEL
OG0003483	LOC120425990|XP_039446582.1|CPIP	Osi1|NP_649618.1|DMEL
OG0003484	LOC120422026|XP_039441284.1|CPIP	Arl8|NP_649769.1|DMEL
OG0003485	LOC120430263|XP_039451282.1|CPIP	Osi22|NP_731783.1|DMEL
OG0003486	LOC120430268|XP_039451289.1|CPIP	CG15888|NP_001034050.1|DMEL
OG0003487	LOC120422548|XP_039441949.1|CPIP	Slbp|NP_477480.1|DMEL
OG0003488	LOC120432485|XP_039453636.1|CPIP	dsd|NP_651571.3|DMEL
OG0003489	LOC120414300|XP_039431368.1|CPIP	FER|NP_524288.3|DMEL
OG0003490	LOC120414284|XP_039431348.1|CPIP	Ppcs|NP_650784.3|DMEL
OG0003491	LOC120414290|XP_039431355.1|CPIP	CG42534|NP_651560.2|DMEL
OG0003492	LOC120427279|XP_039448063.1|CPIP	beat-VI|NP_651619.1|DMEL
OG0003493	LOC120431388|XP_039452452.1|CPIP, LOC120430174|XP_039451189.1|CPIP	CG6569|NP_650988.1|DMEL
OG0003494	LOC120429624|XP_039450588.1|CPIP	CG31523|NP_649474.1|DMEL
OG0003495	LOC120423840|XP_039443722.1|CPIP	GCS2beta|NP_609844.1|DMEL
OG0003496	LOC120421779|XP_039440982.1|CPIP	CG9922|NP_650329.1|DMEL
OG0003497	LOC120423822|XP_039443679.1|CPIP	CG17271|NP_650916.1|DMEL
OG0003498	LOC120423812|XP_039443666.1|CPIP	CG33217|NP_996147.1|DMEL
OG0003499	LOC120423830|XP_039443704.1|CPIP	alpha-Man-IIa|NP_001262413.1|DMEL
OG0003500	LOC120424631|XP_039444731.1|CPIP	CG17349|NP_609957.2|DMEL
OG0003502	LOC120417089|XP_039434999.1|CPIP	mAChR-B|NP_649764.1|DMEL
OG0003503	LOC120425050|XP_039445357.1|CPIP	CG1647|NP_651636.1|DMEL
OG0003504	LOC120425079|XP_039445409.1|CPIP	CG42727|NP_001189223.1|DMEL
OG0003505	LOC120425072|XP_039445382.1|CPIP	kmr|NP_001097775.2|DMEL
OG0003506	LOC120420771|XP_039439814.1|CPIP	CG2017|NP_649603.3|DMEL
OG0003507	LOC120420749|XP_039439779.1|CPIP	cnc|NP_001262864.1|DMEL
OG0003508	LOC120414265|XP_039431318.1|CPIP	mv|NP_647681.2|DMEL
OG0003509	LOC120425654|XP_039446169.1|CPIP	CG5377|NP_651052.1|DMEL
OG0003510	LOC120425391|XP_039445842.1|CPIP	Nup98-96|NP_651187.2|DMEL
OG0003511	LOC120425379|XP_039445826.1|CPIP, LOC120423575|XP_039443367.1|CPIP	mbc|NP_001247267.1|DMEL
OG0003512	LOC120432131|XP_039453198.1|CPIP	Gba1b|NP_001097888.1|DMEL
OG0003513	LOC120422588|XP_039442013.1|CPIP	Cdc16|NP_477397.1|DMEL
OG0003515	LOC120425435|XP_039445900.1|CPIP	CG8298|NP_610718.1|DMEL
OG0003516	LOC120425433|XP_039445897.1|CPIP	yrt|NP_650291.1|DMEL
OG0003517	LOC120417083|XP_039434995.1|CPIP	Ubx|NP_536752.1|DMEL
OG0003518	LOC120428062|XP_039448955.1|CPIP	lab|NP_476613.1|DMEL
OG0003519	LOC120428068|XP_039448970.1|CPIP	CG42673|NP_729510.1|DMEL
OG0003520	LOC120428064|XP_039448957.1|CPIP	LanB2|NP_524006.1|DMEL
OG0003521	LOC120428073|XP_039448981.1|CPIP	path|NP_648327.1|DMEL
OG0003522	LOC120428076|XP_039448986.1|CPIP	mRpL42|NP_523673.1|DMEL
OG0003523	LOC120420489|XP_039439469.1|CPIP, LOC120413890|XP_039430798.1|CPIP	fws|NP_523590.1|DMEL
OG0003524	LOC120428074|XP_039448984.1|CPIP	CG6867|NP_573262.2|DMEL
OG0003525	LOC120430975|XP_039452041.1|CPIP	Hmgs|NP_524711.1|DMEL
OG0003527	LOC120430984|XP_039452080.1|CPIP	CG1358|NP_610301.1|DMEL
OG0003529	LOC120428690|XP_039449692.1|CPIP	Mulk|NP_723549.1|DMEL
OG0003530	LOC120428693|XP_039449695.1|CPIP	Urm1|NP_996018.2|DMEL
OG0003531	LOC120427603|XP_039448414.1|CPIP	CG7655|NP_650646.1|DMEL
OG0003532	LOC120427613|XP_039448428.1|CPIP	msk|NP_524780.1|DMEL
OG0003533	LOC120423003|XP_039442559.1|CPIP	Mcm7|NP_523984.1|DMEL
OG0003534	LOC120424419|XP_039444463.1|CPIP	CG32052|NP_729555.4|DMEL
OG0003535	LOC120430253|XP_039451272.1|CPIP	oxt|NP_647705.1|DMEL
OG0003536	LOC120421746|XP_039440953.1|CPIP	CG9410|NP_724484.1|DMEL
OG0003537	LOC120424166|XP_039444150.1|CPIP	CG10795|NP_001356967.1|DMEL
OG0003538	LOC120424173|XP_039444159.1|CPIP	Qsox1|NP_610852.1|DMEL
OG0003539	LOC120424169|XP_039444152.1|CPIP	Flo1|NP_725476.1|DMEL
OG0003540	LOC120424180|XP_039444170.1|CPIP	CG32344|NP_612028.4|DMEL
OG0003541	LOC120417819|XP_039435959.1|CPIP	Syx1A|NP_001189276.1|DMEL
OG0003542	LOC120417805|XP_039435937.1|CPIP	kermit|NP_652028.1|DMEL
OG0003543	LOC120417813|XP_039435950.1|CPIP	png|NP_477492.1|DMEL
OG0003544	LOC120417798|XP_039435930.1|CPIP	BHD|NP_648090.1|DMEL
OG0003545	LOC120419759|XP_039438516.1|CPIP	Csp|NP_730713.1|DMEL
OG0003546	LOC120419751|XP_039438502.1|CPIP	CG42638|NP_001163472.1|DMEL, Trpml|NP_649145.1|DMEL
OG0003547	LOC120419505|XP_039438136.1|CPIP	apt|NP_001261153.1|DMEL
OG0003548	LOC120419500|XP_039438125.1|CPIP	Rab32|NP_525109.1|DMEL
OG0003549	LOC120419503|XP_039438135.1|CPIP	CG8026|NP_724769.2|DMEL
OG0003550	LOC120429771|XP_039450762.1|CPIP	RpLP0-like|NP_610554.1|DMEL
OG0003551	LOC120417809|XP_039435942.1|CPIP	OstDelta|NP_611265.1|DMEL
OG0003552	LOC120430257|XP_039451276.1|CPIP, LOC120419775|XP_039438541.1|CPIP	CG9084|NP_001260884.1|DMEL
OG0003553	LOC120419731|XP_039438457.1|CPIP, LOC120430258|XP_039451277.1|CPIP	CG2269|NP_724880.1|DMEL
OG0003554	LOC120419746|XP_039438483.1|CPIP	CG4098|NP_660192.1|DMEL
OG0003555	LOC120417397|XP_039435358.1|CPIP	hob|NP_647789.2|DMEL
OG0003556	LOC120427109|XP_039447893.1|CPIP, LOC120427466|XP_039448270.1|CPIP	CG32432|NP_649266.1|DMEL
OG0003557	LOC120431873|XP_039452937.1|CPIP, LOC120427123|XP_039447910.1|CPIP	CSN3|NP_524190.2|DMEL
OG0003558	LOC120414214|XP_039431247.1|CPIP	axo|NP_001246631.1|DMEL
OG0003559	LOC120429274|XP_039450425.1|CPIP	SCaMC|NP_729802.1|DMEL
OG0003560	LOC120422644|XP_039442081.1|CPIP	Neos|NP_523955.1|DMEL
OG0003561	LOC120422627|XP_039442056.1|CPIP	Lrt|NP_001286640.1|DMEL
OG0003562	LOC120422625|XP_039442053.1|CPIP	Hyccin|NP_611256.1|DMEL
OG0003563	LOC120431522|XP_039452553.1|CPIP, LOC120422636|XP_039442067.1|CPIP	NP15.6|NP_650774.1|DMEL
OG0003564	LOC120431622|XP_039452667.1|CPIP	Sec63|NP_648111.1|DMEL
OG0003565	LOC120412866|XP_039429424.1|CPIP	RpL28|NP_647791.2|DMEL
OG0003566	LOC120422914|XP_039442413.1|CPIP	Unc-115b|NP_731390.1|DMEL, Unc-115a|NP_001163573.1|DMEL
OG0003567	LOC120422917|XP_039442422.1|CPIP	spin|NP_725532.1|DMEL
OG0003568	LOC120423649|XP_039443455.1|CPIP	Camta|NP_001137624.1|DMEL
OG0003569	LOC120413503|XP_039430292.1|CPIP	CG1317|NP_647715.2|DMEL
OG0003570	LOC120415771|XP_039433321.1|CPIP	didum|NP_724569.1|DMEL
OG0003571	LOC120427373|XP_039448167.1|CPIP	NT1|NP_729009.2|DMEL
OG0003572	LOC120427089|XP_039447875.1|CPIP	exp|NP_725091.1|DMEL
OG0003573	LOC120426403|XP_039447097.1|CPIP	Ctf4|NP_610921.1|DMEL
OG0003574	LOC120427476|XP_039448279.1|CPIP	CG4611|NP_647949.1|DMEL
OG0003575	LOC120428985|XP_039450057.1|CPIP	CG5157|NP_648843.1|DMEL
OG0003576	LOC120432608|XP_039453789.1|CPIP	rogdi|NP_730244.1|DMEL
OG0003577	LOC120432601|XP_039453777.1|CPIP	S6k|NP_523941.2|DMEL
OG0003578	LOC120427142|XP_039447935.1|CPIP	Rint1|NP_648102.2|DMEL
OG0003579	LOC120426579|XP_039447302.1|CPIP	stau|NP_476751.1|DMEL
OG0003580	LOC120426850|XP_039447580.1|CPIP	hpo|NP_611427.1|DMEL
OG0003581	LOC120427329|XP_039448116.1|CPIP	Srrm234|NP_001097475.2|DMEL
OG0003582	LOC120425995|XP_039446592.1|CPIP	CG32066|NP_729619.1|DMEL
OG0003583	LOC120425696|XP_039446217.1|CPIP	CG12913|NP_610567.1|DMEL
OG0003584	LOC120426360|XP_039447057.1|CPIP	CG12128|NP_610543.1|DMEL
OG0003585	LOC120425830|XP_039446386.1|CPIP	CG7330|NP_649032.1|DMEL
OG0003586	LOC120428814|XP_039449850.1|CPIP	yellow-h|NP_651912.3|DMEL
OG0003587	LOC120425974|XP_039446562.1|CPIP	IntS14|NP_608579.1|DMEL
OG0003588	LOC120422331|XP_039441660.1|CPIP	DNApol-theta|NP_524333.1|DMEL
OG0003589	LOC120422349|XP_039441679.1|CPIP	CG30095|NP_725529.1|DMEL
OG0003590	LOC120420566|XP_039439575.1|CPIP	SCOT|NP_647683.1|DMEL
OG0003591	LOC120429984|XP_039451013.1|CPIP	CG12004|NP_001097474.1|DMEL
OG0003592	LOC120422847|XP_039442326.1|CPIP	CG10681|NP_648580.1|DMEL
OG0003593	LOC120422433|XP_039441785.1|CPIP	Pdp1|NP_729301.1|DMEL
OG0003594	LOC120415748|XP_039433289.1|CPIP	CG14834|NP_648108.1|DMEL
OG0003595	LOC120415739|XP_039433274.1|CPIP	Arf51F|NP_523751.2|DMEL
OG0003596	LOC120415735|XP_039433264.1|CPIP	Rab2|NP_477090.1|DMEL
OG0003597	LOC120415752|XP_039433294.1|CPIP	Hsepi|NP_610249.2|DMEL
OG0003598	LOC120428572|XP_039449539.1|CPIP	CG15019|NP_001097502.1|DMEL
OG0003599	LOC120424877|XP_039445071.1|CPIP	CG9643|NP_608733.1|DMEL
OG0003600	LOC120424883|XP_039445081.1|CPIP	Gug|NP_001261581.1|DMEL
OG0003601	LOC120418863|XP_039437332.1|CPIP	ana|NP_001163093.1|DMEL
OG0003602	LOC120418856|XP_039437317.1|CPIP	Sesn|NP_001097437.1|DMEL
OG0003603	LOC120430196|XP_039451213.1|CPIP	CG34462|NP_001097548.1|DMEL
OG0003604	LOC120430042|XP_039451068.1|CPIP	nompB|NP_724347.3|DMEL
OG0003605	LOC120430147|XP_039451169.1|CPIP	udt|NP_651182.2|DMEL
OG0003606	LOC120430158|XP_039451177.1|CPIP	swi2|NP_611247.3|DMEL
OG0003607	LOC120430016|XP_039451048.1|CPIP	aft|NP_477413.1|DMEL
OG0003608	LOC120422884|XP_039442378.1|CPIP	vnc|NP_648378.1|DMEL
OG0003609	LOC120430755|XP_039451800.1|CPIP, LOC120430317|XP_039451352.1|CPIP	tsu|NP_610454.2|DMEL
OG0003610	LOC120416555|XP_039434221.1|CPIP	Wdr92|NP_649025.1|DMEL
OG0003611	LOC120430951|XP_039452008.1|CPIP	bol|NP_001261614.1|DMEL
OG0003612	LOC120429260|XP_039450413.1|CPIP	hbn|NP_788420.1|DMEL
OG0003613	LOC120423179|XP_039442804.1|CPIP	Rpe|NP_610298.2|DMEL
OG0003614	LOC120423180|XP_039442805.1|CPIP	boca|NP_724578.1|DMEL
OG0003615	LOC120420670|XP_039439702.1|CPIP	Golgin245|NP_611787.2|DMEL
OG0003616	LOC120412428|XP_039428821.1|CPIP	CG2852|NP_611695.1|DMEL
OG0003617	LOC120426803|XP_039447521.1|CPIP	s-cup|NP_610792.2|DMEL
OG0003618	LOC120426802|XP_039447516.1|CPIP	fdl|NP_725178.2|DMEL
OG0003619	LOC120428619|XP_039449597.1|CPIP	AspRS|NP_476609.1|DMEL
OG0003620	LOC120413201|XP_039429850.1|CPIP	Zfrp8|NP_611890.1|DMEL
OG0003621	LOC120431468|XP_039452516.1|CPIP	CG4942|NP_648286.1|DMEL
OG0003622	LOC120431467|XP_039452515.1|CPIP	teq|NP_648288.2|DMEL
OG0003623	LOC120421532|XP_039440685.1|CPIP	mEFTu1|NP_524752.1|DMEL
OG0003624	LOC120428750|XP_039449765.1|CPIP	Pal2|NP_525118.2|DMEL
OG0003625	LOC120428754|XP_039449770.1|CPIP	CG1598|NP_610296.2|DMEL
OG0003626	LOC120413254|XP_039429917.1|CPIP	Pgant1|NP_611043.1|DMEL
OG0003627	LOC120413253|XP_039429916.1|CPIP	Vps51|NP_611363.2|DMEL
OG0003628	LOC120413218|XP_039429873.1|CPIP	ced-6|NP_001246225.1|DMEL
OG0003629	LOC120413235|XP_039429899.1|CPIP	CG3955|NP_610837.1|DMEL
OG0003630	LOC120413221|XP_039429881.1|CPIP	CG10339|NP_611881.1|DMEL
OG0003631	LOC120413214|XP_039429866.1|CPIP	l_3_76BDm|NP_649135.2|DMEL
OG0003632	LOC120413238|XP_039429902.1|CPIP, LOC120413263|XP_039429925.1|CPIP	CG15212|NP_652458.1|DMEL
OG0003633	LOC120418504|XP_039436875.1|CPIP	Dgkepsilon|NP_725228.1|DMEL
OG0003634	LOC120413204|XP_039429854.1|CPIP	ergic53|NP_524776.1|DMEL
OG0003635	LOC120413156|XP_039429798.1|CPIP	ZnT63C|NP_001261364.1|DMEL
OG0003636	LOC120418625|XP_039437003.1|CPIP, LOC120418489|XP_039436860.1|CPIP	Dbp45A|NP_476927.1|DMEL
OG0003637	LOC120418500|XP_039436871.1|CPIP	Cyp301a1|NP_610796.1|DMEL
OG0003638	LOC120424827|XP_039444982.1|CPIP	trc|NP_001262071.1|DMEL
OG0003639	LOC120424848|XP_039445030.1|CPIP	Taf11|NP_723484.1|DMEL
OG0003640	LOC120420077|XP_039438936.1|CPIP	Pms2|NP_477023.1|DMEL
OG0003641	LOC120420075|XP_039438933.1|CPIP	Sgf29|NP_726051.1|DMEL
OG0003642	LOC120420104|XP_039438985.1|CPIP	Pabp2|NP_476902.1|DMEL
OG0003643	LOC120420090|XP_039438956.1|CPIP	mRpS17|NP_525119.1|DMEL
OG0003644	LOC120420063|XP_039438911.1|CPIP	TER94|NP_001097249.1|DMEL
OG0003645	LOC120429150|XP_039450289.1|CPIP	mRpS35|NP_523893.1|DMEL
OG0003646	LOC120429154|XP_039450296.1|CPIP	ldbr|NP_996022.1|DMEL
OG0003647	LOC120416508|XP_039434160.1|CPIP	Fdx1|NP_523993.1|DMEL
OG0003648	LOC120416529|XP_039434180.1|CPIP	Gmd|NP_608888.2|DMEL
OG0003649	LOC120428834|XP_039449884.1|CPIP	veli|NP_733076.2|DMEL
OG0003650	LOC120428833|XP_039449883.1|CPIP	Arp6|NP_511165.1|DMEL
OG0003651	LOC120413475|XP_039430248.1|CPIP	CG15528|NP_651767.2|DMEL
OG0003652	LOC120418018|XP_039436195.1|CPIP	SmD1|NP_524774.1|DMEL
OG0003653	LOC120418047|XP_039436229.1|CPIP	cyc|NP_524168.2|DMEL
OG0003654	LOC120424198|XP_039444190.1|CPIP	beg|NP_648950.1|DMEL
OG0003655	LOC120425592|XP_039446107.1|CPIP	CG10189|NP_609975.1|DMEL
OG0003656	LOC120425586|XP_039446097.1|CPIP	CG10984|NP_729823.2|DMEL
OG0003657	LOC120418933|XP_039437404.1|CPIP	Blos4|NP_648414.1|DMEL
OG0003658	LOC120418923|XP_039437387.1|CPIP	CG9386|NP_649904.2|DMEL
OG0003659	LOC120418921|XP_039437385.1|CPIP	Gabat|NP_649168.2|DMEL
OG0003660	LOC120418907|XP_039437368.1|CPIP	E_bx_|NP_001261188.1|DMEL
OG0003661	LOC120420644|XP_039439656.1|CPIP	Pxn|NP_523891.2|DMEL
OG0003662	LOC120420685|XP_039439714.1|CPIP	ppl|NP_524197.1|DMEL
OG0003663	LOC120412381|XP_039428743.1|CPIP	kri|NP_001261451.1|DMEL
OG0003664	LOC120412380|XP_039428739.1|CPIP	vn|NP_523942.2|DMEL
OG0003665	LOC120412390|XP_039428765.1|CPIP	CG12909|NP_610573.1|DMEL
OG0003666	LOC120412392|XP_039428773.1|CPIP	phtf|NP_610232.1|DMEL
OG0003667	LOC120413486|XP_039430270.1|CPIP	Larp4B|NP_647793.1|DMEL
OG0003668	LOC120412619|XP_039429103.1|CPIP	stw|NP_610170.2|DMEL
OG0003669	LOC120421527|XP_039440680.1|CPIP	CG7637|NP_610610.1|DMEL
OG0003670	LOC120421526|XP_039440679.1|CPIP	CG12935|NP_610609.1|DMEL
OG0003671	LOC120429132|XP_039450264.1|CPIP	Pde8|NP_001163275.2|DMEL
OG0003672	LOC120424862|XP_039445049.1|CPIP	RpS27|NP_651359.1|DMEL
OG0003673	LOC120430654|XP_039451694.1|CPIP	wdp|NP_611661.1|DMEL
OG0003674	LOC120422291|XP_039441617.1|CPIP	CG8399|NP_001286472.1|DMEL
OG0003675	LOC120422294|XP_039441621.1|CPIP	Nup44A|NP_610343.1|DMEL
OG0003676	LOC120422293|XP_039441620.1|CPIP	ACC|NP_610342.1|DMEL
OG0003677	LOC120423606|XP_039443405.1|CPIP	CG17454|NP_001138001.1|DMEL
OG0003678	LOC120419972|XP_039438782.1|CPIP	wit|NP_001261395.1|DMEL
OG0003679	LOC120419980|XP_039438792.1|CPIP	Rcd5|NP_647852.1|DMEL
OG0003680	LOC120414123|XP_039431085.1|CPIP	CG5033|NP_611270.1|DMEL
OG0003681	LOC120414124|XP_039431086.1|CPIP	tun|NP_611061.1|DMEL
OG0003682	LOC120414114|XP_039431076.1|CPIP	pps|NP_001247075.1|DMEL
OG0003683	LOC120414122|XP_039431084.1|CPIP	TppII|NP_725252.1|DMEL
OG0003684	LOC120417210|XP_039435108.1|CPIP, LOC120430339|XP_039451375.1|CPIP	CG3434|NP_648320.1|DMEL
OG0003685	LOC120418569|XP_039436947.1|CPIP, LOC120418566|XP_039436936.1|CPIP	TrpA1|NP_001261600.1|DMEL
OG0003686	LOC120418522|XP_039436892.1|CPIP	Sec24AB|NP_610531.1|DMEL
OG0003687	LOC120418551|XP_039436918.1|CPIP	Dlish|NP_611251.2|DMEL
OG0003688	LOC120418552|XP_039436920.1|CPIP	bonsai|NP_611691.1|DMEL
OG0003689	LOC120418531|XP_039436901.1|CPIP	ArfGAP3|NP_001097664.2|DMEL
OG0003690	LOC120418532|XP_039436903.1|CPIP	NUCB1|NP_649008.2|DMEL
OG0003691	LOC120418549|XP_039436915.1|CPIP	meru|NP_730077.1|DMEL
OG0003692	LOC120431431|XP_039452486.1|CPIP, LOC120426205|XP_039446848.1|CPIP	p47|NP_610284.1|DMEL
OG0003693	LOC120431880|XP_039452943.1|CPIP, LOC120414462|XP_039431584.1|CPIP	CG7028|NP_001286884.1|DMEL
OG0003694	LOC120414433|XP_039431551.1|CPIP	ringer|NP_648881.1|DMEL
OG0003695	LOC120414447|XP_039431568.1|CPIP	frc|NP_524126.1|DMEL
OG0003696	LOC120429028|XP_039450098.1|CPIP	CG34228|NP_001097274.1|DMEL
OG0003697	LOC120423616|XP_039443417.1|CPIP	gem|NP_610556.1|DMEL
OG0003698	LOC120426782|XP_039447490.1|CPIP	RpS9|NP_524004.2|DMEL
OG0003699	LOC120419515|XP_039438149.1|CPIP	ITP|NP_611931.3|DMEL
OG0003700	LOC120419539|XP_039438182.1|CPIP	CG3589|NP_611968.1|DMEL
OG0003701	LOC120419523|XP_039438168.1|CPIP	CCDC53|NP_609178.1|DMEL
OG0003702	LOC120413393|XP_039430125.1|CPIP	CG6833|NP_648689.1|DMEL
OG0003703	LOC120413412|XP_039430151.1|CPIP	CG32280|NP_728818.1|DMEL
OG0003704	LOC120413401|XP_039430135.1|CPIP	Gorab|NP_788523.1|DMEL
OG0003705	LOC120430383|XP_039451415.1|CPIP, LOC120430839|XP_039451889.1|CPIP	lig|NP_001260795.1|DMEL
OG0003706	LOC120427789|XP_039448647.1|CPIP	Cralbp|NP_523939.1|DMEL
OG0003707	LOC120427774|XP_039448628.1|CPIP	CG32333|NP_001261246.1|DMEL
OG0003708	LOC120422275|XP_039441593.1|CPIP, LOC120430407|XP_039451446.1|CPIP, LOC120425139|XP_039445500.1|CPIP	CG5151|NP_648844.1|DMEL
OG0003709	LOC120422287|XP_039441611.1|CPIP	sug|NP_610826.1|DMEL
OG0003710	LOC120422282|XP_039441603.1|CPIP	CG17019|NP_610827.2|DMEL
OG0003711	LOC120423774|XP_039443627.1|CPIP	CG9300|NP_649127.1|DMEL
OG0003712	LOC120423787|XP_039443639.1|CPIP	Achl|NP_610964.1|DMEL
OG0003713	LOC120423763|XP_039443610.1|CPIP	lms|NP_001286635.1|DMEL
OG0003714	LOC120423785|XP_039443637.1|CPIP	Mgat1|NP_525117.2|DMEL
OG0003715	LOC120421632|XP_039440793.1|CPIP	Cpr66Cb|NP_648209.1|DMEL
OG0003716	LOC120424482|XP_039444555.1|CPIP	Srrm1|NP_648627.1|DMEL
OG0003717	LOC120424490|XP_039444568.1|CPIP	zetaCOP|NP_648910.1|DMEL
OG0003718	LOC120424499|XP_039444584.1|CPIP	CG8005|NP_648188.2|DMEL
