Orthogroup	CPIP.longest_only	DANA.longest_only
OG0003258	LOC120432232|XP_039453342.1|CPIP	LOC6504530|XP_001967081.1|DANA
OG0003259	LOC120432223|XP_039453332.1|CPIP	LOC6504684|XP_032309110.1|DANA
OG0003260	LOC120415048|XP_039432356.1|CPIP	LOC6501825|XP_001967171.2|DANA
OG0003261	LOC120431253|XP_039452325.1|CPIP	LOC6499611|XP_032309568.1|DANA
OG0003262	LOC120424013|XP_039443961.1|CPIP	LOC26515331|XP_032308999.1|DANA
OG0003263	LOC120432245|XP_039453353.1|CPIP	LOC6501954|XP_001966756.2|DANA
OG0003264	LOC120430288|XP_039451315.1|CPIP, LOC120430287|XP_039451314.1|CPIP	LOC6503625|XP_001964041.1|DANA
OG0003265	LOC120418100|XP_039436305.1|CPIP	LOC6497089|XP_001962781.1|DANA
OG0003266	LOC120412639|XP_039429132.1|CPIP	LOC6497339|XP_001962292.1|DANA
OG0003267	LOC120424303|XP_039444321.1|CPIP	LOC6501817|XP_001966866.1|DANA
OG0003268	LOC120415881|XP_039433491.1|CPIP	LOC6500763|XP_032308481.1|DANA
OG0003269	LOC120420955|XP_039440046.1|CPIP	LOC6506010|XP_001964774.1|DANA
OG0003270	LOC120421546|XP_039440743.1|CPIP	LOC6507254|XP_001956379.2|DANA
OG0003271	LOC120422529|XP_039442285.1|CPIP	LOC6505492|XP_001966266.1|DANA
OG0003272	LOC120418115|XP_039436324.1|CPIP, LOC120428871|XP_039449931.1|CPIP	LOC6505169|XP_032307965.1|DANA
OG0003273	LOC120415792|XP_039433384.1|CPIP	LOC6494334|XP_001960513.2|DANA
OG0003274	LOC120414169|XP_039431159.1|CPIP	LOC6505079|XP_014760283.2|DANA
OG0003275	LOC120424026|XP_039443980.1|CPIP	LOC6504573|XP_032309292.1|DANA
OG0003276	LOC120429211|XP_039450365.1|CPIP	LOC6501273|XP_014766973.1|DANA
OG0003277	LOC120432268|XP_039453382.1|CPIP	LOC6502505|XP_001961270.1|DANA
OG0003278	LOC120431241|XP_039452315.1|CPIP	LOC26514331|XP_014767272.1|DANA
OG0003279	LOC120431434|XP_039452489.1|CPIP	LOC6502305|XP_032309404.1|DANA
OG0003280	LOC120432244|XP_039453351.1|CPIP	LOC6499462|XP_001954586.2|DANA
OG0003281	LOC120432304|XP_039453424.1|CPIP	LOC6499481|XP_001954548.1|DANA
OG0003282	LOC120430542|XP_039451588.1|CPIP, LOC120428503|XP_039449447.1|CPIP	LOC6502101|XP_001966209.2|DANA
OG0003283	LOC120413357|XP_039430074.1|CPIP	LOC6498289|XP_001962470.2|DANA
OG0003284	LOC120418129|XP_039436341.1|CPIP	LOC6503807|XP_001963705.1|DANA
OG0003285	LOC120417923|XP_039436117.1|CPIP	LOC6499385|XP_001954738.1|DANA
OG0003286	LOC120432354|XP_039453481.1|CPIP	LOC6501338|XP_032307623.1|DANA
OG0003287	LOC120429641|XP_039450602.1|CPIP, LOC120414182|XP_039431194.1|CPIP	LOC6507923|XP_001956610.1|DANA
OG0003288	LOC120414171|XP_039431163.1|CPIP	LOC6499946|XP_001953578.2|DANA
OG0003289	LOC120414191|XP_039431206.1|CPIP	LOC6494186|XP_001960806.1|DANA
OG0003290	LOC120422451|XP_039441828.1|CPIP	LOC6500990|XP_001954307.2|DANA
OG0003291	LOC120424177|XP_039444165.1|CPIP, LOC120422531|XP_039441926.1|CPIP	LOC6506231|XP_001958299.2|DANA
OG0003292	LOC120424292|XP_039444308.1|CPIP	LOC6503748|XP_001963813.1|DANA
OG0003293	LOC120420200|XP_039439118.1|CPIP, LOC120414536|XP_039431680.1|CPIP	LOC6503553|XP_001964170.1|DANA
OG0003294	LOC120420183|XP_039439093.1|CPIP	LOC6494532|XP_032306262.1|DANA
OG0003295	LOC120420185|XP_039439097.1|CPIP	LOC6503690|XP_032308386.1|DANA
OG0003296	LOC120420203|XP_039439125.1|CPIP	LOC116654585|XP_032305855.1|DANA
OG0003297	LOC120420176|XP_039439076.1|CPIP	LOC6499922|XP_032307191.1|DANA
OG0003298	LOC120416888|XP_039434715.1|CPIP	LOC6505002|XP_001965659.1|DANA
OG0003299	LOC120419281|XP_039437880.1|CPIP	LOC6500326|XP_001952978.1|DANA
OG0003300	LOC120419269|XP_039437861.1|CPIP	LOC6500911|XP_001954151.1|DANA
OG0003301	LOC120416436|XP_039434124.1|CPIP	LOC6495503|XP_001958990.2|DANA
OG0003302	LOC120413707|XP_039430561.1|CPIP	LOC6503527|XP_032308764.1|DANA
OG0003303	LOC120413335|XP_039430045.1|CPIP	LOC6495669|XP_001959351.1|DANA
OG0003304	LOC120430281|XP_039451307.1|CPIP	LOC6501512|XP_001955397.1|DANA
OG0003305	LOC120432624|XP_039453811.1|CPIP	LOC6498794|XP_001967269.1|DANA
OG0003306	LOC120427215|XP_039448009.1|CPIP	LOC6496641|XP_001961315.1|DANA
OG0003307	LOC120413320|XP_039430019.1|CPIP	LOC6493577|XP_001958031.2|DANA
OG0003308	LOC120413349|XP_039430061.1|CPIP	LOC6497839|XP_001961549.1|DANA
OG0003309	LOC120412379|XP_039428742.1|CPIP	LOC6504384|XP_014759451.1|DANA
OG0003310	LOC120412340|XP_039428678.1|CPIP	LOC6501974|XP_001966796.1|DANA, LOC6501975|XP_001966797.1|DANA
OG0003311	LOC120432550|XP_039453715.1|CPIP	LOC6499651|XP_001954213.1|DANA
OG0003312	LOC120427671|XP_039448485.1|CPIP	LOC6500915|XP_001954156.1|DANA
OG0003313	LOC120419021|XP_039437552.1|CPIP	LOC6504851|XP_001966451.1|DANA
OG0003314	LOC120418871|XP_039437371.1|CPIP	LOC6495717|XP_001959430.2|DANA
OG0003315	LOC120415624|XP_039433157.1|CPIP	LOC6504960|XP_032307845.1|DANA
OG0003316	LOC120428512|XP_039449457.1|CPIP, LOC120421419|XP_039440560.1|CPIP	LOC6499396|XP_001954721.1|DANA
OG0003317	LOC120426069|XP_039446686.1|CPIP, LOC120431099|XP_039452188.1|CPIP	LOC6500902|XP_001954132.1|DANA
OG0003318	LOC120426071|XP_039446689.1|CPIP	LOC6499929|XP_032306814.1|DANA
OG0003319	LOC120417039|XP_039434919.1|CPIP	LOC6500982|XP_014766835.1|DANA
OG0003320	LOC120417021|XP_039434894.1|CPIP	LOC6501190|XP_001954727.1|DANA
OG0003321	LOC120417032|XP_039434909.1|CPIP	LOC6501192|XP_014766924.1|DANA
OG0003322	LOC120417041|XP_039434924.1|CPIP	LOC6499388|XP_001954734.1|DANA
OG0003323	LOC120423062|XP_039442701.1|CPIP	LOC6508749|XP_001964244.1|DANA
OG0003324	LOC120416935|XP_039434783.1|CPIP	LOC6504672|XP_032309002.1|DANA
OG0003325	LOC120416916|XP_039434756.1|CPIP	LOC6499357|XP_014766031.1|DANA
OG0003326	LOC120431413|XP_039452472.1|CPIP	LOC6504985|XP_001965687.1|DANA
OG0003327	LOC120413713|XP_039430568.1|CPIP	LOC6503258|XP_032308039.1|DANA
OG0003328	LOC120426032|XP_039446643.1|CPIP	LOC6504606|XP_001966538.1|DANA
OG0003329	LOC120426024|XP_039446632.1|CPIP, LOC120432109|XP_039453175.1|CPIP	LOC6496555|XP_032307082.1|DANA, LOC6499480|XP_001954552.2|DANA
OG0003330	LOC120421215|XP_039440352.1|CPIP	LOC6507762|XP_001956298.1|DANA
OG0003331	LOC120412470|XP_039428891.1|CPIP	LOC6504499|XP_032308243.1|DANA
OG0003332	LOC120426599|XP_039447324.1|CPIP	LOC6502324|XP_001967154.1|DANA
OG0003333	LOC120423490|XP_039443261.1|CPIP, LOC120431336|XP_039452401.1|CPIP	LOC6505571|XP_001964676.3|DANA
OG0003334	LOC120427228|XP_039448026.1|CPIP, LOC120429019|XP_039450094.1|CPIP	LOC6501414|XP_001955202.1|DANA
OG0003336	LOC120417690|XP_039435760.1|CPIP	LOC6499739|XP_001954022.1|DANA
OG0003337	LOC120416233|XP_039433862.1|CPIP, LOC120430052|XP_039451080.1|CPIP	LOC6499397|XP_032306217.1|DANA
OG0003338	LOC120416252|XP_039433889.1|CPIP	LOC6500898|XP_001954126.1|DANA
OG0003339	LOC120419623|XP_039438298.1|CPIP	LOC6506001|XP_001964760.1|DANA
OG0003340	LOC120419624|XP_039438301.1|CPIP	LOC6505527|XP_014760697.1|DANA
OG0003341	LOC120417758|XP_039435853.1|CPIP	LOC6505209|XP_001965551.1|DANA
OG0003342	LOC120417757|XP_039435850.1|CPIP	LOC6502120|XP_001966170.2|DANA
OG0003343	LOC120421823|XP_039441035.1|CPIP, LOC120413521|XP_039430330.1|CPIP	LOC6495749|XP_032309454.1|DANA, LOC6496049|XP_032310858.1|DANA
OG0003344	LOC120426332|XP_039447026.1|CPIP	LOC6497082|XP_001962792.1|DANA
OG0003345	LOC120418063|XP_039436602.1|CPIP	LOC6501815|XP_001966869.2|DANA
OG0003346	LOC120415641|XP_039433173.1|CPIP	LOC6499704|XP_001954096.1|DANA
OG0003347	LOC120416905|XP_039434737.1|CPIP	LOC6499697|XP_001954112.1|DANA
OG0003348	LOC120424540|XP_039444638.1|CPIP	LOC6500878|XP_001954090.1|DANA
OG0003349	LOC120430556|XP_039451605.1|CPIP, LOC120426460|XP_039447158.1|CPIP	LOC6501826|XP_001966854.1|DANA
OG0003350	LOC120426459|XP_039447155.1|CPIP, LOC120432135|XP_039453199.1|CPIP, LOC120430552|XP_039451600.1|CPIP	LOC6500807|XP_032309972.1|DANA
OG0003351	LOC120422082|XP_039441362.1|CPIP	LOC6504571|XP_001966604.1|DANA
OG0003352	LOC120414179|XP_039431187.1|CPIP	LOC6505554|XP_014760703.1|DANA
OG0003353	LOC120423869|XP_039443751.1|CPIP	LOC6499854|XP_032305905.1|DANA
OG0003354	LOC120423868|XP_039443749.1|CPIP	LOC6505948|XP_001964664.2|DANA
OG0003355	LOC120418633|XP_039437049.1|CPIP	LOC6501896|XP_032308303.1|DANA
OG0003356	LOC120419769|XP_039438568.1|CPIP	LOC6502254|XP_001966090.1|DANA
OG0003357	LOC120419859|XP_039438673.1|CPIP	LOC6502252|XP_001966088.1|DANA
OG0003358	LOC120429251|XP_039450398.1|CPIP	LOC6497618|XP_001961701.1|DANA
OG0003359	LOC120418086|XP_039436288.1|CPIP, LOC120419877|XP_039438672.1|CPIP	LOC6504428|XP_032308108.1|DANA
OG0003360	LOC120418076|XP_039436267.1|CPIP, LOC120419869|XP_039438662.1|CPIP	LOC6504741|XP_032309051.1|DANA
OG0003361	LOC120419868|XP_039438658.1|CPIP	LOC6494579|XP_032306425.1|DANA
OG0003362	LOC120425006|XP_039445311.1|CPIP	LOC6500273|XP_001952897.1|DANA
OG0003363	LOC120425005|XP_039445305.1|CPIP	LOC6505726|XP_014760774.2|DANA, LOC6501376|XP_014767013.2|DANA
OG0003364	LOC120424937|XP_039445176.1|CPIP	LOC6500317|XP_001952962.1|DANA
OG0003365	LOC120425467|XP_039445933.1|CPIP	LOC6500501|XP_001953354.1|DANA
OG0003366	LOC120428780|XP_039449800.1|CPIP	LOC6493677|XP_001958214.2|DANA
OG0003367	LOC120431383|XP_039452447.1|CPIP	LOC6493641|XP_001958149.1|DANA
OG0003368	LOC120429236|XP_039450380.1|CPIP	LOC6493640|XP_001958146.1|DANA
OG0003369	LOC120429234|XP_039450379.1|CPIP	LOC6500105|XP_001953217.2|DANA
OG0003370	LOC120431012|XP_039452104.1|CPIP	LOC6505836|XP_001964459.2|DANA
OG0003371	LOC120427659|XP_039448467.1|CPIP	LOC6503143|XP_001963515.1|DANA
OG0003372	LOC120416563|XP_039434233.1|CPIP	LOC6494015|XP_001961145.1|DANA
OG0003373	LOC120428527|XP_039449490.1|CPIP	LOC6505814|XP_001964421.1|DANA
OG0003374	LOC120430139|XP_039451160.1|CPIP, LOC120432124|XP_039453193.1|CPIP	LOC6504066|XP_032308538.1|DANA
OG0003375	LOC120430511|XP_039451540.1|CPIP, LOC120431549|XP_039452592.1|CPIP	LOC6500300|XP_001952927.2|DANA
OG0003376	LOC120429499|XP_039450505.1|CPIP	LOC6500244|XP_001952953.1|DANA
OG0003377	LOC120429498|XP_039450503.1|CPIP	LOC6500241|XP_032306378.1|DANA
OG0003378	LOC120425476|XP_039445945.1|CPIP	LOC6500782|XP_001953910.1|DANA
OG0003379	LOC120425475|XP_039445944.1|CPIP	LOC6499360|XP_001954796.1|DANA
OG0003380	LOC120425491|XP_039445973.1|CPIP	LOC6499366|XP_001954784.1|DANA
OG0003381	LOC120431908|XP_039452973.1|CPIP, LOC120425117|XP_039445459.1|CPIP	LOC6498640|XP_001963223.1|DANA
OG0003382	LOC120425109|XP_039445438.1|CPIP	LOC6501470|XP_032310461.1|DANA
OG0003383	LOC120427718|XP_039448553.1|CPIP	LOC6501196|XP_001954742.1|DANA
OG0003384	LOC120429002|XP_039450076.1|CPIP	LOC6507521|XP_001965391.1|DANA
OG0003386	LOC120431855|XP_039452925.1|CPIP	LOC6499785|XP_001953922.1|DANA
OG0003387	LOC120431712|XP_039452773.1|CPIP	LOC6501465|XP_001955307.1|DANA
OG0003388	LOC120431766|XP_039452821.1|CPIP	LOC6504496|XP_001967011.1|DANA
OG0003389	LOC120432139|XP_039453204.1|CPIP	LOC6495843|XP_001959692.2|DANA
OG0003390	LOC120417852|XP_039436005.1|CPIP	LOC6501368|XP_001955089.1|DANA
OG0003391	LOC120421775|XP_039440976.1|CPIP	LOC6499678|XP_001954165.1|DANA
OG0003392	LOC120416578|XP_039434250.1|CPIP	LOC6500710|XP_001953775.1|DANA
OG0003393	LOC120418736|XP_039437143.1|CPIP	LOC6505535|XP_014760698.1|DANA
OG0003394	LOC120417199|XP_039435099.1|CPIP	LOC6501372|XP_001955096.1|DANA
OG0003395	LOC120417220|XP_039435115.1|CPIP	LOC6501375|XP_001955102.1|DANA
OG0003396	LOC120432522|XP_039453673.1|CPIP	LOC6501358|XP_001955065.3|DANA
OG0003397	LOC120420738|XP_039439766.1|CPIP	LOC6501052|XP_001954464.1|DANA
OG0003399	LOC120420794|XP_039439841.1|CPIP	LOC6500668|XP_001953688.1|DANA
OG0003400	LOC120431844|XP_039452907.1|CPIP	LOC6500679|XP_014766669.1|DANA
OG0003401	LOC120422308|XP_039441633.1|CPIP	LOC6500852|XP_032310222.1|DANA
OG0003402	LOC120424505|XP_039444590.1|CPIP	LOC6500848|XP_032305605.1|DANA
OG0003403	LOC120424508|XP_039444595.1|CPIP	LOC6494107|XP_001960961.1|DANA
OG0003404	LOC120429670|XP_039450632.1|CPIP	LOC6499667|XP_001954187.1|DANA
OG0003405	LOC120428994|XP_039450066.1|CPIP	LOC6496612|XP_001961259.1|DANA
OG0003406	LOC120430495|XP_039451526.1|CPIP	LOC6501633|XP_001955646.1|DANA
OG0003407	LOC120430496|XP_039451527.1|CPIP	LOC6498936|XP_001955645.1|DANA
OG0003408	LOC120428992|XP_039450065.1|CPIP	LOC6500904|XP_001954137.1|DANA
OG0003409	LOC120428995|XP_039450068.1|CPIP	LOC6499743|XP_032305687.1|DANA
OG0003410	LOC120426738|XP_039447449.1|CPIP	LOC6500857|XP_014766762.1|DANA
OG0003411	LOC120421806|XP_039441017.1|CPIP	LOC6505820|XP_001964432.2|DANA
OG0003412	LOC120421803|XP_039441015.1|CPIP	LOC6499066|XP_001955372.1|DANA
OG0003413	LOC120416938|XP_039434792.1|CPIP	LOC6499615|XP_001954289.1|DANA
OG0003414	LOC120415563|XP_039433073.1|CPIP, LOC120415828|XP_039433397.1|CPIP	LOC6507814|XP_001956403.1|DANA
OG0003415	LOC120416615|XP_039434351.1|CPIP	LOC6504276|XP_032308836.1|DANA
OG0003416	LOC120416649|XP_039434396.1|CPIP	LOC6499294|XP_001954928.1|DANA
OG0003417	LOC120415604|XP_039433134.1|CPIP	LOC6499055|XP_001955400.1|DANA
OG0003418	LOC120418739|XP_039437148.1|CPIP, LOC120421090|XP_039440167.1|CPIP	LOC6505649|XP_001964531.1|DANA
OG0003419	LOC120418744|XP_039437154.1|CPIP, LOC120421095|XP_039440172.1|CPIP	LOC6498838|XP_032312277.1|DANA
OG0003420	LOC120421091|XP_039440168.1|CPIP, LOC120418741|XP_039437151.1|CPIP	LOC6501714|XP_001955835.3|DANA
OG0003421	LOC120428659|XP_039449640.1|CPIP	LOC6505933|XP_014760849.2|DANA
OG0003422	LOC120428662|XP_039449644.1|CPIP, LOC120427075|XP_039447847.1|CPIP	LOC6505588|XP_001964641.1|DANA
OG0003423	LOC120431603|XP_039452641.1|CPIP	LOC6494530|XP_001960164.2|DANA
OG0003424	LOC120426011|XP_039446617.1|CPIP	LOC6499814|XP_001953857.1|DANA
OG0003425	LOC120426250|XP_039446922.1|CPIP	LOC6500249|XP_001952942.1|DANA
OG0003426	LOC120422541|XP_039441939.1|CPIP	LOC6500649|XP_001953647.1|DANA
OG0003427	LOC120422566|XP_039441986.1|CPIP	LOC6499908|XP_001953656.1|DANA
OG0003428	LOC120425750|XP_039446290.1|CPIP	LOC6507861|XP_001956484.1|DANA
OG0003429	LOC120418342|XP_039436625.1|CPIP	LOC6495918|XP_001959853.1|DANA
OG0003430	LOC120415617|XP_039433150.1|CPIP	LOC6501810|XP_001967403.2|DANA
OG0003431	LOC120427247|XP_039448036.1|CPIP	LOC6498890|XP_001955735.1|DANA
OG0003432	LOC120423828|XP_039443690.1|CPIP	LOC6498910|XP_001955692.1|DANA
OG0003433	LOC120418352|XP_039436639.1|CPIP	LOC6499023|XP_032311498.1|DANA
OG0003434	LOC120428288|XP_039449214.1|CPIP	LOC6503923|XP_001963855.2|DANA
OG0003435	LOC120418355|XP_039436642.1|CPIP	LOC6501333|XP_001955010.3|DANA
OG0003436	LOC120431628|XP_039452674.1|CPIP	LOC6500188|XP_001953053.1|DANA
OG0003437	LOC120431609|XP_039452650.1|CPIP	LOC6500361|XP_014766511.1|DANA
OG0003438	LOC120426010|XP_039446616.1|CPIP	LOC6500362|XP_001953054.1|DANA
OG0003439	LOC120426249|XP_039446921.1|CPIP	LOC6498907|XP_001955697.1|DANA
OG0003440	LOC120416206|XP_039433881.1|CPIP	LOC6500286|XP_032310096.1|DANA
OG0003441	LOC120427891|XP_039448759.1|CPIP	LOC6497828|XP_001961531.1|DANA
OG0003442	LOC120427894|XP_039448762.1|CPIP	LOC6499380|XP_001954748.1|DANA
OG0003443	LOC120420269|XP_039439202.1|CPIP, LOC120422149|XP_039441454.1|CPIP	LOC6506880|XP_001957071.1|DANA
OG0003444	LOC120417068|XP_039434963.1|CPIP	LOC6493701|XP_001958264.3|DANA
OG0003445	LOC120416132|XP_039433738.1|CPIP	LOC6501880|XP_001966749.2|DANA
OG0003446	LOC120415639|XP_039433175.1|CPIP	LOC6495015|XP_032312008.1|DANA
OG0003448	LOC120414263|XP_039431310.1|CPIP	LOC6500064|XP_001953292.1|DANA
OG0003449	LOC120414286|XP_039431351.1|CPIP	LOC6500692|XP_001953733.1|DANA
OG0003450	LOC120424270|XP_039444266.1|CPIP	LOC6507296|XP_032311346.1|DANA, LOC6499501|XP_001954499.1|DANA
OG0003451	LOC120424239|XP_039444237.1|CPIP	LOC6499291|XP_001954932.1|DANA
OG0003452	LOC120424238|XP_039444236.1|CPIP	LOC6501290|XP_001954933.1|DANA
OG0003453	LOC120425389|XP_039445840.1|CPIP	LOC6506502|XP_001957758.1|DANA
OG0003454	LOC120425385|XP_039445834.1|CPIP	LOC6497804|XP_001961480.1|DANA
OG0003455	LOC120425387|XP_039445838.1|CPIP	LOC6500308|XP_001952940.1|DANA
OG0003456	LOC120423420|XP_039443157.1|CPIP	LOC6495663|XP_014763430.1|DANA
OG0003457	LOC120423423|XP_039443163.1|CPIP	LOC6498873|XP_032312221.1|DANA
OG0003458	LOC120425717|XP_039446258.1|CPIP	LOC6500951|XP_032308928.1|DANA
OG0003459	LOC120429646|XP_039450606.1|CPIP	LOC6505702|XP_001964425.1|DANA
OG0003460	LOC120417204|XP_039435104.1|CPIP	LOC6499775|XP_001953943.1|DANA
OG0003461	LOC120414291|XP_039431356.1|CPIP	LOC6500190|XP_001953051.3|DANA
OG0003462	LOC120425428|XP_039445890.1|CPIP	LOC6493328|XP_001957534.1|DANA
OG0003463	LOC120424455|XP_039444522.1|CPIP	LOC6498958|XP_001955607.1|DANA
OG0003464	LOC120427287|XP_039448072.1|CPIP	LOC6499681|XP_001954159.2|DANA
OG0003465	LOC120431816|XP_039452869.1|CPIP	LOC6499872|XP_001953732.1|DANA
OG0003466	LOC120421019|XP_039440075.1|CPIP	LOC6501539|XP_001955445.1|DANA
OG0003469	LOC120430499|XP_039451530.1|CPIP	LOC6501585|XP_001955523.1|DANA
OG0003470	LOC120428674|XP_039449657.1|CPIP	LOC6501549|XP_001955458.3|DANA
OG0003471	LOC120428672|XP_039449656.1|CPIP	LOC6497879|XP_001961634.1|DANA
OG0003472	LOC120421173|XP_039440302.1|CPIP	LOC6496972|XP_032311081.1|DANA
OG0003473	LOC120423964|XP_039443886.1|CPIP	LOC6496899|XP_001963186.1|DANA
OG0003474	LOC120425161|XP_039445524.1|CPIP	LOC6505869|XP_001964516.2|DANA
OG0003475	LOC120426217|XP_039446859.1|CPIP	LOC6499485|XP_032305843.1|DANA
OG0003477	LOC120424766|XP_039444904.1|CPIP	LOC6500393|XP_001953126.1|DANA
OG0003478	LOC120421098|XP_039440177.1|CPIP	LOC6505650|XP_001964530.3|DANA
OG0003479	LOC120417002|XP_039434879.1|CPIP	LOC6500547|XP_001953432.1|DANA
OG0003480	LOC120428960|XP_039450033.1|CPIP	LOC6499188|XP_001955148.1|DANA
OG0003481	LOC120428962|XP_039450035.1|CPIP	LOC6499187|XP_001955149.1|DANA
OG0003482	LOC120428959|XP_039450031.1|CPIP	LOC6499186|XP_032305340.1|DANA
OG0003483	LOC120425990|XP_039446582.1|CPIP	LOC6499167|XP_001955172.1|DANA
OG0003484	LOC120422026|XP_039441284.1|CPIP	LOC6501611|XP_001955591.1|DANA
OG0003485	LOC120430263|XP_039451282.1|CPIP	LOC6500373|XP_001953076.1|DANA
OG0003486	LOC120430268|XP_039451289.1|CPIP	LOC6500180|XP_001953074.1|DANA
OG0003487	LOC120422548|XP_039441949.1|CPIP	LOC6501185|XP_001954718.1|DANA
OG0003488	LOC120432485|XP_039453636.1|CPIP	LOC6501473|XP_001955323.1|DANA
OG0003489	LOC120414300|XP_039431368.1|CPIP	LOC6500553|XP_032306498.1|DANA
OG0003490	LOC120414284|XP_039431348.1|CPIP	LOC6501707|XP_001955807.3|DANA
OG0003491	LOC120414290|XP_039431355.1|CPIP	LOC6499083|XP_001955339.2|DANA
OG0003492	LOC120427279|XP_039448063.1|CPIP	LOC6501351|XP_001955048.1|DANA
OG0003493	LOC120431388|XP_039452452.1|CPIP, LOC120430174|XP_039451189.1|CPIP	LOC6499751|XP_032305632.1|DANA
OG0003494	LOC120429624|XP_039450588.1|CPIP	LOC6501278|XP_001954906.1|DANA
OG0003495	LOC120423840|XP_039443722.1|CPIP	LOC6497912|XP_001961700.1|DANA
OG0003496	LOC120421779|XP_039440982.1|CPIP	LOC6501565|XP_001955482.1|DANA
OG0003497	LOC120423822|XP_039443679.1|CPIP	LOC6501085|XP_001954528.1|DANA
OG0003498	LOC120423812|XP_039443666.1|CPIP	LOC6498911|XP_001955690.2|DANA
OG0003499	LOC120423830|XP_039443704.1|CPIP	LOC6500000|XP_001953431.1|DANA
OG0003500	LOC120424631|XP_039444731.1|CPIP	LOC6497535|XP_001961888.1|DANA
OG0003502	LOC120417089|XP_039434999.1|CPIP	LOC6499762|XP_001953970.1|DANA
OG0003503	LOC120425050|XP_039445357.1|CPIP	LOC6501362|XP_001955076.1|DANA
OG0003504	LOC120425079|XP_039445409.1|CPIP	LOC26514816|XP_014760929.1|DANA
OG0003505	LOC120425072|XP_039445382.1|CPIP	LOC6499672|XP_032305764.1|DANA
OG0003506	LOC120420771|XP_039439814.1|CPIP	LOC6501412|XP_014767026.1|DANA
OG0003507	LOC120420749|XP_039439779.1|CPIP	LOC6500804|XP_032305789.1|DANA
OG0003508	LOC120414265|XP_039431318.1|CPIP	LOC6507572|XP_001955931.2|DANA
OG0003509	LOC120425654|XP_039446169.1|CPIP	LOC6505514|XP_032312368.1|DANA
OG0003510	LOC120425391|XP_039445842.1|CPIP	LOC6501506|XP_001955388.1|DANA
OG0003511	LOC120425379|XP_039445826.1|CPIP, LOC120423575|XP_039443367.1|CPIP	LOC6499060|XP_032310920.1|DANA
OG0003512	LOC120432131|XP_039453198.1|CPIP	LOC6499051|XP_001955406.1|DANA
OG0003513	LOC120422588|XP_039442013.1|CPIP	LOC6499778|XP_001953938.1|DANA
OG0003515	LOC120425435|XP_039445900.1|CPIP	LOC6495134|XP_001958981.1|DANA
OG0003516	LOC120425433|XP_039445897.1|CPIP	LOC6500163|XP_001953107.1|DANA
OG0003517	LOC120417083|XP_039434995.1|CPIP	LOC6500705|XP_001953761.1|DANA
OG0003518	LOC120428062|XP_039448955.1|CPIP	LOC6500586|XP_001953523.1|DANA
OG0003519	LOC120428068|XP_039448970.1|CPIP	LOC6507766|XP_014765467.1|DANA
OG0003520	LOC120428064|XP_039448957.1|CPIP	LOC6507770|XP_001956319.1|DANA
OG0003521	LOC120428073|XP_039448981.1|CPIP	LOC6507288|XP_001956307.1|DANA
OG0003522	LOC120428076|XP_039448986.1|CPIP	LOC6494872|XP_001959512.1|DANA
OG0003523	LOC120420489|XP_039439469.1|CPIP, LOC120413890|XP_039430798.1|CPIP	LOC6497913|XP_001961702.1|DANA
OG0003524	LOC120428074|XP_039448984.1|CPIP	LOC6502124|XP_001966164.1|DANA
OG0003525	LOC120430975|XP_039452041.1|CPIP	LOC6496431|XP_032306607.1|DANA
OG0003527	LOC120430984|XP_039452080.1|CPIP	LOC6494570|XP_032307292.1|DANA
OG0003529	LOC120428690|XP_039449692.1|CPIP	LOC6498567|XP_001963075.1|DANA
OG0003530	LOC120428693|XP_039449695.1|CPIP	LOC6506415|XP_001957921.1|DANA
OG0003531	LOC120427603|XP_039448414.1|CPIP	LOC6500608|XP_001953552.1|DANA
OG0003532	LOC120427613|XP_039448428.1|CPIP	LOC26514203|XP_014760174.1|DANA, LOC6506594|XP_001957580.1|DANA
OG0003533	LOC120423003|XP_039442559.1|CPIP	LOC6506994|XP_001956863.1|DANA
OG0003534	LOC120424419|XP_039444463.1|CPIP	LOC6507310|XP_001956271.2|DANA
OG0003535	LOC120430253|XP_039451272.1|CPIP	LOC6508045|XP_001955874.2|DANA
OG0003536	LOC120421746|XP_039440953.1|CPIP	LOC6493928|XP_014762464.1|DANA
OG0003537	LOC120424166|XP_039444150.1|CPIP	LOC6494955|XP_001959330.1|DANA
OG0003538	LOC120424173|XP_039444159.1|CPIP	LOC6494063|XP_001961057.1|DANA
OG0003539	LOC120424169|XP_039444152.1|CPIP	LOC6505292|XP_001964827.1|DANA
OG0003540	LOC120424180|XP_039444170.1|CPIP	LOC6507677|XP_001956128.1|DANA
OG0003541	LOC120417819|XP_039435959.1|CPIP	LOC6505874|XP_032305521.1|DANA
OG0003542	LOC120417805|XP_039435937.1|CPIP	LOC6494070|XP_032307151.1|DANA
OG0003543	LOC120417813|XP_039435950.1|CPIP	LOC6503948|XP_001963900.1|DANA
OG0003544	LOC120417798|XP_039435930.1|CPIP	LOC6507642|XP_001956061.1|DANA
OG0003545	LOC120419759|XP_039438516.1|CPIP	LOC6493838|XP_014764573.1|DANA
OG0003546	LOC120419751|XP_039438502.1|CPIP	LOC6493581|XP_001958037.1|DANA
OG0003547	LOC120419505|XP_039438136.1|CPIP	LOC6495910|XP_014763531.1|DANA
OG0003548	LOC120419500|XP_039438125.1|CPIP	LOC6494866|XP_014763031.1|DANA
OG0003549	LOC120419503|XP_039438135.1|CPIP	LOC6494865|XP_001959525.2|DANA
