Orthogroup	DHYD.longest_only	AEAL.longest_only
OG0003774	LOC111594027|XP_023162903.2|DHYD	LOC109408198|XP_029728773.1|AEAL, LOC109411133|XP_029728821.1|AEAL
OG0003775	LOC111593474|XP_023162003.1|DHYD	LOC109411151|XP_029728790.1|AEAL
OG0003776	LOC111599943|XP_023171562.1|DHYD	LOC109408233|XP_019537037.1|AEAL
OG0003777	LOC111593311|XP_023161775.1|DHYD	LOC109408913|XP_029728819.1|AEAL, LOC109418469|XP_019548225.1|AEAL
OG0003778	LOC111605409|XP_023179679.2|DHYD	LOC109408915|XP_019537847.1|AEAL
OG0003779	LOC111602113|XP_023174826.2|DHYD	LOC109416489|XP_019546108.1|AEAL, LOC115266688|XP_029729072.1|AEAL
OG0003780	LOC111600573|XP_023172530.2|DHYD	LOC109414974|XP_019544363.1|AEAL
OG0003781	LOC111598003|XP_023168768.1|DHYD	LOC109415144|XP_019544573.1|AEAL, LOC115266634|XP_029729002.1|AEAL
OG0003782	LOC111592138|XP_030079976.1|DHYD	LOC115266695|XP_029729081.1|AEAL, LOC109415137|XP_029728937.1|AEAL, LOC109414982|XP_029728943.1|AEAL
OG0003783	LOC111593233|XP_023161654.2|DHYD	LOC115266621|XP_029728984.1|AEAL
OG0003784	LOC111593929|XP_023162775.1|DHYD	LOC109415103|XP_019544508.2|AEAL, LOC109415011|XP_029728993.1|AEAL
OG0003785	LOC111600122|XP_023171855.1|DHYD	LOC109417245|XP_019546902.1|AEAL
OG0003786	LOC111605117|XP_023179243.2|DHYD	LOC109407036|XP_019535598.2|AEAL
OG0003787	LOC111605207|XP_023179397.2|DHYD	LOC109407042|XP_019535609.1|AEAL
OG0003788	LOC111600053|XP_023171747.1|DHYD	LOC115268570|XP_029732540.1|AEAL, LOC115268572|XP_029732545.1|AEAL, LOC115253885|XP_029732544.1|AEAL, LOC109425646|XP_029716921.1|AEAL
OG0003789	LOC111604162|XP_023177858.2|DHYD	LOC109398163|XP_029732839.1|AEAL
OG0003790	LOC111592821|XP_023161013.2|DHYD	LOC109415369|XP_029732830.1|AEAL
OG0003791	LOC111599592|XP_030080816.1|DHYD	LOC109416672|XP_029732853.1|AEAL
OG0003792	LOC111597098|XP_023167408.2|DHYD	LOC109411530|XP_029709936.1|AEAL, LOC109421725|XP_029709933.1|AEAL
OG0003793	LOC111593909|XP_023162749.1|DHYD	LOC109414483|XP_019543873.2|AEAL
OG0003794	LOC111599435|XP_023170857.2|DHYD	LOC109414495|XP_029728236.1|AEAL, LOC109421421|XP_019551451.2|AEAL
OG0003795	LOC115482734|XP_030081566.1|DHYD	LOC109421368|XP_029728239.1|AEAL, LOC109414477|XP_029728207.1|AEAL
OG0003796	LOC111592700|XP_023160848.2|DHYD	LOC109414474|XP_019543857.2|AEAL, LOC109622271|XP_029728251.1|AEAL, LOC115266316|XP_029728179.1|AEAL
OG0003797	LOC111600377|XP_023172222.1|DHYD	LOC109622542|XP_029728129.1|AEAL, LOC109414444|XP_029728153.1|AEAL, LOC115266333|XP_029728287.1|AEAL
OG0003798	LOC111604601|XP_023178480.1|DHYD	LOC109414441|XP_029728289.1|AEAL, LOC115266296|XP_029728138.1|AEAL, LOC109621322|XP_029728144.1|AEAL
OG0003799	LOC111600710|XP_023172735.2|DHYD	LOC109414437|XP_019543798.2|AEAL, LOC109622537|XP_019932476.2|AEAL
OG0003800	LOC111603886|XP_023177472.1|DHYD	LOC109428283|XP_019559559.2|AEAL, LOC109404735|XP_019533206.1|AEAL
OG0003801	LOC111596304|XP_030080532.1|DHYD	LOC109428273|XP_029728468.1|AEAL, LOC115266345|XP_029728321.1|AEAL
OG0003802	LOC111600395|XP_023172241.2|DHYD	LOC109428266|XP_019559544.1|AEAL, LOC115256043|XP_029710154.1|AEAL
OG0003803	LOC111592705|XP_023160860.1|DHYD	LOC109428268|XP_019559548.1|AEAL, LOC109427835|XP_019558963.1|AEAL
OG0003804	LOC111603878|XP_023177457.2|DHYD	LOC115266350|XP_029728342.1|AEAL, LOC109427931|XP_029710135.1|AEAL
OG0003805	LOC111596002|XP_023165775.2|DHYD	LOC115266367|XP_029728442.1|AEAL, LOC109428250|XP_029728443.1|AEAL, LOC109427929|XP_019559121.1|AEAL
OG0003806	LOC111594707|XP_023163898.1|DHYD	LOC115266368|XP_029728445.1|AEAL, LOC109427928|XP_029728462.1|AEAL, LOC109428249|XP_029728352.1|AEAL
OG0003807	LOC111602346|XP_023175125.1|DHYD	LOC109428240|XP_029728363.1|AEAL, LOC109427921|XP_029728463.1|AEAL, LOC115253791|XP_029728467.1|AEAL
OG0003808	LOC111601059|XP_023173246.2|DHYD	LOC109428200|XP_029728408.1|AEAL
OG0003809	LOC111595789|XP_023165442.2|DHYD	LOC109428199|XP_029728418.1|AEAL
OG0003810	LOC111604083|XP_023177736.2|DHYD	LOC109428182|XP_029734295.1|AEAL, LOC109427875|XP_029728439.1|AEAL
OG0003811	LOC111600151|XP_023171909.2|DHYD	LOC109424312|XP_029714951.1|AEAL, LOC115253500|XP_029714941.1|AEAL
OG0003812	LOC111602161|XP_030079256.1|DHYD	LOC109433229|XP_029714793.1|AEAL
OG0003813	LOC111603685|XP_023177140.2|DHYD	LOC115258561|XP_029714601.1|AEAL, LOC109622900|XP_019932916.2|AEAL, LOC115258584|XP_029714685.1|AEAL
OG0003814	LOC111591962|XP_023159673.2|DHYD	LOC115258139|XP_029714042.1|AEAL, LOC109622883|XP_019932895.2|AEAL
OG0003815	LOC111595029|XP_023164318.2|DHYD, LOC115483326|XP_030080584.1|DHYD, LOC115483785|XP_030081901.1|DHYD	LOC109622879|XP_019932889.2|AEAL
OG0003816	LOC111594720|XP_023163917.2|DHYD	LOC109622869|XP_019932879.2|AEAL, LOC115258071|XP_029713941.1|AEAL
OG0003817	LOC111603863|XP_023177437.1|DHYD	LOC115257997|XP_029713854.1|AEAL, LOC109622865|XP_019932874.1|AEAL, LOC115258453|XP_029714414.1|AEAL
OG0003818	LOC111602487|XP_023175318.1|DHYD	LOC109420076|XP_029713587.1|AEAL
OG0003819	LOC111602173|XP_023174902.1|DHYD	LOC109420074|XP_019549923.2|AEAL
OG0003820	LOC111604838|XP_023178837.1|DHYD	LOC109412012|XP_019541201.1|AEAL, LOC109407925|XP_019536663.1|AEAL
OG0003821	LOC111600649|XP_023172637.1|DHYD	LOC109412028|XP_019541220.1|AEAL, LOC115262435|XP_029720698.1|AEAL
OG0003822	LOC111592070|XP_023159844.2|DHYD	LOC109401083|XP_019529107.2|AEAL, LOC109400993|XP_019529001.2|AEAL
OG0003823	LOC111596284|XP_023166202.1|DHYD	LOC109401074|XP_029713111.1|AEAL
OG0003824	LOC111594105|XP_023163027.1|DHYD	LOC109412398|XP_019541585.1|AEAL
OG0003825	LOC111603916|XP_023177508.2|DHYD	LOC109412374|XP_019541573.2|AEAL
OG0003826	LOC111603930|XP_023177525.1|DHYD	LOC109432871|XP_019564776.1|AEAL
OG0003827	LOC111603992|XP_030079084.1|DHYD	LOC115257191|XP_029712477.1|AEAL, LOC109401356|XP_019529412.2|AEAL
OG0003828	LOC111603859|XP_023177428.2|DHYD	LOC109432873|XP_029712478.1|AEAL, LOC109401369|XP_019529434.2|AEAL
OG0003829	LOC111600424|XP_023172275.2|DHYD	LOC109401410|XP_029715894.1|AEAL, LOC109432882|XP_029715868.1|AEAL, LOC115257192|XP_029712482.1|AEAL
OG0003830	LOC111596315|XP_023166249.1|DHYD	LOC109432904|XP_019564816.2|AEAL, LOC115255619|XP_029709570.1|AEAL
OG0003831	LOC111594959|XP_023164225.1|DHYD	LOC109432894|XP_019564805.1|AEAL, LOC109401397|XP_029711610.1|AEAL
OG0003832	LOC111596343|XP_023166296.2|DHYD, LOC115482916|XP_030079023.1|DHYD	LOC109401416|XP_029715795.1|AEAL, LOC109432910|XP_029711998.1|AEAL
OG0003833	LOC111596327|XP_023166260.1|DHYD, LOC115482914|XP_030079022.1|DHYD	LOC109432900|XP_029715796.1|AEAL, LOC109401376|XP_029712018.1|AEAL
OG0003834	LOC111605015|XP_023179112.2|DHYD	LOC109401434|XP_029712112.1|AEAL, LOC109404654|XP_019533126.1|AEAL
OG0003836	LOC111598988|XP_023170258.2|DHYD	LOC109411290|XP_019540361.2|AEAL
OG0003837	LOC111598981|XP_023170249.2|DHYD	LOC109433149|XP_029715686.1|AEAL, LOC109411306|XP_029711295.1|AEAL
OG0003838	LOC115483220|XP_030080419.1|DHYD, LOC111602114|XP_023174834.2|DHYD	LOC109433046|XP_019564970.2|AEAL
OG0003839	LOC111594714|XP_023163909.1|DHYD	LOC115254285|XP_029707545.1|AEAL, LOC109433111|XP_019565049.1|AEAL
OG0003840	LOC111604120|XP_023177798.1|DHYD	LOC109420154|XP_019550024.1|AEAL
OG0003841	LOC111599333|XP_023170722.2|DHYD	LOC109420934|XP_029710395.1|AEAL, LOC109433097|XP_029710961.1|AEAL
OG0003842	LOC111592644|XP_023160758.2|DHYD	LOC109420405|XP_029710801.1|AEAL
OG0003843	LOC111600322|XP_023172148.2|DHYD	LOC109621961|XP_029724968.1|AEAL, LOC109415051|XP_029724925.1|AEAL
OG0003844	LOC111592615|XP_023160717.1|DHYD	LOC115264941|XP_029724966.1|AEAL, LOC109415049|XP_019544448.1|AEAL, LOC115264931|XP_029724923.1|AEAL
OG0003845	LOC111598975|XP_023170239.2|DHYD	LOC109415048|XP_029724917.1|AEAL, LOC109621959|XP_029730036.1|AEAL, LOC109621958|XP_029724960.1|AEAL
OG0003846	LOC111603968|XP_023177575.2|DHYD	LOC109621288|XP_019931703.2|AEAL, LOC109404208|XP_019931499.2|AEAL
OG0003847	LOC111593769|XP_023162557.1|DHYD	LOC109622032|XP_029725027.1|AEAL, LOC109404214|XP_019532593.2|AEAL
OG0003848	LOC111596184|XP_023166059.2|DHYD	LOC109431002|XP_029724880.1|AEAL, LOC115253628|XP_029724856.1|AEAL, LOC109404231|XP_029724937.1|AEAL
OG0003849	LOC111599400|XP_023170824.2|DHYD	LOC109400287|XP_029725038.1|AEAL
OG0003850	LOC111600338|XP_030081049.1|DHYD, LOC115483004|XP_030079523.1|DHYD	LOC109400335|XP_029724841.1|AEAL
OG0003851	LOC111602111|XP_023174824.1|DHYD	LOC109425155|XP_029724812.1|AEAL
OG0003852	LOC111594230|XP_023163202.1|DHYD	LOC109429416|XP_019560914.2|AEAL
OG0003853	LOC111594006|XP_023162868.2|DHYD	LOC109425132|XP_019555903.2|AEAL
OG0003854	LOC111602521|XP_023175372.2|DHYD	LOC109425125|XP_019555867.2|AEAL, LOC109429389|XP_029729527.1|AEAL
OG0003855	LOC111602519|XP_023175370.2|DHYD	LOC109429387|XP_029729528.1|AEAL, LOC109425124|XP_029729521.1|AEAL
OG0003856	LOC111595186|XP_023164534.2|DHYD	LOC109425079|XP_029729545.1|AEAL, LOC109429386|XP_019560841.2|AEAL
OG0003857	LOC111595939|XP_030079272.1|DHYD	LOC109409625|XP_029729470.1|AEAL, LOC109409624|XP_029729489.1|AEAL
OG0003858	LOC111604064|XP_023177742.1|DHYD	LOC109403338|XP_029731472.1|AEAL
OG0003859	LOC111601910|XP_030079193.1|DHYD	LOC115262903|XP_029721651.1|AEAL, LOC109409334|XP_029715037.1|AEAL, LOC109419092|XP_029729388.1|AEAL
OG0003860	LOC111603445|XP_023176803.2|DHYD	LOC109409327|XP_029714843.1|AEAL, LOC109419097|XP_029721650.1|AEAL
OG0003861	LOC111596047|XP_023165853.2|DHYD	LOC109419116|XP_019548882.2|AEAL, LOC115258678|XP_029714858.1|AEAL, LOC109409312|XP_019538302.2|AEAL
OG0003862	LOC111596338|XP_023166286.2|DHYD	LOC109419117|XP_019548883.2|AEAL, LOC109409311|XP_019538301.2|AEAL
OG0003863	LOC111593169|XP_023161543.2|DHYD	LOC109419118|XP_029714850.1|AEAL, LOC115258752|XP_029714992.1|AEAL
OG0003864	LOC111593164|XP_023161538.1|DHYD	LOC109409309|XP_029714608.1|AEAL, LOC115258744|XP_029714969.1|AEAL, LOC109419517|XP_019549273.2|AEAL
OG0003865	LOC111604214|XP_023177947.2|DHYD	LOC109409304|XP_029714570.1|AEAL, LOC115258768|XP_029715027.1|AEAL, LOC109419519|XP_029718147.1|AEAL
OG0003866	LOC111600430|XP_023172291.1|DHYD	LOC115258594|XP_029714709.1|AEAL, LOC109409300|XP_019538287.2|AEAL, LOC109419523|XP_029714816.1|AEAL
OG0003867	LOC111594725|XP_023163925.2|DHYD	LOC115254061|XP_029718113.1|AEAL, LOC109409279|XP_029714431.1|AEAL
OG0003868	LOC111596768|XP_023166884.1|DHYD	LOC109419602|XP_019549378.2|AEAL
OG0003869	LOC111599343|XP_023170741.1|DHYD	LOC109397554|XP_019525401.2|AEAL
OG0003870	LOC111595396|XP_023164866.2|DHYD	LOC109397513|XP_029715285.1|AEAL, LOC115253549|XP_029715461.1|AEAL
OG0003871	LOC111599390|XP_023170794.1|DHYD	LOC109397526|XP_029714707.1|AEAL, LOC109622825|XP_029714687.1|AEAL
OG0003872	LOC111601207|XP_023173469.1|DHYD	LOC109397534|XP_019525381.1|AEAL, LOC109622811|XP_019932812.1|AEAL, LOC115258687|XP_029714872.1|AEAL
OG0003873	LOC111595820|XP_023165493.1|DHYD	LOC109397538|XP_019525385.3|AEAL, LOC115254017|XP_029714789.1|AEAL, LOC109621501|XP_019931091.2|AEAL
OG0003874	LOC111594284|XP_023163291.2|DHYD	LOC109621236|XP_029721604.1|AEAL, LOC115258681|XP_029714863.1|AEAL, LOC109397569|XP_029714519.1|AEAL
OG0003875	LOC111603891|XP_023177477.1|DHYD	LOC109397563|XP_019525407.2|AEAL, LOC115262870|XP_029721603.1|AEAL, LOC109622806|XP_019932806.2|AEAL
OG0003876	LOC111595815|XP_023165488.1|DHYD	LOC109404395|XP_019532791.2|AEAL
OG0003877	LOC111600302|XP_023172128.2|DHYD	LOC109404942|XP_029714790.1|AEAL, LOC109398645|XP_019526576.2|AEAL
OG0003878	LOC111601925|XP_023174543.2|DHYD	LOC109404731|XP_019533203.2|AEAL, LOC109398621|XP_019526546.2|AEAL
OG0003879	LOC115482991|XP_030079485.1|DHYD, LOC111596897|XP_023167115.2|DHYD	LOC109404765|XP_019533253.2|AEAL
OG0003880	LOC111597583|XP_023168150.2|DHYD	LOC109398650|XP_029714781.1|AEAL, LOC115258609|XP_029714759.1|AEAL, LOC109404828|XP_029714754.1|AEAL
OG0003881	LOC111595316|XP_023164739.1|DHYD	LOC115258637|XP_029714797.1|AEAL, LOC109398726|XP_029714690.1|AEAL, LOC109406705|XP_029714548.1|AEAL
OG0003882	LOC111600876|XP_023172976.2|DHYD	LOC115258883|XP_029715183.1|AEAL, LOC109406808|XP_029715067.1|AEAL
OG0003883	LOC111595002|XP_023164270.1|DHYD	LOC115258619|XP_029714769.1|AEAL, LOC115258472|XP_029714448.1|AEAL, LOC115258462|XP_029714433.1|AEAL, LOC109406828|XP_029715284.1|AEAL
OG0003884	LOC111594640|XP_023163802.2|DHYD	LOC109406857|XP_029723183.1|AEAL, LOC109398692|XP_019526609.2|AEAL
OG0003885	LOC111592637|XP_023160749.1|DHYD	LOC109406886|XP_029714904.1|AEAL, LOC109398718|XP_029723169.1|AEAL, LOC115257348|XP_029712674.1|AEAL
OG0003886	LOC111592636|XP_023160748.2|DHYD	LOC109398687|XP_019526606.1|AEAL, LOC115264010|XP_029723184.1|AEAL
OG0003887	LOC111599334|XP_023170727.2|DHYD	LOC109406991|XP_029709881.1|AEAL, LOC109398712|XP_029723182.1|AEAL, LOC115254227|XP_029733875.1|AEAL
OG0003888	LOC111595903|XP_023165611.2|DHYD	LOC109407203|XP_029714672.1|AEAL, LOC109405865|XP_029716570.1|AEAL
OG0003889	LOC111599466|XP_023170904.2|DHYD	LOC109414293|XP_019543652.2|AEAL
OG0003890	LOC111601085|XP_023173280.1|DHYD	LOC115258711|XP_029714928.1|AEAL, LOC109414321|XP_019543684.2|AEAL, LOC109407252|XP_019535804.1|AEAL
OG0003891	LOC111594663|XP_023163833.2|DHYD	LOC109407253|XP_029714712.1|AEAL, LOC109414322|XP_029714803.1|AEAL, LOC115258947|XP_029715325.1|AEAL
OG0003892	LOC111596855|XP_023167060.1|DHYD	LOC115253843|XP_029714507.1|AEAL, LOC109414325|XP_029715332.1|AEAL, LOC109407257|XP_029714596.1|AEAL
OG0003893	LOC111594704|XP_023163894.2|DHYD	LOC109414334|XP_029714877.1|AEAL, LOC115258667|XP_029714844.1|AEAL
OG0003894	LOC111592595|XP_023160679.1|DHYD	LOC109414337|XP_019543700.1|AEAL, LOC115253734|XP_029714760.1|AEAL, LOC109424218|XP_029714555.1|AEAL
OG0003895	LOC111603354|XP_023176669.1|DHYD	LOC109420917|XP_029714882.1|AEAL, LOC109412677|XP_029720670.1|AEAL, LOC115267671|XP_029730685.1|AEAL
OG0003896	LOC111592795|XP_023160973.1|DHYD	LOC109412669|XP_029720663.1|AEAL, LOC115253569|XP_029730689.1|AEAL
OG0003897	LOC111600576|XP_023172532.1|DHYD	LOC109420922|XP_029730693.1|AEAL, LOC115262418|XP_029720662.1|AEAL
OG0003898	LOC111600217|XP_023172011.1|DHYD	LOC115262409|XP_029720646.1|AEAL, LOC109412698|XP_019541865.2|AEAL, LOC109420904|XP_019550932.1|AEAL
OG0003899	LOC111599053|XP_023170341.1|DHYD	LOC109420973|XP_029714739.1|AEAL, LOC109428463|XP_029714738.1|AEAL
OG0003900	LOC111599065|XP_030080246.1|DHYD	LOC109428851|XP_029715312.1|AEAL, LOC109421018|XP_029714617.1|AEAL
OG0003901	LOC111595931|XP_023165658.2|DHYD	LOC115264813|XP_029724669.1|AEAL, LOC115258597|XP_029714710.1|AEAL
OG0003902	LOC111595934|XP_023165662.2|DHYD	LOC109428855|XP_019560237.2|AEAL, LOC115264812|XP_029724667.1|AEAL, LOC109421019|XP_029714866.1|AEAL
OG0003903	LOC111605528|XP_023179857.1|DHYD	LOC109428884|XP_029724668.1|AEAL, LOC109421022|XP_029715226.1|AEAL
OG0003904	LOC111605527|XP_023179856.2|DHYD	LOC109421021|XP_019551052.2|AEAL, LOC109428872|XP_019560259.2|AEAL
OG0003905	LOC111601758|XP_023174264.2|DHYD	LOC115258550|XP_029714567.1|AEAL, LOC109428908|XP_029724672.1|AEAL
OG0003906	LOC111593205|XP_023161619.2|DHYD	LOC109429119|XP_029732633.1|AEAL, LOC115258794|XP_029715076.1|AEAL, LOC109421055|XP_029715031.1|AEAL
OG0003907	LOC111599191|XP_023170548.1|DHYD	LOC115253502|XP_029710045.1|AEAL, LOC109421066|XP_019551104.2|AEAL, LOC109429208|XP_019560646.2|AEAL
OG0003908	LOC111599193|XP_023170549.2|DHYD	LOC109421041|XP_019551075.2|AEAL, LOC109429228|XP_019560675.1|AEAL, LOC115258570|XP_029714616.1|AEAL
OG0003909	LOC111605223|XP_023179416.1|DHYD	LOC109405615|XP_029714537.1|AEAL
OG0003910	LOC111605235|XP_023179438.2|DHYD	LOC109416534|XP_019546157.2|AEAL
OG0003911	LOC111605556|XP_023179892.2|DHYD	LOC115258629|XP_029714791.1|AEAL, LOC109405693|XP_019534298.2|AEAL
OG0003912	LOC111601142|XP_023173377.2|DHYD	LOC115258509|XP_029714490.1|AEAL, LOC109410195|XP_029714495.1|AEAL, LOC109405687|XP_029715299.1|AEAL
OG0003913	LOC111594742|XP_023163950.1|DHYD	LOC109410247|XP_029714497.1|AEAL, LOC115267403|XP_029730244.1|AEAL, LOC109405692|XP_029715109.1|AEAL
OG0003914	LOC111592541|XP_023160591.2|DHYD	LOC115258891|XP_029715206.1|AEAL, LOC109417528|XP_029714594.1|AEAL, LOC109410214|XP_019539282.2|AEAL
OG0003915	LOC111592983|XP_023161248.1|DHYD	LOC115258892|XP_029715207.1|AEAL, LOC109417526|XP_019547142.1|AEAL, LOC109410208|XP_019539278.2|AEAL
OG0003916	LOC111602500|XP_023175339.1|DHYD	LOC115263023|XP_029721814.1|AEAL, LOC109417537|XP_019547158.1|AEAL, LOC115266747|XP_029729140.1|AEAL
OG0003917	LOC111599061|XP_023170350.2|DHYD	LOC115255418|XP_029709396.1|AEAL, LOC109410237|XP_029709514.1|AEAL, LOC109417635|XP_029709389.1|AEAL
OG0003918	LOC111603757|XP_023177255.2|DHYD	LOC115256961|XP_029712032.1|AEAL, LOC109417653|XP_019547251.1|AEAL, LOC109622148|XP_019931925.2|AEAL
OG0003919	LOC111599492|XP_023170926.1|DHYD	LOC109417552|XP_029709331.1|AEAL, LOC109622156|XP_029709321.1|AEAL
OG0003920	LOC111593920|XP_023162761.1|DHYD	LOC109622778|XP_019932769.1|AEAL, LOC109417667|XP_019547262.1|AEAL
OG0003921	LOC111594716|XP_023163910.2|DHYD	LOC109417683|XP_029709282.1|AEAL, LOC109622172|XP_029709292.1|AEAL, LOC115255395|XP_029709319.1|AEAL
OG0003922	LOC111602457|XP_023175285.2|DHYD	LOC115255381|XP_029709289.1|AEAL, LOC109417684|XP_019547290.2|AEAL, LOC115255376|XP_029709278.1|AEAL
OG0003923	LOC111593710|XP_023162441.1|DHYD	LOC109416842|XP_029709256.1|AEAL, LOC109417690|XP_029709238.1|AEAL, LOC115253945|XP_029709236.1|AEAL
OG0003924	LOC111593859|XP_023162674.1|DHYD	LOC115255371|XP_029709252.1|AEAL, LOC109417692|XP_029709234.1|AEAL, LOC115255370|XP_029709251.1|AEAL
OG0003925	LOC111599300|XP_030079173.1|DHYD	LOC115253783|XP_029709222.1|AEAL, LOC115253661|XP_029709195.1|AEAL, LOC109417703|XP_019547331.2|AEAL
OG0003926	LOC111599365|XP_023170765.1|DHYD	LOC115255337|XP_029709214.1|AEAL, LOC109417708|XP_019547338.1|AEAL, LOC115253943|XP_029709207.1|AEAL
OG0003927	LOC111594231|XP_023163205.1|DHYD	LOC109417719|XP_029709183.1|AEAL
OG0003928	LOC111603919|XP_023177512.2|DHYD	LOC109420032|XP_019549889.2|AEAL
OG0003929	LOC111602523|XP_023175377.1|DHYD	LOC109417750|XP_019547423.2|AEAL, LOC109420019|XP_029709139.1|AEAL, LOC115255486|XP_029709471.1|AEAL
OG0003930	LOC111598781|XP_023169962.1|DHYD	LOC109417755|XP_029709134.1|AEAL, LOC115255270|XP_029709092.1|AEAL, LOC109420015|XP_029709122.1|AEAL
OG0003931	LOC111605010|XP_023179093.1|DHYD	LOC109420008|XP_029709083.1|AEAL, LOC115253941|XP_029709125.1|AEAL, LOC109417759|XP_029709111.1|AEAL
OG0003932	LOC111597691|XP_030080954.1|DHYD	LOC109419403|XP_029709065.1|AEAL
OG0003933	LOC111605559|XP_023179900.1|DHYD	LOC115255210|XP_029709013.1|AEAL, LOC109397495|XP_029709001.1|AEAL, LOC115255185|XP_029708979.1|AEAL
OG0003934	LOC111603760|XP_023177260.1|DHYD	LOC115254897|XP_029708439.1|AEAL, LOC109397497|XP_029708435.1|AEAL, LOC115254896|XP_029708438.1|AEAL
OG0003935	LOC111594005|XP_023162866.2|DHYD	LOC109419966|XP_019549800.2|AEAL, LOC115255188|XP_029708989.1|AEAL
OG0003936	LOC111594013|XP_023162879.1|DHYD	LOC115254894|XP_029708437.1|AEAL, LOC109419967|XP_019549802.1|AEAL
OG0003937	LOC111599925|XP_023171538.2|DHYD	LOC109419957|XP_029708955.1|AEAL
OG0003938	LOC111599456|XP_023170886.2|DHYD	LOC109419953|XP_029708954.1|AEAL, LOC109417546|XP_029715584.1|AEAL, LOC115255463|XP_029709447.1|AEAL
OG0003939	LOC111599460|XP_023170896.1|DHYD	LOC109417517|XP_019547143.2|AEAL, LOC115255169|XP_029708950.1|AEAL, LOC109419951|XP_029708931.1|AEAL
OG0003940	LOC111601864|XP_023174473.1|DHYD	LOC109417493|XP_019547118.2|AEAL, LOC109419950|XP_029708930.1|AEAL, LOC115253435|XP_029715583.1|AEAL
OG0003941	LOC111599453|XP_023170879.1|DHYD	LOC109417504|XP_029708929.1|AEAL, LOC109419921|XP_019549744.2|AEAL
OG0003942	LOC111602488|XP_023175320.2|DHYD	LOC109419928|XP_029708934.1|AEAL, LOC109420729|XP_029708907.1|AEAL
OG0003943	LOC111603751|XP_023177242.1|DHYD	LOC109420722|XP_029708888.1|AEAL, LOC109419889|XP_029715704.1|AEAL, LOC109419887|XP_019549721.1|AEAL
OG0003944	LOC111599084|XP_023170387.1|DHYD	LOC109420700|XP_019550697.1|AEAL, LOC115255131|XP_029708864.1|AEAL, LOC115255129|XP_029708862.1|AEAL, LOC109414276|XP_019543644.1|AEAL
OG0003945	LOC111603801|XP_023177319.1|DHYD	LOC109420692|XP_019550676.2|AEAL
OG0003946	LOC111592663|XP_030079058.1|DHYD	LOC115264418|XP_029723946.1|AEAL
OG0003947	LOC111600329|XP_023172164.2|DHYD	LOC109420675|XP_029708744.1|AEAL
OG0003948	LOC111594941|XP_023164202.2|DHYD	LOC115255104|XP_029708759.1|AEAL, LOC109420665|XP_019550630.1|AEAL
OG0003949	LOC111599542|XP_030080312.1|DHYD	LOC109420662|XP_029708760.1|AEAL
OG0003950	LOC111602222|XP_023174969.1|DHYD	LOC109420653|XP_019550566.2|AEAL, LOC115268896|XP_029732957.1|AEAL
OG0003951	LOC111602210|XP_023174953.2|DHYD	LOC109429459|XP_029708734.1|AEAL, LOC109420651|XP_029708811.1|AEAL
OG0003952	LOC111592586|XP_023160669.2|DHYD, LOC115482925|XP_030079091.1|DHYD	LOC109420642|XP_029708741.1|AEAL
OG0003953	LOC111605021|XP_023179120.2|DHYD	LOC115255088|XP_029708733.1|AEAL, LOC109407734|XP_029708721.1|AEAL
OG0003954	LOC111597422|XP_023167886.2|DHYD	LOC109420549|XP_029718263.1|AEAL, LOC115255079|XP_029708713.1|AEAL, LOC115261045|XP_029718265.1|AEAL
OG0003956	LOC111595594|XP_023165173.2|DHYD	LOC109417064|XP_029708693.1|AEAL
OG0003957	LOC111601101|XP_023173308.2|DHYD	LOC109407366|XP_029709427.1|AEAL
OG0003958	LOC111595358|XP_023164803.2|DHYD	LOC115255429|XP_029709420.1|AEAL, LOC109407439|XP_019536033.1|AEAL, LOC115255067|XP_029708689.1|AEAL, LOC109420522|XP_019550436.2|AEAL
OG0003959	LOC111602084|XP_030079708.1|DHYD	LOC109419740|XP_029708595.1|AEAL
OG0003960	LOC111593015|XP_030079987.1|DHYD	LOC115255041|XP_029708627.1|AEAL, LOC109419761|XP_019549584.2|AEAL
OG0003961	LOC111592891|XP_023161099.2|DHYD	LOC109419770|XP_029732975.1|AEAL, LOC109398247|XP_029708618.1|AEAL
OG0003962	LOC111599383|XP_023170788.1|DHYD	LOC109419773|XP_029708623.1|AEAL, LOC109398260|XP_029708577.1|AEAL
OG0003963	LOC111603892|XP_023177478.2|DHYD	LOC109402097|XP_029708554.1|AEAL, LOC115254980|XP_029708532.1|AEAL
OG0003964	LOC111595012|XP_023164286.1|DHYD	LOC115254972|XP_029708523.1|AEAL, LOC115254988|XP_029708538.1|AEAL, LOC109402112|XP_019530281.2|AEAL
OG0003965	LOC111594954|XP_023164219.2|DHYD	LOC109431811|XP_029708486.1|AEAL
OG0003966	LOC111592065|XP_023159835.1|DHYD	LOC109431818|XP_029722655.1|AEAL, LOC109431824|XP_029708481.1|AEAL
OG0003967	LOC111592514|XP_023160514.2|DHYD	LOC115253821|XP_029708456.1|AEAL, LOC109427547|XP_019558664.1|AEAL
OG0003968	LOC111592526|XP_023160552.1|DHYD	LOC115254943|XP_029708461.1|AEAL, LOC109427597|XP_019558734.1|AEAL
OG0003969	LOC111600570|XP_023172523.2|DHYD	LOC115262467|XP_029720735.1|AEAL, LOC109427761|XP_029732789.1|AEAL
OG0003970	LOC111599088|XP_023170394.2|DHYD	LOC115266821|XP_029729280.1|AEAL, LOC109430180|XP_019561779.2|AEAL
