Orthogroup	DEUG.longest_only	CQUI.longest_only
OG0004467	LOC108114099|XP_017080346.1|DEUG	LOC6037680|XP_038113819.1|CQUI
OG0004468	LOC108113964|XP_017080167.1|DEUG	LOC6053597|XP_038113318.1|CQUI
OG0004469	LOC108118241|XP_017086314.1|DEUG	LOC6037688|XP_038109555.1|CQUI
OG0004470	LOC108105685|XP_017067884.1|DEUG	LOC6034524|XP_038107939.1|CQUI
OG0004471	LOC108115593|XP_017082595.1|DEUG	LOC6034535|XP_038107558.1|CQUI
OG0004472	LOC108104834|XP_017066626.1|DEUG	LOC6037231|XP_001847162.2|CQUI
OG0004473	LOC108106803|XP_017069537.1|DEUG	LOC6037226|XP_001847156.2|CQUI
OG0004474	LOC108106691|XP_017069413.1|DEUG	LOC6037225|XP_001847155.2|CQUI
OG0004475	LOC108116987|XP_017084641.1|DEUG	LOC6040570|XP_001849950.2|CQUI
OG0004476	LOC108103384|XP_017064319.1|DEUG	LOC119767036|XP_038110210.1|CQUI
OG0004477	LOC108108997|XP_017072752.1|DEUG	LOC6040559|XP_001849941.2|CQUI
OG0004478	LOC108106747|XP_017069474.1|DEUG	LOC6040555|XP_038111992.1|CQUI
OG0004479	LOC108107252|XP_017070170.1|DEUG	LOC6040800|XP_001850139.2|CQUI
OG0004480	LOC108117713|XP_017085757.1|DEUG	LOC6040723|XP_001850076.2|CQUI
OG0004481	LOC108113105|XP_017079069.1|DEUG	LOC119765079|XP_038104137.1|CQUI
OG0004482	LOC108113506|XP_017079585.1|DEUG	LOC6038661|XP_038104035.1|CQUI
OG0004483	LOC108107355|XP_017070343.1|DEUG	LOC6048655|XP_038119598.1|CQUI
OG0004484	LOC108109617|XP_017073671.1|DEUG, LOC108113197|XP_017079217.1|DEUG, LOC108103004|XP_017063815.1|DEUG	LOC6049249|XP_038122253.1|CQUI
OG0004485	LOC108118516|XP_017086750.1|DEUG	LOC6041373|XP_038112278.1|CQUI
OG0004486	LOC108112783|XP_017078550.1|DEUG	LOC6038124|XP_038111955.1|CQUI
OG0004487	LOC108114410|XP_017080874.1|DEUG	LOC6039882|XP_001849382.1|CQUI
OG0004489	LOC108102814|XP_017063485.1|DEUG	LOC119769130|XP_038116959.1|CQUI
OG0004490	LOC108112364|XP_017077683.1|DEUG, LOC108113307|XP_017079348.1|DEUG	LOC119769609|XP_038118647.1|CQUI
OG0004504	LOC108118279|XP_017086364.1|DEUG	LOC6044333|XP_001861863.1|CQUI
OG0004505	LOC108111686|XP_017076720.1|DEUG	LOC6038319|XP_038104606.1|CQUI
OG0004506	LOC108116008|XP_017083175.1|DEUG	LOC6044317|XP_001861849.2|CQUI
OG0004507	LOC108113161|XP_017079168.1|DEUG	LOC6042742|XP_038105247.1|CQUI
OG0004508	LOC108113622|XP_017079773.1|DEUG	LOC6041687|XP_038122612.1|CQUI
OG0004509	LOC108114444|XP_017080929.1|DEUG	LOC6041676|XP_038105528.1|CQUI
OG0004510	LOC108103893|XP_017065123.1|DEUG	LOC6044331|XP_001861861.2|CQUI
OG0004511	LOC108113738|XP_017079915.1|DEUG	LOC6046428|XP_038117632.1|CQUI
OG0004512	LOC108102341|XP_017062666.1|DEUG	LOC6038321|XP_038106795.1|CQUI
OG0004513	LOC108102364|XP_017062759.1|DEUG	LOC6038316|XP_038122522.1|CQUI
OG0004514	LOC108102355|XP_017062733.1|DEUG	LOC6038310|XP_038116441.1|CQUI
OG0004515	LOC108102923|XP_017063666.1|DEUG	LOC6054699|XP_038116622.1|CQUI
OG0004516	LOC108103878|XP_017065095.1|DEUG	LOC6051308|XP_038104873.1|CQUI
OG0004517	LOC108111856|XP_017076955.1|DEUG	LOC6041760|XP_038105640.1|CQUI
OG0004518	LOC108115212|XP_017082042.1|DEUG	LOC6035155|XP_038105094.1|CQUI
OG0004519	LOC108116038|XP_017083224.1|DEUG	LOC6048964|XP_001865800.2|CQUI
OG0004520	LOC108115213|XP_017082046.1|DEUG	LOC6054819|XP_038115444.1|CQUI
OG0004521	LOC108110351|XP_017074876.1|DEUG	LOC6046563|XP_038116157.1|CQUI
OG0004522	LOC108117631|XP_017085648.1|DEUG	LOC6046577|XP_038121576.1|CQUI
OG0004523	LOC108109041|XP_017072831.1|DEUG	LOC6045733|XP_038104022.1|CQUI
OG0004524	LOC108103674|XP_017064723.1|DEUG	LOC6047023|XP_038105348.1|CQUI
OG0004525	LOC108118344|XP_017086476.1|DEUG	LOC6052563|XP_038116645.1|CQUI
OG0004526	LOC108110290|XP_017074775.1|DEUG	LOC6052566|XP_038122841.1|CQUI
OG0004527	LOC108103345|XP_017064272.1|DEUG	LOC6049033|XP_001865861.2|CQUI
OG0004529	LOC108103338|XP_017064262.1|DEUG	LOC6041771|XP_038113297.1|CQUI
OG0004530	LOC108103865|XP_017065066.1|DEUG	LOC6053077|XP_001869231.1|CQUI
OG0004531	LOC108115717|XP_017082778.1|DEUG	LOC6040435|XP_038104003.1|CQUI
OG0004532	LOC108110073|XP_017074443.1|DEUG	LOC6044974|XP_038104897.1|CQUI
OG0004533	LOC108103901|XP_017065133.1|DEUG	LOC6046580|XP_038105033.1|CQUI
OG0004534	LOC108113223|XP_017079250.1|DEUG	LOC6047052|XP_001864160.1|CQUI
OG0004535	LOC108114130|XP_017080392.1|DEUG	LOC6039348|XP_001848966.2|CQUI
OG0004536	LOC108109673|XP_017073745.1|DEUG	LOC6054180|XP_038122455.1|CQUI
OG0004537	LOC108103680|XP_017064747.1|DEUG	LOC6047241|XP_038112455.1|CQUI
OG0004538	LOC108109152|XP_017073055.1|DEUG	LOC6039273|XP_038118326.1|CQUI
OG0004539	LOC108117135|XP_017084879.1|DEUG	LOC6049921|XP_038104483.1|CQUI
OG0004540	LOC108110145|XP_017074548.1|DEUG	LOC6035131|XP_038113239.1|CQUI
OG0004541	LOC108112663|XP_017078286.1|DEUG	LOC6037962|XP_038114417.1|CQUI
OG0004542	LOC108103126|XP_017063983.1|DEUG	LOC6037963|XP_038116044.1|CQUI
OG0004543	LOC108104425|XP_017065969.1|DEUG	LOC6050461|XP_038104463.1|CQUI
OG0004544	LOC108105514|XP_017067627.1|DEUG	LOC6051135|XP_038115739.1|CQUI
OG0004545	LOC108115693|XP_017082751.1|DEUG	LOC6051119|XP_001867603.2|CQUI
OG0004546	LOC108111945|XP_017077114.1|DEUG	LOC6051127|XP_001867611.2|CQUI
OG0004547	LOC108104405|XP_017065941.1|DEUG	LOC6045717|XP_001863026.2|CQUI
OG0004548	LOC108103770|XP_017064884.1|DEUG	LOC6052315|XP_001868609.2|CQUI
OG0004549	LOC108105483|XP_017067589.1|DEUG	LOC6052351|XP_038110438.1|CQUI
OG0004550	LOC108117436|XP_017085343.1|DEUG	LOC6053904|XP_038104969.1|CQUI
OG0004551	LOC108109091|XP_017072955.1|DEUG	LOC6047720|XP_038122700.1|CQUI
OG0004552	LOC108117166|XP_017084934.1|DEUG	LOC6047714|XP_038109886.1|CQUI
OG0004553	LOC108109852|XP_017074102.1|DEUG	LOC6037038|XP_038121452.1|CQUI
OG0004554	LOC108103354|XP_017064288.1|DEUG	LOC6046909|XP_038104039.1|CQUI
OG0004555	LOC108103327|XP_017064249.1|DEUG	LOC6046912|XP_038105550.1|CQUI
OG0004556	LOC108106042|XP_017068383.1|DEUG	LOC6050817|XP_001867349.2|CQUI
OG0004557	LOC108110389|XP_017074924.1|DEUG	LOC6051312|XP_038113046.1|CQUI
OG0004558	LOC108102401|XP_017062836.1|DEUG	LOC6053159|XP_038113667.1|CQUI
OG0004559	LOC108116703|XP_017084209.1|DEUG	LOC6035093|XP_001845329.2|CQUI
OG0004560	LOC108114871|XP_017081518.1|DEUG	LOC6051618|XP_038108788.1|CQUI
OG0004561	LOC108105229|XP_017067185.1|DEUG	LOC6051622|XP_038104690.1|CQUI
OG0004562	LOC108115732|XP_017082794.1|DEUG	LOC6052936|XP_038122801.1|CQUI
OG0004563	LOC108105558|XP_017067688.1|DEUG	LOC6051001|XP_038105076.1|CQUI
OG0004564	LOC108117032|XP_017084690.1|DEUG	LOC6048480|XP_038105200.1|CQUI
OG0004565	LOC108116164|XP_017083388.1|DEUG	LOC6048476|XP_001865387.2|CQUI
OG0004566	LOC108110123|XP_017074518.1|DEUG	LOC6054125|XP_038117418.1|CQUI
OG0004567	LOC108103455|XP_017064436.1|DEUG	LOC6048187|XP_038107860.1|CQUI
OG0004568	LOC108102456|XP_017062952.1|DEUG	LOC6048455|XP_038111137.1|CQUI
OG0004569	LOC108114994|XP_017081720.1|DEUG	LOC6050385|XP_038111966.1|CQUI
OG0004570	LOC108112837|XP_017078633.1|DEUG	LOC6038448|XP_038105388.1|CQUI
OG0004571	LOC108109969|XP_017074275.1|DEUG	LOC6048970|XP_038111393.1|CQUI
OG0004572	LOC108102679|XP_017063309.1|DEUG	LOC119767347|XP_038111665.1|CQUI, LOC6049187|XP_001865991.1|CQUI
OG0004573	LOC108116937|XP_017084572.1|DEUG	LOC6041275|XP_038104486.1|CQUI
OG0004574	LOC108103215|XP_017064099.1|DEUG	LOC6044158|XP_001861707.1|CQUI
OG0004575	LOC108103210|XP_017064089.1|DEUG	LOC6044160|XP_038114472.1|CQUI
OG0004576	LOC108109532|XP_017073585.1|DEUG	LOC6049186|XP_001865990.1|CQUI
OG0004577	LOC108116932|XP_017084566.1|DEUG	LOC6037953|XP_001847804.1|CQUI
OG0004578	LOC108111872|XP_017076985.1|DEUG	LOC6042727|XP_038116263.1|CQUI
OG0004579	LOC108110721|XP_017075382.1|DEUG	LOC119769910|XP_038119941.1|CQUI
OG0004580	LOC108116975|XP_017084624.1|DEUG	LOC6051042|XP_001867535.2|CQUI
OG0004581	LOC108105597|XP_017067760.1|DEUG	LOC6053194|XP_038117809.1|CQUI
OG0004582	LOC108113505|XP_017079583.1|DEUG	LOC6045262|XP_038122702.1|CQUI
OG0004583	LOC108103180|XP_017064056.1|DEUG	LOC6052125|XP_038104612.1|CQUI
OG0004584	LOC108106260|XP_017068714.1|DEUG	LOC6052126|XP_001868442.2|CQUI
OG0004585	LOC108111425|XP_017076373.1|DEUG	LOC119765345|XP_038104987.1|CQUI
OG0004586	LOC108110332|XP_017074851.1|DEUG	LOC6050929|XP_038104034.1|CQUI
OG0004587	LOC108108999|XP_017072758.1|DEUG, LOC108104207|XP_017065640.1|DEUG	LOC6045948|XP_038105657.1|CQUI
OG0004588	LOC108109073|XP_017072926.1|DEUG	LOC6045954|XP_001863228.1|CQUI
OG0004589	LOC108112579|XP_017078092.1|DEUG	LOC6045348|XP_038104219.1|CQUI
OG0004590	LOC108111387|XP_017076310.1|DEUG	LOC6035104|XP_038122870.1|CQUI
OG0004591	LOC108111411|XP_017076355.1|DEUG	LOC6035105|XP_038105687.1|CQUI
OG0004592	LOC108102959|XP_017063740.1|DEUG	LOC6035111|XP_038113017.1|CQUI
OG0004593	LOC108102950|XP_017063717.1|DEUG	LOC6035120|XP_038105529.1|CQUI
OG0004594	LOC108118070|XP_017086100.1|DEUG	LOC6040457|XP_038110915.1|CQUI
OG0004595	LOC108110107|XP_017074491.1|DEUG	LOC6040461|XP_001849848.2|CQUI
OG0004596	LOC108105494|XP_017067601.1|DEUG	LOC6052837|XP_038104294.1|CQUI
OG0004597	LOC108117303|XP_017085155.1|DEUG	LOC6046918|XP_001864043.2|CQUI
OG0004598	LOC108114222|XP_017080564.1|DEUG	LOC119767056|XP_038110423.1|CQUI
OG0004599	LOC108111086|XP_017075911.1|DEUG	LOC6035348|XP_001845559.2|CQUI
OG0004600	LOC108109984|XP_017074304.1|DEUG	LOC6048191|XP_001865145.1|CQUI
OG0004601	LOC108104344|XP_017065827.1|DEUG	LOC6052430|XP_038104097.1|CQUI
OG0004602	LOC108109692|XP_017073791.1|DEUG	LOC6044995|XP_001862419.2|CQUI
OG0004603	LOC108111206|XP_017076093.1|DEUG	LOC6044768|XP_001862228.2|CQUI
OG0004604	LOC108103127|XP_017063984.1|DEUG	LOC6044773|XP_001862232.2|CQUI
OG0004605	LOC108103100|XP_017063954.1|DEUG	LOC6037524|XP_038105381.1|CQUI, LOC6051449|XP_038122451.1|CQUI
OG0004606	LOC108117100|XP_017084800.1|DEUG	LOC6040734|XP_038107461.1|CQUI
OG0004607	LOC108118297|XP_017086398.1|DEUG	LOC6039036|XP_038105073.1|CQUI
OG0004608	LOC108103873|XP_017065084.1|DEUG	LOC6039054|XP_038105592.1|CQUI
OG0004609	LOC108103007|XP_017063816.1|DEUG	LOC6045132|XP_001862534.1|CQUI
OG0004610	LOC108111327|XP_017076226.1|DEUG	LOC6045381|XP_038104655.1|CQUI
OG0004611	LOC108111428|XP_017076377.1|DEUG	LOC6034328|XP_038115400.1|CQUI
OG0004612	LOC108111444|XP_017076402.1|DEUG, LOC108111426|XP_017076414.1|DEUG	LOC6034326|XP_001844659.1|CQUI
OG0004613	LOC108105600|XP_017067764.1|DEUG	LOC6036970|XP_038105799.1|CQUI
OG0004614	LOC108118352|XP_017086487.1|DEUG	LOC6053763|XP_038105797.1|CQUI
OG0004615	LOC108118295|XP_017086394.1|DEUG	LOC6036976|XP_038104225.1|CQUI
OG0004616	LOC108103192|XP_017064069.1|DEUG	LOC6036981|XP_001846948.1|CQUI
OG0004617	LOC108115492|XP_017082465.1|DEUG	LOC6053777|XP_001869806.1|CQUI
OG0004618	LOC108115619|XP_017082653.1|DEUG	LOC6036883|XP_038123011.1|CQUI
OG0004619	LOC108109553|XP_017073613.1|DEUG	LOC6049474|XP_001866227.2|CQUI
OG0004620	LOC108117215|XP_017085029.1|DEUG	LOC6050630|XP_001867201.2|CQUI
OG0004621	LOC108116492|XP_017083915.1|DEUG	LOC6037925|XP_001847782.1|CQUI
OG0004622	LOC108116952|XP_017084594.1|DEUG	LOC6038472|XP_038113212.1|CQUI
OG0004623	LOC108111376|XP_017076297.1|DEUG	LOC6038474|XP_001848271.2|CQUI
OG0004625	LOC108110044|XP_017074397.1|DEUG	LOC6042687|XP_038111477.1|CQUI
OG0004626	LOC108105452|XP_017067529.1|DEUG	LOC6038421|XP_038104812.1|CQUI
OG0004627	LOC108107907|XP_017071201.1|DEUG	LOC6054024|XP_038115572.1|CQUI
OG0004628	LOC108102462|XP_017062960.1|DEUG	LOC6053845|XP_038122897.1|CQUI
OG0004629	LOC108109241|XP_017073210.1|DEUG	LOC6045620|XP_038114673.1|CQUI
OG0004630	LOC108111427|XP_017076375.1|DEUG	LOC6045617|XP_038111690.1|CQUI
OG0004631	LOC108116911|XP_017084525.1|DEUG, LOC108116912|XP_017084526.1|DEUG	LOC6048768|XP_001865645.1|CQUI
OG0004632	LOC108116910|XP_017084523.1|DEUG	LOC6048779|XP_038109334.1|CQUI
OG0004633	LOC108111415|XP_017076361.1|DEUG	LOC6045007|XP_038116758.1|CQUI
OG0004634	LOC108116062|XP_017083262.1|DEUG	LOC6051445|XP_001867883.2|CQUI
OG0004635	LOC108103143|XP_017064003.1|DEUG	LOC6051832|XP_038105109.1|CQUI
OG0004636	LOC108106039|XP_017068378.1|DEUG	LOC6038486|XP_038105456.1|CQUI
OG0004637	LOC108105478|XP_017067579.1|DEUG	LOC6035139|XP_038104086.1|CQUI
OG0004639	LOC108115768|XP_017082826.1|DEUG	LOC6038658|XP_038104660.1|CQUI
OG0004640	LOC108115887|XP_017083019.1|DEUG	LOC119765184|XP_038104475.1|CQUI
OG0004641	LOC108103815|XP_017064991.1|DEUG	LOC6034779|XP_001845052.2|CQUI
OG0004642	LOC108105479|XP_017067584.1|DEUG	LOC6042586|XP_038103985.1|CQUI
OG0004643	LOC108109585|XP_017073651.1|DEUG	LOC119771191|XP_038122742.1|CQUI
OG0004644	LOC108103760|XP_017064867.1|DEUG	LOC6042583|XP_001852649.1|CQUI
OG0004645	LOC108111102|XP_017075933.1|DEUG	LOC6042581|XP_001852638.2|CQUI, LOC6042582|XP_001852645.2|CQUI
OG0004647	LOC108110096|XP_017074480.1|DEUG	LOC6041907|XP_001851098.2|CQUI
OG0004649	LOC108110030|XP_017074364.1|DEUG	LOC6034414|XP_001844732.2|CQUI
OG0004650	LOC108111388|XP_017076314.1|DEUG	LOC6034425|XP_001844743.1|CQUI
OG0004651	LOC108106361|XP_017068874.1|DEUG	LOC6042575|XP_001852290.2|CQUI
OG0004652	LOC108116023|XP_017083199.1|DEUG	LOC6034802|XP_038114609.1|CQUI
OG0004653	LOC108108792|XP_017072456.1|DEUG	LOC6034799|XP_001845071.2|CQUI
OG0004654	LOC108111024|XP_017075833.1|DEUG	LOC6034788|XP_001845061.2|CQUI
OG0004655	LOC108116630|XP_017084098.1|DEUG	LOC6034784|XP_001845057.1|CQUI
OG0004656	LOC108109947|XP_017074241.1|DEUG	LOC6034783|XP_001845056.2|CQUI
OG0004657	LOC108110173|XP_017074585.1|DEUG	LOC6034771|XP_038105085.1|CQUI
OG0004658	LOC108117483|XP_017085444.1|DEUG	LOC6036047|XP_038114058.1|CQUI, LOC6034745|XP_038109197.1|CQUI
OG0004659	LOC108108841|XP_017072538.1|DEUG	LOC6034743|XP_001845022.1|CQUI
OG0004660	LOC108115691|XP_017082749.1|DEUG	LOC6041911|XP_038114990.1|CQUI
OG0004661	LOC108107458|XP_017070527.1|DEUG	LOC6041909|XP_001851100.2|CQUI
OG0004662	LOC108111511|XP_017076515.1|DEUG	LOC6034715|XP_038105328.1|CQUI
OG0004663	LOC108103291|XP_017064193.1|DEUG	LOC6053683|XP_038105925.1|CQUI
OG0004664	LOC108103288|XP_017064188.1|DEUG	LOC6053682|XP_038104070.1|CQUI
OG0004665	LOC108110392|XP_017074936.1|DEUG	LOC6052688|XP_001868915.2|CQUI
OG0004666	LOC108110080|XP_017074462.1|DEUG	LOC6037574|XP_001847470.2|CQUI
OG0004667	LOC108110350|XP_017074879.1|DEUG	LOC6042010|XP_001851178.1|CQUI
OG0004668	LOC108110041|XP_017074389.1|DEUG	LOC6047872|XP_038115207.1|CQUI
OG0004669	LOC108107072|XP_017069930.1|DEUG	LOC6047885|XP_001864867.1|CQUI
OG0004670	LOC108113624|XP_017079775.1|DEUG	LOC119768855|XP_038116243.1|CQUI
OG0004671	LOC108111761|XP_017076811.1|DEUG	LOC119765492|XP_038105399.1|CQUI
OG0004672	LOC108105224|XP_017067176.1|DEUG	LOC6052736|XP_038104885.1|CQUI
OG0004673	LOC108109383|XP_017073366.1|DEUG	LOC6034736|XP_001845016.1|CQUI
OG0004674	LOC108115805|XP_017082883.1|DEUG	LOC6046478|XP_038104468.1|CQUI
OG0004675	LOC108115803|XP_017082877.1|DEUG	LOC6046482|XP_001863671.1|CQUI
OG0004676	LOC108115344|XP_017082255.1|DEUG	LOC6039291|XP_001848925.1|CQUI
OG0004677	LOC108116619|XP_017084082.1|DEUG	LOC6046587|XP_038107034.1|CQUI
OG0004678	LOC108116617|XP_017084079.1|DEUG	LOC6046584|XP_038106446.1|CQUI
OG0004679	LOC108117105|XP_017084810.1|DEUG	LOC6036521|XP_038104151.1|CQUI
OG0004681	LOC108109539|XP_017073593.1|DEUG	LOC6042418|XP_038113135.1|CQUI
OG0004682	LOC108102622|XP_017063220.1|DEUG	LOC6047462|XP_001864516.1|CQUI
OG0004683	LOC108116956|XP_017084600.1|DEUG	LOC6047463|XP_001864517.1|CQUI
OG0004684	LOC108110128|XP_017074526.1|DEUG	LOC6037516|XP_001847422.1|CQUI
OG0004685	LOC108116043|XP_017083228.1|DEUG	LOC6037515|XP_038108651.1|CQUI
OG0004686	LOC108108342|XP_017071867.1|DEUG	LOC6042013|XP_001851183.1|CQUI
OG0004687	LOC108116099|XP_017083309.1|DEUG	LOC6035633|XP_038105047.1|CQUI
OG0004688	LOC108116356|XP_017083669.1|DEUG	LOC6047618|XP_038118051.1|CQUI
OG0004689	LOC108116660|XP_017084140.1|DEUG	LOC6034930|XP_038114205.1|CQUI
OG0004690	LOC108116137|XP_017083353.1|DEUG	LOC6035208|XP_001845437.2|CQUI
OG0004691	LOC108115985|XP_017083133.1|DEUG	LOC6035211|XP_001845440.2|CQUI
OG0004692	LOC108116616|XP_017084074.1|DEUG	LOC6035214|XP_038104026.1|CQUI
OG0004693	LOC108116615|XP_017084072.1|DEUG	LOC6035215|XP_038117356.1|CQUI
OG0004694	LOC108113788|XP_017079985.1|DEUG	LOC6046411|XP_038122629.1|CQUI
OG0004695	LOC108115797|XP_017082867.1|DEUG	LOC6039604|XP_038119858.1|CQUI
OG0004696	LOC108110158|XP_017074569.1|DEUG	LOC6035060|XP_001845296.2|CQUI
OG0004697	LOC108103959|XP_017065217.1|DEUG	LOC6035351|XP_038104386.1|CQUI
OG0004698	LOC108103483|XP_017064477.1|DEUG	LOC119765464|XP_038105270.1|CQUI
OG0004699	LOC108116503|XP_017083927.1|DEUG	LOC6047919|XP_038104973.1|CQUI
OG0004700	LOC108114997|XP_017081722.1|DEUG	LOC6035574|XP_001845729.2|CQUI
OG0004701	LOC108110240|XP_017074717.1|DEUG	LOC6035554|XP_038110340.1|CQUI
OG0004702	LOC108116643|XP_017084114.1|DEUG	LOC6050612|XP_038104352.1|CQUI
OG0004703	LOC108116718|XP_017084228.1|DEUG	LOC6044856|XP_001862301.1|CQUI
OG0004704	LOC108117517|XP_017085502.1|DEUG	LOC6045193|XP_038110275.1|CQUI
OG0004705	LOC108110210|XP_017074678.1|DEUG	LOC6045190|XP_001862588.1|CQUI
OG0004706	LOC108109848|XP_017074092.1|DEUG	LOC6045204|XP_038105866.1|CQUI
OG0004707	LOC108107063|XP_017069918.1|DEUG	LOC6047830|XP_038116814.1|CQUI
OG0004708	LOC108115173|XP_017081981.1|DEUG	LOC6047832|XP_038116987.1|CQUI
OG0004709	LOC108109466|XP_017073476.1|DEUG	LOC6046601|XP_038122674.1|CQUI
OG0004710	LOC108111673|XP_017076696.1|DEUG	LOC6046599|XP_038109528.1|CQUI
OG0004711	LOC108115834|XP_017082917.1|DEUG	LOC6032578|XP_038104687.1|CQUI
OG0004712	LOC108116890|XP_017084480.1|DEUG	LOC6040874|XP_001850204.2|CQUI
OG0004713	LOC108116666|XP_017084149.1|DEUG	LOC6036798|XP_038106810.1|CQUI
OG0004714	LOC108116589|XP_017084022.1|DEUG	LOC6036800|XP_038106831.1|CQUI
OG0004715	LOC108105892|XP_017068162.1|DEUG	LOC6035086|XP_001845320.2|CQUI
OG0004716	LOC108116639|XP_017084108.1|DEUG	LOC6032694|XP_001843254.2|CQUI
OG0004717	LOC108109686|XP_017073773.1|DEUG	LOC6032682|XP_038104138.1|CQUI
OG0004718	LOC108110722|XP_017075395.1|DEUG	LOC6032681|XP_038105108.1|CQUI
OG0004719	LOC108113503|XP_017079579.1|DEUG	LOC6039168|XP_038107397.1|CQUI
OG0004720	LOC108116600|XP_017084045.1|DEUG	LOC6039161|XP_001848817.1|CQUI
OG0004722	LOC108116089|XP_017083296.1|DEUG	LOC6032630|XP_038105262.1|CQUI
OG0004724	LOC108117178|XP_017084956.1|DEUG	LOC6032649|XP_038122997.1|CQUI
OG0004725	LOC108115833|XP_017082916.1|DEUG	LOC6032650|XP_038104199.1|CQUI
OG0004726	LOC108115792|XP_017082858.1|DEUG	LOC6032660|XP_038104648.1|CQUI
OG0004727	LOC108108578|XP_017072163.1|DEUG, LOC108116649|XP_017084128.1|DEUG	LOC6046598|XP_038104662.1|CQUI
OG0004728	LOC108111813|XP_017076905.1|DEUG	LOC6042430|XP_001851545.1|CQUI
OG0004729	LOC108102907|XP_017063619.1|DEUG	LOC6037482|XP_001847392.1|CQUI
OG0004730	LOC108107005|XP_017069835.1|DEUG	LOC6037484|XP_001847394.2|CQUI
OG0004731	LOC108117248|XP_017085083.1|DEUG	LOC6031661|XP_001842407.1|CQUI
OG0004732	LOC108108386|XP_017071924.1|DEUG	LOC6046292|XP_038109784.1|CQUI
OG0004733	LOC108117267|XP_017085111.1|DEUG	LOC6046295|XP_001863520.1|CQUI
OG0004734	LOC108114225|XP_017080612.1|DEUG, LOC108109563|XP_017073625.1|DEUG	LOC6046299|XP_001863524.2|CQUI
OG0004735	LOC108109373|XP_017073345.1|DEUG	LOC6039070|XP_038122825.1|CQUI
OG0004736	LOC108115991|XP_017083147.1|DEUG	LOC6048415|XP_038117705.1|CQUI
OG0004737	LOC108114937|XP_017081611.1|DEUG	LOC6039929|XP_001849427.1|CQUI
OG0004738	LOC108114987|XP_017081708.1|DEUG	LOC6039931|XP_001849429.2|CQUI
OG0004739	LOC108116637|XP_017084106.1|DEUG	LOC6039934|XP_001849431.2|CQUI
OG0004740	LOC108117557|XP_017085555.1|DEUG, LOC108104136|XP_017065559.1|DEUG	LOC6033684|XP_001844110.2|CQUI
OG0004741	LOC108117177|XP_017084950.1|DEUG	LOC6033683|XP_001844109.1|CQUI
OG0004742	LOC108102314|XP_017062577.1|DEUG	LOC6033676|XP_038108765.1|CQUI
OG0004743	LOC108117118|XP_017084836.1|DEUG	LOC6035507|XP_001845677.2|CQUI
OG0004744	LOC108105173|XP_017067110.1|DEUG	LOC6035527|XP_001845692.2|CQUI
OG0004745	LOC108114977|XP_017081692.1|DEUG	LOC119768951|XP_038116720.1|CQUI
OG0004746	LOC108116346|XP_017083650.1|DEUG	LOC6034950|XP_038105446.1|CQUI
OG0004747	LOC108116350|XP_017083653.1|DEUG	LOC6034945|XP_001845206.2|CQUI
OG0004748	LOC108116345|XP_017083648.1|DEUG	LOC6034937|XP_038122916.1|CQUI
OG0004749	LOC108117162|XP_017084924.1|DEUG	LOC6037416|XP_038116787.1|CQUI
OG0004750	LOC108109556|XP_017073617.1|DEUG	LOC6033696|XP_001844121.1|CQUI
OG0004751	LOC108105620|XP_017067790.1|DEUG	LOC6033701|XP_001844124.2|CQUI
OG0004752	LOC108115782|XP_017082843.1|DEUG	LOC6033703|XP_001844126.1|CQUI
OG0004753	LOC108117522|XP_017085509.1|DEUG	LOC6033704|XP_001844127.2|CQUI
OG0004754	LOC108116053|XP_017083240.1|DEUG	LOC6033705|XP_001844128.1|CQUI
OG0004755	LOC108117174|XP_017084947.1|DEUG	LOC6033712|XP_038117221.1|CQUI
OG0004756	LOC108117172|XP_017084945.1|DEUG	LOC6033713|XP_001844134.2|CQUI
OG0004757	LOC108116864|XP_017084419.1|DEUG	LOC6033720|XP_038105297.1|CQUI
OG0004758	LOC108105289|XP_017067267.1|DEUG	LOC6039195|XP_038122528.1|CQUI
OG0004759	LOC108109508|XP_017073545.1|DEUG	LOC6039198|XP_038122984.1|CQUI
OG0004760	LOC108111685|XP_017076719.1|DEUG	LOC6039201|XP_038105092.1|CQUI
OG0004761	LOC108117138|XP_017084883.1|DEUG	LOC6039606|XP_038112004.1|CQUI
OG0004762	LOC108106997|XP_017069826.1|DEUG	LOC6038054|XP_038114918.1|CQUI
OG0004763	LOC108116966|XP_017084610.1|DEUG	LOC6038059|XP_038105125.1|CQUI
OG0004764	LOC108111694|XP_017076731.1|DEUG	LOC6040682|XP_038104175.1|CQUI
OG0004765	LOC108117525|XP_017085512.1|DEUG	LOC6040686|XP_038114839.1|CQUI
OG0004766	LOC108117497|XP_017085464.1|DEUG	LOC6037332|XP_038116156.1|CQUI
OG0004767	LOC108114953|XP_017081627.1|DEUG	LOC6037471|XP_001847378.2|CQUI
OG0004768	LOC108114948|XP_017081622.1|DEUG	LOC6032709|XP_038115999.1|CQUI
OG0004769	LOC108115436|XP_017082361.1|DEUG	LOC6035385|XP_038104454.1|CQUI
OG0004770	LOC108105301|XP_017067284.1|DEUG	LOC6035386|XP_001845587.1|CQUI
OG0004771	LOC108111345|XP_017076264.1|DEUG	LOC6035384|XP_001845585.2|CQUI
OG0004772	LOC108109520|XP_017073563.1|DEUG	LOC6036804|XP_001846798.1|CQUI
OG0004773	LOC108110180|XP_017074593.1|DEUG	LOC6035078|XP_001845313.2|CQUI
