Orthogroup	DSUB.longest_only	AEAL.longest_only
OG0004185	LOC117900663|XP_034666995.1|DSUB	LOC115260118|XP_029716883.1|AEAL, LOC109431911|XP_019563762.2|AEAL, LOC109404389|XP_019532777.2|AEAL
OG0004186	LOC117903249|XP_034671043.1|DSUB, LOC117891953|XP_034653707.1|DSUB	LOC109431924|XP_019563774.2|AEAL, LOC109404391|XP_019532779.1|AEAL
OG0004187	LOC117898262|XP_034663406.1|DSUB	LOC109431897|XP_029727959.1|AEAL
OG0004188	LOC117896514|XP_034660771.1|DSUB	LOC109431910|XP_029727781.1|AEAL, LOC109404398|XP_029727816.1|AEAL
OG0004189	LOC117896522|XP_034660782.1|DSUB	LOC109404399|XP_019532792.2|AEAL, LOC115266073|XP_029727828.1|AEAL
OG0004190	LOC117898893|XP_034664467.1|DSUB	LOC109431926|XP_029727855.1|AEAL, LOC115266070|XP_029727811.1|AEAL, LOC109404423|XP_029727833.1|AEAL
OG0004191	LOC117898899|XP_034664472.1|DSUB	LOC109431925|XP_019563776.2|AEAL, LOC115266075|XP_029727835.1|AEAL, LOC109404422|XP_019532842.2|AEAL
OG0004192	LOC117899287|XP_034665087.1|DSUB	LOC109431838|XP_029727839.1|AEAL, LOC115266081|XP_029727852.1|AEAL
OG0004194	LOC117896689|XP_034661031.1|DSUB	LOC109431794|XP_019563605.2|AEAL
OG0004195	LOC117903319|XP_034671152.1|DSUB	LOC109431864|XP_019563674.2|AEAL, LOC115266095|XP_029727882.1|AEAL
OG0004196	LOC117896887|XP_034661307.1|DSUB	LOC109431874|XP_029727919.1|AEAL, LOC109422744|XP_029712667.1|AEAL
OG0004197	LOC117897078|XP_034661604.1|DSUB	LOC109422742|XP_019553166.2|AEAL
OG0004198	LOC117896074|XP_034659994.1|DSUB	LOC109412317|XP_019541510.2|AEAL, LOC109422712|XP_019553123.1|AEAL
OG0004199	LOC117896087|XP_034660017.1|DSUB	LOC115271063|XP_029736360.1|AEAL, LOC109422690|XP_029727930.1|AEAL
OG0004200	LOC117891056|XP_034652120.1|DSUB	LOC109401131|XP_019529154.2|AEAL, LOC109422686|XP_029727939.1|AEAL
OG0004201	LOC117896289|XP_034660397.1|DSUB	LOC109422685|XP_029727938.1|AEAL, LOC109401132|XP_019529155.2|AEAL
OG0004202	LOC117897523|XP_034662332.1|DSUB	LOC109422682|XP_019553086.1|AEAL, LOC109401134|XP_019529159.2|AEAL
OG0004203	LOC117899800|XP_034665974.1|DSUB	LOC109422552|XP_029727977.1|AEAL, LOC109401140|XP_019529163.1|AEAL
OG0004204	LOC117893836|XP_034656491.1|DSUB	LOC109422672|XP_029727948.1|AEAL, LOC115260172|XP_029716941.1|AEAL, LOC109401133|XP_019529156.2|AEAL
OG0004205	LOC117894552|XP_034657566.1|DSUB	LOC109402770|XP_029736370.1|AEAL, LOC109422549|XP_019552893.2|AEAL
OG0004206	LOC117896722|XP_034661074.1|DSUB	LOC109422649|XP_019553037.2|AEAL, LOC109402824|XP_029716861.1|AEAL
OG0004207	LOC117896734|XP_034661090.1|DSUB	LOC109402830|XP_019531108.2|AEAL, LOC109422648|XP_019553036.2|AEAL
OG0004208	LOC117898416|XP_034663677.1|DSUB	LOC109422647|XP_029736420.1|AEAL, LOC109402837|XP_029716848.1|AEAL
OG0004209	LOC117897333|XP_034661993.1|DSUB	LOC115271088|XP_029736428.1|AEAL, LOC109422642|XP_019553028.1|AEAL, LOC109402799|XP_019531058.2|AEAL
OG0004210	LOC117899505|XP_034665446.1|DSUB	LOC109402788|XP_029712208.1|AEAL, LOC109422608|XP_019552960.1|AEAL
OG0004211	LOC117901563|XP_034668251.1|DSUB	LOC109422605|XP_029712214.1|AEAL, LOC109402785|XP_029712205.1|AEAL
OG0004212	LOC117897549|XP_034662367.1|DSUB	LOC109406147|XP_019534752.1|AEAL
OG0004213	LOC117899491|XP_034665430.1|DSUB	LOC109403729|XP_029718518.1|AEAL, LOC115261288|XP_029718529.1|AEAL
OG0004214	LOC117891789|XP_034653351.1|DSUB	LOC109403717|XP_019532124.1|AEAL
OG0004215	LOC117891750|XP_034653246.1|DSUB	LOC109406567|XP_029718583.1|AEAL
OG0004216	LOC117894358|XP_034657240.1|DSUB	LOC115261322|XP_029718600.1|AEAL, LOC109413055|XP_029718611.1|AEAL
OG0004217	LOC117895367|XP_034658845.1|DSUB	LOC109413060|XP_029718617.1|AEAL, LOC109403310|XP_029718599.1|AEAL
OG0004218	LOC117903870|XP_034672251.1|DSUB	LOC109414120|XP_019543409.2|AEAL
OG0004219	LOC117897199|XP_034661792.1|DSUB	LOC115261353|XP_029718687.1|AEAL, LOC109414140|XP_029709951.1|AEAL
OG0004220	LOC117895980|XP_034659833.1|DSUB	LOC109417341|XP_029709958.1|AEAL, LOC109398814|XP_029718694.1|AEAL
OG0004221	LOC117897884|XP_034662851.1|DSUB	LOC109429210|XP_019560644.2|AEAL, LOC115271060|XP_029736350.1|AEAL
OG0004222	LOC117899273|XP_034665062.1|DSUB	LOC109398780|XP_019526716.2|AEAL, LOC115261617|XP_029719379.1|AEAL
OG0004223	LOC117898405|XP_034663659.1|DSUB	LOC109429203|XP_029718760.1|AEAL
OG0004224	LOC117898215|XP_034663332.1|DSUB	LOC109398846|XP_029718763.1|AEAL
OG0004225	LOC117894847|XP_034658405.1|DSUB, LOC117897140|XP_034662114.1|DSUB, LOC117897945|XP_034663343.1|DSUB	LOC109398850|XP_029718765.1|AEAL
OG0004226	LOC117896081|XP_034660008.1|DSUB	LOC109429179|XP_029718816.1|AEAL, LOC109398796|XP_029718780.1|AEAL
OG0004227	LOC117897223|XP_034661830.1|DSUB	LOC109429174|XP_029736197.1|AEAL, LOC109398772|XP_029718788.1|AEAL, LOC115261383|XP_029718823.1|AEAL
OG0004228	LOC117897224|XP_034661832.1|DSUB	LOC109429172|XP_029736196.1|AEAL, LOC115261385|XP_029718826.1|AEAL, LOC109398873|XP_029718793.1|AEAL
OG0004230	LOC117892081|XP_034653963.1|DSUB	LOC109398784|XP_029718846.1|AEAL, LOC109429154|XP_029718848.1|AEAL
OG0004231	LOC117895321|XP_034658779.1|DSUB	LOC109429142|XP_029730075.1|AEAL, LOC109409023|XP_029718852.1|AEAL, LOC115254067|XP_029718866.1|AEAL
OG0004232	LOC117895324|XP_034658783.1|DSUB	LOC109409022|XP_029718868.1|AEAL, LOC115253599|XP_029718857.1|AEAL, LOC109429140|XP_029730073.1|AEAL
OG0004233	LOC117895323|XP_034658782.1|DSUB	LOC115267298|XP_029730071.1|AEAL, LOC109429138|XP_029718855.1|AEAL, LOC109409021|XP_019537976.1|AEAL
OG0004234	LOC117895167|XP_034658519.1|DSUB	LOC109429125|XP_019560519.2|AEAL, LOC115261401|XP_029718875.1|AEAL, LOC109409010|XP_019537961.1|AEAL
OG0004235	LOC117903126|XP_034670846.1|DSUB	LOC115254068|XP_029718878.1|AEAL, LOC109429123|XP_019560517.2|AEAL
OG0004236	LOC117898347|XP_034663569.1|DSUB	LOC115260272|XP_029717070.1|AEAL, LOC109429092|XP_019560474.2|AEAL, LOC115261462|XP_029718997.1|AEAL
OG0004237	LOC117896146|XP_034660110.1|DSUB	LOC109411671|XP_029718991.1|AEAL, LOC109427198|XP_019558253.2|AEAL, LOC115264877|XP_029724774.1|AEAL
OG0004238	LOC117897604|XP_034662452.1|DSUB	LOC109427220|XP_019558274.1|AEAL, LOC115257312|XP_029712633.1|AEAL, LOC115261429|XP_029718939.1|AEAL
OG0004239	LOC117898080|XP_034663149.1|DSUB	LOC115269131|XP_029733398.1|AEAL, LOC115261428|XP_029718937.1|AEAL, LOC109427223|XP_019558278.2|AEAL
OG0004240	LOC117897145|XP_034661705.1|DSUB	LOC115254070|XP_029718933.1|AEAL, LOC109427231|XP_019558282.2|AEAL
OG0004241	LOC117897623|XP_034662482.1|DSUB	LOC109411603|XP_019540707.2|AEAL, LOC109427236|XP_019558301.2|AEAL
OG0004242	LOC117898910|XP_034664489.1|DSUB	LOC109411605|XP_019540709.2|AEAL, LOC115261445|XP_029718970.1|AEAL
OG0004243	LOC117893017|XP_034655264.1|DSUB	LOC115261419|XP_029718915.1|AEAL, LOC109427244|XP_019558307.2|AEAL
OG0004244	LOC117896692|XP_034661033.1|DSUB	LOC115259227|XP_029715619.1|AEAL, LOC115261418|XP_029718914.1|AEAL, LOC109411613|XP_019540714.2|AEAL
OG0004245	LOC117894699|XP_034657770.1|DSUB	LOC115261444|XP_029718966.1|AEAL, LOC109411616|XP_019540716.1|AEAL
OG0004246	LOC117893238|XP_034655686.1|DSUB	LOC115260361|XP_029717155.1|AEAL
OG0004247	LOC117897789|XP_034662731.1|DSUB	LOC115260371|XP_029717175.1|AEAL, LOC109411637|XP_029717197.1|AEAL
OG0004248	LOC117892307|XP_034654344.1|DSUB	LOC115261159|XP_029718376.1|AEAL, LOC109428146|XP_019559375.2|AEAL
OG0004249	LOC117892911|XP_034655115.1|DSUB	LOC109404495|XP_019532930.1|AEAL, LOC115254078|XP_029719069.1|AEAL, LOC109406325|XP_029719037.1|AEAL
OG0004250	LOC117902239|XP_034669375.1|DSUB	LOC109406320|XP_029719031.1|AEAL, LOC115261489|XP_029719066.1|AEAL, LOC109404491|XP_019532927.2|AEAL
OG0004251	LOC117902205|XP_034669316.1|DSUB, LOC117895598|XP_034659249.1|DSUB	LOC109406300|XP_029719026.1|AEAL, LOC109404468|XP_029719056.1|AEAL, LOC115253606|XP_029719112.1|AEAL
OG0004252	LOC117896130|XP_034660082.1|DSUB	LOC115261474|XP_029719025.1|AEAL, LOC109406317|XP_019534957.2|AEAL, LOC115261483|XP_029719053.1|AEAL, LOC109404484|XP_029719123.1|AEAL
OG0004253	LOC117899494|XP_034665434.1|DSUB	LOC109406308|XP_029719133.1|AEAL, LOC109404466|XP_029719044.1|AEAL
OG0004254	LOC117898541|XP_034663913.1|DSUB	LOC109404509|XP_019532953.1|AEAL, LOC109406294|XP_029719138.1|AEAL
OG0004255	LOC117901272|XP_034667857.1|DSUB	LOC109416180|XP_019545704.2|AEAL
OG0004256	LOC117892005|XP_034653782.1|DSUB	LOC109416625|XP_029719262.1|AEAL, LOC115261555|XP_029719286.1|AEAL, LOC109432834|XP_029719288.1|AEAL
OG0004257	LOC117898610|XP_034664054.1|DSUB	LOC115261547|XP_029719259.1|AEAL, LOC109416623|XP_029719278.1|AEAL, LOC109432832|XP_029719281.1|AEAL
OG0004258	LOC117899580|XP_034665585.1|DSUB	LOC115253901|XP_029719297.1|AEAL, LOC109432842|XP_029719299.1|AEAL, LOC109416622|XP_029719258.1|AEAL
OG0004259	LOC117892259|XP_034654266.1|DSUB	LOC109432843|XP_029719256.1|AEAL, LOC115261657|XP_029719420.1|AEAL, LOC109416621|XP_029719300.1|AEAL
OG0004261	LOC117898216|XP_034663335.1|DSUB	LOC109401442|XP_029710320.1|AEAL
OG0004262	LOC117896846|XP_034661262.1|DSUB	LOC109411908|XP_029733109.1|AEAL, LOC109406243|XP_019534847.2|AEAL
OG0004263	LOC117896659|XP_034660997.1|DSUB	LOC109411919|XP_029733058.1|AEAL
OG0004264	LOC117898955|XP_034664584.1|DSUB	LOC109411929|XP_019541121.1|AEAL
OG0004265	LOC117898890|XP_034664463.1|DSUB	LOC109411954|XP_019541154.2|AEAL
OG0004266	LOC117898511|XP_034663860.1|DSUB	LOC109417145|XP_019546812.2|AEAL, LOC109411959|XP_029730101.1|AEAL
OG0004267	LOC117897846|XP_034662802.1|DSUB	LOC109411962|XP_019541166.1|AEAL
OG0004268	LOC117892192|XP_034654172.1|DSUB	LOC109411974|XP_019541180.2|AEAL
OG0004269	LOC117892302|XP_034654339.1|DSUB	LOC109424541|XP_029734023.1|AEAL, LOC115269143|XP_029733414.1|AEAL, LOC109428752|XP_029734054.1|AEAL
OG0004270	LOC117892530|XP_034654725.1|DSUB	LOC109424535|XP_019555258.1|AEAL, LOC115269435|XP_029734059.1|AEAL, LOC115269426|XP_029734016.1|AEAL
OG0004271	LOC117891795|XP_034653360.1|DSUB	LOC109424531|XP_019555249.2|AEAL, LOC109428760|XP_029734011.1|AEAL
OG0004272	LOC117898359|XP_034663585.1|DSUB	LOC115269425|XP_029734009.1|AEAL, LOC109424529|XP_019555247.1|AEAL, LOC115269446|XP_029734071.1|AEAL
OG0004273	LOC117898602|XP_034664042.1|DSUB	LOC115253801|XP_029734010.1|AEAL, LOC109424527|XP_019555245.2|AEAL, LOC109428766|XP_019560145.2|AEAL
OG0004274	LOC117903435|XP_034671350.1|DSUB, LOC117903402|XP_034671288.1|DSUB	LOC109424520|XP_029734003.1|AEAL, LOC109428772|XP_029734075.1|AEAL, LOC115269444|XP_029734068.1|AEAL
OG0004275	LOC117898863|XP_034664436.1|DSUB	LOC109397774|XP_029733980.1|AEAL, LOC109428796|XP_029733953.1|AEAL
OG0004276	LOC117894142|XP_034656927.1|DSUB	LOC109409115|XP_029719808.1|AEAL
OG0004277	LOC117895078|XP_034658357.1|DSUB	LOC109400458|XP_029709763.1|AEAL, LOC109405224|XP_029724623.1|AEAL, LOC109400483|XP_019528544.2|AEAL, LOC115264547|XP_029724200.1|AEAL, LOC109405252|XP_019533834.1|AEAL
OG0004278	LOC117892959|XP_034655186.1|DSUB	LOC109405317|XP_019533903.2|AEAL, LOC115264539|XP_029724148.1|AEAL
OG0004279	LOC117900730|XP_034667095.1|DSUB	LOC109399334|XP_019527320.2|AEAL
OG0004280	LOC117889618|XP_034649934.1|DSUB	LOC109405701|XP_029724211.1|AEAL, LOC109399236|XP_029724152.1|AEAL
OG0004281	LOC117891132|XP_034652231.1|DSUB	LOC109401609|XP_019529730.2|AEAL, LOC109398916|XP_019526915.2|AEAL
OG0004282	LOC117890700|XP_034651601.1|DSUB	LOC109398913|XP_029724257.1|AEAL, LOC109401571|XP_019529690.1|AEAL
OG0004283	LOC117890752|XP_034651702.1|DSUB	LOC109401579|XP_019529698.1|AEAL, LOC109398914|XP_019526913.1|AEAL
OG0004284	LOC117900100|XP_034666211.1|DSUB	LOC115264587|XP_029724300.1|AEAL, LOC109431999|XP_029724299.1|AEAL, LOC109431299|XP_019563061.2|AEAL
OG0004285	LOC117898032|XP_034663062.1|DSUB	LOC109432019|XP_019563869.2|AEAL, LOC115264573|XP_029724269.1|AEAL
OG0004286	LOC117895068|XP_034658342.1|DSUB	LOC115264574|XP_029724277.1|AEAL, LOC109431973|XP_019563815.2|AEAL
OG0004287	LOC117895070|XP_034658344.1|DSUB	LOC109431303|XP_019563064.2|AEAL, LOC109432003|XP_029724295.1|AEAL, LOC115264575|XP_029724279.1|AEAL
OG0004288	LOC117895480|XP_034659050.1|DSUB	LOC109431318|XP_029724292.1|AEAL, LOC115264576|XP_029724280.1|AEAL, LOC109407711|XP_019536409.1|AEAL
OG0004289	LOC117895402|XP_034658922.1|DSUB	LOC109420097|XP_029724381.1|AEAL, LOC109409392|XP_029724377.1|AEAL
OG0004290	LOC117890740|XP_034651682.1|DSUB	LOC115264664|XP_029724470.1|AEAL, LOC109415896|XP_029716602.1|AEAL, LOC115264640|XP_029724399.1|AEAL
OG0004291	LOC117891042|XP_034652102.1|DSUB	LOC115264688|XP_029724531.1|AEAL, LOC109401549|XP_029724517.1|AEAL, LOC109402894|XP_019531174.1|AEAL
OG0004292	LOC117893299|XP_034655766.1|DSUB	LOC115264678|XP_029724514.1|AEAL, LOC109401541|XP_029724477.1|AEAL, LOC115264690|XP_029724533.1|AEAL
OG0004293	LOC117893814|XP_034656455.1|DSUB	LOC109401550|XP_029724508.1|AEAL, LOC109402893|XP_029724536.1|AEAL, LOC115253686|XP_029724479.1|AEAL
OG0004294	LOC117894550|XP_034657562.1|DSUB	LOC109402895|XP_029724489.1|AEAL, LOC109411821|XP_029724500.1|AEAL, LOC115253721|XP_029724545.1|AEAL
OG0004295	LOC117893438|XP_034655946.1|DSUB	LOC115264671|XP_029724492.1|AEAL, LOC109402885|XP_029724551.1|AEAL
OG0004296	LOC117895742|XP_034659499.1|DSUB	LOC115264784|XP_029724658.1|AEAL, LOC109402897|XP_029724495.1|AEAL, LOC109411830|XP_029724650.1|AEAL
OG0004297	LOC117891445|XP_034652815.1|DSUB	LOC109422249|XP_019552408.1|AEAL, LOC109621771|XP_019931449.1|AEAL
OG0004298	LOC117890377|XP_034651065.1|DSUB	LOC115264696|XP_029724560.1|AEAL, LOC109422261|XP_019552420.2|AEAL
OG0004299	LOC117891140|XP_034652240.1|DSUB	LOC109422269|XP_029716618.1|AEAL, LOC115259956|XP_029716614.1|AEAL
OG0004300	LOC117892314|XP_034654356.1|DSUB	LOC109403273|XP_019531622.1|AEAL, LOC115257427|XP_029712869.1|AEAL, LOC109418814|XP_019548586.1|AEAL
OG0004301	LOC117893293|XP_034655755.1|DSUB	LOC109418813|XP_019548585.2|AEAL, LOC109403267|XP_019531607.2|AEAL
OG0004302	LOC117891573|XP_034652988.1|DSUB	LOC109405820|XP_029713860.1|AEAL, LOC109418843|XP_019548623.2|AEAL
OG0004303	LOC117890069|XP_034650599.1|DSUB	LOC109420300|XP_029713114.1|AEAL, LOC109420330|XP_029713105.1|AEAL
OG0004304	LOC117891405|XP_034652742.1|DSUB	LOC109420331|XP_029712781.1|AEAL, LOC109401674|XP_029713549.1|AEAL
OG0004305	LOC117891112|XP_034652197.1|DSUB	LOC109401632|XP_029713294.1|AEAL, LOC115257360|XP_029712706.1|AEAL
OG0004306	LOC117891507|XP_034652889.1|DSUB	LOC109402271|XP_019530466.2|AEAL, LOC109433177|XP_029712907.1|AEAL, LOC115257895|XP_029713737.1|AEAL
OG0004307	LOC117890127|XP_034650705.1|DSUB	LOC109433168|XP_029712910.1|AEAL, LOC109402264|XP_029713704.1|AEAL
OG0004308	LOC117890927|XP_034651948.1|DSUB	LOC115257779|XP_029713594.1|AEAL, LOC109402280|XP_029713589.1|AEAL, LOC109433180|XP_019565131.1|AEAL
OG0004309	LOC117894643|XP_034657706.1|DSUB	LOC109403475|XP_019531850.1|AEAL, LOC109400009|XP_019528021.1|AEAL
OG0004310	LOC117889804|XP_034650172.1|DSUB	LOC109424498|XP_029708332.1|AEAL
OG0004311	LOC117894750|XP_034657852.1|DSUB	LOC109422398|XP_019552721.2|AEAL
OG0004312	LOC117890946|XP_034651972.1|DSUB	LOC109422395|XP_019552717.1|AEAL, LOC109424491|XP_019555195.2|AEAL
OG0004313	LOC117891756|XP_034653258.1|DSUB	LOC109422393|XP_029733169.1|AEAL, LOC109424490|XP_029719557.1|AEAL
OG0004314	LOC117892082|XP_034653959.1|DSUB	LOC109422375|XP_029729565.1|AEAL
OG0004315	LOC117891749|XP_034653245.1|DSUB	LOC109422372|XP_019552665.1|AEAL, LOC109424464|XP_019555143.1|AEAL
OG0004316	LOC117890357|XP_034651042.1|DSUB	LOC109422371|XP_029729575.1|AEAL, LOC109424465|XP_029716860.1|AEAL
OG0004317	LOC117890584|XP_034651413.1|DSUB	LOC109422364|XP_029729578.1|AEAL, LOC109424460|XP_029716838.1|AEAL
OG0004319	LOC117892589|XP_034654819.1|DSUB	LOC109422333|XP_019552566.2|AEAL
OG0004320	LOC117896413|XP_034660620.1|DSUB	LOC109424458|XP_019555135.2|AEAL, LOC109422362|XP_029716858.1|AEAL
OG0004321	LOC117901036|XP_034667532.1|DSUB	LOC109418701|XP_019548476.2|AEAL, LOC109415943|XP_019545447.2|AEAL
OG0004322	LOC117897056|XP_034661541.1|DSUB	LOC109415941|XP_019545444.2|AEAL
OG0004323	LOC117895696|XP_034659434.1|DSUB	LOC109412921|XP_019542113.1|AEAL, LOC109418690|XP_029716790.1|AEAL
OG0004324	LOC117902668|XP_034670089.1|DSUB	LOC109412922|XP_019542116.2|AEAL, LOC109418691|XP_019548456.2|AEAL
OG0004325	LOC117891298|XP_034652596.1|DSUB	LOC109418686|XP_019548442.2|AEAL, LOC109412912|XP_019542108.2|AEAL
OG0004326	LOC117891294|XP_034652590.1|DSUB	LOC109418674|XP_029719584.1|AEAL, LOC109414804|XP_029729563.1|AEAL
OG0004327	LOC117903450|XP_034671374.1|DSUB	LOC109405258|XP_019533835.1|AEAL
OG0004328	LOC117891460|XP_034652834.1|DSUB	LOC109405249|XP_019533832.1|AEAL
OG0004330	LOC117891335|XP_034652646.1|DSUB	LOC109418576|XP_019548332.2|AEAL
OG0004331	LOC117890037|XP_034650546.1|DSUB	LOC109418567|XP_019548319.2|AEAL
OG0004332	LOC117900036|XP_034666116.1|DSUB	LOC109413116|XP_019542378.2|AEAL
OG0004333	LOC117902578|XP_034669963.1|DSUB	LOC109413104|XP_019542357.2|AEAL, LOC115253990|XP_029712760.1|AEAL, LOC109418539|XP_019548290.2|AEAL
OG0004334	LOC117901750|XP_034668527.1|DSUB	LOC115257602|XP_029713262.1|AEAL, LOC109413094|XP_029713107.1|AEAL
OG0004335	LOC117892332|XP_034654376.1|DSUB	LOC109413092|XP_029713252.1|AEAL, LOC109418534|XP_019548279.2|AEAL
OG0004336	LOC117891980|XP_034653746.1|DSUB	LOC109413089|XP_019542330.2|AEAL, LOC115257444|XP_029712894.1|AEAL
OG0004337	LOC117902818|XP_034670335.1|DSUB	LOC109418514|XP_029713278.1|AEAL, LOC109413087|XP_019542325.2|AEAL
OG0004338	LOC117894482|XP_034657476.1|DSUB	LOC109413081|XP_029713090.1|AEAL, LOC115253778|XP_029713430.1|AEAL, LOC115257693|XP_029713421.1|AEAL
OG0004339	LOC117891054|XP_034652117.1|DSUB	LOC109418506|XP_019548254.1|AEAL, LOC109413079|XP_019542292.2|AEAL
OG0004340	LOC117891053|XP_034652116.1|DSUB	LOC109418505|XP_019548253.2|AEAL, LOC109413078|XP_019542291.2|AEAL
OG0004341	LOC117892093|XP_034653978.1|DSUB	LOC109413070|XP_029713418.1|AEAL
OG0004342	LOC117891314|XP_034652617.1|DSUB	LOC109418486|XP_019548235.2|AEAL
OG0004343	LOC117890573|XP_034651400.1|DSUB	LOC109621516|XP_029712725.1|AEAL
OG0004344	LOC117892649|XP_034654897.1|DSUB	LOC109398506|XP_029721520.1|AEAL, LOC109417365|XP_029713261.1|AEAL
OG0004345	LOC117901509|XP_034668170.1|DSUB	LOC109431048|XP_029721522.1|AEAL, LOC109407799|XP_019536504.2|AEAL
OG0004346	LOC117891317|XP_034652622.1|DSUB	LOC109431029|XP_029719456.1|AEAL, LOC115262774|XP_029721507.1|AEAL
OG0004347	LOC117890518|XP_034651313.1|DSUB	LOC109431042|XP_029721502.1|AEAL
OG0004348	LOC117889726|XP_034650039.1|DSUB	LOC109431061|XP_019562742.2|AEAL, LOC109433407|XP_029721480.1|AEAL
OG0004349	LOC117892387|XP_034654488.1|DSUB	LOC109433031|XP_029708337.1|AEAL, LOC109425809|XP_029721454.1|AEAL
OG0004350	LOC117891928|XP_034653653.1|DSUB	LOC109433228|XP_029720861.1|AEAL, LOC109425687|XP_029730481.1|AEAL, LOC115259643|XP_029716279.1|AEAL, LOC115262760|XP_029721447.1|AEAL
OG0004351	LOC117891146|XP_034652284.1|DSUB	LOC109413546|XP_029721413.1|AEAL, LOC109425656|XP_029721419.1|AEAL
OG0004352	LOC117896059|XP_034659963.1|DSUB	LOC109407902|XP_019536629.2|AEAL, LOC109413553|XP_019542781.2|AEAL
OG0004353	LOC117898779|XP_034664306.1|DSUB	LOC115253717|XP_029721409.1|AEAL, LOC109407901|XP_029721429.1|AEAL
OG0004354	LOC117898780|XP_034664307.1|DSUB	LOC109413556|XP_019542787.1|AEAL, LOC109407906|XP_029716865.1|AEAL, LOC115262757|XP_029721432.1|AEAL
OG0004355	LOC117897418|XP_034662137.1|DSUB	LOC109401254|XP_019529267.2|AEAL
OG0004356	LOC117892147|XP_034654084.1|DSUB	LOC109413586|XP_029715512.1|AEAL, LOC109401260|XP_029721393.1|AEAL
OG0004357	LOC117891925|XP_034653647.1|DSUB	LOC109413612|XP_029721382.1|AEAL, LOC109401274|XP_029721572.1|AEAL
OG0004358	LOC117890431|XP_034651151.1|DSUB	LOC115262721|XP_029721271.1|AEAL, LOC109401245|XP_029721381.1|AEAL
OG0004359	LOC117891821|XP_034653444.1|DSUB	LOC109413626|XP_029721351.1|AEAL, LOC109401264|XP_029721266.1|AEAL
OG0004360	LOC117894063|XP_034656807.1|DSUB	LOC109401244|XP_019529257.2|AEAL, LOC115262714|XP_029721262.1|AEAL, LOC115262706|XP_029721241.1|AEAL, LOC109623317|XP_019933392.2|AEAL
OG0004361	LOC117897602|XP_034662451.1|DSUB	LOC109623311|XP_019933384.2|AEAL, LOC115262699|XP_029721220.1|AEAL, LOC109401316|XP_019529365.2|AEAL
OG0004362	LOC117895363|XP_034658837.1|DSUB	LOC109623308|XP_019933379.2|AEAL, LOC115262594|XP_029720852.1|AEAL, LOC109401195|XP_019529215.2|AEAL
OG0004363	LOC117897666|XP_034662558.1|DSUB	LOC109401294|XP_019529337.2|AEAL, LOC109623302|XP_019933367.2|AEAL, LOC115262712|XP_029721257.1|AEAL
OG0004364	LOC117891796|XP_034653361.1|DSUB	LOC109623290|XP_019933349.2|AEAL, LOC109401196|XP_019529216.2|AEAL
OG0004365	LOC117891702|XP_034653185.1|DSUB	LOC109401307|XP_019529355.2|AEAL, LOC109623270|XP_019933327.2|AEAL
OG0004366	LOC117900733|XP_034667099.1|DSUB	LOC109401171|XP_019529196.2|AEAL
OG0004367	LOC117895777|XP_034659564.1|DSUB	LOC109401170|XP_019529195.2|AEAL
OG0004368	LOC117895353|XP_034658828.1|DSUB	LOC109413631|XP_019542890.2|AEAL, LOC109426881|XP_019557986.2|AEAL
OG0004369	LOC117892042|XP_034653858.1|DSUB	LOC109623365|XP_029721176.1|AEAL, LOC115262804|XP_029721556.1|AEAL
OG0004370	LOC117890722|XP_034651656.1|DSUB	LOC109426927|XP_019558034.2|AEAL
OG0004371	LOC117903300|XP_034671123.1|DSUB	LOC109623344|XP_019933445.2|AEAL, LOC109426940|XP_019558052.2|AEAL
OG0004372	LOC117891360|XP_034652686.1|DSUB	LOC109426942|XP_029711985.1|AEAL, LOC109623345|XP_029721151.1|AEAL
OG0004373	LOC117892593|XP_034654823.1|DSUB	LOC109427036|XP_029720832.1|AEAL
OG0004374	LOC117891158|XP_034652306.1|DSUB	LOC115262655|XP_029721058.1|AEAL, LOC109424724|XP_029721538.1|AEAL
OG0004375	LOC117893295|XP_034655759.1|DSUB	LOC109424717|XP_019555420.2|AEAL
OG0004376	LOC117894338|XP_034657214.1|DSUB	LOC115262650|XP_029721030.1|AEAL, LOC109424672|XP_019555385.2|AEAL
OG0004377	LOC117893790|XP_034656424.1|DSUB	LOC109412040|XP_019541227.2|AEAL
OG0004378	LOC117890093|XP_034650644.1|DSUB	LOC109424624|XP_029721018.1|AEAL
OG0004379	LOC117891718|XP_034653202.1|DSUB	LOC109412057|XP_019541247.1|AEAL
OG0004380	LOC117891186|XP_034652409.1|DSUB	LOC109421945|XP_019552128.1|AEAL, LOC109408610|XP_019537481.2|AEAL
OG0004381	LOC117898202|XP_034663314.1|DSUB	LOC109421941|XP_019552122.2|AEAL
OG0004382	LOC117892505|XP_034654672.1|DSUB	LOC109421918|XP_019552043.2|AEAL, LOC109432635|XP_029721002.1|AEAL
OG0004383	LOC117891347|XP_034652668.1|DSUB	LOC109421916|XP_029721005.1|AEAL, LOC109432717|XP_019564647.2|AEAL
OG0004384	LOC117891354|XP_034652677.1|DSUB	LOC109421917|XP_019552042.2|AEAL, LOC109432652|XP_019564560.2|AEAL
OG0004386	LOC117890410|XP_034651113.1|DSUB	LOC109421901|XP_029730706.1|AEAL, LOC115267702|XP_029730713.1|AEAL
OG0004387	LOC117895743|XP_034659500.1|DSUB	LOC109408779|XP_019537710.2|AEAL, LOC109432665|XP_029730729.1|AEAL
