Orthogroup	DNOV.longest_only	CCAP.longest_only
OG0004803	LOC115771832|XP_030573572.1|DNOV	CCAP1982_LOCUS1910|CAD6993080.1|CCAP
OG0004804	LOC115766047|XP_030565684.1|DNOV	CCAP1982_LOCUS2450|CAD6993640.1|CCAP
OG0004805	LOC115761948|XP_030559844.1|DNOV	CCAP1982_LOCUS3785|CAD6995060.1|CCAP, CCAP1982_LOCUS3786|CAD6995062.1|CCAP
OG0004808	LOC115761224|XP_030558774.1|DNOV	CCAP1982_LOCUS1742|CAD6992909.1|CCAP
OG0004809	LOC115757698|XP_030553902.1|DNOV	CCAP1982_LOCUS1427|CAD6992579.1|CCAP
OG0004810	LOC115757696|XP_030553900.1|DNOV	CCAP1982_LOCUS1425|CAD6992577.1|CCAP
OG0004811	LOC115770218|XP_030571275.1|DNOV	CCAP1982_LOCUS14036|CAD7005683.1|CCAP
OG0004812	LOC115761990|XP_030559907.1|DNOV	CCAP1982_LOCUS3782|CAD6995056.1|CCAP
OG0004813	LOC115771622|XP_030573262.1|DNOV	CCAP1982_LOCUS3445|CAD6994712.1|CCAP
OG0004814	LOC115757663|XP_030553840.1|DNOV	CCAP1982_LOCUS3302|CAD6994562.1|CCAP, CCAP1982_LOCUS9646|CAD7001148.1|CCAP
OG0004818	LOC115759504|XP_030556305.1|DNOV	CCAP1982_LOCUS1589|CAD6992744.1|CCAP
OG0004819	LOC115764649|XP_030563687.1|DNOV	CCAP1982_LOCUS2225|CAD6993410.1|CCAP
OG0004820	LOC115761226|XP_030558775.1|DNOV	CCAP1982_LOCUS3104|CAD6994349.1|CCAP
OG0004821	LOC115761217|XP_030558767.1|DNOV	CCAP1982_LOCUS1361|CAD6992512.1|CCAP
OG0004822	LOC115771776|XP_030573490.1|DNOV	CCAP1982_LOCUS4095|CAD6995377.1|CCAP, CCAP1982_LOCUS4094|CAD6995376.1|CCAP
OG0004823	LOC115764162|XP_030562899.1|DNOV	CCAP1982_LOCUS1299|CAD6992437.1|CCAP
OG0004824	LOC115764163|XP_030562908.1|DNOV	CCAP1982_LOCUS1298|CAD6992436.1|CCAP
OG0004825	LOC115766801|XP_030566686.1|DNOV	CCAP1982_LOCUS10241|CAD7001751.1|CCAP
OG0004826	LOC115764738|XP_030563813.1|DNOV	CCAP1982_LOCUS1194|CAD6992329.1|CCAP
OG0004827	LOC115764068|XP_030562776.1|DNOV	CCAP1982_LOCUS3459|CAD6994726.1|CCAP
OG0004828	LOC115764797|XP_030563902.1|DNOV	CCAP1982_LOCUS3272|CAD6994528.1|CCAP
OG0004829	LOC115764093|XP_030562806.1|DNOV	CCAP1982_LOCUS2558|CAD6993759.1|CCAP
OG0004830	LOC115771702|XP_030573382.1|DNOV	CCAP1982_LOCUS3815|CAD6995092.1|CCAP, CCAP1982_LOCUS3820|CAD6995097.1|CCAP
OG0004831	LOC115762655|XP_030560822.1|DNOV	CCAP1982_LOCUS22935|CAD7014975.1|CCAP, CCAP1982_LOCUS22936|CAD7014976.1|CCAP
OG0004832	LOC115764699|XP_030563757.1|DNOV	CCAP1982_LOCUS2930|CAD6994165.1|CCAP
OG0004833	LOC115766216|XP_030565928.1|DNOV	CCAP1982_LOCUS18|CAD6991069.1|CCAP
OG0004834	LOC115764672|XP_030563719.1|DNOV	CCAP1982_LOCUS1821|CAD6992990.1|CCAP
OG0004835	LOC115771848|XP_030573590.1|DNOV	CCAP1982_LOCUS1817|CAD6992986.1|CCAP
OG0004836	LOC115771728|XP_030573412.1|DNOV	CCAP1982_LOCUS4022|CAD6995303.1|CCAP
OG0004838	LOC115765077|XP_030564313.1|DNOV	CCAP1982_LOCUS3502|CAD6994771.1|CCAP
OG0004839	LOC115765035|XP_030564259.1|DNOV	CCAP1982_LOCUS3499|CAD6994768.1|CCAP
OG0004840	LOC115770599|XP_030571796.1|DNOV	CCAP1982_LOCUS5057|CAD6996378.1|CCAP
OG0004842	LOC115764884|XP_030564025.1|DNOV	CCAP1982_LOCUS23403|CAD7015463.1|CCAP
OG0004843	LOC115761275|XP_030558851.1|DNOV	CCAP1982_LOCUS2087|CAD6993271.1|CCAP
OG0004844	LOC115763651|XP_030562178.1|DNOV	CCAP1982_LOCUS227|CAD6991298.1|CCAP
OG0004845	LOC115763652|XP_030562179.1|DNOV	CCAP1982_LOCUS226|CAD6991297.1|CCAP
OG0004846	LOC115759729|XP_030556609.1|DNOV	CCAP1982_LOCUS8381|CAD6999871.1|CCAP
OG0004847	LOC115759726|XP_030556605.1|DNOV	CCAP1982_LOCUS8382|CAD6999872.1|CCAP
OG0004850	LOC115765698|XP_030565214.1|DNOV	CCAP1982_LOCUS3565|CAD6994834.1|CCAP
OG0004851	LOC115765606|XP_030565117.1|DNOV	CCAP1982_LOCUS3554|CAD6994823.1|CCAP, CCAP1982_LOCUS3569|CAD6994838.1|CCAP
OG0004852	LOC115765611|XP_030565121.1|DNOV	CCAP1982_LOCUS3586|CAD6994852.1|CCAP, CCAP1982_LOCUS3588|CAD6994853.1|CCAP
OG0004853	LOC115760665|XP_030557992.1|DNOV	CCAP1982_LOCUS22308|CAD7014308.1|CCAP
OG0004854	LOC115771128|XP_030572554.1|DNOV	CCAP1982_LOCUS11578|CAD7003116.1|CCAP
OG0004855	LOC115770337|XP_030571438.1|DNOV	CCAP1982_LOCUS11428|CAD7002964.1|CCAP
OG0004856	LOC115766717|XP_030566517.1|DNOV	CCAP1982_LOCUS10937|CAD7002448.1|CCAP
OG0004857	LOC115769409|XP_030570071.1|DNOV	CCAP1982_LOCUS11116|CAD7002632.1|CCAP
OG0004858	LOC115770391|XP_030571503.1|DNOV	CCAP1982_LOCUS10955|CAD7002466.1|CCAP
OG0004859	LOC115770495|XP_030571650.1|DNOV	CCAP1982_LOCUS10958|CAD7002469.1|CCAP
OG0004860	LOC115771097|XP_030572516.1|DNOV	CCAP1982_LOCUS11066|CAD7002579.1|CCAP
OG0004861	LOC115769578|XP_030570305.1|DNOV	CCAP1982_LOCUS12112|CAD7003675.1|CCAP, CCAP1982_LOCUS12114|CAD7003677.1|CCAP
OG0004862	LOC115769756|XP_030570561.1|DNOV	CCAP1982_LOCUS12141|CAD7003704.1|CCAP
OG0004863	LOC115769518|XP_030570219.1|DNOV	CCAP1982_LOCUS12888|CAD7004484.1|CCAP
OG0004864	LOC115769527|XP_030570230.1|DNOV	CCAP1982_LOCUS11524|CAD7003061.1|CCAP
OG0004865	LOC115765053|XP_030564287.1|DNOV	CCAP1982_LOCUS2749|CAD6993964.1|CCAP
OG0004866	LOC115769368|XP_030570011.1|DNOV	CCAP1982_LOCUS13141|CAD7004748.1|CCAP
OG0004867	LOC115762260|XP_030560276.1|DNOV	CCAP1982_LOCUS22038|CAD7014032.1|CCAP
OG0004868	LOC115762285|XP_030560309.1|DNOV	CCAP1982_LOCUS22037|CAD7014031.1|CCAP
OG0004869	LOC115757974|XP_030554356.1|DNOV	CCAP1982_LOCUS21809|CAD7013788.1|CCAP
OG0004870	LOC115770229|XP_030571332.1|DNOV	CCAP1982_LOCUS21814|CAD7013793.1|CCAP
OG0004871	LOC115764703|XP_030563764.1|DNOV	CCAP1982_LOCUS21377|CAD7013306.1|CCAP
OG0004872	LOC115760989|XP_030558457.1|DNOV	CCAP1982_LOCUS7248|CAD6998690.1|CCAP
OG0004873	LOC115759850|XP_030556806.1|DNOV	CCAP1982_LOCUS8825|CAD7000342.1|CCAP
OG0004874	LOC115764788|XP_030563889.1|DNOV	CCAP1982_LOCUS783|CAD6991892.1|CCAP
OG0004877	LOC115766988|XP_030566948.1|DNOV	CCAP1982_LOCUS14965|CAD7006662.1|CCAP
OG0004878	LOC115761358|XP_030558969.1|DNOV	CCAP1982_LOCUS21200|CAD7013128.1|CCAP
OG0004879	LOC115759583|XP_030556414.1|DNOV	CCAP1982_LOCUS20497|CAD7012410.1|CCAP
OG0004880	LOC115770190|XP_030571213.1|DNOV	CCAP1982_LOCUS13491|CAD7005129.1|CCAP
OG0004881	LOC115769890|XP_030570765.1|DNOV	CCAP1982_LOCUS11318|CAD7002849.1|CCAP
OG0004882	LOC115769475|XP_030570153.1|DNOV	CCAP1982_LOCUS12759|CAD7004343.1|CCAP
OG0004883	LOC115770063|XP_030571020.1|DNOV	CCAP1982_LOCUS13230|CAD7004844.1|CCAP
OG0004884	LOC115760515|XP_030557740.1|DNOV	CCAP1982_LOCUS21713|CAD7013670.1|CCAP
OG0004886	LOC115760891|XP_030558316.1|DNOV	CCAP1982_LOCUS7085|CAD6998494.1|CCAP
OG0004887	LOC115761036|XP_030558509.1|DNOV	CCAP1982_LOCUS22356|CAD7014359.1|CCAP
OG0004888	LOC115762820|XP_030561044.1|DNOV	CCAP1982_LOCUS22112|CAD7014106.1|CCAP
OG0004889	LOC115765458|XP_030564905.1|DNOV	CCAP1982_LOCUS8569|CAD7000067.1|CCAP
OG0004890	LOC115760043|XP_030557074.1|DNOV	CCAP1982_LOCUS21242|CAD7013171.1|CCAP
OG0004892	LOC115758099|XP_030554483.1|DNOV	CCAP1982_LOCUS19617|CAD7011528.1|CCAP
OG0004893	LOC115761840|XP_030559685.1|DNOV	CCAP1982_LOCUS20552|CAD7012472.1|CCAP
OG0004894	LOC115761006|XP_030558477.1|DNOV	CCAP1982_LOCUS23113|CAD7015163.1|CCAP
OG0004895	LOC115760722|XP_030558054.1|DNOV	CCAP1982_LOCUS22245|CAD7014242.1|CCAP
OG0004896	LOC115761168|XP_030558730.1|DNOV	CCAP1982_LOCUS23034|CAD7015078.1|CCAP
OG0004897	LOC115761025|XP_030558534.1|DNOV	CCAP1982_LOCUS23039|CAD7015084.1|CCAP
OG0004898	LOC115761081|XP_030558560.1|DNOV	CCAP1982_LOCUS22377|CAD7014382.1|CCAP
OG0004899	LOC115762312|XP_030560339.1|DNOV	CCAP1982_LOCUS22723|CAD7014746.1|CCAP
OG0004900	LOC115771013|XP_030572392.1|DNOV	CCAP1982_LOCUS22618|CAD7014627.1|CCAP
OG0004901	LOC115761632|XP_030559325.1|DNOV	CCAP1982_LOCUS22617|CAD7014626.1|CCAP
OG0004902	LOC115767655|XP_030567803.1|DNOV	CCAP1982_LOCUS11611|CAD7003150.1|CCAP
OG0004903	LOC115761154|XP_030558685.1|DNOV	CCAP1982_LOCUS22573|CAD7014574.1|CCAP
OG0004904	LOC115764817|XP_030563926.1|DNOV	CCAP1982_LOCUS21459|CAD7013394.1|CCAP
OG0004905	LOC115760981|XP_030558444.1|DNOV	CCAP1982_LOCUS7092|CAD6998501.1|CCAP
OG0004906	LOC115769604|XP_030570355.1|DNOV	CCAP1982_LOCUS12916|CAD7004518.1|CCAP
OG0004907	LOC115769813|XP_030570642.1|DNOV	CCAP1982_LOCUS13144|CAD7004751.1|CCAP
OG0004908	LOC115762674|XP_030560849.1|DNOV	CCAP1982_LOCUS11719|CAD7003257.1|CCAP
OG0004909	LOC115762906|XP_030561143.1|DNOV	CCAP1982_LOCUS11729|CAD7003267.1|CCAP
OG0004910	LOC115762905|XP_030561142.1|DNOV	CCAP1982_LOCUS14793|CAD7006475.1|CCAP
OG0004911	LOC115771052|XP_030572459.1|DNOV	CCAP1982_LOCUS13091|CAD7004698.1|CCAP
OG0004912	LOC115769569|XP_030570285.1|DNOV	CCAP1982_LOCUS12917|CAD7004519.1|CCAP
OG0004913	LOC115762108|XP_030560069.1|DNOV	CCAP1982_LOCUS22039|CAD7014033.1|CCAP
OG0004914	LOC115762506|XP_030560606.1|DNOV	CCAP1982_LOCUS22044|CAD7014038.1|CCAP
OG0004916	LOC115761056|XP_030558531.1|DNOV	CCAP1982_LOCUS22427|CAD7014431.1|CCAP
OG0004917	LOC115762749|XP_030560947.1|DNOV	CCAP1982_LOCUS14901|CAD7006590.1|CCAP
OG0004918	LOC115762660|XP_030560826.1|DNOV	CCAP1982_LOCUS14903|CAD7006592.1|CCAP
OG0004919	LOC115771627|XP_030573270.1|DNOV	CCAP1982_LOCUS442|CAD6991523.1|CCAP
OG0004920	LOC115770211|XP_030571270.1|DNOV	CCAP1982_LOCUS14464|CAD7006135.1|CCAP
OG0004921	LOC115771205|XP_030572665.1|DNOV	CCAP1982_LOCUS13031|CAD7004636.1|CCAP
OG0004922	LOC115771215|XP_030572675.1|DNOV	CCAP1982_LOCUS11225|CAD7002751.1|CCAP
OG0004923	LOC115762597|XP_030560749.1|DNOV	CCAP1982_LOCUS11167|CAD7002689.1|CCAP
OG0004924	LOC115762877|XP_030561111.1|DNOV	CCAP1982_LOCUS12528|CAD7004107.1|CCAP
OG0004925	LOC115762936|XP_030561177.1|DNOV	CCAP1982_LOCUS12578|CAD7004158.1|CCAP
OG0004926	LOC115762671|XP_030560845.1|DNOV	CCAP1982_LOCUS14939|CAD7006633.1|CCAP
OG0004927	LOC115762632|XP_030560794.1|DNOV	CCAP1982_LOCUS14993|CAD7006694.1|CCAP
OG0004928	LOC115760546|XP_030557803.1|DNOV	CCAP1982_LOCUS21917|CAD7013902.1|CCAP
OG0004929	LOC115762615|XP_030560773.1|DNOV	CCAP1982_LOCUS11530|CAD7003067.1|CCAP
OG0004930	LOC115762405|XP_030560453.1|DNOV	CCAP1982_LOCUS22942|CAD7014983.1|CCAP
OG0004931	LOC115762110|XP_030560072.1|DNOV	CCAP1982_LOCUS22635|CAD7014646.1|CCAP
OG0004932	LOC115762879|XP_030561114.1|DNOV	CCAP1982_LOCUS12169|CAD7003732.1|CCAP
OG0004933	LOC115760875|XP_030558296.1|DNOV	CCAP1982_LOCUS7196|CAD6998623.1|CCAP
OG0004934	LOC115760439|XP_030557615.1|DNOV	CCAP1982_LOCUS7200|CAD6998628.1|CCAP
OG0004935	LOC115761093|XP_030558575.1|DNOV	CCAP1982_LOCUS21878|CAD7013861.1|CCAP
OG0004936	LOC115766952|XP_030566899.1|DNOV	CCAP1982_LOCUS12915|CAD7004517.1|CCAP
OG0004937	LOC115769319|XP_030569912.1|DNOV	CCAP1982_LOCUS20261|CAD7012159.1|CCAP
OG0004938	LOC115770450|XP_030571588.1|DNOV	CCAP1982_LOCUS12061|CAD7003621.1|CCAP
OG0004940	LOC115769857|XP_030570703.1|DNOV	CCAP1982_LOCUS12871|CAD7004465.1|CCAP
OG0004941	LOC115762753|XP_030560953.1|DNOV	CCAP1982_LOCUS12170|CAD7003733.1|CCAP
OG0004942	LOC115769573|XP_030570296.1|DNOV	CCAP1982_LOCUS11521|CAD7003058.1|CCAP
OG0004943	LOC115767157|XP_030567190.1|DNOV	CCAP1982_LOCUS14899|CAD7006588.1|CCAP
OG0004944	LOC115770971|XP_030572295.1|DNOV	CCAP1982_LOCUS11899|CAD7003445.1|CCAP
OG0004946	LOC115771449|XP_030573023.1|DNOV	CCAP1982_LOCUS13890|CAD7005530.1|CCAP
OG0004947	LOC115762630|XP_030560793.1|DNOV	CCAP1982_LOCUS11517|CAD7003054.1|CCAP
OG0004948	LOC115762722|XP_030560911.1|DNOV	CCAP1982_LOCUS11515|CAD7003052.1|CCAP
OG0004949	LOC115762721|XP_030560908.1|DNOV	CCAP1982_LOCUS11508|CAD7003045.1|CCAP
OG0004950	LOC115760243|XP_030557358.1|DNOV	CCAP1982_LOCUS12161|CAD7003724.1|CCAP
OG0004951	LOC115761592|XP_030559247.1|DNOV	CCAP1982_LOCUS2776|CAD6993995.1|CCAP
OG0004952	LOC115769585|XP_030570321.1|DNOV	CCAP1982_LOCUS10827|CAD7002341.1|CCAP
OG0004953	LOC115762650|XP_030560816.1|DNOV	CCAP1982_LOCUS12149|CAD7003712.1|CCAP
OG0004954	LOC115762802|XP_030561018.1|DNOV	CCAP1982_LOCUS12151|CAD7003714.1|CCAP
OG0004955	LOC115771035|XP_030572431.1|DNOV	CCAP1982_LOCUS12929|CAD7004532.1|CCAP
OG0004956	LOC115762524|XP_030560643.1|DNOV	CCAP1982_LOCUS21829|CAD7013809.1|CCAP
OG0004957	LOC115769567|XP_030570282.1|DNOV	CCAP1982_LOCUS11289|CAD7002819.1|CCAP
OG0004958	LOC115771105|XP_030572524.1|DNOV	CCAP1982_LOCUS14958|CAD7006655.1|CCAP
OG0004959	LOC115771132|XP_030572560.1|DNOV	CCAP1982_LOCUS14959|CAD7006656.1|CCAP
OG0004960	LOC115771121|XP_030572545.1|DNOV	CCAP1982_LOCUS14960|CAD7006657.1|CCAP
OG0004961	LOC115761257|XP_030558834.1|DNOV	CCAP1982_LOCUS21618|CAD7013562.1|CCAP
OG0004962	LOC115770523|XP_030571681.1|DNOV	CCAP1982_LOCUS14417|CAD7006085.1|CCAP
OG0004963	LOC115770355|XP_030571453.1|DNOV	CCAP1982_LOCUS11670|CAD7003210.1|CCAP
OG0004964	LOC115769724|XP_030570516.1|DNOV	CCAP1982_LOCUS12091|CAD7003653.1|CCAP
OG0004965	LOC115771288|XP_030572770.1|DNOV	CCAP1982_LOCUS12614|CAD7004195.1|CCAP
OG0004966	LOC115771287|XP_030572768.1|DNOV	CCAP1982_LOCUS12615|CAD7004196.1|CCAP
OG0004967	LOC115758208|XP_030554652.1|DNOV	CCAP1982_LOCUS21807|CAD7013784.1|CCAP
OG0004968	LOC115762709|XP_030560893.1|DNOV	CCAP1982_LOCUS13312|CAD7004929.1|CCAP
OG0004969	LOC115760537|XP_030557782.1|DNOV	CCAP1982_LOCUS22918|CAD7014954.1|CCAP
OG0004970	LOC115762618|XP_030560776.1|DNOV	CCAP1982_LOCUS13313|CAD7004930.1|CCAP
OG0004971	LOC115762757|XP_030560958.1|DNOV	CCAP1982_LOCUS13316|CAD7004933.1|CCAP
OG0004973	LOC115768099|XP_030568452.1|DNOV	CCAP1982_LOCUS11325|CAD7002856.1|CCAP
OG0004974	LOC115771127|XP_030572553.1|DNOV	CCAP1982_LOCUS11581|CAD7003119.1|CCAP
OG0004975	LOC115762599|XP_030560751.1|DNOV	CCAP1982_LOCUS11169|CAD7002691.1|CCAP
OG0004976	LOC115766923|XP_030566868.1|DNOV	CCAP1982_LOCUS10789|CAD7002297.1|CCAP
OG0004977	LOC115762042|XP_030559972.1|DNOV	CCAP1982_LOCUS21891|CAD7013875.1|CCAP
OG0004978	LOC115760803|XP_030558162.1|DNOV	CCAP1982_LOCUS21950|CAD7013939.1|CCAP
OG0004979	LOC115767129|XP_030567151.1|DNOV	CCAP1982_LOCUS13004|CAD7004609.1|CCAP
OG0004980	LOC115770151|XP_030571166.1|DNOV	CCAP1982_LOCUS14626|CAD7006304.1|CCAP
OG0004981	LOC115771577|XP_030573191.1|DNOV	CCAP1982_LOCUS14604|CAD7006281.1|CCAP
OG0004982	LOC115771574|XP_030573188.1|DNOV	CCAP1982_LOCUS14602|CAD7006279.1|CCAP
OG0004983	LOC115769389|XP_030570044.1|DNOV	CCAP1982_LOCUS11734|CAD7003272.1|CCAP
OG0004984	LOC115769752|XP_030570554.1|DNOV	CCAP1982_LOCUS11733|CAD7003271.1|CCAP
OG0004985	LOC115771192|XP_030572646.1|DNOV	CCAP1982_LOCUS10871|CAD7002377.1|CCAP
OG0004986	LOC115766093|XP_030565767.1|DNOV	CCAP1982_LOCUS14170|CAD7005825.1|CCAP
OG0004987	LOC115769878|XP_030570740.1|DNOV	CCAP1982_LOCUS11806|CAD7003347.1|CCAP, CCAP1982_LOCUS11807|CAD7003348.1|CCAP
OG0004988	LOC115771188|XP_030572642.1|DNOV	CCAP1982_LOCUS10872|CAD7002378.1|CCAP
OG0004989	LOC115769753|XP_030570557.1|DNOV	CCAP1982_LOCUS11808|CAD7003349.1|CCAP
OG0004991	LOC115760533|XP_030557771.1|DNOV	CCAP1982_LOCUS7099|CAD6998510.1|CCAP
OG0004992	LOC115760534|XP_030557772.1|DNOV	CCAP1982_LOCUS7098|CAD6998509.1|CCAP
OG0004993	LOC115769586|XP_030570322.1|DNOV	CCAP1982_LOCUS10828|CAD7002342.1|CCAP
OG0004994	LOC115766946|XP_030566894.1|DNOV	CCAP1982_LOCUS12503|CAD7004078.1|CCAP
OG0004995	LOC115767119|XP_030567136.1|DNOV	CCAP1982_LOCUS12512|CAD7004089.1|CCAP
OG0004996	LOC115762592|XP_030560740.1|DNOV	CCAP1982_LOCUS12841|CAD7004434.1|CCAP, CCAP1982_LOCUS12856|CAD7004450.1|CCAP
OG0004997	LOC115760552|XP_030557809.1|DNOV	CCAP1982_LOCUS22646|CAD7014658.1|CCAP
OG0004998	LOC115760615|XP_030557924.1|DNOV	CCAP1982_LOCUS21862|CAD7013842.1|CCAP
OG0004999	LOC115771179|XP_030572624.1|DNOV	CCAP1982_LOCUS13324|CAD7004945.1|CCAP
OG0005000	LOC115771756|XP_030573470.1|DNOV	CCAP1982_LOCUS22669|CAD7014685.1|CCAP
OG0005001	LOC115771244|XP_030572705.1|DNOV	CCAP1982_LOCUS13213|CAD7004824.1|CCAP, CCAP1982_LOCUS13199|CAD7004810.1|CCAP
OG0005002	LOC115770738|XP_030572000.1|DNOV	CCAP1982_LOCUS178|CAD6991242.1|CCAP
OG0005003	LOC115762949|XP_030561195.1|DNOV	CCAP1982_LOCUS13033|CAD7004638.1|CCAP
OG0005004	LOC115771078|XP_030572490.1|DNOV	CCAP1982_LOCUS10812|CAD7002322.1|CCAP
OG0005005	LOC115769826|XP_030570660.1|DNOV	CCAP1982_LOCUS12878|CAD7004473.1|CCAP
OG0005006	LOC115769510|XP_030570202.1|DNOV	CCAP1982_LOCUS12899|CAD7004499.1|CCAP
OG0005007	LOC115771047|XP_030572446.1|DNOV	CCAP1982_LOCUS11360|CAD7002891.1|CCAP
OG0005008	LOC115770486|XP_030571629.1|DNOV	CCAP1982_LOCUS12254|CAD7003821.1|CCAP, CCAP1982_LOCUS12253|CAD7003820.1|CCAP
OG0005009	LOC115769509|XP_030570200.1|DNOV	CCAP1982_LOCUS11320|CAD7002851.1|CCAP
OG0005010	LOC115767142|XP_030567171.1|DNOV	CCAP1982_LOCUS21495|CAD7013430.1|CCAP
OG0005011	LOC115761726|XP_030559471.1|DNOV	CCAP1982_LOCUS19574|CAD7011474.1|CCAP
OG0005012	LOC115770113|XP_030571089.1|DNOV	CCAP1982_LOCUS13294|CAD7004910.1|CCAP
OG0005014	LOC115769637|XP_030570409.1|DNOV	CCAP1982_LOCUS12085|CAD7003647.1|CCAP
OG0005015	LOC115769214|XP_030569789.1|DNOV	CCAP1982_LOCUS11811|CAD7003352.1|CCAP
OG0005016	LOC115769494|XP_030570173.1|DNOV	CCAP1982_LOCUS12339|CAD7003911.1|CCAP
OG0005017	LOC115767152|XP_030567184.1|DNOV	CCAP1982_LOCUS11881|CAD7003425.1|CCAP
OG0005018	LOC115765836|XP_030565422.1|DNOV	CCAP1982_LOCUS12314|CAD7003884.1|CCAP
OG0005019	LOC115767696|XP_030567850.1|DNOV	CCAP1982_LOCUS10965|CAD7002476.1|CCAP
OG0005020	LOC115762133|XP_030560102.1|DNOV	CCAP1982_LOCUS21901|CAD7013886.1|CCAP
OG0005021	LOC115759902|XP_030556884.1|DNOV	CCAP1982_LOCUS5712|CAD6997058.1|CCAP
OG0005022	LOC115762791|XP_030561004.1|DNOV	CCAP1982_LOCUS14729|CAD7006409.1|CCAP
OG0005023	LOC115763907|XP_030562572.1|DNOV	CCAP1982_LOCUS21236|CAD7013165.1|CCAP
OG0005025	LOC115771468|XP_030573051.1|DNOV	CCAP1982_LOCUS13207|CAD7004818.1|CCAP
OG0005026	LOC115769405|XP_030570068.1|DNOV	CCAP1982_LOCUS12994|CAD7004599.1|CCAP
OG0005027	LOC115766978|XP_030566933.1|DNOV	CCAP1982_LOCUS13047|CAD7004652.1|CCAP
OG0005028	LOC115761398|XP_030559015.1|DNOV	CCAP1982_LOCUS2226|CAD6993411.1|CCAP
OG0005029	LOC115771046|XP_030572445.1|DNOV	CCAP1982_LOCUS11906|CAD7003452.1|CCAP
OG0005030	LOC115762548|XP_030560682.1|DNOV	CCAP1982_LOCUS12572|CAD7004152.1|CCAP
OG0005031	LOC115762745|XP_030560942.1|DNOV	CCAP1982_LOCUS11794|CAD7003334.1|CCAP
OG0005032	LOC115767465|XP_030567634.1|DNOV	CCAP1982_LOCUS12957|CAD7004561.1|CCAP
OG0005033	LOC115769736|XP_030570533.1|DNOV	CCAP1982_LOCUS12947|CAD7004550.1|CCAP
OG0005034	LOC115769721|XP_030570512.1|DNOV	CCAP1982_LOCUS12946|CAD7004549.1|CCAP
OG0005035	LOC115767476|XP_030567643.1|DNOV	CCAP1982_LOCUS11911|CAD7003458.1|CCAP
OG0005036	LOC115771281|XP_030572762.1|DNOV	CCAP1982_LOCUS14422|CAD7006090.1|CCAP
OG0005037	LOC115769612|XP_030570369.1|DNOV	CCAP1982_LOCUS11831|CAD7003372.1|CCAP
OG0005038	LOC115769397|XP_030570058.1|DNOV	CCAP1982_LOCUS11572|CAD7003109.1|CCAP
OG0005039	LOC115765882|XP_030565482.1|DNOV	CCAP1982_LOCUS8174|CAD6999640.1|CCAP
OG0005040	LOC115769621|XP_030570381.1|DNOV	CCAP1982_LOCUS13023|CAD7004628.1|CCAP
OG0005041	LOC115770524|XP_030571682.1|DNOV	CCAP1982_LOCUS14418|CAD7006086.1|CCAP
OG0005042	LOC115769930|XP_030570832.1|DNOV	CCAP1982_LOCUS14946|CAD7006641.1|CCAP
OG0005043	LOC115761001|XP_030558471.1|DNOV	CCAP1982_LOCUS21798|CAD7013775.1|CCAP
OG0005044	LOC115760998|XP_030558469.1|DNOV	CCAP1982_LOCUS21797|CAD7013774.1|CCAP
OG0005045	LOC115758182|XP_030554586.1|DNOV	CCAP1982_LOCUS21790|CAD7013766.1|CCAP
OG0005046	LOC115761116|XP_030558607.1|DNOV	CCAP1982_LOCUS22761|CAD7014792.1|CCAP
OG0005047	LOC115770410|XP_030571531.1|DNOV	CCAP1982_LOCUS10777|CAD7002283.1|CCAP
OG0005048	LOC115770369|XP_030571475.1|DNOV	CCAP1982_LOCUS10779|CAD7002286.1|CCAP
OG0005049	LOC115768638|XP_030569171.1|DNOV	CCAP1982_LOCUS11912|CAD7003459.1|CCAP
OG0005050	LOC115760527|XP_030557766.1|DNOV	CCAP1982_LOCUS7096|CAD6998507.1|CCAP
OG0005051	LOC115768545|XP_030569017.1|DNOV	CCAP1982_LOCUS13086|CAD7004692.1|CCAP
OG0005052	LOC115767681|XP_030567838.1|DNOV	CCAP1982_LOCUS13089|CAD7004696.1|CCAP
OG0005053	LOC115758817|XP_030555454.1|DNOV	CCAP1982_LOCUS5614|CAD6996946.1|CCAP
OG0005054	LOC115771508|XP_030573097.1|DNOV	CCAP1982_LOCUS14249|CAD7005909.1|CCAP
OG0005056	LOC115760714|XP_030558041.1|DNOV	CCAP1982_LOCUS21850|CAD7013830.1|CCAP
OG0005057	LOC115770984|XP_030572330.1|DNOV	CCAP1982_LOCUS12376|CAD7003953.1|CCAP
OG0005058	LOC115771299|XP_030572786.1|DNOV	CCAP1982_LOCUS11271|CAD7002801.1|CCAP
OG0005059	LOC115762339|XP_030560365.1|DNOV	CCAP1982_LOCUS7228|CAD6998663.1|CCAP
OG0005060	LOC115761118|XP_030558612.1|DNOV	CCAP1982_LOCUS7229|CAD6998664.1|CCAP
OG0005061	LOC115763540|XP_030562017.1|DNOV	CCAP1982_LOCUS5455|CAD6996780.1|CCAP
OG0005062	LOC115763031|XP_030561303.1|DNOV	CCAP1982_LOCUS21113|CAD7013028.1|CCAP
OG0005063	LOC115760870|XP_030558288.1|DNOV	CCAP1982_LOCUS23290|CAD7015345.1|CCAP
OG0005064	LOC115770050|XP_030570993.1|DNOV	CCAP1982_LOCUS12051|CAD7003605.1|CCAP
OG0005065	LOC115761834|XP_030559673.1|DNOV	CCAP1982_LOCUS22008|CAD7014001.1|CCAP
OG0005066	LOC115760941|XP_030558381.1|DNOV	CCAP1982_LOCUS22428|CAD7014432.1|CCAP
