Orthogroup	DMEL.longest_only	CQUI.longest_only
OG0003948	mEFTs|NP_609847.1|DMEL	LOC6036175|XP_038111514.1|CQUI
OG0003949	Dhc36C|NP_001369131.1|DMEL	LOC6036172|XP_038112061.1|CQUI
OG0003950	mtm|NP_523489.1|DMEL	LOC6038625|XP_038111059.1|CQUI
OG0003951	CG9098|NP_608979.2|DMEL	LOC6038613|XP_038107372.1|CQUI
OG0003952	Ppt2|NP_609500.1|DMEL	LOC6033759|XP_001844167.2|CQUI
OG0003953	l_2_k09022|NP_609079.2|DMEL	LOC119768018|XP_038114217.1|CQUI, LOC6033753|XP_038109025.1|CQUI
OG0003954	CG1273|NP_647883.1|DMEL	LOC6033741|XP_038111254.1|CQUI
OG0003955	Ir31a|NP_001260346.1|DMEL	LOC6052825|XP_038114291.1|CQUI, LOC6043222|XP_038106062.1|CQUI
OG0003956	kon|NP_609881.3|DMEL	LOC6031181|XP_038108389.1|CQUI
OG0003957	CG13671|NP_648202.1|DMEL	LOC6033143|XP_038110679.1|CQUI
OG0003958	CG9919|NP_573119.1|DMEL	LOC6033148|XP_001843637.2|CQUI
OG0003959	Ipk1|NP_001097387.1|DMEL	LOC6033261|XP_038107519.1|CQUI
OG0003960	tilB|NP_608460.1|DMEL	LOC6033232|XP_038113766.1|CQUI
OG0003961	CG7115|NP_609154.1|DMEL	LOC6041541|XP_001850788.2|CQUI
OG0003962	Rpn11|NP_608905.1|DMEL	LOC6040127|XP_001849586.1|CQUI
OG0003963	CG10702|NP_724157.1|DMEL	LOC6037538|XP_038110070.1|CQUI
OG0003964	Snx1|NP_608777.1|DMEL	LOC6037545|XP_038109875.1|CQUI
OG0003965	Bsg|NP_723346.2|DMEL	LOC6050518|XP_038111968.1|CQUI
OG0003967	MESK2|NP_995914.1|DMEL	LOC6041584|XP_038112034.1|CQUI
OG0003968	Fkbp14|NP_001246448.1|DMEL	LOC6048612|XP_038111891.1|CQUI
OG0003969	cnk|NP_725671.1|DMEL	LOC6032916|XP_038107052.1|CQUI
OG0003970	BBS8|NP_608524.1|DMEL	LOC6031868|XP_038113838.1|CQUI
OG0003971	CYLD|NP_723554.1|DMEL	LOC6036443|XP_038108462.1|CQUI
OG0003972	sstn|NP_648745.1|DMEL	LOC6036444|XP_038107978.1|CQUI
OG0003973	Atf-2|NP_001033973.1|DMEL	LOC6036449|XP_001846500.2|CQUI
OG0003974	RpIII128|NP_523706.1|DMEL	LOC6036470|XP_038109656.1|CQUI
OG0003975	CG34398|NP_001097127.1|DMEL	LOC6036481|XP_038113867.1|CQUI
OG0003976	CG10166|NP_609980.1|DMEL	LOC6034401|XP_001844719.2|CQUI
OG0003977	ND-B22|NP_609642.1|DMEL	LOC6034400|XP_038112337.1|CQUI
OG0003978	rept|NP_524156.1|DMEL	LOC119767640|XP_038112573.1|CQUI
OG0003979	CG6094|NP_609416.1|DMEL	LOC6038881|XP_001848580.1|CQUI
OG0003980	CG4338|NP_650441.1|DMEL	LOC6038882|XP_001848581.1|CQUI
OG0003981	eRF3|NP_477259.1|DMEL	LOC6038883|XP_038108742.1|CQUI
OG0003982	CG10026|NP_609968.3|DMEL	LOC6038884|XP_001848583.2|CQUI
OG0003983	CG31826|NP_001260473.1|DMEL	LOC6038885|XP_038113321.1|CQUI
OG0003984	Acn|NP_609935.1|DMEL	LOC6036439|XP_038112741.1|CQUI
OG0003985	CG10492|NP_001097179.1|DMEL	LOC6036433|XP_038108732.1|CQUI
OG0003986	Wnt10|NP_609109.3|DMEL	LOC6038013|XP_038113377.1|CQUI
OG0003987	ninaC|NP_523503.2|DMEL	LOC6038014|XP_038110646.1|CQUI
OG0003988	CG4230|NP_001260087.1|DMEL	LOC6047238|XP_038111315.1|CQUI
OG0003989	ThrRS|NP_723725.1|DMEL	LOC6035771|XP_038109362.1|CQUI
OG0003990	Su_H_|NP_476868.1|DMEL	LOC6035782|XP_038109675.1|CQUI
OG0003991	ine|NP_477012.1|DMEL	LOC6035784|XP_038109844.1|CQUI
OG0003992	CG15443|NP_608839.1|DMEL	LOC6035789|XP_001845913.2|CQUI
OG0003993	CG15431|NP_608831.1|DMEL	LOC6045008|XP_038108291.1|CQUI
OG0003994	beta4GalNAcTB|NP_651657.1|DMEL	LOC119767200|XP_038111176.1|CQUI
OG0003995	CG4679|NP_610854.1|DMEL	LOC6053400|XP_001869494.2|CQUI
OG0003996	CG13748|NP_610430.1|DMEL	LOC6036135|XP_001846228.1|CQUI
OG0003997	CG5160|NP_609112.1|DMEL	LOC6054365|XP_038109595.1|CQUI
OG0003998	Nipped-B|NP_001036451.1|DMEL	LOC6045776|XP_038112750.1|CQUI
OG0003999	Spf45|NP_001036426.1|DMEL	LOC6045769|XP_001863072.1|CQUI
OG0004000	Uros1|NP_572507.1|DMEL	LOC6034347|XP_038113204.1|CQUI
OG0004001	IntS1|NP_611875.1|DMEL	LOC6034384|XP_038113314.1|CQUI
OG0004002	mRpS18B|NP_523606.1|DMEL	LOC6034395|XP_038109098.1|CQUI
OG0004003	Ca-beta|NP_001260375.1|DMEL	LOC6039845|XP_038113654.1|CQUI
OG0004004	PGAP5|NP_609191.1|DMEL	LOC6039842|XP_001849349.2|CQUI
OG0004005	Oscillin|NP_608938.1|DMEL	LOC6039840|XP_038111465.1|CQUI
OG0004006	CG2614|NP_610045.1|DMEL	LOC6034869|XP_001845139.2|CQUI
OG0004007	CG9662|NP_001259997.1|DMEL	LOC6034873|XP_001845142.1|CQUI
OG0004008	kis|NP_001137761.1|DMEL	LOC6034877|XP_038107745.1|CQUI
OG0004009	Eogt|NP_608678.1|DMEL	LOC6046643|XP_001863794.2|CQUI
OG0004010	CenG1A|NP_723849.1|DMEL	LOC6048811|XP_038114221.1|CQUI
OG0004011	ics|NP_609665.2|DMEL	LOC6050778|XP_001867333.2|CQUI
OG0004012	sit|NP_651063.1|DMEL	LOC6049536|XP_038109284.1|CQUI
OG0004013	bgm|NP_524698.1|DMEL	LOC6043470|XP_038109075.1|CQUI
OG0004014	GlyRS|NP_730022.1|DMEL	LOC6043461|XP_038111183.1|CQUI
OG0004015	CG16974|NP_609610.2|DMEL	LOC119767726|XP_038112992.1|CQUI, LOC6046111|XP_038112993.1|CQUI
OG0004016	GATAd|NP_609383.2|DMEL	LOC6036119|XP_038106299.1|CQUI
OG0004017	Tps1|NP_608827.1|DMEL	LOC6041781|XP_038108936.1|CQUI
OG0004018	Pgant3|NP_610256.1|DMEL	LOC6041785|XP_038112504.1|CQUI
OG0004019	Rhau|NP_610056.1|DMEL	LOC6047977|XP_038111471.1|CQUI
OG0004020	SerRS|NP_608743.2|DMEL	LOC6053858|XP_038111861.1|CQUI
OG0004021	CG3542|NP_608738.1|DMEL	LOC6049729|XP_038109716.1|CQUI
OG0004022	heix|NP_523581.1|DMEL	LOC6033336|XP_001843800.2|CQUI
OG0004023	CG15905|NP_611436.2|DMEL	LOC6033344|XP_038112699.1|CQUI
OG0004024	Trpgamma|NP_001137830.2|DMEL	LOC6033360|XP_038108644.1|CQUI
OG0004025	Fkbp59|NP_524895.2|DMEL	LOC6048073|XP_038107445.1|CQUI
OG0004026	aop|NP_722766.1|DMEL	LOC6048102|XP_038108461.1|CQUI
OG0004027	CG33680|NP_001027448.1|DMEL	LOC6047235|XP_038112896.1|CQUI, LOC6047227|XP_001864311.1|CQUI
OG0004028	obst-E|NP_723116.1|DMEL	LOC6035744|XP_001845871.2|CQUI
OG0004029	Agpat2|NP_609231.2|DMEL	LOC6035735|XP_001845864.2|CQUI
OG0004030	Stoml2|NP_001261161.1|DMEL	LOC6032147|XP_001842800.2|CQUI
OG0004031	CG17211|NP_609552.1|DMEL	LOC6032156|XP_038113038.1|CQUI
OG0004032	cta|NP_001036421.1|DMEL	LOC6032174|XP_001842819.2|CQUI
OG0004033	CG5853|NP_788019.1|DMEL	LOC6053250|XP_038110976.1|CQUI
OG0004034	CG10600|NP_001137839.1|DMEL	LOC6036026|XP_038108093.1|CQUI
OG0004035	Rtnl1|NP_001162875.1|DMEL	LOC6036325|XP_038112834.1|CQUI
OG0004036	Syt1|NP_523460.2|DMEL	LOC6036328|XP_001846391.1|CQUI
OG0004037	Tor|NP_001260427.1|DMEL	LOC6036336|XP_001846397.2|CQUI
OG0004038	dbe|NP_477240.1|DMEL	LOC119766959|XP_038109606.1|CQUI
OG0004039	eys|NP_001259924.2|DMEL	LOC6033334|XP_038112140.1|CQUI
OG0004040	CG13531|NP_611726.1|DMEL	LOC6047971|XP_038109177.1|CQUI
OG0004041	Larp7|NP_524795.2|DMEL	LOC6037995|XP_038109623.1|CQUI
OG0004042	CG8549|NP_648057.2|DMEL	LOC6033311|XP_001843777.1|CQUI
OG0004043	EMC3|NP_609444.1|DMEL	LOC6036008|XP_001846112.1|CQUI
OG0004044	Hira|NP_572401.2|DMEL	LOC6033610|XP_001844038.2|CQUI
OG0004045	ATPsynG|NP_001036353.1|DMEL	LOC6033613|XP_038110293.1|CQUI
OG0004046	Ets21C|NP_523445.1|DMEL	LOC6033619|XP_001844046.2|CQUI
OG0004047	Tom70|NP_609536.1|DMEL	LOC6033624|XP_038111353.1|CQUI
OG0004048	CG3036|NP_608873.1|DMEL	LOC6033625|XP_038109870.1|CQUI
OG0004049	CG33635|NP_001027215.1|DMEL	LOC6047482|XP_001864539.2|CQUI
OG0004050	CG10431|NP_609924.2|DMEL	LOC6051854|XP_001868218.2|CQUI, LOC119768916|XP_038116637.1|CQUI
OG0004051	Dlg5|NP_609505.1|DMEL	LOC6048351|XP_038109620.1|CQUI
OG0004052	CG15373|NP_001097013.2|DMEL	LOC6042664|XP_038122278.1|CQUI
OG0004053	Vhl|NP_524986.1|DMEL	LOC6042662|XP_038119027.1|CQUI
OG0004054	IFT46|NP_609890.2|DMEL	LOC6042656|XP_038121294.1|CQUI
OG0004055	CG12420|NP_649985.1|DMEL	LOC6042641|XP_038119206.1|CQUI
OG0004056	CG14636|NP_001036655.1|DMEL	LOC119770120|XP_038120373.1|CQUI
OG0004057	Rpn1|NP_649158.1|DMEL	LOC6054097|XP_038116161.1|CQUI
OG0004058	Girdin|NP_647780.1|DMEL	LOC6052560|XP_038118395.1|CQUI
OG0004059	DNApol-alpha180|NP_536736.2|DMEL	LOC6048802|XP_038118616.1|CQUI
OG0004060	CG17726|NP_650054.2|DMEL	LOC6040514|XP_001849900.2|CQUI
OG0004061	CG1578|NP_001285140.1|DMEL	LOC6040508|XP_038118411.1|CQUI
OG0004062	Rap1|NP_476857.1|DMEL	LOC6040506|XP_038118432.1|CQUI
OG0004063	tko|NP_001245490.1|DMEL	LOC6040499|XP_038115198.1|CQUI
OG0004064	elgi|NP_648816.1|DMEL	LOC6040496|XP_001849882.1|CQUI
OG0004065	Vrp1|NP_001097406.1|DMEL	LOC6040492|XP_038117152.1|CQUI
OG0004066	Blos1|NP_725401.2|DMEL	LOC6040491|XP_001849877.1|CQUI
OG0004067	FucT6|NP_572740.1|DMEL	LOC6040490|XP_001849876.2|CQUI
OG0004068	Mst85C|NP_477476.1|DMEL	LOC6040480|XP_001849866.2|CQUI
OG0004069	Kdm2|NP_649864.2|DMEL	LOC6040481|XP_038116172.1|CQUI
OG0004070	Gr63a|NP_001137883.1|DMEL	LOC6039007|XP_001848689.1|CQUI
OG0004071	Srp68|NP_648273.1|DMEL	LOC6040507|XP_001849893.2|CQUI
OG0004072	CG5644|NP_648274.1|DMEL	LOC6039004|XP_038119621.1|CQUI
OG0004073	CG7772|NP_573257.1|DMEL	LOC6039000|XP_001848682.1|CQUI
OG0004074	dnr1|NP_001261137.1|DMEL	LOC6038990|XP_038118652.1|CQUI
OG0004075	cbs|NP_610875.1|DMEL	LOC6038984|XP_038119533.1|CQUI
OG0004076	cnn|NP_001246293.1|DMEL	LOC6044757|XP_038116312.1|CQUI
OG0004077	poe|NP_476986.1|DMEL	LOC6044741|XP_038118752.1|CQUI
OG0004078	Sld5|NP_651457.1|DMEL	LOC6044734|XP_001862197.1|CQUI
OG0004079	CG9657|NP_572397.1|DMEL	LOC6046837|XP_038121016.1|CQUI
OG0004080	RpS15|NP_611136.1|DMEL	LOC6032209|XP_001842849.1|CQUI
OG0004081	Pcf11|NP_610999.4|DMEL	LOC6032216|XP_038121566.1|CQUI
OG0004082	CG4038|NP_477043.1|DMEL	LOC119770633|XP_038121816.1|CQUI
OG0004083	LSm3|NP_732931.1|DMEL	LOC6032224|XP_001842863.1|CQUI
OG0004084	ash1|NP_524160.2|DMEL	LOC6032232|XP_038122391.1|CQUI
OG0004085	CG10324|NP_650571.2|DMEL	LOC6047985|XP_038114781.1|CQUI
OG0004086	TTLL6B|NP_651549.1|DMEL	LOC6038138|XP_038120984.1|CQUI
OG0004087	CG1582|NP_572663.1|DMEL	LOC6033024|XP_001843527.2|CQUI
OG0004088	CAH9|NP_651535.1|DMEL	LOC6033048|XP_038121895.1|CQUI
OG0004089	CHES-1-like|NP_996362.2|DMEL	LOC6033056|XP_038120971.1|CQUI
OG0004090	BRWD3|NP_732982.1|DMEL	LOC6054337|XP_038114862.1|CQUI
OG0004091	CG6974|NP_650414.1|DMEL	LOC6046351|XP_001863568.2|CQUI
OG0004092	Setd3|NP_727144.1|DMEL	LOC6052288|XP_038121121.1|CQUI
OG0004094	CG6414|NP_570089.1|DMEL	LOC6039438|XP_038119393.1|CQUI
OG0004095	CG14721|NP_650110.3|DMEL	LOC6048703|XP_001865581.2|CQUI
OG0004096	pll|NP_476971.1|DMEL	LOC6048708|XP_001865580.2|CQUI
OG0004097	ste14|NP_648623.1|DMEL	LOC6047986|XP_038114935.1|CQUI
OG0004098	CG14905|NP_650569.1|DMEL	LOC6047987|XP_038114933.1|CQUI
OG0004099	ctrip|NP_649496.3|DMEL	LOC6046054|XP_038120594.1|CQUI, LOC6036617|XP_038108721.1|CQUI, LOC6048031|XP_038121817.1|CQUI
OG0004100	opa|NP_001368991.1|DMEL	LOC6053060|XP_038121254.1|CQUI
OG0004101	Gnf1|NP_001014605.1|DMEL	LOC6051676|XP_038118839.1|CQUI
OG0004102	Cdep|NP_001097685.2|DMEL	LOC6048766|XP_038118938.1|CQUI
OG0004103	Vps2|NP_651455.1|DMEL	LOC6048761|XP_038121267.1|CQUI
OG0004104	CG4374|NP_651146.2|DMEL	LOC6048763|XP_038118682.1|CQUI
OG0004105	l_3_72Ab|NP_648818.3|DMEL	LOC6046232|XP_001863460.1|CQUI
OG0004106	Arv1|NP_730651.1|DMEL	LOC119770856|XP_038122370.1|CQUI, LOC6046240|XP_038118814.1|CQUI
OG0004107	ProRS-m|NP_647737.1|DMEL	LOC6046239|XP_038118812.1|CQUI, LOC119770857|XP_038122389.1|CQUI
OG0004108	Set|NP_650438.2|DMEL	LOC6053487|XP_001869558.2|CQUI
OG0004109	CG5728|NP_651245.1|DMEL	LOC6049909|XP_001866588.2|CQUI
OG0004110	RpLP0|NP_524211.1|DMEL	LOC6041938|XP_001851128.1|CQUI
OG0004111	CG5028|NP_001097922.1|DMEL	LOC6041928|XP_038115770.1|CQUI
OG0004112	CG6154|NP_733146.2|DMEL	LOC6045490|XP_038115043.1|CQUI
OG0004113	Sep1|NP_523430.1|DMEL	LOC6041791|XP_038119064.1|CQUI
OG0004114	Snx27|NP_727023.1|DMEL	LOC119769384|XP_038117388.1|CQUI
OG0004115	AdamTS-B|NP_572247.2|DMEL	LOC6053164|XP_038114991.1|CQUI
OG0004116	RASSF8|NP_651411.1|DMEL	LOC6050623|XP_038121897.1|CQUI
OG0004117	CG7379|NP_650656.1|DMEL	LOC6050661|XP_038120714.1|CQUI
OG0004118	Rab4|NP_523777.1|DMEL	LOC6043255|XP_001857982.2|CQUI
OG0004119	Cbp20|NP_524396.1|DMEL	LOC6034967|XP_001845223.1|CQUI
OG0004120	ear|NP_001262595.1|DMEL	LOC6034974|XP_038116395.1|CQUI
OG0004121	CG13707|NP_001246634.1|DMEL	LOC119766073|XP_038106381.1|CQUI, LOC6054578|XP_038119913.1|CQUI
OG0004122	mRpS10|NP_524355.2|DMEL	LOC6039381|XP_001848990.2|CQUI
OG0004123	E2f1|NP_001262809.1|DMEL	LOC6039406|XP_038115414.1|CQUI
OG0004124	hep|NP_001368982.1|DMEL	LOC6041802|XP_038116435.1|CQUI
OG0004125	RpL32|NP_733339.1|DMEL	LOC6032252|XP_001842889.1|CQUI
OG0004126	Axn|NP_733336.1|DMEL	LOC6032253|XP_038121019.1|CQUI
OG0004127	RpL13|NP_523530.1|DMEL	LOC119769827|XP_038119446.1|CQUI
OG0004128	CG31249|NP_732262.1|DMEL	LOC6035003|XP_001845248.2|CQUI
OG0004129	Mtor|NP_477067.2|DMEL	LOC6035017|XP_038119404.1|CQUI
OG0004130	Dop2R|NP_001014758.2|DMEL	LOC6048694|XP_038118319.1|CQUI
OG0004131	CG5916|NP_650524.1|DMEL	LOC6038151|XP_001847985.2|CQUI
OG0004132	CG2162|NP_001163332.2|DMEL	LOC6038147|XP_038116639.1|CQUI
OG0004133	Hacd1|NP_609534.1|DMEL	LOC6043883|XP_001861472.1|CQUI
OG0004134	Ythdf|NP_651322.1|DMEL	LOC6043890|XP_038116402.1|CQUI
OG0004135	cic|NP_001262755.1|DMEL	LOC6049547|XP_038120776.1|CQUI
OG0004136	Pbp95|NP_649760.1|DMEL	LOC6041234|XP_038116026.1|CQUI
OG0004137	Pdrg1|NP_610538.1|DMEL	LOC6041206|XP_001850500.2|CQUI
OG0004138	Smn|NP_524112.1|DMEL	LOC6041198|XP_001850492.1|CQUI
OG0004139	CG10793|NP_570054.2|DMEL	LOC6041197|XP_001850491.2|CQUI
OG0004140	CG4593|NP_572377.2|DMEL	LOC6049603|XP_038121325.1|CQUI
OG0004141	side-VIII|NP_001097382.2|DMEL	LOC6050607|XP_038121998.1|CQUI
OG0004142	Coq8|NP_572836.1|DMEL	LOC119769965|XP_038119821.1|CQUI
OG0004143	Aos1|NP_650198.1|DMEL	LOC6047728|XP_001864747.2|CQUI
OG0004144	Srp54|NP_477347.1|DMEL	LOC6052571|XP_038119946.1|CQUI
OG0004145	Sbp2|NP_648204.1|DMEL	LOC6052241|XP_001868539.2|CQUI
OG0004146	Hmt-1|NP_650503.1|DMEL	LOC6052243|XP_038116152.1|CQUI
OG0004147	CG4709|NP_609331.1|DMEL	LOC119769801|XP_038119380.1|CQUI
OG0004148	CG14395|NP_650222.2|DMEL	LOC6049617|XP_038115589.1|CQUI
OG0004149	CG31176|NP_732650.1|DMEL	LOC119768692|XP_038115202.1|CQUI
OG0004150	Mau2|NP_650428.1|DMEL	LOC6045145|XP_001862545.1|CQUI
OG0004151	pasha|NP_651879.1|DMEL	LOC6050764|XP_038117838.1|CQUI
OG0004152	CG14669|NP_649537.5|DMEL	LOC6042039|XP_038119959.1|CQUI
OG0004153	san|NP_524779.1|DMEL	LOC6049383|XP_001866158.2|CQUI
OG0004154	TMS1|NP_001261947.1|DMEL	LOC6049389|XP_038116134.1|CQUI
OG0004155	rec|NP_732072.1|DMEL	LOC6036924|XP_001846901.2|CQUI
OG0004156	CG6912|NP_650419.1|DMEL	LOC6036926|XP_001846898.2|CQUI
OG0004157	CG8028|NP_001097031.2|DMEL	LOC6053540|XP_001869607.2|CQUI
OG0004158	nerfin-1|NP_524783.1|DMEL	LOC6046282|XP_038121893.1|CQUI
OG0004159	CG11858|NP_651364.1|DMEL	LOC6046284|XP_001863510.2|CQUI
OG0004160	HBS1|NP_652729.2|DMEL	LOC6046285|XP_001863511.2|CQUI
OG0004161	SelR|NP_731523.1|DMEL	LOC6039822|XP_038117664.1|CQUI
OG0004162	CG8149|NP_649898.1|DMEL	LOC6039811|XP_038121742.1|CQUI
OG0004163	Dh44|NP_649922.2|DMEL	LOC119770783|XP_038122198.1|CQUI
OG0004164	CG34357|NP_001356914.1|DMEL	LOC6049252|XP_038116717.1|CQUI
OG0004165	Tango11|NP_726111.1|DMEL	LOC6050142|XP_038120929.1|CQUI
OG0004166	CG3803|NP_611855.1|DMEL	LOC6051606|XP_001868025.2|CQUI
OG0004167	CG8032|NP_649811.1|DMEL	LOC6051959|XP_001868300.2|CQUI
OG0004168	CG6695|NP_651276.2|DMEL	LOC6043764|XP_038116584.1|CQUI
OG0004169	CG9650|NP_001356899.1|DMEL	LOC6043781|XP_001861382.2|CQUI
OG0004171	XRCC1|NP_572217.1|DMEL	LOC6045790|XP_038118640.1|CQUI
OG0004172	Fur2|NP_727963.1|DMEL	LOC6048628|XP_038116374.1|CQUI
OG0004173	CG10731|NP_001286477.1|DMEL	LOC6039717|XP_001849271.2|CQUI
OG0004174	Vmat|NP_001014525.1|DMEL	LOC6039714|XP_038118028.1|CQUI
OG0004175	CG6665|NP_725632.1|DMEL	LOC6039706|XP_001849262.2|CQUI
OG0004176	CG7083|NP_648211.1|DMEL	LOC6039685|XP_001849250.2|CQUI
OG0004177	CG42788|NP_731964.2|DMEL	LOC6042974|XP_038122228.1|CQUI
OG0004178	osa|NP_524392.2|DMEL	LOC6042957|XP_038115866.1|CQUI
OG0004179	Pgd|NP_476860.2|DMEL	LOC119770456|XP_038121340.1|CQUI, LOC6032506|XP_038116206.1|CQUI
OG0004180	MICU3|NP_001262741.1|DMEL	LOC6032526|XP_038116286.1|CQUI
OG0004181	CG10208|NP_651186.1|DMEL	LOC6032550|XP_001843129.2|CQUI
OG0004182	Ncc69|NP_001261758.1|DMEL	LOC119768655|XP_038114975.1|CQUI, LOC6053956|XP_038115731.1|CQUI
OG0004183	CrzR|NP_001261755.1|DMEL	LOC6050274|XP_038118401.1|CQUI
OG0004184	Chd64|NP_647860.1|DMEL	LOC6042562|XP_038118462.1|CQUI
OG0004185	CG9934|NP_609597.1|DMEL	LOC6042561|XP_038116122.1|CQUI
OG0004186	Pgam5|NP_569951.1|DMEL	LOC6042560|XP_038118730.1|CQUI, LOC119768977|XP_038116769.1|CQUI
OG0004187	Rsbp15|NP_650164.1|DMEL	LOC6042546|XP_001852007.2|CQUI
OG0004188	Cp190|NP_524359.2|DMEL	LOC6047146|XP_038116604.1|CQUI
OG0004189	MRG15|NP_001262588.1|DMEL	LOC6047145|XP_001864241.2|CQUI
OG0004190	Syt4|NP_477464.1|DMEL	LOC6047140|XP_038117805.1|CQUI
OG0004191	CG10050|NP_649713.1|DMEL	LOC6054662|XP_038120423.1|CQUI
OG0004192	sqz|NP_524403.1|DMEL	LOC6046833|XP_038115947.1|CQUI
OG0004193	CG32683|NP_727419.1|DMEL	LOC6046831|XP_038118385.1|CQUI
OG0004194	CG7183|NP_650692.2|DMEL	LOC6039515|XP_038118045.1|CQUI
OG0004195	Grip128|NP_573030.2|DMEL	LOC6039504|XP_038114738.1|CQUI
OG0004196	Sirt7|NP_651664.2|DMEL	LOC6039502|XP_038114594.1|CQUI
OG0004197	CG5276|NP_650074.1|DMEL	LOC6039495|XP_038120453.1|CQUI
OG0004198	Karybeta3|NP_524226.1|DMEL	LOC6043432|XP_001859032.1|CQUI
OG0004199	CG14880|NP_650538.1|DMEL	LOC6044522|XP_038118488.1|CQUI
OG0004200	LBR|NP_726114.1|DMEL	LOC6044504|XP_038119127.1|CQUI
OG0004201	dgt6|NP_651671.1|DMEL	LOC6044505|XP_001862015.2|CQUI
OG0004202	CG4813|NP_651088.1|DMEL	LOC6045560|XP_001862905.2|CQUI
OG0004203	Fer2|NP_001287359.1|DMEL	LOC6045565|XP_038122062.1|CQUI
OG0004204	CG9372|NP_649132.1|DMEL	LOC6042292|XP_001851428.2|CQUI
OG0004205	ind|NP_996087.2|DMEL	LOC6042269|XP_001851406.2|CQUI
OG0004206	psidin|NP_650858.1|DMEL	LOC6042264|XP_038118456.1|CQUI
OG0004207	PIG-L|NP_001247201.1|DMEL	LOC6048488|XP_038119424.1|CQUI
OG0004208	wkd|NP_650089.1|DMEL	LOC6044293|XP_001861824.2|CQUI
OG0004209	CG5805|NP_651284.1|DMEL	LOC6046906|XP_038121587.1|CQUI
OG0004210	CG3308|NP_650963.2|DMEL	LOC6050401|XP_038114801.1|CQUI
OG0004211	frtz|NP_608614.1|DMEL	LOC6046398|XP_038114799.1|CQUI
OG0004212	Ras85D|NP_476699.1|DMEL	LOC6037572|XP_038118010.1|CQUI
OG0004213	CCT7|NP_649835.1|DMEL	LOC6037556|XP_001847454.1|CQUI
OG0004214	LSm1|NP_611559.1|DMEL	LOC6042261|XP_001851399.1|CQUI
OG0004215	Impbeta11|NP_788357.1|DMEL	LOC6039223|XP_038118519.1|CQUI
OG0004216	shd|NP_001261843.1|DMEL	LOC6032731|XP_038119817.1|CQUI
OG0004217	Klp64D|NP_523934.1|DMEL	LOC6032732|XP_038116049.1|CQUI
OG0004218	e_y_1|NP_523391.3|DMEL	LOC6032753|XP_001843296.2|CQUI
OG0004219	CG9773|NP_649813.1|DMEL	LOC6033837|XP_001844230.1|CQUI
OG0004220	Sap47|NP_001356918.1|DMEL	LOC6033834|XP_038116220.1|CQUI
OG0004221	meigo|NP_001097853.1|DMEL	LOC6037780|XP_001847658.2|CQUI
OG0004222	CG10005|NP_650137.3|DMEL	LOC6037772|XP_001847651.2|CQUI
OG0004223	mfas|NP_788655.1|DMEL	LOC6037769|XP_038115679.1|CQUI
OG0004224	CG2519|NP_649546.1|DMEL	LOC119770415|XP_038121192.1|CQUI, LOC6037763|XP_038121191.1|CQUI
OG0004225	CG3149|NP_572246.1|DMEL	LOC6037761|XP_001847641.1|CQUI
OG0004226	ema|NP_650542.1|DMEL	LOC6040838|XP_038122184.1|CQUI
OG0004227	Sb|NP_476709.1|DMEL	LOC6040828|XP_038115079.1|CQUI
OG0004228	CG5903|NP_650523.1|DMEL	LOC6040819|XP_001850159.1|CQUI
OG0004230	fs_1_h|NP_001259321.1|DMEL	LOC6035833|XP_038117826.1|CQUI
OG0004231	Ero1L|NP_647865.2|DMEL	LOC6035821|XP_038115161.1|CQUI
OG0004232	Teh2|NP_001163345.1|DMEL	LOC6035819|XP_038115166.1|CQUI
OG0004233	Teh3|NP_652335.1|DMEL	LOC6035818|XP_001845940.1|CQUI
OG0004234	ImpL2|NP_728961.2|DMEL	LOC6035805|XP_038120038.1|CQUI
OG0004235	Seipin|NP_570012.1|DMEL	LOC6035802|XP_001845925.2|CQUI
OG0004236	repo|NP_477026.1|DMEL	LOC6042760|XP_038118906.1|CQUI
OG0004237	Nlg1|NP_731172.2|DMEL	LOC6038979|XP_038118373.1|CQUI
OG0004238	Alg1|NP_650662.1|DMEL	LOC6038963|XP_038120804.1|CQUI
OG0004239	Smyd5|NP_650955.1|DMEL	LOC6038962|XP_001848651.2|CQUI
OG0004240	Mms19|NP_649519.1|DMEL	LOC6038956|XP_038120799.1|CQUI
OG0004241	osk|NP_731295.1|DMEL	LOC6038950|XP_001848641.1|CQUI
OG0004242	CG11986|NP_649862.1|DMEL	LOC6038947|XP_001848639.2|CQUI
OG0004243	Gen|NP_647943.2|DMEL	LOC6038944|XP_001848636.2|CQUI
OG0004244	CG7988|NP_650691.1|DMEL	LOC6038941|XP_038120810.1|CQUI
OG0004245	sturkopf|NP_612097.1|DMEL	LOC6038940|XP_001848634.1|CQUI
OG0004246	Duba|NP_648482.3|DMEL	LOC6033996|XP_038119643.1|CQUI
OG0004247	temp|NP_569992.1|DMEL	LOC6034001|XP_001844388.2|CQUI
OG0004248	Cpr57A|NP_001137721.1|DMEL	LOC6034005|XP_038118714.1|CQUI
OG0004249	Vdup1|NP_612004.2|DMEL	LOC6034043|XP_001844423.1|CQUI
OG0004250	Nnp-1|NP_651976.1|DMEL	LOC6034047|XP_038117613.1|CQUI
OG0004251	CG13366|NP_001036254.1|DMEL	LOC6034054|XP_038119694.1|CQUI
OG0004252	JHDM2|NP_788611.1|DMEL	LOC6034055|XP_038119691.1|CQUI
