Orthogroup	CQUI.longest_only	DALB.longest_only
OG0004591	LOC6035105|XP_038105687.1|CQUI	LOC117575755|XP_034116005.1|DALB
OG0004592	LOC6035111|XP_038113017.1|CQUI	LOC117574339|XP_034114054.1|DALB
OG0004593	LOC6035120|XP_038105529.1|CQUI	LOC117567020|XP_034102603.1|DALB
OG0004594	LOC6040457|XP_038110915.1|CQUI	LOC117578049|XP_034119059.1|DALB
OG0004595	LOC6040461|XP_001849848.2|CQUI	LOC117576424|XP_034117061.1|DALB
OG0004596	LOC6052837|XP_038104294.1|CQUI	LOC117565623|XP_034100728.1|DALB
OG0004597	LOC6046918|XP_001864043.2|CQUI	LOC117574972|XP_034114932.1|DALB
OG0004598	LOC119767056|XP_038110423.1|CQUI	LOC117567686|XP_034103701.1|DALB
OG0004599	LOC6035348|XP_001845559.2|CQUI	LOC117564854|XP_034099683.1|DALB
OG0004600	LOC6048191|XP_001865145.1|CQUI	LOC117575491|XP_034115621.1|DALB
OG0004601	LOC6052430|XP_038104097.1|CQUI	LOC117576484|XP_034117195.1|DALB
OG0004602	LOC6044995|XP_001862419.2|CQUI	LOC117567591|XP_034103983.1|DALB
OG0004603	LOC6044768|XP_001862228.2|CQUI	LOC117566227|XP_034101664.1|DALB
OG0004604	LOC6044773|XP_001862232.2|CQUI	LOC117566850|XP_034102336.1|DALB
OG0004605	LOC6037524|XP_038105381.1|CQUI, LOC6051449|XP_038122451.1|CQUI	LOC117578199|XP_034119419.1|DALB
OG0004606	LOC6040734|XP_038107461.1|CQUI	LOC117576189|XP_034116669.1|DALB
OG0004607	LOC6039036|XP_038105073.1|CQUI	LOC117566564|XP_034102000.1|DALB
OG0004608	LOC6039054|XP_038105592.1|CQUI	LOC117577606|XP_034118347.1|DALB
OG0004609	LOC6045132|XP_001862534.1|CQUI	LOC117563467|XP_034097714.1|DALB
OG0004610	LOC6045381|XP_038104655.1|CQUI	LOC117573780|XP_034113071.1|DALB
OG0004611	LOC6034328|XP_038115400.1|CQUI	LOC117574696|XP_034114496.1|DALB
OG0004612	LOC6034326|XP_001844659.1|CQUI	LOC117574236|XP_034113838.1|DALB
OG0004613	LOC6036970|XP_038105799.1|CQUI	LOC117575685|XP_034115882.1|DALB
OG0004614	LOC6053763|XP_038105797.1|CQUI	LOC117570003|XP_034107294.1|DALB
OG0004615	LOC6036976|XP_038104225.1|CQUI	LOC117577816|XP_034118638.1|DALB
OG0004616	LOC6036981|XP_001846948.1|CQUI	LOC117577973|XP_034118948.1|DALB
OG0004617	LOC6053777|XP_001869806.1|CQUI	LOC117564027|XP_034098519.1|DALB
OG0004618	LOC6036883|XP_038123011.1|CQUI	LOC117574412|XP_034114141.1|DALB, LOC117573388|XP_034112477.1|DALB
OG0004619	LOC6049474|XP_001866227.2|CQUI	LOC117575689|XP_034115891.1|DALB
OG0004620	LOC6050630|XP_001867201.2|CQUI	LOC117573636|XP_034112835.1|DALB
OG0004621	LOC6037925|XP_001847782.1|CQUI	LOC117574795|XP_034114645.1|DALB
OG0004622	LOC6038472|XP_038113212.1|CQUI	LOC117575836|XP_034116133.1|DALB
OG0004623	LOC6038474|XP_001848271.2|CQUI	LOC117575135|XP_034115132.1|DALB
OG0004625	LOC6042687|XP_038111477.1|CQUI	LOC117577847|XP_034118683.1|DALB
OG0004626	LOC6038421|XP_038104812.1|CQUI	LOC117564871|XP_034099713.1|DALB
OG0004627	LOC6054024|XP_038115572.1|CQUI	LOC117571835|XP_034110106.1|DALB
OG0004628	LOC6053845|XP_038122897.1|CQUI	LOC117577100|XP_034118096.1|DALB
OG0004629	LOC6045620|XP_038114673.1|CQUI	LOC117575327|XP_034115373.1|DALB
OG0004630	LOC6045617|XP_038111690.1|CQUI	LOC117575415|XP_034115487.1|DALB
OG0004631	LOC6048768|XP_001865645.1|CQUI	LOC117573770|XP_034113058.1|DALB
OG0004632	LOC6048779|XP_038109334.1|CQUI	LOC117573769|XP_034113055.1|DALB
OG0004633	LOC6045007|XP_038116758.1|CQUI	LOC117576134|XP_034116586.1|DALB
OG0004634	LOC6051445|XP_001867883.2|CQUI	LOC117575339|XP_034115388.1|DALB
OG0004635	LOC6051832|XP_038105109.1|CQUI	LOC117569262|XP_034106257.1|DALB
OG0004636	LOC6038486|XP_038105456.1|CQUI	LOC117576670|XP_034117584.1|DALB
OG0004637	LOC6035139|XP_038104086.1|CQUI	LOC117568524|XP_034105122.1|DALB
OG0004641	LOC6034779|XP_001845052.2|CQUI	LOC117577579|XP_034118313.1|DALB
OG0004642	LOC6042586|XP_038103985.1|CQUI	LOC117568623|XP_034105307.1|DALB
OG0004643	LOC119771191|XP_038122742.1|CQUI	LOC117575583|XP_034115740.1|DALB
OG0004644	LOC6042583|XP_001852649.1|CQUI	LOC117578316|XP_034119662.1|DALB
OG0004645	LOC6042581|XP_001852638.2|CQUI, LOC6042582|XP_001852645.2|CQUI	LOC117566224|XP_034101661.1|DALB
OG0004647	LOC6041907|XP_001851098.2|CQUI	LOC117577849|XP_034118681.1|DALB
OG0004649	LOC6034414|XP_001844732.2|CQUI	LOC117575387|XP_034115457.1|DALB
OG0004650	LOC6034425|XP_001844743.1|CQUI	LOC117565230|XP_034100127.1|DALB
OG0004651	LOC6042575|XP_001852290.2|CQUI	LOC117576119|XP_034116568.1|DALB
OG0004652	LOC6034802|XP_038114609.1|CQUI	LOC117574035|XP_034113522.1|DALB
OG0004653	LOC6034799|XP_001845071.2|CQUI	LOC117567070|XP_034102703.1|DALB
OG0004654	LOC6034788|XP_001845061.2|CQUI	LOC117564730|XP_034099508.1|DALB
OG0004655	LOC6034784|XP_001845057.1|CQUI	LOC117575977|XP_034116350.1|DALB
OG0004656	LOC6034783|XP_001845056.2|CQUI	LOC117564172|XP_034098730.1|DALB, LOC117565591|XP_034100682.1|DALB
OG0004657	LOC6034771|XP_038105085.1|CQUI	LOC117575717|XP_034115946.1|DALB
OG0004658	LOC6036047|XP_038114058.1|CQUI, LOC6034745|XP_038109197.1|CQUI	LOC117576509|XP_034117207.1|DALB
OG0004659	LOC6034743|XP_001845022.1|CQUI	LOC117575949|XP_034116303.1|DALB
OG0004660	LOC6041911|XP_038114990.1|CQUI	LOC117575086|XP_034115074.1|DALB
OG0004661	LOC6041909|XP_001851100.2|CQUI	LOC117573976|XP_034113410.1|DALB
OG0004662	LOC6034715|XP_038105328.1|CQUI	LOC117576665|XP_034117527.1|DALB
OG0004663	LOC6053683|XP_038105925.1|CQUI	LOC117572594|XP_034111381.1|DALB
OG0004664	LOC6053682|XP_038104070.1|CQUI	LOC117571790|XP_034110044.1|DALB
OG0004665	LOC6052688|XP_001868915.2|CQUI	LOC117573613|XP_034112805.1|DALB
OG0004666	LOC6037574|XP_001847470.2|CQUI	LOC117575222|XP_034115240.1|DALB
OG0004667	LOC6042010|XP_001851178.1|CQUI	LOC117574343|XP_034114055.1|DALB
OG0004668	LOC6047872|XP_038115207.1|CQUI	LOC117575282|XP_034115320.1|DALB
OG0004669	LOC6047885|XP_001864867.1|CQUI	LOC117564267|XP_034098860.1|DALB
OG0004670	LOC119768855|XP_038116243.1|CQUI	LOC117575122|XP_034115112.1|DALB
OG0004671	LOC119765492|XP_038105399.1|CQUI	LOC117575505|XP_034115639.1|DALB
OG0004673	LOC6034736|XP_001845016.1|CQUI	LOC117574666|XP_034114462.1|DALB
OG0004674	LOC6046478|XP_038104468.1|CQUI	LOC117575796|XP_034116064.1|DALB
OG0004675	LOC6046482|XP_001863671.1|CQUI	LOC117575990|XP_034116378.1|DALB
OG0004676	LOC6039291|XP_001848925.1|CQUI	LOC117574514|XP_034114264.1|DALB
OG0004677	LOC6046587|XP_038107034.1|CQUI	LOC117574177|XP_034113756.1|DALB
OG0004678	LOC6046584|XP_038106446.1|CQUI	LOC117574168|XP_034113747.1|DALB
OG0004679	LOC6036521|XP_038104151.1|CQUI	LOC117574465|XP_034114192.1|DALB
OG0004682	LOC6047462|XP_001864516.1|CQUI	LOC117565361|XP_034100315.1|DALB
OG0004683	LOC6047463|XP_001864517.1|CQUI	LOC117573600|XP_034112786.1|DALB
OG0004684	LOC6037516|XP_001847422.1|CQUI	LOC117575715|XP_034115943.1|DALB
OG0004685	LOC6037515|XP_038108651.1|CQUI	LOC117573810|XP_034113113.1|DALB
OG0004686	LOC6042013|XP_001851183.1|CQUI	LOC117576786|XP_034117728.1|DALB
OG0004687	LOC6035633|XP_038105047.1|CQUI	LOC117575388|XP_034115454.1|DALB
OG0004688	LOC6047618|XP_038118051.1|CQUI	LOC117576493|XP_034117162.1|DALB
OG0004689	LOC6034930|XP_038114205.1|CQUI	LOC117576607|XP_034117397.1|DALB
OG0004690	LOC6035208|XP_001845437.2|CQUI	LOC117575089|XP_034115076.1|DALB
OG0004691	LOC6035211|XP_001845440.2|CQUI	LOC117576800|XP_034117750.1|DALB
OG0004692	LOC6035214|XP_038104026.1|CQUI	LOC117574780|XP_034114622.1|DALB
OG0004693	LOC6035215|XP_038117356.1|CQUI	LOC117574779|XP_034114620.1|DALB
OG0004694	LOC6046411|XP_038122629.1|CQUI	LOC117575484|XP_034115608.1|DALB
OG0004695	LOC6039604|XP_038119858.1|CQUI	LOC117575986|XP_034116372.1|DALB
OG0004697	LOC6035351|XP_038104386.1|CQUI	LOC117577738|XP_034118537.1|DALB
OG0004698	LOC119765464|XP_038105270.1|CQUI	LOC117572726|XP_034111688.1|DALB
OG0004699	LOC6047919|XP_038104973.1|CQUI	LOC117575427|XP_034115522.1|DALB
OG0004700	LOC6035574|XP_001845729.2|CQUI	LOC117575234|XP_034115257.1|DALB
OG0004701	LOC6035554|XP_038110340.1|CQUI	LOC117574084|XP_034113610.1|DALB
OG0004702	LOC6050612|XP_038104352.1|CQUI	LOC117574007|XP_034113474.1|DALB
OG0004703	LOC6044856|XP_001862301.1|CQUI	LOC117575701|XP_034115905.1|DALB
OG0004704	LOC6045193|XP_038110275.1|CQUI	LOC117576221|XP_034116721.1|DALB
OG0004705	LOC6045190|XP_001862588.1|CQUI	LOC117573833|XP_034113156.1|DALB
OG0004706	LOC6045204|XP_038105866.1|CQUI	LOC117566971|XP_034102522.1|DALB
OG0004707	LOC6047830|XP_038116814.1|CQUI	LOC117575094|XP_034115085.1|DALB
OG0004708	LOC6047832|XP_038116987.1|CQUI	LOC117576742|XP_034117665.1|DALB
OG0004709	LOC6046601|XP_038122674.1|CQUI	LOC117576322|XP_034116879.1|DALB
OG0004710	LOC6046599|XP_038109528.1|CQUI	LOC117574331|XP_034114033.1|DALB
OG0004711	LOC6032578|XP_038104687.1|CQUI	LOC117574459|XP_034114188.1|DALB
OG0004712	LOC6040874|XP_001850204.2|CQUI	LOC117575365|XP_034115420.1|DALB
OG0004713	LOC6036798|XP_038106810.1|CQUI	LOC117574070|XP_034113587.1|DALB
OG0004714	LOC6036800|XP_038106831.1|CQUI	LOC117576811|XP_034117769.1|DALB
OG0004715	LOC6035086|XP_001845320.2|CQUI	LOC117563547|XP_034097816.1|DALB
OG0004716	LOC6032694|XP_001843254.2|CQUI	LOC117576510|XP_034117208.1|DALB
OG0004717	LOC6032682|XP_038104138.1|CQUI	LOC117571874|XP_034110225.1|DALB
OG0004718	LOC6032681|XP_038105108.1|CQUI	LOC117564185|XP_034098749.1|DALB
OG0004719	LOC6039168|XP_038107397.1|CQUI	LOC117573882|XP_034113251.1|DALB
OG0004720	LOC6039161|XP_001848817.1|CQUI	LOC117574009|XP_034113481.1|DALB
OG0004722	LOC6032630|XP_038105262.1|CQUI	LOC117574038|XP_034113529.1|DALB
OG0004724	LOC6032649|XP_038122997.1|CQUI	LOC117576548|XP_034117276.1|DALB
OG0004725	LOC6032650|XP_038104199.1|CQUI	LOC117573286|XP_034112281.1|DALB
OG0004726	LOC6032660|XP_038104648.1|CQUI	LOC117575966|XP_034116336.1|DALB
OG0004727	LOC6046598|XP_038104662.1|CQUI	LOC117574276|XP_034113915.1|DALB
OG0004728	LOC6042430|XP_001851545.1|CQUI	LOC117575238|XP_034115260.1|DALB
OG0004729	LOC6037482|XP_001847392.1|CQUI	LOC117577926|XP_034118819.1|DALB
OG0004730	LOC6037484|XP_001847394.2|CQUI	LOC117565284|XP_034100203.1|DALB
OG0004731	LOC6031661|XP_001842407.1|CQUI	LOC117575153|XP_034115147.1|DALB
OG0004732	LOC6046292|XP_038109784.1|CQUI	LOC117575098|XP_034115090.1|DALB
OG0004733	LOC6046295|XP_001863520.1|CQUI	LOC117575099|XP_034115091.1|DALB
OG0004734	LOC6046299|XP_001863524.2|CQUI	LOC117574983|XP_034114940.1|DALB
OG0004735	LOC6039070|XP_038122825.1|CQUI	LOC117575682|XP_034115862.1|DALB
OG0004736	LOC6048415|XP_038117705.1|CQUI	LOC117576627|XP_034117443.1|DALB
OG0004737	LOC6039929|XP_001849427.1|CQUI	LOC117575431|XP_034115526.1|DALB
OG0004738	LOC6039931|XP_001849429.2|CQUI	LOC117574958|XP_034114910.1|DALB
OG0004739	LOC6039934|XP_001849431.2|CQUI	LOC117575172|XP_034115174.1|DALB
OG0004740	LOC6033684|XP_001844110.2|CQUI	LOC117575952|XP_034116315.1|DALB
OG0004741	LOC6033683|XP_001844109.1|CQUI	LOC117573359|XP_034112377.1|DALB
OG0004742	LOC6033676|XP_038108765.1|CQUI	LOC117573196|XP_034112080.1|DALB
OG0004743	LOC6035507|XP_001845677.2|CQUI	LOC117575294|XP_034115332.1|DALB
OG0004744	LOC6035527|XP_001845692.2|CQUI	LOC117564433|XP_034099060.1|DALB
OG0004745	LOC119768951|XP_038116720.1|CQUI	LOC117575022|XP_034114991.1|DALB
OG0004746	LOC6034950|XP_038105446.1|CQUI	LOC117574793|XP_034114642.1|DALB
OG0004747	LOC6034945|XP_001845206.2|CQUI	LOC117574796|XP_034114646.1|DALB
OG0004748	LOC6034937|XP_038122916.1|CQUI	LOC117574792|XP_034114639.1|DALB
OG0004750	LOC6033696|XP_001844121.1|CQUI	LOC117575694|XP_034115897.1|DALB
OG0004751	LOC6033701|XP_001844124.2|CQUI	LOC117576266|XP_034116800.1|DALB
OG0004753	LOC6033704|XP_001844127.2|CQUI	LOC117574134|XP_034113690.1|DALB
OG0004754	LOC6033705|XP_001844128.1|CQUI	LOC117573292|XP_034112286.1|DALB
OG0004755	LOC6033712|XP_038117221.1|CQUI	LOC117575165|XP_034115159.1|DALB
OG0004756	LOC6033713|XP_001844134.2|CQUI	LOC117574162|XP_034113740.1|DALB
OG0004757	LOC6033720|XP_038105297.1|CQUI	LOC117576640|XP_034117456.1|DALB
OG0004758	LOC6039195|XP_038122528.1|CQUI	LOC117575255|XP_034115280.1|DALB
OG0004759	LOC6039198|XP_038122984.1|CQUI	LOC117574164|XP_034113743.1|DALB
OG0004760	LOC6039201|XP_038105092.1|CQUI	LOC117576910|XP_034117940.1|DALB
OG0004761	LOC6039606|XP_038112004.1|CQUI	LOC117576643|XP_034117463.1|DALB
OG0004763	LOC6038059|XP_038105125.1|CQUI	LOC117575777|XP_034116035.1|DALB
OG0004764	LOC6040682|XP_038104175.1|CQUI	LOC117576674|XP_034117560.1|DALB
OG0004765	LOC6040686|XP_038114839.1|CQUI	LOC117576021|XP_034116419.1|DALB
OG0004766	LOC6037332|XP_038116156.1|CQUI	LOC117574295|XP_034113988.1|DALB
OG0004767	LOC6037471|XP_001847378.2|CQUI	LOC117576109|XP_034116558.1|DALB
OG0004768	LOC6032709|XP_038115999.1|CQUI	LOC117574549|XP_034114312.1|DALB
OG0004769	LOC6035385|XP_038104454.1|CQUI	LOC117565486|XP_034100479.1|DALB
OG0004770	LOC6035386|XP_001845587.1|CQUI	LOC117576841|XP_034117814.1|DALB
OG0004771	LOC6035384|XP_001845585.2|CQUI	LOC117576594|XP_034117374.1|DALB
OG0004772	LOC6036804|XP_001846798.1|CQUI	LOC117576601|XP_034117386.1|DALB
OG0004775	LOC6035072|XP_038105378.1|CQUI	LOC117576067|XP_034116492.1|DALB
OG0004776	LOC6035068|XP_038104827.1|CQUI	LOC117572692|XP_034111634.1|DALB
OG0004777	LOC6035416|XP_001845609.1|CQUI	LOC117573159|XP_034112012.1|DALB, LOC117573154|XP_034112003.1|DALB
OG0004778	LOC119765159|XP_038104412.1|CQUI	LOC117565838|XP_034101040.1|DALB
OG0004779	LOC6035335|XP_038104406.1|CQUI	LOC117573644|XP_034112850.1|DALB
OG0004780	LOC6035328|XP_001845545.1|CQUI	LOC117564072|XP_034098588.1|DALB
OG0004781	LOC6047689|XP_038110351.1|CQUI	LOC117576352|XP_034116927.1|DALB
OG0004782	LOC6035537|XP_038110801.1|CQUI	LOC117574104|XP_034113638.1|DALB
OG0004783	LOC6046138|XP_038104914.1|CQUI	LOC117577619|XP_034118363.1|DALB
OG0004784	LOC6042432|XP_038105717.1|CQUI	LOC117575242|XP_034115266.1|DALB
OG0004785	LOC6040253|XP_001849692.2|CQUI	LOC117574806|XP_034114662.1|DALB
OG0004786	LOC6040257|XP_001849694.1|CQUI	LOC117574719|XP_034114533.1|DALB
OG0004787	LOC6040266|XP_038104916.1|CQUI	LOC117573443|XP_034112555.1|DALB
OG0004788	LOC6040267|XP_001849700.1|CQUI	LOC117575292|XP_034115330.1|DALB
OG0004789	LOC6040268|XP_038104574.1|CQUI	LOC117575283|XP_034115317.1|DALB
OG0004790	LOC6039077|XP_001848750.1|CQUI	LOC117575333|XP_034115380.1|DALB
OG0004791	LOC119771181|XP_038122656.1|CQUI	LOC117573663|XP_034112882.1|DALB
OG0004792	LOC6040663|XP_038105179.1|CQUI	LOC117576725|XP_034117638.1|DALB
OG0004793	LOC6040662|XP_038104480.1|CQUI	LOC117573896|XP_034113295.1|DALB
OG0004794	LOC6047061|XP_038122922.1|CQUI	LOC117575200|XP_034115208.1|DALB
OG0004796	LOC6040872|XP_038105237.1|CQUI	LOC117574340|XP_034114051.1|DALB
OG0004797	LOC6040880|XP_038105232.1|CQUI	LOC117575281|XP_034115314.1|DALB
OG0004798	LOC6040882|XP_001850211.2|CQUI	LOC117574066|XP_034113580.1|DALB
OG0004799	LOC6040692|XP_038111505.1|CQUI	LOC117576866|XP_034117859.1|DALB
OG0004800	LOC6037510|XP_001847416.1|CQUI	LOC117573650|XP_034112862.1|DALB
OG0004801	LOC6045592|XP_038105796.1|CQUI	LOC117575638|XP_034115809.1|DALB
OG0004803	LOC6033723|XP_038105889.1|CQUI	LOC117573304|XP_034112300.1|DALB
OG0004804	LOC6035052|XP_038104560.1|CQUI	LOC117576076|XP_034116511.1|DALB
OG0004805	LOC6038022|XP_038105589.1|CQUI	LOC117574288|XP_034113933.1|DALB
OG0004806	LOC6038033|XP_038123004.1|CQUI	LOC117577683|XP_034118469.1|DALB
OG0004807	LOC6039897|XP_001849395.1|CQUI	LOC117575440|XP_034115535.1|DALB
OG0004808	LOC6035066|XP_038104556.1|CQUI	LOC117573915|XP_034113317.1|DALB
OG0004811	LOC6042397|XP_038108448.1|CQUI	LOC117570486|XP_034108063.1|DALB
OG0004812	LOC6042392|XP_038112150.1|CQUI	LOC117576669|XP_034117541.1|DALB
OG0004813	LOC6036810|XP_038104805.1|CQUI	LOC117575975|XP_034116346.1|DALB
OG0004815	LOC6032039|XP_038105440.1|CQUI	LOC117563780|XP_034098182.1|DALB
OG0004816	LOC6032045|XP_001842711.2|CQUI	LOC117578043|XP_034119052.1|DALB
OG0004817	LOC6032046|XP_001842712.2|CQUI	LOC117569026|XP_034105911.1|DALB
OG0004818	LOC6032061|XP_001842727.1|CQUI	LOC117574989|XP_034114950.1|DALB
OG0004819	LOC6032069|XP_001842735.1|CQUI	LOC117573874|XP_034113242.1|DALB
OG0004820	LOC6032070|XP_001842736.2|CQUI	LOC117573916|XP_034113319.1|DALB
OG0004821	LOC6032072|XP_038115655.1|CQUI	LOC117576588|XP_034117366.1|DALB
OG0004822	LOC6032080|XP_038104760.1|CQUI	LOC117574334|XP_034114041.1|DALB
OG0004823	LOC6032083|XP_001842749.1|CQUI	LOC117574013|XP_034113488.1|DALB
OG0004824	LOC6032084|XP_001842750.2|CQUI	LOC117574015|XP_034113493.1|DALB
OG0004825	LOC6032099|XP_001842764.2|CQUI	LOC117573189|XP_034112068.1|DALB
OG0004826	LOC6035186|XP_001845416.2|CQUI	LOC117576662|XP_034117510.1|DALB
OG0004827	LOC6035188|XP_038105070.1|CQUI	LOC117576064|XP_034116490.1|DALB
OG0004828	LOC6035191|XP_001845421.1|CQUI	LOC117573645|XP_034112852.1|DALB
OG0004829	LOC6037399|XP_001847318.2|CQUI	LOC117573483|XP_034112601.1|DALB
OG0004833	LOC6033922|XP_038105632.1|CQUI	LOC117576704|XP_034117610.1|DALB
OG0004834	LOC6036795|XP_001846789.1|CQUI	LOC117575076|XP_034115061.1|DALB
OG0004835	LOC6036793|XP_001846787.2|CQUI	LOC117576086|XP_034116525.1|DALB
OG0004836	LOC6040910|XP_038122904.1|CQUI	LOC117573416|XP_034112513.1|DALB
OG0004837	LOC6040912|XP_001850240.1|CQUI	LOC117571768|XP_034110017.1|DALB, LOC117571767|XP_034110016.1|DALB, LOC117571770|XP_034110018.1|DALB
OG0004838	LOC6040929|XP_001850257.2|CQUI	LOC117574805|XP_034114661.1|DALB
OG0004839	LOC6040928|XP_038123034.1|CQUI	LOC117573804|XP_034113104.1|DALB
OG0004840	LOC6035404|XP_001845598.2|CQUI	LOC117576760|XP_034117696.1|DALB
OG0004841	LOC6037352|XP_001847275.2|CQUI	LOC117564155|XP_034098712.1|DALB
OG0004842	LOC6037342|XP_001847266.2|CQUI	LOC117575979|XP_034116353.1|DALB
OG0004844	LOC6033964|XP_001844352.1|CQUI	LOC117576241|XP_034116750.1|DALB
OG0004845	LOC6033967|XP_038104318.1|CQUI	LOC117573862|XP_034113224.1|DALB
OG0004846	LOC6045714|XP_001863022.2|CQUI	LOC117563253|XP_034097359.1|DALB
OG0004847	LOC6032647|XP_001843214.2|CQUI	LOC117563251|XP_034097355.1|DALB
OG0004850	LOC6053351|XP_038115052.1|CQUI	LOC117576893|XP_034117921.1|DALB
OG0004851	LOC6032009|XP_001842677.2|CQUI	LOC117576890|XP_034117915.1|DALB
OG0004852	LOC6032101|XP_038122533.1|CQUI	LOC117574111|XP_034113653.1|DALB
OG0004853	LOC6032797|XP_038117362.1|CQUI	LOC117568372|XP_034104866.1|DALB
OG0004854	LOC6032828|XP_001843366.2|CQUI	LOC117571573|XP_034109675.1|DALB
OG0004855	LOC6032837|XP_001843371.2|CQUI	LOC117571000|XP_034108839.1|DALB
OG0004856	LOC6032889|XP_038115758.1|CQUI	LOC117568747|XP_034105462.1|DALB
OG0004857	LOC6049345|XP_038121996.1|CQUI	LOC117568283|XP_034104688.1|DALB
OG0004858	LOC6031074|XP_038117926.1|CQUI	LOC117570350|XP_034107797.1|DALB
OG0004859	LOC6031066|XP_038121782.1|CQUI	LOC117570353|XP_034107814.1|DALB
OG0004860	LOC6031076|XP_001841927.1|CQUI	LOC117567852|XP_034103997.1|DALB
OG0004861	LOC6031081|XP_038114947.1|CQUI	LOC117571873|XP_034110210.1|DALB
OG0004862	LOC6031090|XP_038114567.1|CQUI	LOC117572306|XP_034110917.1|DALB
OG0004863	LOC6038677|XP_038116442.1|CQUI	LOC117567793|XP_034103908.1|DALB
OG0004864	LOC6038678|XP_038119126.1|CQUI	LOC117570032|XP_034107346.1|DALB
OG0004865	LOC6038680|XP_001848435.1|CQUI	LOC117575358|XP_034115414.1|DALB
OG0004866	LOC6042793|XP_038116607.1|CQUI	LOC117571498|XP_034109556.1|DALB
OG0004867	LOC6042378|XP_038113412.1|CQUI	LOC117571918|XP_034110286.1|DALB
OG0004868	LOC6042789|XP_001870794.1|CQUI	LOC117571919|XP_034110287.1|DALB
OG0004869	LOC6042795|XP_001870798.1|CQUI	LOC117566894|XP_034102400.1|DALB
OG0004870	LOC6042810|XP_001870808.1|CQUI	LOC117566901|XP_034102410.1|DALB
OG0004871	LOC6042816|XP_001870814.2|CQUI	LOC117569168|XP_034106125.1|DALB
OG0004872	LOC6047865|XP_001864864.1|CQUI	LOC117570447|XP_034107996.1|DALB
OG0004873	LOC6041056|XP_001850367.2|CQUI	LOC117564443|XP_034099073.1|DALB
OG0004874	LOC6041052|XP_001850363.2|CQUI	LOC117574808|XP_034114663.1|DALB
OG0004875	LOC6041042|XP_038121931.1|CQUI	LOC117578166|XP_034119335.1|DALB
OG0004876	LOC119769880|XP_038119587.1|CQUI	LOC117571569|XP_034109672.1|DALB
OG0004877	LOC6041025|XP_038122387.1|CQUI	LOC117570825|XP_034108580.1|DALB
OG0004878	LOC6031108|XP_038120035.1|CQUI	LOC117569673|XP_034106811.1|DALB
OG0004879	LOC6031116|XP_038118149.1|CQUI	LOC117568190|XP_034104539.1|DALB
OG0004880	LOC6031119|XP_001841964.1|CQUI	LOC117568393|XP_034104897.1|DALB
OG0004881	LOC6031120|XP_001841965.2|CQUI	LOC117568049|XP_034104284.1|DALB
OG0004882	LOC6031127|XP_038121858.1|CQUI	LOC117572764|XP_034111740.1|DALB
OG0004883	LOC6031128|XP_038121855.1|CQUI	LOC117570676|XP_034108366.1|DALB
OG0004884	LOC6031153|XP_038122195.1|CQUI	LOC117572713|XP_034111664.1|DALB
OG0004885	LOC6031160|XP_038122027.1|CQUI	LOC117571077|XP_034108943.1|DALB
OG0004886	LOC6031164|XP_001842007.1|CQUI	LOC117571984|XP_034110381.1|DALB
OG0004887	LOC6031165|XP_038121190.1|CQUI	LOC117570765|XP_034108490.1|DALB
OG0004888	LOC6031166|XP_038114576.1|CQUI	LOC117570398|XP_034107908.1|DALB
OG0004889	LOC6030975|XP_001841829.2|CQUI	LOC117568167|XP_034104489.1|DALB
OG0004890	LOC6030973|XP_038121809.1|CQUI	LOC117566913|XP_034102423.1|DALB
OG0004891	LOC6030968|XP_038121630.1|CQUI	LOC117565952|XP_034101236.1|DALB
OG0004892	LOC6031064|XP_038119798.1|CQUI	LOC117569999|XP_034107277.1|DALB
OG0004893	LOC6043930|XP_001861513.1|CQUI	LOC117568012|XP_034104226.1|DALB
OG0004894	LOC6043927|XP_001861510.2|CQUI	LOC117570760|XP_034108480.1|DALB
OG0004895	LOC6045536|XP_001862891.2|CQUI	LOC117572170|XP_034110711.1|DALB
OG0004896	LOC6051435|XP_038120460.1|CQUI	LOC117568664|XP_034105357.1|DALB
OG0004897	LOC6041058|XP_038117480.1|CQUI	LOC117568388|XP_034104889.1|DALB
OG0004898	LOC6041018|XP_038114929.1|CQUI	LOC117567150|XP_034102855.1|DALB
OG0004899	LOC6031099|XP_038121429.1|CQUI	LOC117572444|XP_034111165.1|DALB
OG0004900	LOC6054043|XP_038116191.1|CQUI	LOC117568207|XP_034104568.1|DALB
OG0004901	LOC6043919|XP_001861504.2|CQUI	LOC117569886|XP_034107116.1|DALB
OG0004902	LOC6043923|XP_038118580.1|CQUI	LOC117569996|XP_034107274.1|DALB
OG0004903	LOC6052661|XP_038118295.1|CQUI	LOC117566963|XP_034102505.1|DALB
OG0004904	LOC6046849|XP_001863984.1|CQUI	LOC117576631|XP_034117449.1|DALB
OG0004905	LOC6046852|XP_038118359.1|CQUI	LOC117572374|XP_034111031.1|DALB
OG0004906	LOC6030986|XP_001841839.2|CQUI	LOC117567578|XP_034103546.1|DALB
OG0004907	LOC6040644|XP_001850009.2|CQUI	LOC117572763|XP_034111739.1|DALB
OG0004908	LOC6043377|XP_038116517.1|CQUI	LOC117569009|XP_034105887.1|DALB
OG0004909	LOC6049586|XP_038115882.1|CQUI	LOC117572303|XP_034110908.1|DALB
OG0004910	LOC6039568|XP_001849162.2|CQUI	LOC117572302|XP_034110906.1|DALB
OG0004911	LOC6039557|XP_038118886.1|CQUI	LOC117568259|XP_034104636.1|DALB
