Orthogroup	CQUI.longest_only	SLEB.longest_only
OG0004715	LOC6035086|XP_001845320.2|CQUI	LOC115625811|XP_030376856.1|SLEB
OG0004716	LOC6032694|XP_001843254.2|CQUI	LOC115620236|XP_030369241.1|SLEB
OG0004717	LOC6032682|XP_038104138.1|CQUI	LOC115627478|XP_030379016.1|SLEB
OG0004718	LOC6032681|XP_038105108.1|CQUI	LOC115631531|XP_030384162.1|SLEB
OG0004719	LOC6039168|XP_038107397.1|CQUI	LOC115620944|XP_030370320.1|SLEB
OG0004720	LOC6039161|XP_001848817.1|CQUI	LOC115621393|XP_030370895.1|SLEB
OG0004722	LOC6032630|XP_038105262.1|CQUI	LOC115621848|XP_030371520.1|SLEB
OG0004724	LOC6032649|XP_038122997.1|CQUI	LOC115625206|XP_030376035.1|SLEB
OG0004725	LOC6032650|XP_038104199.1|CQUI	LOC115625308|XP_030376187.1|SLEB
OG0004726	LOC6032660|XP_038104648.1|CQUI	LOC115620335|XP_030369392.1|SLEB
OG0004727	LOC6046598|XP_038104662.1|CQUI	LOC115621656|XP_030371221.1|SLEB
OG0004728	LOC6042430|XP_001851545.1|CQUI	LOC115621223|XP_030370669.1|SLEB
OG0004729	LOC6037482|XP_001847392.1|CQUI	LOC115633327|XP_030386620.1|SLEB
OG0004730	LOC6037484|XP_001847394.2|CQUI	LOC115629010|XP_030381160.1|SLEB
OG0004731	LOC6031661|XP_001842407.1|CQUI	LOC115621065|XP_030370450.1|SLEB
OG0004732	LOC6046292|XP_038109784.1|CQUI	LOC115629445|XP_030381762.1|SLEB
OG0004733	LOC6046295|XP_001863520.1|CQUI	LOC115621171|XP_030370594.1|SLEB
OG0004734	LOC6046299|XP_001863524.2|CQUI	LOC115621140|XP_030370557.1|SLEB
OG0004735	LOC6039070|XP_038122825.1|CQUI	LOC115621953|XP_030371660.1|SLEB
OG0004736	LOC6048415|XP_038117705.1|CQUI	LOC115621738|XP_030371328.1|SLEB
OG0004737	LOC6039929|XP_001849427.1|CQUI	LOC115620358|XP_030369422.1|SLEB
OG0004738	LOC6039931|XP_001849429.2|CQUI	LOC115621153|XP_030370571.1|SLEB
OG0004739	LOC6039934|XP_001849431.2|CQUI	LOC115620594|XP_030369764.1|SLEB
OG0004740	LOC6033684|XP_001844110.2|CQUI	LOC115621244|XP_030370695.1|SLEB
OG0004741	LOC6033683|XP_001844109.1|CQUI	LOC115621731|XP_030371321.1|SLEB
OG0004742	LOC6033676|XP_038108765.1|CQUI	LOC115628004|XP_030379771.1|SLEB
OG0004743	LOC6035507|XP_001845677.2|CQUI	LOC115620646|XP_030369854.1|SLEB
OG0004744	LOC6035527|XP_001845692.2|CQUI	LOC115631748|XP_030384444.1|SLEB
OG0004745	LOC119768951|XP_038116720.1|CQUI	LOC115624125|XP_030374580.1|SLEB
OG0004746	LOC6034950|XP_038105446.1|CQUI	LOC115625197|XP_030376024.1|SLEB
OG0004747	LOC6034945|XP_001845206.2|CQUI	LOC115625198|XP_030376025.1|SLEB
OG0004748	LOC6034937|XP_038122916.1|CQUI	LOC115625126|XP_030375900.1|SLEB
OG0004749	LOC6037416|XP_038116787.1|CQUI	LOC115620771|XP_030370037.1|SLEB
OG0004750	LOC6033696|XP_001844121.1|CQUI	LOC115620903|XP_030370251.1|SLEB
OG0004751	LOC6033701|XP_001844124.2|CQUI	LOC115621097|XP_030370494.1|SLEB
OG0004752	LOC6033703|XP_001844126.1|CQUI	LOC115621554|XP_030371083.1|SLEB
OG0004753	LOC6033704|XP_001844127.2|CQUI	LOC115621891|XP_030371579.1|SLEB
OG0004754	LOC6033705|XP_001844128.1|CQUI	LOC115621669|XP_030371240.1|SLEB
OG0004755	LOC6033712|XP_038117221.1|CQUI	LOC115620311|XP_030369357.1|SLEB
OG0004756	LOC6033713|XP_001844134.2|CQUI	LOC115620310|XP_030369356.1|SLEB
OG0004757	LOC6033720|XP_038105297.1|CQUI	LOC115621906|XP_030371596.1|SLEB
OG0004758	LOC6039195|XP_038122528.1|CQUI	LOC115623515|XP_030373755.1|SLEB
OG0004759	LOC6039198|XP_038122984.1|CQUI	LOC115621308|XP_030370780.1|SLEB
OG0004760	LOC6039201|XP_038105092.1|CQUI	LOC115629456|XP_030381781.1|SLEB
OG0004761	LOC6039606|XP_038112004.1|CQUI	LOC115621168|XP_030370590.1|SLEB
OG0004762	LOC6038054|XP_038114918.1|CQUI	LOC115631323|XP_030383902.1|SLEB
OG0004763	LOC6038059|XP_038105125.1|CQUI	LOC115620918|XP_030370275.1|SLEB
OG0004764	LOC6040682|XP_038104175.1|CQUI	LOC115621753|XP_030371347.1|SLEB
OG0004765	LOC6040686|XP_038114839.1|CQUI	LOC115625455|XP_030376363.1|SLEB
OG0004766	LOC6037332|XP_038116156.1|CQUI	LOC115625317|XP_030376198.1|SLEB
OG0004767	LOC6037471|XP_001847378.2|CQUI	LOC115621964|XP_030371672.1|SLEB
OG0004768	LOC6032709|XP_038115999.1|CQUI	LOC115621405|XP_030370908.1|SLEB
OG0004769	LOC6035385|XP_038104454.1|CQUI	LOC115625962|XP_030377064.1|SLEB
OG0004770	LOC6035386|XP_001845587.1|CQUI	LOC115623550|XP_030373801.1|SLEB
OG0004771	LOC6035384|XP_001845585.2|CQUI	LOC115620534|XP_030369664.1|SLEB
OG0004772	LOC6036804|XP_001846798.1|CQUI	LOC115620399|XP_030369473.1|SLEB
OG0004773	LOC6035078|XP_001845313.2|CQUI	LOC115622029|XP_030371748.1|SLEB
OG0004774	LOC6035075|XP_038121003.1|CQUI	LOC115622030|XP_030371749.1|SLEB
OG0004775	LOC6035072|XP_038105378.1|CQUI	LOC115621063|XP_030370448.1|SLEB
OG0004776	LOC6035068|XP_038104827.1|CQUI	LOC115624343|XP_030374858.1|SLEB
OG0004777	LOC6035416|XP_001845609.1|CQUI	LOC115628658|XP_030380686.1|SLEB
OG0004778	LOC119765159|XP_038104412.1|CQUI	LOC115625858|XP_030376927.1|SLEB
OG0004779	LOC6035335|XP_038104406.1|CQUI	LOC115620317|XP_030369369.1|SLEB
OG0004780	LOC6035328|XP_001845545.1|CQUI	LOC115628543|XP_030380564.1|SLEB
OG0004781	LOC6047689|XP_038110351.1|CQUI	LOC115621835|XP_030371504.1|SLEB
OG0004782	LOC6035537|XP_038110801.1|CQUI	LOC115621391|XP_030370891.1|SLEB
OG0004783	LOC6046138|XP_038104914.1|CQUI	LOC115629641|XP_030382003.1|SLEB
OG0004784	LOC6042432|XP_038105717.1|CQUI	LOC115621830|XP_030371498.1|SLEB
OG0004785	LOC6040253|XP_001849692.2|CQUI	LOC115621648|XP_030371209.1|SLEB
OG0004786	LOC6040257|XP_001849694.1|CQUI	LOC115625640|XP_030376629.1|SLEB, LOC115621711|XP_030371280.1|SLEB
OG0004787	LOC6040266|XP_038104916.1|CQUI	LOC115621972|XP_030371682.1|SLEB
OG0004788	LOC6040267|XP_001849700.1|CQUI	LOC115621682|XP_030371252.1|SLEB, LOC115625644|XP_030376630.1|SLEB
OG0004789	LOC6040268|XP_038104574.1|CQUI	LOC115621971|XP_030371681.1|SLEB
OG0004790	LOC6039077|XP_001848750.1|CQUI	LOC115625359|XP_030376254.1|SLEB
OG0004791	LOC119771181|XP_038122656.1|CQUI	LOC115621099|XP_030370497.1|SLEB
OG0004792	LOC6040663|XP_038105179.1|CQUI	LOC115622017|XP_030371733.1|SLEB
OG0004793	LOC6040662|XP_038104480.1|CQUI	LOC115621712|XP_030371281.1|SLEB
OG0004794	LOC6047061|XP_038122922.1|CQUI	LOC115625091|XP_030375850.1|SLEB
OG0004796	LOC6040872|XP_038105237.1|CQUI	LOC115621349|XP_030370831.1|SLEB
OG0004797	LOC6040880|XP_038105232.1|CQUI	LOC115625211|XP_030376041.1|SLEB
OG0004798	LOC6040882|XP_001850211.2|CQUI	LOC115621252|XP_030370706.1|SLEB
OG0004799	LOC6040692|XP_038111505.1|CQUI	LOC115620553|XP_030369699.1|SLEB
OG0004800	LOC6037510|XP_001847416.1|CQUI	LOC115620712|XP_030369947.1|SLEB
OG0004801	LOC6045592|XP_038105796.1|CQUI	LOC115623646|XP_030373952.1|SLEB
OG0004803	LOC6033723|XP_038105889.1|CQUI	LOC115621969|XP_030371676.1|SLEB, LOC115630246|XP_030382649.1|SLEB
OG0004804	LOC6035052|XP_038104560.1|CQUI	LOC115625586|XP_030376556.1|SLEB
OG0004805	LOC6038022|XP_038105589.1|CQUI	LOC115625119|XP_030375888.1|SLEB
OG0004806	LOC6038033|XP_038123004.1|CQUI	LOC115629681|XP_030382063.1|SLEB
OG0004807	LOC6039897|XP_001849395.1|CQUI	LOC115628103|XP_030379944.1|SLEB
OG0004808	LOC6035066|XP_038104556.1|CQUI	LOC115625194|XP_030376020.1|SLEB
OG0004809	LOC6042403|XP_001851528.1|CQUI	LOC115620773|XP_030370041.1|SLEB
OG0004810	LOC6042402|XP_038123005.1|CQUI	LOC115621396|XP_030370897.1|SLEB
OG0004811	LOC6042397|XP_038108448.1|CQUI	LOC115633863|XP_030387215.1|SLEB
OG0004812	LOC6042392|XP_038112150.1|CQUI	LOC115625216|XP_030376047.1|SLEB
OG0004813	LOC6036810|XP_038104805.1|CQUI	LOC115621362|XP_030370846.1|SLEB
OG0004815	LOC6032039|XP_038105440.1|CQUI	LOC115629356|XP_030381669.1|SLEB
OG0004816	LOC6032045|XP_001842711.2|CQUI	LOC115630205|XP_030382633.1|SLEB
OG0004817	LOC6032046|XP_001842712.2|CQUI	LOC115630199|XP_030382627.1|SLEB
OG0004818	LOC6032061|XP_001842727.1|CQUI	LOC115620440|XP_030369527.1|SLEB
OG0004819	LOC6032069|XP_001842735.1|CQUI	LOC115620632|XP_030369822.1|SLEB
OG0004820	LOC6032070|XP_001842736.2|CQUI	LOC115625362|XP_030376259.1|SLEB
OG0004821	LOC6032072|XP_038115655.1|CQUI	LOC115621017|XP_030370397.1|SLEB
OG0004822	LOC6032080|XP_038104760.1|CQUI	LOC115621912|XP_030371606.1|SLEB
OG0004823	LOC6032083|XP_001842749.1|CQUI	LOC115620741|XP_030369988.1|SLEB
OG0004824	LOC6032084|XP_001842750.2|CQUI	LOC115620743|XP_030369996.1|SLEB
OG0004825	LOC6032099|XP_001842764.2|CQUI	LOC115628015|XP_030379804.1|SLEB
OG0004826	LOC6035186|XP_001845416.2|CQUI	LOC115625581|XP_030376546.1|SLEB
OG0004827	LOC6035188|XP_038105070.1|CQUI	LOC115621174|XP_030370598.1|SLEB
OG0004828	LOC6035191|XP_001845421.1|CQUI	LOC115621798|XP_030371436.1|SLEB
OG0004829	LOC6037399|XP_001847318.2|CQUI	LOC115620486|XP_030369579.1|SLEB
OG0004833	LOC6033922|XP_038105632.1|CQUI	LOC115625041|XP_030375749.1|SLEB
OG0004834	LOC6036795|XP_001846789.1|CQUI	LOC115620947|XP_030370322.1|SLEB
OG0004835	LOC6036793|XP_001846787.2|CQUI	LOC115621052|XP_030370432.1|SLEB
OG0004836	LOC6040910|XP_038122904.1|CQUI	LOC115620950|XP_030370325.1|SLEB
OG0004837	LOC6040912|XP_001850240.1|CQUI	LOC115633941|XP_030387319.1|SLEB
OG0004838	LOC6040929|XP_001850257.2|CQUI	LOC115628780|XP_030380853.1|SLEB
OG0004839	LOC6040928|XP_038123034.1|CQUI	LOC115628776|XP_030380847.1|SLEB
OG0004840	LOC6035404|XP_001845598.2|CQUI	LOC115625097|XP_030375855.1|SLEB
OG0004841	LOC6037352|XP_001847275.2|CQUI	LOC115626387|XP_030377606.1|SLEB
OG0004842	LOC6037342|XP_001847266.2|CQUI	LOC115621146|XP_030370562.1|SLEB
OG0004844	LOC6033964|XP_001844352.1|CQUI	LOC115626766|XP_030378083.1|SLEB
OG0004845	LOC6033967|XP_038104318.1|CQUI	LOC115623358|XP_030373503.1|SLEB
OG0004846	LOC6045714|XP_001863022.2|CQUI	LOC115623229|XP_030373337.1|SLEB
OG0004847	LOC6032647|XP_001843214.2|CQUI	LOC115631988|XP_030384774.1|SLEB
OG0004850	LOC6053351|XP_038115052.1|CQUI	LOC115629444|XP_030381757.1|SLEB
OG0004851	LOC6032009|XP_001842677.2|CQUI	LOC115629450|XP_030381774.1|SLEB
OG0004852	LOC6032101|XP_038122533.1|CQUI	LOC115623605|XP_030373880.1|SLEB
OG0004853	LOC6032797|XP_038117362.1|CQUI	LOC115629423|XP_030381742.1|SLEB
OG0004854	LOC6032828|XP_001843366.2|CQUI	LOC115633142|XP_030386409.1|SLEB
OG0004855	LOC6032837|XP_001843371.2|CQUI	LOC115632767|XP_030385876.1|SLEB
OG0004856	LOC6032889|XP_038115758.1|CQUI	LOC115633150|XP_030386420.1|SLEB
OG0004857	LOC6049345|XP_038121996.1|CQUI	LOC115632979|XP_030386150.1|SLEB
OG0004858	LOC6031074|XP_038117926.1|CQUI	LOC115632096|XP_030384938.1|SLEB
OG0004859	LOC6031066|XP_038121782.1|CQUI	LOC115632392|XP_030385382.1|SLEB
OG0004860	LOC6031076|XP_001841927.1|CQUI	LOC115632123|XP_030384987.1|SLEB
OG0004861	LOC6031081|XP_038114947.1|CQUI	LOC115622892|XP_030372854.1|SLEB
OG0004862	LOC6031090|XP_038114567.1|CQUI	LOC115623112|XP_030373179.1|SLEB
OG0004863	LOC6038677|XP_038116442.1|CQUI	LOC115628376|XP_030380315.1|SLEB
OG0004864	LOC6038678|XP_038119126.1|CQUI	LOC115622244|XP_030372001.1|SLEB
OG0004865	LOC6038680|XP_001848435.1|CQUI	LOC115620769|XP_030370034.1|SLEB
OG0004866	LOC6042793|XP_038116607.1|CQUI	LOC115632494|XP_030385531.1|SLEB
OG0004867	LOC6042378|XP_038113412.1|CQUI	LOC115619999|XP_030368948.1|SLEB
OG0004868	LOC6042789|XP_001870794.1|CQUI	LOC115620001|XP_030368950.1|SLEB
OG0004869	LOC6042795|XP_001870798.1|CQUI	LOC115633848|XP_030387200.1|SLEB
OG0004870	LOC6042810|XP_001870808.1|CQUI	LOC115621242|XP_030370697.1|SLEB
OG0004871	LOC6042816|XP_001870814.2|CQUI	LOC115619982|XP_030368882.1|SLEB
OG0004872	LOC6047865|XP_001864864.1|CQUI	LOC115634788|XP_030388556.1|SLEB
OG0004873	LOC6041056|XP_001850367.2|CQUI	LOC115631089|XP_030383597.1|SLEB
OG0004874	LOC6041052|XP_001850363.2|CQUI	LOC115623752|XP_030374146.1|SLEB
OG0004875	LOC6041042|XP_038121931.1|CQUI	LOC115628767|XP_030380842.1|SLEB
OG0004876	LOC119769880|XP_038119587.1|CQUI	LOC115627085|XP_030378495.1|SLEB
OG0004877	LOC6041025|XP_038122387.1|CQUI	LOC115627860|XP_030379581.1|SLEB
OG0004878	LOC6031108|XP_038120035.1|CQUI	LOC115633649|XP_030386951.1|SLEB
OG0004879	LOC6031116|XP_038118149.1|CQUI	LOC115633632|XP_030386930.1|SLEB
OG0004880	LOC6031119|XP_001841964.1|CQUI	LOC115633865|XP_030387220.1|SLEB
OG0004881	LOC6031120|XP_001841965.2|CQUI	LOC115624674|XP_030375331.1|SLEB
OG0004882	LOC6031127|XP_038121858.1|CQUI	LOC115633149|XP_030386419.1|SLEB
OG0004883	LOC6031128|XP_038121855.1|CQUI	LOC115632404|XP_030385399.1|SLEB
OG0004884	LOC6031153|XP_038122195.1|CQUI	LOC115634744|XP_030388491.1|SLEB
OG0004885	LOC6031160|XP_038122027.1|CQUI	LOC115633799|XP_030387142.1|SLEB
OG0004886	LOC6031164|XP_001842007.1|CQUI	LOC115631349|XP_030383929.1|SLEB
OG0004887	LOC6031165|XP_038121190.1|CQUI	LOC115624215|XP_030374687.1|SLEB, LOC115632114|XP_030384971.1|SLEB
OG0004888	LOC6031166|XP_038114576.1|CQUI	LOC115634508|XP_030388134.1|SLEB
OG0004889	LOC6030975|XP_001841829.2|CQUI	LOC115620329|XP_030369397.1|SLEB
OG0004890	LOC6030973|XP_038121809.1|CQUI	LOC115627797|XP_030379488.1|SLEB
OG0004891	LOC6030968|XP_038121630.1|CQUI	LOC115629265|XP_030381549.1|SLEB
OG0004892	LOC6031064|XP_038119798.1|CQUI	LOC115633970|XP_030387351.1|SLEB
OG0004893	LOC6043930|XP_001861513.1|CQUI	LOC115629944|XP_030382452.1|SLEB
OG0004894	LOC6043927|XP_001861510.2|CQUI	LOC115634805|XP_030388577.1|SLEB
OG0004895	LOC6045536|XP_001862891.2|CQUI	LOC115633311|XP_030386604.1|SLEB
OG0004896	LOC6051435|XP_038120460.1|CQUI	LOC115626833|XP_030378177.1|SLEB
OG0004897	LOC6041058|XP_038117480.1|CQUI	LOC115624567|XP_030375159.1|SLEB
OG0004898	LOC6041018|XP_038114929.1|CQUI	LOC115619989|XP_030368922.1|SLEB
OG0004899	LOC6031099|XP_038121429.1|CQUI	LOC115619944|XP_030368831.1|SLEB
OG0004900	LOC6054043|XP_038116191.1|CQUI	LOC115628005|XP_030379787.1|SLEB
OG0004901	LOC6043919|XP_001861504.2|CQUI	LOC115628933|XP_030381069.1|SLEB
OG0004902	LOC6043923|XP_038118580.1|CQUI	LOC115622200|XP_030371954.1|SLEB
OG0004903	LOC6052661|XP_038118295.1|CQUI	LOC115634353|XP_030387871.1|SLEB
OG0004904	LOC6046849|XP_001863984.1|CQUI	LOC115620239|XP_030369246.1|SLEB
OG0004905	LOC6046852|XP_038118359.1|CQUI	LOC115620009|XP_030368968.1|SLEB
OG0004906	LOC6030986|XP_001841839.2|CQUI	LOC115632445|XP_030385451.1|SLEB
OG0004907	LOC6040644|XP_001850009.2|CQUI	LOC115632385|XP_030385374.1|SLEB
OG0004908	LOC6043377|XP_038116517.1|CQUI	LOC115632334|XP_030385299.1|SLEB
OG0004909	LOC6049586|XP_038115882.1|CQUI	LOC115633072|XP_030386303.1|SLEB
OG0004910	LOC6039568|XP_001849162.2|CQUI	LOC115633071|XP_030386301.1|SLEB
OG0004911	LOC6039557|XP_038118886.1|CQUI	LOC115632917|XP_030386068.1|SLEB, LOC115626804|XP_030378134.1|SLEB
OG0004912	LOC6053801|XP_038120512.1|CQUI	LOC115632563|XP_030385641.1|SLEB
OG0004913	LOC6052188|XP_001868490.1|CQUI	LOC115620003|XP_030368951.1|SLEB
OG0004914	LOC6043324|XP_038116587.1|CQUI	LOC115623750|XP_030374148.1|SLEB
OG0004915	LOC6043331|XP_001858490.1|CQUI	LOC115624590|XP_030375192.1|SLEB
OG0004916	LOC6043338|XP_038118846.1|CQUI	LOC115620053|XP_030369046.1|SLEB
OG0004917	LOC6053707|XP_001867574.2|CQUI	LOC115624975|XP_030375687.1|SLEB
OG0004918	LOC6053706|XP_038117721.1|CQUI	LOC115624972|XP_030375683.1|SLEB
OG0004919	LOC6053382|XP_038119032.1|CQUI	LOC115621374|XP_030370861.1|SLEB
OG0004920	LOC6050541|XP_038120184.1|CQUI	LOC115623162|XP_030373237.1|SLEB
OG0004921	LOC6047306|XP_038116264.1|CQUI	LOC115628223|XP_030380079.1|SLEB
OG0004922	LOC6043699|XP_038117260.1|CQUI	LOC115633155|XP_030386425.1|SLEB
OG0004923	LOC6047329|XP_001864405.2|CQUI	LOC115625669|XP_030376664.1|SLEB, LOC115624792|XP_030375495.1|SLEB
OG0004924	LOC6049786|XP_001866493.2|CQUI	LOC115632679|XP_030385772.1|SLEB
OG0004925	LOC6054018|XP_038121726.1|CQUI	LOC115632171|XP_030385060.1|SLEB
OG0004926	LOC6050503|XP_038119835.1|CQUI	LOC115623059|XP_030373098.1|SLEB
OG0004927	LOC6040746|XP_038119907.1|CQUI	LOC115632977|XP_030386148.1|SLEB
OG0004928	LOC6035292|XP_038117794.1|CQUI	LOC115634361|XP_030387940.1|SLEB
OG0004929	LOC6035309|XP_038118096.1|CQUI	LOC115628308|XP_030380218.1|SLEB
OG0004930	LOC6041606|XP_038119499.1|CQUI	LOC115624604|XP_030375213.1|SLEB
OG0004931	LOC6049358|XP_001866123.2|CQUI	LOC115623097|XP_030373166.1|SLEB
OG0004932	LOC6049348|XP_001866127.2|CQUI	LOC115632714|XP_030385816.1|SLEB
OG0004933	LOC6049349|XP_001866128.1|CQUI	LOC115628443|XP_030380421.1|SLEB
OG0004934	LOC6049350|XP_001866129.2|CQUI	LOC115633957|XP_030387335.1|SLEB
OG0004935	LOC6047852|XP_001864855.2|CQUI	LOC115620019|XP_030368983.1|SLEB
OG0004936	LOC6030990|XP_038115490.1|CQUI	LOC115622742|XP_030372649.1|SLEB
OG0004937	LOC6030983|XP_001841836.2|CQUI	LOC115632386|XP_030385375.1|SLEB
OG0004938	LOC119771269|XP_038123052.1|CQUI, LOC6031028|XP_001841880.1|CQUI	LOC115622824|XP_030372759.1|SLEB
OG0004939	LOC6031030|XP_038120410.1|CQUI	LOC115633722|XP_030387048.1|SLEB, LOC115633745|XP_030387078.1|SLEB
OG0004940	LOC6031035|XP_038117384.1|CQUI	LOC115623825|XP_030374233.1|SLEB
OG0004941	LOC6031042|XP_038114824.1|CQUI	LOC115632715|XP_030385818.1|SLEB
OG0004942	LOC6031047|XP_038117859.1|CQUI	LOC115622719|XP_030372619.1|SLEB
OG0004943	LOC6031049|XP_001841898.1|CQUI	LOC115622485|XP_030372291.1|SLEB
OG0004944	LOC6031063|XP_038122012.1|CQUI	LOC115622588|XP_030372443.1|SLEB
OG0004945	LOC6034091|XP_001844459.1|CQUI	LOC115625172|XP_030375991.1|SLEB
OG0004946	LOC6031006|XP_038120661.1|CQUI	LOC115628180|XP_030380027.1|SLEB
OG0004947	LOC6030999|XP_038118718.1|CQUI	LOC115628241|XP_030380114.1|SLEB
OG0004948	LOC6042818|XP_001870816.2|CQUI	LOC115628411|XP_030380359.1|SLEB
OG0004949	LOC6042820|XP_038120566.1|CQUI	LOC115628362|XP_030380299.1|SLEB
OG0004950	LOC6042821|XP_038119055.1|CQUI	LOC115632909|XP_030386059.1|SLEB
OG0004951	LOC6042824|XP_038116571.1|CQUI	LOC115621224|XP_030370670.1|SLEB
OG0004952	LOC6042826|XP_001870823.1|CQUI	LOC115632666|XP_030385760.1|SLEB
OG0004953	LOC6042828|XP_001870825.1|CQUI	LOC115632183|XP_030385077.1|SLEB
OG0004954	LOC6044579|XP_001862072.2|CQUI	LOC115632483|XP_030385518.1|SLEB
OG0004955	LOC6039263|XP_001848898.2|CQUI	LOC115622606|XP_030372464.1|SLEB
OG0004956	LOC6039267|XP_038115125.1|CQUI	LOC115634411|XP_030387967.1|SLEB
OG0004957	LOC6044083|XP_038114695.1|CQUI	LOC115632455|XP_030385471.1|SLEB
OG0004958	LOC6044069|XP_038116052.1|CQUI	LOC115632451|XP_030385462.1|SLEB
OG0004959	LOC6044062|XP_038121183.1|CQUI	LOC115632889|XP_030386030.1|SLEB
OG0004960	LOC6044067|XP_038122351.1|CQUI	LOC115632319|XP_030385282.1|SLEB
OG0004961	LOC6044063|XP_001861634.2|CQUI	LOC115627004|XP_030378384.1|SLEB
OG0004962	LOC6044088|XP_001861631.1|CQUI	LOC115632199|XP_030385105.1|SLEB
OG0004963	LOC119768573|XP_038114513.1|CQUI	LOC115621909|XP_030371604.1|SLEB
OG0004964	LOC6051406|XP_038117934.1|CQUI	LOC115623234|XP_030373343.1|SLEB
OG0004965	LOC6045672|XP_001862990.1|CQUI	LOC115622930|XP_030372918.1|SLEB
OG0004966	LOC119769641|XP_038118806.1|CQUI	LOC115623278|XP_030373420.1|SLEB
OG0004967	LOC6047369|XP_001864441.1|CQUI	LOC115633851|XP_030387202.1|SLEB
OG0004968	LOC119769240|XP_038117101.1|CQUI	LOC115624652|XP_030375292.1|SLEB
OG0004969	LOC6053218|XP_038121462.1|CQUI	LOC115634209|XP_030387661.1|SLEB
OG0004970	LOC6053219|XP_038121463.1|CQUI	LOC115632640|XP_030385730.1|SLEB
OG0004971	LOC6038838|XP_038121464.1|CQUI	LOC115632164|XP_030385051.1|SLEB
OG0004972	LOC119770493|XP_038121416.1|CQUI, LOC119769771|XP_038119276.1|CQUI	LOC115622906|XP_030372889.1|SLEB
OG0004973	LOC6038820|XP_001848537.1|CQUI	LOC115633118|XP_030386367.1|SLEB
OG0004974	LOC6038807|XP_038117097.1|CQUI	LOC115632605|XP_030385692.1|SLEB
OG0004975	LOC6047332|XP_001864408.1|CQUI	LOC115624990|XP_030375718.1|SLEB
OG0004976	LOC6047334|XP_038120001.1|CQUI	LOC115628343|XP_030380267.1|SLEB
OG0004977	LOC6038664|XP_001848421.2|CQUI	LOC115620170|XP_030369161.1|SLEB
OG0004978	LOC6043644|XP_038118720.1|CQUI	LOC115623560|XP_030373820.1|SLEB
OG0004979	LOC6040580|XP_038119611.1|CQUI	LOC115622514|XP_030372328.1|SLEB
OG0004980	LOC6044646|XP_038121367.1|CQUI	LOC115622844|XP_030372785.1|SLEB
OG0004981	LOC6030984|XP_001841837.2|CQUI	LOC115633670|XP_030386975.1|SLEB
OG0004982	LOC6030985|XP_001841838.2|CQUI	LOC115633824|XP_030387171.1|SLEB
OG0004983	LOC6030977|XP_001841831.2|CQUI	LOC115632288|XP_030385241.1|SLEB
OG0004984	LOC6042840|XP_001870836.1|CQUI	LOC115622800|XP_030372725.1|SLEB
OG0004985	LOC6039545|XP_038118683.1|CQUI	LOC115628369|XP_030380305.1|SLEB
OG0004986	LOC6039551|XP_038120315.1|CQUI	LOC115622315|XP_030372081.1|SLEB
OG0004987	LOC6039550|XP_038119871.1|CQUI	LOC115632953|XP_030386110.1|SLEB
OG0004988	LOC6039548|XP_038121779.1|CQUI	LOC115628250|XP_030380126.1|SLEB
OG0004989	LOC6039553|XP_001849150.2|CQUI	LOC115632449|XP_030385459.1|SLEB
OG0004990	LOC6048516|XP_038118480.1|CQUI	LOC115634248|XP_030387702.1|SLEB
OG0004991	LOC6050162|XP_038114619.1|CQUI	LOC115634751|XP_030388501.1|SLEB
OG0004992	LOC119770788|XP_038122210.1|CQUI	LOC115634752|XP_030388503.1|SLEB
OG0004994	LOC6048750|XP_038120756.1|CQUI	LOC115628405|XP_030380354.1|SLEB
OG0004995	LOC6053538|XP_038122203.1|CQUI	LOC115632732|XP_030385838.1|SLEB
OG0004996	LOC6040205|XP_038115200.1|CQUI	LOC115632332|XP_030385297.1|SLEB
OG0004997	LOC6047338|XP_038120638.1|CQUI	LOC115624930|XP_030375644.1|SLEB
OG0004998	LOC6042306|XP_038120682.1|CQUI	LOC115634227|XP_030387678.1|SLEB
OG0004999	LOC6042305|XP_001851441.2|CQUI	LOC115622896|XP_030372872.1|SLEB
OG0005000	LOC6042316|XP_001851449.1|CQUI	LOC115622262|XP_030372027.1|SLEB
OG0005001	LOC6042318|XP_038117643.1|CQUI	LOC115623045|XP_030373081.1|SLEB
OG0005002	LOC6036305|XP_001846371.1|CQUI	LOC115623966|XP_030374394.1|SLEB
OG0005003	LOC6039421|XP_001849033.1|CQUI	LOC115633139|XP_030386406.1|SLEB
OG0005004	LOC6039420|XP_038117210.1|CQUI	LOC115622566|XP_030372398.1|SLEB
OG0005005	LOC6050235|XP_038121592.1|CQUI	LOC115634528|XP_030388194.1|SLEB
OG0005006	LOC6048924|XP_038118322.1|CQUI	LOC115632177|XP_030385069.1|SLEB
OG0005007	LOC6050230|XP_038118701.1|CQUI	LOC115632705|XP_030385803.1|SLEB
OG0005008	LOC6050233|XP_038117209.1|CQUI	LOC115622417|XP_030372210.1|SLEB
OG0005009	LOC6050239|XP_001866878.2|CQUI	LOC115628541|XP_030380562.1|SLEB
OG0005010	LOC6037314|XP_001847240.1|CQUI	LOC115624360|XP_030374927.1|SLEB
OG0005011	LOC6037315|XP_038115551.1|CQUI	LOC115634583|XP_030388276.1|SLEB
OG0005012	LOC6052708|XP_001868935.2|CQUI	LOC115622677|XP_030372554.1|SLEB
OG0005013	LOC6044826|XP_038117755.1|CQUI	LOC115625382|XP_030376278.1|SLEB
