Orthogroup	BCOP.longest_only	DPSE.longest_only
OG0004063	LOC119073988|XP_037035800.1|BCOP	LOC4815636|XP_001355386.1|DPSE
OG0004064	LOC119079891|XP_037043872.1|BCOP	LOC4813211|XP_001353432.1|DPSE
OG0004065	LOC119085542|XP_037051850.1|BCOP	LOC6899112|XP_033234688.1|DPSE
OG0004066	LOC119085498|XP_037051808.1|BCOP	LOC4803966|XP_001360604.3|DPSE
OG0004067	LOC119071950|XP_037032977.1|BCOP	LOC4815427|XP_001355338.1|DPSE
OG0004068	LOC119085721|XP_037052064.1|BCOP, LOC119074473|XP_037036510.1|BCOP	LOC4803026|XP_001359828.1|DPSE
OG0004069	LOC119074472|XP_037036509.1|BCOP	LOC6897677|XP_015037961.2|DPSE
OG0004070	LOC119067750|XP_037026774.1|BCOP	LOC4813531|XP_001353551.3|DPSE
OG0004071	LOC119077773|XP_037040977.1|BCOP	LOC4813996|XP_001354174.2|DPSE
OG0004072	LOC119077775|XP_037040980.1|BCOP	LOC4813997|XP_001354173.3|DPSE
OG0004073	LOC119073845|XP_037035583.1|BCOP	LOC4815569|XP_001355721.4|DPSE
OG0004074	LOC119082860|XP_037048417.1|BCOP	LOC6898413|XP_002138459.3|DPSE
OG0004075	LOC119072244|XP_037033319.1|BCOP	LOC4804378|XP_001360949.3|DPSE
OG0004076	LOC119066171|XP_037024363.1|BCOP	LOC4804379|XP_001360950.3|DPSE
OG0004077	LOC119067377|XP_037026196.1|BCOP	LOC4816331|XP_001355926.2|DPSE
OG0004078	LOC119076887|XP_037039786.1|BCOP	LOC4802199|XP_001359166.2|DPSE
OG0004079	LOC119077638|XP_037040754.1|BCOP	LOC4814961|XP_001355150.1|DPSE
OG0004080	LOC119085856|XP_037052262.1|BCOP	LOC4803780|XP_001360442.1|DPSE
OG0004081	LOC119078280|XP_037041664.1|BCOP, LOC119078281|XP_037041667.1|BCOP	LOC6898823|XP_033234289.1|DPSE
OG0004082	LOC119076714|XP_037039527.1|BCOP	LOC6899871|XP_002135667.2|DPSE
OG0004083	LOC119078791|XP_037042399.1|BCOP	LOC4801753|XP_002137483.3|DPSE, LOC6903902|XP_033232489.1|DPSE
OG0004084	LOC119076804|XP_037039664.1|BCOP	LOC4812467|XP_001352956.4|DPSE
OG0004085	LOC119085738|XP_037052104.1|BCOP	LOC4802068|XP_001359061.1|DPSE
OG0004086	LOC119081628|XP_037046574.1|BCOP	LOC4801247|XP_001358370.3|DPSE
OG0004087	LOC119076013|XP_037038499.1|BCOP	LOC4814841|XP_015041639.2|DPSE
OG0004088	LOC119068153|XP_037027519.1|BCOP	LOC4801141|XP_001358280.1|DPSE
OG0004089	LOC119085200|XP_037051443.1|BCOP	LOC6901779|XP_033241472.1|DPSE
OG0004090	LOC119074294|XP_037036205.1|BCOP	LOC4802168|XP_001359141.3|DPSE
OG0004091	LOC119073779|XP_037035353.1|BCOP	LOC4802396|XP_033233171.1|DPSE
OG0004092	LOC119075018|XP_037037321.1|BCOP	LOC4815968|XP_001355267.2|DPSE
OG0004094	LOC119074513|XP_037036570.1|BCOP	LOC4815249|XP_001355160.2|DPSE
OG0004095	LOC119077702|XP_037040871.1|BCOP	LOC4802841|XP_001359677.5|DPSE
OG0004096	LOC119080038|XP_037044125.1|BCOP	LOC4801246|XP_001358369.3|DPSE
OG0004097	LOC119084221|XP_037050015.1|BCOP	LOC4812848|XP_001353502.1|DPSE
OG0004098	LOC119084218|XP_037050009.1|BCOP	LOC4802071|XP_015037590.2|DPSE
OG0004099	LOC119074972|XP_037037266.1|BCOP	LOC4802521|XP_033233474.1|DPSE
OG0004100	LOC119076730|XP_037039538.1|BCOP	LOC4802512|XP_001359420.3|DPSE
OG0004101	LOC119082202|XP_037047531.1|BCOP	LOC117184958|XP_033240112.1|DPSE, LOC4802510|XP_001359419.4|DPSE
OG0004102	LOC119076731|XP_037039542.1|BCOP	LOC6897637|XP_002137781.4|DPSE
OG0004103	LOC119068568|XP_037028108.1|BCOP	LOC4802201|XP_001359168.3|DPSE
OG0004104	LOC119084002|XP_037049709.1|BCOP	LOC4800543|XP_015038648.2|DPSE
OG0004105	LOC119076006|XP_037038481.1|BCOP	LOC4813298|XP_001353434.2|DPSE
OG0004106	LOC119074390|XP_037036404.1|BCOP	LOC4813958|XP_033238095.1|DPSE
OG0004107	LOC119074389|XP_037036403.1|BCOP	LOC4814106|XP_001354284.1|DPSE
OG0004108	LOC119074849|XP_037037058.1|BCOP	LOC4803096|XP_001359894.2|DPSE
OG0004109	LOC119070070|XP_037030266.1|BCOP	LOC4802167|XP_001359140.2|DPSE
OG0004110	LOC119084405|XP_037050267.1|BCOP	LOC4812415|XP_001352888.1|DPSE
OG0004111	LOC119084347|XP_037050183.1|BCOP	LOC4802668|XP_001359540.2|DPSE
OG0004112	LOC119071187|XP_037031856.1|BCOP	LOC4802183|XP_001359152.2|DPSE
OG0004113	LOC119071145|XP_037031772.1|BCOP	LOC4815486|XP_033238731.1|DPSE
OG0004114	LOC119077606|XP_037040715.1|BCOP	LOC4814401|XP_001354456.2|DPSE
OG0004115	LOC119077613|XP_037040725.1|BCOP	LOC4814368|XP_001354458.2|DPSE
OG0004116	LOC119082208|XP_037047548.1|BCOP	LOC4802672|XP_001359542.3|DPSE
OG0004117	LOC119076786|XP_037039641.1|BCOP	LOC4802864|XP_001359698.2|DPSE
OG0004118	LOC119081904|XP_037047032.1|BCOP	LOC4804002|XP_001360633.2|DPSE
OG0004119	LOC119071602|XP_037032448.1|BCOP	LOC4803172|XP_001359956.1|DPSE
OG0004120	LOC119084834|XP_037050818.1|BCOP	LOC4803108|XP_001359905.4|DPSE
OG0004122	LOC119084349|XP_037050186.1|BCOP	LOC4803090|XP_001359889.2|DPSE
OG0004123	LOC119074601|XP_037036747.1|BCOP	LOC4802691|XP_015038009.2|DPSE
OG0004124	LOC119074769|XP_037036933.1|BCOP	LOC6902255|XP_002133782.3|DPSE
OG0004125	LOC119076777|XP_037039628.1|BCOP	LOC4800249|XP_003736222.1|DPSE
OG0004126	LOC119076780|XP_037039631.1|BCOP	LOC4800260|XP_015038744.2|DPSE
OG0004127	LOC119068131|XP_037027488.1|BCOP	LOC4816884|XP_001356321.1|DPSE
OG0004128	LOC119077982|XP_037041258.1|BCOP	LOC4802387|XP_001359315.2|DPSE
OG0004129	LOC119078635|XP_037042125.1|BCOP, LOC119078962|XP_037042607.1|BCOP	LOC6898892|XP_033235064.1|DPSE
OG0004130	LOC119076894|XP_037039795.1|BCOP	LOC4815096|XP_015041824.2|DPSE
OG0004131	LOC119076701|XP_037039508.1|BCOP	LOC4802879|XP_001359708.1|DPSE
OG0004132	LOC119084158|XP_037049904.1|BCOP	LOC4813370|XP_001353867.1|DPSE
OG0004133	LOC119076485|XP_037039165.1|BCOP	LOC4817711|XP_001357089.3|DPSE
OG0004134	LOC119071548|XP_037032349.1|BCOP	LOC4802127|XP_033233092.1|DPSE
OG0004135	LOC119077844|XP_037041058.1|BCOP	LOC4803056|XP_033232971.1|DPSE
OG0004136	LOC119077670|XP_037040809.1|BCOP	LOC4802721|XP_001359586.3|DPSE
OG0004137	LOC119074117|XP_037035979.1|BCOP	LOC4804714|XP_001361232.2|DPSE
OG0004138	LOC119074347|XP_037036337.1|BCOP	LOC4812177|XP_001352590.1|DPSE
OG0004139	LOC119074341|XP_037036329.1|BCOP	LOC4815206|XP_001354666.4|DPSE
OG0004140	LOC119071454|XP_037032201.1|BCOP	LOC4815883|XP_001355564.2|DPSE
OG0004141	LOC119071990|XP_037033007.1|BCOP, LOC119071992|XP_037033008.1|BCOP	LOC4804630|XP_033233841.1|DPSE
OG0004142	LOC119074583|XP_037036711.1|BCOP	LOC4814246|XP_001354442.1|DPSE
OG0004143	LOC119077905|XP_037041173.1|BCOP	LOC4800835|XP_001358039.3|DPSE
OG0004144	LOC119077842|XP_037041056.1|BCOP	LOC4816916|XP_001356339.1|DPSE
OG0004145	LOC119073999|XP_037035827.1|BCOP	LOC4814135|XP_001354192.3|DPSE
OG0004146	LOC119076775|XP_037039625.1|BCOP	LOC4802322|XP_001359262.3|DPSE
OG0004147	LOC119073948|XP_037035733.1|BCOP	LOC4816976|XP_001356326.2|DPSE
OG0004148	LOC119084368|XP_037050212.1|BCOP	LOC4800873|XP_015038519.2|DPSE
OG0004149	LOC119084384|XP_037050241.1|BCOP	LOC4802695|XP_033241781.1|DPSE
OG0004150	LOC119083220|XP_037048784.1|BCOP	LOC4802411|XP_001359334.2|DPSE
OG0004151	LOC119085321|XP_037051597.1|BCOP	LOC4801988|XP_001358999.4|DPSE
OG0004152	LOC119076165|XP_037038745.1|BCOP	LOC4802444|XP_033241753.1|DPSE
OG0004153	LOC119067484|XP_037026384.1|BCOP	LOC4805025|XP_001361493.3|DPSE
OG0004154	LOC119067808|XP_037026856.1|BCOP	LOC6900027|XP_033240339.1|DPSE
OG0004155	LOC119075894|XP_037038366.1|BCOP	LOC4802461|XP_001359378.2|DPSE
OG0004156	LOC119067292|XP_037026077.1|BCOP	LOC4802400|XP_001359325.4|DPSE
OG0004157	LOC119068913|XP_037028671.1|BCOP	LOC4814704|XP_001355008.3|DPSE
OG0004158	LOC119084131|XP_037049877.1|BCOP	LOC4813450|XP_001353676.2|DPSE
OG0004159	LOC119076874|XP_037039778.1|BCOP	LOC4802365|XP_001359294.2|DPSE
OG0004160	LOC119082221|XP_037047570.1|BCOP	LOC6900553|XP_015042916.2|DPSE
OG0004161	LOC119070675|XP_037031013.1|BCOP	LOC4803112|XP_001359909.5|DPSE
OG0004162	LOC119077700|XP_037040867.1|BCOP	LOC4802537|XP_001359438.2|DPSE
OG0004163	LOC119084103|XP_037049852.1|BCOP	LOC6897821|XP_002137926.2|DPSE
OG0004164	LOC119075714|XP_037038133.1|BCOP	LOC4802304|XP_015037730.2|DPSE
OG0004165	LOC119076866|XP_037039768.1|BCOP	LOC4805239|XP_015040507.2|DPSE
OG0004166	LOC119068770|XP_037028423.1|BCOP	LOC4803530|XP_001360241.3|DPSE
OG0004167	LOC119084395|XP_037050255.1|BCOP	LOC4802021|XP_001359023.2|DPSE
OG0004168	LOC119084400|XP_037050262.1|BCOP	LOC4800448|XP_001357723.3|DPSE
OG0004169	LOC119075869|XP_037038324.1|BCOP	LOC26533794|XP_015042104.2|DPSE
OG0004170	LOC119075877|XP_037038335.1|BCOP	LOC6901499|XP_002134185.4|DPSE
OG0004171	LOC119075874|XP_037038333.1|BCOP	LOC4814748|XP_001355133.3|DPSE
OG0004172	LOC119075946|XP_037038404.1|BCOP	LOC4815117|XP_015042008.2|DPSE
OG0004173	LOC119071958|XP_037032985.1|BCOP	LOC6898270|XP_002138336.2|DPSE
OG0004174	LOC119071903|XP_037032910.1|BCOP	LOC6898468|XP_015039912.2|DPSE
OG0004175	LOC119071787|XP_037032743.1|BCOP	LOC4804188|XP_001360790.2|DPSE
OG0004176	LOC119085409|XP_037051711.1|BCOP	LOC4813934|XP_001354096.1|DPSE
OG0004177	LOC119083046|XP_037048562.1|BCOP	LOC4802398|XP_001359323.4|DPSE
OG0004178	LOC119076806|XP_037039672.1|BCOP	LOC6897828|XP_033232846.1|DPSE
OG0004179	LOC119078074|XP_037041425.1|BCOP	LOC4814420|XP_001354447.1|DPSE
OG0004180	LOC119070257|XP_037030419.1|BCOP	LOC4803286|XP_001360051.4|DPSE
OG0004181	LOC119066937|XP_037025549.1|BCOP	LOC4801569|XP_001358640.2|DPSE
OG0004182	LOC119070100|XP_037030314.1|BCOP	LOC4812996|XP_015042805.2|DPSE
OG0004184	LOC119084284|XP_037050105.1|BCOP	LOC4812638|XP_001353028.2|DPSE
OG0004185	LOC119075607|XP_037037979.1|BCOP	LOC4816545|XP_001355904.3|DPSE
OG0004186	LOC119076706|XP_037039517.1|BCOP	LOC4815173|XP_001354743.1|DPSE
OG0004187	LOC119076096|XP_037038646.1|BCOP	LOC4802607|XP_001359496.2|DPSE
OG0004188	LOC119073151|XP_037034351.1|BCOP	LOC4803100|XP_001359898.3|DPSE
OG0004189	LOC119073215|XP_037034423.1|BCOP	LOC4803102|XP_001359900.3|DPSE
OG0004190	LOC119074308|XP_037036251.1|BCOP	LOC6897853|XP_002137956.3|DPSE
OG0004191	LOC119074667|XP_037036844.1|BCOP	LOC4802939|XP_001359754.3|DPSE
OG0004192	LOC119074603|XP_037036750.1|BCOP	LOC4803237|XP_033233128.1|DPSE
OG0004193	LOC119073406|XP_037034740.1|BCOP	LOC4814725|XP_015041734.2|DPSE
OG0004194	LOC119084017|XP_037049725.1|BCOP	LOC4803184|XP_001359967.2|DPSE
OG0004195	LOC119074847|XP_037037056.1|BCOP	LOC6901874|XP_033239490.1|DPSE
OG0004196	LOC119075873|XP_037038330.1|BCOP	LOC4801594|XP_001358663.3|DPSE
OG0004197	LOC119076687|XP_037039486.1|BCOP	LOC4802814|XP_001359657.3|DPSE
OG0004198	LOC119083010|XP_037048539.1|BCOP	LOC4802458|XP_001359375.1|DPSE
OG0004199	LOC119068722|XP_037028348.1|BCOP	LOC4802557|XP_001359455.3|DPSE
OG0004200	LOC119071893|XP_037032889.1|BCOP	LOC4805241|XP_001361674.2|DPSE
OG0004201	LOC119084702|XP_037050674.1|BCOP	LOC4801160|XP_001358295.3|DPSE
OG0004202	LOC119076094|XP_037038644.1|BCOP	LOC4800938|XP_001358124.2|DPSE
OG0004203	LOC119076145|XP_037038718.1|BCOP	LOC4802878|XP_015038157.1|DPSE
OG0004204	LOC119084827|XP_037050803.1|BCOP	LOC4812396|XP_001352960.2|DPSE
OG0004205	LOC119078311|XP_037041712.1|BCOP	LOC6900361|XP_002134756.3|DPSE
OG0004206	LOC119067713|XP_037026726.1|BCOP	LOC4803072|XP_001359872.2|DPSE
OG0004207	LOC119075905|XP_037038377.1|BCOP	LOC4803073|XP_001359873.2|DPSE
OG0004208	LOC119073278|XP_037034555.1|BCOP	LOC6899287|XP_002136239.3|DPSE
OG0004209	LOC119067979|XP_037027220.1|BCOP	LOC4800432|XP_033241540.1|DPSE
OG0004210	LOC119078714|XP_037042285.1|BCOP	LOC4800859|XP_001358059.1|DPSE
OG0004211	LOC119072661|XP_037033814.1|BCOP	LOC4816975|XP_001356549.2|DPSE
OG0004212	LOC119085786|XP_037052207.1|BCOP, LOC119077923|XP_037041199.1|BCOP	LOC4802534|XP_001359435.1|DPSE
OG0004213	LOC119078042|XP_037041352.1|BCOP	LOC4803021|XP_001359823.2|DPSE
OG0004214	LOC119071514|XP_037032284.1|BCOP	LOC4805542|XP_001361929.1|DPSE
OG0004215	LOC119066063|XP_037024233.1|BCOP	LOC4805736|XP_001362084.2|DPSE
OG0004216	LOC119084419|XP_037050288.1|BCOP	LOC4813495|XP_033238849.1|DPSE
OG0004217	LOC119084415|XP_037050278.1|BCOP	LOC4813478|XP_001353758.2|DPSE
OG0004218	LOC119076868|XP_037039771.1|BCOP	LOC6901805|XP_002134473.1|DPSE
OG0004219	LOC119082203|XP_037047532.1|BCOP	LOC4803002|XP_001359807.1|DPSE
OG0004220	LOC119084161|XP_037049909.1|BCOP	LOC4802333|XP_015037753.2|DPSE
OG0004221	LOC119074651|XP_037036824.1|BCOP	LOC4802813|XP_001359656.3|DPSE
OG0004222	LOC119074678|XP_037036857.1|BCOP	LOC4802581|XP_001359475.1|DPSE
OG0004223	LOC119074429|XP_037036451.1|BCOP	LOC4802585|XP_015037926.2|DPSE
OG0004224	LOC119068839|XP_037028539.1|BCOP	LOC4802431|XP_001359353.2|DPSE
OG0004225	LOC119073154|XP_037034350.1|BCOP, LOC119073155|XP_037034352.1|BCOP	LOC4814712|XP_001354635.1|DPSE
OG0004226	LOC119083011|XP_037048540.1|BCOP	LOC4802550|XP_003736757.3|DPSE
OG0004227	LOC119066742|XP_037025264.1|BCOP	LOC4802881|XP_033236310.1|DPSE
OG0004228	LOC119074799|XP_037036971.1|BCOP	LOC4802880|XP_001359709.1|DPSE
OG0004229	LOC119071411|XP_037032184.1|BCOP	LOC4805561|XP_004444546.2|DPSE
OG0004230	LOC119074842|XP_037037043.1|BCOP	LOC6901541|XP_033238139.1|DPSE
OG0004231	LOC119068352|XP_037027815.1|BCOP	LOC6900301|XP_002135623.1|DPSE
OG0004232	LOC119067142|XP_037025838.1|BCOP	LOC4812652|XP_015044098.1|DPSE
OG0004233	LOC119066880|XP_037025463.1|BCOP	LOC4812651|XP_015044101.1|DPSE
OG0004234	LOC119067155|XP_037025846.1|BCOP	LOC4812663|XP_015044106.1|DPSE
OG0004235	LOC119069083|XP_037028861.1|BCOP	LOC4815925|XP_001355569.2|DPSE
OG0004236	LOC119083057|XP_037048573.1|BCOP	LOC4803188|XP_001359971.3|DPSE
OG0004237	LOC119075773|XP_037038219.1|BCOP	LOC4802968|XP_033241809.1|DPSE
OG0004238	LOC119078029|XP_037041336.1|BCOP	LOC6897950|XP_002138049.1|DPSE
OG0004239	LOC119084042|XP_037049770.1|BCOP	LOC4802808|XP_001359652.3|DPSE
OG0004240	LOC119077967|XP_037041244.1|BCOP	LOC6897625|XP_002137769.2|DPSE
OG0004241	LOC119081063|XP_037045674.1|BCOP, LOC119075628|XP_037038002.1|BCOP	LOC4802624|XP_001359508.2|DPSE
OG0004242	LOC119073077|XP_037034284.1|BCOP, LOC119082173|XP_037047483.1|BCOP	LOC4803033|XP_033232624.1|DPSE
OG0004243	LOC119075836|XP_037038283.1|BCOP	LOC4814122|XP_001354281.2|DPSE
OG0004244	LOC119074658|XP_037036832.1|BCOP	LOC4803185|XP_001359968.3|DPSE
OG0004245	LOC119072040|XP_037033054.1|BCOP	LOC4812436|XP_001352453.2|DPSE
OG0004246	LOC119075612|XP_037037983.1|BCOP	LOC4812914|XP_033239744.1|DPSE
OG0004247	LOC119083553|XP_037049166.1|BCOP	LOC4815830|XP_001355238.2|DPSE
OG0004248	LOC119072378|XP_037033477.1|BCOP	LOC4804644|XP_001361173.2|DPSE
OG0004249	LOC119081049|XP_037045649.1|BCOP	LOC4812596|XP_033237569.1|DPSE
OG0004250	LOC119083469|XP_037049087.1|BCOP	LOC4817862|XP_001357340.3|DPSE
OG0004251	LOC119074552|XP_037036627.1|BCOP	LOC4814812|XP_033237984.1|DPSE
OG0004252	LOC119076947|XP_037039894.1|BCOP	LOC4802531|XP_001359433.3|DPSE
OG0004253	LOC119081443|XP_037046272.1|BCOP, LOC119081446|XP_037046275.1|BCOP	LOC4803015|XP_001359817.4|DPSE
OG0004254	LOC119068614|XP_037028169.1|BCOP	LOC4815527|XP_001355497.2|DPSE
OG0004255	LOC119074925|XP_037037214.1|BCOP	LOC4816461|XP_015036619.2|DPSE
OG0004256	LOC119079133|XP_037042856.1|BCOP, LOC119079064|XP_037042767.1|BCOP, LOC119074400|XP_037036416.1|BCOP, LOC119085383|XP_037051664.1|BCOP	LOC4805690|XP_001362049.2|DPSE
OG0004257	LOC119066253|XP_037024484.1|BCOP	LOC4800274|XP_001357618.2|DPSE
OG0004258	LOC119068934|XP_037028696.1|BCOP	LOC4803220|XP_015038350.1|DPSE
OG0004259	LOC119085355|XP_037051626.1|BCOP	LOC6899104|XP_002139021.2|DPSE
OG0004260	LOC119074318|XP_037036271.1|BCOP	LOC6897751|XP_003736791.3|DPSE
OG0004261	LOC119068882|XP_037028638.1|BCOP	LOC4802433|XP_001359355.2|DPSE
OG0004262	LOC119082214|XP_037047558.1|BCOP	LOC4802138|XP_001359117.2|DPSE
OG0004263	LOC119075754|XP_037038186.1|BCOP	LOC4803249|XP_001360022.4|DPSE
OG0004264	LOC119068390|XP_037027846.1|BCOP	LOC4802990|XP_001359797.3|DPSE
OG0004265	LOC119078172|XP_037041541.1|BCOP	LOC4802936|XP_001359751.1|DPSE
OG0004266	LOC119076566|XP_037039249.1|BCOP	LOC4802886|XP_001359714.3|DPSE
OG0004267	LOC119076155|XP_037038734.1|BCOP	LOC4802802|XP_015038099.1|DPSE
OG0004268	LOC119085216|XP_037051421.1|BCOP	LOC4805408|XP_033233709.1|DPSE
OG0004269	LOC119082024|XP_037047238.1|BCOP	LOC4804648|XP_001361176.3|DPSE
OG0004270	LOC119066521|XP_037024934.1|BCOP	LOC4804886|XP_003736959.1|DPSE
OG0004271	LOC119072187|XP_037033242.1|BCOP	LOC4804170|XP_033234805.1|DPSE
OG0004272	LOC119070660|XP_037030985.1|BCOP	LOC4803201|XP_001359983.1|DPSE
OG0004273	LOC119068159|XP_037027531.1|BCOP	LOC4800830|XP_001358034.2|DPSE
OG0004274	LOC119069310|XP_037029256.1|BCOP	LOC4815423|XP_001355612.2|DPSE
OG0004275	LOC119084039|XP_037049766.1|BCOP	LOC4816030|XP_001355552.1|DPSE
OG0004276	LOC119084224|XP_037050017.1|BCOP	LOC4812451|XP_033240182.1|DPSE
OG0004277	LOC119079729|XP_037043689.1|BCOP, LOC119076156|XP_037038736.1|BCOP, LOC119077954|XP_037041217.1|BCOP	LOC4812122|XP_001352791.2|DPSE
OG0004278	LOC119074894|XP_037037135.1|BCOP	LOC4814546|XP_001355085.2|DPSE
OG0004279	LOC119076857|XP_037039757.1|BCOP	LOC117184548|XP_033238630.1|DPSE, LOC4817333|XP_001356739.1|DPSE, LOC6903707|XP_002136767.2|DPSE
OG0004280	LOC119076402|XP_037039016.1|BCOP	LOC6901746|XP_033237735.1|DPSE
OG0004281	LOC119071733|XP_037032659.1|BCOP	LOC4803575|XP_001360282.2|DPSE
OG0004282	LOC119075286|XP_037037569.1|BCOP	LOC6903887|XP_002136634.1|DPSE
OG0004283	LOC119072058|XP_037033130.1|BCOP	LOC6903886|XP_002136633.1|DPSE
OG0004284	LOC119071064|XP_037031591.1|BCOP	LOC4818107|XP_003736142.2|DPSE
OG0004285	LOC119068484|XP_037027989.1|BCOP	LOC4801739|XP_001358782.2|DPSE
OG0004286	LOC119074235|XP_037036152.1|BCOP	LOC4813119|XP_015043280.1|DPSE
OG0004287	LOC119072078|XP_037033124.1|BCOP	LOC4812993|XP_001353897.1|DPSE
OG0004288	LOC119074231|XP_037036145.1|BCOP	LOC4813619|XP_001353902.1|DPSE
OG0004289	LOC119071632|XP_037032485.1|BCOP	LOC6900273|XP_033237790.1|DPSE
OG0004290	LOC119071203|XP_037031886.1|BCOP	LOC6898978|XP_002138938.2|DPSE
OG0004291	LOC119082360|XP_037047772.1|BCOP	LOC4803971|XP_001360608.2|DPSE
OG0004292	LOC119071255|XP_037031994.1|BCOP	LOC4812437|XP_001352689.1|DPSE
OG0004293	LOC119083288|XP_037048875.1|BCOP	LOC4813354|XP_001353431.2|DPSE
OG0004294	LOC119078303|XP_037041700.1|BCOP	LOC4813079|XP_015042601.1|DPSE
OG0004295	LOC119066823|XP_037025371.1|BCOP	LOC4812926|XP_001353185.3|DPSE
OG0004296	LOC119066002|XP_037024114.1|BCOP	LOC4812790|XP_001353187.3|DPSE
OG0004297	LOC119082350|XP_037047763.1|BCOP	LOC4805618|XP_001361992.2|DPSE
OG0004298	LOC119074244|XP_037036164.1|BCOP	LOC117183509|XP_033233300.1|DPSE, LOC4805055|XP_001361519.1|DPSE
OG0004299	LOC119082791|XP_037048280.1|BCOP	LOC6898462|XP_033233330.1|DPSE
OG0004300	LOC119071694|XP_037032577.1|BCOP	LOC6898581|XP_002138601.1|DPSE
OG0004301	LOC119066451|XP_037024847.1|BCOP	LOC4811960|XP_001352688.3|DPSE
OG0004302	LOC119071225|XP_037031934.1|BCOP	LOC4803898|XP_001360543.2|DPSE
OG0004303	LOC119066851|XP_037025413.1|BCOP	LOC4805127|XP_001361582.2|DPSE
OG0004304	LOC119078290|XP_037041675.1|BCOP	LOC6898330|XP_002138385.2|DPSE
OG0004305	LOC119085103|XP_037051244.1|BCOP	LOC6898763|XP_015040375.2|DPSE
OG0004306	LOC119080620|XP_037044919.1|BCOP	LOC4805145|XP_001361597.3|DPSE
OG0004307	LOC119070087|XP_037030295.1|BCOP	LOC4804881|XP_001361369.2|DPSE
OG0004308	LOC119078996|XP_037042656.1|BCOP	LOC4803526|XP_033233853.1|DPSE
OG0004309	LOC119071381|XP_037032138.1|BCOP	LOC4812008|XP_001352770.2|DPSE
OG0004310	LOC119079699|XP_037043652.1|BCOP	LOC4805080|XP_001361542.2|DPSE
OG0004311	LOC119071155|XP_037031800.1|BCOP	LOC117185142|XP_033241067.1|DPSE, LOC4812867|XP_001353306.3|DPSE
OG0004312	LOC119078246|XP_037041616.1|BCOP	LOC6899078|XP_033233555.1|DPSE
OG0004313	LOC119078231|XP_037041585.1|BCOP	LOC4818206|XP_001357512.3|DPSE
OG0004314	LOC119071132|XP_037031713.1|BCOP	LOC4803705|XP_015039289.1|DPSE
OG0004315	LOC119074203|XP_037036095.1|BCOP	LOC4805613|XP_001361987.3|DPSE
OG0004316	LOC119072084|XP_037033136.1|BCOP	LOC4805431|XP_001361832.1|DPSE
OG0004317	LOC119071221|XP_037031929.1|BCOP	LOC4803574|XP_001360281.2|DPSE
OG0004318	LOC119079012|XP_037042672.1|BCOP	LOC4805630|XP_001362002.3|DPSE
OG0004319	LOC119066636|XP_037025095.1|BCOP	LOC4803381|XP_001360090.3|DPSE
OG0004320	LOC119083474|XP_037049088.1|BCOP	LOC4801669|XP_001358721.3|DPSE
OG0004321	LOC119066930|XP_037025538.1|BCOP, LOC119084369|XP_037050216.1|BCOP	LOC4818063|XP_001357424.3|DPSE
OG0004322	LOC119067228|XP_037025976.1|BCOP	LOC4801451|XP_033241855.1|DPSE
OG0004323	LOC119066661|XP_037025133.1|BCOP	LOC4814174|XP_001354234.2|DPSE
OG0004324	LOC119066663|XP_037025138.1|BCOP	LOC6903583|XP_002132451.1|DPSE
OG0004325	LOC119071806|XP_037032767.1|BCOP	LOC4805556|XP_001361941.1|DPSE
OG0004326	LOC119078748|XP_037042344.1|BCOP	LOC4805555|XP_033233379.1|DPSE
OG0004327	LOC119073828|XP_037035526.1|BCOP	LOC4811784|XP_033237602.1|DPSE
OG0004328	LOC119074172|XP_037036067.1|BCOP	LOC4804548|XP_001361091.1|DPSE
OG0004329	LOC119079572|XP_037043448.1|BCOP	LOC4804321|XP_015039811.2|DPSE
OG0004330	LOC119082104|XP_037047368.1|BCOP	LOC4804679|XP_001361201.3|DPSE
OG0004331	LOC119071693|XP_037032576.1|BCOP, LOC119072720|XP_037033891.1|BCOP	LOC6898957|XP_002138917.1|DPSE
OG0004332	LOC119066091|XP_037024258.1|BCOP	LOC4817443|XP_001356345.3|DPSE
OG0004333	LOC119072643|XP_037033786.1|BCOP	LOC4817461|XP_001356530.3|DPSE
OG0004334	LOC119077375|XP_037040461.1|BCOP	LOC4816904|XP_001356455.4|DPSE
OG0004335	LOC119070088|XP_037030296.1|BCOP	LOC6898974|XP_002138934.2|DPSE
OG0004336	LOC119079944|XP_037043947.1|BCOP	LOC4804597|XP_001361131.3|DPSE
OG0004337	LOC119071972|XP_037033001.1|BCOP	LOC4817062|XP_001356612.3|DPSE
OG0004338	LOC119071398|XP_037032170.1|BCOP	LOC4814147|XP_001354301.2|DPSE
OG0004339	LOC119071337|XP_037032117.1|BCOP	LOC4803960|XP_001360598.2|DPSE
OG0004340	LOC119071271|XP_037032031.1|BCOP	LOC4803959|XP_001360597.1|DPSE
OG0004341	LOC119071295|XP_037032064.1|BCOP	LOC6898192|XP_002138261.2|DPSE
OG0004342	LOC119066421|XP_037024788.1|BCOP	LOC4804618|XP_004444261.2|DPSE
OG0004343	LOC119066093|XP_037024260.1|BCOP	LOC4804617|XP_033234560.1|DPSE
OG0004344	LOC119066834|XP_037025390.1|BCOP	LOC4804614|XP_001361147.3|DPSE
OG0004345	LOC119074201|XP_037036092.1|BCOP	LOC4818064|XP_033235791.1|DPSE
OG0004346	LOC119066137|XP_037024323.1|BCOP	LOC4805615|XP_004444560.2|DPSE
