Orthogroup	BCOP.longest_only	DPER.longest_only
OG0004945	LOC119071639|XP_037032495.1|BCOP	LOC6590053|XP_002015526.1|DPER
OG0004946	LOC119066317|XP_037024601.1|BCOP	LOC6603336|XP_026848059.1|DPER
OG0004947	LOC119084690|XP_037050665.1|BCOP	LOC6600268|XP_002025385.1|DPER
OG0004948	LOC119076038|XP_037038560.1|BCOP	LOC6600330|XP_002025383.1|DPER
OG0004949	LOC119076222|XP_037038775.1|BCOP	LOC6600326|XP_026849042.1|DPER
OG0004950	LOC119073892|XP_037035675.1|BCOP	LOC6601099|XP_026847433.1|DPER
OG0004951	LOC119068251|XP_037027682.1|BCOP	LOC6588436|XP_002012969.1|DPER
OG0004952	LOC119077106|XP_037040164.1|BCOP	LOC6596071|XP_002021102.1|DPER
OG0004953	LOC119084905|XP_037050955.1|BCOP	LOC6599792|XP_002024962.1|DPER
OG0004954	LOC119073320|XP_037034605.1|BCOP	LOC6599794|XP_002024964.2|DPER
OG0004955	LOC119079260|XP_037042935.1|BCOP, LOC119079419|XP_037043218.1|BCOP	LOC6602987|XP_002028014.1|DPER
OG0004956	LOC119079417|XP_037043215.1|BCOP	LOC6590034|XP_002016308.1|DPER
OG0004957	LOC119073733|XP_037035260.1|BCOP	LOC6596217|XP_026845569.1|DPER
OG0004958	LOC119081433|XP_037046249.1|BCOP	LOC6596132|XP_002021096.1|DPER
OG0004959	LOC119074040|XP_037035881.1|BCOP	LOC6596130|XP_002021094.1|DPER
OG0004960	LOC119078298|XP_037041687.1|BCOP	LOC6596129|XP_026845207.1|DPER
OG0004961	LOC119084962|XP_037051006.1|BCOP	LOC6592734|XP_026841517.1|DPER
OG0004962	LOC119073263|XP_037034536.1|BCOP	LOC6600515|XP_002025580.1|DPER
OG0004963	LOC119084801|XP_037050763.1|BCOP	LOC6595826|XP_026845479.1|DPER
OG0004964	LOC119081263|XP_037045899.1|BCOP	LOC6600285|XP_002025398.1|DPER
OG0004965	LOC119080539|XP_037044848.1|BCOP	LOC6602962|XP_002027973.1|DPER
OG0004966	LOC119080490|XP_037044777.1|BCOP	LOC6602963|XP_002027974.1|DPER
OG0004967	LOC119081371|XP_037046145.1|BCOP	LOC6591116|XP_026841182.1|DPER
OG0004968	LOC119080918|XP_037045429.1|BCOP	LOC6599726|XP_002024831.1|DPER
OG0004969	LOC119083682|XP_037049362.1|BCOP	LOC6603674|XP_002028648.1|DPER
OG0004970	LOC119080913|XP_037045415.1|BCOP	LOC6599727|XP_026847253.1|DPER
OG0004971	LOC119080915|XP_037045420.1|BCOP	LOC6599729|XP_002024834.2|DPER
OG0004972	LOC119080925|XP_037045440.1|BCOP	LOC113566602|XP_026848784.1|DPER
OG0004973	LOC119080934|XP_037045449.1|BCOP	LOC6601078|XP_002026072.1|DPER
OG0004974	LOC119080720|XP_037045101.1|BCOP	LOC6596123|XP_002021087.1|DPER
OG0004975	LOC119080177|XP_037044298.1|BCOP	LOC6599784|XP_002024871.1|DPER
OG0004976	LOC119082796|XP_037048338.1|BCOP	LOC6600994|XP_026849738.1|DPER
OG0004977	LOC119073470|XP_037034870.1|BCOP	LOC6593026|XP_002018219.1|DPER
OG0004978	LOC119084805|XP_037050771.1|BCOP	LOC6592328|XP_002018562.1|DPER
OG0004979	LOC119080645|XP_037044953.1|BCOP	LOC6601239|XP_002026297.1|DPER
OG0004980	LOC119071510|XP_037032268.1|BCOP	LOC6597016|XP_026845461.1|DPER
OG0004981	LOC119071300|XP_037032073.1|BCOP	LOC6601494|XP_002026556.1|DPER
OG0004982	LOC119071251|XP_037031984.1|BCOP	LOC6601492|XP_002026554.1|DPER
OG0004983	LOC119073305|XP_037034582.1|BCOP	LOC6600244|XP_002025409.1|DPER
OG0004984	LOC119073303|XP_037034580.1|BCOP	LOC6601693|XP_026847543.1|DPER
OG0004985	LOC119083866|XP_037049567.1|BCOP	LOC6600634|XP_026847537.1|DPER
OG0004986	LOC119072209|XP_037033277.1|BCOP	LOC6598922|XP_002024109.1|DPER
OG0004987	LOC119080661|XP_037044980.1|BCOP	LOC6601003|XP_026849718.1|DPER
OG0004988	LOC119080695|XP_037045039.1|BCOP	LOC6600635|XP_002025629.1|DPER
OG0004989	LOC119080758|XP_037045213.1|BCOP	LOC6600999|XP_002026154.1|DPER
OG0004990	LOC119073677|XP_037035179.1|BCOP	LOC6593104|XP_002017886.1|DPER
OG0004991	LOC119080383|XP_037044585.1|BCOP	LOC6590892|XP_002015433.1|DPER
OG0004992	LOC119080381|XP_037044583.1|BCOP	LOC6590891|XP_002015432.1|DPER
OG0004994	LOC119077236|XP_037040301.1|BCOP	LOC6602943|XP_026848855.1|DPER
OG0004997	LOC119075127|XP_037037408.1|BCOP, LOC119084529|XP_037050434.1|BCOP	LOC6601341|XP_002026385.1|DPER
OG0004998	LOC119080350|XP_037044547.1|BCOP	LOC6602140|XP_002027111.1|DPER
OG0004999	LOC119085242|XP_037051460.1|BCOP	LOC6599498|XP_026849563.1|DPER
OG0005000	LOC119073414|XP_037034757.1|BCOP	LOC6592737|XP_002017645.1|DPER
OG0005001	LOC119075762|XP_037038201.1|BCOP	LOC6599583|XP_026849567.1|DPER
OG0005002	LOC119077769|XP_037040978.1|BCOP	LOC6591487|XP_002017381.1|DPER
OG0005003	LOC119080535|XP_037044843.1|BCOP	LOC6599481|XP_002024601.1|DPER
OG0005004	LOC119081614|XP_037046555.1|BCOP	LOC6603029|XP_002028011.1|DPER
OG0005005	LOC119079297|XP_037042979.1|BCOP	LOC6602385|XP_002027389.1|DPER
OG0005006	LOC119079664|XP_037043609.1|BCOP	LOC6601021|XP_026849711.1|DPER
OG0005007	LOC119079272|XP_037042946.1|BCOP	LOC6596102|XP_002021255.2|DPER
OG0005008	LOC119079683|XP_037043635.1|BCOP	LOC6603279|XP_026849888.1|DPER
OG0005009	LOC119073419|XP_037034759.1|BCOP	LOC6601404|XP_002026507.1|DPER
OG0005010	LOC119078133|XP_037041530.1|BCOP	LOC6600648|XP_026847556.1|DPER
OG0005011	LOC119072370|XP_037033460.1|BCOP	LOC6590998|XP_026840673.1|DPER
OG0005012	LOC119080448|XP_037044708.1|BCOP	LOC6597104|XP_026845422.1|DPER
OG0005013	LOC119074550|XP_037036624.1|BCOP	LOC6594689|XP_002019616.2|DPER
OG0005015	LOC119079346|XP_037043071.1|BCOP	LOC6602290|XP_002027349.1|DPER
OG0005016	LOC119074671|XP_037036853.1|BCOP	LOC6600586|XP_026847646.1|DPER
OG0005017	LOC119066121|XP_037024300.1|BCOP	LOC6601223|XP_026848063.1|DPER
OG0005018	LOC119076971|XP_037039962.1|BCOP	LOC6599555|XP_026849436.1|DPER
OG0005019	LOC119076429|XP_037039073.1|BCOP	LOC6599805|XP_002024975.1|DPER
OG0005020	LOC119081392|XP_037046174.1|BCOP	LOC6592781|XP_002018432.1|DPER
OG0005021	LOC119077651|XP_037040766.1|BCOP	LOC6588712|XP_002014380.1|DPER
OG0005022	LOC119068432|XP_037027897.1|BCOP	LOC6600281|XP_002025394.1|DPER
OG0005023	LOC119079831|XP_037043792.1|BCOP	LOC6592270|XP_026841789.1|DPER
OG0005024	LOC119076642|XP_037039408.1|BCOP	LOC6600503|XP_026847586.1|DPER
OG0005025	LOC119074896|XP_037037138.1|BCOP	LOC6599651|XP_002024761.2|DPER
OG0005026	LOC119081220|XP_037045839.1|BCOP	LOC6599605|XP_002024695.1|DPER
OG0005027	LOC119073701|XP_037035196.1|BCOP	LOC6600990|XP_026849756.1|DPER
OG0005028	LOC119068477|XP_037027983.1|BCOP	LOC6598711|XP_002023890.1|DPER
OG0005029	LOC119075588|XP_037037955.1|BCOP	LOC6595913|XP_002021059.2|DPER
OG0005030	LOC119068277|XP_037027706.1|BCOP	LOC6601125|XP_002026054.2|DPER
OG0005031	LOC119086060|XP_037052530.1|BCOP	LOC6601380|XP_026847861.1|DPER
OG0005032	LOC119076635|XP_037039398.1|BCOP	LOC6601161|XP_002026260.1|DPER
OG0005033	LOC119081726|XP_037046767.1|BCOP	LOC6600317|XP_026849061.1|DPER
OG0005034	LOC119081823|XP_037046954.1|BCOP	LOC113566668|XP_026849096.1|DPER
OG0005035	LOC119080717|XP_037045094.1|BCOP	LOC6601156|XP_026848073.1|DPER
OG0005036	LOC119067221|XP_037025963.1|BCOP	LOC6599623|XP_002024733.1|DPER
OG0005037	LOC119073608|XP_037035078.1|BCOP	LOC6599631|XP_026849543.1|DPER
OG0005038	LOC119075194|XP_037037482.1|BCOP	LOC6601702|XP_002026705.2|DPER
OG0005039	LOC119070323|XP_037030486.1|BCOP	LOC6595555|XP_026844412.1|DPER
OG0005040	LOC119073817|XP_037035489.1|BCOP	LOC6601227|XP_002026285.1|DPER
OG0005041	LOC119081329|XP_037046011.1|BCOP	LOC6600514|XP_026847561.1|DPER
OG0005042	LOC119084797|XP_037050757.1|BCOP	LOC6602722|XP_002027747.2|DPER
OG0005043	LOC119073901|XP_037035685.1|BCOP	LOC6600902|XP_002025911.1|DPER
OG0005044	LOC119069510|XP_037029486.1|BCOP	LOC6600904|XP_002025913.1|DPER
OG0005045	LOC119066172|XP_037024369.1|BCOP	LOC6600907|XP_002025916.1|DPER
OG0005046	LOC119078148|XP_037041519.1|BCOP	LOC6592256|XP_002018565.1|DPER
OG0005047	LOC119080703|XP_037045057.1|BCOP	LOC6596234|XP_002021194.2|DPER
OG0005048	LOC119073804|XP_037035460.1|BCOP	LOC6596233|XP_002021193.1|DPER
OG0005049	LOC119077285|XP_037040331.1|BCOP	LOC6601154|XP_026848158.1|DPER
OG0005050	LOC119082843|XP_037048397.1|BCOP	LOC6590890|XP_026842757.1|DPER
OG0005051	LOC119080690|XP_037045023.1|BCOP	LOC6601138|XP_002026270.1|DPER
OG0005052	LOC119080743|XP_037045187.1|BCOP	LOC6601140|XP_002026272.1|DPER
OG0005053	LOC119084626|XP_037050589.1|BCOP	LOC6589884|XP_002014488.1|DPER
OG0005054	LOC119073254|XP_037034514.1|BCOP	LOC6603354|XP_026848099.1|DPER
OG0005055	LOC119083451|XP_037049073.1|BCOP	LOC6599111|XP_002024412.2|DPER
OG0005056	LOC119073358|XP_037034655.1|BCOP	LOC6602108|XP_026841927.1|DPER
OG0005057	LOC119080191|XP_037044325.1|BCOP	LOC6597171|XP_026845202.1|DPER
OG0005058	LOC119073798|XP_037035428.1|BCOP	LOC6603576|XP_026849615.1|DPER
OG0005059	LOC119081776|XP_037046877.1|BCOP	LOC6592954|XP_002017697.1|DPER
OG0005060	LOC119081749|XP_037046819.1|BCOP	LOC6592953|XP_002017696.2|DPER
OG0005061	LOC119068733|XP_037028325.1|BCOP	LOC6593554|XP_002018969.1|DPER
OG0005062	LOC119083564|XP_037049183.1|BCOP	LOC6589963|XP_026840719.1|DPER
OG0005063	LOC119079879|XP_037043857.1|BCOP	LOC6590767|XP_002015399.1|DPER
OG0005064	LOC119080420|XP_037044655.1|BCOP	LOC6596120|XP_002020968.1|DPER
OG0005065	LOC119073445|XP_037034831.1|BCOP	LOC6602067|XP_026841534.1|DPER
OG0005066	LOC119073516|XP_037034937.1|BCOP	LOC6590143|XP_002015956.1|DPER
OG0005067	LOC119073946|XP_037035716.1|BCOP	LOC6593196|XP_002018119.1|DPER
OG0005068	LOC119084242|XP_037050037.1|BCOP	LOC6598940|XP_002024127.1|DPER
OG0005069	LOC119074502|XP_037036552.1|BCOP	LOC6590552|XP_002016232.1|DPER
OG0005070	LOC119073865|XP_037035627.1|BCOP	LOC6591043|XP_002016554.1|DPER
OG0005071	LOC119073318|XP_037034603.1|BCOP	LOC6602805|XP_002027856.2|DPER
OG0005072	LOC119079369|XP_037043134.1|BCOP	LOC6596689|XP_002021958.1|DPER
OG0005073	LOC119084020|XP_037049731.1|BCOP	LOC6593150|XP_002018527.1|DPER
OG0005074	LOC119079755|XP_037043732.1|BCOP	LOC6602161|XP_026847980.1|DPER
OG0005075	LOC119073709|XP_037035216.1|BCOP	LOC6601569|XP_002026660.2|DPER
OG0005076	LOC119081356|XP_037046100.1|BCOP	LOC6601266|XP_002026395.1|DPER
OG0005078	LOC119066068|XP_037024191.1|BCOP	LOC6603568|XP_002028550.1|DPER
OG0005079	LOC119083647|XP_037049312.1|BCOP	LOC6590750|XP_026842213.1|DPER
OG0005081	LOC119081654|XP_037046631.1|BCOP	LOC6590880|XP_026840762.1|DPER
OG0005082	LOC119073347|XP_037034636.1|BCOP	LOC6596065|XP_002021222.1|DPER
OG0005083	LOC119066271|XP_037024524.1|BCOP	LOC6598521|XP_002023560.1|DPER
OG0005084	LOC119080906|XP_037045392.1|BCOP	LOC6602314|XP_026848495.1|DPER
OG0005085	LOC119074188|XP_037036076.1|BCOP	LOC6599001|XP_002024069.1|DPER
OG0005086	LOC119074143|XP_037036035.1|BCOP	LOC6602122|XP_002027194.2|DPER
OG0005087	LOC119079836|XP_037043797.1|BCOP	LOC6602825|XP_026847785.1|DPER
OG0005088	LOC119081623|XP_037046566.1|BCOP	LOC6601272|XP_002026401.1|DPER
OG0005089	LOC119081622|XP_037046565.1|BCOP	LOC6601270|XP_002026399.1|DPER
OG0005090	LOC119078736|XP_037042313.1|BCOP	LOC6591267|XP_002015800.1|DPER
OG0005091	LOC119074079|XP_037035920.1|BCOP	LOC6592222|XP_026841489.1|DPER
OG0005092	LOC119080297|XP_037044466.1|BCOP	LOC6597157|XP_002022362.1|DPER
OG0005093	LOC119073538|XP_037034978.1|BCOP	LOC6602295|XP_002027354.2|DPER
OG0005094	LOC119079921|XP_037043911.1|BCOP	LOC6604157|XP_026847977.1|DPER
OG0005095	LOC119073356|XP_037034653.1|BCOP	LOC6590108|XP_026842284.1|DPER
OG0005096	LOC119084417|XP_037050285.1|BCOP	LOC6596421|XP_026843338.1|DPER
OG0005098	LOC119073864|XP_037035626.1|BCOP	LOC6600855|XP_026842378.1|DPER
OG0005099	LOC119080633|XP_037044937.1|BCOP	LOC6592274|XP_002018415.1|DPER
OG0005100	LOC119066591|XP_037025080.1|BCOP	LOC6592273|XP_002018414.1|DPER
OG0005101	LOC119074464|XP_037036500.1|BCOP	LOC6594208|XP_002019667.1|DPER
OG0005102	LOC119066109|XP_037024286.1|BCOP	LOC6600908|XP_026841123.1|DPER
OG0005103	LOC119079440|XP_037043248.1|BCOP	LOC6590987|XP_002016552.1|DPER
OG0005104	LOC119079442|XP_037043250.1|BCOP	LOC6604588|XP_002029472.1|DPER, LOC6593533|XP_002018720.1|DPER
OG0005105	LOC119081464|XP_037046348.1|BCOP	LOC6601423|XP_002026492.1|DPER
OG0005106	LOC119077367|XP_037040448.1|BCOP	LOC6603911|XP_026847595.1|DPER
OG0005107	LOC119080045|XP_037044142.1|BCOP, LOC119080631|XP_037044933.1|BCOP	LOC6596220|XP_002021288.2|DPER
OG0005108	LOC119081331|XP_037046016.1|BCOP	LOC6592249|XP_002017635.1|DPER
OG0005109	LOC119071266|XP_037032021.1|BCOP	LOC6602680|XP_002027691.1|DPER
OG0005110	LOC119073753|XP_037035307.1|BCOP	LOC6599759|XP_026847305.1|DPER
OG0005111	LOC119073619|XP_037035096.1|BCOP	LOC6602791|XP_026847873.1|DPER
OG0005112	LOC119065986|XP_037024091.1|BCOP	LOC6601013|XP_026849692.1|DPER
OG0005113	LOC119073658|XP_037035156.1|BCOP	LOC6602786|XP_002027800.1|DPER
OG0005114	LOC119072473|XP_037033595.1|BCOP	LOC6601249|XP_002026211.1|DPER
OG0005115	LOC119074317|XP_037036269.1|BCOP	LOC6596312|XP_026843610.1|DPER
OG0005116	LOC119081577|XP_037046506.1|BCOP	LOC6601645|XP_002026759.2|DPER
OG0005117	LOC119072611|XP_037033764.1|BCOP, LOC119081860|XP_037046986.1|BCOP	LOC6598373|XP_002023398.1|DPER
OG0005118	LOC119073554|XP_037035005.1|BCOP	LOC6589709|XP_002014459.1|DPER
OG0005119	LOC119073431|XP_037034799.1|BCOP	LOC6591251|XP_026841571.1|DPER
OG0005120	LOC119080639|XP_037044947.1|BCOP	LOC6595888|XP_026845448.1|DPER
OG0005121	LOC119077502|XP_037040622.1|BCOP	LOC6602411|XP_026848586.1|DPER
OG0005122	LOC119077508|XP_037040635.1|BCOP	LOC6595900|XP_002021441.1|DPER
OG0005123	LOC119079514|XP_037043374.1|BCOP	LOC6599059|XP_026848960.1|DPER
OG0005124	LOC119079415|XP_037043217.1|BCOP	LOC6601658|XP_026847526.1|DPER
OG0005125	LOC119081261|XP_037045892.1|BCOP	LOC6601659|XP_026847486.1|DPER
OG0005126	LOC119081721|XP_037046758.1|BCOP	LOC6601219|XP_026848091.1|DPER
OG0005127	LOC119080607|XP_037044902.1|BCOP	LOC6599090|XP_002024223.1|DPER
OG0005128	LOC119075477|XP_037037827.1|BCOP	LOC6590719|XP_026840598.1|DPER
OG0005129	LOC119085946|XP_037052395.1|BCOP	LOC6601795|XP_002026854.1|DPER
OG0005130	LOC119077598|XP_037040704.1|BCOP	LOC6601834|XP_026849377.1|DPER
OG0005131	LOC119073312|XP_037034599.1|BCOP	LOC6597191|XP_002022336.2|DPER
OG0005132	LOC119074817|XP_037037003.1|BCOP	LOC6603304|XP_002028285.1|DPER
OG0005133	LOC119077869|XP_037041113.1|BCOP	LOC113566609|XP_026848813.1|DPER
OG0005134	LOC119079839|XP_037043796.1|BCOP	LOC6596229|XP_026845635.1|DPER
OG0005135	LOC119079897|XP_037043881.1|BCOP	LOC6595865|XP_002021410.1|DPER
OG0005136	LOC119075700|XP_037038124.1|BCOP	LOC6595867|XP_002021412.1|DPER
OG0005137	LOC119080665|XP_037044986.1|BCOP	LOC6587888|XP_026840865.1|DPER
OG0005138	LOC119074120|XP_037035999.1|BCOP	LOC6600316|XP_002025370.2|DPER
OG0005139	LOC119076669|XP_037039458.1|BCOP	LOC6601463|XP_002026430.2|DPER
OG0005140	LOC119077162|XP_037040247.1|BCOP	LOC6596349|XP_002021487.1|DPER
OG0005141	LOC119074510|XP_037036565.1|BCOP	LOC6593123|XP_002017622.1|DPER
OG0005142	LOC119084882|XP_037050923.1|BCOP	LOC6602466|XP_026848773.1|DPER
OG0005143	LOC119080464|XP_037044730.1|BCOP	LOC6602491|XP_026848717.1|DPER
OG0005145	LOC119073956|XP_037035740.1|BCOP	LOC6602462|XP_002027524.1|DPER
OG0005147	LOC119066850|XP_037025412.1|BCOP	LOC113566504|XP_026848205.1|DPER
OG0005148	LOC119081290|XP_037045947.1|BCOP	LOC6599636|XP_002024746.2|DPER
OG0005149	LOC119079582|XP_037043468.1|BCOP	LOC6592935|XP_002018382.1|DPER
OG0005150	LOC119081064|XP_037045675.1|BCOP	LOC6599820|XP_002024920.1|DPER
OG0005151	LOC119073562|XP_037035013.1|BCOP	LOC6601915|XP_002026964.1|DPER
OG0005152	LOC119073647|XP_037035140.1|BCOP	LOC6601908|XP_002026957.1|DPER
OG0005153	LOC119080243|XP_037044387.1|BCOP	LOC113566709|XP_026849327.1|DPER, LOC6601906|XP_026849325.1|DPER
OG0005154	LOC119073443|XP_037034827.1|BCOP	LOC6601904|XP_026849320.1|DPER
OG0005156	LOC119069958|XP_037030084.1|BCOP	LOC6591460|XP_002016946.1|DPER
OG0005157	LOC119073348|XP_037034637.1|BCOP	LOC6593198|XP_026842294.1|DPER
OG0005158	LOC119073422|XP_037034762.1|BCOP	LOC6599465|XP_002024614.2|DPER
OG0005159	LOC119073666|XP_037035165.1|BCOP	LOC6599767|XP_002024887.2|DPER
OG0005160	LOC119079633|XP_037043542.1|BCOP	LOC6596095|XP_002021248.1|DPER
OG0005161	LOC119073580|XP_037035044.1|BCOP	LOC6590424|XP_002016596.1|DPER
OG0005162	LOC119077712|XP_037040886.1|BCOP	LOC6598246|XP_002023416.1|DPER
OG0005163	LOC119069179|XP_037029003.1|BCOP	LOC6600502|XP_002025609.1|DPER
OG0005164	LOC119080839|XP_037045295.1|BCOP	LOC113565972|XP_026845261.1|DPER
OG0005165	LOC119081626|XP_037046571.1|BCOP	LOC6601292|XP_002026330.2|DPER
OG0005166	LOC119081574|XP_037046504.1|BCOP	LOC6591992|XP_002017216.1|DPER
OG0005167	LOC119081575|XP_037046505.1|BCOP	LOC6591993|XP_002017217.1|DPER
OG0005168	LOC119080667|XP_037044993.1|BCOP	LOC6601008|XP_002026163.1|DPER
OG0005169	LOC119080081|XP_037044196.1|BCOP	LOC6603301|XP_002028282.1|DPER
OG0005170	LOC119080030|XP_037044107.1|BCOP	LOC6603300|XP_026849856.1|DPER
OG0005171	LOC119080051|XP_037044152.1|BCOP	LOC6603299|XP_002028280.1|DPER
OG0005172	LOC119073980|XP_037035784.1|BCOP	LOC6601572|XP_026841467.1|DPER
OG0005173	LOC119075199|XP_037037487.1|BCOP	LOC6590956|XP_002015541.1|DPER
OG0005174	LOC119079624|XP_037043516.1|BCOP	LOC6592407|XP_002018152.1|DPER
OG0005175	LOC119079587|XP_037043472.1|BCOP	LOC6593138|XP_002018170.1|DPER
OG0005176	LOC119083615|XP_037049247.1|BCOP	LOC6591154|XP_002015923.1|DPER
OG0005177	LOC119079599|XP_037043487.1|BCOP	LOC6593135|XP_026842091.1|DPER
OG0005178	LOC119069207|XP_037029074.1|BCOP	LOC6601439|XP_026847784.1|DPER
OG0005179	LOC119073285|XP_037034564.1|BCOP	LOC6602482|XP_002027512.1|DPER
OG0005180	LOC119083646|XP_037049310.1|BCOP	LOC6600626|XP_026847598.1|DPER
OG0005181	LOC119066599|XP_037025050.1|BCOP	LOC6599352|XP_026847122.1|DPER
OG0005182	LOC119073822|XP_037035501.1|BCOP	LOC6592993|XP_002017976.1|DPER
OG0005183	LOC119073873|XP_037035639.1|BCOP	LOC6592254|XP_002017640.1|DPER
OG0005184	LOC119069021|XP_037028791.1|BCOP	LOC6592251|XP_026840737.1|DPER
OG0005185	LOC119073879|XP_037035654.1|BCOP	LOC6592671|XP_002018196.1|DPER
OG0005186	LOC119075486|XP_037037834.1|BCOP	LOC6592824|XP_026840801.1|DPER
OG0005187	LOC119083967|XP_037049667.1|BCOP, LOC119081341|XP_037046035.1|BCOP	LOC6590957|XP_026842828.1|DPER
OG0005188	LOC119073391|XP_037034712.1|BCOP	LOC6592255|XP_002018564.1|DPER
OG0005189	LOC119070199|XP_037030390.1|BCOP	LOC6597445|XP_026846443.1|DPER
OG0005190	LOC119076736|XP_037039552.1|BCOP	LOC6599848|XP_026847345.1|DPER
OG0005191	LOC119082156|XP_037047454.1|BCOP	LOC6591944|XP_002017311.1|DPER
OG0005192	LOC119079969|XP_037044003.1|BCOP	LOC6590179|XP_026840595.1|DPER
OG0005193	LOC119079965|XP_037043974.1|BCOP	LOC6592674|XP_026842449.1|DPER
OG0005194	LOC119081552|XP_037046470.1|BCOP	LOC6592557|XP_026842883.1|DPER
OG0005195	LOC119080586|XP_037044874.1|BCOP	LOC6602086|XP_002027164.1|DPER
OG0005196	LOC119082799|XP_037048340.1|BCOP	LOC6595909|XP_002021055.2|DPER
OG0005197	LOC119080462|XP_037044729.1|BCOP	LOC6592742|XP_026841181.1|DPER
OG0005198	LOC119080707|XP_037045062.1|BCOP	LOC6595967|XP_002021205.1|DPER
OG0005199	LOC119073533|XP_037034969.1|BCOP	LOC6602118|XP_002027132.1|DPER
OG0005200	LOC119072421|XP_037033534.1|BCOP	LOC6590868|XP_002016117.1|DPER
OG0005201	LOC119081756|XP_037046838.1|BCOP	LOC6591162|XP_026842176.1|DPER
OG0005202	LOC119079952|XP_037043958.1|BCOP	LOC6591015|XP_002016367.1|DPER
OG0005203	LOC119071140|XP_037031732.1|BCOP	LOC6600882|XP_026842623.1|DPER
OG0005204	LOC119066263|XP_037024512.1|BCOP	LOC6593523|XP_026843548.1|DPER
OG0005205	LOC119081957|XP_037047147.1|BCOP	LOC6589030|XP_026844250.1|DPER
OG0005206	LOC119081540|XP_037046439.1|BCOP	LOC6592562|XP_002018244.1|DPER
OG0005207	LOC119084872|XP_037050906.1|BCOP	LOC6592195|XP_002017765.1|DPER
OG0005208	LOC119074500|XP_037036551.1|BCOP	LOC6592359|XP_002018431.1|DPER
OG0005209	LOC119085259|XP_037051502.1|BCOP	LOC6593701|XP_002018848.1|DPER
OG0005210	LOC119085245|XP_037051469.1|BCOP	LOC6593700|XP_026842949.1|DPER
OG0005211	LOC119080134|XP_037044247.1|BCOP	LOC6602210|XP_026848000.1|DPER
OG0005212	LOC119073775|XP_037035337.1|BCOP	LOC6593596|XP_002018887.1|DPER
OG0005213	LOC119078963|XP_037042608.1|BCOP	LOC6600228|XP_026846731.1|DPER
OG0005214	LOC119075622|XP_037037994.1|BCOP	LOC6602212|XP_002027250.2|DPER
OG0005215	LOC119066954|XP_037025571.1|BCOP	LOC6589046|XP_026844457.1|DPER
OG0005216	LOC119074300|XP_037036259.1|BCOP	LOC6597960|XP_002023163.1|DPER
OG0005217	LOC119071633|XP_037032490.1|BCOP	LOC6593538|XP_002018725.1|DPER
OG0005218	LOC119079274|XP_037042951.1|BCOP	LOC6593439|XP_026843021.1|DPER
OG0005219	LOC119067509|XP_037026416.1|BCOP	LOC6592847|XP_026841689.1|DPER
OG0005220	LOC119079920|XP_037043910.1|BCOP	LOC6595835|XP_026845256.1|DPER
OG0005221	LOC119076588|XP_037039322.1|BCOP	LOC6593853|XP_026843097.1|DPER
OG0005222	LOC119072234|XP_037033302.1|BCOP	LOC6595428|XP_026844779.1|DPER
OG0005223	LOC119079446|XP_037043255.1|BCOP	LOC6593592|XP_002018883.2|DPER
OG0005224	LOC119082107|XP_037047377.1|BCOP	LOC6593889|XP_026843719.1|DPER
OG0005225	LOC119078510|XP_037041966.1|BCOP	LOC6596280|XP_002021802.1|DPER
OG0005226	LOC119079031|XP_037042710.1|BCOP	LOC6589598|XP_026843954.1|DPER
OG0005227	LOC119079115|XP_037042835.1|BCOP	LOC6595561|XP_002020909.1|DPER
OG0005228	LOC119079083|XP_037042788.1|BCOP	LOC6595562|XP_002020910.1|DPER
OG0005229	LOC119066344|XP_037024652.1|BCOP	LOC6589520|XP_026844253.1|DPER
OG0005230	LOC119066332|XP_037024626.1|BCOP	LOC6589726|XP_026844834.1|DPER
OG0005231	LOC119066347|XP_037024658.1|BCOP	LOC6595580|XP_002020957.1|DPER
OG0005232	LOC119081949|XP_037047129.1|BCOP	LOC6603391|XP_026843268.1|DPER
OG0005233	LOC119081990|XP_037047205.1|BCOP	LOC6593694|XP_002018841.1|DPER
OG0005234	LOC119085147|XP_037051324.1|BCOP	LOC6597937|XP_002023172.2|DPER
OG0005235	LOC119066465|XP_037024866.1|BCOP	LOC6589715|XP_002015305.1|DPER
OG0005236	LOC119066466|XP_037024867.1|BCOP	LOC6595554|XP_002020641.1|DPER
OG0005237	LOC119066457|XP_037024857.1|BCOP	LOC6595471|XP_026844411.1|DPER
OG0005239	LOC119077090|XP_037040144.1|BCOP	LOC6589838|XP_026843900.1|DPER
OG0005240	LOC119077009|XP_037040017.1|BCOP	LOC6589467|XP_002014412.1|DPER
OG0005241	LOC119070764|XP_037031134.1|BCOP	LOC6595533|XP_002020668.2|DPER
OG0005242	LOC119066966|XP_037025592.1|BCOP	LOC6596650|XP_002021658.1|DPER
OG0005243	LOC119066134|XP_037024320.1|BCOP	LOC6589521|XP_026844704.1|DPER
OG0005244	LOC119069071|XP_037028847.1|BCOP	LOC6588386|XP_002013952.1|DPER
OG0005245	LOC119076822|XP_037039711.1|BCOP	LOC6591462|XP_002016948.1|DPER
OG0005246	LOC119082565|XP_037047990.1|BCOP	LOC6589874|XP_002014587.1|DPER
OG0005247	LOC119073462|XP_037034861.1|BCOP	LOC6592428|XP_002018240.1|DPER
OG0005248	LOC119075864|XP_037038317.1|BCOP	LOC6594101|XP_026850238.1|DPER
OG0005249	LOC119077637|XP_037040753.1|BCOP	LOC6594304|XP_002019802.1|DPER
